Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barry Bell,Jack Cook,Nina Grewal,Brenda Locke,Duncan McDonald,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14B","Surrey",13,14,80,56,2,1,166,392
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15A","Surrey",20,16,93,46,2,1,178,299
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15B","Surrey",29,16,101,49,2,2,199,347
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 16","Surrey",32,18,134,87,0,1,272,458
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 17","Surrey",24,10,75,51,7,0,167,305
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 18","Barnston Island",58,43,121,49,8,0,279,522
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 19","Surrey",63,10,70,61,7,2,213,473
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 20","Surrey",96,17,72,70,2,2,259,481
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 21","Surrey",51,12,33,36,6,1,139,302
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 22","Surrey",43,9,45,55,8,0,160,348
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 23","Surrey",45,12,48,35,5,0,145,293
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 24","Surrey",56,13,69,104,3,3,248,433
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 25","Surrey",41,14,43,32,4,0,134,229
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 26","Surrey",63,27,91,41,9,0,231,436
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 27","Surrey",35,10,30,44,6,0,125,270
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 28","Surrey",25,7,28,53,5,0,118,263
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 29","Surrey",54,15,54,95,1,0,219,450
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 30","Surrey",45,10,28,52,2,1,138,287
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 31A","Surrey",32,6,51,34,4,1,128,285
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 31B","Surrey",46,6,44,49,4,0,149,293
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 32","Surrey",58,6,54,44,5,0,167,358
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 33","Surrey",78,13,77,80,4,0,252,480
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 34","Surrey",32,5,38,26,3,2,106,379
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 35","Surrey",60,31,61,61,7,0,220,453
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 36","Surrey",73,18,56,62,6,1,216,416
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 37","Surrey",53,5,54,31,3,0,146,347
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 38","Surrey",66,26,57,78,8,4,239,451
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 39","Surrey",85,23,58,79,3,1,249,456
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 40","Surrey",66,23,98,78,10,0,275,492
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 41","Surrey",57,30,71,78,4,1,241,389
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 42","Surrey",44,14,49,69,3,1,180,349
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 43","Surrey",89,14,77,73,4,1,258,502
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 44","Surrey",77,25,97,101,6,2,308,559
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 45","Surrey",40,7,58,55,0,1,161,292
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 46","Surrey",75,23,77,94,6,2,277,480
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 47","Surrey",91,27,84,66,6,4,278,559
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 48","Surrey",53,31,75,59,7,0,225,374
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 49","Surrey",79,36,98,82,5,4,304,613
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 50","Surrey",72,9,108,95,8,0,292,538
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 51","Surrey",54,9,151,54,5,1,274,444
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 52","Surrey",68,27,91,49,7,2,244,451
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 53A","Surrey",53,13,81,49,3,1,200,382
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 53B","Surrey",51,14,69,85,8,2,229,407
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 54","Surrey",63,22,112,119,4,0,320,553
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 55","Surrey",47,24,45,60,3,0,179,291
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 56","Surrey",20,15,63,39,10,0,147,281
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 57","Surrey",37,36,96,83,4,0,256,472
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 58","Surrey",29,20,53,48,3,0,153,262
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 59","Surrey",34,28,48,65,3,1,179,247
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 60","Surrey",19,9,41,20,2,0,91,163
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 61A","Surrey",30,15,65,47,4,1,162,295
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 61B","Surrey",35,13,67,69,3,0,187,311
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 62","Surrey",54,21,106,114,8,1,304,550
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 63A","Surrey",39,18,77,69,11,0,214,395
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 63B","Surrey",30,23,83,78,3,2,219,433
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 64","Surrey",48,17,50,57,6,0,178,288
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 65","Surrey",45,11,72,65,6,0,199,325
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 66","Surrey",32,12,73,64,9,0,190,387
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 67","Surrey",25,23,31,23,4,0,106,228
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 68","Surrey",48,14,89,64,12,0,227,446
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 69","Surrey",27,27,109,82,4,0,249,514
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 70","Surrey",44,10,62,49,8,0,173,303
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 71","Surrey",37,5,56,41,6,0,145,275
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 72","Surrey",25,7,74,62,9,0,177,261
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73A","Surrey",65,24,134,112,7,1,343,597
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73B","Surrey",70,19,185,96,10,0,380,625
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 74","Surrey",19,6,43,23,6,0,97,189
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 75","Surrey",71,15,108,68,10,1,273,489
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 76","Surrey",93,22,67,69,10,1,262,471
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 77","Surrey",82,38,63,55,12,0,250,402
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 78","Surrey",44,25,70,73,8,1,221,427
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 79","Surrey",56,13,44,99,0,0,212,447
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 80","Surrey",23,3,47,54,1,2,130,291
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 81","Surrey",54,20,65,80,7,0,226,529
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 82A","Surrey",55,10,62,57,8,1,193,347
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 82B","Surrey",73,12,68,50,7,0,210,367
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 83","Surrey",48,10,40,36,3,0,137,279
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 84","Surrey",44,23,59,44,3,0,173,337
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 85A","Surrey",79,14,63,73,13,1,243,627
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 85B","Surrey",Merged with No. 121B/Fusionné avec le nº 121B,,,,,,,45
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 86","Surrey",28,10,23,39,2,1,103,182
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 87","Surrey",56,17,54,67,3,0,197,410
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 88","Surrey",34,16,78,71,7,1,207,417
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 89A","Surrey",42,9,37,49,0,0,137,306
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 89B","Surrey",35,6,49,62,5,0,157,317
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 90","Surrey",82,14,94,101,3,0,294,509
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 91","Surrey",53,43,103,136,4,1,340,605
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 92","Surrey",12,17,33,29,1,1,93,178
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 93","Surrey",80,9,66,101,4,0,260,500
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 94","Surrey",14,8,18,11,0,0,51,72
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 95A","Surrey",31,40,63,64,6,0,204,329
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 95B","Surrey",52,16,69,64,5,0,206,333
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 96","Surrey",54,30,87,88,11,0,270,379
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 97","Surrey",52,24,68,53,4,2,203,315
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 98","Surrey",38,11,42,50,4,0,145,233
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 99A","Surrey",54,9,34,44,3,0,144,346
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 99B","Surrey",67,12,47,42,3,0,171,359
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 100","Surrey",13,2,18,8,0,0,41,129
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 101","Surrey",54,20,39,57,4,1,175,354
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 102","Surrey",41,10,44,84,3,0,182,324
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 103A","Surrey",54,3,20,77,3,0,157,306
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 103B","Surrey",53,2,35,64,1,1,156,310
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 104","Surrey",67,12,37,108,3,0,227,489
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 105","Surrey",72,11,56,93,7,0,239,456
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 106","Surrey",79,6,64,73,3,0,225,398
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 107","Surrey",75,11,62,72,5,2,227,481
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 108","Surrey",67,24,51,60,6,1,209,357
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 109","Surrey",56,22,55,65,11,0,209,365
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 110A","Surrey",45,5,45,82,2,0,179,369
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 110B","Surrey",36,14,52,65,1,1,169,352
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 111","Surrey",24,9,42,48,4,0,127,215
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 112","Surrey",67,17,84,96,5,2,271,519
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 113","Surrey",51,12,67,94,3,0,227,450
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 114","Surrey",56,7,53,58,0,0,174,361
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 115","Surrey",110,12,69,83,4,1,279,509
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 116","Surrey",64,26,67,65,11,0,233,465
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 117","Surrey",62,27,44,61,6,0,200,417
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 118","Surrey",56,7,37,29,1,0,130,250
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 119","Surrey",100,14,49,56,9,0,228,432
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 120","Surrey",96,20,59,62,5,0,242,405
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 121A","Surrey",107,23,69,58,9,2,268,613
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 121B","Mobile poll/Bureau itinérant",33,12,26,29,6,0,106,93
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 122","Surrey",73,13,70,66,4,1,227,535
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 123","Surrey",49,16,47,38,4,0,154,291
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 124","Surrey",38,6,26,31,6,2,109,236
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 125","Surrey",94,15,47,43,7,0,206,383
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 126","Surrey",107,20,79,62,8,0,276,504
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 127","Surrey",65,22,24,64,6,0,181,412
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 128","Surrey",96,19,87,59,7,0,268,536
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 129A","Surrey",54,13,44,37,5,1,154,310
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 129B","Surrey",48,12,44,46,3,0,153,280
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 130","Surrey",106,19,63,61,5,2,256,454
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 131","Surrey",54,17,79,83,8,0,241,416
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 132A","Surrey",47,4,37,72,4,0,164,364
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 132B","Surrey",46,4,35,64,0,3,152,345
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133A","Surrey",50,20,54,76,2,1,203,378
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 133B","Surrey",87,11,53,53,2,0,206,399
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 134","Surrey",93,31,101,103,4,0,332,511
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 135A","Surrey",36,8,34,101,3,0,182,306
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 135B","Surrey",63,6,66,71,5,1,212,363
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 136A","Surrey",49,10,60,84,1,0,204,358
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 136B","Surrey",40,22,65,67,1,1,196,315
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 137","Surrey",40,4,36,30,2,0,112,266
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 138","Surrey",48,6,74,34,5,0,167,383
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 139","Surrey",40,9,42,28,4,0,123,274
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 140","Surrey",70,25,86,64,5,0,250,407
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 141","Surrey",38,6,37,33,3,0,117,237
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 142","Surrey",73,18,111,87,8,0,297,487
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 143","Surrey",85,18,82,64,5,0,254,492
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 144","Surrey",61,9,44,49,10,0,173,314
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 145","Surrey",115,11,67,46,8,3,250,445
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 146","Surrey",88,19,64,49,5,0,225,475
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 147","Surrey",63,13,66,82,4,1,229,506
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 148A","Surrey",48,10,45,45,4,1,153,278
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 148B","Surrey",49,7,38,50,4,2,150,280
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 149","Surrey",78,4,45,47,8,0,182,401
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 150","Surrey",82,7,65,42,8,0,204,475
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 151","Surrey",65,9,54,77,4,2,211,410
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 152A","Surrey",50,7,74,85,5,0,221,429
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 152B","Surrey",61,18,67,67,5,0,218,422
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 153","Surrey",89,22,78,87,8,0,284,543
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 154","Surrey",72,20,97,100,3,0,292,588
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 155A","Surrey",46,10,63,69,10,0,198,373
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 155B","Surrey",41,26,59,71,8,0,205,370
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 156A","Surrey",27,16,60,64,10,0,177,303
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 156B","Surrey",24,23,74,68,5,1,195,300
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 157","Surrey",53,27,110,127,5,0,322,557
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 158A","Surrey",44,18,71,79,6,0,218,378
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 158B","Surrey",46,13,62,85,8,0,214,409
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 159A","Surrey",35,12,73,46,11,0,177,317
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 159B","Surrey",44,14,63,57,12,0,190,331
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 160","Surrey",24,10,72,61,10,0,177,282
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 500","Mobile poll/Bureau itinérant",22,0,25,12,2,0,61,114
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 600","Greater Vancouver--Surrey",70,35,337,194,6,1,643,
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 601","Surrey",145,28,238,175,13,1,600,
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 602","Surrey",88,37,244,176,7,0,552,
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 603","Surrey",38,11,156,71,8,1,285,
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 604","Surrey",123,51,212,249,11,3,649,
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 605","Surrey",113,15,165,141,3,1,438,
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 606","Surrey",138,14,169,167,16,1,505,
"Fleetwood--Port Kells/Fleetwood--Port Kells"," 607","Surrey",164,25,323,234,17,1,764,
"Fleetwood--Port Kells/Fleetwood--Port Kells",,Group 1/Groupe 1,9,2,18,29,5,4,67,115
"Fleetwood--Port Kells/Fleetwood--Port Kells",,Group 2/Groupe 2,79,12,218,160,13,12,494,
