Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tasha Bridgen,Jake Cole,George Kolaczynski,Isabel Metcalfe,Gordon O'Connor,Tracy Parsons,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21","Kanata",27,20,1,52,133,1,0,234,412
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21-1A","Kanata",29,15,2,75,119,2,2,244,378
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 21-1B","Kanata",40,17,0,97,126,2,1,283,472
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 22","Kanata",46,22,1,61,112,0,0,242,353
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 23","Kanata",17,17,2,19,77,0,0,132,223
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 24","Kanata",30,28,6,104,178,0,0,346,513
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 25A","West Carleton",21,9,0,35,93,0,1,159,305
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 25B","West Carleton",23,22,2,26,84,5,0,162,337
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 26A","West Carleton",30,22,3,30,104,0,0,189,326
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 26B","West Carleton",22,17,0,38,100,3,1,181,305
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 27A","West Carleton",17,18,3,35,90,0,2,165,261
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 27B","West Carleton",17,17,0,36,81,1,4,156,265
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 28A","West Carleton",16,16,2,28,108,1,0,171,301
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 28B","West Carleton",17,12,0,32,104,0,0,165,282
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 29","West Carleton",24,10,0,34,116,0,2,186,311
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 30A","West Carleton",26,11,2,46,96,2,0,183,291
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 30B","West Carleton",24,17,0,49,124,0,0,214,328
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 31A","West Carleton",17,9,1,46,113,1,2,189,298
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 31B","West Carleton",29,18,3,33,94,1,0,178,279
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 32A","West Carleton",23,11,1,37,128,0,0,200,299
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 32B","West Carleton",20,27,2,50,111,1,0,211,336
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 33","West Carleton",40,23,0,66,124,2,0,255,483
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 34A","West Carleton",8,6,1,24,93,0,0,132,238
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 34B","West Carleton",18,5,0,30,98,2,0,153,285
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 35","Kanata",19,14,1,77,143,2,0,256,391
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 36A","Kanata",21,10,1,80,141,3,0,256,396
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 36B","Kanata",24,18,1,91,139,3,0,276,477
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 37","Kanata",26,24,0,48,118,1,1,218,386
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38A","Kanata",27,12,0,61,85,1,1,187,352
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38B","Kanata",15,5,0,76,52,1,0,149,294
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38C","Kanata",31,13,1,97,103,5,2,252,417
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 38D","Kanata",30,13,0,71,102,0,0,216,389
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 39","Kanata",30,17,0,57,98,2,2,206,407
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 40","Kanata",35,18,0,76,181,1,0,311,513
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 41A","Kanata",24,15,0,49,81,4,0,173,283
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 41B","Kanata",25,10,0,53,86,3,1,178,285
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 42","Kanata",18,13,0,52,70,1,0,154,291
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 43A","Kanata",18,4,0,56,73,1,0,152,259
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 43B","Kanata",17,9,0,66,84,2,0,178,320
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 44","Kanata",26,12,2,47,72,1,1,161,302
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 45","Kanata",46,11,1,62,94,0,5,219,382
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 46A","Kanata",20,10,0,43,91,0,0,164,237
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 46B","Kanata",14,18,1,58,115,1,0,207,328
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 47","Kanata",53,32,3,77,126,4,4,299,515
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 48","Kanata",29,24,2,87,113,1,0,256,410
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 49","Kanata",41,34,0,63,85,4,1,228,341
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 50A","Kanata",17,12,2,44,57,1,0,133,262
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 50B","Kanata",25,15,2,62,91,0,0,195,326
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 51","Kanata",10,18,0,45,66,1,0,140,250
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 52A","Kanata",30,15,1,78,113,0,0,237,414
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 52B","Kanata",42,27,3,112,126,2,2,314,513
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 53A","Kanata",31,17,0,57,86,3,0,194,330
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 53B","Kanata",39,18,2,90,110,0,0,259,443
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 54","Kanata",36,37,1,87,128,5,3,297,488
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 55A","Kanata",21,12,0,51,82,2,2,170,314
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 55B","Kanata",29,10,0,46,79,0,0,164,319
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 56","Kanata",14,11,1,78,148,1,0,253,475
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 57","Kanata",28,23,1,66,137,1,2,258,464
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 58","Kanata",38,26,1,72,98,0,3,238,392
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 59","Kanata",34,18,2,35,53,2,0,144,322
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 60","Kanata",42,13,3,66,97,3,2,226,396
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 61","Kanata",55,25,2,73,122,0,1,278,408
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 62","Kanata",37,19,0,73,89,0,2,220,411
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 63","Kanata",51,15,4,44,92,4,2,212,363
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 64","Kanata",42,30,2,74,99,1,0,248,414
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 65A","Kanata",13,7,0,66,82,0,0,168,301
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 65B","Kanata",18,11,1,57,87,1,0,175,334
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 66A","Kanata",32,18,0,72,71,0,0,193,324
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 66B","Kanata",35,14,1,66,69,3,0,188,320
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 66C","Kanata",51,19,0,102,101,2,1,276,483
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 66D","Kanata",29,16,0,70,84,2,1,202,356
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 67","Kanata",38,9,1,68,102,2,2,222,381
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 68","Kanata",42,22,4,69,114,0,0,251,378
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 69","Kanata",37,22,2,73,139,1,0,274,393
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 70","Kanata",34,38,1,41,98,0,0,212,332
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 71","Kanata",42,28,4,59,125,4,1,263,452
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 72","Kanata",18,8,1,46,74,0,0,147,243
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 73A","Kanata",51,18,1,93,149,4,2,318,468
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 73B","Mobile poll/Bureau itinérant",Merged with No. 122B/Fusionné avec le nº 122B,,,,,,,,52
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 74","Kanata",44,15,3,79,136,2,1,280,409
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 75","Kanata",33,10,0,69,97,0,0,209,291
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 76","Kanata",37,24,2,74,126,4,0,267,451
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 77","Kanata",23,12,3,60,96,2,1,197,376
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 78A","Kanata",23,11,0,44,71,0,1,150,243
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 78B","Kanata",25,14,3,62,85,1,2,192,306
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 79","Kanata",34,10,1,48,134,1,2,230,349
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 80","Kanata",34,20,1,57,113,1,0,226,323
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 81","Kanata",35,9,0,34,98,2,0,178,321
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 82","Kanata",44,15,2,91,158,2,0,312,438
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 83","Kanata",45,35,3,80,120,0,1,284,380
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 84","Kanata",48,12,2,77,109,1,2,251,427
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 85","Kanata",25,17,1,69,116,0,1,229,386
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 86","Kanata",33,14,2,69,93,1,0,212,367
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 87","Kanata",27,27,0,83,97,1,0,235,412
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 88","Kanata",13,8,1,23,65,1,0,111,188
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 89","Kanata",46,8,2,44,120,2,2,224,433
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 90","Kanata",31,20,2,49,73,1,2,178,325
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 91","Kanata",37,21,1,69,148,2,0,278,426
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 92","Kanata",38,9,1,49,81,5,0,183,286
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 93","Kanata",46,9,1,58,101,0,0,215,362
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 94","Kanata",27,13,2,100,133,0,0,275,463
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 95","Kanata",48,16,1,46,109,2,1,223,317
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 96","Kanata",53,28,3,54,118,0,0,256,424
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 97","Kanata",34,16,1,40,85,0,1,177,291
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 98","Kanata",55,19,1,52,125,1,1,254,426
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 99","Kanata",48,7,1,57,105,2,0,220,354
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 100A","Kanata",27,8,3,41,84,1,2,166,294
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 100B","Kanata",22,10,1,39,100,1,2,175,297
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 101","Kanata",38,16,3,39,89,1,2,188,320
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 102","Kanata",57,9,1,41,144,2,2,256,393
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 103","Kanata",33,9,5,43,113,0,1,204,293
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 104","Kanata",61,10,4,38,94,0,1,208,373
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 105A","Kanata",26,22,1,52,93,1,0,195,285
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 105B","Kanata",26,15,1,30,90,0,0,162,273
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 106","Kanata",17,14,0,53,88,6,0,178,332
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 107","Kanata",25,24,1,49,118,1,0,218,340
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 108","Kanata",42,19,3,69,101,0,0,234,380
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 109","Kanata",41,8,2,66,135,1,2,255,347
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 110A","Kanata",20,11,2,73,99,0,0,205,289
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 110B","Kanata",32,8,3,90,123,2,0,258,352
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 111","Kanata",36,26,1,85,120,1,1,270,415
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 112","Kanata",44,14,3,73,128,1,2,265,431
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 113","Kanata",22,16,1,47,98,1,0,185,266
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 114","Kanata",24,11,1,48,75,4,0,163,261
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 115","Kanata",23,8,0,61,68,0,0,160,304
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 116","Kanata",21,5,2,50,84,2,0,164,262
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 117","Kanata",39,15,4,93,126,1,0,278,484
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 118","Kanata",24,10,1,61,76,3,0,175,304
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 119","Kanata",37,16,1,81,107,0,0,242,424
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 120","Kanata",22,13,1,30,49,3,0,118,205
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 121","Kanata",34,9,0,67,86,0,0,196,307
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 122A","Kanata",25,9,0,56,109,1,0,200,411
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 122B","Mobile poll/Bureau itinérant",5,2,2,30,64,3,0,106,63
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 123","Kanata",24,7,0,59,105,1,2,198,452
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 124","Kanata",39,22,1,97,139,0,0,298,479
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 125","Kanata",33,11,0,80,107,1,0,232,383
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 126A","Kanata",27,6,1,53,72,1,0,160,252
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 126B","Kanata",21,13,1,65,107,1,0,208,298
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 127A","Kanata",33,9,2,80,127,0,2,253,428
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 127B","Kanata",47,17,4,96,153,2,1,320,479
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 128","Kanata",27,8,1,76,87,1,0,200,351
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 129","Kanata",18,7,0,46,55,0,0,126,234
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 130","Kanata",25,5,0,52,56,1,0,139,298
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 131A","Kanata",26,14,1,58,83,2,0,184,283
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 131B","Kanata",17,11,1,52,78,1,1,161,286
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 132A","Kanata",30,10,0,71,104,0,1,216,319
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 132B","Kanata",28,12,2,91,102,6,0,241,389
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 133A","Kanata",15,8,1,63,76,1,0,164,269
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 133B","Kanata",29,8,1,42,92,4,1,177,277
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 134","Kanata",21,17,0,52,59,0,0,149,253
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 135","Kanata",26,9,1,59,88,2,0,185,364
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 136","Kanata",31,18,2,59,112,1,1,224,372
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 137","Kanata",28,10,1,52,93,0,0,184,314
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 138","Kanata",26,8,2,52,122,2,0,212,345
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 139","Kanata",42,15,4,93,123,1,0,278,459
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 140","Goulbourn",35,17,2,48,158,4,2,266,485
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 141","Goulbourn",24,9,0,73,177,3,1,287,463
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 142A","Goulbourn",29,13,0,61,161,1,1,266,425
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 142B","Goulbourn",29,13,2,81,148,1,0,274,395
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 142C","Goulbourn",40,15,1,87,209,1,2,355,520
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 142D","Goulbourn",33,13,0,72,141,1,2,262,389
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 143A","Goulbourn",21,17,1,24,128,3,0,194,292
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 143B","Goulbourn",21,10,0,23,123,1,1,179,249
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 144A","Goulbourn",33,5,0,70,127,1,0,236,333
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 144B","Goulbourn",19,5,0,40,99,0,1,164,265
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 144C","Goulbourn",23,12,1,52,129,1,1,219,339
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 144D","Goulbourn",23,15,3,49,102,1,0,193,284
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 145","Goulbourn",23,4,2,17,117,1,0,164,316
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 146","Goulbourn",40,18,1,47,216,2,1,325,452
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 147","Goulbourn",54,26,0,46,154,1,4,285,415
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 148","Goulbourn",31,19,3,43,117,3,1,217,281
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 149","Goulbourn",35,15,2,41,172,1,0,266,425
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 150","Goulbourn",17,10,2,28,105,0,1,163,358
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 151A","Goulbourn",16,12,1,54,120,1,0,204,348
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 151B","Goulbourn",30,17,4,51,138,1,1,242,392
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 152","Goulbourn",19,16,1,30,100,3,0,169,324
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 153","Goulbourn",33,10,1,35,116,1,2,198,319
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 154","Goulbourn",30,18,2,41,112,0,0,203,310
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 155","Goulbourn",31,9,1,40,125,4,1,211,338
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 156","Goulbourn",34,10,2,44,130,3,0,223,342
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 157","Goulbourn",27,13,3,42,147,1,1,234,399
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 158","Goulbourn",39,10,3,41,117,2,3,215,398
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 159A","Goulbourn",34,11,2,75,189,2,1,314,473
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 159B","Goulbourn",36,16,2,92,177,4,0,327,522
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 160","Goulbourn",49,9,1,46,119,1,1,226,365
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 161","Goulbourn",6,7,0,24,42,0,1,80,232
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 162","Goulbourn",5,7,0,47,78,0,0,137,386
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 163A","Goulbourn",21,13,2,34,108,1,1,180,273
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 163B","Goulbourn",15,10,0,45,93,0,0,163,298
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 164A","Goulbourn",13,7,1,48,88,2,1,160,238
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 164B","Goulbourn",24,21,0,47,105,0,1,198,312
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 165","Goulbourn",27,8,1,50,128,2,2,218,379
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 166A","Goulbourn",28,18,0,37,82,1,0,166,278
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 166B","Goulbourn",17,10,3,47,82,1,0,160,261
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 167A","Goulbourn",17,6,1,37,103,1,1,166,308
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 167B","Goulbourn",25,7,0,50,113,1,0,196,347
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 168","Goulbourn",30,21,1,45,126,0,0,223,384
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 169","Goulbourn",26,14,4,66,122,2,2,236,403
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 170A","Goulbourn",28,11,0,53,89,0,1,182,349
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 170B","Goulbourn",26,8,1,43,101,1,0,180,337
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 171","Goulbourn",31,12,0,49,133,0,1,226,379
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 172","Goulbourn",23,24,0,54,130,0,0,231,397
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 173","Goulbourn",31,20,0,40,172,3,0,266,464
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 174","Goulbourn",13,10,1,30,76,1,0,131,216
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 175","Goulbourn",30,20,3,51,149,3,0,256,468
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 176","Goulbourn",29,22,1,41,186,1,0,280,459
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 177","Goulbourn",24,7,3,62,107,3,2,208,316
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 178","Goulbourn",23,8,3,69,123,2,0,228,394
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 179","Goulbourn",29,24,0,55,117,3,0,228,374
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 180","Goulbourn",28,22,0,47,113,0,0,210,324
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 181A","Mississippi Mills",15,8,3,9,100,0,0,135,243
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 181B","Mississippi Mills",18,8,0,23,100,1,1,151,303
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 182","Mississippi Mills",34,13,2,40,137,1,1,228,357
"Carleton--Mississippi Mills/Carleton--Mississippi Mills"," 183A","Mississippi Mills",25,17,0,36,123,0,1,202,306
