Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anthony Eric Barendregt,Bruce Benson,James Bezan,Duncan E. Geisler,Thomas Alexander Goodman,Ed Schreyer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Selkirk--Interlake/Selkirk--Interlake"," 82A","Stonewall",0,10,93,0,19,45,0,167,256
"Selkirk--Interlake/Selkirk--Interlake"," 82B","Stonewall",0,17,106,1,22,63,0,209,299
"Selkirk--Interlake/Selkirk--Interlake"," 83","Stonewall",1,22,157,1,22,103,0,306,569
"Selkirk--Interlake/Selkirk--Interlake"," 84","Stonewall",0,20,181,1,24,89,0,315,514
"Selkirk--Interlake/Selkirk--Interlake"," 85","Stonewall",1,36,96,2,7,54,1,197,299
"Selkirk--Interlake/Selkirk--Interlake"," 86","Stonewall",0,11,61,2,13,60,1,148,292
"Selkirk--Interlake/Selkirk--Interlake"," 87","Stonewall",0,29,195,0,23,79,0,326,509
"Selkirk--Interlake/Selkirk--Interlake"," 88","Stonewall",0,19,151,1,18,77,1,267,465
"Selkirk--Interlake/Selkirk--Interlake"," 89","Stonewall",3,16,97,0,7,50,0,173,297
"Selkirk--Interlake/Selkirk--Interlake"," 90","Stony Mountain",1,28,160,0,11,65,0,265,405
"Selkirk--Interlake/Selkirk--Interlake"," 91","Stony Mountain",1,29,223,1,12,92,0,358,515
"Selkirk--Interlake/Selkirk--Interlake"," 92","Stony Mountain",1,34,161,0,21,67,4,288,393
"Selkirk--Interlake/Selkirk--Interlake"," 93A","Stony Mountain",1,18,84,0,12,57,0,172,283
"Selkirk--Interlake/Selkirk--Interlake"," 93B","Stony Mountain",0,12,82,0,8,55,1,158,264
"Selkirk--Interlake/Selkirk--Interlake"," 94","Grosse Isle",0,15,125,5,9,67,0,221,326
"Selkirk--Interlake/Selkirk--Interlake"," 95","Rosser",1,24,158,0,3,41,0,227,654
"Selkirk--Interlake/Selkirk--Interlake"," 96","Gordon",1,37,122,1,11,77,0,249,427
"Selkirk--Interlake/Selkirk--Interlake"," 97","Ponemah",1,21,92,0,6,101,1,222,355
"Selkirk--Interlake/Selkirk--Interlake"," 98","Matlock",1,29,167,0,9,142,2,350,561
"Selkirk--Interlake/Selkirk--Interlake"," 99","Netley",2,14,137,2,10,55,0,220,331
"Selkirk--Interlake/Selkirk--Interlake"," 100","Petersfield",1,14,96,1,6,61,0,179,263
"Selkirk--Interlake/Selkirk--Interlake"," 101","Petersfield",1,36,155,2,13,107,0,314,611
"Selkirk--Interlake/Selkirk--Interlake"," 102","Clandeboye",2,36,215,0,19,132,4,408,580
"Selkirk--Interlake/Selkirk--Interlake"," 103","Dynevor",1,13,50,0,8,90,3,165,224
"Selkirk--Interlake/Selkirk--Interlake"," 104","Little Britain",5,10,125,1,10,72,0,223,399
"Selkirk--Interlake/Selkirk--Interlake"," 105","Little Britain",3,12,87,0,4,66,0,172,338
"Selkirk--Interlake/Selkirk--Interlake"," 106","Rossdale",0,23,133,0,12,87,2,257,417
"Selkirk--Interlake/Selkirk--Interlake"," 107","St. Andrews",0,20,101,0,5,92,1,219,339
"Selkirk--Interlake/Selkirk--Interlake"," 108","St. Andrews",0,15,84,0,3,56,0,158,271
"Selkirk--Interlake/Selkirk--Interlake"," 109","St. Andrews",0,32,151,0,16,96,2,297,454
"Selkirk--Interlake/Selkirk--Interlake"," 110","St. Andrews",1,15,127,1,6,75,1,226,422
"Selkirk--Interlake/Selkirk--Interlake"," 111","St. Andrews",0,25,115,0,10,114,0,264,460
"Selkirk--Interlake/Selkirk--Interlake"," 112","St. Andrews",1,22,144,0,13,89,1,270,476
"Selkirk--Interlake/Selkirk--Interlake"," 113","St. Andrews",1,15,57,0,7,73,0,153,296
"Selkirk--Interlake/Selkirk--Interlake"," 114","St. Andrews",0,23,131,0,6,107,2,269,406
"Selkirk--Interlake/Selkirk--Interlake"," 115","St. Andrews",6,33,149,1,10,135,1,335,506
"Selkirk--Interlake/Selkirk--Interlake"," 116","St. Andrews",4,18,101,2,4,113,1,243,387
"Selkirk--Interlake/Selkirk--Interlake"," 117","St. Andrews",4,23,139,0,10,90,1,267,449
"Selkirk--Interlake/Selkirk--Interlake"," 118","St. Andrews",0,19,129,0,5,104,0,257,416
"Selkirk--Interlake/Selkirk--Interlake"," 119","Selkirk",2,13,57,0,6,103,0,181,351
"Selkirk--Interlake/Selkirk--Interlake"," 120","Selkirk",1,13,45,0,5,120,0,184,345
"Selkirk--Interlake/Selkirk--Interlake"," 121","Selkirk",0,25,50,0,2,87,0,164,253
"Selkirk--Interlake/Selkirk--Interlake"," 122","Selkirk",2,31,79,0,2,87,0,201,345
"Selkirk--Interlake/Selkirk--Interlake"," 123","Selkirk",0,11,79,0,9,117,0,216,400
"Selkirk--Interlake/Selkirk--Interlake"," 124","Selkirk",0,18,63,0,6,90,1,178,316
"Selkirk--Interlake/Selkirk--Interlake"," 125","Selkirk",2,14,53,2,3,88,0,162,319
"Selkirk--Interlake/Selkirk--Interlake"," 126","Selkirk",0,16,82,1,5,117,1,222,390
"Selkirk--Interlake/Selkirk--Interlake"," 127","Selkirk",0,15,62,0,1,109,0,187,350
"Selkirk--Interlake/Selkirk--Interlake"," 128","Selkirk",0,19,65,0,9,115,1,209,423
"Selkirk--Interlake/Selkirk--Interlake"," 129","Selkirk",0,14,100,5,4,123,1,247,405
"Selkirk--Interlake/Selkirk--Interlake"," 130","Selkirk",1,18,69,0,4,85,0,177,266
"Selkirk--Interlake/Selkirk--Interlake"," 131","Selkirk",1,25,59,0,2,123,3,213,393
"Selkirk--Interlake/Selkirk--Interlake"," 132","Selkirk",1,23,70,0,5,93,1,193,404
"Selkirk--Interlake/Selkirk--Interlake"," 133","Selkirk",3,30,68,0,5,127,3,236,396
"Selkirk--Interlake/Selkirk--Interlake"," 134","Selkirk",0,25,69,1,12,94,1,202,366
"Selkirk--Interlake/Selkirk--Interlake"," 135","Selkirk",2,14,82,3,6,113,2,222,376
"Selkirk--Interlake/Selkirk--Interlake"," 136","Selkirk",2,26,90,0,3,82,0,203,344
"Selkirk--Interlake/Selkirk--Interlake"," 137","Selkirk",1,35,159,0,8,115,1,319,545
"Selkirk--Interlake/Selkirk--Interlake"," 138A","Wanasing Beach",1,24,108,0,8,107,0,248,470
"Selkirk--Interlake/Selkirk--Interlake"," 138B","Wanasing Beach",3,36,109,1,3,111,1,264,472
"Selkirk--Interlake/Selkirk--Interlake"," 139","Wanasing Beach",Void/Supprimé,,,,,,,,
"Selkirk--Interlake/Selkirk--Interlake"," 140","Wanasing Beach",Merged with No. 138B/Fusionné avec le nº 138B,,,,,,,,1
"Selkirk--Interlake/Selkirk--Interlake"," 141","Brightstone",Merged with No. 143/Fusionné avec le nº 143,,,,,,,,32
"Selkirk--Interlake/Selkirk--Interlake"," 142","Dynevor",1,28,116,0,10,129,1,285,541
"Selkirk--Interlake/Selkirk--Interlake"," 143","Thalberg",0,7,160,2,7,83,3,262,347
"Selkirk--Interlake/Selkirk--Interlake"," 144","Brokenhead 4",0,43,4,0,0,66,0,113,293
"Selkirk--Interlake/Selkirk--Interlake"," 145","Libau",4,15,96,2,7,87,1,212,338
"Selkirk--Interlake/Selkirk--Interlake"," 146","Walkleyburg",1,11,89,0,7,82,1,191,338
"Selkirk--Interlake/Selkirk--Interlake"," 147","Selkirk",1,39,195,0,18,168,1,422,686
"Selkirk--Interlake/Selkirk--Interlake"," 148","East Selkirk",0,7,51,1,4,58,0,121,198
"Selkirk--Interlake/Selkirk--Interlake"," 149","East Selkirk",0,11,51,1,6,63,0,132,200
"Selkirk--Interlake/Selkirk--Interlake"," 150","East Selkirk",3,29,189,2,10,111,0,344,617
"Selkirk--Interlake/Selkirk--Interlake"," 151","Highland Glen",0,34,127,0,12,123,1,297,462
"Selkirk--Interlake/Selkirk--Interlake"," 152","Garson",1,32,154,2,14,150,0,353,551
"Selkirk--Interlake/Selkirk--Interlake"," 153","Lockport",1,12,95,0,7,71,0,186,335
"Selkirk--Interlake/Selkirk--Interlake"," 154","Gonor",0,23,62,0,3,48,0,136,216
"Selkirk--Interlake/Selkirk--Interlake"," 155","Narol",1,25,140,1,9,137,3,316,537
"Selkirk--Interlake/Selkirk--Interlake"," 156","Gonor",0,14,60,4,7,50,0,135,230
"Selkirk--Interlake/Selkirk--Interlake"," 157","Narol",0,20,105,1,4,84,1,215,322
"Selkirk--Interlake/Selkirk--Interlake"," 158","Narol",1,19,172,1,9,103,0,305,427
"Selkirk--Interlake/Selkirk--Interlake"," 159","Narol",7,24,110,0,4,84,1,230,344
"Selkirk--Interlake/Selkirk--Interlake"," 160","Pine Ridge",2,52,140,1,6,177,2,380,694
"Selkirk--Interlake/Selkirk--Interlake"," 161","Springfield",4,34,167,1,18,105,4,333,529
"Selkirk--Interlake/Selkirk--Interlake"," 162","Cooks Creek",1,18,81,1,2,61,0,164,235
"Selkirk--Interlake/Selkirk--Interlake"," 163","Cooks Creek",0,32,138,2,14,94,1,281,402
"Selkirk--Interlake/Selkirk--Interlake"," 164","Cooks Creek",0,36,191,2,9,138,0,376,531
"Selkirk--Interlake/Selkirk--Interlake"," 165","Sapton",3,43,211,1,17,152,2,429,656
"Selkirk--Interlake/Selkirk--Interlake"," 166","Brokenhead",1,10,45,0,3,39,0,98,179
"Selkirk--Interlake/Selkirk--Interlake"," 167","Ladywood",2,9,82,0,1,68,0,162,272
"Selkirk--Interlake/Selkirk--Interlake"," 168","Tyndall",0,12,85,0,5,83,0,185,259
"Selkirk--Interlake/Selkirk--Interlake"," 169","Tyndall",2,27,164,0,11,115,0,319,497
"Selkirk--Interlake/Selkirk--Interlake"," 170","Cromwell",0,7,127,1,7,100,0,242,391
"Selkirk--Interlake/Selkirk--Interlake"," 171","Cloverleaf",1,16,151,3,5,118,3,297,466
"Selkirk--Interlake/Selkirk--Interlake"," 172","St. Ouens",0,22,130,1,2,77,1,233,371
"Selkirk--Interlake/Selkirk--Interlake"," 173","Beauséjour",0,6,34,0,1,63,0,104,182
"Selkirk--Interlake/Selkirk--Interlake"," 174","Beauséjour",3,8,49,0,3,76,5,144,270
"Selkirk--Interlake/Selkirk--Interlake"," 175","Beauséjour",2,15,98,0,10,131,0,256,392
"Selkirk--Interlake/Selkirk--Interlake"," 176","Beauséjour",3,31,146,7,12,103,1,303,780
"Selkirk--Interlake/Selkirk--Interlake"," 177","Beauséjour",3,18,111,1,4,94,1,232,337
"Selkirk--Interlake/Selkirk--Interlake"," 178","Beauséjour",1,27,66,0,2,71,0,167,301
"Selkirk--Interlake/Selkirk--Interlake"," 179","Beauséjour",1,19,124,0,6,87,1,238,391
"Selkirk--Interlake/Selkirk--Interlake"," 500","Mobile poll/Bureau itinérant",0,15,9,3,1,12,0,40,57
"Selkirk--Interlake/Selkirk--Interlake"," 501","Mobile poll/Bureau itinérant",1,5,10,0,1,8,0,25,56
"Selkirk--Interlake/Selkirk--Interlake"," 502","Mobile poll/Bureau itinérant",6,28,14,4,2,42,5,101,296
"Selkirk--Interlake/Selkirk--Interlake"," 503","Mobile poll/Bureau itinérant",0,11,15,0,2,48,1,77,185
"Selkirk--Interlake/Selkirk--Interlake"," 504","Mobile poll/Bureau itinérant",0,5,14,1,3,39,0,62,108
"Selkirk--Interlake/Selkirk--Interlake"," 600","Gypsumville",0,12,35,0,1,11,0,59,
"Selkirk--Interlake/Selkirk--Interlake"," 601","Peguis",0,7,48,2,0,13,1,71,
"Selkirk--Interlake/Selkirk--Interlake"," 602","Arborg",0,13,122,0,4,91,0,230,
"Selkirk--Interlake/Selkirk--Interlake"," 603","Eriksdale",0,7,84,0,1,41,1,134,
"Selkirk--Interlake/Selkirk--Interlake"," 604","Gimli",0,59,252,0,11,198,0,520,
"Selkirk--Interlake/Selkirk--Interlake"," 605","St. Laurent--Woodlands",0,21,75,0,1,29,0,126,
"Selkirk--Interlake/Selkirk--Interlake"," 606","Teulon",1,13,157,0,4,43,0,218,
"Selkirk--Interlake/Selkirk--Interlake"," 607","Rockwood--Rosser",3,31,328,1,22,99,1,485,
"Selkirk--Interlake/Selkirk--Interlake"," 608","St. Andrews",0,24,293,0,9,147,0,473,
"Selkirk--Interlake/Selkirk--Interlake"," 609","Selkirk",1,34,190,1,6,162,0,394,
"Selkirk--Interlake/Selkirk--Interlake"," 610","St. Clements",4,19,170,0,11,110,2,316,
"Selkirk--Interlake/Selkirk--Interlake"," 611","Alexander--St. Clements",0,28,43,1,5,66,0,143,
"Selkirk--Interlake/Selkirk--Interlake"," 612","Brokenhead--Springfield",0,25,244,0,10,171,0,450,
"Selkirk--Interlake/Selkirk--Interlake",,Group 1/Groupe 1,3,27,30,1,7,18,5,91,145
"Selkirk--Interlake/Selkirk--Interlake",,Group 2/Groupe 2,4,194,1124,13,29,534,13,1911,
