Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Migniaud Dominique,Francine Lalonde,Christian Prévost,Benjamin Rankin,Nicolas Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 21","Montréal",21,197,31,7,15,1,272,489
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 22","Montréal",19,149,25,5,14,7,219,457
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 23","Montréal",32,139,40,16,14,13,254,430
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 24","Montréal",14,93,27,8,10,3,155,311
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 25","Montréal",31,154,41,7,13,2,248,474
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 26","Montréal",41,126,51,6,12,2,238,489
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 27","Montréal",12,79,32,2,7,1,133,249
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 28","Montréal",15,153,44,8,19,2,241,354
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 29","Montréal",17,193,30,5,20,6,271,410
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 30","Montréal",16,124,30,5,11,3,189,353
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 31","Montréal",30,143,27,5,19,5,229,384
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 32A","Montréal",28,147,16,5,24,1,221,318
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 32B","Montréal",77,73,41,1,6,10,208,302
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 33","Montréal",18,173,31,2,7,2,233,407
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 34","Montréal",49,90,22,7,8,9,185,435
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 35","Montréal",33,164,39,6,4,1,247,358
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 36","Montréal",34,162,34,10,24,1,265,415
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 37","Montréal",47,158,36,6,29,8,284,425
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 38","Montréal",40,172,24,13,25,4,278,435
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 39","Montréal",41,167,45,5,29,5,292,423
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 40","Montréal",23,128,18,4,7,4,184,362
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 41","Montréal",27,192,26,8,25,2,280,456
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 42","Montréal",14,129,24,8,16,2,193,271
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 43","Montréal",31,128,37,4,14,3,217,365
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 44","Montréal",36,144,37,4,18,2,241,430
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 45A","Montréal",23,128,33,3,12,0,199,388
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 45B","Montréal",67,89,46,3,13,14,232,288
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 46","Montréal",25,208,53,10,38,1,335,562
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 47","Montréal",8,122,23,1,16,3,173,306
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 48","Montréal",29,122,27,5,11,3,197,397
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 49","Montréal",30,162,49,11,12,7,271,435
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 50","Montréal",32,164,53,9,21,7,286,438
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 51","Montréal",12,122,27,4,12,1,178,340
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 52","Montréal",20,137,29,6,19,4,215,362
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 53","Montréal",29,123,21,7,11,1,192,383
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 54","Montréal",28,98,35,11,20,4,196,305
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 55","Montréal",18,114,39,1,4,4,180,312
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 56","Montréal",20,210,38,9,23,8,308,438
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 57","Montréal",29,248,54,23,28,7,389,519
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 58","Montréal",29,160,50,9,14,3,265,430
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 59A","Montréal",29,64,24,9,9,0,135,305
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 59B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,102
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 60","Montréal",11,100,19,4,4,1,139,319
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 61","Montréal",6,69,19,9,7,0,110,259
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 62","Montréal",14,97,29,2,7,3,152,338
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 63","Montréal",28,152,43,4,11,4,242,459
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 64","Montréal",33,137,37,9,18,3,237,473
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 65","Montréal",25,142,30,6,15,3,221,422
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 66","Montréal",32,166,43,10,16,3,270,494
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 67","Montréal",38,163,35,9,15,3,263,396
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 68","Montréal",38,197,46,6,22,3,312,520
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 69","Montréal",20,162,37,9,8,6,242,350
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 70","Montréal",51,147,48,10,23,3,282,430
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 71","Montréal",33,99,21,3,8,6,170,340
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 72A","Montréal",22,108,15,5,6,1,157,337
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 72B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,23
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 73","Montréal",23,150,26,2,15,2,218,389
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 74","Montréal",18,115,36,9,12,3,193,372
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 75","Montréal",23,79,35,7,5,2,151,333
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 76","Montréal",38,95,36,1,18,2,190,399
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 77","Montréal",26,117,37,8,11,2,201,299
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 78","Montréal",29,113,42,5,14,2,205,323
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 79","Montréal",25,126,21,4,10,1,187,326
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 80","Montréal",19,139,23,6,20,6,213,346
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 81","Montréal",26,137,22,4,8,0,197,372
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 82","Montréal",24,113,24,7,9,1,178,307
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 83","Montréal",26,170,36,8,12,2,254,529
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 84","Montréal",13,142,32,6,7,2,202,345
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 85","Montréal",14,107,27,8,9,2,167,344
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 86","Montréal",27,112,35,7,13,1,195,487
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 87","Montréal",17,142,33,9,23,4,228,452
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 88","Montréal",14,128,17,13,5,3,180,399
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 89","Montréal",27,159,28,9,19,6,248,416
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 90","Montréal",38,157,41,9,14,5,264,459
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 91","Montréal",40,129,36,4,8,4,221,400
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 92","Montréal",19,131,27,3,10,2,192,355
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 93","Montréal",25,136,34,8,16,0,219,390
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 94","Montréal",28,167,26,5,13,0,239,444
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 95","Montréal-Est",37,89,21,0,8,4,159,342
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 96","Montréal-Est",16,114,27,8,8,2,175,356
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 97","Montréal-Est",17,131,40,5,7,6,206,388
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 98","Montréal-Est",14,114,22,6,15,5,176,422
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 99","Montréal-Est",17,141,24,6,5,8,201,428
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 100","Montréal-Est",26,87,39,2,14,5,173,443
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 101","Montréal-Est",19,130,28,6,8,4,195,359
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 102","Montréal",47,148,33,8,10,6,252,379
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 103","Montréal",34,155,37,9,16,4,255,405
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 104","Montréal",53,119,24,10,16,3,225,357
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 105","Montréal",21,151,22,4,15,1,214,383
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 106","Montréal",26,91,35,4,4,0,160,317
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 107","Montréal-Est",18,124,36,3,9,3,193,385
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 108","Montréal-Est",22,127,34,15,13,1,212,534
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 109","Montréal",34,133,27,7,18,2,221,400
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 110","Montréal",39,142,25,6,26,5,243,449
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 111","Montréal",22,156,35,9,16,3,241,428
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 112","Montréal",42,149,20,5,14,1,231,446
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 113","Montréal",26,118,33,15,10,4,206,351
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 114","Montréal",37,193,45,9,29,5,318,549
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 115","Montréal",56,104,35,14,16,4,229,343
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 116","Montréal",56,96,26,9,27,3,217,400
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 117","Montréal",34,104,33,4,14,5,194,380
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 118","Montréal",61,112,27,9,12,4,225,375
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 119","Montréal",56,98,39,5,19,0,217,368
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 120","Montréal",54,108,25,7,17,2,213,361
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 121","Montréal",45,136,42,12,13,3,251,383
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 122","Montréal",25,119,29,8,16,3,200,357
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 123","Montréal",23,119,32,9,11,1,195,385
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 124","Montréal",17,172,23,9,12,2,235,430
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 125","Montréal",14,114,26,7,15,3,179,293
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 126","Montréal",19,160,33,5,21,3,241,415
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 127","Montréal",31,136,39,4,22,1,233,482
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 128","Montréal",27,104,34,3,13,4,185,335
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 129","Montréal",17,120,35,9,15,1,197,398
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 130","Montréal",44,175,38,11,21,2,291,561
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 131","Montréal",38,134,30,13,22,4,241,454
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 132","Montréal",49,121,43,8,12,6,239,446
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 133","Montréal",30,126,30,11,16,3,216,338
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 134","Montréal",46,139,26,9,28,1,249,423
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 135","Montréal",39,113,40,12,29,9,242,376
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 136","Montréal",30,117,38,10,15,3,213,320
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 137","Montréal",18,118,33,4,19,1,193,337
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 138","Montréal",58,144,32,17,27,5,283,426
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 139","Montréal",48,186,28,16,23,6,307,497
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 140","Montréal",40,131,33,9,24,3,240,401
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 141","Montréal",13,109,19,12,13,1,167,306
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 142","Montréal",28,175,32,11,22,5,273,475
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 143","Montréal",18,137,20,9,20,0,204,359
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 144","Montréal",29,115,28,9,10,7,198,481
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 145","Montréal",13,57,15,3,5,2,95,293
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 146","Montréal",23,162,38,5,17,2,247,367
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 147","Montréal",24,137,31,12,22,4,230,349
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 148","Montréal",35,159,41,6,20,0,261,425
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 149","Montréal",23,114,25,5,20,0,187,351
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 150","Montréal",21,134,32,8,8,3,206,336
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 151","Montréal",41,109,19,7,16,3,195,391
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 152","Montréal",18,132,28,7,15,8,208,453
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 153","Montréal",25,134,34,6,16,3,218,388
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 154","Montréal",34,107,33,8,10,5,197,284
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 155","Montréal",26,106,20,2,12,2,168,342
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 156","Montréal",25,142,31,4,21,8,231,406
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 157","Montréal",40,129,50,13,21,10,263,419
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 158","Montréal",37,128,46,7,29,2,249,383
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 159","Montréal",36,103,27,10,13,1,190,312
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 160","Montréal",32,126,31,6,18,2,215,362
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 161","Montréal",26,114,41,6,17,0,204,329
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 162","Montréal",37,179,32,7,30,2,287,386
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 163","Montréal",23,128,18,13,22,2,206,335
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 164","Montréal",24,156,16,16,20,2,234,425
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 165","Montréal",18,148,26,7,23,4,226,349
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 166","Montréal",30,150,26,6,19,2,233,372
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 167A","Montréal",28,166,42,9,21,8,274,505
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 167B","Montréal",20,29,10,2,6,4,71,274
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 168","Montréal",45,102,45,10,17,0,219,352
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 169","Montréal",40,154,32,14,24,3,267,403
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 170","Montréal",27,114,17,4,7,3,172,327
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 171","Montréal",2,63,12,2,3,1,83,178
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 172","Montréal",17,108,30,7,11,4,177,301
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 173","Montréal",27,109,28,9,21,6,200,346
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 174","Montréal",20,119,30,5,12,0,186,299
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 175","Montréal",36,112,23,4,9,12,196,320
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 176","Montréal",11,129,25,8,5,3,181,325
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 177","Montréal",39,100,42,5,14,2,202,306
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 178","Montréal",40,101,46,7,14,1,209,309
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 179","Montréal",55,95,44,2,17,5,218,446
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 180","Montréal",30,81,48,4,9,5,177,312
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 181","Montréal",22,93,32,2,17,3,169,314
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 182","Montréal",28,108,26,12,11,3,188,328
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 183","Montréal",64,69,29,3,20,3,188,359
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 184","Montréal",54,100,32,7,15,2,210,385
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 185","Montréal",30,95,20,3,13,2,163,306
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 186","Montréal",36,134,25,12,23,5,235,452
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 187","Montréal",42,106,31,7,21,4,211,425
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 188","Montréal",18,85,24,4,18,1,150,362
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 189","Montréal",52,72,22,2,15,4,167,339
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 190","Montréal",86,93,31,12,27,2,251,428
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 191","Montréal",75,44,18,4,15,2,158,296
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 192","Montréal",47,76,31,8,24,0,186,453
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 193","Montréal",37,116,24,5,11,2,195,414
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 194","Montréal",43,82,41,5,18,2,191,456
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 195","Montréal",50,138,32,5,21,7,253,587
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 196","Montréal",22,104,28,6,19,4,183,321
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 197","Montréal",27,107,17,7,10,3,171,316
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 500","Mobile poll/Bureau itinérant",27,22,5,2,2,4,62,66
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 501A","Mobile poll/Bureau itinérant",16,25,12,0,4,4,61,93
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 501B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,27
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 502A","Mobile poll/Bureau itinérant",31,50,14,0,3,1,99,93
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 502B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,8
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 503","Mobile poll/Bureau itinérant",20,23,13,1,5,0,62,97
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 600","Montréal",95,358,131,19,36,6,645,
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 601","Montréal",62,224,78,7,24,8,403,
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 602","Montréal",69,251,70,19,19,4,432,
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 603","Montréal",91,254,107,12,20,5,489,
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 604","Montréal",66,231,120,10,26,6,459,
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 605","Montréal",62,225,52,9,21,8,377,
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 606","Montréal",55,248,66,13,30,2,414,
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 607","Montréal",53,152,59,6,18,1,289,
"La Pointe-de-l'Île/La Pointe-de-l'Île"," 608","Montréal",68,150,56,5,16,1,296,
"La Pointe-de-l'Île/La Pointe-de-l'Île",,Group 1/Groupe 1,22,43,23,5,4,6,103,189
"La Pointe-de-l'Île/La Pointe-de-l'Île",,Group 2/Groupe 2,175,626,96,18,48,27,990,
