Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shirley Baril,Steven Blaney,Eric Boucher,Normand Cadrin,Mathieu Castonguay,Réal Lapierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lévis--Bellechasse/Lévis--Bellechasse"," 41","Lévis",14,78,15,21,9,118,6,261,481
"Lévis--Bellechasse/Lévis--Bellechasse"," 42","Lévis",12,63,12,18,18,59,2,184,329
"Lévis--Bellechasse/Lévis--Bellechasse"," 43","Lévis",19,69,18,11,27,97,1,242,409
"Lévis--Bellechasse/Lévis--Bellechasse"," 44","Lévis",11,66,4,9,17,72,4,183,385
"Lévis--Bellechasse/Lévis--Bellechasse"," 45","Lévis",24,71,17,13,25,121,0,271,438
"Lévis--Bellechasse/Lévis--Bellechasse"," 46","Lévis",16,93,22,9,24,77,2,243,436
"Lévis--Bellechasse/Lévis--Bellechasse"," 47","Lévis",8,50,10,10,11,71,2,162,276
"Lévis--Bellechasse/Lévis--Bellechasse"," 48","Lévis",26,82,12,13,19,68,1,221,392
"Lévis--Bellechasse/Lévis--Bellechasse"," 49","Lévis",7,32,4,11,16,54,0,124,276
"Lévis--Bellechasse/Lévis--Bellechasse"," 50","Lévis",24,59,7,10,10,53,0,163,393
"Lévis--Bellechasse/Lévis--Bellechasse"," 51","Lévis",11,97,14,11,6,77,3,219,430
"Lévis--Bellechasse/Lévis--Bellechasse"," 52","Lévis",12,62,4,8,2,36,3,127,242
"Lévis--Bellechasse/Lévis--Bellechasse"," 53","Lévis",18,55,5,17,8,49,0,152,323
"Lévis--Bellechasse/Lévis--Bellechasse"," 54","Lévis",21,97,9,13,8,48,6,202,386
"Lévis--Bellechasse/Lévis--Bellechasse"," 55","Lévis",21,60,6,11,6,51,1,156,400
"Lévis--Bellechasse/Lévis--Bellechasse"," 56","Lévis",13,91,14,13,12,69,2,214,405
"Lévis--Bellechasse/Lévis--Bellechasse"," 57","Lévis",23,72,3,4,2,29,0,133,282
"Lévis--Bellechasse/Lévis--Bellechasse"," 58","Lévis",30,82,20,4,10,51,1,198,384
"Lévis--Bellechasse/Lévis--Bellechasse"," 59","Lévis",15,86,5,13,7,65,2,193,376
"Lévis--Bellechasse/Lévis--Bellechasse"," 60","Lévis",16,82,9,19,10,46,0,182,378
"Lévis--Bellechasse/Lévis--Bellechasse"," 61","Lévis",10,84,11,17,6,51,2,181,311
"Lévis--Bellechasse/Lévis--Bellechasse"," 62","Lévis",9,82,10,13,6,69,2,191,334
"Lévis--Bellechasse/Lévis--Bellechasse"," 63","Lévis",12,72,7,5,8,57,3,164,272
"Lévis--Bellechasse/Lévis--Bellechasse"," 64","Lévis",15,79,8,8,11,50,4,175,291
"Lévis--Bellechasse/Lévis--Bellechasse"," 65","Lévis",14,50,5,11,5,40,0,125,274
"Lévis--Bellechasse/Lévis--Bellechasse"," 66","Lévis",20,86,9,16,6,61,3,201,375
"Lévis--Bellechasse/Lévis--Bellechasse"," 67","Lévis",16,124,12,17,11,97,6,283,539
"Lévis--Bellechasse/Lévis--Bellechasse"," 68","Lévis",14,148,21,37,12,85,3,320,518
"Lévis--Bellechasse/Lévis--Bellechasse"," 69","Lévis",16,108,18,17,20,67,1,247,477
"Lévis--Bellechasse/Lévis--Bellechasse"," 70","Lévis",5,63,11,6,4,34,2,125,349
"Lévis--Bellechasse/Lévis--Bellechasse"," 71","Lévis",14,103,6,12,16,76,4,231,354
"Lévis--Bellechasse/Lévis--Bellechasse"," 72A","Lévis",13,83,7,3,6,47,2,161,329
"Lévis--Bellechasse/Lévis--Bellechasse"," 72B","Lévis",7,113,4,7,3,50,3,187,347
"Lévis--Bellechasse/Lévis--Bellechasse"," 73","Lévis",8,69,6,8,7,47,1,146,284
"Lévis--Bellechasse/Lévis--Bellechasse"," 74","Lévis",8,117,9,13,10,83,12,252,379
"Lévis--Bellechasse/Lévis--Bellechasse"," 75","Lévis",16,115,14,20,7,85,2,259,489
"Lévis--Bellechasse/Lévis--Bellechasse"," 76","Lévis",17,103,19,11,10,75,2,237,457
"Lévis--Bellechasse/Lévis--Bellechasse"," 77","Lévis",4,55,6,1,7,54,1,128,260
"Lévis--Bellechasse/Lévis--Bellechasse"," 78","Lévis",22,196,29,17,22,92,3,381,655
"Lévis--Bellechasse/Lévis--Bellechasse"," 79","Lévis",16,98,8,7,8,61,4,202,359
"Lévis--Bellechasse/Lévis--Bellechasse"," 80","Lévis",14,90,8,18,2,74,1,207,337
"Lévis--Bellechasse/Lévis--Bellechasse"," 81A","Lévis",7,111,12,11,7,71,0,219,349
"Lévis--Bellechasse/Lévis--Bellechasse"," 81B","Lévis",5,103,20,5,8,88,0,229,365
"Lévis--Bellechasse/Lévis--Bellechasse"," 82","Lévis",4,126,21,25,14,93,1,284,429
"Lévis--Bellechasse/Lévis--Bellechasse"," 83","Lévis",11,104,8,17,9,105,0,254,401
"Lévis--Bellechasse/Lévis--Bellechasse"," 84","Lévis",9,143,12,20,16,87,1,288,424
"Lévis--Bellechasse/Lévis--Bellechasse"," 85","Lévis",18,198,15,27,14,103,3,378,616
"Lévis--Bellechasse/Lévis--Bellechasse"," 86A","Lévis",10,113,20,16,4,77,1,241,427
"Lévis--Bellechasse/Lévis--Bellechasse"," 86B","Lévis",7,100,14,9,2,72,2,206,396
"Lévis--Bellechasse/Lévis--Bellechasse"," 87","Lévis",6,92,7,12,4,60,8,189,366
"Lévis--Bellechasse/Lévis--Bellechasse"," 88","Lévis",6,100,5,11,4,29,1,156,327
"Lévis--Bellechasse/Lévis--Bellechasse"," 89","Saint-Romuald",9,60,5,20,19,66,2,181,309
"Lévis--Bellechasse/Lévis--Bellechasse"," 90","Saint-Romuald",22,97,16,14,11,79,3,242,428
"Lévis--Bellechasse/Lévis--Bellechasse"," 91","Saint-Romuald",25,98,10,22,13,78,2,248,476
"Lévis--Bellechasse/Lévis--Bellechasse"," 92","Saint-Romuald",18,78,5,5,8,87,2,203,426
"Lévis--Bellechasse/Lévis--Bellechasse"," 93","Saint-Romuald",16,68,4,13,10,53,2,166,279
"Lévis--Bellechasse/Lévis--Bellechasse"," 94","Saint-Romuald",28,89,16,16,15,80,2,246,454
"Lévis--Bellechasse/Lévis--Bellechasse"," 95","Saint-Romuald",27,84,7,15,5,77,2,217,446
"Lévis--Bellechasse/Lévis--Bellechasse"," 96","Saint-Romuald",15,93,20,7,10,69,0,214,402
"Lévis--Bellechasse/Lévis--Bellechasse"," 97","Saint-Romuald",21,79,8,14,8,32,2,164,314
"Lévis--Bellechasse/Lévis--Bellechasse"," 98","Saint-Romuald",15,80,13,13,11,70,3,205,400
"Lévis--Bellechasse/Lévis--Bellechasse"," 99","Saint-Romuald",10,64,14,9,6,60,2,165,345
"Lévis--Bellechasse/Lévis--Bellechasse"," 100A","Saint-Romuald",10,88,12,14,5,61,0,190,331
"Lévis--Bellechasse/Lévis--Bellechasse"," 100B","Saint-Romuald",7,92,12,12,5,54,0,182,331
"Lévis--Bellechasse/Lévis--Bellechasse"," 101","Saint-Romuald",18,96,24,12,14,95,1,260,383
"Lévis--Bellechasse/Lévis--Bellechasse"," 102","Saint-Romuald",22,78,20,8,17,94,1,240,360
"Lévis--Bellechasse/Lévis--Bellechasse"," 103","Saint-Romuald",15,76,16,14,11,61,0,193,368
"Lévis--Bellechasse/Lévis--Bellechasse"," 104","Saint-Romuald",6,31,13,2,10,48,1,111,219
"Lévis--Bellechasse/Lévis--Bellechasse"," 105","Saint-Romuald",5,98,8,8,10,74,3,206,379
"Lévis--Bellechasse/Lévis--Bellechasse"," 106","Saint-Romuald",6,78,7,6,2,36,1,136,291
"Lévis--Bellechasse/Lévis--Bellechasse"," 107","Saint-Romuald",14,83,7,8,4,48,3,167,353
"Lévis--Bellechasse/Lévis--Bellechasse"," 108","Saint-Romuald",17,103,16,12,8,71,4,231,469
"Lévis--Bellechasse/Lévis--Bellechasse"," 109","Saint-Romuald",21,125,26,21,10,99,4,306,520
"Lévis--Bellechasse/Lévis--Bellechasse"," 110","Saint-Romuald",17,90,21,11,15,80,1,235,419
"Lévis--Bellechasse/Lévis--Bellechasse"," 111","Saint-Romuald",17,80,6,7,7,64,1,182,345
"Lévis--Bellechasse/Lévis--Bellechasse"," 112","Saint-Romuald",23,148,26,21,8,106,4,336,575
"Lévis--Bellechasse/Lévis--Bellechasse"," 113","Pintendre",11,99,18,17,15,73,0,233,407
"Lévis--Bellechasse/Lévis--Bellechasse"," 114","Pintendre",5,110,15,34,4,78,1,247,381
"Lévis--Bellechasse/Lévis--Bellechasse"," 115","Pintendre",9,143,13,16,14,105,2,302,490
"Lévis--Bellechasse/Lévis--Bellechasse"," 116","Pintendre",10,169,14,23,14,84,3,317,488
"Lévis--Bellechasse/Lévis--Bellechasse"," 117","Pintendre",11,116,10,19,8,49,3,216,317
"Lévis--Bellechasse/Lévis--Bellechasse"," 118","Pintendre",10,156,16,29,9,82,2,304,558
"Lévis--Bellechasse/Lévis--Bellechasse"," 119","Pintendre",7,150,18,19,15,75,1,285,497
"Lévis--Bellechasse/Lévis--Bellechasse"," 120","Pintendre",7,161,13,49,18,117,2,367,616
"Lévis--Bellechasse/Lévis--Bellechasse"," 121","Pintendre",7,120,13,20,8,57,4,229,397
"Lévis--Bellechasse/Lévis--Bellechasse"," 122","Pintendre",6,105,11,19,11,46,0,198,309
"Lévis--Bellechasse/Lévis--Bellechasse"," 123","Pintendre",10,97,12,13,8,74,0,214,322
"Lévis--Bellechasse/Lévis--Bellechasse"," 124","Saint-Henri",16,78,5,9,6,42,1,157,290
"Lévis--Bellechasse/Lévis--Bellechasse"," 125","Saint-Henri",11,102,10,39,9,56,0,227,384
"Lévis--Bellechasse/Lévis--Bellechasse"," 126","Saint-Henri",14,141,7,36,11,59,3,271,422
"Lévis--Bellechasse/Lévis--Bellechasse"," 127","Saint-Henri",17,113,5,23,5,46,1,210,399
"Lévis--Bellechasse/Lévis--Bellechasse"," 128","Saint-Henri",24,199,11,42,10,103,1,390,607
"Lévis--Bellechasse/Lévis--Bellechasse"," 129","Saint-Henri",17,124,6,26,7,70,3,253,413
"Lévis--Bellechasse/Lévis--Bellechasse"," 130","Saint-Henri",11,105,15,29,7,61,1,229,369
"Lévis--Bellechasse/Lévis--Bellechasse"," 131","Saint-Henri",6,83,9,19,2,49,1,169,287
"Lévis--Bellechasse/Lévis--Bellechasse"," 132","Saint-Vallier",24,104,7,10,22,53,0,220,367
"Lévis--Bellechasse/Lévis--Bellechasse"," 133","Saint-Vallier",18,111,12,17,8,91,1,258,455
"Lévis--Bellechasse/Lévis--Bellechasse"," 134","La Durantaye",19,99,8,18,3,67,2,216,355
"Lévis--Bellechasse/Lévis--Bellechasse"," 135","La Durantaye",14,56,11,12,5,31,3,132,226
"Lévis--Bellechasse/Lévis--Bellechasse"," 136","Saint-Michel",22,82,11,11,12,51,2,191,294
"Lévis--Bellechasse/Lévis--Bellechasse"," 137","Saint-Michel",15,65,5,7,15,58,3,168,260
"Lévis--Bellechasse/Lévis--Bellechasse"," 138","Saint-Michel",20,134,15,14,9,73,1,266,416
"Lévis--Bellechasse/Lévis--Bellechasse"," 139","Saint-Michel",7,110,7,14,10,49,1,198,332
"Lévis--Bellechasse/Lévis--Bellechasse"," 140","Beaumont",3,124,15,14,28,48,3,235,353
"Lévis--Bellechasse/Lévis--Bellechasse"," 141","Beaumont",16,129,12,29,8,48,1,243,329
"Lévis--Bellechasse/Lévis--Bellechasse"," 142","Beaumont",21,99,10,16,21,68,3,238,344
"Lévis--Bellechasse/Lévis--Bellechasse"," 143","Beaumont",12,177,11,21,48,46,3,318,430
"Lévis--Bellechasse/Lévis--Bellechasse"," 144","Beaumont",14,105,7,16,10,58,4,214,342
"Lévis--Bellechasse/Lévis--Bellechasse"," 145","Saint-Charles-de-Bellechasse",17,100,15,22,5,69,1,229,346
"Lévis--Bellechasse/Lévis--Bellechasse"," 146","Saint-Charles-de-Bellechasse",16,80,7,11,11,68,2,195,301
"Lévis--Bellechasse/Lévis--Bellechasse"," 147","Saint-Charles-de-Bellechasse",11,68,9,11,3,47,1,150,218
"Lévis--Bellechasse/Lévis--Bellechasse"," 148","Saint-Charles-de-Bellechasse",19,134,10,24,12,114,4,317,434
"Lévis--Bellechasse/Lévis--Bellechasse"," 149","Saint-Charles-de-Bellechasse",7,118,12,7,5,92,4,245,359
"Lévis--Bellechasse/Lévis--Bellechasse"," 150","Saint-Raphaël",9,87,10,9,8,56,0,179,391
"Lévis--Bellechasse/Lévis--Bellechasse"," 151","Saint-Raphaël",8,117,7,3,4,50,3,192,354
"Lévis--Bellechasse/Lévis--Bellechasse"," 152","Saint-Raphaël",11,77,4,9,4,34,0,139,317
"Lévis--Bellechasse/Lévis--Bellechasse"," 153","Saint-Raphaël",15,104,1,9,3,21,1,154,313
"Lévis--Bellechasse/Lévis--Bellechasse"," 154","Saint-Raphaël",13,118,2,7,3,44,4,191,413
"Lévis--Bellechasse/Lévis--Bellechasse"," 155","Saint-Gervais",9,77,4,12,2,62,1,167,294
"Lévis--Bellechasse/Lévis--Bellechasse"," 156","Saint-Gervais",19,137,8,22,9,50,4,249,398
"Lévis--Bellechasse/Lévis--Bellechasse"," 157","Saint-Gervais",16,149,6,18,6,42,1,238,429
"Lévis--Bellechasse/Lévis--Bellechasse"," 158","Saint-Gervais",12,107,4,11,6,25,0,165,315
"Lévis--Bellechasse/Lévis--Bellechasse"," 159","Saint-Nérée",10,74,11,11,5,42,2,155,281
"Lévis--Bellechasse/Lévis--Bellechasse"," 160","Saint-Nérée",4,113,9,10,3,59,1,199,379
"Lévis--Bellechasse/Lévis--Bellechasse"," 161","Armagh",10,96,8,3,3,37,2,159,243
"Lévis--Bellechasse/Lévis--Bellechasse"," 162","Armagh",18,107,4,5,2,41,2,179,307
"Lévis--Bellechasse/Lévis--Bellechasse"," 163","Armagh",14,112,4,11,3,55,10,209,323
"Lévis--Bellechasse/Lévis--Bellechasse"," 164","Armagh",9,148,7,8,5,40,3,220,352
"Lévis--Bellechasse/Lévis--Bellechasse"," 165","Saint-Anselme",11,85,9,78,2,46,1,232,331
"Lévis--Bellechasse/Lévis--Bellechasse"," 166","Saint-Anselme",7,115,2,58,5,60,0,247,372
"Lévis--Bellechasse/Lévis--Bellechasse"," 167","Saint-Anselme",15,88,10,61,5,35,3,217,364
"Lévis--Bellechasse/Lévis--Bellechasse"," 168","Saint-Anselme",11,89,1,57,1,38,2,199,318
"Lévis--Bellechasse/Lévis--Bellechasse"," 169","Saint-Anselme",16,124,6,88,1,49,1,285,411
"Lévis--Bellechasse/Lévis--Bellechasse"," 170","Saint-Anselme",11,80,8,49,7,21,2,178,276
"Lévis--Bellechasse/Lévis--Bellechasse"," 171","Saint-Anselme",13,108,6,96,3,36,1,263,446
"Lévis--Bellechasse/Lévis--Bellechasse"," 172","Honfleur",17,115,6,27,3,55,2,225,340
"Lévis--Bellechasse/Lévis--Bellechasse"," 173","Honfleur",37,88,2,26,1,28,1,183,281
"Lévis--Bellechasse/Lévis--Bellechasse"," 174","Sainte-Claire",25,127,5,30,5,34,0,226,375
"Lévis--Bellechasse/Lévis--Bellechasse"," 175","Sainte-Claire",17,156,8,38,4,54,3,280,411
"Lévis--Bellechasse/Lévis--Bellechasse"," 176","Sainte-Claire",9,124,8,25,2,63,5,236,397
"Lévis--Bellechasse/Lévis--Bellechasse"," 177","Sainte-Claire",1,66,1,19,2,33,0,122,226
"Lévis--Bellechasse/Lévis--Bellechasse"," 178","Sainte-Claire",9,122,3,16,4,62,4,220,390
"Lévis--Bellechasse/Lévis--Bellechasse"," 179","Sainte-Claire",6,87,5,18,6,40,4,166,286
"Lévis--Bellechasse/Lévis--Bellechasse"," 180","Sainte-Claire",11,98,8,29,2,50,2,200,348
"Lévis--Bellechasse/Lévis--Bellechasse"," 181","Saint-Lazare",8,112,6,24,3,31,2,186,269
"Lévis--Bellechasse/Lévis--Bellechasse"," 182","Saint-Lazare",13,102,4,25,3,55,8,210,309
"Lévis--Bellechasse/Lévis--Bellechasse"," 183","Saint-Lazare",3,149,7,13,9,51,3,235,339
"Lévis--Bellechasse/Lévis--Bellechasse"," 184","Saint-Damien-de-Buckland",20,118,7,8,4,48,3,208,393
"Lévis--Bellechasse/Lévis--Bellechasse"," 185","Saint-Damien-de-Buckland",66,74,9,8,8,53,6,224,497
"Lévis--Bellechasse/Lévis--Bellechasse"," 186","Saint-Damien-de-Buckland",37,127,11,3,2,42,5,227,329
"Lévis--Bellechasse/Lévis--Bellechasse"," 187","Saint-Damien-de-Buckland",16,77,5,11,2,56,2,169,327
"Lévis--Bellechasse/Lévis--Bellechasse"," 188","Saint-Damien-de-Buckland",6,71,5,9,2,33,0,126,229
"Lévis--Bellechasse/Lévis--Bellechasse"," 189","Buckland",18,120,15,8,1,44,1,207,331
"Lévis--Bellechasse/Lévis--Bellechasse"," 190","Buckland",26,98,6,5,2,33,2,172,289
"Lévis--Bellechasse/Lévis--Bellechasse"," 191","Saint-Philémon",19,107,6,11,4,61,3,211,348
"Lévis--Bellechasse/Lévis--Bellechasse"," 192","Saint-Philémon",38,86,4,1,3,55,1,188,310
"Lévis--Bellechasse/Lévis--Bellechasse"," 193","Saint-Magloire",20,83,5,4,6,49,2,169,253
"Lévis--Bellechasse/Lévis--Bellechasse"," 194","Saint-Magloire",32,121,6,5,7,60,1,232,323
"Lévis--Bellechasse/Lévis--Bellechasse"," 195","Sainte-Sabine",40,120,11,7,7,56,3,244,349
"Lévis--Bellechasse/Lévis--Bellechasse"," 196","Saint-Luc",28,104,7,8,1,80,1,229,395
"Lévis--Bellechasse/Lévis--Bellechasse"," 197","Saint-Nazaire-de-Dorchester",10,104,1,10,3,69,4,201,293
"Lévis--Bellechasse/Lévis--Bellechasse"," 198","Saint-Malachie",13,94,9,20,3,24,0,163,323
"Lévis--Bellechasse/Lévis--Bellechasse"," 199","Saint-Malachie",7,93,9,12,11,41,2,175,273
"Lévis--Bellechasse/Lévis--Bellechasse"," 200","Saint-Malachie",19,147,15,36,11,81,1,310,508
"Lévis--Bellechasse/Lévis--Bellechasse"," 201","Saint-Léon-de-Standon",18,82,2,7,1,39,0,149,255
"Lévis--Bellechasse/Lévis--Bellechasse"," 202","Saint-Léon-de-Standon",23,123,8,16,3,47,1,221,335
"Lévis--Bellechasse/Lévis--Bellechasse"," 203","Saint-Léon-de-Standon",15,231,9,8,12,50,1,326,380
"Lévis--Bellechasse/Lévis--Bellechasse"," 204","Saint-Camille-de-Lellis",25,124,4,5,4,63,1,226,373
"Lévis--Bellechasse/Lévis--Bellechasse"," 205","Saint-Camille-de-Lellis",23,119,4,5,3,43,1,198,336
"Lévis--Bellechasse/Lévis--Bellechasse"," 206","Saint-Cyprien",38,161,8,1,8,55,3,274,491
"Lévis--Bellechasse/Lévis--Bellechasse"," 207","Sainte-Justine",18,124,5,4,3,50,3,207,347
"Lévis--Bellechasse/Lévis--Bellechasse"," 208","Sainte-Justine",18,106,5,6,6,26,2,169,292
"Lévis--Bellechasse/Lévis--Bellechasse"," 209","Sainte-Justine",19,158,12,6,5,58,0,258,388
"Lévis--Bellechasse/Lévis--Bellechasse"," 210","Sainte-Justine",34,165,5,5,6,48,0,263,396
"Lévis--Bellechasse/Lévis--Bellechasse"," 211","Sainte-Germaine-du-Lac-Etchemin",4,70,7,2,7,25,0,115,259
"Lévis--Bellechasse/Lévis--Bellechasse"," 212","Sainte-Germaine-du-Lac-Etchemin",10,161,6,11,10,53,1,252,527
"Lévis--Bellechasse/Lévis--Bellechasse"," 213","Lac-Etchemin",9,162,5,8,6,47,0,237,451
"Lévis--Bellechasse/Lévis--Bellechasse"," 214","Lac-Etchemin",9,91,4,8,7,45,3,167,294
"Lévis--Bellechasse/Lévis--Bellechasse"," 215","Lac-Etchemin",14,74,1,5,5,32,2,133,288
"Lévis--Bellechasse/Lévis--Bellechasse"," 216","Lac-Etchemin",19,78,3,13,8,49,1,171,329
"Lévis--Bellechasse/Lévis--Bellechasse"," 217","Lac-Etchemin",13,77,2,0,4,33,1,130,259
"Lévis--Bellechasse/Lévis--Bellechasse"," 218","Lac-Etchemin",6,113,7,8,3,27,2,166,268
"Lévis--Bellechasse/Lévis--Bellechasse"," 219","Sainte-Germaine-du-Lac-Etchemin",10,206,5,11,4,62,5,303,576
"Lévis--Bellechasse/Lévis--Bellechasse"," 220","Sainte-Rose-de-Watford",17,73,4,3,4,32,1,134,261
"Lévis--Bellechasse/Lévis--Bellechasse"," 221","Sainte-Rose-de-Watford",13,110,6,5,5,40,0,179,329
"Lévis--Bellechasse/Lévis--Bellechasse"," 222","Saint-Louis-de-Gonzague",15,86,9,1,5,49,2,167,319
"Lévis--Bellechasse/Lévis--Bellechasse"," 400","Lévis",19,39,2,8,3,20,2,93,134
"Lévis--Bellechasse/Lévis--Bellechasse"," 500","Mobile poll/Bureau itinérant",12,14,0,0,0,21,0,47,101
"Lévis--Bellechasse/Lévis--Bellechasse"," 501","Mobile poll/Bureau itinérant",14,14,2,2,0,8,0,40,100
"Lévis--Bellechasse/Lévis--Bellechasse"," 502","Mobile poll/Bureau itinérant",21,25,1,2,1,18,2,70,200
"Lévis--Bellechasse/Lévis--Bellechasse"," 503","Mobile poll/Bureau itinérant",5,6,0,2,0,2,1,16,57
"Lévis--Bellechasse/Lévis--Bellechasse"," 504","Mobile poll/Bureau itinérant",10,25,4,5,6,13,3,66,226
"Lévis--Bellechasse/Lévis--Bellechasse"," 505","Mobile poll/Bureau itinérant",17,13,2,1,1,14,0,48,121
"Lévis--Bellechasse/Lévis--Bellechasse"," 600","Lévis",31,134,17,29,19,103,4,337,
"Lévis--Bellechasse/Lévis--Bellechasse"," 601","Lévis",43,186,11,46,18,143,8,455,
"Lévis--Bellechasse/Lévis--Bellechasse"," 602","Lévis",44,156,17,40,15,98,4,374,
"Lévis--Bellechasse/Lévis--Bellechasse"," 603","Lévis",71,129,15,29,9,88,3,344,
"Lévis--Bellechasse/Lévis--Bellechasse"," 604","Lévis",52,149,17,29,16,125,4,392,
"Lévis--Bellechasse/Lévis--Bellechasse"," 605","Lévis",96,219,14,41,9,152,5,536,
"Lévis--Bellechasse/Lévis--Bellechasse"," 606","Lévis",49,183,9,29,10,122,2,404,
"Lévis--Bellechasse/Lévis--Bellechasse"," 607","Lévis",40,197,14,49,10,159,5,474,
"Lévis--Bellechasse/Lévis--Bellechasse"," 608","Saint-Romuald",79,193,17,24,15,144,3,475,
"Lévis--Bellechasse/Lévis--Bellechasse"," 609","Saint-Romuald",59,164,23,33,15,137,3,434,
"Lévis--Bellechasse/Lévis--Bellechasse"," 610","Pintendre--Saint-Henri",38,169,9,35,8,69,2,330,
"Lévis--Bellechasse/Lévis--Bellechasse"," 611","Saint-Charles--Saint-Vallier",44,109,19,29,24,89,3,317,
