Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Royal Galipeau,Marc Godbout,Mark Andrew Leahy,Alain Saint-Yves,Sarah Samplonius,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ottawa--Orléans/Ottawa--Orléans"," 35","Gloucester",74,92,52,3,8,2,231,326
"Ottawa--Orléans/Ottawa--Orléans"," 36","Gloucester",101,103,47,2,19,6,278,446
"Ottawa--Orléans/Ottawa--Orléans"," 37","Gloucester",154,151,88,1,13,1,408,619
"Ottawa--Orléans/Ottawa--Orléans"," 38","Gloucester",122,94,48,3,8,0,275,377
"Ottawa--Orléans/Ottawa--Orléans"," 39","Gloucester",113,77,48,1,6,0,245,382
"Ottawa--Orléans/Ottawa--Orléans"," 40","Gloucester",35,31,19,3,6,3,97,138
"Ottawa--Orléans/Ottawa--Orléans"," 41","Gloucester",80,88,54,2,12,2,238,421
"Ottawa--Orléans/Ottawa--Orléans"," 42","Gloucester",106,104,49,1,13,0,273,473
"Ottawa--Orléans/Ottawa--Orléans"," 43","Gloucester",128,111,44,1,7,1,292,497
"Ottawa--Orléans/Ottawa--Orléans"," 44","Gloucester",104,92,44,4,12,0,256,397
"Ottawa--Orléans/Ottawa--Orléans"," 45","Gloucester",113,96,42,6,16,0,273,424
"Ottawa--Orléans/Ottawa--Orléans"," 46","Gloucester",124,121,28,3,10,0,286,453
"Ottawa--Orléans/Ottawa--Orléans"," 47","Gloucester",82,78,36,2,11,3,212,320
"Ottawa--Orléans/Ottawa--Orléans"," 48","Gloucester",67,51,36,2,6,0,162,232
"Ottawa--Orléans/Ottawa--Orléans"," 49","Gloucester",103,120,49,0,17,0,289,454
"Ottawa--Orléans/Ottawa--Orléans"," 50","Gloucester",107,94,49,2,15,1,268,422
"Ottawa--Orléans/Ottawa--Orléans"," 51","Gloucester",105,91,37,3,6,1,243,358
"Ottawa--Orléans/Ottawa--Orléans"," 52","Gloucester",121,89,39,6,5,0,260,369
"Ottawa--Orléans/Ottawa--Orléans"," 53","Gloucester",134,78,42,1,17,0,272,419
"Ottawa--Orléans/Ottawa--Orléans"," 54","Gloucester",128,82,25,3,8,0,246,373
"Ottawa--Orléans/Ottawa--Orléans"," 55","Gloucester",108,67,33,4,11,0,223,335
"Ottawa--Orléans/Ottawa--Orléans"," 56","Gloucester",104,85,43,3,21,1,257,423
"Ottawa--Orléans/Ottawa--Orléans"," 57","Cumberland",52,37,15,2,6,0,112,192
"Ottawa--Orléans/Ottawa--Orléans"," 58","Cumberland",49,53,22,0,6,0,130,212
"Ottawa--Orléans/Ottawa--Orléans"," 59","Cumberland",94,92,44,3,22,2,257,395
"Ottawa--Orléans/Ottawa--Orléans"," 60","Cumberland",91,73,48,1,20,0,233,354
"Ottawa--Orléans/Ottawa--Orléans"," 61","Cumberland",103,75,48,5,16,1,248,383
"Ottawa--Orléans/Ottawa--Orléans"," 62","Cumberland",96,70,60,6,9,0,241,392
"Ottawa--Orléans/Ottawa--Orléans"," 63","Cumberland",125,108,36,3,13,2,287,404
"Ottawa--Orléans/Ottawa--Orléans"," 64","Cumberland",102,106,48,3,15,0,274,406
"Ottawa--Orléans/Ottawa--Orléans"," 65","Cumberland",88,151,35,2,10,0,286,441
"Ottawa--Orléans/Ottawa--Orléans"," 66","Cumberland",80,79,25,1,8,2,195,389
"Ottawa--Orléans/Ottawa--Orléans"," 67","Cumberland",96,81,36,3,7,1,224,376
"Ottawa--Orléans/Ottawa--Orléans"," 68","Cumberland",86,66,25,2,7,0,186,299
"Ottawa--Orléans/Ottawa--Orléans"," 69","Cumberland",75,76,19,3,7,0,180,308
"Ottawa--Orléans/Ottawa--Orléans"," 70","Cumberland",134,113,47,4,9,0,307,482
"Ottawa--Orléans/Ottawa--Orléans"," 71","Cumberland",116,116,38,2,12,0,284,475
"Ottawa--Orléans/Ottawa--Orléans"," 72","Cumberland",95,83,22,1,4,0,205,296
"Ottawa--Orléans/Ottawa--Orléans"," 73","Cumberland",95,83,42,1,13,1,235,385
"Ottawa--Orléans/Ottawa--Orléans"," 74","Cumberland",189,195,98,2,24,3,511,419
"Ottawa--Orléans/Ottawa--Orléans"," 75A","Cumberland",Merged with No. 74/Fusionné avec le nº 74,,,,,,,363
"Ottawa--Orléans/Ottawa--Orléans"," 75B","Cumberland",17,34,3,0,1,2,57,67
"Ottawa--Orléans/Ottawa--Orléans"," 76","Cumberland",91,97,58,3,19,0,268,438
"Ottawa--Orléans/Ottawa--Orléans"," 77","Cumberland",97,116,35,2,9,1,260,423
"Ottawa--Orléans/Ottawa--Orléans"," 78","Cumberland",96,94,32,2,7,0,231,419
"Ottawa--Orléans/Ottawa--Orléans"," 79","Cumberland",108,69,30,3,13,0,223,380
"Ottawa--Orléans/Ottawa--Orléans"," 80","Cumberland",80,81,16,1,6,0,184,295
"Ottawa--Orléans/Ottawa--Orléans"," 81","Cumberland",108,73,30,3,6,0,220,352
"Ottawa--Orléans/Ottawa--Orléans"," 82","Cumberland",46,42,18,1,8,0,115,216
"Ottawa--Orléans/Ottawa--Orléans"," 83","Cumberland",115,111,54,2,13,2,297,526
"Ottawa--Orléans/Ottawa--Orléans"," 84","Gloucester",62,82,36,4,11,0,195,355
"Ottawa--Orléans/Ottawa--Orléans"," 85","Gloucester",103,119,26,3,15,1,267,360
"Ottawa--Orléans/Ottawa--Orléans"," 86","Gloucester",134,92,42,2,17,1,288,434
"Ottawa--Orléans/Ottawa--Orléans"," 87","Gloucester",123,91,39,1,14,0,268,373
"Ottawa--Orléans/Ottawa--Orléans"," 88","Gloucester",107,129,38,1,2,0,277,371
"Ottawa--Orléans/Ottawa--Orléans"," 89","Gloucester",71,83,30,2,7,0,193,305
"Ottawa--Orléans/Ottawa--Orléans"," 90","Gloucester",56,105,36,2,14,1,214,381
"Ottawa--Orléans/Ottawa--Orléans"," 91","Gloucester",79,136,30,1,7,2,255,414
"Ottawa--Orléans/Ottawa--Orléans"," 92","Gloucester",119,109,31,4,8,6,277,444
"Ottawa--Orléans/Ottawa--Orléans"," 93","Gloucester",123,162,50,2,9,3,349,504
"Ottawa--Orléans/Ottawa--Orléans"," 94","Gloucester",63,77,28,2,5,0,175,317
"Ottawa--Orléans/Ottawa--Orléans"," 95","Gloucester",99,104,42,1,15,1,262,436
"Ottawa--Orléans/Ottawa--Orléans"," 96","Gloucester",69,127,45,5,16,1,263,424
"Ottawa--Orléans/Ottawa--Orléans"," 97","Gloucester",91,74,45,1,8,0,219,356
"Ottawa--Orléans/Ottawa--Orléans"," 98","Gloucester",107,78,31,6,14,0,236,379
"Ottawa--Orléans/Ottawa--Orléans"," 99","Gloucester",87,87,24,1,7,1,207,320
"Ottawa--Orléans/Ottawa--Orléans"," 100","Gloucester",92,90,21,0,18,0,221,346
"Ottawa--Orléans/Ottawa--Orléans"," 101","Gloucester",134,128,51,4,8,0,325,519
"Ottawa--Orléans/Ottawa--Orléans"," 102","Gloucester",132,88,46,1,7,2,276,394
"Ottawa--Orléans/Ottawa--Orléans"," 103","Gloucester",112,116,48,3,8,0,287,411
"Ottawa--Orléans/Ottawa--Orléans"," 104","Gloucester",76,85,20,5,7,0,193,276
"Ottawa--Orléans/Ottawa--Orléans"," 105","Gloucester",58,73,18,1,10,2,162,280
"Ottawa--Orléans/Ottawa--Orléans"," 106","Gloucester",130,93,44,2,7,2,278,440
"Ottawa--Orléans/Ottawa--Orléans"," 107A","Gloucester",74,144,52,1,12,1,284,477
"Ottawa--Orléans/Ottawa--Orléans"," 107B","Gloucester",85,102,51,2,9,0,249,451
"Ottawa--Orléans/Ottawa--Orléans"," 108","Gloucester",79,93,28,0,6,1,207,334
"Ottawa--Orléans/Ottawa--Orléans"," 109","Gloucester",104,90,9,0,3,2,208,319
"Ottawa--Orléans/Ottawa--Orléans"," 110","Gloucester",101,131,32,3,8,0,275,402
"Ottawa--Orléans/Ottawa--Orléans"," 111","Gloucester",162,142,60,2,14,2,382,542
"Ottawa--Orléans/Ottawa--Orléans"," 112","Gloucester",112,127,52,1,20,2,314,443
"Ottawa--Orléans/Ottawa--Orléans"," 113","Gloucester",120,142,39,1,15,3,320,423
"Ottawa--Orléans/Ottawa--Orléans"," 114","Gloucester",130,124,36,3,17,0,310,457
"Ottawa--Orléans/Ottawa--Orléans"," 115","Gloucester",76,101,37,1,7,0,222,356
"Ottawa--Orléans/Ottawa--Orléans"," 116","Gloucester",49,68,28,1,7,0,153,264
"Ottawa--Orléans/Ottawa--Orléans"," 117","Gloucester",72,105,41,6,8,2,234,393
"Ottawa--Orléans/Ottawa--Orléans"," 118","Gloucester",66,45,48,3,3,0,165,293
"Ottawa--Orléans/Ottawa--Orléans"," 119","Gloucester",82,84,27,1,13,0,207,347
"Ottawa--Orléans/Ottawa--Orléans"," 120","Gloucester",93,79,19,2,15,1,209,328
"Ottawa--Orléans/Ottawa--Orléans"," 121","Gloucester",61,82,43,1,8,0,195,352
"Ottawa--Orléans/Ottawa--Orléans"," 122","Gloucester",86,126,42,2,15,2,273,418
"Ottawa--Orléans/Ottawa--Orléans"," 123","Gloucester",104,135,43,1,12,3,298,465
"Ottawa--Orléans/Ottawa--Orléans"," 124","Gloucester",72,81,27,2,7,1,190,277
"Ottawa--Orléans/Ottawa--Orléans"," 125","Gloucester",100,101,40,4,16,1,262,422
"Ottawa--Orléans/Ottawa--Orléans"," 126","Gloucester",85,69,35,2,4,0,195,328
"Ottawa--Orléans/Ottawa--Orléans"," 127","Gloucester",78,86,33,4,8,4,213,358
"Ottawa--Orléans/Ottawa--Orléans"," 128","Gloucester",70,113,38,6,12,0,239,443
"Ottawa--Orléans/Ottawa--Orléans"," 129","Gloucester",107,120,46,5,6,1,285,394
"Ottawa--Orléans/Ottawa--Orléans"," 130","Gloucester",79,72,32,0,9,0,192,330
"Ottawa--Orléans/Ottawa--Orléans"," 131","Gloucester",102,106,42,1,2,0,253,382
"Ottawa--Orléans/Ottawa--Orléans"," 132","Gloucester",114,94,43,3,13,3,270,353
"Ottawa--Orléans/Ottawa--Orléans"," 133","Gloucester",123,160,36,3,16,1,339,486
"Ottawa--Orléans/Ottawa--Orléans"," 134","Cumberland",95,68,44,4,9,0,220,333
"Ottawa--Orléans/Ottawa--Orléans"," 135","Cumberland",90,79,37,4,6,1,217,316
"Ottawa--Orléans/Ottawa--Orléans"," 136","Cumberland",91,77,38,2,8,2,218,311
"Ottawa--Orléans/Ottawa--Orléans"," 137","Cumberland",80,64,24,1,16,1,186,299
"Ottawa--Orléans/Ottawa--Orléans"," 138","Cumberland",77,89,46,6,4,1,223,345
"Ottawa--Orléans/Ottawa--Orléans"," 139","Cumberland",92,83,42,1,10,0,228,359
"Ottawa--Orléans/Ottawa--Orléans"," 140","Cumberland",76,88,37,3,6,2,212,383
"Ottawa--Orléans/Ottawa--Orléans"," 141","Cumberland",101,99,37,4,10,2,253,394
"Ottawa--Orléans/Ottawa--Orléans"," 142","Cumberland",154,106,54,2,10,0,326,492
"Ottawa--Orléans/Ottawa--Orléans"," 143","Cumberland",76,67,38,4,2,0,187,312
"Ottawa--Orléans/Ottawa--Orléans"," 144","Cumberland",97,82,41,4,12,0,236,388
"Ottawa--Orléans/Ottawa--Orléans"," 145","Cumberland",101,90,65,2,12,0,270,388
"Ottawa--Orléans/Ottawa--Orléans"," 146","Cumberland",76,91,43,5,12,0,227,348
"Ottawa--Orléans/Ottawa--Orléans"," 147","Cumberland",152,122,62,1,9,3,349,580
"Ottawa--Orléans/Ottawa--Orléans"," 148","Cumberland",106,94,32,1,4,0,237,337
"Ottawa--Orléans/Ottawa--Orléans"," 149","Cumberland",112,111,61,2,11,2,299,491
"Ottawa--Orléans/Ottawa--Orléans"," 150","Cumberland",73,59,35,3,4,1,175,268
"Ottawa--Orléans/Ottawa--Orléans"," 151","Cumberland",95,72,32,5,10,1,215,284
"Ottawa--Orléans/Ottawa--Orléans"," 152","Cumberland",90,98,50,0,14,1,253,379
"Ottawa--Orléans/Ottawa--Orléans"," 153","Cumberland",120,91,71,2,12,1,297,449
"Ottawa--Orléans/Ottawa--Orléans"," 154","Cumberland",40,36,22,2,1,0,101,154
"Ottawa--Orléans/Ottawa--Orléans"," 155","Cumberland",73,73,53,2,7,0,208,318
"Ottawa--Orléans/Ottawa--Orléans"," 156","Cumberland",84,70,36,0,8,0,198,345
"Ottawa--Orléans/Ottawa--Orléans"," 157","Cumberland",65,65,41,2,9,1,183,347
"Ottawa--Orléans/Ottawa--Orléans"," 158","Cumberland",61,98,43,1,6,0,209,392
"Ottawa--Orléans/Ottawa--Orléans"," 159","Cumberland",90,108,41,4,13,2,258,399
"Ottawa--Orléans/Ottawa--Orléans"," 160","Cumberland",96,93,33,0,3,1,226,366
"Ottawa--Orléans/Ottawa--Orléans"," 161","Cumberland",108,92,47,2,10,0,259,430
"Ottawa--Orléans/Ottawa--Orléans"," 162","Cumberland",103,80,37,2,12,1,235,374
"Ottawa--Orléans/Ottawa--Orléans"," 163","Cumberland",139,164,58,6,11,2,380,586
"Ottawa--Orléans/Ottawa--Orléans"," 164","Cumberland",74,78,21,2,3,0,178,269
"Ottawa--Orléans/Ottawa--Orléans"," 165","Cumberland",96,84,45,1,6,1,233,347
"Ottawa--Orléans/Ottawa--Orléans"," 166","Cumberland",83,84,26,2,8,0,203,350
"Ottawa--Orléans/Ottawa--Orléans"," 167","Cumberland",82,94,46,3,3,0,228,376
"Ottawa--Orléans/Ottawa--Orléans"," 168A","Cumberland",99,134,44,2,10,2,291,451
"Ottawa--Orléans/Ottawa--Orléans"," 168B","Cumberland",112,115,44,3,16,1,291,455
"Ottawa--Orléans/Ottawa--Orléans"," 169","Cumberland",107,96,49,3,6,2,263,428
"Ottawa--Orléans/Ottawa--Orléans"," 170","Cumberland",97,98,33,4,9,1,242,387
"Ottawa--Orléans/Ottawa--Orléans"," 171","Cumberland",94,98,33,2,14,0,241,399
"Ottawa--Orléans/Ottawa--Orléans"," 172","Cumberland",94,129,39,3,9,2,276,440
"Ottawa--Orléans/Ottawa--Orléans"," 173","Cumberland",95,89,43,6,13,1,247,394
"Ottawa--Orléans/Ottawa--Orléans"," 174","Cumberland",86,102,45,1,8,0,242,336
"Ottawa--Orléans/Ottawa--Orléans"," 175","Cumberland",117,90,38,3,10,0,258,378
"Ottawa--Orléans/Ottawa--Orléans"," 176","Cumberland",86,83,30,2,7,0,208,345
"Ottawa--Orléans/Ottawa--Orléans"," 177","Cumberland",87,76,44,3,13,0,223,306
"Ottawa--Orléans/Ottawa--Orléans"," 178","Cumberland",82,78,42,1,4,0,207,326
"Ottawa--Orléans/Ottawa--Orléans"," 179","Cumberland",63,98,34,1,7,0,203,302
"Ottawa--Orléans/Ottawa--Orléans"," 180","Cumberland",112,94,40,3,11,0,260,484
"Ottawa--Orléans/Ottawa--Orléans"," 181","Cumberland",85,75,35,1,8,2,206,343
"Ottawa--Orléans/Ottawa--Orléans"," 182","Cumberland",77,89,34,2,7,0,209,318
"Ottawa--Orléans/Ottawa--Orléans"," 183","Cumberland",68,80,28,1,6,0,183,308
"Ottawa--Orléans/Ottawa--Orléans"," 184A","Cumberland",87,104,39,3,5,1,239,375
"Ottawa--Orléans/Ottawa--Orléans"," 184B","Cumberland",97,108,51,3,8,0,267,426
"Ottawa--Orléans/Ottawa--Orléans"," 185A","Cumberland",121,138,55,1,16,2,333,425
"Ottawa--Orléans/Ottawa--Orléans"," 185B","Cumberland",129,152,50,3,7,1,342,480
"Ottawa--Orléans/Ottawa--Orléans"," 185C","Cumberland",85,92,32,2,6,1,218,322
"Ottawa--Orléans/Ottawa--Orléans"," 185D","Cumberland",89,99,39,0,5,1,233,319
"Ottawa--Orléans/Ottawa--Orléans"," 185E","Cumberland",167,195,58,3,12,2,437,587
"Ottawa--Orléans/Ottawa--Orléans"," 185F","Cumberland",130,141,61,3,8,0,343,458
"Ottawa--Orléans/Ottawa--Orléans"," 185G","Cumberland",165,183,42,4,8,1,403,580
"Ottawa--Orléans/Ottawa--Orléans"," 186A","Cumberland",Merged with No. 185A/Fusionné avec le nº 185A,,,,,,,71
"Ottawa--Orléans/Ottawa--Orléans"," 186B","Cumberland",Merged with No. 185B/Fusionné avec le nº 185B,,,,,,,69
"Ottawa--Orléans/Ottawa--Orléans"," 186C","Cumberland",Merged with No. 185C/Fusionné avec le nº 185C,,,,,,,60
"Ottawa--Orléans/Ottawa--Orléans"," 186D","Cumberland",Merged with No. 185D/Fusionné avec le nº 185D,,,,,,,70
"Ottawa--Orléans/Ottawa--Orléans"," 186E","Cumberland",Merged with No. 185E/Fusionné avec le nº 185E,,,,,,,91
"Ottawa--Orléans/Ottawa--Orléans"," 186F","Cumberland",Merged with No. 185F/Fusionné avec le nº 185F,,,,,,,88
"Ottawa--Orléans/Ottawa--Orléans"," 186G","Cumberland",Merged with No. 185G/Fusionné avec le nº 185G,,,,,,,88
"Ottawa--Orléans/Ottawa--Orléans"," 187A","Cumberland",79,68,29,1,4,0,181,341
"Ottawa--Orléans/Ottawa--Orléans"," 187B","Cumberland",66,72,23,5,0,1,167,330
"Ottawa--Orléans/Ottawa--Orléans"," 188","Cumberland",104,142,57,1,6,1,311,538
"Ottawa--Orléans/Ottawa--Orléans"," 189","Cumberland",82,91,45,0,7,1,226,390
"Ottawa--Orléans/Ottawa--Orléans"," 190","Gloucester",81,97,25,4,6,1,214,352
"Ottawa--Orléans/Ottawa--Orléans"," 191","Gloucester",42,45,16,2,2,2,109,195
"Ottawa--Orléans/Ottawa--Orléans"," 192","Gloucester",67,61,17,3,6,0,154,258
"Ottawa--Orléans/Ottawa--Orléans"," 193","Gloucester",161,111,37,0,3,3,315,481
"Ottawa--Orléans/Ottawa--Orléans"," 194","Gloucester",73,112,36,4,9,0,234,318
"Ottawa--Orléans/Ottawa--Orléans"," 195","Gloucester",98,99,25,2,5,1,230,374
"Ottawa--Orléans/Ottawa--Orléans"," 196","Gloucester",85,74,28,1,2,0,190,335
"Ottawa--Orléans/Ottawa--Orléans"," 197","Gloucester",85,83,14,1,6,0,189,307
"Ottawa--Orléans/Ottawa--Orléans"," 198","Gloucester",153,154,43,1,10,1,362,560
"Ottawa--Orléans/Ottawa--Orléans"," 199","Gloucester",141,190,37,1,11,0,380,562
"Ottawa--Orléans/Ottawa--Orléans"," 200","Gloucester",115,78,53,2,10,2,260,359
"Ottawa--Orléans/Ottawa--Orléans"," 201A","Gloucester",46,38,9,1,5,0,99,170
"Ottawa--Orléans/Ottawa--Orléans"," 201B","Gloucester",48,18,10,1,5,0,82,169
"Ottawa--Orléans/Ottawa--Orléans"," 400","Gloucester",76,91,44,6,9,2,228,376
"Ottawa--Orléans/Ottawa--Orléans"," 401","Gloucester",78,137,45,1,10,2,273,421
"Ottawa--Orléans/Ottawa--Orléans"," 500","Mobile poll/Bureau itinérant",52,42,8,2,3,2,109,209
"Ottawa--Orléans/Ottawa--Orléans"," 600","Ottawa",264,207,76,1,19,0,567,
"Ottawa--Orléans/Ottawa--Orléans"," 601","Ottawa",420,282,76,6,26,3,813,
"Ottawa--Orléans/Ottawa--Orléans"," 602","Ottawa",568,374,108,7,32,2,1091,
"Ottawa--Orléans/Ottawa--Orléans"," 603","Ottawa",505,343,93,6,34,0,981,
"Ottawa--Orléans/Ottawa--Orléans"," 604","Ottawa",377,323,84,4,30,6,824,
"Ottawa--Orléans/Ottawa--Orléans"," 605","Ottawa",545,428,100,15,34,4,1126,
"Ottawa--Orléans/Ottawa--Orléans"," 606","Ottawa",468,278,70,9,25,1,851,
"Ottawa--Orléans/Ottawa--Orléans"," 607","Ottawa",681,509,137,10,41,5,1383,
"Ottawa--Orléans/Ottawa--Orléans"," 608","Ottawa",252,172,38,2,12,1,477,
"Ottawa--Orléans/Ottawa--Orléans"," 609","Ottawa",195,187,36,6,9,1,434,
"Ottawa--Orléans/Ottawa--Orléans",,Group 1/Groupe 1,264,173,47,7,15,12,518,1036
"Ottawa--Orléans/Ottawa--Orléans",,Group 2/Groupe 2,805,773,205,8,54,21,1866,
