Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Francine Brière,Jean Lambert,Paula Maundcote,Diane St-Jacques,Robert Vincent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Shefford/Shefford"," 104","Granby",14,50,10,59,128,5,266,465
"Shefford/Shefford"," 105","Granby",10,45,6,44,89,1,195,378
"Shefford/Shefford"," 106","Granby",3,50,7,38,101,6,205,390
"Shefford/Shefford"," 107","Granby",6,39,5,42,87,4,183,412
"Shefford/Shefford"," 108","Granby",8,42,8,46,67,4,175,385
"Shefford/Shefford"," 109","Granby",13,41,7,35,79,2,177,399
"Shefford/Shefford"," 110","Granby",10,51,5,31,55,3,155,365
"Shefford/Shefford"," 111A","Granby",7,32,3,32,51,1,126,277
"Shefford/Shefford"," 111B","Granby",0,36,0,77,17,2,132,239
"Shefford/Shefford"," 112","Granby",7,38,13,34,89,1,182,383
"Shefford/Shefford"," 113","Granby",9,31,6,28,69,2,145,296
"Shefford/Shefford"," 114","Granby",3,52,9,45,85,0,194,357
"Shefford/Shefford"," 115","Granby",13,75,19,71,162,3,343,576
"Shefford/Shefford"," 116","Granby",8,49,8,20,72,3,160,298
"Shefford/Shefford"," 117","Granby",6,59,7,43,113,3,231,393
"Shefford/Shefford"," 118","Granby",11,43,8,39,100,6,207,322
"Shefford/Shefford"," 119","Granby",15,57,15,47,90,1,225,491
"Shefford/Shefford"," 120","Granby",Void/Supprimé,,,,,,,
"Shefford/Shefford"," 121","Granby",10,39,8,28,92,4,181,377
"Shefford/Shefford"," 122","Granby",15,42,16,42,122,5,242,437
"Shefford/Shefford"," 123","Granby",18,48,15,54,96,8,239,405
"Shefford/Shefford"," 124A","Granby",3,104,9,75,59,4,254,456
"Shefford/Shefford"," 124B","Granby",4,48,7,84,44,4,191,249
"Shefford/Shefford"," 125","Granby",10,75,20,52,97,6,260,474
"Shefford/Shefford"," 126","Granby",6,68,5,57,90,3,229,369
"Shefford/Shefford"," 127","Granby",7,48,19,41,90,1,206,372
"Shefford/Shefford"," 128","Granby",11,102,15,76,119,7,330,568
"Shefford/Shefford"," 129","Granby",13,117,22,95,154,7,408,654
"Shefford/Shefford"," 130","Granby",11,72,16,42,105,9,255,380
"Shefford/Shefford"," 131","Granby",12,87,6,55,104,2,266,436
"Shefford/Shefford"," 132","Granby",12,56,8,32,89,4,201,450
"Shefford/Shefford"," 133A","Granby",9,40,10,24,105,4,192,351
"Shefford/Shefford"," 133B","Granby",9,50,9,31,92,0,191,350
"Shefford/Shefford"," 134A","Granby",3,72,10,40,126,3,254,403
"Shefford/Shefford"," 134B","Granby",5,51,15,38,105,4,218,397
"Shefford/Shefford"," 135A","Granby",13,61,9,34,121,4,242,419
"Shefford/Shefford"," 135B","Granby",15,45,16,46,129,3,254,421
"Shefford/Shefford"," 136","Granby",11,90,21,82,149,5,358,583
"Shefford/Shefford"," 137","Granby",8,61,14,46,150,7,286,432
"Shefford/Shefford"," 138","Roxton Pond",12,80,6,72,138,1,309,475
"Shefford/Shefford"," 139","Roxton Pond",9,92,8,44,153,16,322,476
"Shefford/Shefford"," 140","Roxton Pond",18,63,13,49,140,4,287,446
"Shefford/Shefford"," 141","Roxton Pond",8,52,19,63,133,6,281,467
"Shefford/Shefford"," 142","Roxton Pond",16,97,21,56,174,10,374,572
"Shefford/Shefford"," 143","Roxton Pond",3,34,8,21,71,3,140,199
"Shefford/Shefford"," 144","Saint-Joachim-de-Shefford",16,46,25,57,153,2,299,455
"Shefford/Shefford"," 145","Saint-Joachim-de-Shefford",20,60,14,53,94,1,242,390
"Shefford/Shefford"," 146","Shefford",21,58,14,40,121,6,260,470
"Shefford/Shefford"," 147","Shefford",9,101,6,36,167,6,325,506
"Shefford/Shefford"," 148","Shefford",9,61,9,22,87,2,190,308
"Shefford/Shefford"," 149","Shefford",15,76,16,48,136,1,292,515
"Shefford/Shefford"," 149-1","Shefford",23,83,10,33,112,5,266,424
"Shefford/Shefford"," 150","Shefford",16,47,7,27,61,1,159,241
"Shefford/Shefford"," 151A","Shefford",11,38,12,33,80,2,176,322
"Shefford/Shefford"," 151B","Shefford",14,53,18,42,121,3,251,438
"Shefford/Shefford"," 152","Shefford",13,68,18,51,113,1,264,447
"Shefford/Shefford"," 153","Warden",14,50,12,64,48,0,188,254
"Shefford/Shefford"," 154","Shefford",11,39,11,66,63,3,193,332
"Shefford/Shefford"," 155","Shefford",7,44,9,74,65,2,201,418
"Shefford/Shefford"," 156","Waterloo",6,60,9,69,75,2,221,397
"Shefford/Shefford"," 157","Waterloo",10,42,10,57,86,4,209,403
"Shefford/Shefford"," 158","Waterloo",10,30,12,62,68,1,183,336
"Shefford/Shefford"," 159A","Waterloo",13,48,17,58,71,0,207,500
"Shefford/Shefford"," 159B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,35
"Shefford/Shefford"," 159C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,42
"Shefford/Shefford"," 159-1","Waterloo",4,29,2,37,35,1,108,221
"Shefford/Shefford"," 160","Waterloo",9,96,13,75,112,4,309,485
"Shefford/Shefford"," 161","Waterloo",11,54,4,68,92,4,233,469
"Shefford/Shefford"," 162","Waterloo",8,50,14,36,81,0,189,300
"Shefford/Shefford"," 163","Maricourt",11,51,9,34,95,1,201,287
"Shefford/Shefford"," 164","Racine",16,79,18,62,120,2,297,445
"Shefford/Shefford"," 165","Brompton Gore",35,84,22,58,133,7,339,533
"Shefford/Shefford"," 166","Valcourt",11,96,7,48,114,9,285,489
"Shefford/Shefford"," 167","Valcourt",9,96,20,39,157,6,327,529
"Shefford/Shefford"," 168","Valcourt",8,58,6,35,74,2,183,322
"Shefford/Shefford"," 169","Valcourt",9,41,4,26,71,1,152,251
"Shefford/Shefford"," 170","Valcourt",10,58,10,46,66,6,196,339
"Shefford/Shefford"," 171","Valcourt",13,56,19,24,63,4,179,359
"Shefford/Shefford"," 172","Valcourt",9,55,7,29,76,5,181,327
"Shefford/Shefford"," 173","Sainte-Anne-de-la-Rochelle",22,70,11,57,159,7,326,484
"Shefford/Shefford"," 174","Lawrenceville",25,86,18,51,120,13,313,476
"Shefford/Shefford"," 175","Bonsecours",19,82,22,47,166,2,338,479
"Shefford/Shefford"," 500","Mobile poll/Bureau itinérant",2,11,1,15,5,4,38,96
"Shefford/Shefford"," 501","Mobile poll/Bureau itinérant",7,25,7,47,10,5,101,65
"Shefford/Shefford"," 502","Mobile poll/Bureau itinérant",1,14,1,38,11,4,69,148
"Shefford/Shefford"," 503","Mobile poll/Bureau itinérant",2,22,3,54,14,3,98,140
"Shefford/Shefford"," 504A","Mobile poll/Bureau itinérant",6,24,1,45,16,4,96,154
"Shefford/Shefford"," 504B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,74
"Shefford/Shefford"," 600","Saint-Césaire",15,153,30,157,258,6,619,
"Shefford/Shefford"," 601","Granby",20,128,33,145,191,4,521,
"Shefford/Shefford"," 602","Granby",8,135,19,264,185,6,617,
"Shefford/Shefford"," 603","Granby",13,111,16,178,145,2,465,
"Shefford/Shefford"," 604","Granby",8,126,27,156,159,8,484,
"Shefford/Shefford"," 605","Granby",17,101,23,136,158,6,441,
"Shefford/Shefford"," 606","Shefford",20,83,17,114,162,3,399,
"Shefford/Shefford"," 607","Waterloo",6,86,15,175,90,1,373,
"Shefford/Shefford"," 608","Valcourt",12,118,14,103,119,6,372,
"Shefford/Shefford",,Group 1/Groupe 1,6,27,4,15,27,2,81,173
"Shefford/Shefford",,Group 2/Groupe 2,34,256,43,1038,823,46,2240,
