Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Don Dewar,Walter Kolisnyk,Inky Mark,Kathy Storey,Iris Yawney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 44","Bield",6,15,67,2,2,0,92,243
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 45","Valley River 63A",24,37,6,2,0,0,69,128
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 46","Shell Valley",12,18,136,8,2,2,178,324
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 47","Birchview",7,48,96,16,2,1,170,280
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 48","Grandview",32,54,85,17,0,2,190,366
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 49","Grandview",25,64,83,18,1,0,191,302
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 50","Drifting River",14,36,104,9,0,0,163,261
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 51","Gilbert Plains",22,60,117,15,2,0,216,351
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 52A","Gilbert Plains",13,31,92,9,2,1,148,208
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 52B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,13
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 53","Birchview",7,42,100,11,0,1,161,292
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 54","Ashville",11,31,118,7,1,0,168,262
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 55","Sifton",28,57,104,6,0,0,195,317
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 56","Valley River",26,33,94,8,0,0,161,252
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 57","Spruce Bluff",26,25,133,7,2,0,193,363
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 58","Eclipse",28,20,78,8,1,0,135,229
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 59","Eclipse",16,13,74,10,2,1,116,213
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 60","Keld",29,28,110,6,1,0,174,302
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 61","Ochre River",60,43,163,12,1,1,280,474
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 62","Dauphin",14,50,80,6,5,2,157,358
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 63","Dauphin",16,26,62,2,3,0,109,229
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 64A","Dauphin",26,30,54,0,1,0,111,245
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 64B","Mobile poll/Bureau itinérant",34,34,63,0,4,3,138,86
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 65","Dauphin",27,35,49,5,4,2,122,275
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 66","Dauphin",19,41,81,6,1,2,150,306
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 67","Dauphin",31,56,82,6,1,0,176,380
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 68A","Dauphin",35,33,94,4,5,0,171,365
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 68B","Mobile poll/Bureau itinérant",Merged with No. 72B/Fusionné avec le nº 72B,,,,,,,64
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 69","Dauphin",33,38,100,18,2,0,191,368
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 70A","Dauphin",38,24,93,6,1,0,162,331
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 70B","Mobile poll/Bureau itinérant",Merged with No. 64B/Fusionné avec le nº 64B,,,,,,,32
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 70C","Mobile poll/Bureau itinérant",Merged with No. 64B/Fusionné avec le nº 64B,,,,,,,20
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 70D","Mobile poll/Bureau itinérant",Merged with No. 64B/Fusionné avec le nº 64B,,,,,,,34
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 71","Dauphin",29,51,85,11,0,0,176,409
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 72A","Dauphin",19,23,43,3,0,0,88,213
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 72B","Mobile poll/Bureau itinérant",21,58,38,4,3,1,125,99
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 73","Dauphin",36,55,100,16,4,0,211,378
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 74","Dauphin",37,42,87,6,2,0,174,340
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 75","Dauphin",63,42,144,5,2,1,257,445
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 76","Dauphin",33,50,100,2,3,4,192,355
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 77","Dauphin",32,53,97,3,2,1,188,353
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 78","Dauphin",48,44,139,4,2,0,237,422
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 79","Waterhen 45",79,7,9,1,0,0,96,198
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 80","Waterhen 45",42,46,65,1,0,0,154,228
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 81","Toutes Aides",7,31,49,1,0,0,88,156
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 82","Rorketon",20,62,92,6,3,0,183,288
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 83","Crane River 51",89,49,17,1,0,3,159,342
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 84","Ste. Rose du Lac",46,33,129,7,4,0,219,366
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 85","Ste. Rose du Lac",18,16,40,4,2,0,80,172
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 86","Ste. Rose du Lac",34,23,65,8,2,1,133,287
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 87A","Ste. Rose du Lac",37,35,105,1,9,0,187,287
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 87B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,26
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 87C","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,26
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 88","Eddystone",23,14,51,4,1,0,93,143
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 89","Makinak",9,18,71,4,1,0,103,192
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 90","Laurier",37,38,137,7,1,3,223,378
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 91","Endcliffe",27,25,224,14,0,1,291,517
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 92","Harrowby",14,13,123,4,0,0,154,296
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 93A","Russell",28,22,120,7,0,1,178,279
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 93B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,28
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 94","Russell",32,39,184,14,1,2,272,470
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 95","Russell",31,21,169,5,0,0,226,347
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 96","Gambler 63",21,12,71,0,0,0,104,193
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 97","Binscarth",27,30,150,11,1,0,219,343
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 98","Angusville",9,30,154,7,2,1,203,438
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 99A","Lizard Point 62",60,21,9,3,1,0,94,198
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 99B","Lizard Point 62",70,18,2,2,2,1,95,226
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 99C","Lizard Point 62",71,21,7,0,0,0,99,217
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 100","Rossburn",11,28,97,7,1,0,144,271
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 101","Rossburn",19,37,186,5,4,1,252,403
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 102","Oakburn",26,12,79,1,1,2,121,192
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 103","Horod",6,10,63,6,0,0,85,155
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 104A","Keeseekoowenin--Elphinstone",36,19,5,0,0,0,60,177
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 104B","Keeseekoowenin--Elphinstone",27,10,52,1,1,0,91,178
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 105","Sandy Lake ",24,21,174,6,0,1,226,365
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 106","Onanole",25,10,93,6,0,1,135,201
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 107","Onanole",24,43,127,35,0,1,230,403
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 108A","Ebb and Flow 52",137,12,5,1,0,0,155,256
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 108B","Ebb and Flow 52",138,5,5,0,1,0,149,246
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 109","Alonsa",30,12,39,2,2,0,85,281
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 110","McCreary",19,9,68,2,1,1,100,133
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 111A","McCreary",35,35,161,5,0,1,237,367
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 111B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,10
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 112","McCreary",14,21,89,3,2,1,130,253
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 113","Alonsa",35,37,121,2,1,0,196,325
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 114","Amaranth",26,22,78,0,1,0,127,232
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 115A","Sandy Bay 5",44,5,1,0,0,0,50,202
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 115B","Sandy Bay 5",32,11,1,0,1,1,46,162
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 115C","Sandy Bay 5",26,14,2,0,0,1,43,210
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 115D","Sandy Bay 5",33,23,2,0,1,2,61,288
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 115E","Sandy Bay 5",23,4,0,0,0,0,27,134
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 116A","Sandy Bay 5",27,9,4,0,0,1,41,141
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 116B","Sandy Bay 5",12,14,2,2,1,0,31,133
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 116C","Sandy Bay 5",7,4,1,0,0,1,13,63
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 117","St-Lazare",65,37,114,9,5,1,231,406
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 118","Foxwarren",11,7,138,11,0,0,167,291
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 119","Solsgirth",22,24,115,9,2,0,172,332
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 120A","Birtle",19,21,64,7,1,0,112,190
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 120B","Mobile poll/Bureau itinérant",Merged with No. 506B/Fusionné avec le nº 506B,,,,,,,32
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 121","Birtle",25,20,108,13,0,0,166,284
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 122","McAuley",16,20,121,6,0,0,163,256
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 123","Beulah",73,19,66,6,0,1,165,274
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 124","Miniota",31,45,243,16,1,0,336,564
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 125","Oakburn",5,22,91,4,0,0,122,181
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 126A","Shoal Lake",21,28,96,8,0,0,153,261
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 126B","Mobile poll/Bureau itinérant",Merged with No. 506B/Fusionné avec le nº 506B,,,,,,,11
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 126C","Mobile poll/Bureau itinérant",Merged with No. 506B/Fusionné avec le nº 506B,,,,,,,17
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 127","Shoal Lake",23,26,119,5,0,0,173,239
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 128","Strathclair",5,17,100,9,1,1,133,230
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 129","Strathclair",29,25,106,5,0,0,165,287
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 130","Oakner",23,19,154,6,1,0,203,300
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 131A","Hamiota",30,34,157,2,0,0,223,301
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 131B","Mobile poll/Bureau itinérant",Merged with No. 506A/Fusionné avec le nº 506A,,,,,,,46
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 132","Hamiota",15,30,109,6,0,2,162,252
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 133","Cardale",18,9,41,6,2,0,76,123
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 134","Oak River",10,16,121,11,2,0,160,311
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 135","Moline",29,34,122,8,2,0,195,282
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 136","Rapid City",23,50,128,5,1,2,209,345
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 137","Rolling River 67",64,20,4,5,1,0,94,157
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 138","Erickson",34,47,145,15,2,0,243,326
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 139A","Erickson",36,40,145,11,0,0,232,467
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 139B","Mobile poll/Bureau itinérant",Merged with No. 505A/Fusionné avec le nº 505A,,,,,,,22
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 140","Newdale",35,23,123,15,1,1,198,388
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 141","Clanwilliam",22,34,124,11,1,2,194,349
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 142","Minnedosa",18,29,99,3,0,1,150,265
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 143","Minnedosa",30,19,109,6,2,1,167,287
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 144","Minnedosa",19,17,71,5,1,0,113,194
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 145","Minnedosa",32,34,90,21,0,1,178,276
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 146A","Minnedosa",39,38,86,5,0,0,168,324
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 146B","Mobile poll/Bureau itinérant",Merged with No. 505B/Fusionné avec le nº 505B,,,,,,,52
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 147","Minnedosa",29,25,97,12,2,0,165,286
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 148","Minnedosa",26,30,84,7,1,0,148,266
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 149","Moore Park",36,25,118,10,0,0,189,371
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 150","Riding Mountain",16,7,109,5,1,2,140,274
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 151","Kelwood",13,19,60,9,3,0,104,171
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 152","Glenella",23,23,143,8,6,0,203,319
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 153","Franklin",25,16,130,5,1,0,177,454
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 154","Birnie",5,12,76,4,0,0,97,227
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 155","Eden",5,22,79,4,2,0,112,202
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 156","Howden",19,13,132,3,1,1,169,316
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 157","Arden",7,14,107,4,0,1,133,277
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 158","Neepawa",16,29,106,5,3,1,160,291
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 159","Neepawa",14,18,87,5,0,1,125,220
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 160","Neepawa",18,30,79,8,2,2,139,232
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 161","Neepawa",41,29,144,7,1,0,222,428
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 162A","Neepawa",20,9,88,7,3,1,128,250
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 162B","Mobile poll/Bureau itinérant",Merged with No. 507B/Fusionné avec le nº 507B,,,,,,,56
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 163A","Neepawa",30,14,78,6,0,3,131,293
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 163B","Mobile poll/Bureau itinérant",Merged with No. 507B/Fusionné avec le nº 507B,,,,,,,56
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 164","Neepawa",9,3,16,0,0,0,28,105
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 165","Neepawa",9,22,94,10,2,0,137,267
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 166","Neepawa",50,20,145,5,3,1,224,379
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 167","Neepawa",Void/Supprimé,,,,,,,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 168","Mentmore",27,8,78,1,0,1,115,208
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 169","Mekiwin",17,10,75,3,0,0,105,186
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 170","Plumas",20,14,192,7,0,1,234,356
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 171","Ogilvie--Mayfield",18,17,182,5,0,1,223,397
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 172","Langruth",16,15,110,12,4,0,157,268
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 173","Mayfield",Void/Supprimé,,,,,,,
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 174A","Gladstone",25,22,91,4,0,0,142,246
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 174B","Mobile poll/Bureau itinérant",Merged with No. 507A/Fusionné avec le nº 507A,,,,,,,17
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 175","Gladstone",40,24,156,11,1,1,233,445
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 176","Muir",3,7,113,2,2,1,128,246
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 177","Westbourne",7,8,85,2,0,0,102,236
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 500","Mobile poll/Bureau itinérant",9,13,24,0,3,3,52,109
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 501","Mobile poll/Bureau itinérant",11,13,35,2,2,0,63,90
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 502A","Mobile poll/Bureau itinérant",14,13,46,3,1,2,79,59
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 502B","Mobile poll/Bureau itinérant",6,4,25,1,0,2,38,41
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 503","Mobile poll/Bureau itinérant",14,13,21,2,2,3,55,161
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 504","Mobile poll/Bureau itinérant",28,22,31,2,2,2,87,81
"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 505A","Mobile poll/Bureau itinérant",13,8,27,3,0,2,53,89
