Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Dewar,Sylvia Gerl,Vicki Gunn,Peter Van Loan,Kate Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"York--Simcoe/York--Simcoe"," 102","Bradford West Gwillimbury",21,41,2,132,111,0,307,558
"York--Simcoe/York--Simcoe"," 103","Bradford West Gwillimbury",22,36,7,87,86,3,241,490
"York--Simcoe/York--Simcoe"," 104","Bradford West Gwillimbury",15,31,3,81,62,0,192,481
"York--Simcoe/York--Simcoe"," 105","Bradford West Gwillimbury",12,21,0,67,78,0,178,389
"York--Simcoe/York--Simcoe"," 106","Bradford West Gwillimbury",16,34,4,135,93,0,282,482
"York--Simcoe/York--Simcoe"," 107","Bradford West Gwillimbury",22,28,2,144,124,0,320,552
"York--Simcoe/York--Simcoe"," 108","Bradford West Gwillimbury",26,43,1,102,89,1,262,490
"York--Simcoe/York--Simcoe"," 109","Bradford West Gwillimbury",13,34,0,72,73,0,192,371
"York--Simcoe/York--Simcoe"," 110","Bradford West Gwillimbury",19,43,0,128,87,0,277,474
"York--Simcoe/York--Simcoe"," 111A","Bradford West Gwillimbury",15,22,5,102,124,0,268,513
"York--Simcoe/York--Simcoe"," 111B","Bradford West Gwillimbury",12,34,6,138,102,0,292,527
"York--Simcoe/York--Simcoe"," 111C","Bradford West Gwillimbury",23,27,7,137,139,0,333,557
"York--Simcoe/York--Simcoe"," 112","Bradford West Gwillimbury",20,21,15,132,56,0,244,439
"York--Simcoe/York--Simcoe"," 113","Bradford West Gwillimbury",9,3,1,46,32,0,91,171
"York--Simcoe/York--Simcoe"," 114","Bradford West Gwillimbury",10,21,2,107,71,0,211,433
"York--Simcoe/York--Simcoe"," 115A","Bradford West Gwillimbury",9,41,3,154,86,0,293,482
"York--Simcoe/York--Simcoe"," 115B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,127
"York--Simcoe/York--Simcoe"," 116","Bradford West Gwillimbury",20,42,1,182,111,1,357,569
"York--Simcoe/York--Simcoe"," 117","Bradford West Gwillimbury",5,34,1,132,127,0,299,512
"York--Simcoe/York--Simcoe"," 118","Bradford West Gwillimbury",16,48,3,123,109,1,300,536
"York--Simcoe/York--Simcoe"," 119","Bradford West Gwillimbury",23,36,4,106,86,0,255,431
"York--Simcoe/York--Simcoe"," 120","Bradford West Gwillimbury",19,20,4,91,94,2,230,419
"York--Simcoe/York--Simcoe"," 121","Bradford West Gwillimbury",9,18,4,62,37,3,133,404
"York--Simcoe/York--Simcoe"," 122","Bradford West Gwillimbury",5,13,0,68,70,2,158,284
"York--Simcoe/York--Simcoe"," 123","Bradford West Gwillimbury",16,26,2,107,80,1,232,419
"York--Simcoe/York--Simcoe"," 124","Bradford West Gwillimbury",23,37,5,107,112,2,286,487
"York--Simcoe/York--Simcoe"," 125","Bradford West Gwillimbury",15,27,3,68,73,0,186,511
"York--Simcoe/York--Simcoe"," 126","Bradford West Gwillimbury",11,33,1,87,93,3,228,427
"York--Simcoe/York--Simcoe"," 127","King",10,10,5,75,37,0,137,251
"York--Simcoe/York--Simcoe"," 128","King",17,17,17,113,47,0,211,324
"York--Simcoe/York--Simcoe"," 129","King",11,13,4,118,78,1,225,371
"York--Simcoe/York--Simcoe"," 130","East Gwillimbury",37,25,0,101,45,0,208,401
"York--Simcoe/York--Simcoe"," 131","East Gwillimbury",32,36,3,119,75,0,265,519
"York--Simcoe/York--Simcoe"," 132","East Gwillimbury",14,14,5,82,58,0,173,293
"York--Simcoe/York--Simcoe"," 133","East Gwillimbury",11,37,0,91,83,1,223,413
"York--Simcoe/York--Simcoe"," 134","East Gwillimbury",19,31,4,96,58,2,210,372
"York--Simcoe/York--Simcoe"," 135","East Gwillimbury",14,33,2,126,100,1,276,440
"York--Simcoe/York--Simcoe"," 136","East Gwillimbury",28,28,6,143,85,1,291,486
"York--Simcoe/York--Simcoe"," 137","East Gwillimbury",27,35,6,106,96,2,272,425
"York--Simcoe/York--Simcoe"," 138","East Gwillimbury",9,19,1,113,49,1,192,380
"York--Simcoe/York--Simcoe"," 139","East Gwillimbury",15,32,1,91,78,0,217,396
"York--Simcoe/York--Simcoe"," 140","East Gwillimbury",23,34,2,131,87,1,278,435
"York--Simcoe/York--Simcoe"," 141A","East Gwillimbury",27,33,0,127,83,0,270,445
"York--Simcoe/York--Simcoe"," 141B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,9
"York--Simcoe/York--Simcoe"," 142","East Gwillimbury",24,49,4,137,98,3,315,548
"York--Simcoe/York--Simcoe"," 143","East Gwillimbury",28,62,5,136,97,5,333,513
"York--Simcoe/York--Simcoe"," 144","East Gwillimbury",20,29,9,121,82,0,261,398
"York--Simcoe/York--Simcoe"," 145","East Gwillimbury",23,28,2,115,54,1,223,379
"York--Simcoe/York--Simcoe"," 146","East Gwillimbury",9,17,5,76,36,3,146,293
"York--Simcoe/York--Simcoe"," 147","Georgina",18,34,3,64,36,0,155,344
"York--Simcoe/York--Simcoe"," 148","Georgina",17,37,2,106,43,2,207,449
"York--Simcoe/York--Simcoe"," 149","Georgina",16,30,1,122,64,0,233,384
"York--Simcoe/York--Simcoe"," 150","Georgina",20,41,2,146,83,0,292,489
"York--Simcoe/York--Simcoe"," 151A","Georgina",11,28,5,78,67,0,189,310
"York--Simcoe/York--Simcoe"," 151B","Georgina",17,23,2,69,72,1,184,323
"York--Simcoe/York--Simcoe"," 152","Georgina",32,53,2,152,66,0,305,499
"York--Simcoe/York--Simcoe"," 153","Georgina",18,23,4,118,67,1,231,392
"York--Simcoe/York--Simcoe"," 154","Georgina",26,37,1,142,74,1,281,490
"York--Simcoe/York--Simcoe"," 155","Georgina",23,33,4,81,44,1,186,334
"York--Simcoe/York--Simcoe"," 156","Georgina",17,27,1,105,71,0,221,425
"York--Simcoe/York--Simcoe"," 157","Georgina",27,37,1,95,55,1,216,456
"York--Simcoe/York--Simcoe"," 158","Georgina",15,55,3,145,92,0,310,561
"York--Simcoe/York--Simcoe"," 159","Georgina",21,38,4,158,117,3,341,535
"York--Simcoe/York--Simcoe"," 160","Georgina",11,49,4,47,46,0,157,336
"York--Simcoe/York--Simcoe"," 161A","Georgina",8,34,2,88,36,0,168,312
"York--Simcoe/York--Simcoe"," 161B","Georgina",3,26,0,88,31,0,148,309
"York--Simcoe/York--Simcoe"," 162A","Georgina",24,47,5,100,60,0,236,465
"York--Simcoe/York--Simcoe"," 162B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,15
"York--Simcoe/York--Simcoe"," 163","Georgina",14,39,1,114,53,1,222,442
"York--Simcoe/York--Simcoe"," 164","Georgina",30,58,1,151,75,1,316,577
"York--Simcoe/York--Simcoe"," 165","Georgina",17,28,2,132,63,0,242,449
"York--Simcoe/York--Simcoe"," 166","Georgina",29,40,1,121,59,0,250,504
"York--Simcoe/York--Simcoe"," 167","Georgina",10,43,5,104,55,0,217,357
"York--Simcoe/York--Simcoe"," 168A","Georgina",24,67,6,154,115,0,366,603
"York--Simcoe/York--Simcoe"," 168B","Georgina",28,60,8,193,98,3,390,639
"York--Simcoe/York--Simcoe"," 169","East Gwillimbury",16,21,3,82,48,0,170,321
"York--Simcoe/York--Simcoe"," 170","East Gwillimbury",8,25,4,100,66,1,204,329
"York--Simcoe/York--Simcoe"," 171","East Gwillimbury",10,17,1,61,49,0,138,312
"York--Simcoe/York--Simcoe"," 172","East Gwillimbury",23,39,3,109,81,2,257,508
"York--Simcoe/York--Simcoe"," 173","East Gwillimbury",19,38,0,108,113,1,279,445
"York--Simcoe/York--Simcoe"," 174","East Gwillimbury",25,33,6,145,145,0,354,583
"York--Simcoe/York--Simcoe"," 175A","East Gwillimbury",8,14,0,106,82,1,211,351
"York--Simcoe/York--Simcoe"," 175B","East Gwillimbury",9,11,1,90,69,0,180,336
"York--Simcoe/York--Simcoe"," 176","East Gwillimbury",17,22,3,110,67,0,219,443
"York--Simcoe/York--Simcoe"," 177A","East Gwillimbury",13,25,1,93,73,0,205,323
"York--Simcoe/York--Simcoe"," 177B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,17
"York--Simcoe/York--Simcoe"," 178","East Gwillimbury",13,17,3,84,60,0,177,297
"York--Simcoe/York--Simcoe"," 179","East Gwillimbury",10,15,2,79,48,0,154,286
"York--Simcoe/York--Simcoe"," 180","East Gwillimbury",17,28,4,167,103,0,319,577
"York--Simcoe/York--Simcoe"," 181","East Gwillimbury",13,30,2,119,75,0,239,408
"York--Simcoe/York--Simcoe"," 182","East Gwillimbury",26,33,3,130,79,0,271,421
"York--Simcoe/York--Simcoe"," 183","East Gwillimbury",16,32,2,182,87,2,321,501
"York--Simcoe/York--Simcoe"," 184","East Gwillimbury",18,28,3,102,54,1,206,315
"York--Simcoe/York--Simcoe"," 185","East Gwillimbury",23,46,3,86,87,0,245,398
"York--Simcoe/York--Simcoe"," 186A","East Gwillimbury",10,31,1,102,81,1,226,360
"York--Simcoe/York--Simcoe"," 186B","East Gwillimbury",21,29,0,109,72,1,232,354
"York--Simcoe/York--Simcoe"," 187","East Gwillimbury",15,18,1,72,78,1,185,278
"York--Simcoe/York--Simcoe"," 500","Mobile poll/Bureau itinérant",7,14,5,56,41,4,127,99
"York--Simcoe/York--Simcoe"," 501","Mobile poll/Bureau itinérant",6,31,6,80,63,5,191,261
"York--Simcoe/York--Simcoe"," 502","Mobile poll/Bureau itinérant",12,13,5,23,28,1,82,121
"York--Simcoe/York--Simcoe"," 503","Mobile poll/Bureau itinérant",3,9,5,29,15,2,63,61
"York--Simcoe/York--Simcoe"," 600","Innisfil",44,65,3,519,211,3,845,
"York--Simcoe/York--Simcoe"," 601","Innisfil",42,68,12,654,229,0,1005,
"York--Simcoe/York--Simcoe"," 602","Bradford West Gwillimbury",38,62,10,520,336,3,969,
"York--Simcoe/York--Simcoe"," 603","Bradford W.G.--King",29,35,16,325,174,4,583,
"York--Simcoe/York--Simcoe"," 604","East Gwillimbury",40,49,1,408,172,1,671,
"York--Simcoe/York--Simcoe"," 605","East Gwillimbury",35,57,8,479,162,1,742,
"York--Simcoe/York--Simcoe"," 606","Georgina--Chippewas of Georgina Island",27,43,3,315,136,2,526,
"York--Simcoe/York--Simcoe"," 607","Georgina",28,64,9,433,182,2,718,
"York--Simcoe/York--Simcoe"," 608","Georgina--Chippewas of Georgina Island",44,62,4,407,199,0,716,
"York--Simcoe/York--Simcoe",,Group 1/Groupe 1,3,6,1,30,26,0,66,123
"York--Simcoe/York--Simcoe",,Group 2/Groupe 2,30,62,11,447,255,15,820,
