Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chummy Anthony,Scott Brison,Mary DeWolfe,Bob Mullan,Sheila Richardson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kings--Hants/Kings--Hants"," 89","Hantsport",6,122,42,78,7,1,256,397
"Kings--Hants/Kings--Hants"," 90","Hantsport",2,120,60,70,10,2,264,406
"Kings--Hants/Kings--Hants"," 91","Mount Denson",0,66,25,34,2,0,127,213
"Kings--Hants/Kings--Hants"," 92","Falmouth",2,109,23,47,1,2,184,306
"Kings--Hants/Kings--Hants"," 93A","Falmouth",2,101,40,52,3,0,198,303
"Kings--Hants/Kings--Hants"," 93B","Falmouth",0,118,20,58,7,2,205,326
"Kings--Hants/Kings--Hants"," 94","Falmouth",2,130,19,76,6,0,233,369
"Kings--Hants/Kings--Hants"," 95","Falmouth",2,165,34,67,6,2,276,406
"Kings--Hants/Kings--Hants"," 96","Upper Falmouth",1,108,45,62,4,1,221,335
"Kings--Hants/Kings--Hants"," 97","Upper Vaughan",5,127,38,103,7,1,281,482
"Kings--Hants/Kings--Hants"," 98A","Windsor Forks",1,83,10,41,4,0,139,270
"Kings--Hants/Kings--Hants"," 98B","Windsor Forks",3,70,19,50,3,0,145,308
"Kings--Hants/Kings--Hants"," 99","Windsor Forks",3,73,14,41,3,0,134,246
"Kings--Hants/Kings--Hants"," 100","Windsor Forks",0,81,19,37,0,0,137,263
"Kings--Hants/Kings--Hants"," 101","Windsor Forks",2,91,23,45,0,1,162,249
"Kings--Hants/Kings--Hants"," 102","Three Mile Plains",4,113,37,79,9,1,243,438
"Kings--Hants/Kings--Hants"," 103","Three Mile Plains",8,118,34,57,7,0,224,386
"Kings--Hants/Kings--Hants"," 104","Sweets Corners",2,78,18,34,1,1,134,208
"Kings--Hants/Kings--Hants"," 105","Newport Station",0,56,12,36,2,1,107,238
"Kings--Hants/Kings--Hants"," 106","Sainte-Croix",2,93,34,53,6,2,190,321
"Kings--Hants/Kings--Hants"," 107","Sainte-Croix",1,107,31,56,3,1,199,306
"Kings--Hants/Kings--Hants"," 108","Windsor",4,90,25,43,7,0,169,423
"Kings--Hants/Kings--Hants"," 109","Windsor",8,77,20,30,3,0,138,276
"Kings--Hants/Kings--Hants"," 110","Windsor",0,104,30,43,2,2,181,361
"Kings--Hants/Kings--Hants"," 111","Windsor",0,118,21,41,3,0,183,296
"Kings--Hants/Kings--Hants"," 112","Windsor",1,105,14,56,3,1,180,371
"Kings--Hants/Kings--Hants"," 113A","Windsor",2,93,27,46,7,2,177,294
"Kings--Hants/Kings--Hants"," 113B","Mobile poll/Bureau itinérant",Merged with No. 113C/Fusionné avec le nº 113C,,,,,,,63
"Kings--Hants/Kings--Hants"," 113C","Mobile poll/Bureau itinérant",0,53,6,46,1,0,106,80
"Kings--Hants/Kings--Hants"," 114","Windsor",3,162,37,69,7,1,279,507
"Kings--Hants/Kings--Hants"," 115","Windsor",3,114,29,31,2,2,181,399
"Kings--Hants/Kings--Hants"," 116","Summerville",1,92,21,53,4,0,171,268
"Kings--Hants/Kings--Hants"," 117","Bramber",2,106,34,33,0,1,176,317
"Kings--Hants/Kings--Hants"," 118","Pembroke",2,76,25,35,2,0,140,209
"Kings--Hants/Kings--Hants"," 119","Summerville",3,85,33,39,4,0,164,288
"Kings--Hants/Kings--Hants"," 120","Centre Burlington",3,125,53,60,4,1,246,427
"Kings--Hants/Kings--Hants"," 121","Scotch Village",7,91,19,76,8,1,202,408
"Kings--Hants/Kings--Hants"," 122","Avondale",5,133,21,79,4,0,242,359
"Kings--Hants/Kings--Hants"," 123","Mantua",1,115,35,51,5,0,207,313
"Kings--Hants/Kings--Hants"," 124","Brooklyn",0,168,35,78,3,2,286,503
"Kings--Hants/Kings--Hants"," 125","Brooklyn",4,106,36,48,2,0,196,303
"Kings--Hants/Kings--Hants"," 126","Ardoise",1,112,46,91,3,1,254,405
"Kings--Hants/Kings--Hants"," 127","Ardoise",7,108,46,72,5,0,238,396
"Kings--Hants/Kings--Hants"," 128","Ellershouse",4,61,15,57,2,1,140,189
"Kings--Hants/Kings--Hants"," 129","Ellershouse",3,88,49,61,5,0,206,360
"Kings--Hants/Kings--Hants"," 130","South Rawdon",5,80,52,80,6,2,225,333
"Kings--Hants/Kings--Hants"," 131","Mount Uniacke",5,87,57,63,4,1,217,357
"Kings--Hants/Kings--Hants"," 132","Mount Uniacke",1,42,36,14,0,1,94,173
"Kings--Hants/Kings--Hants"," 133A","Mount Uniacke",3,75,62,69,4,2,215,400
"Kings--Hants/Kings--Hants"," 133B","Mount Uniacke",2,80,56,45,1,1,185,405
"Kings--Hants/Kings--Hants"," 134","Mount Uniacke",1,76,78,52,5,2,214,443
"Kings--Hants/Kings--Hants"," 135","Mount Uniacke",0,55,36,53,9,1,154,272
"Kings--Hants/Kings--Hants"," 136","Mount Uniacke",3,38,37,36,2,1,117,216
"Kings--Hants/Kings--Hants"," 137","Mount Uniacke",0,52,49,32,7,0,140,379
"Kings--Hants/Kings--Hants"," 138","East Walton",2,79,22,25,4,2,134,226
"Kings--Hants/Kings--Hants"," 139","Minasville",0,70,19,22,2,2,115,189
"Kings--Hants/Kings--Hants"," 140","Noel",2,59,23,26,5,0,115,236
"Kings--Hants/Kings--Hants"," 141","East Noel",0,45,14,31,1,1,92,274
"Kings--Hants/Kings--Hants"," 142","Maitland",0,10,12,11,5,0,38,87
"Kings--Hants/Kings--Hants"," 143","Maitland",10,115,61,91,14,0,291,448
"Kings--Hants/Kings--Hants"," 144","Noel Road",1,110,50,96,4,1,262,481
"Kings--Hants/Kings--Hants"," 145","Latties Brook",4,21,12,24,1,0,62,99
"Kings--Hants/Kings--Hants"," 146","Clarksville",2,76,22,53,2,2,157,216
"Kings--Hants/Kings--Hants"," 147","Kennetcook",0,80,33,81,1,1,196,283
"Kings--Hants/Kings--Hants"," 148","Upper Kennetcook",0,43,35,48,2,0,128,222
"Kings--Hants/Kings--Hants"," 149","South Maitland",4,22,24,13,2,0,65,109
"Kings--Hants/Kings--Hants"," 150","Rawdon Gold Mines",0,75,37,42,3,1,158,224
"Kings--Hants/Kings--Hants"," 151A","Gore",2,76,37,46,0,0,161,263
"Kings--Hants/Kings--Hants"," 151B","Gore",3,99,34,39,1,0,176,320
"Kings--Hants/Kings--Hants"," 152","Rawdon Gold Mines",1,85,44,36,3,0,169,349
"Kings--Hants/Kings--Hants"," 153","Shubenacadie",0,56,53,63,2,0,174,349
"Kings--Hants/Kings--Hants"," 154","Shubenacadie",0,56,67,46,2,0,171,305
"Kings--Hants/Kings--Hants"," 155","Shubenacadie",4,124,88,77,0,2,295,477
"Kings--Hants/Kings--Hants"," 156","Shubenacadie",0,66,49,59,6,3,183,293
"Kings--Hants/Kings--Hants"," 157","Milford Station",0,156,53,102,3,1,315,487
"Kings--Hants/Kings--Hants"," 158","Nine Mile River",1,32,27,35,2,1,98,165
"Kings--Hants/Kings--Hants"," 159","Nine Mile River",3,96,95,83,10,2,289,428
"Kings--Hants/Kings--Hants"," 160","Nine Mile River",3,129,86,61,10,1,290,463
"Kings--Hants/Kings--Hants"," 161","Milford Station",1,73,48,56,1,1,180,297
"Kings--Hants/Kings--Hants"," 162","Milford Station",1,77,47,40,1,0,166,253
"Kings--Hants/Kings--Hants"," 163A","Lantz",0,58,40,64,4,0,166,317
"Kings--Hants/Kings--Hants"," 163B","Lantz",3,63,38,43,4,0,151,307
"Kings--Hants/Kings--Hants"," 164","Lantz",6,130,62,93,4,2,297,525
"Kings--Hants/Kings--Hants"," 165A","Lantz",3,97,51,92,4,0,247,451
"Kings--Hants/Kings--Hants"," 165B","Lantz",0,121,62,74,3,0,260,442
"Kings--Hants/Kings--Hants"," 166","Elmsdale",0,28,28,37,1,0,94,168
"Kings--Hants/Kings--Hants"," 167","Elmsdale",5,116,78,95,7,1,302,527
"Kings--Hants/Kings--Hants"," 168","Elmsdale",1,167,71,69,5,1,314,586
"Kings--Hants/Kings--Hants"," 169","Enfield",6,167,63,105,6,3,350,582
"Kings--Hants/Kings--Hants"," 170","Enfield",5,126,89,76,11,0,307,607
"Kings--Hants/Kings--Hants"," 171","Enfield",1,88,73,66,4,1,233,430
"Kings--Hants/Kings--Hants"," 172","Elmsdale",0,49,30,41,0,0,120,191
"Kings--Hants/Kings--Hants"," 173","Enfield",8,83,90,75,8,3,267,431
"Kings--Hants/Kings--Hants"," 174","Enfield",4,116,93,120,8,1,342,559
"Kings--Hants/Kings--Hants"," 175","Micmac",1,53,16,4,1,0,75,167
"Kings--Hants/Kings--Hants"," 176","Micmac",3,106,46,4,8,0,167,439
"Kings--Hants/Kings--Hants"," 500","Mobile poll/Bureau itinérant",6,52,8,42,0,6,114,266
"Kings--Hants/Kings--Hants"," 501","Mobile poll/Bureau itinérant",3,51,19,38,3,1,115,214
"Kings--Hants/Kings--Hants"," 600","Canning",1,105,26,54,6,0,192,
"Kings--Hants/Kings--Hants"," 601","Centreville",0,177,42,161,4,0,384,
"Kings--Hants/Kings--Hants"," 602","Kentville",0,282,71,278,15,2,648,
"Kings--Hants/Kings--Hants"," 603","New Minas",1,199,46,222,4,4,476,
"Kings--Hants/Kings--Hants"," 604","Wolfville",10,296,97,190,18,3,614,
"Kings--Hants/Kings--Hants"," 605","Hantsport",0,120,13,67,4,0,204,
"Kings--Hants/Kings--Hants"," 606","Windsor",6,386,45,236,10,1,684,
"Kings--Hants/Kings--Hants"," 607","Summerville",2,148,24,69,3,0,246,
"Kings--Hants/Kings--Hants"," 608","Mount Uniacke",0,110,42,82,6,0,240,
"Kings--Hants/Kings--Hants"," 609","Noel",1,73,18,50,2,0,144,
"Kings--Hants/Kings--Hants"," 610","Shubenacadie",2,220,93,195,9,1,520,
"Kings--Hants/Kings--Hants",,Group 1/Groupe 1,7,86,27,85,4,1,210,549
"Kings--Hants/Kings--Hants",,Group 2/Groupe 2,5,455,107,356,21,12,956,
