Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Burch,Bill Bylsma,Elaine Couto,Rick Dykstra,Jim Fannon,Walt Lastewka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. Catharines/St. Catharines"," 50","St. Catharines",46,2,0,48,7,62,1,166,291
"St. Catharines/St. Catharines"," 51","St. Catharines",54,3,1,88,16,72,0,234,348
"St. Catharines/St. Catharines"," 52","St. Catharines",35,2,0,102,10,86,1,236,349
"St. Catharines/St. Catharines"," 53","St. Catharines",55,4,1,92,14,111,2,279,419
"St. Catharines/St. Catharines"," 54","St. Catharines",41,1,0,120,9,122,0,293,447
"St. Catharines/St. Catharines"," 55","St. Catharines",53,0,0,94,9,119,0,275,441
"St. Catharines/St. Catharines"," 56","St. Catharines",38,0,0,97,5,97,1,238,365
"St. Catharines/St. Catharines"," 57","St. Catharines",24,1,0,103,9,100,0,237,390
"St. Catharines/St. Catharines"," 58","St. Catharines",58,3,0,112,6,92,1,272,428
"St. Catharines/St. Catharines"," 59","St. Catharines",65,2,1,98,10,109,0,285,440
"St. Catharines/St. Catharines"," 60","St. Catharines",46,4,0,89,13,74,0,226,424
"St. Catharines/St. Catharines"," 61","St. Catharines",54,2,0,102,26,90,0,274,411
"St. Catharines/St. Catharines"," 62","St. Catharines",54,4,1,113,9,125,1,307,423
"St. Catharines/St. Catharines"," 63","St. Catharines",52,1,0,91,9,90,4,247,412
"St. Catharines/St. Catharines"," 64","St. Catharines",63,3,0,96,9,78,0,249,393
"St. Catharines/St. Catharines"," 65","St. Catharines",57,0,1,93,13,77,1,242,352
"St. Catharines/St. Catharines"," 66","St. Catharines",59,0,0,98,13,79,0,249,370
"St. Catharines/St. Catharines"," 67","St. Catharines",33,4,1,103,9,80,1,231,341
"St. Catharines/St. Catharines"," 68","St. Catharines",41,0,0,66,8,79,2,196,355
"St. Catharines/St. Catharines"," 69","St. Catharines",45,2,0,77,11,112,0,247,363
"St. Catharines/St. Catharines"," 70","St. Catharines",31,1,3,79,6,75,0,195,330
"St. Catharines/St. Catharines"," 71","St. Catharines",36,3,1,82,10,66,0,198,320
"St. Catharines/St. Catharines"," 72","St. Catharines",30,2,0,85,8,90,0,215,312
"St. Catharines/St. Catharines"," 73","St. Catharines",20,2,0,75,8,47,0,152,248
"St. Catharines/St. Catharines"," 74","St. Catharines",Void/Supprimé,,,,,,,,
"St. Catharines/St. Catharines"," 75","St. Catharines",26,1,0,76,7,60,0,170,302
"St. Catharines/St. Catharines"," 76","St. Catharines",46,4,1,100,14,62,0,227,360
"St. Catharines/St. Catharines"," 77","St. Catharines",33,0,1,37,2,23,0,96,202
"St. Catharines/St. Catharines"," 78","St. Catharines",86,2,2,89,14,75,0,268,489
"St. Catharines/St. Catharines"," 79","St. Catharines",64,2,0,64,4,107,1,242,351
"St. Catharines/St. Catharines"," 80","St. Catharines",52,1,0,104,6,113,0,276,402
"St. Catharines/St. Catharines"," 81","St. Catharines",51,2,0,96,11,105,0,265,394
"St. Catharines/St. Catharines"," 82","St. Catharines",44,1,0,90,6,96,1,238,408
"St. Catharines/St. Catharines"," 83","St. Catharines",32,2,0,80,9,112,0,235,376
"St. Catharines/St. Catharines"," 84","St. Catharines",29,4,0,72,16,97,5,223,344
"St. Catharines/St. Catharines"," 85","St. Catharines",64,2,0,104,5,93,1,269,405
"St. Catharines/St. Catharines"," 86","St. Catharines",66,1,0,113,10,93,0,283,390
"St. Catharines/St. Catharines"," 87","St. Catharines",40,1,0,96,10,66,1,214,350
"St. Catharines/St. Catharines"," 88","St. Catharines",61,3,1,133,13,99,0,310,539
"St. Catharines/St. Catharines"," 89","St. Catharines",39,4,0,110,16,70,1,240,375
"St. Catharines/St. Catharines"," 90","St. Catharines",40,4,0,85,3,91,1,224,337
"St. Catharines/St. Catharines"," 91","St. Catharines",44,1,0,68,7,73,1,194,300
"St. Catharines/St. Catharines"," 92","St. Catharines",46,3,1,92,10,90,1,243,341
"St. Catharines/St. Catharines"," 93","St. Catharines",52,2,0,87,9,80,0,230,318
"St. Catharines/St. Catharines"," 94","St. Catharines",21,3,1,191,3,84,3,306,430
"St. Catharines/St. Catharines"," 95A","St. Catharines",30,4,0,42,10,66,0,152,247
"St. Catharines/St. Catharines"," 95B","St. Catharines",35,4,0,60,7,66,1,173,299
"St. Catharines/St. Catharines"," 96","St. Catharines",21,1,1,37,0,34,2,96,132
"St. Catharines/St. Catharines"," 97","St. Catharines",18,0,1,19,5,28,0,71,210
"St. Catharines/St. Catharines"," 98","St. Catharines",29,3,0,25,3,35,1,96,208
"St. Catharines/St. Catharines"," 99","St. Catharines",54,6,1,75,7,83,1,227,379
"St. Catharines/St. Catharines"," 100","St. Catharines",48,13,0,126,7,66,1,261,407
"St. Catharines/St. Catharines"," 101","St. Catharines",51,4,0,105,11,100,0,271,409
"St. Catharines/St. Catharines"," 102","St. Catharines",45,6,0,111,13,146,2,323,491
"St. Catharines/St. Catharines"," 103","St. Catharines",42,6,2,79,10,78,3,220,406
"St. Catharines/St. Catharines"," 104","St. Catharines",41,1,0,92,10,78,0,222,391
"St. Catharines/St. Catharines"," 105","St. Catharines",14,1,0,33,5,68,0,121,237
"St. Catharines/St. Catharines"," 106","St. Catharines",53,1,0,100,9,105,1,269,472
"St. Catharines/St. Catharines"," 107A","St. Catharines",26,2,0,53,12,56,1,150,271
"St. Catharines/St. Catharines"," 107B","St. Catharines",27,1,0,45,4,54,0,131,260
"St. Catharines/St. Catharines"," 108","St. Catharines",19,0,0,52,3,40,0,114,255
"St. Catharines/St. Catharines"," 109","St. Catharines",39,3,0,98,6,79,3,228,363
"St. Catharines/St. Catharines"," 110","St. Catharines",56,4,2,81,9,94,1,247,413
"St. Catharines/St. Catharines"," 111","St. Catharines",46,2,1,75,7,97,4,232,388
"St. Catharines/St. Catharines"," 112","St. Catharines",65,4,1,80,13,114,1,278,474
"St. Catharines/St. Catharines"," 113A","St. Catharines",39,3,2,56,8,81,0,189,324
"St. Catharines/St. Catharines"," 113B","St. Catharines",48,1,1,65,4,73,2,194,300
"St. Catharines/St. Catharines"," 114","St. Catharines",42,2,2,74,6,81,0,207,312
"St. Catharines/St. Catharines"," 115","St. Catharines",32,3,0,50,2,69,0,156,237
"St. Catharines/St. Catharines"," 116","St. Catharines",41,5,1,112,13,160,4,336,448
"St. Catharines/St. Catharines"," 117","St. Catharines",37,3,0,118,5,116,0,279,414
"St. Catharines/St. Catharines"," 118","St. Catharines",48,2,2,91,6,92,2,243,380
"St. Catharines/St. Catharines"," 119","St. Catharines",52,2,0,65,5,99,1,224,348
"St. Catharines/St. Catharines"," 120","St. Catharines",89,7,0,113,8,109,1,327,583
"St. Catharines/St. Catharines"," 121","St. Catharines",20,0,0,22,4,26,2,74,153
"St. Catharines/St. Catharines"," 122","St. Catharines",48,1,0,73,5,74,1,202,324
"St. Catharines/St. Catharines"," 123","St. Catharines",55,2,0,100,14,87,2,260,383
"St. Catharines/St. Catharines"," 124","St. Catharines",44,1,1,64,13,56,0,179,306
"St. Catharines/St. Catharines"," 125","St. Catharines",36,1,1,76,4,36,1,155,287
"St. Catharines/St. Catharines"," 126","St. Catharines",64,1,0,71,14,87,0,237,401
"St. Catharines/St. Catharines"," 127","St. Catharines",74,2,0,50,13,69,0,208,446
"St. Catharines/St. Catharines"," 128","St. Catharines",39,3,1,86,6,91,4,230,329
"St. Catharines/St. Catharines"," 129","St. Catharines",37,1,0,45,1,91,1,176,290
"St. Catharines/St. Catharines"," 130","St. Catharines",31,2,0,100,9,139,0,281,445
"St. Catharines/St. Catharines"," 131","St. Catharines",47,0,0,33,6,70,0,156,347
"St. Catharines/St. Catharines"," 132","St. Catharines",35,2,1,53,4,83,0,178,394
"St. Catharines/St. Catharines"," 133","St. Catharines",45,2,3,58,7,93,2,210,370
"St. Catharines/St. Catharines"," 134A","St. Catharines",42,6,0,56,8,51,0,163,336
"St. Catharines/St. Catharines"," 134B","St. Catharines",36,4,0,45,4,48,0,137,255
"St. Catharines/St. Catharines"," 135","St. Catharines",29,0,1,27,3,57,0,117,327
"St. Catharines/St. Catharines"," 136","St. Catharines",66,3,0,66,15,48,0,198,423
"St. Catharines/St. Catharines"," 137","St. Catharines",80,1,1,69,11,57,1,220,414
"St. Catharines/St. Catharines"," 138","St. Catharines",58,0,0,61,11,54,1,185,349
"St. Catharines/St. Catharines"," 139","St. Catharines",50,2,0,60,14,72,2,200,344
"St. Catharines/St. Catharines"," 140","St. Catharines",54,2,1,52,13,76,0,198,362
"St. Catharines/St. Catharines"," 141","St. Catharines",50,2,0,60,5,73,2,192,368
"St. Catharines/St. Catharines"," 142","St. Catharines",49,1,1,63,5,92,0,211,335
"St. Catharines/St. Catharines"," 143","St. Catharines",35,0,1,69,11,60,1,177,287
"St. Catharines/St. Catharines"," 144","St. Catharines",36,0,0,65,7,59,1,168,307
"St. Catharines/St. Catharines"," 145","St. Catharines",39,3,1,66,15,61,2,187,430
"St. Catharines/St. Catharines"," 146","St. Catharines",58,0,1,47,17,74,1,198,365
"St. Catharines/St. Catharines"," 147","St. Catharines",66,0,0,82,10,90,1,249,426
"St. Catharines/St. Catharines"," 148","St. Catharines",58,5,2,62,9,45,0,181,366
"St. Catharines/St. Catharines"," 149","St. Catharines",41,0,0,50,9,70,0,170,350
"St. Catharines/St. Catharines"," 150","St. Catharines",53,2,1,48,18,61,0,183,338
"St. Catharines/St. Catharines"," 151","St. Catharines",51,2,0,49,17,59,0,178,372
"St. Catharines/St. Catharines"," 152","St. Catharines",55,1,0,50,16,58,1,181,359
"St. Catharines/St. Catharines"," 153","St. Catharines",85,3,0,39,12,61,0,200,402
"St. Catharines/St. Catharines"," 154","St. Catharines",96,2,0,46,14,62,0,220,419
"St. Catharines/St. Catharines"," 155","St. Catharines",74,2,0,55,6,94,0,231,409
"St. Catharines/St. Catharines"," 156","St. Catharines",89,1,0,58,20,79,0,247,400
"St. Catharines/St. Catharines"," 157","St. Catharines",70,3,0,83,10,63,1,230,370
"St. Catharines/St. Catharines"," 158","St. Catharines",51,2,0,36,3,49,0,141,291
"St. Catharines/St. Catharines"," 159","St. Catharines",67,1,0,37,14,49,0,168,278
"St. Catharines/St. Catharines"," 160","St. Catharines",36,1,1,37,10,79,0,164,291
"St. Catharines/St. Catharines"," 161","St. Catharines",66,1,0,75,15,80,1,238,410
"St. Catharines/St. Catharines"," 162","St. Catharines",62,3,0,75,13,96,0,249,401
"St. Catharines/St. Catharines"," 163","St. Catharines",47,6,1,76,6,80,3,219,421
"St. Catharines/St. Catharines"," 164","St. Catharines",70,4,0,65,7,91,0,237,424
"St. Catharines/St. Catharines"," 165","St. Catharines",62,3,0,66,17,54,1,203,365
"St. Catharines/St. Catharines"," 166","St. Catharines",52,0,0,65,6,61,0,184,374
"St. Catharines/St. Catharines"," 167","St. Catharines",66,1,0,57,11,57,0,192,375
"St. Catharines/St. Catharines"," 168","St. Catharines",55,1,1,51,8,42,2,160,340
"St. Catharines/St. Catharines"," 169","St. Catharines",67,3,0,30,7,44,0,151,387
"St. Catharines/St. Catharines"," 170","St. Catharines",66,0,0,39,6,54,1,166,357
"St. Catharines/St. Catharines"," 171","St. Catharines",52,0,0,34,11,55,0,152,360
"St. Catharines/St. Catharines"," 172","St. Catharines",50,2,1,43,6,82,1,185,387
"St. Catharines/St. Catharines"," 173","St. Catharines",74,2,0,49,19,74,6,224,413
"St. Catharines/St. Catharines"," 174","St. Catharines",54,1,0,29,13,56,0,153,294
"St. Catharines/St. Catharines"," 175","St. Catharines",51,1,1,73,21,93,0,240,419
"St. Catharines/St. Catharines"," 176","St. Catharines",44,1,0,103,19,103,0,270,391
"St. Catharines/St. Catharines"," 177","St. Catharines",58,0,0,45,20,70,0,193,338
"St. Catharines/St. Catharines"," 178","St. Catharines",68,4,1,57,10,81,2,223,367
"St. Catharines/St. Catharines"," 179","St. Catharines",55,1,0,32,14,53,0,155,406
"St. Catharines/St. Catharines"," 180","St. Catharines",53,6,1,117,7,110,5,299,437
"St. Catharines/St. Catharines"," 181","St. Catharines",20,0,0,34,3,18,0,75,143
"St. Catharines/St. Catharines"," 182","St. Catharines",67,2,1,48,10,50,0,178,313
"St. Catharines/St. Catharines"," 183","St. Catharines",39,0,0,42,8,62,0,151,307
"St. Catharines/St. Catharines"," 184","St. Catharines",46,3,1,53,5,68,0,176,271
"St. Catharines/St. Catharines"," 185","St. Catharines",48,2,1,113,5,110,1,280,434
"St. Catharines/St. Catharines"," 186","St. Catharines",50,2,0,58,11,74,1,196,353
"St. Catharines/St. Catharines"," 187","St. Catharines",54,1,0,70,22,90,1,238,408
"St. Catharines/St. Catharines"," 188","St. Catharines",59,0,0,77,9,89,5,239,458
"St. Catharines/St. Catharines"," 189","St. Catharines",70,3,1,70,6,52,1,203,339
"St. Catharines/St. Catharines"," 190","St. Catharines",65,0,2,105,12,84,0,268,421
"St. Catharines/St. Catharines"," 191","St. Catharines",79,1,0,82,11,77,0,250,487
"St. Catharines/St. Catharines"," 192","St. Catharines",67,0,0,52,5,76,0,200,311
"St. Catharines/St. Catharines"," 193","St. Catharines",59,0,0,67,7,66,1,200,348
"St. Catharines/St. Catharines"," 194","St. Catharines",67,0,0,80,19,92,1,259,376
"St. Catharines/St. Catharines"," 195","St. Catharines",76,0,0,98,6,74,0,254,427
"St. Catharines/St. Catharines"," 196","St. Catharines",64,2,0,79,13,77,1,236,388
"St. Catharines/St. Catharines"," 197","St. Catharines",59,0,0,62,10,54,0,185,340
"St. Catharines/St. Catharines"," 198","St. Catharines",56,0,1,59,13,53,0,182,302
"St. Catharines/St. Catharines"," 199","St. Catharines",71,1,0,98,9,93,2,274,411
"St. Catharines/St. Catharines"," 200","St. Catharines",63,0,2,106,13,84,0,268,389
"St. Catharines/St. Catharines"," 201A","St. Catharines",52,5,0,59,6,50,1,173,293
"St. Catharines/St. Catharines"," 201B","St. Catharines",56,1,1,60,9,55,0,182,284
"St. Catharines/St. Catharines"," 201-1","St. Catharines",45,1,0,49,6,42,1,144,313
"St. Catharines/St. Catharines"," 202","St. Catharines",67,3,1,61,6,79,1,218,357
"St. Catharines/St. Catharines"," 203","St. Catharines",61,0,0,58,5,51,0,175,349
"St. Catharines/St. Catharines"," 204","St. Catharines",35,0,0,47,2,51,0,135,267
"St. Catharines/St. Catharines"," 205","St. Catharines",41,0,1,56,8,52,1,159,319
"St. Catharines/St. Catharines"," 206","St. Catharines",46,1,0,116,10,139,0,312,437
"St. Catharines/St. Catharines"," 207","St. Catharines",55,1,2,82,9,132,0,281,415
"St. Catharines/St. Catharines"," 208","St. Catharines",50,1,0,82,11,103,0,247,348
"St. Catharines/St. Catharines"," 209","St. Catharines",41,0,0,78,10,104,0,233,369
"St. Catharines/St. Catharines"," 210","St. Catharines",38,0,0,42,9,34,0,123,226
"St. Catharines/St. Catharines"," 211","St. Catharines",44,6,0,56,18,30,1,155,336
"St. Catharines/St. Catharines"," 212","St. Catharines",43,0,0,77,8,96,0,224,363
"St. Catharines/St. Catharines"," 213","St. Catharines",39,0,0,37,3,55,0,134,277
"St. Catharines/St. Catharines"," 214","St. Catharines",8,0,0,33,2,20,0,63,104
"St. Catharines/St. Catharines"," 215","St. Catharines",28,0,0,70,3,102,0,203,306
"St. Catharines/St. Catharines"," 216","St. Catharines",31,1,0,72,4,88,0,196,305
"St. Catharines/St. Catharines"," 217","St. Catharines",29,0,2,60,11,91,0,193,290
"St. Catharines/St. Catharines"," 218","St. Catharines",42,0,0,65,10,79,1,197,332
"St. Catharines/St. Catharines"," 219","St. Catharines",39,3,1,75,8,123,0,249,376
"St. Catharines/St. Catharines"," 220","St. Catharines",53,3,1,45,7,76,1,186,334
"St. Catharines/St. Catharines"," 221","St. Catharines",78,2,0,46,5,53,0,184,374
"St. Catharines/St. Catharines"," 400","St. Catharines",39,2,0,52,4,51,6,154,213
"St. Catharines/St. Catharines"," 401","St. Catharines",36,1,0,111,3,113,1,265,353
"St. Catharines/St. Catharines"," 600","St. Catharines",78,0,0,447,23,250,2,800,
"St. Catharines/St. Catharines"," 601","St. Catharines",42,5,0,239,13,155,2,456,
"St. Catharines/St. Catharines"," 602","St. Catharines",81,8,1,414,14,249,3,770,
"St. Catharines/St. Catharines"," 603","St. Catharines",72,1,1,358,13,283,0,728,
"St. Catharines/St. Catharines"," 604","St. Catharines",59,5,1,270,14,190,2,541,
"St. Catharines/St. Catharines"," 605","St. Catharines",82,2,1,298,10,187,0,580,
"St. Catharines/St. Catharines"," 606","St. Catharines",139,4,0,304,31,227,5,710,
"St. Catharines/St. Catharines"," 607","St. Catharines",39,4,0,116,9,76,2,246,
"St. Catharines/St. Catharines"," 608","St. Catharines",44,0,0,112,11,76,0,243,
"St. Catharines/St. Catharines"," 609","St. Catharines",70,3,1,252,14,198,1,539,
"St. Catharines/St. Catharines",,Group 1/Groupe 1,29,4,1,62,8,64,0,168,329
"St. Catharines/St. Catharines",,Group 2/Groupe 2,128,5,0,553,24,575,15,1300,
