Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Boylan,Ujjal Dosanjh,Bev Meslo,Doug Perry,Tarlok Sablok,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver South/Vancouver-Sud"," 105","Vancouver",1,111,57,3,54,1,227,428
"Vancouver South/Vancouver-Sud"," 106","Vancouver",3,135,41,4,80,1,264,484
"Vancouver South/Vancouver-Sud"," 107","Vancouver",2,145,48,5,57,3,260,542
"Vancouver South/Vancouver-Sud"," 108","Vancouver",3,64,38,4,56,1,166,278
"Vancouver South/Vancouver-Sud"," 109","Vancouver",1,150,46,8,63,1,269,511
"Vancouver South/Vancouver-Sud"," 110A","Vancouver",0,64,41,3,64,0,172,322
"Vancouver South/Vancouver-Sud"," 110B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,48
"Vancouver South/Vancouver-Sud"," 111","Vancouver",0,34,23,4,24,0,85,154
"Vancouver South/Vancouver-Sud"," 112","Vancouver",0,157,44,5,83,0,289,524
"Vancouver South/Vancouver-Sud"," 113","Vancouver",1,159,82,6,67,3,318,573
"Vancouver South/Vancouver-Sud"," 114","Vancouver",0,138,36,6,63,0,243,494
"Vancouver South/Vancouver-Sud"," 115","Vancouver",1,66,36,5,47,1,156,300
"Vancouver South/Vancouver-Sud"," 116","Vancouver",0,51,24,2,26,0,103,219
"Vancouver South/Vancouver-Sud"," 117","Vancouver",0,46,62,1,19,1,129,284
"Vancouver South/Vancouver-Sud"," 118","Vancouver",0,137,51,6,82,0,276,599
"Vancouver South/Vancouver-Sud"," 119","Vancouver",0,128,50,6,65,0,249,463
"Vancouver South/Vancouver-Sud"," 120","Vancouver",0,89,60,5,59,1,214,448
"Vancouver South/Vancouver-Sud"," 121","Vancouver",1,91,41,5,54,2,194,349
"Vancouver South/Vancouver-Sud"," 122","Vancouver",2,148,43,7,69,3,272,514
"Vancouver South/Vancouver-Sud"," 123","Vancouver",3,152,58,5,86,3,307,569
"Vancouver South/Vancouver-Sud"," 124","Vancouver",1,99,59,9,69,1,238,447
"Vancouver South/Vancouver-Sud"," 125","Vancouver",0,97,54,5,85,2,243,440
"Vancouver South/Vancouver-Sud"," 126","Vancouver",4,120,39,6,42,1,212,444
"Vancouver South/Vancouver-Sud"," 127","Vancouver",0,155,49,6,77,0,287,619
"Vancouver South/Vancouver-Sud"," 128","Vancouver",1,109,47,7,84,0,248,427
"Vancouver South/Vancouver-Sud"," 129","Vancouver",2,126,41,12,72,3,256,447
"Vancouver South/Vancouver-Sud"," 130","Vancouver",1,123,50,7,72,0,253,539
"Vancouver South/Vancouver-Sud"," 131","Vancouver",0,173,65,3,102,0,343,622
"Vancouver South/Vancouver-Sud"," 132","Vancouver",1,172,45,11,103,0,332,642
"Vancouver South/Vancouver-Sud"," 133","Vancouver",0,119,48,13,104,1,285,491
"Vancouver South/Vancouver-Sud"," 134","Vancouver",0,115,43,7,78,1,244,497
"Vancouver South/Vancouver-Sud"," 135","Vancouver",1,112,62,19,74,2,270,529
"Vancouver South/Vancouver-Sud"," 136","Vancouver",0,84,36,10,45,1,176,377
"Vancouver South/Vancouver-Sud"," 137","Vancouver",1,119,54,11,47,1,233,546
"Vancouver South/Vancouver-Sud"," 138","Vancouver",0,67,22,3,24,0,116,254
"Vancouver South/Vancouver-Sud"," 139A","Vancouver",1,77,35,4,40,0,157,358
"Vancouver South/Vancouver-Sud"," 139B","Vancouver",0,87,42,9,51,1,190,454
"Vancouver South/Vancouver-Sud"," 140","Vancouver",1,123,34,6,59,2,225,426
"Vancouver South/Vancouver-Sud"," 141","Vancouver",0,90,44,3,56,2,195,387
"Vancouver South/Vancouver-Sud"," 142","Vancouver",2,129,46,4,57,1,239,443
"Vancouver South/Vancouver-Sud"," 143","Vancouver",0,79,76,6,49,1,211,447
"Vancouver South/Vancouver-Sud"," 144","Vancouver",3,111,35,7,80,0,236,465
"Vancouver South/Vancouver-Sud"," 145","Vancouver",2,135,54,9,75,0,275,495
"Vancouver South/Vancouver-Sud"," 146","Vancouver",0,106,34,3,89,0,232,475
"Vancouver South/Vancouver-Sud"," 147","Vancouver",0,45,54,7,33,0,139,244
"Vancouver South/Vancouver-Sud"," 148","Vancouver",2,166,50,5,79,1,303,475
"Vancouver South/Vancouver-Sud"," 149","Vancouver",1,106,109,7,49,0,272,452
"Vancouver South/Vancouver-Sud"," 150A","Vancouver",1,82,37,6,48,2,176,363
"Vancouver South/Vancouver-Sud"," 150B","Vancouver",1,77,56,6,40,0,180,328
"Vancouver South/Vancouver-Sud"," 151","Vancouver",0,80,46,3,66,0,195,398
"Vancouver South/Vancouver-Sud"," 152","Vancouver",0,141,36,7,118,1,303,568
"Vancouver South/Vancouver-Sud"," 153","Vancouver",0,120,104,15,91,1,331,569
