Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Roach Denis,Daniel Fournier,Yan Lacombe,Jean-C. Lapierre,Léo-Paul Lauzon,Jacques Léonard,Régent Millette,Philip Paynter,François Pilon,Xavier Rochon,Linda Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Outremont/Outremont"," 31","Montréal",0,19,0,70,79,74,0,2,28,0,1,6,279,523
"Outremont/Outremont"," 32","Montréal",1,11,0,98,95,81,0,0,28,0,0,0,314,577
"Outremont/Outremont"," 33","Montréal",0,20,0,81,104,67,0,1,41,0,1,2,317,525
"Outremont/Outremont"," 34","Montréal",4,28,1,184,117,46,0,1,46,0,5,2,434,359
"Outremont/Outremont"," 35","Montréal",0,17,0,121,82,75,0,3,26,0,2,2,328,616
"Outremont/Outremont"," 36","Montréal",Merged with No. 34/Fusionné avec le nº 34,,,,,,,,,,,,,305
"Outremont/Outremont"," 37","Montréal",1,32,2,137,17,20,0,2,3,0,0,1,215,479
"Outremont/Outremont"," 38","Outremont",0,19,0,50,39,51,0,1,10,0,1,1,172,364
"Outremont/Outremont"," 39","Outremont",0,32,0,78,34,58,0,0,10,0,0,0,212,493
"Outremont/Outremont"," 40","Outremont",0,28,0,58,47,76,0,0,18,0,0,0,227,513
"Outremont/Outremont"," 41","Outremont",1,23,1,55,41,93,0,0,19,0,0,1,234,403
"Outremont/Outremont"," 42","Outremont",2,23,0,52,43,77,0,0,13,0,0,2,212,344
"Outremont/Outremont"," 43A","Outremont",Merged with No. 46/Fusionné avec le nº 46,,,,,,,,,,,,,143
"Outremont/Outremont"," 43B","Outremont",0,29,0,62,32,75,0,0,7,0,1,2,208,398
"Outremont/Outremont"," 44","Outremont",0,36,0,65,12,47,0,0,3,0,0,1,164,329
"Outremont/Outremont"," 45","Outremont",0,41,0,81,19,75,0,0,11,0,1,2,230,399
"Outremont/Outremont"," 46","Outremont",0,42,0,72,20,74,0,0,4,0,0,3,215,269
"Outremont/Outremont"," 47","Outremont",0,62,0,52,26,110,0,0,16,0,0,0,266,438
"Outremont/Outremont"," 48","Outremont",1,45,1,58,24,72,0,0,16,1,1,1,220,426
"Outremont/Outremont"," 49","Outremont",0,46,1,69,36,61,0,0,9,0,0,0,222,492
"Outremont/Outremont"," 50","Outremont",0,18,0,38,51,73,0,1,9,0,1,1,192,371
"Outremont/Outremont"," 51","Montréal",0,19,1,131,19,21,0,4,6,0,2,1,204,438
"Outremont/Outremont"," 52","Montréal",3,37,0,143,20,12,0,3,5,0,2,7,232,526
"Outremont/Outremont"," 53","Outremont",1,27,0,44,72,123,0,0,20,0,0,0,287,542
"Outremont/Outremont"," 54","Outremont",0,28,0,66,50,161,0,0,11,0,0,3,319,533
"Outremont/Outremont"," 55","Outremont",0,18,0,52,52,157,0,0,25,1,0,1,306,438
"Outremont/Outremont"," 56","Outremont",0,14,0,45,47,113,0,0,10,1,0,0,230,351
"Outremont/Outremont"," 57","Outremont",0,41,0,45,43,108,0,1,11,0,0,0,249,432
"Outremont/Outremont"," 58A","Outremont",0,42,0,52,15,80,0,0,11,0,0,1,201,341
"Outremont/Outremont"," 58B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,,,,,,37
"Outremont/Outremont"," 59","Outremont",1,34,0,42,33,82,0,0,13,0,0,2,207,394
"Outremont/Outremont"," 60","Outremont",0,13,0,49,48,123,0,0,16,0,0,1,250,397
"Outremont/Outremont"," 61","Outremont",0,28,0,53,31,110,0,0,17,0,0,0,239,374
"Outremont/Outremont"," 62","Outremont",0,19,0,64,52,175,0,0,10,0,1,2,323,505
"Outremont/Outremont"," 63A","Montréal",3,31,2,136,26,33,0,3,7,2,0,5,248,344
"Outremont/Outremont"," 63B","Montréal",2,30,5,141,11,18,0,6,4,2,1,1,221,462
"Outremont/Outremont"," 64","Outremont",0,15,0,39,40,118,0,0,10,0,0,1,223,387
"Outremont/Outremont"," 65","Outremont",2,15,0,52,71,98,0,0,15,0,0,1,254,378
"Outremont/Outremont"," 66","Outremont",0,24,2,39,42,123,1,0,11,0,0,0,242,378
"Outremont/Outremont"," 67","Outremont",0,23,0,57,45,121,0,0,21,1,1,1,270,458
"Outremont/Outremont"," 68","Outremont",0,46,0,47,42,119,0,0,11,0,1,0,266,374
"Outremont/Outremont"," 69","Outremont",0,16,0,43,33,120,0,0,10,0,1,4,227,381
"Outremont/Outremont"," 70","Outremont",0,43,0,146,27,68,1,1,8,0,1,4,299,491
"Outremont/Outremont"," 71","Outremont",0,54,1,76,29,149,0,1,10,0,0,1,321,492
"Outremont/Outremont"," 72","Outremont",0,70,1,76,40,109,1,1,20,0,0,2,320,557
"Outremont/Outremont"," 73","Outremont",0,61,0,59,28,143,0,0,11,0,0,0,302,537
"Outremont/Outremont"," 74","Outremont",0,91,0,55,26,89,0,0,6,0,0,1,268,463
"Outremont/Outremont"," 75","Outremont",0,33,0,62,26,137,0,1,27,0,0,0,286,436
"Outremont/Outremont"," 76","Outremont",0,54,0,83,20,49,0,0,14,0,1,2,223,400
"Outremont/Outremont"," 77","Outremont",1,67,0,83,20,94,0,0,15,0,0,0,280,417
"Outremont/Outremont"," 78","Outremont",1,29,0,84,20,79,0,0,10,1,1,4,229,424
"Outremont/Outremont"," 79","Outremont",0,49,0,62,11,46,0,0,6,0,1,1,176,295
"Outremont/Outremont"," 80","Montréal",Merged with No. 81/Fusionné avec le nº 81,,,,,,,,,,,,,143
"Outremont/Outremont"," 81","Montréal",0,49,0,96,13,8,1,0,6,0,0,1,174,269
"Outremont/Outremont"," 82","Montréal",2,61,2,98,19,12,1,0,3,0,0,1,199,499
"Outremont/Outremont"," 83","Montréal",0,81,1,87,15,14,0,0,10,0,2,1,211,507
"Outremont/Outremont"," 84","Montréal",0,66,0,61,18,33,0,0,5,0,2,0,185,508
"Outremont/Outremont"," 85","Montréal",0,70,0,51,11,20,0,0,5,0,1,1,159,511
"Outremont/Outremont"," 86","Montréal",0,32,0,53,17,45,0,0,6,0,0,2,155,286
"Outremont/Outremont"," 87","Montréal",0,39,0,105,11,14,0,2,6,0,1,1,179,430
"Outremont/Outremont"," 88","Montréal",1,26,0,100,13,38,0,0,7,1,0,1,187,426
"Outremont/Outremont"," 89","Montréal",1,19,0,55,9,27,0,0,4,0,0,0,115,309
"Outremont/Outremont"," 90","Montréal",1,43,0,73,9,45,0,1,7,0,0,3,182,464
"Outremont/Outremont"," 91","Montréal",0,54,0,65,22,58,0,0,4,0,0,1,204,453
"Outremont/Outremont"," 92","Outremont",0,34,0,48,25,65,0,0,5,0,0,1,178,311
"Outremont/Outremont"," 93","Montréal",0,10,0,22,31,83,1,0,9,0,0,2,158,286
"Outremont/Outremont"," 94","Montréal",0,13,0,60,55,146,0,0,14,0,2,4,294,466
"Outremont/Outremont"," 95","Montréal",0,8,0,19,30,90,0,0,7,0,0,1,155,313
"Outremont/Outremont"," 96","Outremont",0,34,0,46,50,89,0,0,15,0,0,0,234,396
"Outremont/Outremont"," 97","Montréal",0,29,0,32,30,72,0,0,9,0,0,0,172,256
"Outremont/Outremont"," 98","Montréal",Merged with No. 115/Fusionné avec le nº 115,,,,,,,,,,,,,260
"Outremont/Outremont"," 99","Montréal",0,30,0,45,29,81,0,0,10,0,0,3,198,384
"Outremont/Outremont"," 100","Montréal",0,42,0,77,22,39,0,0,6,0,0,1,187,413
"Outremont/Outremont"," 101","Montréal",0,29,0,104,24,28,0,0,3,1,1,0,190,481
"Outremont/Outremont"," 102","Montréal",1,36,0,93,17,30,0,1,5,0,0,1,184,431
"Outremont/Outremont"," 103","Montréal",1,25,2,120,34,40,1,0,8,0,0,2,233,561
"Outremont/Outremont"," 104","Montréal",1,37,0,97,39,56,0,0,10,0,1,3,244,561
"Outremont/Outremont"," 105","Montréal",1,31,1,157,19,11,0,2,3,0,0,0,225,481
"Outremont/Outremont"," 106","Montréal",1,12,2,89,18,13,0,0,3,0,1,1,140,318
"Outremont/Outremont"," 107","Montréal",2,46,0,178,19,26,0,0,7,0,0,9,287,418
"Outremont/Outremont"," 108A","Montréal",Merged with No. 120/Fusionné avec le nº 120,,,,,,,,,,,,,34
"Outremont/Outremont"," 108B","Montréal",4,36,2,129,23,27,1,1,9,0,1,3,236,506
"Outremont/Outremont"," 109A","Montréal",Merged with No. 121/Fusionné avec le nº 121,,,,,,,,,,,,,34
"Outremont/Outremont"," 109B","Montréal",2,20,3,167,16,9,0,1,1,0,2,2,223,539
"Outremont/Outremont"," 110A","Montréal",Merged with No. 107/Fusionné avec le nº 107,,,,,,,,,,,,,94
"Outremont/Outremont"," 110B","Montréal",0,32,1,149,24,22,0,2,3,0,1,7,241,501
"Outremont/Outremont"," 111A","Montréal",Merged with No. 113/Fusionné avec le nº 113,,,,,,,,,,,,,166
"Outremont/Outremont"," 111B","Montréal",0,16,0,56,24,46,0,0,9,0,0,1,152,413
"Outremont/Outremont"," 112","Montréal",0,46,1,80,38,78,0,0,10,0,0,2,255,360
"Outremont/Outremont"," 113","Montréal",0,19,0,57,33,121,0,0,11,0,0,3,244,312
"Outremont/Outremont"," 114","Montréal",1,38,1,87,54,93,0,0,10,0,0,1,285,337
"Outremont/Outremont"," 115","Montréal",0,17,0,45,70,167,0,0,24,0,0,2,325,304
"Outremont/Outremont"," 116","Montréal",Merged with No. 117/Fusionné avec le nº 117,,,,,,,,,,,,,214
"Outremont/Outremont"," 117","Montréal",0,26,1,65,61,146,0,2,13,1,0,1,316,305
"Outremont/Outremont"," 118","Montréal",0,24,0,46,32,56,0,0,12,1,0,0,171,417
"Outremont/Outremont"," 119","Montréal",3,16,1,63,29,61,0,0,2,1,0,4,180,387
"Outremont/Outremont"," 120","Montréal",1,31,0,116,40,42,0,1,7,0,0,1,239,473
"Outremont/Outremont"," 121","Montréal",3,35,0,119,37,52,0,1,9,0,1,2,259,505
"Outremont/Outremont"," 122A","Montréal",Merged with No. 129/Fusionné avec le nº 129,,,,,,,,,,,,,82
"Outremont/Outremont"," 122B","Montréal",2,36,0,106,33,44,0,0,6,1,0,4,232,450
"Outremont/Outremont"," 123","Montréal",0,26,0,68,36,54,0,0,11,0,2,4,201,465
"Outremont/Outremont"," 124","Montréal",0,24,0,72,21,49,1,0,6,1,0,1,175,424
"Outremont/Outremont"," 125","Montréal",0,15,0,80,27,39,1,0,7,1,1,1,172,268
"Outremont/Outremont"," 126A","Montréal",Merged with No. 125/Fusionné avec le nº 125,,,,,,,,,,,,,106
"Outremont/Outremont"," 126B","Montréal",0,21,0,42,45,113,0,0,10,1,0,3,235,425
"Outremont/Outremont"," 127A","Montréal",Merged with No. 128/Fusionné avec le nº 128,,,,,,,,,,,,,82
"Outremont/Outremont"," 127B","Montréal",0,32,1,103,35,57,0,2,7,0,0,0,237,478
"Outremont/Outremont"," 128","Montréal",2,21,0,107,41,39,0,2,18,0,1,1,232,386
"Outremont/Outremont"," 129","Montréal",0,25,0,89,48,80,0,0,7,0,0,0,249,378
"Outremont/Outremont"," 130","Montréal",1,20,1,111,26,56,1,1,6,0,1,2,226,394
"Outremont/Outremont"," 131A","Montréal",Merged with No. 130/Fusionné avec le nº 130,,,,,,,,,,,,,75
"Outremont/Outremont"," 131B","Montréal",1,29,1,151,18,40,0,0,4,0,0,1,245,465
"Outremont/Outremont"," 132","Montréal",0,21,1,99,36,56,2,1,15,1,1,2,235,431
"Outremont/Outremont"," 133","Montréal",0,17,0,55,59,103,0,0,10,0,0,1,245,338
"Outremont/Outremont"," 134A","Montréal",Merged with No. 135/Fusionné avec le nº 135,,,,,,,,,,,,,146
"Outremont/Outremont"," 134B","Montréal",Merged with No. 137/Fusionné avec le nº 137,,,,,,,,,,,,,122
"Outremont/Outremont"," 134C","Montréal",Merged with No. 133/Fusionné avec le nº 133,,,,,,,,,,,,,146
"Outremont/Outremont"," 135","Montréal",0,26,0,48,47,129,0,0,8,0,1,0,259,314
"Outremont/Outremont"," 136A","Montréal",Merged with No. 112/Fusionné avec le nº 112,,,,,,,,,,,,,143
"Outremont/Outremont"," 136B","Montréal",Merged with No. 114/Fusionné avec le nº 114,,,,,,,,,,,,,156
"Outremont/Outremont"," 137","Montréal",0,37,0,42,31,69,0,0,9,1,0,0,189,309
"Outremont/Outremont"," 138","Montréal",0,15,0,75,21,23,1,0,4,0,0,1,140,246
"Outremont/Outremont"," 139","Montréal",0,61,1,130,35,29,0,1,12,0,2,2,273,456
"Outremont/Outremont"," 140","Montréal",0,68,0,165,29,11,0,1,18,1,2,0,295,305
"Outremont/Outremont"," 141A","Montréal",Merged with No. 139/Fusionné avec le nº 139,,,,,,,,,,,,,72
"Outremont/Outremont"," 141B","Montréal",Merged with No. 140/Fusionné avec le nº 140,,,,,,,,,,,,,190
"Outremont/Outremont"," 142A","Montréal",Merged with No. 138/Fusionné avec le nº 138,,,,,,,,,,,,,162
"Outremont/Outremont"," 142B","Montréal",Merged with No. 143/Fusionné avec le nº 143,,,,,,,,,,,,,101
"Outremont/Outremont"," 142C","Montréal",Merged with No. 146/Fusionné avec le nº 146,,,,,,,,,,,,,121
"Outremont/Outremont"," 143","Montréal",0,18,0,91,25,22,1,0,9,0,0,1,167,384
"Outremont/Outremont"," 144A","Montréal",0,42,0,97,52,76,0,0,20,0,2,1,290,494
"Outremont/Outremont"," 144B","Montréal",Merged with No. 138/Fusionné avec le nº 138,,,,,,,,,,,,,48
"Outremont/Outremont"," 145","Montréal",0,20,0,64,46,49,0,0,7,0,0,1,187,359
"Outremont/Outremont"," 146","Montréal",0,27,0,78,26,35,1,0,11,1,0,1,180,319
"Outremont/Outremont"," 147","Montréal",0,50,0,155,69,72,0,0,16,0,0,1,363,399
"Outremont/Outremont"," 148","Montréal",1,22,0,63,13,21,0,0,2,1,0,0,123,238
"Outremont/Outremont"," 149","Montréal",1,43,0,95,35,41,0,0,7,0,1,0,223,387
"Outremont/Outremont"," 150","Montréal",0,23,0,77,12,26,0,0,5,0,0,2,145,279
"Outremont/Outremont"," 151","Montréal",1,48,0,99,43,103,0,2,15,0,0,0,311,555
"Outremont/Outremont"," 152","Montréal",1,18,1,49,26,50,0,0,8,0,0,3,156,372
"Outremont/Outremont"," 153","Montréal",1,28,0,51,40,96,0,1,6,1,0,2,226,402
"Outremont/Outremont"," 154","Montréal",0,27,3,132,17,36,0,2,5,0,1,7,230,455
"Outremont/Outremont"," 155A","Montréal",Merged with No. 153/Fusionné avec le nº 153,,,,,,,,,,,,,91
"Outremont/Outremont"," 155B","Montréal",Merged with No. 154/Fusionné avec le nº 154,,,,,,,,,,,,,45
"Outremont/Outremont"," 155C","Montréal",4,38,2,119,49,79,0,0,13,0,1,3,308,526
"Outremont/Outremont"," 156","Montréal",1,24,0,91,36,47,0,0,10,0,0,0,209,470
"Outremont/Outremont"," 500A","Mobile poll/Bureau itinérant",2,18,1,28,5,7,1,1,2,0,2,2,69,138
"Outremont/Outremont"," 500B","Mobile poll/Bureau itinérant",0,12,1,43,6,10,0,2,3,0,0,1,78,81
"Outremont/Outremont"," 501","Mobile poll/Bureau itinérant",0,0,0,4,2,0,0,0,0,0,0,0,6,52
"Outremont/Outremont"," 502A","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,,,,,,,16
"Outremont/Outremont"," 502B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,,,,,,,44
"Outremont/Outremont"," 503","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,,,,,26
"Outremont/Outremont"," 600","Montréal",1,50,3,156,128,172,1,6,27,0,3,4,551,
"Outremont/Outremont"," 601","Montréal",1,51,3,181,83,154,0,1,27,0,2,3,506,
"Outremont/Outremont"," 602","Montréal",0,81,0,106,63,192,1,1,9,1,1,1,456,
"Outremont/Outremont"," 603","Montréal",1,191,3,334,33,125,0,1,13,0,0,4,705,
"Outremont/Outremont"," 604","Montréal",2,90,1,282,57,153,0,0,15,0,0,6,606,
"Outremont/Outremont"," 605","Montréal",2,69,2,179,51,169,0,4,12,0,0,3,491,
"Outremont/Outremont"," 606","Montréal",0,71,0,221,22,84,0,0,8,1,0,4,411,
"Outremont/Outremont",,Group 1/Groupe 1,0,11,0,35,21,32,0,0,10,0,0,11,120,206
"Outremont/Outremont",,Group 2/Groupe 2,0,165,3,1029,202,443,0,2,52,0,3,22,1921,
