Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maro Akoury,Claude Bachand,Véronique Bisaillon,Mathieu-Gilles Lanciault,Francis Lévesque,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Jean/Saint-Jean"," 35","Saint-Luc",20,175,15,20,71,3,304,510
"Saint-Jean/Saint-Jean"," 36","Saint-Athanase",10,142,12,9,63,2,238,408
"Saint-Jean/Saint-Jean"," 37","Saint-Athanase",10,156,7,14,55,5,247,472
"Saint-Jean/Saint-Jean"," 38","Saint-Athanase",21,142,15,22,74,5,279,554
"Saint-Jean/Saint-Jean"," 39","Saint-Athanase",19,115,7,21,63,4,229,363
"Saint-Jean/Saint-Jean"," 40A","Saint-Athanase",25,126,11,13,58,4,237,386
"Saint-Jean/Saint-Jean"," 40B","Saint-Athanase",18,132,5,14,38,6,213,365
"Saint-Jean/Saint-Jean"," 41","Saint-Athanase",22,109,6,12,44,2,195,365
"Saint-Jean/Saint-Jean"," 42","Saint-Athanase",19,212,8,21,80,2,342,525
"Saint-Jean/Saint-Jean"," 43","Saint-Athanase",22,186,14,13,48,6,289,488
"Saint-Jean/Saint-Jean"," 44","Saint-Athanase",26,145,8,27,73,3,282,499
"Saint-Jean/Saint-Jean"," 45","Saint-Athanase",31,125,2,13,34,1,206,360
"Saint-Jean/Saint-Jean"," 46","Saint-Athanase",18,174,9,9,52,4,266,492
"Saint-Jean/Saint-Jean"," 47","Saint-Athanase",21,111,8,13,48,2,203,334
"Saint-Jean/Saint-Jean"," 48","Saint-Grégoire-le-Grand",32,138,13,17,76,10,286,425
"Saint-Jean/Saint-Jean"," 49","Saint-Grégoire-le-Grand",15,129,16,18,57,3,238,374
"Saint-Jean/Saint-Jean"," 50","Saint-Grégoire-le-Grand",30,195,18,28,61,5,337,417
"Saint-Jean/Saint-Jean"," 51","Saint-Grégoire-le-Grand",38,152,7,12,55,3,267,373
"Saint-Jean/Saint-Jean"," 52","Saint-Grégoire-le-Grand",19,95,9,10,41,4,178,300
"Saint-Jean/Saint-Jean"," 53","Saint-Grégoire-le-Grand",21,155,19,20,47,7,269,423
"Saint-Jean/Saint-Jean"," 54","Sainte-Brigide-d'Iberville",17,131,8,16,67,5,244,326
"Saint-Jean/Saint-Jean"," 55","Sainte-Brigide-d'Iberville",43,109,12,12,58,4,238,339
"Saint-Jean/Saint-Jean"," 56","Sainte-Brigide-d'Iberville",22,99,19,8,43,2,193,271
"Saint-Jean/Saint-Jean"," 57","Saint-Alexandre",27,75,6,14,41,2,165,257
"Saint-Jean/Saint-Jean"," 58","Saint-Alexandre",38,169,23,25,62,7,324,449
"Saint-Jean/Saint-Jean"," 59","Saint-Alexandre",17,203,19,23,56,13,331,536
"Saint-Jean/Saint-Jean"," 60","Saint-Alexandre",26,135,22,20,86,6,295,379
"Saint-Jean/Saint-Jean"," 61","Saint-Alexandre",Merged with No. 60/Fusionné avec le nº 60,,,,,,,72
"Saint-Jean/Saint-Jean"," 62","Sabrevois",36,140,10,18,73,5,282,486
"Saint-Jean/Saint-Jean"," 63","Sabrevois",17,131,7,11,35,2,203,348
"Saint-Jean/Saint-Jean"," 64","Sabrevois",18,136,2,2,26,5,189,302
"Saint-Jean/Saint-Jean"," 65","Sabrevois",21,116,7,10,39,8,201,333
"Saint-Jean/Saint-Jean"," 66","L'Acadie",14,72,7,8,30,1,132,256
"Saint-Jean/Saint-Jean"," 67","L'Acadie",26,60,4,7,25,1,123,249
"Saint-Jean/Saint-Jean"," 68","L'Acadie",24,109,14,15,52,0,214,384
"Saint-Jean/Saint-Jean"," 69","L'Acadie",18,133,5,11,38,2,207,397
"Saint-Jean/Saint-Jean"," 70","L'Acadie",17,135,27,21,48,7,255,419
"Saint-Jean/Saint-Jean"," 71","L'Acadie",17,134,11,20,35,0,217,359
"Saint-Jean/Saint-Jean"," 72","L'Acadie",22,135,16,26,61,11,271,443
"Saint-Jean/Saint-Jean"," 73","L'Acadie",30,225,21,23,60,13,372,567
"Saint-Jean/Saint-Jean"," 74","L'Acadie",24,138,20,16,81,5,284,442
"Saint-Jean/Saint-Jean"," 75","L'Acadie",24,104,14,20,48,3,213,378
"Saint-Jean/Saint-Jean"," 76","L'Acadie",24,121,16,26,54,3,244,360
"Saint-Jean/Saint-Jean"," 77","Saint-Jean-sur-Richelieu",Merged with No. 78/Fusionné avec le nº 78,,,,,,,144
"Saint-Jean/Saint-Jean"," 78","Saint-Jean-sur-Richelieu",31,138,17,26,57,4,273,295
"Saint-Jean/Saint-Jean"," 79","Saint-Jean-sur-Richelieu",38,166,18,14,102,5,343,560
"Saint-Jean/Saint-Jean"," 80","Saint-Jean-sur-Richelieu",26,140,12,22,63,6,269,509
"Saint-Jean/Saint-Jean"," 81","Saint-Jean-sur-Richelieu",28,153,6,15,59,3,264,434
"Saint-Jean/Saint-Jean"," 82","Saint-Jean-sur-Richelieu",39,82,3,10,51,2,187,544
"Saint-Jean/Saint-Jean"," 83","Saint-Jean-sur-Richelieu",33,128,9,13,52,2,237,492
"Saint-Jean/Saint-Jean"," 84","Saint-Jean-sur-Richelieu",28,54,3,3,13,2,103,290
"Saint-Jean/Saint-Jean"," 85","Saint-Jean-sur-Richelieu",28,66,1,14,21,2,132,287
"Saint-Jean/Saint-Jean"," 86","Saint-Jean-sur-Richelieu",17,78,6,9,31,4,145,332
"Saint-Jean/Saint-Jean"," 87","Saint-Jean-sur-Richelieu",31,131,9,15,72,6,264,497
"Saint-Jean/Saint-Jean"," 88A","Saint-Jean-sur-Richelieu",33,77,6,6,43,2,167,306
"Saint-Jean/Saint-Jean"," 88B","Saint-Jean-sur-Richelieu",24,85,4,15,45,1,174,294
"Saint-Jean/Saint-Jean"," 89","Saint-Jean-sur-Richelieu",60,36,2,11,38,2,149,307
"Saint-Jean/Saint-Jean"," 90","Saint-Jean-sur-Richelieu",39,93,9,8,37,3,189,358
"Saint-Jean/Saint-Jean"," 91","Saint-Jean-sur-Richelieu",17,86,4,14,22,3,146,375
"Saint-Jean/Saint-Jean"," 92","Saint-Jean-sur-Richelieu",23,86,3,13,38,2,165,369
"Saint-Jean/Saint-Jean"," 93","Saint-Jean-sur-Richelieu",23,80,4,10,29,2,148,344
"Saint-Jean/Saint-Jean"," 94","Saint-Jean-sur-Richelieu",12,84,12,10,21,4,143,427
"Saint-Jean/Saint-Jean"," 95","Saint-Jean-sur-Richelieu",31,113,5,21,47,7,224,368
"Saint-Jean/Saint-Jean"," 96","Saint-Jean-sur-Richelieu",32,66,10,27,74,0,209,344
"Saint-Jean/Saint-Jean"," 97","Saint-Jean-sur-Richelieu",27,115,22,29,52,0,245,421
"Saint-Jean/Saint-Jean"," 98","Saint-Jean-sur-Richelieu",27,92,8,16,56,1,200,311
"Saint-Jean/Saint-Jean"," 99","Saint-Jean-sur-Richelieu",39,89,16,14,29,2,189,307
"Saint-Jean/Saint-Jean"," 100","Saint-Jean-sur-Richelieu",40,133,8,33,69,5,288,468
"Saint-Jean/Saint-Jean"," 101","Saint-Jean-sur-Richelieu",34,76,12,19,38,5,184,333
"Saint-Jean/Saint-Jean"," 102","Saint-Jean-sur-Richelieu",33,78,7,10,33,1,162,334
"Saint-Jean/Saint-Jean"," 103","Saint-Jean-sur-Richelieu",24,149,12,20,38,6,249,483
"Saint-Jean/Saint-Jean"," 104","Saint-Jean-sur-Richelieu",38,124,19,17,49,3,250,386
"Saint-Jean/Saint-Jean"," 105","Saint-Jean-sur-Richelieu",31,94,13,20,39,5,202,365
"Saint-Jean/Saint-Jean"," 106","Saint-Jean-sur-Richelieu",33,107,14,16,49,8,227,363
"Saint-Jean/Saint-Jean"," 107","Saint-Jean-sur-Richelieu",40,92,10,14,56,2,214,381
"Saint-Jean/Saint-Jean"," 108","Saint-Jean-sur-Richelieu",27,127,9,18,40,5,226,388
"Saint-Jean/Saint-Jean"," 109","Saint-Jean-sur-Richelieu",18,120,11,11,35,5,200,437
"Saint-Jean/Saint-Jean"," 110","Saint-Jean-sur-Richelieu",20,101,13,12,34,3,183,403
"Saint-Jean/Saint-Jean"," 111","Saint-Jean-sur-Richelieu",20,109,4,8,22,3,166,372
"Saint-Jean/Saint-Jean"," 112","Saint-Jean-sur-Richelieu",20,160,16,26,53,3,278,451
"Saint-Jean/Saint-Jean"," 113","Saint-Jean-sur-Richelieu",11,75,3,13,45,2,149,270
"Saint-Jean/Saint-Jean"," 114","Saint-Jean-sur-Richelieu",38,162,13,26,56,8,303,490
"Saint-Jean/Saint-Jean"," 115A","Saint-Jean-sur-Richelieu",13,141,7,11,47,4,223,403
"Saint-Jean/Saint-Jean"," 115B","Saint-Jean-sur-Richelieu",21,143,9,20,51,7,251,398
"Saint-Jean/Saint-Jean"," 116A","Saint-Jean-sur-Richelieu",10,67,2,2,24,3,108,281
"Saint-Jean/Saint-Jean"," 116B","Saint-Jean-sur-Richelieu",13,92,5,6,25,3,144,323
"Saint-Jean/Saint-Jean"," 117","Saint-Jean-sur-Richelieu",17,68,7,2,39,0,133,348
"Saint-Jean/Saint-Jean"," 118","Saint-Jean-sur-Richelieu",17,106,8,7,30,2,170,442
"Saint-Jean/Saint-Jean"," 119","Saint-Jean-sur-Richelieu",16,90,8,16,17,2,149,303
"Saint-Jean/Saint-Jean"," 120A","Saint-Jean-sur-Richelieu",13,78,1,4,12,5,113,236
"Saint-Jean/Saint-Jean"," 120B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,91
"Saint-Jean/Saint-Jean"," 121","Saint-Jean-sur-Richelieu",11,90,12,7,26,4,150,338
"Saint-Jean/Saint-Jean"," 122","Saint-Jean-sur-Richelieu",10,132,14,9,37,3,205,525
"Saint-Jean/Saint-Jean"," 123","Saint-Jean-sur-Richelieu",12,106,9,8,26,2,163,382
"Saint-Jean/Saint-Jean"," 124","Saint-Jean-sur-Richelieu",8,87,6,13,30,3,147,309
"Saint-Jean/Saint-Jean"," 125","Saint-Jean-sur-Richelieu",6,81,8,7,26,1,129,256
"Saint-Jean/Saint-Jean"," 126","Saint-Jean-sur-Richelieu",17,93,8,11,42,5,176,372
"Saint-Jean/Saint-Jean"," 127","Saint-Jean-sur-Richelieu",23,122,10,17,27,2,201,434
"Saint-Jean/Saint-Jean"," 128","Saint-Jean-sur-Richelieu",21,81,3,3,32,3,143,298
"Saint-Jean/Saint-Jean"," 129","Saint-Jean-sur-Richelieu",31,117,8,22,41,3,222,449
"Saint-Jean/Saint-Jean"," 130","Saint-Jean-sur-Richelieu",20,104,8,11,35,4,182,367
"Saint-Jean/Saint-Jean"," 131","Saint-Jean-sur-Richelieu",25,172,12,17,59,4,289,514
"Saint-Jean/Saint-Jean"," 132","Saint-Jean-sur-Richelieu",18,104,9,13,24,4,172,361
"Saint-Jean/Saint-Jean"," 133","Saint-Jean-sur-Richelieu",14,123,14,17,35,3,206,372
"Saint-Jean/Saint-Jean"," 134","Saint-Jean-sur-Richelieu",20,146,16,21,42,3,248,539
"Saint-Jean/Saint-Jean"," 135","Saint-Jean-sur-Richelieu",25,115,19,13,21,3,196,350
"Saint-Jean/Saint-Jean"," 136","Saint-Jean-sur-Richelieu",19,109,8,18,24,1,179,314
"Saint-Jean/Saint-Jean"," 137","Saint-Jean-sur-Richelieu",15,110,11,14,29,5,184,313
"Saint-Jean/Saint-Jean"," 138","Saint-Jean-sur-Richelieu",24,143,8,15,45,3,238,413
"Saint-Jean/Saint-Jean"," 139","Saint-Jean-sur-Richelieu",25,102,22,22,65,4,240,359
"Saint-Jean/Saint-Jean"," 140","Saint-Jean-sur-Richelieu",20,114,9,16,32,0,191,363
"Saint-Jean/Saint-Jean"," 141","Saint-Jean-sur-Richelieu",12,102,14,17,19,7,171,342
"Saint-Jean/Saint-Jean"," 142","Saint-Jean-sur-Richelieu",39,192,13,24,68,6,342,566
"Saint-Jean/Saint-Jean"," 143","Saint-Jean-sur-Richelieu",Merged with No. 145/Fusionné avec le nº 145,,,,,,,89
"Saint-Jean/Saint-Jean"," 144A","Saint-Jean-sur-Richelieu",26,149,10,16,57,6,264,424
"Saint-Jean/Saint-Jean"," 144B","Saint-Jean-sur-Richelieu",29,133,10,24,71,6,273,443
"Saint-Jean/Saint-Jean"," 145","Saint-Jean-sur-Richelieu",28,128,15,14,84,3,272,378
"Saint-Jean/Saint-Jean"," 146","Saint-Jean-sur-Richelieu",27,121,12,18,57,0,235,385
"Saint-Jean/Saint-Jean"," 147","Saint-Jean-sur-Richelieu",36,126,5,14,52,4,237,372
"Saint-Jean/Saint-Jean"," 148","Saint-Jean-sur-Richelieu",41,144,15,14,62,3,279,447
"Saint-Jean/Saint-Jean"," 149","Saint-Jean-sur-Richelieu",26,131,16,27,47,5,252,417
"Saint-Jean/Saint-Jean"," 150","Saint-Jean-sur-Richelieu",20,143,10,20,36,5,234,389
"Saint-Jean/Saint-Jean"," 151","Saint-Jean-sur-Richelieu",31,122,13,24,52,9,251,453
"Saint-Jean/Saint-Jean"," 152","Saint-Jean-sur-Richelieu",37,125,22,30,73,4,291,453
"Saint-Jean/Saint-Jean"," 153","Saint-Jean-sur-Richelieu",39,219,11,24,71,10,374,597
"Saint-Jean/Saint-Jean"," 154","Saint-Jean-sur-Richelieu",16,100,8,11,47,2,184,314
"Saint-Jean/Saint-Jean"," 155","Iberville",19,118,6,33,44,4,224,394
"Saint-Jean/Saint-Jean"," 156","Iberville",32,120,22,14,72,2,262,389
"Saint-Jean/Saint-Jean"," 157","Iberville",22,165,15,22,66,7,297,461
"Saint-Jean/Saint-Jean"," 158","Iberville",31,118,4,8,28,4,193,421
"Saint-Jean/Saint-Jean"," 159","Iberville",21,96,7,15,18,3,160,322
"Saint-Jean/Saint-Jean"," 160","Iberville",29,174,14,18,56,9,300,488
"Saint-Jean/Saint-Jean"," 161","Iberville",11,88,8,7,32,4,150,285
"Saint-Jean/Saint-Jean"," 162","Iberville",13,192,15,22,70,12,324,570
"Saint-Jean/Saint-Jean"," 163","Iberville",23,125,4,17,72,5,246,376
"Saint-Jean/Saint-Jean"," 164","Iberville",27,128,8,12,50,1,226,466
"Saint-Jean/Saint-Jean"," 165A","Iberville",25,120,6,8,40,5,204,365
"Saint-Jean/Saint-Jean"," 165B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,38
"Saint-Jean/Saint-Jean"," 165C","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,72
"Saint-Jean/Saint-Jean"," 166","Iberville",14,98,6,8,17,3,146,381
"Saint-Jean/Saint-Jean"," 167","Iberville",28,137,20,20,33,4,242,429
"Saint-Jean/Saint-Jean"," 168","Iberville",25,126,8,10,49,6,224,483
"Saint-Jean/Saint-Jean"," 169","Iberville",14,109,5,16,31,6,181,300
"Saint-Jean/Saint-Jean"," 170","Iberville",21,116,14,9,38,5,203,330
"Saint-Jean/Saint-Jean"," 171","Iberville",26,119,12,22,44,6,229,318
"Saint-Jean/Saint-Jean"," 172","Iberville",36,203,18,26,83,7,373,512
"Saint-Jean/Saint-Jean"," 173","Iberville",17,123,9,11,48,6,214,368
"Saint-Jean/Saint-Jean"," 174","Saint-Blaise-sur-Richelieu",17,137,24,8,71,3,260,392
"Saint-Jean/Saint-Jean"," 175","Saint-Blaise-sur-Richelieu",12,69,8,4,21,0,114,189
"Saint-Jean/Saint-Jean"," 176","Saint-Blaise-sur-Richelieu",35,162,8,7,59,5,276,510
"Saint-Jean/Saint-Jean"," 177","Saint-Blaise-sur-Richelieu",39,152,17,23,64,3,298,485
"Saint-Jean/Saint-Jean"," 178","Saint-Paul-de-l'Île-aux-Noix",56,121,6,11,87,2,283,504
"Saint-Jean/Saint-Jean"," 179","Saint-Paul-de-l'Île-aux-Noix",52,142,8,33,101,3,339,531
"Saint-Jean/Saint-Jean"," 180","Saint-Paul-de-l'Île-aux-Noix",41,121,12,19,48,4,245,525
"Saint-Jean/Saint-Jean"," 181","Saint-Valentin",25,99,10,26,70,2,232,362
"Saint-Jean/Saint-Jean"," 182","Lacolle",32,91,9,13,53,4,202,359
"Saint-Jean/Saint-Jean"," 183","Lacolle",38,102,6,20,41,10,217,407
"Saint-Jean/Saint-Jean"," 184","Lacolle",31,111,12,20,49,8,231,443
"Saint-Jean/Saint-Jean"," 185","Notre-Dame-du-Mont-Carmel",27,69,5,25,32,3,161,297
"Saint-Jean/Saint-Jean"," 186","Notre-Dame-du-Mont-Carmel",43,89,9,21,56,4,222,401
"Saint-Jean/Saint-Jean"," 400","Saint-Jean-sur-Richelieu",66,63,5,8,44,4,190,258
"Saint-Jean/Saint-Jean"," 500A","Mobile poll/Bureau itinérant",29,40,2,2,35,4,112,102
"Saint-Jean/Saint-Jean"," 500B","Mobile poll/Bureau itinérant",25,38,2,6,34,5,110,115
"Saint-Jean/Saint-Jean"," 600","Saint-Luc",84,302,21,35,188,7,637,
"Saint-Jean/Saint-Jean"," 601","Saint-Luc",72,249,20,26,126,4,497,
"Saint-Jean/Saint-Jean"," 602","Saint-Athanase",66,232,9,19,108,6,440,
"Saint-Jean/Saint-Jean"," 603","Saint-Alexandre",44,106,10,13,67,2,242,
"Saint-Jean/Saint-Jean"," 604","L'Acadie",49,143,8,15,82,4,301,
"Saint-Jean/Saint-Jean"," 605","Saint-Jean-sur-Richelieu",164,231,5,27,157,7,591,
"Saint-Jean/Saint-Jean"," 606","Saint-Jean-sur-Richelieu",95,218,17,21,112,5,468,
"Saint-Jean/Saint-Jean"," 607","Saint-Jean-sur-Richelieu",79,200,14,15,117,6,431,
"Saint-Jean/Saint-Jean"," 608","Saint-Jean-sur-Richelieu",128,265,27,37,156,5,618,
"Saint-Jean/Saint-Jean"," 609","Iberville",139,253,30,25,180,9,636,
"Saint-Jean/Saint-Jean"," 610","Lacolle",83,95,14,14,78,1,285,
"Saint-Jean/Saint-Jean",,Group 1/Groupe 1,24,39,10,8,72,5,158,328
"Saint-Jean/Saint-Jean",,Group 2/Groupe 2,398,1070,42,65,235,24,1834,
