Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tina Agrell,M. A. Bonnie Brown,Laura Domsy,Terence Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oakville/Oakville"," 35","Oakville",15,58,6,98,2,179,329
"Oakville/Oakville"," 36","Oakville",12,97,6,105,0,220,371
"Oakville/Oakville"," 37","Oakville",32,103,11,102,0,248,376
"Oakville/Oakville"," 38","Oakville",27,108,10,91,1,237,428
"Oakville/Oakville"," 39","Oakville",20,118,15,115,0,268,393
"Oakville/Oakville"," 40","Oakville",12,99,6,134,0,251,367
"Oakville/Oakville"," 41","Oakville",6,85,8,89,0,188,310
"Oakville/Oakville"," 42","Oakville",11,90,11,109,0,221,374
"Oakville/Oakville"," 43","Oakville",4,82,9,121,0,216,326
"Oakville/Oakville"," 44","Oakville",4,55,8,122,0,189,388
"Oakville/Oakville"," 45","Oakville",33,123,14,92,3,265,404
"Oakville/Oakville"," 46","Oakville",30,89,15,107,0,241,337
"Oakville/Oakville"," 47","Oakville",22,126,12,117,0,277,398
"Oakville/Oakville"," 48","Oakville",16,76,12,106,0,210,326
"Oakville/Oakville"," 49","Oakville",35,117,22,104,1,279,408
"Oakville/Oakville"," 50","Oakville",33,140,12,117,1,303,435
"Oakville/Oakville"," 51","Oakville",31,110,14,106,3,264,432
"Oakville/Oakville"," 52","Oakville",43,110,14,90,2,259,368
"Oakville/Oakville"," 53","Oakville",17,117,8,146,0,288,446
"Oakville/Oakville"," 54","Oakville",34,110,9,101,0,254,368
"Oakville/Oakville"," 55","Oakville",33,74,21,74,0,202,351
"Oakville/Oakville"," 56","Oakville",27,89,16,51,0,183,344
"Oakville/Oakville"," 57","Oakville",29,107,14,80,0,230,371
"Oakville/Oakville"," 58","Oakville",39,83,19,62,3,206,407
"Oakville/Oakville"," 59","Oakville",25,62,7,46,46,186,258
"Oakville/Oakville"," 60","Oakville",27,88,13,70,1,199,331
"Oakville/Oakville"," 61","Oakville",88,90,30,52,2,262,307
"Oakville/Oakville"," 62","Oakville",22,65,7,43,0,137,265
"Oakville/Oakville"," 63","Oakville",11,84,2,43,0,140,273
"Oakville/Oakville"," 64","Oakville",21,90,8,66,0,185,279
"Oakville/Oakville"," 65","Oakville",30,66,5,50,2,153,261
"Oakville/Oakville"," 66","Oakville",10,96,10,81,2,199,387
"Oakville/Oakville"," 67","Oakville",34,93,14,63,0,204,304
"Oakville/Oakville"," 68","Oakville",38,101,7,84,2,232,353
"Oakville/Oakville"," 69","Oakville",45,82,10,60,0,197,405
"Oakville/Oakville"," 70","Oakville",40,69,9,78,1,197,363
"Oakville/Oakville"," 71","Oakville",27,92,14,84,0,217,352
"Oakville/Oakville"," 72","Oakville",27,116,11,108,0,262,395
"Oakville/Oakville"," 73","Oakville",8,69,6,117,0,200,331
"Oakville/Oakville"," 74","Oakville",8,66,10,135,0,219,396
"Oakville/Oakville"," 75","Oakville",38,104,20,103,1,266,417
"Oakville/Oakville"," 76","Oakville",16,120,22,167,0,325,515
"Oakville/Oakville"," 77","Oakville",20,83,10,89,1,203,314
"Oakville/Oakville"," 78","Oakville",17,107,14,120,1,259,381
"Oakville/Oakville"," 79","Oakville",23,107,19,91,0,240,411
"Oakville/Oakville"," 80A","Oakville",18,46,6,82,0,152,264
"Oakville/Oakville"," 80B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,58
"Oakville/Oakville"," 81A","Oakville",26,140,9,156,1,332,521
"Oakville/Oakville"," 81B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,66
"Oakville/Oakville"," 82","Oakville",7,79,4,88,1,179,349
"Oakville/Oakville"," 83","Oakville",29,122,16,88,1,256,383
"Oakville/Oakville"," 84","Oakville",39,50,7,31,0,127,249
"Oakville/Oakville"," 85","Oakville",26,81,17,44,3,171,299
"Oakville/Oakville"," 86","Oakville",40,68,11,33,1,153,338
"Oakville/Oakville"," 87","Oakville",33,126,23,54,2,238,368
"Oakville/Oakville"," 88","Oakville",26,81,12,70,1,190,301
"Oakville/Oakville"," 89","Oakville",32,80,11,63,0,186,332
"Oakville/Oakville"," 90","Oakville",34,67,19,63,0,183,300
"Oakville/Oakville"," 91","Oakville",16,58,9,43,0,126,197
"Oakville/Oakville"," 92","Oakville",29,130,9,134,0,302,411
"Oakville/Oakville"," 93","Oakville",14,101,9,93,1,218,396
"Oakville/Oakville"," 94","Oakville",17,112,7,69,2,207,297
"Oakville/Oakville"," 95","Oakville",31,119,8,74,0,232,362
"Oakville/Oakville"," 96","Oakville",29,87,13,62,3,194,312
"Oakville/Oakville"," 97","Oakville",51,111,18,71,1,252,433
"Oakville/Oakville"," 98","Oakville",36,93,19,70,0,218,355
"Oakville/Oakville"," 99","Oakville",63,94,32,103,0,292,450
"Oakville/Oakville"," 100","Oakville",30,91,17,65,0,203,324
"Oakville/Oakville"," 101","Oakville",30,118,21,102,1,272,391
"Oakville/Oakville"," 102","Oakville",33,143,25,106,0,307,412
"Oakville/Oakville"," 103","Oakville",39,93,22,114,1,269,397
"Oakville/Oakville"," 104","Oakville",16,106,9,79,1,211,323
"Oakville/Oakville"," 105A","Oakville",13,80,4,82,0,179,299
"Oakville/Oakville"," 105B","Oakville",12,72,10,110,0,204,341
"Oakville/Oakville"," 106","Oakville",25,81,5,65,0,176,378
"Oakville/Oakville"," 107A","Oakville",21,73,3,35,0,132,263
"Oakville/Oakville"," 107B","Oakville",20,59,4,53,0,136,280
"Oakville/Oakville"," 108","Oakville",28,120,23,106,2,279,432
"Oakville/Oakville"," 109","Oakville",12,53,7,64,1,137,206
"Oakville/Oakville"," 110","Oakville",33,114,11,121,0,279,450
"Oakville/Oakville"," 111","Oakville",31,147,20,97,0,295,482
"Oakville/Oakville"," 112","Oakville",20,142,12,153,0,327,499
"Oakville/Oakville"," 113","Oakville",26,109,15,86,0,236,402
"Oakville/Oakville"," 114","Oakville",61,124,24,91,2,302,478
"Oakville/Oakville"," 115A","Oakville",20,83,8,46,2,159,292
"Oakville/Oakville"," 115B","Oakville",29,73,9,25,0,136,264
"Oakville/Oakville"," 116","Oakville",37,81,14,54,0,186,376
"Oakville/Oakville"," 117","Oakville",26,84,12,92,1,215,408
"Oakville/Oakville"," 118","Oakville",24,84,11,69,1,189,301
"Oakville/Oakville"," 119","Oakville",22,113,10,43,0,188,315
"Oakville/Oakville"," 120","Oakville",29,105,9,68,2,213,351
"Oakville/Oakville"," 121","Oakville",30,108,14,92,0,244,383
"Oakville/Oakville"," 122","Oakville",39,91,12,80,1,223,364
"Oakville/Oakville"," 123","Oakville",44,87,22,85,2,240,377
"Oakville/Oakville"," 124","Oakville",20,104,10,116,0,250,369
"Oakville/Oakville"," 125","Oakville",16,114,11,127,0,268,462
"Oakville/Oakville"," 126","Oakville",19,128,11,119,0,277,403
"Oakville/Oakville"," 127","Oakville",29,95,16,96,1,237,391
"Oakville/Oakville"," 128","Oakville",27,117,11,92,0,247,386
"Oakville/Oakville"," 129","Oakville",15,103,15,120,0,253,374
"Oakville/Oakville"," 130","Oakville",18,101,6,105,0,230,324
"Oakville/Oakville"," 131A","Oakville",20,118,11,114,0,263,430
"Oakville/Oakville"," 131B","Oakville",30,159,15,98,2,304,500
"Oakville/Oakville"," 132A","Oakville",18,111,5,88,0,222,379
"Oakville/Oakville"," 132B","Mobile poll/Bureau itinérant",10,64,5,64,3,146,91
"Oakville/Oakville"," 133","Oakville",22,123,10,109,0,264,414
"Oakville/Oakville"," 134","Oakville",33,109,11,93,0,246,378
"Oakville/Oakville"," 135","Oakville",12,119,13,84,1,229,351
"Oakville/Oakville"," 136","Oakville",18,66,8,89,0,181,279
"Oakville/Oakville"," 137","Oakville",24,134,10,119,0,287,494
"Oakville/Oakville"," 138","Oakville",10,116,3,102,0,231,399
"Oakville/Oakville"," 139","Oakville",13,106,9,124,0,252,425
"Oakville/Oakville"," 140","Oakville",31,158,15,106,0,310,486
"Oakville/Oakville"," 141","Oakville",30,98,11,100,2,241,416
"Oakville/Oakville"," 142","Oakville",35,95,13,98,3,244,440
"Oakville/Oakville"," 143","Oakville",14,146,8,116,1,285,467
"Oakville/Oakville"," 144","Oakville",21,105,18,98,0,242,416
"Oakville/Oakville"," 145","Oakville",13,78,5,75,0,171,277
"Oakville/Oakville"," 146","Oakville",16,82,4,71,3,176,316
"Oakville/Oakville"," 147","Oakville",11,147,10,127,0,295,499
"Oakville/Oakville"," 148","Oakville",17,111,6,113,0,247,381
"Oakville/Oakville"," 149","Oakville",22,113,8,100,0,243,399
"Oakville/Oakville"," 150","Oakville",15,63,3,67,1,149,222
"Oakville/Oakville"," 151","Oakville",27,139,16,113,0,295,483
"Oakville/Oakville"," 152","Oakville",17,93,12,93,0,215,346
"Oakville/Oakville"," 153","Oakville",11,138,5,166,4,324,477
"Oakville/Oakville"," 154","Oakville",8,69,4,87,0,168,248
"Oakville/Oakville"," 155","Oakville",29,129,10,79,2,249,432
"Oakville/Oakville"," 156","Oakville",27,84,13,76,0,200,339
"Oakville/Oakville"," 157","Oakville",20,83,12,79,0,194,357
"Oakville/Oakville"," 158","Oakville",31,108,18,66,0,223,351
"Oakville/Oakville"," 159","Oakville",29,103,12,92,1,237,347
"Oakville/Oakville"," 160","Oakville",17,117,12,97,2,245,407
"Oakville/Oakville"," 161","Oakville",25,77,9,96,1,208,315
"Oakville/Oakville"," 162","Oakville",36,104,14,90,1,245,398
"Oakville/Oakville"," 163","Oakville",30,92,23,92,0,237,348
"Oakville/Oakville"," 164","Oakville",27,100,12,69,0,208,325
"Oakville/Oakville"," 165","Oakville",32,93,21,69,0,215,366
"Oakville/Oakville"," 166A","Oakville",12,48,8,43,0,111,227
"Oakville/Oakville"," 166B","Mobile poll/Bureau itinérant",Merged with No. 132B/Fusionné avec le nº 132B,,,,,,83
"Oakville/Oakville"," 167","Oakville",25,102,11,76,0,214,340
"Oakville/Oakville"," 168","Oakville",34,112,16,106,1,269,378
"Oakville/Oakville"," 169","Oakville",30,87,15,113,0,245,389
"Oakville/Oakville"," 170","Oakville",31,100,20,97,1,249,395
"Oakville/Oakville"," 171","Oakville",18,118,17,94,0,247,375
"Oakville/Oakville"," 172","Oakville",30,107,14,94,0,245,376
"Oakville/Oakville"," 173","Oakville",28,117,12,102,1,260,396
"Oakville/Oakville"," 174","Oakville",39,113,6,109,0,267,400
"Oakville/Oakville"," 175","Oakville",33,118,14,101,0,266,387
"Oakville/Oakville"," 176","Oakville",31,91,6,93,0,221,360
"Oakville/Oakville"," 177","Oakville",30,87,18,81,1,217,307
"Oakville/Oakville"," 178","Oakville",27,126,19,102,0,274,411
"Oakville/Oakville"," 179","Oakville",21,76,6,79,1,183,267
"Oakville/Oakville"," 180A","Oakville",38,97,16,79,0,230,376
"Oakville/Oakville"," 180B","Oakville",Merged with No. 402/Fusionné avec le nº 402,,,,,,142
"Oakville/Oakville"," 180-1","Oakville",16,116,3,121,0,256,338
"Oakville/Oakville"," 181","Oakville",19,111,11,98,1,240,412
"Oakville/Oakville"," 182","Oakville",18,45,5,39,1,108,179
"Oakville/Oakville"," 183","Oakville",Void/Supprimé,,,,,,
"Oakville/Oakville"," 184","Oakville",21,38,4,49,0,112,219
"Oakville/Oakville"," 185","Oakville",8,80,9,61,1,159,263
"Oakville/Oakville"," 186","Oakville",28,108,12,65,0,213,333
"Oakville/Oakville"," 187","Oakville",22,77,16,77,1,193,302
"Oakville/Oakville"," 188","Oakville",Void/Supprimé,,,,,,
"Oakville/Oakville"," 189","Oakville",33,98,10,78,0,219,336
"Oakville/Oakville"," 190","Oakville",32,73,8,47,0,160,304
"Oakville/Oakville"," 191","Oakville",26,117,15,82,0,240,425
"Oakville/Oakville"," 192","Oakville",Void/Supprimé,,,,,,
"Oakville/Oakville"," 193","Oakville",37,83,14,87,2,223,362
"Oakville/Oakville"," 194A","Oakville",34,139,20,126,2,321,494
"Oakville/Oakville"," 194B","Oakville",27,86,6,68,0,187,282
"Oakville/Oakville"," 195","Oakville",15,104,14,133,1,267,419
"Oakville/Oakville"," 196","Oakville",33,108,12,80,1,234,389
"Oakville/Oakville"," 197A","Oakville",31,143,11,117,0,302,465
"Oakville/Oakville"," 197B","Oakville",24,126,11,100,0,261,458
"Oakville/Oakville"," 197C","Oakville",26,114,16,115,3,274,461
"Oakville/Oakville"," 198","Oakville",45,127,18,122,0,312,449
"Oakville/Oakville"," 199A","Oakville",24,79,11,100,1,215,356
"Oakville/Oakville"," 199B","Oakville",6,87,8,76,0,177,281
"Oakville/Oakville"," 200","Oakville",17,68,8,106,0,199,394
"Oakville/Oakville"," 400","Oakville",23,126,4,85,0,238,297
"Oakville/Oakville"," 401","Oakville",45,76,17,44,0,182,250
"Oakville/Oakville"," 402","Oakville",33,104,6,95,0,238,158
"Oakville/Oakville"," 403","Oakville",28,83,4,66,7,188,235
"Oakville/Oakville"," 404","Oakville",2,73,1,114,1,191,253
"Oakville/Oakville"," 405","Oakville",10,63,0,110,0,183,246
"Oakville/Oakville"," 500","Mobile poll/Bureau itinérant",7,61,1,48,2,119,164
"Oakville/Oakville"," 501","Mobile poll/Bureau itinérant",12,38,6,34,1,91,56
"Oakville/Oakville"," 502","Mobile poll/Bureau itinérant",11,46,4,30,3,94,124
"Oakville/Oakville"," 600","Oakville",56,371,20,462,16,925,
"Oakville/Oakville"," 601","Oakville",39,396,38,710,2,1185,
"Oakville/Oakville"," 602","Oakville",22,153,23,217,3,418,
"Oakville/Oakville"," 603","Oakville",25,139,20,177,1,362,
"Oakville/Oakville"," 604","Oakville",38,237,32,380,5,692,
"Oakville/Oakville"," 605","Oakville",35,260,26,299,1,621,
"Oakville/Oakville"," 606","Oakville",40,221,23,262,2,548,
"Oakville/Oakville"," 607","Oakville",52,447,38,585,3,1125,
"Oakville/Oakville"," 608","Oakville",61,274,28,338,1,702,
"Oakville/Oakville"," 609","Oakville",65,307,36,413,2,823,
"Oakville/Oakville",,Group 1/Groupe 1,8,46,6,53,6,119,235
"Oakville/Oakville",,Group 2/Groupe 2,138,764,74,980,21,1977,
