Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mahmood-Raza Baig,Vivian Barbot,Marc Hasbani,Peter Macrisopoulos,Pierre Pettigrew,Mustaque A. Sarker,Louis-Philippe Verenka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Papineau/Papineau"," 31","Montréal",1,105,19,0,78,18,11,3,235,455
"Papineau/Papineau"," 32","Montréal",2,95,21,3,87,27,2,3,240,376
"Papineau/Papineau"," 33","Montréal",2,93,22,1,87,29,8,3,245,364
"Papineau/Papineau"," 34","Montréal",0,78,15,1,98,15,14,1,222,392
"Papineau/Papineau"," 35","Montréal",2,106,13,1,78,14,6,3,223,449
"Papineau/Papineau"," 36","Montréal",1,96,21,1,65,16,4,0,204,389
"Papineau/Papineau"," 37","Montréal",0,137,12,1,42,13,12,3,220,348
"Papineau/Papineau"," 38","Montréal",0,169,40,1,41,15,12,1,279,409
"Papineau/Papineau"," 39","Montréal",1,125,23,0,68,28,16,8,269,458
"Papineau/Papineau"," 40","Montréal",2,107,14,0,50,20,13,3,209,337
"Papineau/Papineau"," 41","Montréal",0,127,16,2,103,26,7,1,282,462
"Papineau/Papineau"," 42","Montréal",1,83,14,0,110,15,18,6,247,454
"Papineau/Papineau"," 43","Montréal",0,56,6,0,97,17,7,5,188,408
"Papineau/Papineau"," 44","Montréal",0,94,17,2,136,18,9,3,279,450
"Papineau/Papineau"," 45","Montréal",0,89,18,1,83,7,4,3,205,370
"Papineau/Papineau"," 46","Montréal",2,95,6,2,79,25,4,9,222,420
"Papineau/Papineau"," 47","Montréal",2,58,6,2,75,15,14,3,175,426
"Papineau/Papineau"," 48","Montréal",0,57,11,3,87,13,4,1,176,451
"Papineau/Papineau"," 49","Montréal",3,36,12,0,64,14,9,1,139,339
"Papineau/Papineau"," 50","Montréal",3,53,14,2,65,16,6,1,160,445
"Papineau/Papineau"," 51","Montréal",3,47,13,1,64,9,5,2,144,461
"Papineau/Papineau"," 52","Montréal",1,105,18,0,75,26,7,3,235,449
"Papineau/Papineau"," 53","Montréal",1,94,10,0,46,14,7,1,173,300
"Papineau/Papineau"," 54","Montréal",0,87,9,1,39,7,5,1,149,311
"Papineau/Papineau"," 55","Montréal",0,53,20,1,84,18,7,0,183,404
"Papineau/Papineau"," 56","Montréal",0,80,10,2,65,21,3,8,189,399
"Papineau/Papineau"," 57","Montréal",0,67,16,0,98,14,3,2,200,425
"Papineau/Papineau"," 58","Montréal",3,94,17,0,84,25,9,4,236,492
"Papineau/Papineau"," 59","Montréal",0,128,15,2,92,18,11,6,272,500
"Papineau/Papineau"," 60","Montréal",0,74,19,3,117,23,4,0,240,401
"Papineau/Papineau"," 61","Montréal",0,80,24,7,91,15,6,3,226,407
"Papineau/Papineau"," 62","Montréal",0,125,23,3,67,15,15,2,250,387
"Papineau/Papineau"," 63","Montréal",5,76,23,2,105,25,5,2,243,449
"Papineau/Papineau"," 64","Montréal",1,104,12,2,89,17,5,3,233,422
"Papineau/Papineau"," 65","Montréal",1,156,38,2,55,29,12,3,296,454
"Papineau/Papineau"," 66","Montréal",1,103,8,0,57,9,5,6,189,387
"Papineau/Papineau"," 67","Montréal",0,113,24,1,72,12,9,2,233,407
"Papineau/Papineau"," 68","Montréal",1,76,17,3,109,13,10,2,231,379
"Papineau/Papineau"," 69","Montréal",0,51,10,0,59,17,3,4,144,278
"Papineau/Papineau"," 70","Montréal",0,43,14,0,50,5,1,1,114,276
"Papineau/Papineau"," 71","Montréal",0,56,7,0,24,12,6,0,105,248
"Papineau/Papineau"," 72","Montréal",1,175,21,1,47,8,5,3,261,398
"Papineau/Papineau"," 73","Montréal",1,136,20,0,98,24,8,0,287,604
"Papineau/Papineau"," 74","Montréal",4,166,13,0,40,13,11,3,250,490
"Papineau/Papineau"," 75","Montréal",2,146,19,0,30,13,13,0,223,333
"Papineau/Papineau"," 76","Montréal",1,107,13,0,58,14,6,1,200,456
"Papineau/Papineau"," 77","Montréal",1,105,8,0,60,12,8,3,197,368
"Papineau/Papineau"," 78","Montréal",1,165,22,0,74,19,22,2,305,493
"Papineau/Papineau"," 79","Montréal",0,160,28,0,30,25,12,1,256,400
"Papineau/Papineau"," 80","Montréal",0,154,24,1,37,9,12,2,239,394
"Papineau/Papineau"," 81","Montréal",0,108,23,0,19,11,8,4,173,380
"Papineau/Papineau"," 82","Montréal",3,190,32,1,55,28,12,3,324,585
"Papineau/Papineau"," 83","Montréal",0,113,26,0,46,9,24,1,219,412
"Papineau/Papineau"," 84","Montréal",0,199,21,2,47,14,15,2,300,482
"Papineau/Papineau"," 85","Montréal",1,163,26,0,41,16,15,2,264,454
"Papineau/Papineau"," 86","Montréal",1,165,28,2,35,15,8,3,257,442
"Papineau/Papineau"," 87","Montréal",1,82,22,2,56,9,12,4,188,318
"Papineau/Papineau"," 88","Montréal",0,91,24,0,47,12,15,3,192,389
"Papineau/Papineau"," 89","Montréal",0,101,15,2,80,19,11,0,228,399
"Papineau/Papineau"," 90","Montréal",0,147,26,0,78,25,19,2,297,510
"Papineau/Papineau"," 91","Montréal",2,132,22,0,29,12,19,0,216,350
"Papineau/Papineau"," 92","Montréal",2,167,29,0,56,15,17,5,291,417
"Papineau/Papineau"," 93","Montréal",0,150,19,0,32,23,5,2,231,335
"Papineau/Papineau"," 94","Montréal",0,175,26,0,42,17,16,0,276,409
"Papineau/Papineau"," 95","Montréal",0,123,23,3,23,15,15,1,203,322
"Papineau/Papineau"," 96","Montréal",0,147,20,0,27,5,10,2,211,327
"Papineau/Papineau"," 97","Montréal",0,135,23,0,21,9,15,4,207,347
"Papineau/Papineau"," 98","Montréal",0,139,36,3,37,13,12,3,243,388
"Papineau/Papineau"," 99","Montréal",0,116,22,0,36,7,7,3,191,298
"Papineau/Papineau"," 100","Montréal",0,116,25,0,41,17,6,2,207,383
"Papineau/Papineau"," 101","Montréal",1,97,15,0,39,3,6,2,163,402
"Papineau/Papineau"," 102","Montréal",0,130,17,1,36,8,15,2,209,372
"Papineau/Papineau"," 103","Montréal",0,162,26,1,46,27,13,3,278,433
"Papineau/Papineau"," 104","Montréal",0,115,15,0,21,5,8,1,165,279
"Papineau/Papineau"," 105","Montréal",0,103,32,1,24,7,13,4,184,321
"Papineau/Papineau"," 106","Montréal",0,176,26,0,25,13,14,1,255,404
"Papineau/Papineau"," 107","Montréal",0,125,27,0,27,9,11,1,200,377
"Papineau/Papineau"," 108","Montréal",0,109,24,0,26,3,8,1,171,326
"Papineau/Papineau"," 109","Montréal",1,133,36,0,23,8,8,2,211,357
"Papineau/Papineau"," 110","Montréal",0,128,24,0,51,13,12,3,231,434
"Papineau/Papineau"," 111","Montréal",0,145,25,0,13,6,11,2,202,309
"Papineau/Papineau"," 112","Montréal",0,183,41,0,53,10,17,1,305,455
"Papineau/Papineau"," 113","Montréal",2,138,29,0,79,21,12,4,285,557
"Papineau/Papineau"," 114","Montréal",0,109,20,2,26,16,5,3,181,308
"Papineau/Papineau"," 115","Montréal",0,110,14,0,39,14,10,1,188,329
"Papineau/Papineau"," 116","Montréal",1,119,22,1,13,6,8,1,171,358
"Papineau/Papineau"," 117","Montréal",0,160,40,0,35,9,15,3,262,413
"Papineau/Papineau"," 118","Montréal",1,143,29,0,51,15,17,2,258,405
"Papineau/Papineau"," 119","Montréal",1,120,22,0,38,8,7,0,196,348
"Papineau/Papineau"," 120","Montréal",1,127,19,0,47,11,20,3,228,304
"Papineau/Papineau"," 121","Montréal",1,120,16,0,48,9,9,2,205,353
"Papineau/Papineau"," 122","Montréal",1,154,33,2,71,12,10,3,286,473
"Papineau/Papineau"," 123","Montréal",0,131,36,2,39,15,9,2,234,390
"Papineau/Papineau"," 124","Montréal",0,104,14,0,34,7,9,4,172,309
"Papineau/Papineau"," 125","Montréal",1,137,22,2,51,19,11,0,243,361
"Papineau/Papineau"," 126","Montréal",1,131,27,0,57,8,11,2,237,359
"Papineau/Papineau"," 127","Montréal",0,133,32,1,40,16,10,6,238,411
"Papineau/Papineau"," 128","Montréal",0,134,13,0,27,8,13,0,195,311
"Papineau/Papineau"," 129","Montréal",1,142,16,1,43,15,7,2,227,345
"Papineau/Papineau"," 130","Montréal",1,114,17,1,75,22,8,0,238,365
"Papineau/Papineau"," 131","Montréal",0,109,32,1,84,17,13,4,260,466
"Papineau/Papineau"," 132","Montréal",1,123,29,0,51,15,7,3,229,384
"Papineau/Papineau"," 133","Montréal",4,85,24,1,65,15,10,2,206,365
"Papineau/Papineau"," 134","Montréal",0,144,39,3,55,12,16,5,274,481
"Papineau/Papineau"," 135","Montréal",2,81,27,0,83,33,10,1,237,368
"Papineau/Papineau"," 136","Montréal",1,68,20,0,92,38,10,1,230,342
"Papineau/Papineau"," 137","Montréal",1,80,17,0,98,23,6,0,225,371
"Papineau/Papineau"," 138","Montréal",1,103,12,1,47,12,6,4,186,363
"Papineau/Papineau"," 139","Montréal",2,216,46,1,128,36,34,6,469,818
"Papineau/Papineau"," 140","Montréal",0,22,12,2,146,25,2,4,213,480
"Papineau/Papineau"," 141","Montréal",1,13,20,4,172,32,6,1,249,554
"Papineau/Papineau"," 142","Montréal",0,16,12,2,117,19,3,2,171,447
"Papineau/Papineau"," 143","Montréal",3,10,17,6,174,30,3,1,244,500
"Papineau/Papineau"," 144","Montréal",0,18,8,9,146,13,5,4,203,449
"Papineau/Papineau"," 145","Montréal",1,10,11,6,155,13,2,0,198,433
"Papineau/Papineau"," 146","Montréal",1,23,14,2,139,21,3,2,205,468
"Papineau/Papineau"," 147","Montréal",2,17,3,10,144,37,3,3,219,455
"Papineau/Papineau"," 148","Montréal",3,5,6,3,175,32,3,2,229,592
"Papineau/Papineau"," 149","Montréal",1,12,5,6,170,47,0,2,243,537
"Papineau/Papineau"," 150","Montréal",0,16,17,4,139,35,6,7,224,526
"Papineau/Papineau"," 151","Montréal",3,6,14,5,174,31,6,4,243,465
"Papineau/Papineau"," 152","Montréal",0,19,11,4,189,40,3,4,270,579
"Papineau/Papineau"," 153","Montréal",1,6,7,3,155,14,5,3,194,433
"Papineau/Papineau"," 153-1","Montréal",4,7,15,7,205,32,3,2,275,573
"Papineau/Papineau"," 153-2","Montréal",3,8,10,0,185,32,2,5,245,541
"Papineau/Papineau"," 154","Montréal",3,7,10,12,158,31,3,1,225,469
"Papineau/Papineau"," 155","Montréal",1,20,24,4,132,14,2,3,200,485
"Papineau/Papineau"," 156","Montréal",3,9,5,6,120,28,6,4,181,338
"Papineau/Papineau"," 157","Montréal",1,20,15,2,166,12,8,4,228,587
"Papineau/Papineau"," 158","Montréal",0,18,10,3,65,17,2,2,117,362
"Papineau/Papineau"," 159","Montréal",3,19,16,3,110,31,9,0,191,551
"Papineau/Papineau"," 160","Montréal",0,22,14,3,124,14,5,1,183,434
"Papineau/Papineau"," 161","Montréal",3,10,8,3,123,11,5,1,164,414
"Papineau/Papineau"," 162","Montréal",1,15,19,8,113,14,3,3,176,411
"Papineau/Papineau"," 163","Montréal",1,17,15,5,112,15,9,3,177,514
"Papineau/Papineau"," 164","Montréal",2,13,13,9,135,32,6,1,211,449
"Papineau/Papineau"," 165","Montréal",0,14,8,1,123,23,2,1,172,419
"Papineau/Papineau"," 166","Montréal",0,16,10,5,142,30,7,4,214,452
"Papineau/Papineau"," 167","Montréal",1,5,11,4,163,18,4,1,207,447
"Papineau/Papineau"," 167-1","Montréal",1,14,17,2,131,15,2,1,183,516
"Papineau/Papineau"," 168","Montréal",5,20,28,13,236,45,12,5,364,791
"Papineau/Papineau"," 500","Mobile poll/Bureau itinérant",0,20,2,3,27,18,3,4,77,219
"Papineau/Papineau"," 501","Mobile poll/Bureau itinérant",0,13,2,0,28,3,3,0,49,172
"Papineau/Papineau"," 600","Montréal",1,231,21,2,321,68,12,6,662,
"Papineau/Papineau"," 601","Montréal",5,218,31,2,297,56,12,3,624,
"Papineau/Papineau"," 602","Montréal",1,356,40,2,189,51,9,14,662,
"Papineau/Papineau"," 603","Montréal",2,516,45,1,147,34,27,11,783,
"Papineau/Papineau"," 604","Montréal",2,467,50,1,126,49,20,10,725,
"Papineau/Papineau"," 605","Montréal",3,34,14,11,279,30,2,12,385,
"Papineau/Papineau"," 606","Montréal",2,30,10,6,271,41,3,5,368,
"Papineau/Papineau",,Group 1/Groupe 1,1,37,3,1,35,11,3,8,99,156
"Papineau/Papineau",,Group 2/Groupe 2,3,583,64,3,1078,175,22,62,1990,
