Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catherine Bell,John Duncan,Michael Mascall,Jim Mitchell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver Island North/Île de Vancouver-Nord"," 42","Refuge Cove",Merged with No. 41/Fusionné avec le nº 41,,,,,,12
"Vancouver Island North/Île de Vancouver-Nord"," 43","Cortes Island",162,26,28,22,0,238,377
"Vancouver Island North/Île de Vancouver-Nord"," 44","Quadra Island",178,59,20,35,0,292,453
"Vancouver Island North/Île de Vancouver-Nord"," 45","Quadra Island",157,74,22,21,1,275,386
"Vancouver Island North/Île de Vancouver-Nord"," 46","Campbell River",93,111,5,30,0,239,440
"Vancouver Island North/Île de Vancouver-Nord"," 47","Quadra Island",79,17,2,6,0,104,174
"Vancouver Island North/Île de Vancouver-Nord"," 48","Cortes Island",208,42,28,17,2,297,445
"Vancouver Island North/Île de Vancouver-Nord"," 49","Quadra Island",213,75,18,19,1,326,483
"Vancouver Island North/Île de Vancouver-Nord"," 50","Campbell River",118,118,9,38,0,283,469
"Vancouver Island North/Île de Vancouver-Nord"," 51","Campbell River",102,112,7,32,1,254,447
"Vancouver Island North/Île de Vancouver-Nord"," 52","Campbell River",146,104,5,36,0,291,467
"Vancouver Island North/Île de Vancouver-Nord"," 53","Campbell River",126,134,8,28,0,296,479
"Vancouver Island North/Île de Vancouver-Nord"," 54","Campbell River",91,102,15,26,1,235,383
"Vancouver Island North/Île de Vancouver-Nord"," 55","Campbell River",124,97,6,34,0,261,413
"Vancouver Island North/Île de Vancouver-Nord"," 56","Campbell River",46,45,4,14,0,109,265
"Vancouver Island North/Île de Vancouver-Nord"," 57","Campbell River",69,114,7,19,0,209,404
"Vancouver Island North/Île de Vancouver-Nord"," 58","Campbell River",120,119,8,42,0,289,463
"Vancouver Island North/Île de Vancouver-Nord"," 59","Campbell River",85,79,9,35,0,208,343
"Vancouver Island North/Île de Vancouver-Nord"," 60","Campbell River",101,48,11,13,0,173,327
"Vancouver Island North/Île de Vancouver-Nord"," 61","Campbell River",56,33,2,20,0,111,236
"Vancouver Island North/Île de Vancouver-Nord"," 62","Campbell River",76,54,8,17,0,155,360
"Vancouver Island North/Île de Vancouver-Nord"," 63","Campbell River",27,21,6,8,0,62,296
"Vancouver Island North/Île de Vancouver-Nord"," 64","Campbell River",50,58,7,20,0,135,267
"Vancouver Island North/Île de Vancouver-Nord"," 65","Quinsam 12",77,1,0,11,1,90,157
"Vancouver Island North/Île de Vancouver-Nord"," 66","Campbell River",55,89,4,22,1,171,315
"Vancouver Island North/Île de Vancouver-Nord"," 67","Campbell River",80,64,3,12,1,160,306
"Vancouver Island North/Île de Vancouver-Nord"," 68","Campbell River",48,58,1,13,0,120,250
"Vancouver Island North/Île de Vancouver-Nord"," 69","Campbell River 11",124,17,2,14,0,157,317
"Vancouver Island North/Île de Vancouver-Nord"," 70","Campbell River",74,69,14,21,0,178,394
"Vancouver Island North/Île de Vancouver-Nord"," 71A","Campbell River",66,25,6,11,0,108,177
"Vancouver Island North/Île de Vancouver-Nord"," 71B","Campbell River",58,37,5,12,0,112,183
"Vancouver Island North/Île de Vancouver-Nord"," 72","Campbell River",68,40,2,20,0,130,346
"Vancouver Island North/Île de Vancouver-Nord"," 73","Campbell River",84,85,10,26,1,206,418
"Vancouver Island North/Île de Vancouver-Nord"," 74","Campbell River",75,62,16,21,1,175,387
"Vancouver Island North/Île de Vancouver-Nord"," 75","Campbell River",108,66,9,26,0,209,421
"Vancouver Island North/Île de Vancouver-Nord"," 76","Campbell River",69,83,6,22,0,180,323
"Vancouver Island North/Île de Vancouver-Nord"," 77","Campbell River",139,65,12,22,0,238,471
"Vancouver Island North/Île de Vancouver-Nord"," 78","Campbell River",99,93,8,23,1,224,484
"Vancouver Island North/Île de Vancouver-Nord"," 79","Campbell River",74,86,6,25,0,191,363
"Vancouver Island North/Île de Vancouver-Nord"," 80","Campbell River",113,83,17,26,0,239,468
"Vancouver Island North/Île de Vancouver-Nord"," 81","Campbell River",96,107,5,20,1,229,440
"Vancouver Island North/Île de Vancouver-Nord"," 82","Campbell River",71,77,7,21,0,176,379
"Vancouver Island North/Île de Vancouver-Nord"," 83","Campbell River",61,48,4,13,0,126,270
"Vancouver Island North/Île de Vancouver-Nord"," 84","Campbell River",64,86,5,18,0,173,258
"Vancouver Island North/Île de Vancouver-Nord"," 85","Campbell River",62,138,7,35,0,242,451
"Vancouver Island North/Île de Vancouver-Nord"," 86","Campbell River",79,138,8,27,0,252,413
"Vancouver Island North/Île de Vancouver-Nord"," 87","Campbell River",90,88,8,33,0,219,428
"Vancouver Island North/Île de Vancouver-Nord"," 88","Campbell River",84,139,8,25,0,256,452
"Vancouver Island North/Île de Vancouver-Nord"," 89","Campbell River",92,129,11,33,1,266,471
"Vancouver Island North/Île de Vancouver-Nord"," 90","Campbell River",51,60,2,17,0,130,246
"Vancouver Island North/Île de Vancouver-Nord"," 91A","Campbell River",67,65,10,15,0,157,285
"Vancouver Island North/Île de Vancouver-Nord"," 91B","Campbell River",70,70,5,13,1,159,266
"Vancouver Island North/Île de Vancouver-Nord"," 92A","Campbell River",82,85,8,21,0,196,371
"Vancouver Island North/Île de Vancouver-Nord"," 92B","Campbell River",78,47,13,24,1,163,326
"Vancouver Island North/Île de Vancouver-Nord"," 93","Campbell River",80,116,4,25,0,225,447
"Vancouver Island North/Île de Vancouver-Nord"," 94","Campbell River",35,38,3,10,0,86,223
"Vancouver Island North/Île de Vancouver-Nord"," 95","Campbell River",80,122,15,22,1,240,410
"Vancouver Island North/Île de Vancouver-Nord"," 96","Campbell River",98,88,5,17,1,209,401
"Vancouver Island North/Île de Vancouver-Nord"," 97","Campbell River",54,74,3,16,0,147,238
"Vancouver Island North/Île de Vancouver-Nord"," 98","Campbell River",96,118,5,23,0,242,445
"Vancouver Island North/Île de Vancouver-Nord"," 99","Campbell River",80,88,6,22,0,196,326
"Vancouver Island North/Île de Vancouver-Nord"," 100","Campbell River",84,105,3,20,0,212,320
"Vancouver Island North/Île de Vancouver-Nord"," 101","Campbell River",116,108,2,26,0,252,446
"Vancouver Island North/Île de Vancouver-Nord"," 102","Campbell River",78,110,5,25,2,220,354
"Vancouver Island North/Île de Vancouver-Nord"," 103","Campbell River",116,107,4,36,0,263,455
"Vancouver Island North/Île de Vancouver-Nord"," 104","Campbell River",90,74,3,17,1,185,368
"Vancouver Island North/Île de Vancouver-Nord"," 105","Campbell River",73,73,4,30,0,180,313
"Vancouver Island North/Île de Vancouver-Nord"," 106","Campbell River",102,108,5,31,0,246,474
"Vancouver Island North/Île de Vancouver-Nord"," 107","Campbell River",89,104,5,25,0,223,389
"Vancouver Island North/Île de Vancouver-Nord"," 108A","Campbell River",47,79,5,27,0,158,251
"Vancouver Island North/Île de Vancouver-Nord"," 108B","Campbell River",69,75,0,17,0,161,262
"Vancouver Island North/Île de Vancouver-Nord"," 109","Campbell River",87,112,3,27,1,230,399
"Vancouver Island North/Île de Vancouver-Nord"," 110","Campbell River",79,151,4,32,0,266,439
"Vancouver Island North/Île de Vancouver-Nord"," 111","Campbell River",84,97,1,15,1,198,326
"Vancouver Island North/Île de Vancouver-Nord"," 112","Campbell River",51,61,3,20,1,136,228
"Vancouver Island North/Île de Vancouver-Nord"," 113","Campbell River",74,106,8,28,0,216,405
"Vancouver Island North/Île de Vancouver-Nord"," 114A","Campbell River",85,2,1,1,0,89,130
"Vancouver Island North/Île de Vancouver-Nord"," 114B","Campbell River",63,103,12,28,0,206,372
"Vancouver Island North/Île de Vancouver-Nord"," 115","Tahsis",67,73,11,24,0,175,313
"Vancouver Island North/Île de Vancouver-Nord"," 116","Tahsis",Void/Supprimé,,,,,,
"Vancouver Island North/Île de Vancouver-Nord"," 117A","Gold River",40,1,1,14,3,59,84
"Vancouver Island North/Île de Vancouver-Nord"," 117B","Gold River",102,75,4,88,0,269,497
"Vancouver Island North/Île de Vancouver-Nord"," 118A","Gold River",68,42,5,41,1,157,266
"Vancouver Island North/Île de Vancouver-Nord"," 118B","Gold River",61,40,6,49,0,156,249
"Vancouver Island North/Île de Vancouver-Nord"," 119","Gold River",Void/Supprimé,,,,,,
"Vancouver Island North/Île de Vancouver-Nord"," 120","Gold River",Void/Supprimé,,,,,,
"Vancouver Island North/Île de Vancouver-Nord"," 121","Gold River",Void/Supprimé,,,,,,
"Vancouver Island North/Île de Vancouver-Nord"," 122","Oyster River",169,106,12,21,1,309,495
"Vancouver Island North/Île de Vancouver-Nord"," 123","Black Creek",146,95,19,30,0,290,451
"Vancouver Island North/Île de Vancouver-Nord"," 124","Oyster River",91,111,15,14,1,232,319
"Vancouver Island North/Île de Vancouver-Nord"," 125","Saratoga Beach",92,132,11,23,0,258,362
"Vancouver Island North/Île de Vancouver-Nord"," 126","Saratoga Beach",69,87,12,28,0,196,333
"Vancouver Island North/Île de Vancouver-Nord"," 127","Black Creek",163,143,17,28,0,351,479
"Vancouver Island North/Île de Vancouver-Nord"," 128","Merville",104,62,15,14,0,195,337
"Vancouver Island North/Île de Vancouver-Nord"," 129","Courtenay",105,82,19,29,0,235,416
"Vancouver Island North/Île de Vancouver-Nord"," 130","Courtenay",76,79,17,12,0,184,318
"Vancouver Island North/Île de Vancouver-Nord"," 131","Courtenay",53,32,10,4,0,99,234
"Vancouver Island North/Île de Vancouver-Nord"," 132","Merville",70,98,12,22,1,203,306
"Vancouver Island North/Île de Vancouver-Nord"," 133","Merville",84,87,12,28,0,211,325
"Vancouver Island North/Île de Vancouver-Nord"," 134","Courtenay",80,79,20,31,0,210,370
"Vancouver Island North/Île de Vancouver-Nord"," 135A","Merville",89,101,20,28,0,238,355
"Vancouver Island North/Île de Vancouver-Nord"," 135B","Merville",96,84,21,14,0,215,370
"Vancouver Island North/Île de Vancouver-Nord"," 136","Courtenay",103,87,10,30,0,230,363
"Vancouver Island North/Île de Vancouver-Nord"," 137","Courtenay",95,77,24,35,0,231,488
"Vancouver Island North/Île de Vancouver-Nord"," 138A","Courtenay",49,37,9,11,0,106,269
"Vancouver Island North/Île de Vancouver-Nord"," 138B","Courtenay",56,34,10,7,0,107,277
"Vancouver Island North/Île de Vancouver-Nord"," 139","Courtenay",70,103,10,18,0,201,412
"Vancouver Island North/Île de Vancouver-Nord"," 140A","Courtenay",58,82,5,48,0,193,360
"Vancouver Island North/Île de Vancouver-Nord"," 140B","Courtenay",74,75,10,35,0,194,370
"Vancouver Island North/Île de Vancouver-Nord"," 141A","Courtenay",37,109,11,40,0,197,348
"Vancouver Island North/Île de Vancouver-Nord"," 141B","Courtenay",71,100,6,27,0,204,373
"Vancouver Island North/Île de Vancouver-Nord"," 142","Courtenay",74,101,4,34,1,214,398
"Vancouver Island North/Île de Vancouver-Nord"," 143","Courtenay",83,126,9,42,2,262,510
"Vancouver Island North/Île de Vancouver-Nord"," 144A","Courtenay",77,46,11,21,0,155,257
"Vancouver Island North/Île de Vancouver-Nord"," 144B","Courtenay",86,46,13,16,0,161,240
"Vancouver Island North/Île de Vancouver-Nord"," 145","Courtenay",92,106,16,27,1,242,439
"Vancouver Island North/Île de Vancouver-Nord"," 146A","Courtenay",23,72,12,33,1,141,236
"Vancouver Island North/Île de Vancouver-Nord"," 146B","Courtenay",44,66,6,21,0,137,264
"Vancouver Island North/Île de Vancouver-Nord"," 147","Courtenay",75,172,10,47,0,304,490
"Vancouver Island North/Île de Vancouver-Nord"," 148","Courtenay",15,166,9,49,0,239,436
"Vancouver Island North/Île de Vancouver-Nord"," 149","Courtenay",53,81,7,20,1,162,262
"Vancouver Island North/Île de Vancouver-Nord"," 150","Courtenay",82,127,12,55,1,277,475
"Vancouver Island North/Île de Vancouver-Nord"," 151","Courtenay",48,113,6,31,0,198,317
"Vancouver Island North/Île de Vancouver-Nord"," 152A","Comox 1",89,51,4,34,1,179,304
"Vancouver Island North/Île de Vancouver-Nord"," 152B","Comox 1",75,77,9,31,1,193,315
"Vancouver Island North/Île de Vancouver-Nord"," 153","Courtenay",88,92,12,35,0,227,442
"Vancouver Island North/Île de Vancouver-Nord"," 154","Courtenay",55,62,9,20,1,147,308
"Vancouver Island North/Île de Vancouver-Nord"," 155","Courtenay",104,61,11,28,1,205,391
"Vancouver Island North/Île de Vancouver-Nord"," 156A","Courtenay",80,26,16,11,0,133,243
"Vancouver Island North/Île de Vancouver-Nord"," 156B","Courtenay",81,50,17,18,0,166,293
"Vancouver Island North/Île de Vancouver-Nord"," 157","Courtenay",128,57,20,39,0,244,464
"Vancouver Island North/Île de Vancouver-Nord"," 158","Courtenay",42,32,9,10,0,93,200
"Vancouver Island North/Île de Vancouver-Nord"," 159A","Courtenay",61,47,8,16,1,133,261
"Vancouver Island North/Île de Vancouver-Nord"," 159B","Courtenay",77,37,10,11,0,135,282
"Vancouver Island North/Île de Vancouver-Nord"," 160","Courtenay",59,30,10,13,1,113,329
"Vancouver Island North/Île de Vancouver-Nord"," 161","Courtenay",104,77,19,28,0,228,494
"Vancouver Island North/Île de Vancouver-Nord"," 162","Courtenay",76,46,2,23,0,147,288
"Vancouver Island North/Île de Vancouver-Nord"," 163","Courtenay",46,35,13,13,0,107,227
"Vancouver Island North/Île de Vancouver-Nord"," 164","Courtenay",114,58,27,30,1,230,474
"Vancouver Island North/Île de Vancouver-Nord"," 165","Courtenay",87,60,21,22,0,190,467
"Vancouver Island North/Île de Vancouver-Nord"," 166","Courtenay",124,110,13,24,2,273,499
"Vancouver Island North/Île de Vancouver-Nord"," 167","Courtenay",61,27,6,19,0,113,277
"Vancouver Island North/Île de Vancouver-Nord"," 168","Courtenay",71,48,7,24,0,150,268
"Vancouver Island North/Île de Vancouver-Nord"," 169","Courtenay",104,93,13,26,1,237,447
"Vancouver Island North/Île de Vancouver-Nord"," 170","Courtenay",82,72,33,5,0,192,387
"Vancouver Island North/Île de Vancouver-Nord"," 171","Courtenay",70,62,4,22,0,158,317
"Vancouver Island North/Île de Vancouver-Nord"," 172","Courtenay",42,39,8,18,0,107,237
"Vancouver Island North/Île de Vancouver-Nord"," 173","Courtenay",50,33,15,14,0,112,224
"Vancouver Island North/Île de Vancouver-Nord"," 174A","Courtenay",45,75,7,13,0,140,331
"Vancouver Island North/Île de Vancouver-Nord"," 174B","Courtenay",48,48,7,15,0,118,283
"Vancouver Island North/Île de Vancouver-Nord"," 175","Courtenay",39,56,6,25,0,126,241
"Vancouver Island North/Île de Vancouver-Nord"," 176","Courtenay",64,114,16,40,0,234,444
"Vancouver Island North/Île de Vancouver-Nord"," 177","Courtenay",80,98,4,26,0,208,385
"Vancouver Island North/Île de Vancouver-Nord"," 178","Little River",115,110,11,38,0,274,509
"Vancouver Island North/Île de Vancouver-Nord"," 179","Little River",86,126,17,24,1,254,371
"Vancouver Island North/Île de Vancouver-Nord"," 180","Little River",69,98,14,35,0,216,357
"Vancouver Island North/Île de Vancouver-Nord"," 181","Comox 1",64,83,9,33,0,189,349
"Vancouver Island North/Île de Vancouver-Nord"," 182","Comox 1",61,78,9,26,0,174,327
"Vancouver Island North/Île de Vancouver-Nord"," 183","Comox 1",66,72,11,28,0,177,332
"Vancouver Island North/Île de Vancouver-Nord"," 184","Comox 1",73,80,14,14,0,181,316
"Vancouver Island North/Île de Vancouver-Nord"," 185","Comox 1",122,123,29,36,0,310,505
"Vancouver Island North/Île de Vancouver-Nord"," 186","Comox",72,97,14,36,2,221,474
"Vancouver Island North/Île de Vancouver-Nord"," 187","Comox",27,67,10,17,0,121,202
"Vancouver Island North/Île de Vancouver-Nord"," 188","Comox",73,160,9,43,1,286,474
"Vancouver Island North/Île de Vancouver-Nord"," 189","Comox",76,103,14,41,0,234,403
"Vancouver Island North/Île de Vancouver-Nord"," 190","Comox",64,66,7,43,0,180,284
"Vancouver Island North/Île de Vancouver-Nord"," 191","Comox",59,65,9,26,0,159,298
"Vancouver Island North/Île de Vancouver-Nord"," 192","Comox",85,92,10,34,0,221,419
"Vancouver Island North/Île de Vancouver-Nord"," 193A","Comox 1",48,68,1,20,0,137,265
"Vancouver Island North/Île de Vancouver-Nord"," 193B","Comox 1",49,69,7,15,0,140,270
"Vancouver Island North/Île de Vancouver-Nord"," 194","Comox",105,108,13,62,0,288,519
"Vancouver Island North/Île de Vancouver-Nord"," 195","Comox",50,89,4,20,0,163,277
"Vancouver Island North/Île de Vancouver-Nord"," 196","Comox",92,102,18,44,1,257,450
"Vancouver Island North/Île de Vancouver-Nord"," 197","Comox",38,64,7,23,0,132,250
"Vancouver Island North/Île de Vancouver-Nord"," 198","Comox",56,59,8,25,0,148,272
"Vancouver Island North/Île de Vancouver-Nord"," 199","Comox",75,116,8,29,0,228,428
"Vancouver Island North/Île de Vancouver-Nord"," 200","Comox",71,77,13,32,0,193,405
"Vancouver Island North/Île de Vancouver-Nord"," 201","Comox",122,101,20,37,0,280,475
"Vancouver Island North/Île de Vancouver-Nord"," 202","Comox",67,104,13,30,0,214,506
"Vancouver Island North/Île de Vancouver-Nord"," 203","Comox",49,72,10,19,0,150,311
"Vancouver Island North/Île de Vancouver-Nord"," 204","Comox",52,57,9,21,0,139,281
"Vancouver Island North/Île de Vancouver-Nord"," 205","Comox",81,103,16,39,0,239,414
"Vancouver Island North/Île de Vancouver-Nord"," 206","Comox",123,172,20,48,0,363,648
"Vancouver Island North/Île de Vancouver-Nord"," 207","Comox",101,99,17,40,0,257,468
"Vancouver Island North/Île de Vancouver-Nord"," 208","Comox",58,88,9,33,0,188,315
"Vancouver Island North/Île de Vancouver-Nord"," 209","Comox",52,91,19,37,1,200,364
"Vancouver Island North/Île de Vancouver-Nord"," 210","Courtenay",55,50,10,10,0,125,225
"Vancouver Island North/Île de Vancouver-Nord"," 211","Courtenay",104,81,13,20,0,218,333
"Vancouver Island North/Île de Vancouver-Nord"," 212","Courtenay",123,100,12,37,1,273,505
"Vancouver Island North/Île de Vancouver-Nord"," 213","Courtenay",91,85,9,23,1,209,374
"Vancouver Island North/Île de Vancouver-Nord"," 214","Courtenay",73,75,8,27,2,185,298
"Vancouver Island North/Île de Vancouver-Nord"," 215","Cumberland",244,83,15,30,0,372,527
"Vancouver Island North/Île de Vancouver-Nord"," 216","Cumberland",195,53,23,20,0,291,528
"Vancouver Island North/Île de Vancouver-Nord"," 217","Cumberland",168,65,29,27,0,289,491
"Vancouver Island North/Île de Vancouver-Nord"," 218","Cumberland",172,85,19,22,0,298,467
"Vancouver Island North/Île de Vancouver-Nord"," 219","Royston",102,72,17,30,1,222,340
"Vancouver Island North/Île de Vancouver-Nord"," 220","Royston",153,119,13,36,1,322,549
"Vancouver Island North/Île de Vancouver-Nord"," 221","Royston",155,121,18,38,0,332,497
"Vancouver Island North/Île de Vancouver-Nord"," 222","Union Bay",87,78,12,26,0,203,298
"Vancouver Island North/Île de Vancouver-Nord"," 223","Union Bay",72,93,17,26,0,208,345
"Vancouver Island North/Île de Vancouver-Nord"," 224","Union Bay",44,42,7,17,0,110,171
"Vancouver Island North/Île de Vancouver-Nord"," 225","Union Bay",105,98,15,19,0,237,357
"Vancouver Island North/Île de Vancouver-Nord"," 226","Denman Island",162,40,29,17,0,248,369
"Vancouver Island North/Île de Vancouver-Nord"," 227","Union Bay",102,112,10,34,0,258,402
"Vancouver Island North/Île de Vancouver-Nord"," 228A","Fanny Bay",100,93,10,24,0,227,312
"Vancouver Island North/Île de Vancouver-Nord"," 228B","Fanny Bay",83,89,13,24,1,210,273
"Vancouver Island North/Île de Vancouver-Nord"," 229","Denman Island",94,23,6,13,1,137,195
"Vancouver Island North/Île de Vancouver-Nord"," 230","Denman Island",126,39,14,10,0,189,265
"Vancouver Island North/Île de Vancouver-Nord"," 231","Hornby Island",195,30,12,9,0,246,329
"Vancouver Island North/Île de Vancouver-Nord"," 232","Hornby Island",243,32,19,22,0,316,468
"Vancouver Island North/Île de Vancouver-Nord"," 500","Mobile poll/Bureau itinérant",23,19,2,10,2,56,76
"Vancouver Island North/Île de Vancouver-Nord"," 501","Mobile poll/Bureau itinérant",21,11,2,5,2,41,87
"Vancouver Island North/Île de Vancouver-Nord"," 502","Mobile poll/Bureau itinérant",23,21,2,16,0,62,96
"Vancouver Island North/Île de Vancouver-Nord"," 600","Port Hardy",68,89,10,33,1,201,
"Vancouver Island North/Île de Vancouver-Nord"," 601","Port McNeill",55,115,4,22,1,197,
"Vancouver Island North/Île de Vancouver-Nord"," 602","Campbell River",115,136,13,32,0,296,
"Vancouver Island North/Île de Vancouver-Nord"," 603","Campbell River--Quinsam 12",120,123,6,33,1,283,
"Vancouver Island North/Île de Vancouver-Nord"," 604","Campbell River",258,304,18,101,3,684,
"Vancouver Island North/Île de Vancouver-Nord"," 605","Campbell River",298,406,18,111,0,833,
"Vancouver Island North/Île de Vancouver-Nord"," 606","Gold River",43,42,5,40,0,130,
"Vancouver Island North/Île de Vancouver-Nord"," 607","Courtenay",176,345,27,103,3,654,
"Vancouver Island North/Île de Vancouver-Nord"," 608","Courtenay East",308,502,30,113,3,956,
"Vancouver Island North/Île de Vancouver-Nord"," 609","Courtenay",247,330,18,90,1,686,
"Vancouver Island North/Île de Vancouver-Nord"," 610","Courtenay",142,127,21,29,2,321,
"Vancouver Island North/Île de Vancouver-Nord"," 611","Comox",175,371,25,118,1,690,
"Vancouver Island North/Île de Vancouver-Nord"," 612","Comox",243,492,41,167,0,943,
"Vancouver Island North/Île de Vancouver-Nord",,Group 1/Groupe 1,38,138,17,48,4,245,656
"Vancouver Island North/Île de Vancouver-Nord",,Group 2/Groupe 2,784,1237,112,323,37,2493,
