Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Justine Charlemagne,Stéphane Chénier,Laura Colella,Massimo Pacetti,Pierre-Louis Parant,Ercolano Pingiotti,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 15","Saint-Léonard",29,0,7,129,5,20,0,190,346
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 16","Saint-Léonard",27,1,17,82,2,24,1,154,264
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 17","Saint-Léonard",34,4,17,157,7,34,4,257,402
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 18","Saint-Léonard",42,0,20,125,6,40,1,234,347
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 19","Saint-Léonard",23,0,19,94,2,33,5,176,304
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 20","Saint-Léonard",39,0,13,98,6,26,0,182,341
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 21","Saint-Léonard",15,2,11,127,1,30,2,188,348
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 22","Saint-Léonard",25,2,20,121,1,24,3,196,376
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 23","Saint-Léonard",26,1,18,86,5,26,3,165,339
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 24","Saint-Léonard",32,0,10,100,4,38,1,185,336
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 25","Saint-Léonard",38,1,7,91,8,25,2,172,380
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 26","Saint-Léonard",27,0,19,85,3,13,1,148,344
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 27","Saint-Léonard",35,3,11,90,1,28,2,170,320
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 28","Saint-Léonard",40,2,15,117,2,33,4,213,540
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 29","Saint-Léonard",4,0,0,9,0,0,1,14,101
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 30","Saint-Léonard",29,0,6,111,8,23,2,179,383
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 31","Saint-Léonard",26,0,16,108,8,34,0,192,352
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 32","Saint-Léonard",40,2,12,117,4,33,2,210,368
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 33","Saint-Léonard",27,0,11,106,6,31,2,183,345
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 34","Saint-Léonard",34,1,18,90,2,30,4,179,395
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 35","Saint-Léonard",23,1,4,110,4,23,4,169,331
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 36","Saint-Léonard",29,1,19,103,5,34,5,196,318
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 37","Saint-Léonard",60,0,14,109,9,17,3,212,351
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 38","Saint-Léonard",32,0,10,79,3,26,0,150,338
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 39","Saint-Léonard",42,1,18,79,1,18,1,160,354
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 40","Saint-Léonard",18,0,7,90,3,28,3,149,382
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 41","Saint-Léonard",15,0,20,117,6,34,0,192,381
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 42","Saint-Léonard",18,0,16,94,2,20,3,153,319
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 43","Saint-Léonard",23,0,13,108,3,27,0,174,353
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 44","Saint-Léonard",40,2,15,96,5,19,3,180,330
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 45","Saint-Léonard",25,2,18,99,2,24,1,171,362
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 46","Saint-Léonard",18,0,9,92,3,26,0,148,310
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 47","Saint-Léonard",36,0,7,126,2,31,3,205,426
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 48","Saint-Léonard",28,0,15,109,4,18,1,175,368
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 49A","Saint-Léonard",37,3,20,66,1,18,2,147,293
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 49B","Saint-Léonard",108,7,15,182,6,68,11,397,494
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 50A","Saint-Léonard",18,1,16,124,0,22,5,186,329
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 50B","Saint-Léonard",29,1,5,114,4,25,2,180,330
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 51","Saint-Léonard",37,0,5,110,5,26,5,188,338
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 52","Saint-Léonard",29,0,18,102,6,28,4,187,455
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 53","Saint-Léonard",26,0,2,87,1,19,1,136,319
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 54","Saint-Léonard",46,2,12,109,5,33,2,209,343
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 55","Saint-Léonard",39,0,14,81,3,22,6,165,322
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 56","Saint-Léonard",33,1,19,115,3,18,3,192,401
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 57","Saint-Léonard",30,1,21,82,3,28,1,166,379
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 58","Saint-Léonard",54,0,20,128,6,34,1,243,387
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 59","Saint-Léonard",63,0,17,58,2,25,3,168,374
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 60","Saint-Léonard",65,5,16,60,5,32,3,186,354
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 61","Saint-Léonard",27,1,13,161,0,29,6,237,335
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 62","Saint-Léonard",37,0,11,134,4,13,1,200,351
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 63","Saint-Léonard",73,0,16,92,6,32,1,220,515
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 64","Saint-Léonard",38,0,23,98,1,17,3,180,331
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 65","Saint-Léonard",13,1,11,177,2,35,5,244,386
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 66","Saint-Léonard",43,0,10,115,6,25,3,202,332
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 67","Saint-Léonard",48,0,17,80,3,38,1,187,364
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 68","Saint-Léonard",38,1,13,109,6,43,0,210,364
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 69","Saint-Léonard",27,0,21,133,5,32,0,218,355
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 70","Saint-Léonard",38,0,7,106,7,31,4,193,352
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 71","Saint-Léonard",31,0,9,105,4,38,5,192,350
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 72","Saint-Léonard",31,2,23,136,1,24,2,219,385
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 73","Saint-Léonard",12,1,19,159,5,50,2,248,400
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 74","Saint-Léonard",26,1,19,151,10,30,6,243,423
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 75","Saint-Léonard",31,0,17,116,2,16,2,184,338
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 76","Saint-Léonard",27,3,16,93,3,37,2,181,384
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 77","Saint-Léonard",31,1,10,123,3,19,6,193,374
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 78","Saint-Léonard",29,3,13,96,2,29,5,177,341
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 79","Saint-Léonard",14,0,12,79,0,11,0,116,284
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 80","Saint-Léonard",27,1,14,102,1,41,9,195,378
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 81","Saint-Léonard",11,0,25,127,6,26,1,196,364
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 82","Saint-Léonard",33,0,6,111,9,25,0,184,352
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 83","Saint-Léonard",31,1,9,125,5,20,6,197,343
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 84","Saint-Léonard",49,0,14,113,7,15,5,203,385
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 85","Saint-Léonard",41,0,10,88,5,32,3,179,381
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 86","Saint-Léonard",34,2,17,117,3,41,4,218,413
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 87","Saint-Léonard",37,1,9,96,6,21,5,175,339
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 88","Saint-Léonard",22,0,10,113,0,37,1,183,341
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 89","Saint-Léonard",25,0,19,127,4,37,1,213,358
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 90","Saint-Léonard",37,1,21,95,3,32,7,196,358
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 91","Saint-Léonard",51,0,18,107,7,37,2,222,401
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 92","Saint-Léonard",30,1,15,110,5,26,1,188,367
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 93","Saint-Léonard",76,0,16,250,8,91,13,454,805
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 94","Saint-Léonard",51,1,15,102,4,23,3,199,369
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 95","Saint-Léonard",29,0,20,123,13,28,2,215,370
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 96","Saint-Léonard",33,1,17,103,11,35,4,204,332
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 97","Saint-Léonard",54,1,15,82,6,40,0,198,328
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 98","Saint-Léonard",43,0,22,121,1,38,3,228,328
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 99","Saint-Léonard",32,0,21,104,4,30,4,195,335
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 100","Saint-Léonard",18,0,21,102,13,29,2,185,340
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 101","Saint-Léonard",28,1,10,100,2,29,1,171,335
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 102","Saint-Léonard",19,2,10,73,4,25,2,135,339
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 103","Saint-Léonard",22,0,13,107,8,29,3,182,369
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 104","Saint-Léonard",41,1,24,85,3,35,2,191,384
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 105","Saint-Léonard",31,0,15,100,8,32,1,187,367
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 106","Saint-Léonard",31,1,6,113,3,18,1,173,384
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 107","Saint-Léonard",26,2,11,72,8,17,1,137,336
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 108","Saint-Léonard",13,0,13,126,3,19,5,179,404
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 109","Saint-Léonard",26,2,8,88,0,11,1,136,285
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 110","Saint-Léonard",38,0,6,83,2,21,1,151,332
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 111","Saint-Léonard",30,2,4,105,4,35,3,183,340
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 112","Saint-Léonard",20,2,13,80,4,27,3,149,316
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 113","Saint-Léonard",20,0,11,113,3,22,0,169,317
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 114","Saint-Léonard",15,1,12,139,3,30,3,203,362
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 115","Saint-Léonard",7,1,2,104,2,28,1,145,268
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 116","Saint-Léonard",22,1,15,113,10,20,3,184,336
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 117","Saint-Léonard",22,2,14,118,4,27,4,191,356
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 118","Saint-Léonard",40,3,16,111,2,20,3,195,411
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 119","Saint-Léonard",41,0,6,81,0,29,4,161,368
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 120","Saint-Léonard",25,0,13,90,5,22,4,159,343
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 121","Saint-Léonard",39,1,19,106,2,28,2,197,352
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 122","Saint-Léonard",27,1,12,97,4,19,3,163,299
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 123","Saint-Léonard",54,3,27,113,5,45,1,248,477
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 124","Saint-Léonard",36,2,10,85,4,19,1,157,306
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 125","Saint-Léonard",50,0,21,113,3,28,7,222,404
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 126","Saint-Léonard",70,0,33,179,9,52,1,344,603
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 127","Saint-Léonard",18,1,18,112,4,21,3,177,314
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 128","Saint-Léonard",16,1,4,124,6,24,1,176,307
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 129","Saint-Léonard",21,0,8,107,3,19,3,161,282
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 130","Saint-Léonard",31,0,14,123,5,25,4,202,329
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 131","Saint-Léonard",27,0,15,87,2,15,7,153,318
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 132","Saint-Léonard",48,3,9,81,4,24,1,170,318
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 133","Saint-Léonard",33,1,12,97,9,30,1,183,300
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 134","Saint-Léonard",19,0,15,141,2,18,3,198,323
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 135","Saint-Léonard",31,2,16,119,4,26,1,199,327
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 136","Saint-Léonard",28,1,19,165,9,27,1,250,374
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 137","Saint-Léonard",35,2,10,93,7,35,4,186,350
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 138","Saint-Léonard",20,3,9,99,7,39,3,180,333
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 139","Saint-Léonard",46,1,18,125,8,36,1,235,406
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 140","Saint-Léonard",68,1,28,77,5,23,1,203,426
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 141","Saint-Léonard",54,0,17,81,3,43,2,200,389
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 142","Saint-Léonard",51,0,15,60,5,23,5,159,345
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 143","Saint-Léonard",39,1,5,117,7,37,4,210,392
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 144","Montréal",83,3,15,49,4,27,1,182,456
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 145","Montréal",65,3,17,59,3,27,2,176,379
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 146","Montréal",84,0,25,101,7,26,4,247,464
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 147","Montréal",87,0,23,85,18,28,6,247,475
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 148","Montréal",63,1,13,75,2,16,1,171,383
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 149","Montréal",36,1,15,95,5,18,3,173,401
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 150","Montréal",58,4,19,91,4,23,3,202,520
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 151","Montréal",69,1,16,101,8,25,3,223,486
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 152","Montréal",48,0,9,116,5,24,2,204,427
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 153","Montréal",61,3,9,129,9,31,1,243,560
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 154","Montréal",39,2,18,147,3,32,5,246,480
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 155","Montréal",37,1,6,73,1,21,2,141,277
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 156","Montréal",47,2,11,122,3,23,2,210,407
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 157","Montréal",18,2,6,148,3,17,1,195,354
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 158","Montréal",86,1,12,133,10,58,1,301,648
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 159","Montréal",44,2,8,110,0,29,8,201,469
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 160","Montréal",41,0,4,74,3,23,7,152,447
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 161","Montréal",48,0,11,97,1,32,2,191,405
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 162","Montréal",42,1,9,126,0,17,6,201,486
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 163","Montréal",52,2,19,168,5,29,8,283,588
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 164","Montréal",34,0,15,61,8,24,2,144,358
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 165","Montréal",10,0,14,126,3,25,4,182,461
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 166","Montréal",20,1,12,139,5,32,2,211,407
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 167","Montréal",25,1,11,99,4,24,4,168,399
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 168","Montréal",51,1,18,101,4,15,3,193,425
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 169","Montréal",30,2,9,139,3,23,2,208,430
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 170","Montréal",36,3,9,126,4,17,3,198,365
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 171","Montréal",33,1,8,97,2,18,5,164,420
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 172","Montréal",41,1,11,108,5,37,4,207,406
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 173","Montréal",48,1,17,113,3,24,4,210,494
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 174","Montréal",53,1,8,83,6,22,1,174,349
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 175","Montréal",43,1,10,104,6,24,0,188,351
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 176","Montréal",63,3,13,134,6,20,5,244,502
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 177","Montréal",31,2,13,101,3,17,2,169,406
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 178","Montréal",48,1,15,79,5,33,9,190,443
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 179","Montréal",24,1,8,96,3,24,2,158,325
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 180","Montréal",28,2,9,109,5,32,1,186,433
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 181","Montréal",51,1,16,104,8,25,2,207,420
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 182","Montréal",22,1,15,123,7,32,6,206,415
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 183","Montréal",21,1,13,155,8,20,7,225,406
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 184","Montréal",27,1,10,114,6,24,1,183,381
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 185","Montréal",31,2,11,132,3,26,2,207,405
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 186","Montréal",35,3,12,169,5,29,6,259,494
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 187","Montréal",21,1,10,148,6,20,4,210,336
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 188","Montréal",41,2,9,123,3,23,2,203,359
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 189","Montréal",39,5,18,141,1,24,2,230,419
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 190","Montréal",41,3,8,112,3,34,11,212,476
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 191","Montréal",64,1,7,41,4,24,2,143,403
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 192","Montréal",40,2,16,137,4,27,4,230,474
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 193","Montréal",21,2,8,105,8,15,6,165,432
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 600","Montréal",73,1,25,275,8,60,7,449,
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 601","Montréal",95,3,20,410,6,101,12,647,
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 602","Montréal",63,0,17,182,7,73,5,347,
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 603","Montréal",56,2,15,226,7,80,1,387,
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 604","Montréal",60,4,26,282,15,59,13,459,
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 605","Montréal",49,0,23,202,10,61,1,346,
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 606","Montréal",100,3,19,219,12,39,7,399,
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 607","Montréal",92,4,21,203,9,53,7,389,
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 1/Groupe 1,21,0,3,35,2,13,2,76,125
"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 2/Groupe 2,106,1,23,555,8,80,21,794,
