Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Susan Barclay,Bill Brown,Roger Valley,Dave Vasey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kenora/Kenora"," 49B","Machin",43,85,46,3,1,178,291
"Kenora/Kenora"," 50","Longbow Lake",78,130,74,7,1,290,510
"Kenora/Kenora"," 51","Jaffray and Melick",69,69,35,4,0,177,344
"Kenora/Kenora"," 52","Jaffray and Melick",126,136,51,8,1,322,505
"Kenora/Kenora"," 53","Jaffray and Melick",64,73,31,4,1,173,315
"Kenora/Kenora"," 54A","Jaffray and Melick",47,80,35,4,1,167,293
"Kenora/Kenora"," 54B","Jaffray and Melick",60,93,40,5,0,198,338
"Kenora/Kenora"," 55A","Jaffray and Melick",50,62,40,7,1,160,272
"Kenora/Kenora"," 55B","Jaffray and Melick",50,50,43,6,0,149,256
"Kenora/Kenora"," 56","Keewatin",71,105,65,8,0,249,398
"Kenora/Kenora"," 57A","Keewatin",107,61,63,3,0,234,391
"Kenora/Kenora"," 57B","Keewatin",72,82,63,8,0,225,411
"Kenora/Kenora"," 58A","Keewatin",62,55,52,9,0,178,296
"Kenora/Kenora"," 58B","Keewatin",59,59,40,6,0,164,262
"Kenora/Kenora"," 59","Laclu",82,68,39,6,0,195,265
"Kenora/Kenora"," 60A","Shoal Lake (Part) 39A",26,2,67,1,1,97,182
"Kenora/Kenora"," 60B","Shoal Lake (Part) 39A",9,1,62,0,0,72,109
"Kenora/Kenora"," 60-1","Clearwater Bay--Granite Lake",24,31,7,2,0,64,136
"Kenora/Kenora"," 61","Keewatin",38,73,53,5,0,169,312
"Kenora/Kenora"," 61-1","Rat Portage 38A",23,6,20,0,0,49,58
"Kenora/Kenora"," 62","Kenora 38B",7,4,52,0,0,63,155
"Kenora/Kenora"," 63A","Northwest Angle 34C & 37B",5,0,3,0,0,8,28
"Kenora/Kenora"," 63B","Northwest Angle 34C & 37B",8,2,6,0,0,16,28
"Kenora/Kenora"," 64","Sioux Narrows",40,84,41,7,0,172,342
"Kenora/Kenora"," 65A","Whitefish Bay 32A",25,4,124,2,0,155,261
"Kenora/Kenora"," 65B","Whitefish Bay 32A",1,1,25,0,1,28,35
"Kenora/Kenora"," 66","Nestor Falls",33,65,20,2,1,121,168
"Kenora/Kenora"," 67","Onegaming",64,10,66,1,1,142,245
"Kenora/Kenora"," 68","Kenora",79,76,53,11,0,219,357
"Kenora/Kenora"," 69","Kenora",23,59,49,1,0,132,249
"Kenora/Kenora"," 70","Kenora",97,55,43,7,0,202,371
"Kenora/Kenora"," 71","Kenora",86,59,42,10,2,199,388
"Kenora/Kenora"," 72","Kenora",61,55,48,5,0,169,340
"Kenora/Kenora"," 73","Kenora",80,46,50,3,2,181,356
"Kenora/Kenora"," 74","Kenora",107,71,80,10,0,268,441
"Kenora/Kenora"," 75","Kenora",60,42,28,2,1,133,349
"Kenora/Kenora"," 76","Kenora",40,51,37,6,0,134,315
"Kenora/Kenora"," 77","Kenora",54,85,74,7,2,222,380
"Kenora/Kenora"," 78","Kenora",72,89,47,4,2,214,359
"Kenora/Kenora"," 79A","Kenora",58,59,64,12,2,195,239
"Kenora/Kenora"," 79B","Kenora",56,44,15,7,0,122,246
"Kenora/Kenora"," 80","Kenora",42,49,40,4,2,137,229
"Kenora/Kenora"," 81","Kenora",64,56,64,8,1,193,342
"Kenora/Kenora"," 82A","Kenora",31,38,32,4,1,106,249
"Kenora/Kenora"," 82B","Kenora",Merged with No. 79A/Fusionné avec le nº 79A,,,,,,53
"Kenora/Kenora"," 83","Kenora",51,84,62,6,2,205,374
"Kenora/Kenora"," 84","Kenora",73,68,32,7,2,182,330
"Kenora/Kenora"," 85","Kenora",37,79,48,6,1,171,325
"Kenora/Kenora"," 85-1","Kenora",51,55,40,5,0,151,314
"Kenora/Kenora"," 86","Kenora",54,108,68,7,3,240,459
"Kenora/Kenora"," 87","Quibell",36,52,15,4,0,107,215
"Kenora/Kenora"," 88A","Rugby Township",24,47,22,2,0,95,236
"Kenora/Kenora"," 88B","Rugby Township",29,48,32,4,0,113,272
"Kenora/Kenora"," 89","Wabigoon",24,68,19,2,0,113,187
"Kenora/Kenora"," 90","Wabigoon",76,68,48,6,1,199,288
"Kenora/Kenora"," 91A","Dryden",57,88,50,4,0,199,361
"Kenora/Kenora"," 91B","Dryden",45,92,50,4,0,191,318
"Kenora/Kenora"," 92A","Dryden",41,83,36,4,0,164,272
"Kenora/Kenora"," 92B","Dryden",43,55,43,4,0,145,244
"Kenora/Kenora"," 93","Two Mile Corner",34,59,39,2,1,135,248
"Kenora/Kenora"," 94","Dryden",57,92,52,5,0,206,365
"Kenora/Kenora"," 95A","Dryden",46,76,54,3,0,179,312
"Kenora/Kenora"," 95B","Dryden",53,54,47,3,0,157,290
"Kenora/Kenora"," 96","Dryden",61,92,89,6,0,248,424
"Kenora/Kenora"," 97","Dryden",55,86,80,2,1,224,353
"Kenora/Kenora"," 98","Dryden",48,48,52,1,1,150,279
"Kenora/Kenora"," 99","Dryden",52,75,68,5,0,200,395
"Kenora/Kenora"," 100","Dryden",42,88,89,8,1,228,357
"Kenora/Kenora"," 101A","Dryden",31,71,51,1,1,155,281
"Kenora/Kenora"," 101B","Dryden",35,72,67,5,0,179,302
"Kenora/Kenora"," 102A","Dryden",52,96,112,5,0,265,466
"Kenora/Kenora"," 102B","Mobile poll/Bureau itinérant",Merged with No. 103B/Fusionné avec le nº 103B,,,,,,1
"Kenora/Kenora"," 103A","Dryden",30,60,59,7,0,156,306
"Kenora/Kenora"," 103B","Mobile poll/Bureau itinérant",7,8,14,0,2,31,70
"Kenora/Kenora"," 104","Dryden",36,59,38,1,0,134,247
"Kenora/Kenora"," 105","Dryden",47,83,81,5,1,217,362
"Kenora/Kenora"," 106A","Dryden",36,62,30,3,0,131,252
"Kenora/Kenora"," 106B","Dryden",45,58,26,4,0,133,272
"Kenora/Kenora"," 107A","Dryden",51,65,34,5,0,155,286
"Kenora/Kenora"," 107B","Dryden",43,52,41,3,0,139,269
"Kenora/Kenora"," 108","Two Mile Corner",25,58,40,5,0,128,242
"Kenora/Kenora"," 109","Oxdrift",50,121,66,6,2,245,347
"Kenora/Kenora"," 110A","Minnitaki",22,31,8,0,0,61,75
"Kenora/Kenora"," 110B","Minnitaki",14,4,57,2,0,77,139
"Kenora/Kenora"," 111","Eagle River",74,88,68,5,0,235,394
"Kenora/Kenora"," 112","Dinorwic",28,43,13,2,0,86,149
"Kenora/Kenora"," 112-1","Wabigoon Lake 27",13,0,33,0,0,46,70
"Kenora/Kenora"," 113","Sioux Lookout",82,63,101,7,0,253,474
"Kenora/Kenora"," 114","Sioux Lookout",74,60,116,8,0,258,489
"Kenora/Kenora"," 115","Lac Seul 28",11,0,52,1,0,64,144
"Kenora/Kenora"," 116","Sioux Lookout",32,17,16,4,0,69,134
"Kenora/Kenora"," 117","Sioux Lookout",86,54,84,4,0,228,428
"Kenora/Kenora"," 118","Sioux Lookout",72,22,38,6,1,139,277
"Kenora/Kenora"," 119A","Sioux Lookout",60,30,39,1,0,130,271
"Kenora/Kenora"," 119B","Sioux Lookout",62,25,56,5,1,149,293
"Kenora/Kenora"," 120","Sioux Lookout",53,46,46,4,1,150,304
"Kenora/Kenora"," 121A","Sioux Lookout",56,41,38,5,1,141,244
"Kenora/Kenora"," 121B","Sioux Lookout",70,28,34,5,0,137,285
"Kenora/Kenora"," 122A","Sioux Lookout",53,30,48,4,0,135,246
"Kenora/Kenora"," 122B","Sioux Lookout",49,41,50,2,0,142,267
"Kenora/Kenora"," 123","Sioux Lookout",61,48,48,12,1,170,294
"Kenora/Kenora"," 124","Valora",Merged with No. 126A/Fusionné avec le nº 126A,,,,,,13
"Kenora/Kenora"," 125","Ignace",20,20,19,4,0,63,143
"Kenora/Kenora"," 126A","Ignace",35,24,15,2,0,76,185
"Kenora/Kenora"," 126B","Ignace",54,27,31,3,1,116,243
"Kenora/Kenora"," 127","Ignace",50,37,44,3,0,134,308
"Kenora/Kenora"," 128","Ignace",56,33,17,3,0,109,242
"Kenora/Kenora"," 500","Mobile poll/Bureau itinérant",15,8,20,0,0,43,64
"Kenora/Kenora"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
"Kenora/Kenora"," 600","Sioux Lookout",113,106,100,15,0,334,
"Kenora/Kenora"," 601","Red Lake",52,73,50,4,3,182,
"Kenora/Kenora"," 602","Ear Falls",19,46,13,2,0,80,
"Kenora/Kenora"," 603","Kenora",90,161,101,15,0,367,
"Kenora/Kenora"," 604","Kenora",117,191,131,6,0,445,
"Kenora/Kenora"," 605","Dryden",108,326,250,9,0,693,
"Kenora/Kenora"," 606","Ignace",63,66,36,1,1,167,
"Kenora/Kenora",,Group 1/Groupe 1,13,21,41,3,2,80,129
"Kenora/Kenora",,Group 2/Groupe 2,243,470,467,23,11,1214,
