Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joëlle Chevrier,Stéphane Deschênes,Huguette Guilhaumon,Yvan Loubier,Jacques Tétreault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 31","Saint-Liboire",22,17,77,204,13,5,338,590
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 32","Saint-Liboire",16,18,61,161,22,2,280,462
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 33","Saint-Liboire",18,33,95,189,14,4,353,549
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 34","Saint-Liboire",12,29,95,144,18,1,299,487
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 35","Upton",9,29,55,56,3,0,152,255
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 36A","Upton",2,13,49,77,4,0,145,306
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 36B","Upton",8,11,47,75,10,2,153,311
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 37","Upton",4,22,70,94,6,3,199,302
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 38","Upton",8,19,56,137,12,2,234,415
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 39","Saint-André-d'Acton",9,20,81,106,16,3,235,393
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 40","Saint-André-d'Acton",19,12,63,125,13,5,237,456
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 41","Saint-Simon",5,13,48,79,10,1,156,271
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 42","Saint-Simon",10,17,57,100,8,4,196,274
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 43","Saint-Simon",9,18,61,146,10,6,250,338
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 44A","Sainte-Rosalie",12,13,56,128,7,4,220,368
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 44B","Sainte-Rosalie",6,14,62,119,10,4,215,364
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 45","Sainte-Rosalie",18,15,70,240,16,11,370,558
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 46","Sainte-Rosalie",10,25,33,136,8,5,217,349
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 47","Sainte-Rosalie",10,17,87,126,6,4,250,410
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 48","Sainte-Rosalie",18,22,67,134,7,4,252,407
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 49","Sainte-Rosalie",16,20,72,177,8,3,296,451
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 50","Sainte-Rosalie",15,29,90,209,6,6,355,533
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 51","Sainte-Rosalie",23,20,61,168,11,5,288,545
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 52","Sainte-Rosalie",15,16,48,131,8,1,219,355
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 53","Saint-Hyacinthe",35,27,79,261,14,4,420,545
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 54","Saint-Hyacinthe",10,18,76,193,4,1,302,434
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 55","Saint-Hyacinthe",8,11,36,96,6,2,159,285
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 56A","Saint-Hyacinthe",7,12,49,120,5,4,197,374
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 56B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,,53
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 57","Saint-Hyacinthe",8,12,54,124,9,5,212,345
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 58","Saint-Hyacinthe",12,19,46,129,16,5,227,372
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 59","Saint-Hyacinthe",9,26,46,140,9,2,232,382
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 60","Saint-Hyacinthe",12,17,51,156,9,3,248,397
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 61A","Saint-Hyacinthe",8,9,45,132,5,6,205,323
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 61B","Saint-Hyacinthe",7,4,36,142,4,4,197,342
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 62A","Saint-Hyacinthe",19,17,82,229,14,7,368,538
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 62B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,10
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 63","Saint-Hyacinthe",9,21,46,140,9,6,231,426
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 64","Saint-Hyacinthe",13,21,59,131,7,4,235,364
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 65","Saint-Hyacinthe",19,18,40,113,4,5,199,385
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 66","Saint-Hyacinthe",10,31,37,117,5,4,204,369
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 67","Saint-Hyacinthe",16,14,64,158,14,1,267,396
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 68","Saint-Hyacinthe",7,34,49,107,3,0,200,369
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 69","Saint-Hyacinthe",10,23,43,113,6,0,195,297
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 70","Saint-Hyacinthe",11,25,40,115,7,0,198,371
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 71","Saint-Hyacinthe",11,21,61,140,8,2,243,383
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 72","Saint-Hyacinthe",21,26,86,199,4,2,338,480
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 73","Saint-Hyacinthe",27,17,63,227,18,1,353,496
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 74","Saint-Hyacinthe",16,19,81,202,16,6,340,475
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 75","Saint-Hyacinthe",13,26,55,157,6,4,261,394
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 76","Saint-Hyacinthe",19,28,68,126,11,8,260,393
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 77","Saint-Hyacinthe",11,18,41,152,11,5,238,352
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 78A","Saint-Hyacinthe",17,25,91,194,9,4,340,543
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 78B","Saint-Hyacinthe",1,22,50,20,5,3,101,78
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 79A","Saint-Hyacinthe",17,23,44,163,10,2,259,396
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 79B","Saint-Hyacinthe",17,22,60,129,10,1,239,383
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 80","Saint-Hyacinthe",12,26,102,131,15,4,290,461
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 81A","Saint-Hyacinthe",8,26,51,115,9,2,211,426
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 81B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,,51
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 82","Saint-Hyacinthe",12,19,30,132,2,0,195,379
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 83","Saint-Hyacinthe",14,23,42,140,13,3,235,433
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 84","Saint-Hyacinthe",11,15,36,155,7,4,228,453
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 85","Saint-Hyacinthe",9,11,12,67,12,2,113,233
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 86","Saint-Hyacinthe",7,13,21,94,2,6,143,312
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 87","Saint-Hyacinthe",7,16,24,131,8,3,189,417
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 88","Saint-Hyacinthe",8,23,30,100,9,1,171,359
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 89","Saint-Hyacinthe",9,13,15,61,4,4,106,307
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 90","Saint-Hyacinthe",16,20,38,117,5,3,199,490
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 91","Saint-Hyacinthe",15,21,32,123,5,2,198,461
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 92","Saint-Hyacinthe",Void/Supprimé,,,,,,,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 93","Saint-Hyacinthe",17,13,20,105,10,3,168,352
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 94","Saint-Hyacinthe",12,27,29,110,3,0,181,371
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 95A","Saint-Hyacinthe",12,19,45,88,1,4,169,360
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 95B","Saint-Hyacinthe",10,28,51,83,1,3,176,365
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 96","Saint-Hyacinthe",8,6,34,97,7,1,153,317
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 97","Saint-Hyacinthe",11,19,64,114,7,0,215,341
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 98","Saint-Hyacinthe",13,28,33,95,7,1,177,357
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 99","Saint-Hyacinthe",6,29,62,110,3,1,211,331
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 100","Saint-Hyacinthe",9,16,52,119,9,7,212,463
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 101","Saint-Hyacinthe",10,16,59,120,7,7,219,445
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 102","Saint-Hyacinthe",15,34,58,116,6,4,233,376
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 103","Saint-Hyacinthe",17,21,46,110,10,2,206,343
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 104","Saint-Hyacinthe",14,13,32,116,8,7,190,368
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 105","Saint-Hyacinthe",12,18,47,139,12,5,233,404
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 106","Saint-Hyacinthe",7,18,57,138,9,7,236,346
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 107","Saint-Hyacinthe",8,10,51,125,4,3,201,343
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 108","Saint-Hyacinthe",14,19,46,121,8,4,212,347
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 109","Saint-Hyacinthe",11,25,64,181,12,3,296,523
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 110","Saint-Hyacinthe",9,31,64,113,6,5,228,386
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 111","Saint-Hyacinthe",16,29,56,123,13,3,240,446
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 112","Saint-Hyacinthe",19,17,34,108,5,1,184,346
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 113","Saint-Hyacinthe",15,23,29,110,15,3,195,391
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 114A","Saint-Hyacinthe",9,13,9,52,3,0,86,125
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 114B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,47
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 115A","Saint-Hyacinthe",11,14,30,98,6,3,162,288
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 115B","Mobile poll/Bureau itinérant",Merged with No. 78B/Fusionné avec le nº 78B,,,,,,,43
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 116","Saint-Hyacinthe",16,31,64,130,8,6,255,394
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 117","Saint-Hyacinthe",11,16,29,106,11,2,175,294
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 118","Saint-Hyacinthe",12,11,31,96,6,0,156,249
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 119","Saint-Hyacinthe",13,17,34,91,7,1,163,281
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 120","Saint-Hyacinthe",6,15,41,91,13,0,166,303
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 121","Saint-Hyacinthe",7,10,45,89,6,4,161,282
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 122","Saint-Hyacinthe",17,18,43,73,9,3,163,297
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 123","Saint-Hyacinthe",16,19,39,130,13,7,224,400
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 124","Saint-Hyacinthe",8,25,45,146,5,4,233,377
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 125","Saint-Hyacinthe",16,21,53,147,7,3,247,387
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 126","Saint-Hyacinthe",13,29,55,182,10,10,299,412
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 127","Saint-Hyacinthe",19,13,66,230,12,5,345,526
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 128","Saint-Hyacinthe",8,19,51,105,11,5,199,310
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 129A","Saint-Hyacinthe",9,16,27,137,10,6,205,306
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 129B","Saint-Hyacinthe",13,12,36,124,11,2,198,319
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 130","Saint-Hyacinthe",14,17,74,224,11,2,342,483
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 131","Saint-Hyacinthe",13,25,49,175,14,12,288,432
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 132","La Présentation",22,20,93,183,11,3,332,522
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 133A","La Présentation",11,19,52,112,11,4,209,344
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 133B","La Présentation",9,18,64,115,6,2,214,324
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 134","La Présentation",16,19,74,117,11,0,237,374
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 135","Saint-Thomas-d'Aquin",15,22,52,146,14,6,255,390
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 136","Saint-Hyacinthe-le-Confesseur",10,8,42,79,3,1,143,300
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 137","Saint-Hyacinthe-le-Confesseur",12,8,30,106,10,2,168,281
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 138","Saint-Thomas-d'Aquin",25,36,100,181,12,4,358,537
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 139","Saint-Thomas-d'Aquin",16,18,85,157,7,4,287,417
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 140","Saint-Thomas-d'Aquin",16,20,114,228,5,9,392,546
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 141A","Saint-Thomas-d'Aquin",12,17,47,111,3,2,192,307
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 141B","Saint-Thomas-d'Aquin",11,15,83,160,9,1,279,461
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 141C","Saint-Thomas-d'Aquin",16,11,60,127,12,5,231,388
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 142","Saint-Thomas-d'Aquin",Void/Supprimé,,,,,,,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 143","Saint-Thomas-d'Aquin",Void/Supprimé,,,,,,,
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 144A","Sainte-Madeleine",14,15,51,115,4,9,208,349
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 144B","Sainte-Madeleine",7,9,53,124,8,6,207,332
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 145","Sainte-Madeleine",16,17,60,141,7,4,245,438
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 146A","Sainte-Madeleine",15,14,40,106,4,1,180,303
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 146B","Sainte-Madeleine",11,9,36,119,11,2,188,313
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 147","Sainte-Marie-Madeleine",11,20,45,197,11,13,297,500
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 148","Sainte-Marie-Madeleine",20,23,52,221,15,7,338,550
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 149","Sainte-Marie-Madeleine",21,20,33,134,7,6,221,346
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 150A","Sainte-Marie-Madeleine",7,18,41,118,14,3,201,319
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 150B","Sainte-Marie-Madeleine",10,12,51,104,14,5,196,311
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 151","Saint-Damase",17,22,83,162,6,1,291,432
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 152","Saint-Damase",13,22,58,99,10,6,208,312
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 153","Saint-Damase",9,24,59,143,3,4,242,345
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 154","Saint-Damase",19,23,70,146,9,4,271,385
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 155","Saint-Damase",18,30,72,137,17,4,278,409
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 156","Saint-Dominique",15,21,55,128,15,2,236,385
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 157","Saint-Dominique",14,8,58,123,10,5,218,341
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 158A","Saint-Dominique",9,10,42,136,7,4,208,332
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 158B","Saint-Dominique",9,10,31,105,7,5,167,270
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 159","Saint-Dominique",6,14,69,120,16,3,228,343
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 160","Saint-Hyacinthe-le-Confesseur",8,11,60,115,7,2,203,320
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 161","Notre-Dame-de-Saint-Hyacinthe",12,21,71,158,9,4,275,433
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 162A","Notre-Dame-de-Saint-Hyacinthe",8,15,33,85,5,2,148,252
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 162B","Notre-Dame-de-Saint-Hyacinthe",11,10,40,156,10,8,235,394
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 163","Saint-Pie",5,22,63,152,18,8,268,427
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 164A","Saint-Pie",13,9,54,111,5,8,200,305
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 164B","Saint-Pie",16,10,43,145,2,0,216,327
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 165","Saint-Pie",16,22,56,159,6,7,266,463
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 166","Saint-Pie",13,31,61,116,10,4,235,358
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 167","Saint-Pie",35,38,88,217,11,12,401,596
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 168A","Saint-Pie",10,26,52,101,6,1,196,330
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 168B","Saint-Pie",8,23,25,120,8,3,187,342
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 169","Saint-Pie",7,15,55,111,7,7,202,311
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 170","Saint-Valérien-de-Milton",27,43,96,116,12,3,297,469
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 171","Saint-Valérien-de-Milton",10,21,66,116,8,3,224,346
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 172","Saint-Valérien-de-Milton",15,40,105,128,13,8,309,451
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 173","Roxton Falls",11,12,74,73,3,3,176,338
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 174","Roxton Falls",14,13,59,94,8,11,199,382
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 175","Roxton Falls",11,29,87,85,8,6,226,431
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 176","Roxton",17,23,89,85,21,7,242,379
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 177","Roxton",15,23,65,66,13,3,185,308
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 178","Béthanie",21,12,52,82,13,2,182,263
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 400","Saint-Hyacinthe",1,25,21,34,5,8,94,458
"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 401","Saint-Hyacinthe",2,40,42,61,7,5,157,180
