Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alice Brown,Gordon Campbell,Will Hansma,Colin Mayes,Harry Naegel,Neville O'Grady,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Okanagan--Shuswap/Okanagan--Shuswap"," 39","Salmon Arm--Lakeshore",60,0,68,90,11,0,0,0,229,374
"Okanagan--Shuswap/Okanagan--Shuswap"," 40","Canoe",57,1,38,74,3,0,0,0,173,326
"Okanagan--Shuswap/Okanagan--Shuswap"," 41","Salmon Arm--Lakeshore",70,1,46,75,4,0,0,0,196,325
"Okanagan--Shuswap/Okanagan--Shuswap"," 42A","Salmon Arm",46,1,32,64,9,0,0,0,152,227
"Okanagan--Shuswap/Okanagan--Shuswap"," 42B","Salmon Arm",50,0,30,66,8,0,1,0,155,277
"Okanagan--Shuswap/Okanagan--Shuswap"," 43A","Salmon Arm",61,2,40,75,5,0,1,0,184,346
"Okanagan--Shuswap/Okanagan--Shuswap"," 43B","Salmon Arm",42,2,41,85,9,0,0,1,180,339
"Okanagan--Shuswap/Okanagan--Shuswap"," 44A","Salmon Arm",23,0,29,56,6,1,0,1,116,227
"Okanagan--Shuswap/Okanagan--Shuswap"," 44B","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,,,,34
"Okanagan--Shuswap/Okanagan--Shuswap"," 45A","Salmon Arm",50,1,38,59,3,0,3,0,154,263
"Okanagan--Shuswap/Okanagan--Shuswap"," 45B","Salmon Arm",37,2,41,75,10,0,0,0,165,272
"Okanagan--Shuswap/Okanagan--Shuswap"," 46A","Salmon Arm",41,0,24,45,4,0,0,0,114,234
"Okanagan--Shuswap/Okanagan--Shuswap"," 46B","Salmon Arm",38,2,19,53,8,0,0,0,120,234
"Okanagan--Shuswap/Okanagan--Shuswap"," 47A","Salmon Arm",40,1,37,79,4,0,0,0,161,236
"Okanagan--Shuswap/Okanagan--Shuswap"," 47B","Salmon Arm",38,1,30,67,7,0,0,0,143,235
"Okanagan--Shuswap/Okanagan--Shuswap"," 48","Salmon Arm",72,0,38,49,7,0,0,1,167,399
"Okanagan--Shuswap/Okanagan--Shuswap"," 49","Salmon Arm",52,0,42,62,7,0,1,0,164,389
"Okanagan--Shuswap/Okanagan--Shuswap"," 50","Salmon Arm",80,2,46,66,13,0,1,2,210,443
"Okanagan--Shuswap/Okanagan--Shuswap"," 51","Salmon Arm",44,1,77,107,12,0,2,0,243,398
"Okanagan--Shuswap/Okanagan--Shuswap"," 52","Salmon Arm",70,0,66,135,17,0,1,0,289,468
"Okanagan--Shuswap/Okanagan--Shuswap"," 53A","Salmon Arm",27,0,36,66,5,0,1,0,135,257
"Okanagan--Shuswap/Okanagan--Shuswap"," 53B","Salmon Arm",39,0,24,74,7,0,0,0,144,269
"Okanagan--Shuswap/Okanagan--Shuswap"," 54","Salmon Arm",76,0,34,84,6,0,2,0,202,414
"Okanagan--Shuswap/Okanagan--Shuswap"," 55","Salmon Arm",80,2,65,126,6,0,1,1,281,464
"Okanagan--Shuswap/Okanagan--Shuswap"," 56","Salmon Arm",69,1,56,115,9,0,0,0,250,446
"Okanagan--Shuswap/Okanagan--Shuswap"," 57","Salmon Arm",19,0,17,42,7,1,0,0,86,164
"Okanagan--Shuswap/Okanagan--Shuswap"," 58","Salmon Arm",51,3,53,79,7,1,0,0,194,395
"Okanagan--Shuswap/Okanagan--Shuswap"," 59A","Salmon Arm",27,1,32,65,6,0,1,0,132,238
"Okanagan--Shuswap/Okanagan--Shuswap"," 59B","Salmon Arm",43,3,36,52,7,0,0,0,141,268
"Okanagan--Shuswap/Okanagan--Shuswap"," 60","Salmon Arm",78,3,44,103,9,0,0,0,237,447
"Okanagan--Shuswap/Okanagan--Shuswap"," 61","Silver Creek",70,0,56,125,13,0,2,6,272,417
"Okanagan--Shuswap/Okanagan--Shuswap"," 62","Gardom Lake",88,2,56,125,23,1,1,0,296,459
"Okanagan--Shuswap/Okanagan--Shuswap"," 63A","Ranchero",74,1,44,116,6,1,3,0,245,453
"Okanagan--Shuswap/Okanagan--Shuswap"," 63B","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,,,,12
"Okanagan--Shuswap/Okanagan--Shuswap"," 64A","Falkland",59,1,27,84,7,2,1,1,182,299
"Okanagan--Shuswap/Okanagan--Shuswap"," 64B","Falkland",54,2,40,66,13,0,5,1,181,308
"Okanagan--Shuswap/Okanagan--Shuswap"," 65","Yankee Flats",69,2,36,84,8,2,2,2,205,362
"Okanagan--Shuswap/Okanagan--Shuswap"," 66A","Deep Creek",56,2,36,77,14,0,2,0,187,309
"Okanagan--Shuswap/Okanagan--Shuswap"," 66B","Deep Creek",49,1,45,78,7,0,2,0,182,312
"Okanagan--Shuswap/Okanagan--Shuswap"," 67","Glenemma",41,0,48,95,7,0,1,0,192,327
"Okanagan--Shuswap/Okanagan--Shuswap"," 68","Enderby 2--Salmon River 1",44,4,22,14,4,0,2,0,90,196
"Okanagan--Shuswap/Okanagan--Shuswap"," 69","Grandview Bench",67,3,49,113,14,3,0,0,249,487
"Okanagan--Shuswap/Okanagan--Shuswap"," 70","Mara",51,1,31,67,8,0,1,0,159,316
"Okanagan--Shuswap/Okanagan--Shuswap"," 71","Grindrod",67,0,56,138,17,0,0,0,278,431
"Okanagan--Shuswap/Okanagan--Shuswap"," 72","Kingfisher",39,1,20,39,3,2,0,3,107,233
"Okanagan--Shuswap/Okanagan--Shuswap"," 73","Enderby",70,2,41,93,4,1,0,0,211,355
"Okanagan--Shuswap/Okanagan--Shuswap"," 74","Ashton Creek",73,3,47,97,13,0,2,1,236,419
"Okanagan--Shuswap/Okanagan--Shuswap"," 75","Mabel Lake",33,2,20,41,10,0,1,0,107,176
"Okanagan--Shuswap/Okanagan--Shuswap"," 76","Enderby West",60,3,35,108,6,0,2,0,214,355
"Okanagan--Shuswap/Okanagan--Shuswap"," 77","Enderby",69,2,61,115,4,1,0,0,252,447
"Okanagan--Shuswap/Okanagan--Shuswap"," 78A","Enderby",47,1,20,74,3,0,1,1,147,265
"Okanagan--Shuswap/Okanagan--Shuswap"," 78B","Enderby",43,3,28,81,4,2,1,0,162,260
"Okanagan--Shuswap/Okanagan--Shuswap"," 79","Enderby",61,5,40,81,8,0,2,0,197,424
"Okanagan--Shuswap/Okanagan--Shuswap"," 80A","Enderby",37,2,25,69,6,0,1,0,140,239
"Okanagan--Shuswap/Okanagan--Shuswap"," 80B","Enderby",37,3,24,50,7,0,2,2,125,240
"Okanagan--Shuswap/Okanagan--Shuswap"," 81","Spallumcheen--Hullcar",50,1,56,122,9,0,3,0,241,426
"Okanagan--Shuswap/Okanagan--Shuswap"," 82","Spallumcheen",53,1,53,161,7,2,3,0,280,452
"Okanagan--Shuswap/Okanagan--Shuswap"," 83A","Spallumcheen",24,1,40,78,2,0,1,1,147,243
"Okanagan--Shuswap/Okanagan--Shuswap"," 83B","Spallumcheen",30,1,47,67,3,0,0,0,148,245
"Okanagan--Shuswap/Okanagan--Shuswap"," 84A","Spallumcheen",40,1,29,54,4,0,0,0,128,272
"Okanagan--Shuswap/Okanagan--Shuswap"," 84B","Spallumcheen",36,2,24,89,9,0,1,1,162,280
"Okanagan--Shuswap/Okanagan--Shuswap"," 85","Spallumcheen",55,1,46,114,16,0,2,1,235,417
"Okanagan--Shuswap/Okanagan--Shuswap"," 86","Spallumcheen--Otter Lake",43,2,25,132,12,1,1,1,217,409
"Okanagan--Shuswap/Okanagan--Shuswap"," 87","Spallumcheen",49,2,59,128,8,1,2,2,251,463
"Okanagan--Shuswap/Okanagan--Shuswap"," 88","Spallumcheen",44,0,58,102,6,0,0,0,210,399
"Okanagan--Shuswap/Okanagan--Shuswap"," 89A","Armstrong",44,0,21,66,7,0,0,0,138,293
"Okanagan--Shuswap/Okanagan--Shuswap"," 89B","Armstrong",40,2,26,67,4,0,1,0,140,291
"Okanagan--Shuswap/Okanagan--Shuswap"," 90A","Armstrong",66,0,44,64,5,0,1,0,180,303
"Okanagan--Shuswap/Okanagan--Shuswap"," 90B","Armstrong",63,0,28,63,4,1,1,0,160,310
"Okanagan--Shuswap/Okanagan--Shuswap"," 91A","Armstrong",44,2,36,65,7,1,1,1,157,270
"Okanagan--Shuswap/Okanagan--Shuswap"," 91B","Armstrong",44,0,31,55,8,0,1,0,139,276
"Okanagan--Shuswap/Okanagan--Shuswap"," 92","Armstrong",38,1,29,67,3,1,1,0,140,301
"Okanagan--Shuswap/Okanagan--Shuswap"," 93A","Armstrong",58,1,28,42,2,0,1,1,133,256
"Okanagan--Shuswap/Okanagan--Shuswap"," 93B","Armstrong",38,0,28,73,1,1,1,0,142,266
"Okanagan--Shuswap/Okanagan--Shuswap"," 94","Armstrong",40,0,45,77,3,0,0,2,167,340
"Okanagan--Shuswap/Okanagan--Shuswap"," 95","Armstrong",43,0,64,123,5,2,1,0,238,402
"Okanagan--Shuswap/Okanagan--Shuswap"," 96A","Six Mile Creek",45,4,41,64,6,0,1,2,163,289
"Okanagan--Shuswap/Okanagan--Shuswap"," 96B","Six Mile Creek",54,2,91,54,3,0,2,0,206,311
"Okanagan--Shuswap/Okanagan--Shuswap"," 97","Head of the Lake",104,3,99,118,11,0,2,0,337,595
"Okanagan--Shuswap/Okanagan--Shuswap"," 98","Desert Cove",72,0,61,144,4,1,2,2,286,431
"Okanagan--Shuswap/Okanagan--Shuswap"," 99A","Goose Lake",52,0,24,69,8,0,0,0,153,272
"Okanagan--Shuswap/Okanagan--Shuswap"," 99B","Goose Lake",37,1,36,69,9,0,1,0,153,280
"Okanagan--Shuswap/Okanagan--Shuswap"," 100","Swan Lake",63,2,62,118,8,0,0,2,255,440
"Okanagan--Shuswap/Okanagan--Shuswap"," 101","Cools",40,0,36,95,5,1,5,2,184,328
"Okanagan--Shuswap/Okanagan--Shuswap"," 102","Swan Lake",59,0,29,96,9,1,3,1,198,374
"Okanagan--Shuswap/Okanagan--Shuswap"," 103","Vernon",67,3,53,108,8,0,0,0,239,398
"Okanagan--Shuswap/Okanagan--Shuswap"," 104","Vernon",37,0,39,90,12,2,1,0,181,289
"Okanagan--Shuswap/Okanagan--Shuswap"," 105","Vernon",53,2,53,102,11,0,3,0,224,370
"Okanagan--Shuswap/Okanagan--Shuswap"," 106A","Vernon",35,1,60,92,2,0,1,0,191,326
"Okanagan--Shuswap/Okanagan--Shuswap"," 106B","Vernon",40,0,43,89,2,0,0,0,174,322
"Okanagan--Shuswap/Okanagan--Shuswap"," 107","Kedleston",76,4,71,125,18,3,4,0,301,475
"Okanagan--Shuswap/Okanagan--Shuswap"," 108A","Silver Star",39,0,28,60,13,1,1,0,142,274
"Okanagan--Shuswap/Okanagan--Shuswap"," 108B","Silver Star",32,0,35,58,11,1,0,0,137,255
"Okanagan--Shuswap/Okanagan--Shuswap"," 109","Vernon",48,1,47,110,11,0,4,1,222,424
"Okanagan--Shuswap/Okanagan--Shuswap"," 110","Vernon",62,0,48,113,14,0,1,1,239,454
