Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yurgo Alexopoulos,Maurizio Bevilacqua,Paolo Fabrizio,Richard Majkot,Adrian Visentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vaughan/Vaughan"," 22B","Vaughan",3,189,2,2,2,1,199,370
"Vaughan/Vaughan"," 23","Vaughan",31,217,8,60,6,2,324,579
"Vaughan/Vaughan"," 24","Vaughan",20,141,3,66,10,2,242,443
"Vaughan/Vaughan"," 25","Vaughan",25,165,5,58,9,2,264,432
"Vaughan/Vaughan"," 26","Vaughan",24,177,3,80,17,1,302,513
"Vaughan/Vaughan"," 27","Vaughan",9,160,3,53,8,4,237,399
"Vaughan/Vaughan"," 28","Vaughan",31,213,1,98,17,2,362,597
"Vaughan/Vaughan"," 29","Vaughan",45,149,4,73,15,3,289,490
"Vaughan/Vaughan"," 30","Vaughan",25,117,3,47,10,0,202,373
"Vaughan/Vaughan"," 31","Vaughan",30,126,3,69,17,5,250,444
"Vaughan/Vaughan"," 32","Vaughan",14,118,1,53,3,0,189,339
"Vaughan/Vaughan"," 33A","Vaughan",36,124,10,57,1,2,230,421
"Vaughan/Vaughan"," 33B","Vaughan",28,143,6,66,14,4,261,493
"Vaughan/Vaughan"," 34A","Vaughan",25,118,1,43,5,1,193,359
"Vaughan/Vaughan"," 34B","Vaughan",20,118,0,31,10,1,180,344
"Vaughan/Vaughan"," 35","Vaughan",46,133,4,90,10,1,284,567
"Vaughan/Vaughan"," 36","Vaughan",37,152,4,79,17,0,289,540
"Vaughan/Vaughan"," 37","Vaughan",36,210,5,59,16,0,326,535
"Vaughan/Vaughan"," 38","Vaughan",38,166,8,63,21,1,297,464
"Vaughan/Vaughan"," 39","Vaughan",22,179,0,36,6,6,249,393
"Vaughan/Vaughan"," 40","Vaughan",18,130,2,63,11,1,225,414
"Vaughan/Vaughan"," 41","Vaughan",36,155,4,117,31,5,348,564
"Vaughan/Vaughan"," 42","Vaughan",24,179,2,56,11,0,272,415
"Vaughan/Vaughan"," 43","Vaughan",20,148,8,72,12,1,261,411
"Vaughan/Vaughan"," 44A","Vaughan",27,152,3,65,11,1,259,543
"Vaughan/Vaughan"," 44B","Vaughan",37,161,5,68,4,3,278,530
"Vaughan/Vaughan"," 45","Vaughan",19,199,2,61,10,0,291,451
"Vaughan/Vaughan"," 46","Vaughan",31,219,6,83,11,0,350,553
"Vaughan/Vaughan"," 47","Vaughan",28,107,1,71,16,0,223,339
"Vaughan/Vaughan"," 48","Vaughan",26,186,2,49,9,4,276,503
"Vaughan/Vaughan"," 49","Vaughan",46,168,6,55,18,1,294,504
"Vaughan/Vaughan"," 50","Vaughan",41,206,1,61,11,3,323,494
"Vaughan/Vaughan"," 51","Vaughan",27,167,2,72,23,0,291,482
"Vaughan/Vaughan"," 52","Vaughan",23,163,5,72,11,1,275,394
"Vaughan/Vaughan"," 53","Vaughan",19,192,2,80,30,1,324,561
"Vaughan/Vaughan"," 54","Vaughan",34,240,2,78,17,3,374,557
"Vaughan/Vaughan"," 55","Vaughan",19,163,0,45,14,3,244,340
"Vaughan/Vaughan"," 56","Vaughan",15,144,3,37,7,7,213,352
"Vaughan/Vaughan"," 57","Vaughan",27,154,2,45,20,0,248,343
"Vaughan/Vaughan"," 58","Vaughan",33,214,5,71,17,3,343,511
"Vaughan/Vaughan"," 59","Vaughan",28,166,2,94,20,2,312,497
"Vaughan/Vaughan"," 60","Vaughan",20,245,3,78,24,3,373,572
"Vaughan/Vaughan"," 61","Vaughan",31,176,0,66,9,4,286,505
"Vaughan/Vaughan"," 61-1","Vaughan",22,235,15,52,9,13,346,489
"Vaughan/Vaughan"," 62","Vaughan",32,163,3,65,11,3,277,474
"Vaughan/Vaughan"," 63","Vaughan",39,143,4,99,15,1,301,528
"Vaughan/Vaughan"," 64","Vaughan",Void/Supprimé,,,,,,,
"Vaughan/Vaughan"," 65A","Vaughan",33,128,7,53,9,4,234,408
"Vaughan/Vaughan"," 65B","Vaughan",34,139,4,79,7,0,263,455
"Vaughan/Vaughan"," 65C","Vaughan",10,89,2,61,6,0,168,310
"Vaughan/Vaughan"," 66A","Vaughan",20,111,3,52,7,1,194,324
"Vaughan/Vaughan"," 66B","Vaughan",36,191,5,77,17,3,329,535
"Vaughan/Vaughan"," 66C","Vaughan",29,189,5,65,11,0,299,574
"Vaughan/Vaughan"," 66D","Vaughan",8,146,6,58,6,1,225,400
"Vaughan/Vaughan"," 66E","Vaughan",13,153,4,59,11,3,243,391
"Vaughan/Vaughan"," 66F","Vaughan",32,221,7,74,10,4,348,594
"Vaughan/Vaughan"," 67","Vaughan",15,124,4,52,7,1,203,343
"Vaughan/Vaughan"," 68","Vaughan",25,101,2,37,4,5,174,326
"Vaughan/Vaughan"," 69A","Vaughan",22,147,6,47,11,0,233,399
"Vaughan/Vaughan"," 69B","Vaughan",32,122,5,69,4,2,234,419
"Vaughan/Vaughan"," 70A","Vaughan",35,159,3,77,5,2,281,540
"Vaughan/Vaughan"," 70B","Vaughan",26,134,3,78,7,1,249,532
"Vaughan/Vaughan"," 71","Vaughan",28,174,2,88,11,0,303,544
"Vaughan/Vaughan"," 72","Vaughan",26,147,6,79,7,1,266,449
"Vaughan/Vaughan"," 73","Vaughan",30,171,2,101,18,2,324,523
"Vaughan/Vaughan"," 74","Vaughan",39,182,1,84,12,5,323,580
"Vaughan/Vaughan"," 75","Vaughan",30,145,2,53,11,0,241,413
"Vaughan/Vaughan"," 76","Vaughan",21,196,4,69,12,0,302,513
"Vaughan/Vaughan"," 76-1A","Vaughan",28,98,2,46,7,2,183,363
"Vaughan/Vaughan"," 76-1B","Vaughan",15,104,5,61,3,1,189,393
"Vaughan/Vaughan"," 77A","Vaughan",19,76,3,79,7,3,187,343
"Vaughan/Vaughan"," 77B","Vaughan",17,114,5,45,4,0,185,358
"Vaughan/Vaughan"," 78","Vaughan",37,162,3,64,15,0,281,506
"Vaughan/Vaughan"," 79","Vaughan",20,128,2,56,10,1,217,375
"Vaughan/Vaughan"," 80","Vaughan",26,132,3,86,19,1,267,469
"Vaughan/Vaughan"," 81","Vaughan",14,121,4,79,11,0,229,369
"Vaughan/Vaughan"," 82","Vaughan",23,174,3,85,16,3,304,499
"Vaughan/Vaughan"," 83","Vaughan",33,186,2,88,19,0,328,528
"Vaughan/Vaughan"," 84A","Vaughan",19,123,1,54,10,1,208,330
"Vaughan/Vaughan"," 84B","Vaughan",19,133,5,58,9,1,225,334
"Vaughan/Vaughan"," 85","Vaughan",19,153,6,79,17,0,274,474
"Vaughan/Vaughan"," 86","Vaughan",29,177,2,83,12,2,305,549
"Vaughan/Vaughan"," 87","Vaughan",29,163,3,63,4,1,263,436
"Vaughan/Vaughan"," 88","Vaughan",28,182,4,57,13,3,287,511
"Vaughan/Vaughan"," 89","Vaughan",15,234,4,119,13,3,388,591
"Vaughan/Vaughan"," 90","Vaughan",26,126,2,79,13,5,251,410
"Vaughan/Vaughan"," 91","Vaughan",19,151,0,73,8,5,256,408
"Vaughan/Vaughan"," 92","Vaughan",40,184,3,84,11,0,322,525
"Vaughan/Vaughan"," 93","Vaughan",19,122,2,55,10,0,208,419
"Vaughan/Vaughan"," 94","Vaughan",21,170,1,54,7,2,255,417
"Vaughan/Vaughan"," 95","Vaughan",21,188,3,54,9,2,277,493
"Vaughan/Vaughan"," 96","Vaughan",20,122,2,98,16,0,258,419
"Vaughan/Vaughan"," 97","Vaughan",27,157,5,87,12,4,292,460
"Vaughan/Vaughan"," 98","Vaughan",8,59,1,49,14,0,131,238
"Vaughan/Vaughan"," 99","Vaughan",25,142,3,51,8,1,230,343
"Vaughan/Vaughan"," 100","Vaughan",13,121,3,36,6,2,181,300
"Vaughan/Vaughan"," 101","Vaughan",19,144,4,53,12,6,238,450
"Vaughan/Vaughan"," 102","Vaughan",12,122,1,84,20,0,239,416
"Vaughan/Vaughan"," 103","Vaughan",14,157,2,54,3,2,232,366
"Vaughan/Vaughan"," 104","Vaughan",8,151,4,24,3,0,190,319
"Vaughan/Vaughan"," 105","Vaughan",19,205,3,48,2,3,280,428
"Vaughan/Vaughan"," 106","Vaughan",27,191,3,55,12,3,291,509
"Vaughan/Vaughan"," 107","Vaughan",21,147,3,34,6,2,213,336
"Vaughan/Vaughan"," 108","Vaughan",13,141,5,46,6,3,214,371
"Vaughan/Vaughan"," 109","Vaughan",12,177,3,75,11,2,280,411
"Vaughan/Vaughan"," 110","Vaughan",32,193,7,42,9,3,286,485
"Vaughan/Vaughan"," 111","Vaughan",25,196,3,71,5,4,304,500
"Vaughan/Vaughan"," 112","Vaughan",10,121,2,34,10,1,178,317
"Vaughan/Vaughan"," 113","Vaughan",15,140,0,32,4,0,191,278
"Vaughan/Vaughan"," 114","Vaughan",16,118,1,60,9,2,206,326
"Vaughan/Vaughan"," 115","Vaughan",17,130,1,27,7,3,185,351
"Vaughan/Vaughan"," 116","Vaughan",18,143,4,35,5,8,213,358
"Vaughan/Vaughan"," 117","Vaughan",17,118,0,55,10,0,200,418
"Vaughan/Vaughan"," 118","Vaughan",19,157,2,53,7,4,242,383
"Vaughan/Vaughan"," 119","Vaughan",16,203,2,59,23,2,305,488
"Vaughan/Vaughan"," 120","Vaughan",11,129,1,45,7,0,193,384
"Vaughan/Vaughan"," 121","Vaughan",27,201,1,86,20,2,337,530
"Vaughan/Vaughan"," 122","Vaughan",20,216,4,97,18,2,357,555
"Vaughan/Vaughan"," 123","Vaughan",15,191,1,78,14,5,304,461
"Vaughan/Vaughan"," 124","Vaughan",9,193,2,74,10,4,292,488
"Vaughan/Vaughan"," 125","Vaughan",10,141,1,81,13,0,246,399
"Vaughan/Vaughan"," 126","Vaughan",20,149,2,83,29,1,284,514
"Vaughan/Vaughan"," 127","Vaughan",10,153,2,92,18,1,276,419
"Vaughan/Vaughan"," 128","Vaughan",14,150,2,95,27,2,290,499
"Vaughan/Vaughan"," 129A","Vaughan",6,139,1,56,8,1,211,325
"Vaughan/Vaughan"," 129B","Vaughan",5,98,1,73,13,0,190,303
"Vaughan/Vaughan"," 130","Vaughan",12,127,2,111,10,1,263,534
"Vaughan/Vaughan"," 131","Vaughan",19,121,3,66,11,2,222,380
"Vaughan/Vaughan"," 132","Vaughan",26,138,1,50,11,2,228,343
"Vaughan/Vaughan"," 133","Vaughan",32,180,1,90,25,5,333,487
"Vaughan/Vaughan"," 134","Vaughan",25,152,4,42,9,0,232,414
"Vaughan/Vaughan"," 135","Vaughan",11,120,0,64,10,0,205,360
"Vaughan/Vaughan"," 136","Vaughan",6,177,1,54,19,0,257,378
"Vaughan/Vaughan"," 137","Vaughan",9,156,2,69,11,1,248,443
"Vaughan/Vaughan"," 138","Vaughan",15,172,0,89,22,2,300,429
"Vaughan/Vaughan"," 139","Vaughan",17,139,2,65,17,2,242,404
"Vaughan/Vaughan"," 140","Vaughan",12,157,1,66,15,0,251,444
"Vaughan/Vaughan"," 141","Vaughan",16,89,0,63,10,2,180,304
"Vaughan/Vaughan"," 142","Vaughan",11,86,1,71,18,1,188,288
"Vaughan/Vaughan"," 143","Vaughan",18,109,4,77,21,1,230,412
"Vaughan/Vaughan"," 144","Vaughan",24,70,1,49,8,1,153,305
"Vaughan/Vaughan"," 145","Vaughan",18,102,0,57,30,1,208,401
"Vaughan/Vaughan"," 146","Vaughan",14,136,4,68,11,6,239,467
"Vaughan/Vaughan"," 147","Vaughan",8,141,0,35,17,3,204,349
"Vaughan/Vaughan"," 148","Vaughan",17,190,6,62,9,2,286,431
"Vaughan/Vaughan"," 149","Vaughan",10,114,0,45,5,2,176,294
"Vaughan/Vaughan"," 150","Vaughan",23,162,4,58,8,6,261,424
"Vaughan/Vaughan"," 151","Vaughan",16,139,3,67,8,2,235,396
"Vaughan/Vaughan"," 152","Vaughan",30,153,5,84,16,1,289,465
"Vaughan/Vaughan"," 153A","Vaughan",23,183,5,85,18,0,314,515
"Vaughan/Vaughan"," 153B","Vaughan",18,158,1,76,9,1,263,417
"Vaughan/Vaughan"," 154","Vaughan",12,234,4,58,24,1,333,561
"Vaughan/Vaughan"," 155","Vaughan",21,166,2,90,17,2,298,479
"Vaughan/Vaughan"," 156","Vaughan",21,202,1,108,25,2,359,540
"Vaughan/Vaughan"," 157","Vaughan",6,134,1,93,13,0,247,440
"Vaughan/Vaughan"," 158","Vaughan",12,200,1,72,18,2,305,501
"Vaughan/Vaughan"," 159","Vaughan",18,142,2,61,4,3,230,359
"Vaughan/Vaughan"," 160","Vaughan",16,147,2,50,11,4,230,381
"Vaughan/Vaughan"," 161","Vaughan",14,129,0,54,6,2,205,339
"Vaughan/Vaughan"," 162","Vaughan",12,172,0,69,14,1,268,381
"Vaughan/Vaughan"," 163","Vaughan",27,215,2,57,12,4,317,509
"Vaughan/Vaughan"," 164","Vaughan",18,210,7,46,10,2,293,452
"Vaughan/Vaughan"," 165","Vaughan",23,92,3,26,8,0,152,250
"Vaughan/Vaughan"," 166","Vaughan",33,180,4,46,18,0,281,439
"Vaughan/Vaughan"," 167","Vaughan",21,134,7,63,12,0,237,374
"Vaughan/Vaughan"," 168","Vaughan",28,144,1,77,18,1,269,465
"Vaughan/Vaughan"," 169","Vaughan",14,176,1,44,11,6,252,373
"Vaughan/Vaughan"," 170","Vaughan",10,114,2,49,18,2,195,330
"Vaughan/Vaughan"," 171","Vaughan",28,228,9,42,16,1,324,466
"Vaughan/Vaughan"," 172","Vaughan",34,174,6,63,9,4,290,488
"Vaughan/Vaughan"," 173","Vaughan",27,215,2,56,17,5,322,479
"Vaughan/Vaughan"," 174","Vaughan",19,172,0,46,16,0,253,391
"Vaughan/Vaughan"," 175","Vaughan",Void/Supprimé,,,,,,,
"Vaughan/Vaughan"," 176","Vaughan",35,219,4,66,9,4,337,578
"Vaughan/Vaughan"," 177","Vaughan",12,183,2,39,9,2,247,385
"Vaughan/Vaughan"," 178","Vaughan",16,151,0,42,7,2,218,336
"Vaughan/Vaughan"," 179","Vaughan",21,174,0,43,13,2,253,362
"Vaughan/Vaughan"," 180","Vaughan",31,177,2,52,7,2,271,442
"Vaughan/Vaughan"," 181A","Vaughan",12,107,5,54,10,1,189,395
"Vaughan/Vaughan"," 181B","Vaughan",14,114,0,43,11,1,183,349
"Vaughan/Vaughan"," 182A","Vaughan",18,108,0,45,6,0,177,318
"Vaughan/Vaughan"," 182B","Vaughan",22,81,3,59,18,1,184,346
"Vaughan/Vaughan"," 183","Vaughan",20,170,1,77,8,4,280,441
"Vaughan/Vaughan"," 184","Vaughan",32,182,2,77,12,6,311,454
"Vaughan/Vaughan"," 185","Vaughan",25,214,3,65,10,8,325,507
"Vaughan/Vaughan"," 186","Vaughan",17,184,5,61,9,1,277,454
"Vaughan/Vaughan"," 187","Vaughan",11,129,1,37,13,0,191,281
"Vaughan/Vaughan"," 188","Vaughan",19,187,4,46,13,3,272,438
"Vaughan/Vaughan"," 189","Vaughan",28,107,10,71,14,3,233,456
"Vaughan/Vaughan"," 190","Vaughan",24,224,3,75,15,0,341,546
"Vaughan/Vaughan"," 191","Vaughan",17,172,6,44,11,2,252,362
"Vaughan/Vaughan"," 192A","Vaughan",18,155,5,41,9,5,233,432
"Vaughan/Vaughan"," 192B","Vaughan",22,114,5,48,8,1,198,379
"Vaughan/Vaughan"," 192C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,40
"Vaughan/Vaughan"," 193","Vaughan",12,181,4,53,12,2,264,459
"Vaughan/Vaughan"," 194","Vaughan",19,191,2,66,21,4,303,508
"Vaughan/Vaughan"," 195","Vaughan",17,109,2,38,9,1,176,276
"Vaughan/Vaughan"," 196","Vaughan",23,173,1,80,17,2,296,598
"Vaughan/Vaughan"," 197","Vaughan",12,105,0,31,6,1,155,229
"Vaughan/Vaughan"," 198","Vaughan",8,101,1,56,8,0,174,300
"Vaughan/Vaughan"," 199","Vaughan",21,120,5,23,2,5,176,263
"Vaughan/Vaughan"," 500","Mobile poll/Bureau itinérant",7,49,3,25,0,2,86,116
"Vaughan/Vaughan"," 501","Mobile poll/Bureau itinérant",6,38,0,20,4,1,69,92
"Vaughan/Vaughan"," 600","Vaughan",28,196,3,187,29,0,443,
"Vaughan/Vaughan"," 601","Vaughan",57,438,7,305,43,9,859,
"Vaughan/Vaughan"," 602","Vaughan",42,381,10,169,25,4,631,
"Vaughan/Vaughan"," 603","Vaughan",15,157,6,98,20,2,298,
"Vaughan/Vaughan"," 604","Vaughan",32,282,5,125,17,3,464,
"Vaughan/Vaughan"," 605","Vaughan",35,362,5,281,49,3,735,
"Vaughan/Vaughan"," 606","Vaughan",18,255,3,129,23,2,430,
"Vaughan/Vaughan"," 607","Vaughan",28,200,5,96,14,3,346,
"Vaughan/Vaughan",,Group 1/Groupe 1,7,13,3,10,0,2,35,47
"Vaughan/Vaughan",,Group 2/Groupe 2,25,258,3,119,16,4,425,
