Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Duguid,Eduard Hiebert,Evelyn Myskiw,Joy Smith,Colleen Zobel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kildonan--St. Paul/Kildonan--St. Paul"," 17","Birds Hill",66,1,25,111,8,1,212,324
"Kildonan--St. Paul/Kildonan--St. Paul"," 18","Birds Hill",71,1,40,142,4,1,259,428
"Kildonan--St. Paul/Kildonan--St. Paul"," 19","Birds Hill",53,0,40,84,4,0,181,333
"Kildonan--St. Paul/Kildonan--St. Paul"," 20A","East St. Paul",66,1,19,176,6,1,269,451
"Kildonan--St. Paul/Kildonan--St. Paul"," 20B","East St. Paul",99,1,20,187,5,0,312,449
"Kildonan--St. Paul/Kildonan--St. Paul"," 21A","East St. Paul",49,0,20,78,6,1,154,242
"Kildonan--St. Paul/Kildonan--St. Paul"," 21B","East St. Paul",42,1,21,97,1,0,162,266
"Kildonan--St. Paul/Kildonan--St. Paul"," 22","East St. Paul",67,1,42,159,8,0,277,484
"Kildonan--St. Paul/Kildonan--St. Paul"," 23","East St. Paul",53,1,31,132,12,0,229,422
"Kildonan--St. Paul/Kildonan--St. Paul"," 24A","Winnipeg",170,1,40,82,6,1,300,467
"Kildonan--St. Paul/Kildonan--St. Paul"," 24B","Winnipeg",134,1,31,75,3,2,246,446
"Kildonan--St. Paul/Kildonan--St. Paul"," 25A","Winnipeg",83,4,41,62,6,0,196,380
"Kildonan--St. Paul/Kildonan--St. Paul"," 25B","Winnipeg",64,1,49,77,3,1,195,407
"Kildonan--St. Paul/Kildonan--St. Paul"," 25C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,132
"Kildonan--St. Paul/Kildonan--St. Paul"," 26","Winnipeg",93,0,39,120,3,1,256,491
"Kildonan--St. Paul/Kildonan--St. Paul"," 27","Winnipeg",116,0,57,87,4,0,264,440
"Kildonan--St. Paul/Kildonan--St. Paul"," 28","Winnipeg",60,0,35,51,4,1,151,304
"Kildonan--St. Paul/Kildonan--St. Paul"," 29","Winnipeg",90,0,48,82,3,1,224,472
"Kildonan--St. Paul/Kildonan--St. Paul"," 30","Winnipeg",118,1,47,93,4,2,265,519
"Kildonan--St. Paul/Kildonan--St. Paul"," 31","Winnipeg",83,0,41,64,6,1,195,373
"Kildonan--St. Paul/Kildonan--St. Paul"," 32","Winnipeg",34,0,38,30,5,1,108,297
"Kildonan--St. Paul/Kildonan--St. Paul"," 33","Winnipeg",94,0,53,79,5,2,233,448
"Kildonan--St. Paul/Kildonan--St. Paul"," 34","Winnipeg",103,0,45,70,3,0,221,431
"Kildonan--St. Paul/Kildonan--St. Paul"," 35","Winnipeg",75,3,39,63,6,0,186,351
"Kildonan--St. Paul/Kildonan--St. Paul"," 36","Winnipeg",81,2,47,72,8,6,216,329
"Kildonan--St. Paul/Kildonan--St. Paul"," 37","Winnipeg",95,5,55,66,5,2,228,392
"Kildonan--St. Paul/Kildonan--St. Paul"," 38","Winnipeg",80,2,57,46,3,0,188,333
"Kildonan--St. Paul/Kildonan--St. Paul"," 39","Winnipeg",48,0,35,54,11,0,148,323
"Kildonan--St. Paul/Kildonan--St. Paul"," 40","Winnipeg",82,1,40,78,4,0,205,320
"Kildonan--St. Paul/Kildonan--St. Paul"," 41","Winnipeg",63,1,51,50,9,1,175,325
"Kildonan--St. Paul/Kildonan--St. Paul"," 42","Winnipeg",90,3,37,81,9,0,220,359
"Kildonan--St. Paul/Kildonan--St. Paul"," 43","Winnipeg",69,0,39,46,4,1,159,269
"Kildonan--St. Paul/Kildonan--St. Paul"," 44","Winnipeg",78,5,71,42,6,1,203,413
"Kildonan--St. Paul/Kildonan--St. Paul"," 45","Winnipeg",77,0,26,53,1,0,157,300
"Kildonan--St. Paul/Kildonan--St. Paul"," 46","Winnipeg",88,4,69,68,4,0,233,420
"Kildonan--St. Paul/Kildonan--St. Paul"," 47","Winnipeg",74,1,60,76,6,0,217,377
"Kildonan--St. Paul/Kildonan--St. Paul"," 48","Winnipeg",64,0,30,50,1,1,146,322
"Kildonan--St. Paul/Kildonan--St. Paul"," 49","Winnipeg",56,1,48,47,4,0,156,277
"Kildonan--St. Paul/Kildonan--St. Paul"," 50","Winnipeg",71,0,46,111,8,0,236,370
"Kildonan--St. Paul/Kildonan--St. Paul"," 51","Winnipeg",102,1,66,93,10,0,272,428
"Kildonan--St. Paul/Kildonan--St. Paul"," 52","Winnipeg",55,2,46,100,6,0,209,427
"Kildonan--St. Paul/Kildonan--St. Paul"," 53","Winnipeg",92,0,47,83,7,0,229,395
"Kildonan--St. Paul/Kildonan--St. Paul"," 54","Winnipeg",97,0,66,93,9,0,265,416
"Kildonan--St. Paul/Kildonan--St. Paul"," 55","Winnipeg",86,2,29,132,8,1,258,377
"Kildonan--St. Paul/Kildonan--St. Paul"," 56A","Winnipeg",74,1,49,104,12,1,241,343
"Kildonan--St. Paul/Kildonan--St. Paul"," 56B","Winnipeg",58,0,60,86,1,1,206,298
"Kildonan--St. Paul/Kildonan--St. Paul"," 57","Winnipeg",67,0,29,81,7,0,184,249
"Kildonan--St. Paul/Kildonan--St. Paul"," 58","Winnipeg",87,0,68,73,11,0,239,455
"Kildonan--St. Paul/Kildonan--St. Paul"," 59","Winnipeg",73,1,43,82,6,1,206,414
"Kildonan--St. Paul/Kildonan--St. Paul"," 60","Winnipeg",60,0,53,51,4,2,170,232
"Kildonan--St. Paul/Kildonan--St. Paul"," 61","Winnipeg",91,1,58,138,5,2,295,426
"Kildonan--St. Paul/Kildonan--St. Paul"," 62","Winnipeg",85,1,80,104,4,0,274,386
"Kildonan--St. Paul/Kildonan--St. Paul"," 63","Winnipeg",74,2,46,60,0,0,182,266
"Kildonan--St. Paul/Kildonan--St. Paul"," 64","Winnipeg",95,0,37,119,1,0,252,384
"Kildonan--St. Paul/Kildonan--St. Paul"," 65","Winnipeg",80,2,37,77,2,0,198,374
"Kildonan--St. Paul/Kildonan--St. Paul"," 66","Winnipeg",82,1,20,83,5,0,191,326
"Kildonan--St. Paul/Kildonan--St. Paul"," 67","Winnipeg",54,1,31,81,0,0,167,239
"Kildonan--St. Paul/Kildonan--St. Paul"," 68","Winnipeg",69,2,69,70,2,0,212,311
"Kildonan--St. Paul/Kildonan--St. Paul"," 69","Winnipeg",65,2,57,64,7,0,195,415
"Kildonan--St. Paul/Kildonan--St. Paul"," 70A","Winnipeg",64,3,52,81,8,0,208,491
"Kildonan--St. Paul/Kildonan--St. Paul"," 70B","Mobile poll/Bureau itinérant",31,1,33,51,0,0,116,79
"Kildonan--St. Paul/Kildonan--St. Paul"," 71","Winnipeg",87,1,60,86,6,4,244,247
"Kildonan--St. Paul/Kildonan--St. Paul"," 72","Winnipeg",68,0,45,70,7,0,190,315
"Kildonan--St. Paul/Kildonan--St. Paul"," 73","Winnipeg",68,2,47,56,2,3,178,373
"Kildonan--St. Paul/Kildonan--St. Paul"," 74","Winnipeg",59,2,47,44,7,0,159,322
"Kildonan--St. Paul/Kildonan--St. Paul"," 75","Winnipeg",72,2,48,47,3,2,174,297
"Kildonan--St. Paul/Kildonan--St. Paul"," 76","Winnipeg",52,1,61,60,6,0,180,337
"Kildonan--St. Paul/Kildonan--St. Paul"," 77","Winnipeg",63,1,51,42,3,0,160,296
"Kildonan--St. Paul/Kildonan--St. Paul"," 78","Winnipeg",50,2,42,53,2,0,149,303
"Kildonan--St. Paul/Kildonan--St. Paul"," 79","Winnipeg",47,3,70,47,2,1,170,330
"Kildonan--St. Paul/Kildonan--St. Paul"," 80","Winnipeg",53,1,42,36,6,0,138,328
"Kildonan--St. Paul/Kildonan--St. Paul"," 81","Winnipeg",45,0,47,39,7,0,138,317
"Kildonan--St. Paul/Kildonan--St. Paul"," 82","Winnipeg",63,1,63,54,4,0,185,382
"Kildonan--St. Paul/Kildonan--St. Paul"," 83","Winnipeg",65,0,62,39,5,1,172,323
"Kildonan--St. Paul/Kildonan--St. Paul"," 84","Winnipeg",56,2,46,45,5,1,155,350
"Kildonan--St. Paul/Kildonan--St. Paul"," 85","Winnipeg",66,0,63,73,9,0,211,371
"Kildonan--St. Paul/Kildonan--St. Paul"," 86","Winnipeg",50,1,51,52,12,2,168,338
"Kildonan--St. Paul/Kildonan--St. Paul"," 87","Winnipeg",80,1,71,70,8,0,230,380
"Kildonan--St. Paul/Kildonan--St. Paul"," 88","Winnipeg",103,0,63,63,14,0,243,402
"Kildonan--St. Paul/Kildonan--St. Paul"," 89","Winnipeg",60,1,48,82,3,1,195,333
"Kildonan--St. Paul/Kildonan--St. Paul"," 90","Winnipeg",41,0,55,33,3,2,134,316
"Kildonan--St. Paul/Kildonan--St. Paul"," 91","Winnipeg",63,1,50,52,2,0,168,351
"Kildonan--St. Paul/Kildonan--St. Paul"," 92","Winnipeg",58,1,68,45,2,2,176,366
"Kildonan--St. Paul/Kildonan--St. Paul"," 93","Winnipeg",59,1,49,56,2,1,168,372
"Kildonan--St. Paul/Kildonan--St. Paul"," 94","Winnipeg",47,1,56,53,10,0,167,341
"Kildonan--St. Paul/Kildonan--St. Paul"," 95","Winnipeg",54,1,72,47,3,0,177,340
"Kildonan--St. Paul/Kildonan--St. Paul"," 96","Winnipeg",50,4,76,62,7,4,203,355
"Kildonan--St. Paul/Kildonan--St. Paul"," 97","Winnipeg",43,2,48,56,5,1,155,311
"Kildonan--St. Paul/Kildonan--St. Paul"," 98","Winnipeg",62,0,42,50,6,1,161,337
"Kildonan--St. Paul/Kildonan--St. Paul"," 99","Winnipeg",58,1,65,43,6,0,173,329
"Kildonan--St. Paul/Kildonan--St. Paul"," 100","Winnipeg",50,0,61,59,13,1,184,367
"Kildonan--St. Paul/Kildonan--St. Paul"," 101","Winnipeg",56,1,35,47,7,1,147,256
"Kildonan--St. Paul/Kildonan--St. Paul"," 102","Winnipeg",Merged with No. 103/Fusionné avec le nº 103,,,,,,,185
"Kildonan--St. Paul/Kildonan--St. Paul"," 103","Winnipeg",76,11,81,76,8,0,252,243
"Kildonan--St. Paul/Kildonan--St. Paul"," 104","Winnipeg",39,3,62,35,4,1,144,362
"Kildonan--St. Paul/Kildonan--St. Paul"," 105","Winnipeg",62,0,35,75,10,0,182,342
"Kildonan--St. Paul/Kildonan--St. Paul"," 106A","Winnipeg",67,2,39,86,5,0,199,435
"Kildonan--St. Paul/Kildonan--St. Paul"," 106B","Winnipeg",45,1,36,69,4,0,155,400
"Kildonan--St. Paul/Kildonan--St. Paul"," 107","Winnipeg",68,1,26,94,7,0,196,338
"Kildonan--St. Paul/Kildonan--St. Paul"," 108","Winnipeg",94,2,25,140,9,0,270,389
"Kildonan--St. Paul/Kildonan--St. Paul"," 109","Winnipeg",80,0,34,117,7,0,238,342
"Kildonan--St. Paul/Kildonan--St. Paul"," 110","Winnipeg",87,4,47,149,14,2,303,438
"Kildonan--St. Paul/Kildonan--St. Paul"," 111","Winnipeg",90,0,63,124,3,1,281,478
"Kildonan--St. Paul/Kildonan--St. Paul"," 112","Winnipeg",87,5,49,98,4,0,243,464
"Kildonan--St. Paul/Kildonan--St. Paul"," 113","Winnipeg",111,1,27,115,8,2,264,423
"Kildonan--St. Paul/Kildonan--St. Paul"," 114","Winnipeg",83,1,33,160,8,2,287,437
"Kildonan--St. Paul/Kildonan--St. Paul"," 115","Winnipeg",103,0,25,137,6,1,272,418
"Kildonan--St. Paul/Kildonan--St. Paul"," 116","Winnipeg",114,1,27,123,7,0,272,428
"Kildonan--St. Paul/Kildonan--St. Paul"," 117A","Winnipeg",42,0,29,58,4,1,134,292
"Kildonan--St. Paul/Kildonan--St. Paul"," 117B","Winnipeg",Merged with No. 71/Fusionné avec le nº 71,,,,,,,144
"Kildonan--St. Paul/Kildonan--St. Paul"," 117C","Mobile poll/Bureau itinérant",Merged with No. 70B/Fusionné avec le nº 70B,,,,,,,70
"Kildonan--St. Paul/Kildonan--St. Paul"," 118","Winnipeg",77,0,51,95,4,2,229,407
"Kildonan--St. Paul/Kildonan--St. Paul"," 119","Winnipeg",87,1,49,110,7,0,254,431
"Kildonan--St. Paul/Kildonan--St. Paul"," 120","Winnipeg",78,1,57,157,14,2,309,492
"Kildonan--St. Paul/Kildonan--St. Paul"," 121","Winnipeg",83,0,27,100,1,1,212,360
"Kildonan--St. Paul/Kildonan--St. Paul"," 122","Winnipeg",84,0,42,108,10,1,245,452
"Kildonan--St. Paul/Kildonan--St. Paul"," 123","Winnipeg",83,0,31,130,11,1,256,446
"Kildonan--St. Paul/Kildonan--St. Paul"," 124","Winnipeg",62,3,38,79,4,1,187,350
"Kildonan--St. Paul/Kildonan--St. Paul"," 125","Winnipeg",48,3,38,49,4,0,142,376
"Kildonan--St. Paul/Kildonan--St. Paul"," 126","Winnipeg",34,3,18,86,1,3,145,260
"Kildonan--St. Paul/Kildonan--St. Paul"," 127","Winnipeg",52,3,27,82,4,1,169,315
"Kildonan--St. Paul/Kildonan--St. Paul"," 128","Winnipeg",94,1,45,124,9,0,273,206
"Kildonan--St. Paul/Kildonan--St. Paul"," 129","Winnipeg",Merged with No. 128/Fusionné avec le nº 128,,,,,,,195
"Kildonan--St. Paul/Kildonan--St. Paul"," 130","Winnipeg",59,6,38,57,5,0,165,341
"Kildonan--St. Paul/Kildonan--St. Paul"," 131","Winnipeg",91,0,58,83,7,2,241,487
"Kildonan--St. Paul/Kildonan--St. Paul"," 132","Winnipeg",55,0,40,100,4,0,199,431
"Kildonan--St. Paul/Kildonan--St. Paul"," 133","Winnipeg",40,1,47,74,10,1,173,416
"Kildonan--St. Paul/Kildonan--St. Paul"," 134","Winnipeg",27,1,17,29,4,0,78,215
"Kildonan--St. Paul/Kildonan--St. Paul"," 135","Winnipeg",104,0,73,104,4,1,286,555
"Kildonan--St. Paul/Kildonan--St. Paul"," 136","Winnipeg",73,2,35,69,1,0,180,292
"Kildonan--St. Paul/Kildonan--St. Paul"," 137","Winnipeg",63,0,49,91,5,1,209,340
"Kildonan--St. Paul/Kildonan--St. Paul"," 138","Winnipeg",65,5,37,100,6,1,214,343
"Kildonan--St. Paul/Kildonan--St. Paul"," 139","Winnipeg",81,1,43,118,8,0,251,365
"Kildonan--St. Paul/Kildonan--St. Paul"," 140","Winnipeg",55,0,55,77,5,1,193,297
"Kildonan--St. Paul/Kildonan--St. Paul"," 141","Winnipeg",73,0,52,82,4,0,211,331
"Kildonan--St. Paul/Kildonan--St. Paul"," 142","Winnipeg",58,0,42,71,5,0,176,278
"Kildonan--St. Paul/Kildonan--St. Paul"," 143","Winnipeg",95,1,31,177,13,0,317,511
"Kildonan--St. Paul/Kildonan--St. Paul"," 144","Winnipeg",142,0,37,155,5,0,339,528
"Kildonan--St. Paul/Kildonan--St. Paul"," 145","Winnipeg",24,0,30,47,9,0,110,260
"Kildonan--St. Paul/Kildonan--St. Paul"," 146","Winnipeg",83,0,52,65,6,0,206,377
"Kildonan--St. Paul/Kildonan--St. Paul"," 147","Winnipeg",75,0,35,70,5,0,185,315
"Kildonan--St. Paul/Kildonan--St. Paul"," 148","Winnipeg",74,0,37,88,6,1,206,362
"Kildonan--St. Paul/Kildonan--St. Paul"," 149","Winnipeg",91,1,36,82,8,0,218,388
"Kildonan--St. Paul/Kildonan--St. Paul"," 150","Winnipeg",73,0,39,87,8,0,207,384
"Kildonan--St. Paul/Kildonan--St. Paul"," 151","Winnipeg",108,0,49,137,9,2,305,536
"Kildonan--St. Paul/Kildonan--St. Paul"," 152","Winnipeg",82,2,53,92,14,0,243,447
"Kildonan--St. Paul/Kildonan--St. Paul"," 153","Winnipeg",80,1,42,131,6,1,261,522
"Kildonan--St. Paul/Kildonan--St. Paul"," 154","Winnipeg",45,0,47,82,8,0,182,349
"Kildonan--St. Paul/Kildonan--St. Paul"," 155","Winnipeg",27,2,31,71,6,0,137,264
"Kildonan--St. Paul/Kildonan--St. Paul"," 156","Winnipeg",64,0,42,116,4,0,226,410
"Kildonan--St. Paul/Kildonan--St. Paul"," 157","Winnipeg",51,1,33,67,8,1,161,296
"Kildonan--St. Paul/Kildonan--St. Paul"," 158","Winnipeg",72,0,39,71,7,0,189,352
"Kildonan--St. Paul/Kildonan--St. Paul"," 159","Winnipeg",64,0,61,96,8,0,229,430
"Kildonan--St. Paul/Kildonan--St. Paul"," 500","Mobile poll/Bureau itinérant",85,7,36,63,1,0,192,123
"Kildonan--St. Paul/Kildonan--St. Paul"," 600","West St. Paul",62,0,25,157,8,1,253,
"Kildonan--St. Paul/Kildonan--St. Paul"," 601","East St. Paul",174,0,50,465,8,1,698,
"Kildonan--St. Paul/Kildonan--St. Paul"," 602","Winnipeg",251,3,88,207,9,6,564,
"Kildonan--St. Paul/Kildonan--St. Paul"," 603","Winnipeg",126,1,60,141,9,1,338,
"Kildonan--St. Paul/Kildonan--St. Paul"," 604","Winnipeg",122,1,39,220,7,1,390,
"Kildonan--St. Paul/Kildonan--St. Paul"," 605","Winnipeg",98,3,103,116,7,1,328,
"Kildonan--St. Paul/Kildonan--St. Paul"," 606","Winnipeg",108,3,112,122,11,1,357,
"Kildonan--St. Paul/Kildonan--St. Paul"," 607","Winnipeg",225,2,83,482,8,1,801,
"Kildonan--St. Paul/Kildonan--St. Paul"," 608","Winnipeg",114,0,59,340,5,2,520,
"Kildonan--St. Paul/Kildonan--St. Paul"," 609","Winnipeg",176,2,74,495,8,1,756,
"Kildonan--St. Paul/Kildonan--St. Paul",,Group 1/Groupe 1,26,1,7,26,2,0,62,120
"Kildonan--St. Paul/Kildonan--St. Paul",,Group 2/Groupe 2,366,0,138,522,16,8,1050,
