Province,Electoral District/Circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Joe Goudie Conservative/Conservateur","Happy Valley-Goose Bay, N.L./T.-N.-L.","Canoe Builder/Constructeur de canoës",4528,39.67,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Jacob Edward Larkin N.D.P./N.P.D.","Nain, N.L./T.-N.-L.","Educator/Éducateur",1037,9.08,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","Gail Zwicker Green Party/Parti Vert","Bridgewater, N.S./N.-É.","Administrative Assistant/Adjointe administrative",82,.72,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","Bill Matthews ** Liberal/Libéral","Mount Pearl, N.L./T.-N.-L.","Parliamentarian/Parlementaire",13652,45.49,      1420,   4.7
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","Cynthia Downey Conservative/Conservateur","Stephenville Crossing, N.L./T.-N.-L.","Retired Educator/Éducatrice retraitée",12232,40.76,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","Amanda Will N.D.P./N.P.D.","Portugal Cove, N.L./T.-N.-L.","Communications Director/Directrice des communications",3702,12.34,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Random--Burin--St. George's","Mark Brennan Green Party/Parti Vert","Westville, N.S./N.-É.","Hospital Clerk/Commis en milieu hospitalier",426,1.42,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","Norman Doyle ** Conservative/Conservateur","St. John's, N.L./T.-N.-L.","Politician/Politicien",19110,46.56,      4765,  11.6
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","Paul Antle Liberal/Libéral","St. John's, N.L./T.-N.-L.","Businessman/Homme d'affaires",14345,34.95,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","Mike Kehoe N.D.P./N.P.D.","Paradise, N.L./T.-N.-L.","Customer Care Agent/Agent de service d'aide à la clientèle",7190,17.52,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's East/St. John's-Est","Stephen Eli Harris Green Party/Parti Vert","St. John's, N.L./T.-N.-L.","Actor/HMV Clerk/Acteur-Commis HMV",402,.98,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","Loyola Hearn ** Conservative/Conservateur","Renews, N.L./T.-N.-L.","Parliamentarian/Parlementaire",16644,44.69,      4349,  11.7
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","Siobhan Coady Liberal/Libéral","St. John's, N.L./T.-N.-L.","Business Person/Personne d'affaires",12295,33.01,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","Peg Norman N.D.P./N.P.D.","St. John's, N.L./T.-N.-L.","Business Owner/Propriétaire d'entreprise",8073,21.67,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","Barry Crozier Green Party/Parti Vert","Bridgewater, N.S./N.-É.","Small Business Owner/Propriétaire de petite entreprise",235,.63,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","Lawrence MacAulay ** Liberal/Libéral","St. Peters Bay, P.E.I./Î.-P.-É.","Farmer/Agriculteur",11542,56.21,      4619,  22.5
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","Don Gillis Conservative/Conservateur","Charlottetown, P.E.I./Î.-P.-É.","Retired Professor/Professeur à la retraite",6923,33.72,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","Edith Perry N.D.P./N.P.D.","Millview, P.E.I./Î.-P.-É.","Blue-Collar Worker/Col bleu",1535,7.48,,
"Prince Edward Island/Île-du-Prince-Édouard","Cardigan","Haida Arsenault-Antolick Green Party/Parti Vert","Charlottetown, P.E.I./Î.-P.-É.","Cook/Cuisinière",533,2.6,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Shawn Murphy ** Liberal/Libéral","Charlottetown, P.E.I./Î.-P.-É.","Parliamentarian/Parlementaire",9586,50.16,      3062,  16.0
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Tom DeBlois Conservative/Conservateur","Charlottetown, P.E.I./Î.-P.-É.","Businessman/Homme d'affaires",6524,34.14,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Brian Pollard N.D.P./N.P.D.","Charlottetown, P.E.I./Î.-P.-É.","Filmmaker/Cinéaste",2126,11.12,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","David Lobie Daughton Green Party/Parti Vert","Charlottetown, P.E.I./Î.-P.-É.","Writer/Écrivain",586,3.07,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Andrew J. Chisholm Marijuana Party/Parti Marijuana","Charlottetown, P.E.I./Î.-P.-É.","Call Centre Tech Support/Soutien technique dans un centre d'appels",193,1.01,,
"Prince Edward Island/Île-du-Prince-Édouard","Charlottetown","Baird Judson Christian Heritage Party/Parti de l'Héritage Chrétien","Alexandra, P.E.I./Î.-P.-É.","Retired Professor/Professeur à la retraite",97,.51,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Joe McGuire ** Liberal/Libéral","Tyne Valley, P.E.I./Î.-P.-É.","Parliamentarian/Parlementaire",10288,53.17,      4297,  22.2
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Edward Guergis Conservative/Conservateur","Summerside, P.E.I./Î.-P.-É.","Realtor/Courtier en immeubles",5991,30.96,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Regena Kaye Russell N.D.P./N.P.D.","O'Leary, P.E.I./Î.-P.-É.","Barrister/Solicitor/Avocate",1847,9.55,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Ron Matsusaki Green Party/Parti Vert","Alberton, P.E.I./Î.-P.-É.","Physician/Médecin",1005,5.19,,
"Prince Edward Island/Île-du-Prince-Édouard","Egmont","Michael Nesbitt Independent/Indépendant","Miscouche, P.E.I./Î.-P.-É.","Advertising Assistant/Adjoint à la publicité",219,1.13,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","Wayne Easter ** Liberal/Libéral","North Wiltshire, P.E.I./Î.-P.-É.","Farmer/Agriculteur",9779,50.48,      3071,  15.9
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","George Noble Conservative/Conservateur","North Rustico, P.E.I./Î.-P.-É.","Retired/Retraité",6708,34.63,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","George Marshall N.D.P./N.P.D.","Cornwall, P.E.I./Î.-P.-É.","Customer Service Agent/Agent de service à la clientèle",1983,10.24,,
"Prince Edward Island/Île-du-Prince-Édouard","Malpeque","Sharon Labchuk Green Party/Parti Vert","Breadalbane, P.E.I./Î.-P.-É.","Political Organizer/Organisatrice politique",901,4.65,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","Rodger Cuzner ** Liberal/Libéral","Glace Bay, N.S./N.-É.","Parliamentarian/Parlementaire",21424,53.19,     11684,  29.0
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","Kenzie MacNeil Conservative/Conservateur","Sydney, N.S./N.-É.","Producer/Director/Writer/Producteur-Réalisateur-Scripteur",9740,24.18,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","Hector Morrison N.D.P./N.P.D.","Glace Bay, N.S./N.-É.","Retired Miner/Mineur à la retraite",8111,20.14,,
"Nova Scotia/Nouvelle-Écosse","Cape Breton--Canso","Rob Hines Green Party/Parti Vert","Castle Bay, N.S./N.-É.","Gardener/Jardinier",1006,2.5,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","Peter G. MacKay ** Conservative/Conservateur","New Glasgow, N.S./N.-É.","Barrister/Avocat",17134,40.66,      3273,   7.8
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","Alexis MacDonald N.D.P./N.P.D.","Toronto, Ont.","Program Director/Directrice de programme",13861,32.89,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","Dan Walsh Liberal/Libéral","Westville, N.S./N.-É.","Police Officer/Policier",10349,24.56,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","David Orton Green Party/Parti Vert","Salt Springs, N.S./N.-É.","Retired/Retraité",671,1.59,,
"Nova Scotia/Nouvelle-Écosse","Central Nova/Nova-Centre","Allan H. Bezanson Marxist-Leninist/Marxiste-Léniniste","New Glasgow, N.S./N.-É.","Typesetter/Compositeur typographe",124,.29,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester--Musquodoboit Valley","Bill Casey ** Conservative/Conservateur","Amherst, N.S./N.-É.","Businessman/Homme d'affaires",22439,52.04,     12140,  28.2
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester--Musquodoboit Valley","Gary Richard Liberal/Libéral","Truro, N.S./N.-É.","Lawyer/Avocat",10299,23.89,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester--Musquodoboit Valley","Margaret Sagar N.D.P./N.P.D.","Terence Bay, N.S./N.-É.","Minister, United Church of Canada/Ministre (Église unie du Canada)",8944,20.74,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester--Musquodoboit Valley","N. Bruce Farrell Green Party/Parti Vert","Truro, N.S./N.-É.","Student/Étudiant",910,2.11,,
"Nova Scotia/Nouvelle-Écosse","Cumberland--Colchester--Musquodoboit Valley","Rick Simpson Independent/Indépendant","Springhill, N.S./N.-É.","Retired Power Engineer /Mécanicien de centrale à la retraite",524,1.22,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Michael Savage ** Liberal/Libéral","Dartmouth, N.S./N.-É.","Parliamentarian/Parlementaire",19027,42.32,      4415,   9.8
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Peter Mancini N.D.P./N.P.D.","Dartmouth, N.S./N.-É.","Lawyer/Avocat",14612,32.5,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Robert A. Campbell Conservative/Conservateur","Dartmouth, N.S./N.-É.","Retired RCMP Officer/Agent de la GRC à la retraite",10259,22.82,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Elizabeth Perry Green Party/Parti Vert","Dartmouth, N.S./N.-É.","Adult Educator/Éducatrice auprès des adultes",1005,2.24,,
"Nova Scotia/Nouvelle-Écosse","Dartmouth--Cole Harbour","Charles Spurr Marxist-Leninist/Marxiste-Léniniste","Dartmouth, N.S./N.-É.","Personal Care Worker/Fournisseur de soins personnels",56,.12,,
"Nova Scotia/Nouvelle-Écosse","Halifax","Alexa McDonough ** N.D.P./N.P.D.","Halifax, N.S./N.-É.","Parliamentarian/Parlementaire",23420,46.88,      7983,  16.0
"Nova Scotia/Nouvelle-Écosse","Halifax","Martin MacKinnon Liberal/Libéral","Halifax, N.S./N.-É.","Vice-President, Finance/Vice-président aux finances",15437,30.9,,
"Nova Scotia/Nouvelle-Écosse","Halifax","Andrew House Conservative/Conservateur","Halifax, N.S./N.-É.","Lawyer/Avocat",8993,18,,
"Nova Scotia/Nouvelle-Écosse","Halifax","Nick Wright Green Party/Parti Vert","Halifax, N.S./N.-É.","Student/Étudiant",1948,3.9,,
"Nova Scotia/Nouvelle-Écosse","Halifax","Tony Seed Marxist-Leninist/Marxiste-Léniniste","Halifax, N.S./N.-É.","Publisher/Éditeur",164,.33,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","Geoff Regan ** Liberal/Libéral","Bedford, N.S./N.-É.","Lawyer/Avocat",21818,49.36,     11020,  24.9
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","Alan Hill N.D.P./N.P.D.","Halifax, N.S./N.-É.","Student/Étudiant",10798,24.43,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","Rakesh Khosla Conservative/Conservateur","Halifax, N.S./N.-É.","Businessman/Homme d'affaires",10184,23.04,,
"Nova Scotia/Nouvelle-Écosse","Halifax West/Halifax-Ouest","Thomas Trappenberg Green Party/Parti Vert","Hatchet Lake, N.S./N.-É.","University Professor/Professeur d'université",1406,3.18,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Scott Brison ** Liberal/Libéral","Cheverie, N.S./N.-É.","Parliamentarian/Parlementaire",19491,45.56,      5719,  13.4
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Bob Mullan Conservative/Conservateur","Kentville, N.S./N.-É.","Medical Doctor/Médecin",13772,32.19,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Mary DeWolfe N.D.P./N.P.D.","Wolfville, N.S./N.-É.","Small Business Owner/Operator/Propriétaire-Exploitante d'une petite entreprise",8138,19.02,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Sheila Richardson Green Party/Parti Vert","Wolfville, N.S./N.-É.","Mediator/Educator/Médiatrice-Éducatrice",947,2.21,,
"Nova Scotia/Nouvelle-Écosse","Kings--Hants","Chummy Anthony Marijuana Party/Parti Marijuana","Windsor, N.S./N.-É.","Businessman/Homme d'affaires",436,1.02,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","Peter Stoffer ** N.D.P./N.P.D.","Windsor Junction, N.S./N.-É.","Parliamentarian/Parlementaire",22848,52.95,     12927,  30.0
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","Bill Fleming Liberal/Libéral","Wellington, N.S./N.-É.","Business Executive/Homme d'affaires",9921,22.99,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","Paul Francis Conservative/Conservateur","Halifax, N.S./N.-É.","Minister/Ministre",9450,21.9,,
"Nova Scotia/Nouvelle-Écosse","Sackville--Eastern Shore","Richard MacDonald Green Party/Parti Vert","Eastern Passage, N.S./N.-É.","Sales Executive/Directeur commercial",933,2.16,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","Gerald Gordon Keddy ** Conservative/Conservateur","New Ross, N.S./N.-É.","Tree Farmer/Parliamentarian/Pépiniériste-Parlementaire",15108,36.85,      3419,   8.3
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","Gordon S. Earle N.D.P./N.P.D.","Upper Tantallon, N.S./N.-É.","Retired Public Servant/Fonctionnaire retraité",11689,28.51,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","Darian Malcom Huskilson Liberal/Libéral","Lockeport, N.S./N.-É.","Courier/Mechanic Assistant/Messager-Assistant-mécanicien",11629,28.36,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","Jim Hnatiuk Christian Heritage Party/Parti de l'Héritage Chrétien","Lantz, N.S./N.-É.","Combat Systems Electronics Technician/Technicien en électronique de systèmes de combat",1376,3.36,,
"Nova Scotia/Nouvelle-Écosse","South Shore--St. Margaret's","Katie Morris Boudreau Green Party/Parti Vert","Dayspring, N.S./N.-É.","Community Support Worker/Agente de soutien communautaire",1198,2.92,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","Mark Eyking ** Liberal/Libéral","Millville, N.S./N.-É.","Parliamentarian/Parlementaire",20277,49.88,      8690,  21.4
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","John Hugh Edwards N.D.P./N.P.D.","Ross Ferry, N.S./N.-É.","University Educator/Éducateur en milieu universitaire",11587,28.5,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","Howie MacDonald Conservative/Conservateur","Sydney, N.S./N.-É.","Entertainer/Artiste de spectacle",7455,18.34,,
"Nova Scotia/Nouvelle-Écosse","Sydney--Victoria","Chris Milburn Green Party/Parti Vert","Sydney, N.S./N.-É.","Medical Doctor/Médecin",1336,3.29,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Robert Thibault ** Liberal/Libéral","Concession, N.S./N.-É.","Parliamentarian/Parlementaire",17734,39.24,       512,   1.1
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Greg Kerr Conservative/Conservateur","Granville Ferry, N.S./N.-É.","Retired Teacher/Farmer/Enseignant retraité-Agriculteur",17222,38.11,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Arthur Bull N.D.P./N.P.D.","Digby, N.S./N.-É.","Writer/Écrivain",8512,18.84,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Matthew Granger Green Party/Parti Vert","South Ohio, N.S./N.-É.","Provincial Park Caretaker/Gardien de parc provincial",1040,2.3,,
"Nova Scotia/Nouvelle-Écosse","West Nova/Nova-Ouest","Ken Griffiths Independent/Indépendant","Bear River, N.S./N.-É.","Molecular Biologist/Biologiste moléculaire",682,1.51,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Yvon Godin ** N.D.P./N.P.D.","Bathurst, N.B./N.-B.","Parliamentarian/Parlementaire",25195,49.9,      9691,  19.2
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Marcelle Mersereau Liberal/Libéral","Bathurst, N.B./N.-B.","Home Economist/Économiste familiale",15504,30.71,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Serge Savoie Conservative/Conservateur","Petit Rocher, N.B./N.-B.","Administrator/Administrateur",8513,16.86,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Philippe Rousselle Green Party/Parti Vert","Tracadie-Sheila, N.B./N.-B.","Organic Farmer/Agriculteur biologique",699,1.38,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Eric Landry Independent/Indépendant","Bertrand, N.B./N.-B.","Businessman/Homme d'affaires",362,.72,,
"New Brunswick/Nouveau-Brunswick","Acadie--Bathurst","Ulric DeGrâce Independent/Indépendant","Beresford, N.B./N.-B.","Manager/Gérant",219,.43,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","Dominic LeBlanc ** Liberal/Libéral","Grande-Digue, N.B./N.-B.","Parliamentarian/Parlementaire",22012,47.55,      7093,  15.3
"New Brunswick/Nouveau-Brunswick","Beauséjour","Omer Leger Conservative/Conservateur","Saint-Antoine, N.B./N.-B.","Semi-retired Insurance Agent/Semi-retraité-Agent d'assurance",14919,32.23,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","Neil Gardner N.D.P./N.P.D.","Sainte-Marie-de-Kent, N.B./N.-B.","Lecturer/Chargé de cours",7717,16.67,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","Anna Girouard Green Party/Parti Vert","Sainte-Marie-de-Kent, N.B./N.-B.","Writer/Waitress/Écrivaine-Serveuse",1290,2.79,,
"New Brunswick/Nouveau-Brunswick","Beauséjour","J. Frank Comeau Independent/Indépendant","Upper Dorchester, N.B./N.-B.","Retired/Retraité",357,.77,,
"New Brunswick/Nouveau-Brunswick","Fredericton","Andy Scott ** Liberal/Libéral","Fredericton, N.B./N.-B.","Public Servant/Fonctionnaire",19649,41.8,      3357,   7.1
"New Brunswick/Nouveau-Brunswick","Fredericton","Pat Lynch Conservative/Conservateur","Fredericton, N.B./N.-B.","Management Consultant/Consultant en gestion",16292,34.66,,
"New Brunswick/Nouveau-Brunswick","Fredericton","John Carty N.D.P./N.P.D.","Hanwell, N.B./N.-B.","SPCA Shelter Manager/Gestionnaire de refuge de la SPCA",9988,21.25,,
"New Brunswick/Nouveau-Brunswick","Fredericton","Philip Duchastel Green Party/Parti Vert","Fredericton, N.B./N.-B.","Scholar/Universitaire",884,1.88,,
"New Brunswick/Nouveau-Brunswick","Fredericton","David Raymond Amos Independent/Indépendant","Belleisle Creek, N.B./N.-B.","Retired/Retraité",198,.42,,
"New Brunswick/Nouveau-Brunswick","Fundy Royal","Rob Moore ** Conservative/Conservateur","Quispamsis, N.B./N.-B.","Lawyer/Avocat",17630,48.31,      7651,  21.0
"New Brunswick/Nouveau-Brunswick","Fundy Royal","Eldon Hunter Liberal/Libéral","Douglas Harbour, N.B./N.-B.","Business Owner/Propriétaire d'entreprise",9979,27.34,,
"New Brunswick/Nouveau-Brunswick","Fundy Royal","Rob Moir N.D.P./N.P.D.","Clifton Royal, N.B./N.-B.","Associate Professor/Professeur agrégé",7696,21.09,,
"New Brunswick/Nouveau-Brunswick","Fundy Royal","Patty Donovan Green Party/Parti Vert","Quispamsis, N.B./N.-B.","Program Facilitator/Facilitatrice de programmes",1189,3.26,,
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche","Jean-Claude J. C. D'Amours ** Liberal/Libéral","Edmundston, N.B./N.-B.","Parliamentarian/Parlementaire",13734,38.02,       885,   2.4
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche","Jean-Pierre Ouellet Conservative/Conservateur","Baker Brook, N.B./N.-B.","Consultant/Consultant",12849,35.57,,
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche","Rodolphe Martin N.D.P./N.P.D.","Sainte-Anne-de-Madawaska, N.B./N.-B.","Union Advisor/Conseiller syndical SCFP",8322,23.04,,
"New Brunswick/Nouveau-Brunswick","Madawaska--Restigouche","Irka Laplante Green Party/Parti Vert","Saint-Basile, N.B./N.-B.","Forest Engineer/Ingénieur forestier",1220,3.38,,
"New Brunswick/Nouveau-Brunswick","Miramichi","Charles Isaac Hubbard ** Liberal/Libéral","Red Bank, N.B./N.-B.","Parliamentarian/Parlementaire",13960,42.27,      2710,   8.2
"New Brunswick/Nouveau-Brunswick","Miramichi","Mike Morrison Conservative/Conservateur","Derby, N.B./N.-B.","Retired/Retraité",11250,34.07,,
"New Brunswick/Nouveau-Brunswick","Miramichi","Jeannette Manuel-Allain N.D.P./N.P.D.","South Esk, N.B./N.-B.","Correctional Program Officer/Agente des programmes correctionnels",5587,16.92,,
"New Brunswick/Nouveau-Brunswick","Miramichi","Danny Gay Independent/Indépendant","Neguac, N.B./N.-B.","Teacher/Enseignant",1640,4.97,,
"New Brunswick/Nouveau-Brunswick","Miramichi","John Welsford Bethell Green Party/Parti Vert","Miramichi, N.B./N.-B.","Business Owner/Propriétaire d'entreprise",587,1.78,,
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","Brian Murphy Liberal/Libéral","Moncton, N.B./N.-B.","Lawyer/Avocat",22918,47.71,      8454,  17.6
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","Charles Doucet Conservative/Conservateur","Moncton, N.B./N.-B.","Physiotherapist/Physiothérapeute",14464,30.11,,
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","David Hackett N.D.P./N.P.D.","Moncton, N.B./N.-B.","Test Analyst/Analyste d'essais",9095,18.93,,
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","Camille Labchuk Green Party/Parti Vert","Millvale, P.E.I./Î.-P.-É.","University Lab Instructor/Monitrice de laboratoire universitaire",1409,2.93,,
"New Brunswick/Nouveau-Brunswick","Moncton--Riverview--Dieppe","Ron Pomerleau Canadian Action/Action canadienne","Riverview, N.B./N.-B.","Businessman/Homme d'affaires",150,.31,,
"New Brunswick/Nouveau-Brunswick","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","Greg Thompson ** Conservative/Conservateur","Bayside, N.B./N.-B.","Parliamentarian/Parlementaire",18155,54.8,      9278,  28.0
"New Brunswick/Nouveau-Brunswick","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","Stan Smith Liberal/Libéral","St. George, N.B./N.-B.","Quality Control Technician/Technicien en contrôle de la qualité",8877,26.79,,
"New Brunswick/Nouveau-Brunswick","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","Andrew Graham N.D.P./N.P.D.","Saint Andrews, N.B./N.-B.","Woodworker/Carpenter/Travailleur du bois-Charpentier",5178,15.63,,
"New Brunswick/Nouveau-Brunswick","New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest","Erik Millett Green Party/Parti Vert","Chamcook, N.B./N.-B.","Teacher/Vice-Principal/Enseignant-Directeur adjoint",922,2.78,,
"New Brunswick/Nouveau-Brunswick","Saint John","Paul Zed ** Liberal/Libéral","Rothesay, N.B./N.-B.","Lawyer/Avocat",17202,42.92,      1449,   3.6
"New Brunswick/Nouveau-Brunswick","Saint John","John Wallace Conservative/Conservateur","Rothesay, N.B./N.-B.","Lawyer/Avocat",15753,39.3,,
