Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Charlton,Stephen Downey,Don Graves,Bill Kelly,Paul Lane,Susan Wadsworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hamilton Mountain/Hamilton Mountain"," 212","Hamilton ",43,2,83,110,0,3,1,242,401
"Hamilton Mountain/Hamilton Mountain"," 400","Hamilton ",88,1,38,57,1,1,1,187,283
"Hamilton Mountain/Hamilton Mountain"," 401","Hamilton ",28,0,26,27,1,1,2,85,170
"Hamilton Mountain/Hamilton Mountain"," 402","Hamilton ",86,1,39,79,0,4,0,209,281
"Hamilton Mountain/Hamilton Mountain"," 403","Hamilton ",20,2,15,26,0,0,3,66,130
"Hamilton Mountain/Hamilton Mountain"," 500","Mobile poll/Bureau itinérant",31,6,41,52,1,5,1,137,246
"Hamilton Mountain/Hamilton Mountain"," 501","Mobile poll/Bureau itinérant",20,7,93,56,0,4,2,182,128
"Hamilton Mountain/Hamilton Mountain"," 600","Hamilton ",241,5,234,186,4,9,2,681,
"Hamilton Mountain/Hamilton Mountain"," 601","Hamilton ",221,1,230,174,5,17,1,649,
"Hamilton Mountain/Hamilton Mountain"," 602","Hamilton ",227,8,183,162,2,7,2,591,
"Hamilton Mountain/Hamilton Mountain"," 603","Hamilton ",225,5,211,152,0,9,0,602,
"Hamilton Mountain/Hamilton Mountain"," 604","Hamilton ",194,3,224,109,1,9,3,543,
"Hamilton Mountain/Hamilton Mountain"," 605","Hamilton ",243,7,349,226,0,25,0,850,
"Hamilton Mountain/Hamilton Mountain"," 606","Hamilton ",157,8,214,203,0,9,2,593,
"Hamilton Mountain/Hamilton Mountain"," 607","Hamilton ",147,7,304,252,2,16,2,730,
"Hamilton Mountain/Hamilton Mountain"," 608","Hamilton ",150,5,218,171,1,6,1,552,
"Hamilton Mountain/Hamilton Mountain"," 609","Hamilton ",85,2,153,128,0,4,1,373,
"Hamilton Mountain/Hamilton Mountain",,Group 1/Groupe 1,12,1,36,39,0,2,1,91,197
"Hamilton Mountain/Hamilton Mountain",,Group 2/Groupe 2,339,13,231,332,3,13,5,936,
