Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Goodyear,David M. Pelly,Janko Peric,Donna Reid,Gareth White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cambridge/Cambridge"," 183","Cambridge",67,1,114,39,5,5,231,440
"Cambridge/Cambridge"," 184A","Cambridge",70,0,86,35,6,2,199,346
"Cambridge/Cambridge"," 184B","Cambridge",74,0,90,27,8,1,200,333
"Cambridge/Cambridge"," 185","Cambridge",73,4,74,43,5,0,199,305
"Cambridge/Cambridge"," 186","Cambridge",54,0,80,14,5,3,156,263
"Cambridge/Cambridge"," 187","Cambridge",82,2,114,38,3,0,239,451
"Cambridge/Cambridge"," 188","Cambridge",100,1,85,38,10,5,239,431
"Cambridge/Cambridge"," 189","Cambridge",86,3,74,24,5,3,195,330
"Cambridge/Cambridge"," 190","Cambridge",70,1,50,31,6,0,158,304
"Cambridge/Cambridge"," 191","Cambridge",63,0,52,51,8,0,174,472
"Cambridge/Cambridge"," 192","Cambridge",64,0,60,44,8,1,177,351
"Cambridge/Cambridge"," 193","Cambridge",27,1,50,46,4,0,128,285
"Cambridge/Cambridge"," 194","Cambridge",93,0,42,35,4,2,176,290
"Cambridge/Cambridge"," 195","Cambridge",89,0,77,44,14,0,224,397
"Cambridge/Cambridge"," 196","Cambridge",113,5,78,33,8,2,239,385
"Cambridge/Cambridge"," 197","Cambridge",107,0,77,51,13,1,249,466
"Cambridge/Cambridge"," 198","Cambridge",56,1,57,22,6,1,143,258
"Cambridge/Cambridge"," 199","Cambridge",128,2,91,28,11,0,260,438
"Cambridge/Cambridge"," 200","Cambridge",91,0,74,31,1,0,197,326
"Cambridge/Cambridge"," 201A","Cambridge",68,0,74,26,7,2,177,313
"Cambridge/Cambridge"," 201B","Cambridge",60,0,49,39,11,2,161,288
"Cambridge/Cambridge"," 202A","Cambridge",64,1,44,23,7,0,139,226
"Cambridge/Cambridge"," 202B","Cambridge",87,0,57,27,7,0,178,287
"Cambridge/Cambridge"," 203A","Cambridge",99,0,82,25,9,2,217,349
"Cambridge/Cambridge"," 203B","Cambridge",78,2,51,24,8,3,166,276
"Cambridge/Cambridge"," 204","Cambridge",111,1,100,38,10,1,261,456
"Cambridge/Cambridge"," 205","Cambridge",69,2,64,27,6,0,168,336
"Cambridge/Cambridge"," 206","Cambridge",134,1,94,42,22,1,294,494
"Cambridge/Cambridge"," 207","North Dumfries",174,1,91,32,13,0,311,435
"Cambridge/Cambridge"," 208","North Dumfries",107,1,53,43,17,0,221,319
"Cambridge/Cambridge"," 209","North Dumfries",108,1,78,40,21,0,248,376
"Cambridge/Cambridge"," 210A","North Dumfries",87,0,69,30,15,0,201,276
"Cambridge/Cambridge"," 210B","North Dumfries",88,0,64,22,12,0,186,273
"Cambridge/Cambridge"," 211","North Dumfries",82,2,66,29,11,2,192,300
"Cambridge/Cambridge"," 212","North Dumfries",148,1,115,30,22,0,316,507
"Cambridge/Cambridge"," 213","North Dumfries",60,1,41,24,7,2,135,203
"Cambridge/Cambridge"," 214","North Dumfries",122,1,94,29,7,1,254,398
"Cambridge/Cambridge"," 215","North Dumfries",31,0,44,18,5,3,101,181
"Cambridge/Cambridge"," 216","North Dumfries",86,0,71,31,14,1,203,312
"Cambridge/Cambridge"," 217","North Dumfries",140,1,64,48,18,2,273,480
"Cambridge/Cambridge"," 218","North Dumfries",149,0,57,23,19,0,248,351
"Cambridge/Cambridge"," 219","North Dumfries",123,0,88,30,19,0,260,393
"Cambridge/Cambridge"," 220","North Dumfries",100,1,32,35,10,1,179,302
"Cambridge/Cambridge"," 221A","North Dumfries",84,0,44,15,6,0,149,243
"Cambridge/Cambridge"," 221B","North Dumfries",71,0,27,21,5,0,124,244
"Cambridge/Cambridge"," 222","North Dumfries",111,0,63,22,9,0,205,348
"Cambridge/Cambridge"," 223","North Dumfries",175,0,71,42,5,3,296,442
"Cambridge/Cambridge"," 500","Mobile poll/Bureau itinérant",55,2,30,19,4,0,110,128
"Cambridge/Cambridge"," 501","Mobile poll/Bureau itinérant",38,3,48,26,8,4,127,143
"Cambridge/Cambridge"," 600","Cambridge",569,1,271,105,40,2,988,
"Cambridge/Cambridge"," 601","Cambridge",324,3,141,89,24,0,581,
"Cambridge/Cambridge"," 602","Cambridge",223,1,138,38,17,0,417,
"Cambridge/Cambridge"," 603","Cambridge",265,3,129,69,15,2,483,
"Cambridge/Cambridge"," 604","Cambridge",443,1,253,41,18,1,757,
"Cambridge/Cambridge"," 605","Cambridge",330,0,170,79,36,0,615,
"Cambridge/Cambridge"," 606","Cambridge",248,0,107,64,10,4,433,
"Cambridge/Cambridge"," 607","North Dumfries",202,1,121,37,17,2,380,
"Cambridge/Cambridge"," 608","North Dumfries",58,0,20,7,4,0,89,
"Cambridge/Cambridge",,Group 1/Groupe 1,44,0,30,13,7,1,95,199
"Cambridge/Cambridge",,Group 2/Groupe 2,900,3,479,143,56,10,1591,
