Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Beverly Bernardo,Sarmite Sam Bulte,Lorne Gershuny,Jurij Klufas,Peggy Nash,Terry Parker,Robert L. Rishchynski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Parkdale--High Park/Parkdale--High Park"," 44","Toronto",1,73,0,30,136,0,8,1,249,424
"Parkdale--High Park/Parkdale--High Park"," 45","York",1,125,1,51,128,1,16,1,324,471
"Parkdale--High Park/Parkdale--High Park"," 46","York",0,134,1,64,162,0,18,1,380,533
"Parkdale--High Park/Parkdale--High Park"," 47","Toronto",0,96,1,40,90,1,16,1,245,349
"Parkdale--High Park/Parkdale--High Park"," 48","Toronto",2,103,1,62,128,1,16,0,313,446
"Parkdale--High Park/Parkdale--High Park"," 49","Toronto",0,56,0,36,81,0,7,1,181,297
"Parkdale--High Park/Parkdale--High Park"," 50","Toronto",0,84,1,22,100,0,7,0,214,387
"Parkdale--High Park/Parkdale--High Park"," 51","Toronto",0,85,0,52,83,3,22,0,245,380
"Parkdale--High Park/Parkdale--High Park"," 52","Toronto",0,93,0,69,85,1,15,0,263,426
"Parkdale--High Park/Parkdale--High Park"," 53","Toronto",0,89,0,62,93,1,13,0,258,421
"Parkdale--High Park/Parkdale--High Park"," 54","Toronto",0,95,0,60,123,0,22,0,300,413
"Parkdale--High Park/Parkdale--High Park"," 55","Toronto",0,93,0,63,95,1,8,0,260,392
"Parkdale--High Park/Parkdale--High Park"," 56","Toronto",0,81,0,51,74,3,15,1,225,330
"Parkdale--High Park/Parkdale--High Park"," 57","Toronto",0,99,0,56,109,2,23,0,289,432
"Parkdale--High Park/Parkdale--High Park"," 58","Toronto",0,49,0,40,70,3,10,0,172,280
"Parkdale--High Park/Parkdale--High Park"," 59","Toronto",0,80,0,52,111,0,18,4,265,390
"Parkdale--High Park/Parkdale--High Park"," 60","Toronto",1,107,0,74,91,2,22,3,300,448
"Parkdale--High Park/Parkdale--High Park"," 61","Toronto",0,107,1,47,153,3,19,1,331,467
"Parkdale--High Park/Parkdale--High Park"," 62","Toronto",0,97,1,48,138,0,18,2,304,444
"Parkdale--High Park/Parkdale--High Park"," 63","Toronto",0,86,0,38,122,0,27,1,274,379
"Parkdale--High Park/Parkdale--High Park"," 64","Toronto",1,47,0,18,78,1,19,0,164,242
"Parkdale--High Park/Parkdale--High Park"," 65","Toronto",0,54,0,10,39,0,5,0,108,151
"Parkdale--High Park/Parkdale--High Park"," 66","Toronto",1,116,0,39,119,1,18,1,295,489
"Parkdale--High Park/Parkdale--High Park"," 67","Toronto",0,86,0,30,107,1,12,1,237,394
"Parkdale--High Park/Parkdale--High Park"," 68","Toronto",1,81,0,42,112,1,21,2,260,403
"Parkdale--High Park/Parkdale--High Park"," 69","Toronto",0,88,0,34,147,0,21,0,290,414
"Parkdale--High Park/Parkdale--High Park"," 70","Toronto",0,90,0,34,121,0,18,0,263,364
"Parkdale--High Park/Parkdale--High Park"," 71","Toronto",0,59,2,32,79,0,18,0,190,290
"Parkdale--High Park/Parkdale--High Park"," 72","Toronto",0,84,1,51,76,1,12,0,225,354
"Parkdale--High Park/Parkdale--High Park"," 73","Toronto",1,108,0,81,122,4,22,3,341,511
"Parkdale--High Park/Parkdale--High Park"," 74","Toronto",0,201,1,89,163,1,60,3,518,739
"Parkdale--High Park/Parkdale--High Park"," 75","Toronto",1,85,0,43,99,2,20,0,250,351
"Parkdale--High Park/Parkdale--High Park"," 76","Toronto",0,69,0,38,76,1,8,4,196,305
"Parkdale--High Park/Parkdale--High Park"," 77","Toronto",1,108,0,74,116,2,19,1,321,474
"Parkdale--High Park/Parkdale--High Park"," 78","Toronto",0,68,1,43,78,1,10,1,202,334
"Parkdale--High Park/Parkdale--High Park"," 79","Toronto",0,95,0,32,96,1,9,0,233,395
"Parkdale--High Park/Parkdale--High Park"," 80","Toronto",0,109,1,41,127,2,18,2,300,563
"Parkdale--High Park/Parkdale--High Park"," 81","Toronto",1,79,1,36,82,0,17,0,216,326
"Parkdale--High Park/Parkdale--High Park"," 82","Toronto",2,103,0,28,146,2,14,4,299,522
"Parkdale--High Park/Parkdale--High Park"," 83","Toronto",1,98,0,20,167,4,19,4,313,571
"Parkdale--High Park/Parkdale--High Park"," 84","Toronto",2,117,0,36,175,4,16,3,353,539
"Parkdale--High Park/Parkdale--High Park"," 85","Toronto",1,99,0,28,151,3,35,3,320,517
"Parkdale--High Park/Parkdale--High Park"," 86","Toronto",0,125,0,30,105,2,10,0,272,485
"Parkdale--High Park/Parkdale--High Park"," 87","Toronto",0,107,0,32,118,1,15,0,273,433
"Parkdale--High Park/Parkdale--High Park"," 88","Toronto",0,97,0,34,144,1,23,2,301,478
"Parkdale--High Park/Parkdale--High Park"," 89","Toronto",0,109,1,36,129,1,18,4,298,448
"Parkdale--High Park/Parkdale--High Park"," 90","Toronto",0,98,0,38,102,1,21,0,260,355
"Parkdale--High Park/Parkdale--High Park"," 91","Toronto",1,112,0,42,135,2,21,0,313,466
"Parkdale--High Park/Parkdale--High Park"," 92","Toronto",4,125,2,64,113,2,29,1,340,496
"Parkdale--High Park/Parkdale--High Park"," 93","Toronto",0,66,0,34,106,2,15,1,224,316
"Parkdale--High Park/Parkdale--High Park"," 94","Toronto",0,85,0,41,86,2,13,4,231,392
"Parkdale--High Park/Parkdale--High Park"," 95","Toronto",0,88,3,51,107,2,14,1,266,436
"Parkdale--High Park/Parkdale--High Park"," 96","Toronto",2,102,1,43,84,0,21,0,253,412
"Parkdale--High Park/Parkdale--High Park"," 97","Toronto",0,116,1,65,79,1,15,5,282,402
"Parkdale--High Park/Parkdale--High Park"," 98","Toronto",2,78,0,52,130,0,15,0,277,453
"Parkdale--High Park/Parkdale--High Park"," 99","Toronto",2,71,1,34,78,1,14,0,201,320
"Parkdale--High Park/Parkdale--High Park"," 100","Toronto",2,91,0,45,149,1,14,6,308,490
"Parkdale--High Park/Parkdale--High Park"," 101","Toronto",2,119,0,32,128,1,12,1,295,480
"Parkdale--High Park/Parkdale--High Park"," 102","Toronto",2,84,1,51,114,5,20,1,278,482
"Parkdale--High Park/Parkdale--High Park"," 103","Toronto",0,70,0,18,107,0,18,2,215,339
"Parkdale--High Park/Parkdale--High Park"," 104","Toronto",0,85,1,46,116,2,25,0,275,424
"Parkdale--High Park/Parkdale--High Park"," 105","Toronto",1,50,0,31,112,0,10,0,204,293
"Parkdale--High Park/Parkdale--High Park"," 106","Toronto",0,55,0,36,111,1,20,2,225,353
"Parkdale--High Park/Parkdale--High Park"," 107","Toronto",0,77,0,49,86,0,21,0,233,376
"Parkdale--High Park/Parkdale--High Park"," 108","Toronto",0,46,0,29,91,1,8,1,176,272
"Parkdale--High Park/Parkdale--High Park"," 109","Toronto",0,96,0,38,105,1,22,1,263,382
"Parkdale--High Park/Parkdale--High Park"," 110","Toronto",1,76,1,42,143,0,25,0,288,444
"Parkdale--High Park/Parkdale--High Park"," 111","Toronto",0,70,0,35,105,2,28,1,241,376
"Parkdale--High Park/Parkdale--High Park"," 112","Toronto",0,107,1,42,143,0,17,0,310,481
"Parkdale--High Park/Parkdale--High Park"," 113","Toronto",1,72,1,33,133,1,11,0,252,386
"Parkdale--High Park/Parkdale--High Park"," 114","Toronto",0,58,0,34,82,3,10,0,187,275
"Parkdale--High Park/Parkdale--High Park"," 115","Toronto",0,66,0,27,101,0,14,0,208,332
"Parkdale--High Park/Parkdale--High Park"," 116","Toronto",Merged with No. 117/Fusionné avec le nº 117,,,,,,,,,2
"Parkdale--High Park/Parkdale--High Park"," 117","Toronto",3,117,2,43,39,4,17,10,235,440
"Parkdale--High Park/Parkdale--High Park"," 118","Toronto",1,75,2,41,124,0,10,0,253,400
"Parkdale--High Park/Parkdale--High Park"," 119","Toronto",0,117,0,24,150,2,18,2,313,480
"Parkdale--High Park/Parkdale--High Park"," 120","Toronto",1,115,0,36,198,3,13,0,366,521
"Parkdale--High Park/Parkdale--High Park"," 121","Toronto",0,69,0,40,163,2,24,0,298,432
"Parkdale--High Park/Parkdale--High Park"," 122","Toronto",0,73,0,34,129,3,20,0,259,346
"Parkdale--High Park/Parkdale--High Park"," 123","Toronto",2,90,0,23,124,1,15,3,258,362
"Parkdale--High Park/Parkdale--High Park"," 124","Toronto",1,95,1,37,153,2,11,1,301,419
"Parkdale--High Park/Parkdale--High Park"," 125","Toronto",0,44,0,32,141,1,9,3,230,393
"Parkdale--High Park/Parkdale--High Park"," 126","Toronto",2,51,0,25,148,5,13,2,246,416
"Parkdale--High Park/Parkdale--High Park"," 127","Toronto",6,139,4,65,166,5,12,3,400,613
"Parkdale--High Park/Parkdale--High Park"," 128","Toronto",0,65,0,20,143,5,13,0,246,366
"Parkdale--High Park/Parkdale--High Park"," 129","Toronto",0,43,0,24,102,1,4,1,175,328
"Parkdale--High Park/Parkdale--High Park"," 130","Toronto",1,45,2,19,124,1,4,0,196,390
"Parkdale--High Park/Parkdale--High Park"," 131A","Toronto",0,58,1,26,109,2,16,2,214,415
"Parkdale--High Park/Parkdale--High Park"," 131B","Mobile poll/Bureau itinérant",Merged with No. 416/Fusionné avec le nº 416,,,,,,,,,47
"Parkdale--High Park/Parkdale--High Park"," 132","Toronto",1,77,0,12,152,1,17,0,260,446
"Parkdale--High Park/Parkdale--High Park"," 133","Toronto",0,85,0,35,150,1,17,0,288,461
"Parkdale--High Park/Parkdale--High Park"," 134","Toronto",0,72,2,16,151,1,19,2,263,417
"Parkdale--High Park/Parkdale--High Park"," 135","Toronto",0,98,3,30,132,3,14,1,281,538
"Parkdale--High Park/Parkdale--High Park"," 136","Toronto",0,72,3,29,193,0,22,0,319,519
"Parkdale--High Park/Parkdale--High Park"," 137","Toronto",1,98,3,38,114,2,4,3,263,573
"Parkdale--High Park/Parkdale--High Park"," 138","Toronto",0,87,0,21,62,0,0,0,170,344
"Parkdale--High Park/Parkdale--High Park"," 139","Toronto",2,82,1,31,125,1,10,0,252,485
"Parkdale--High Park/Parkdale--High Park"," 140","Toronto",0,60,2,21,117,2,9,1,212,392
"Parkdale--High Park/Parkdale--High Park"," 141","Toronto",2,152,4,24,75,1,5,8,271,420
"Parkdale--High Park/Parkdale--High Park"," 142","Toronto",0,96,1,10,153,2,13,3,278,475
"Parkdale--High Park/Parkdale--High Park"," 143","Toronto",2,80,1,19,201,2,19,2,326,556
"Parkdale--High Park/Parkdale--High Park"," 144","Toronto",0,82,2,24,42,2,3,0,155,325
"Parkdale--High Park/Parkdale--High Park"," 145","Toronto",0,59,0,34,66,0,5,1,165,331
"Parkdale--High Park/Parkdale--High Park"," 146","Toronto",1,116,1,25,114,1,10,1,269,557
"Parkdale--High Park/Parkdale--High Park"," 147","Toronto",1,79,1,33,91,0,6,1,212,402
"Parkdale--High Park/Parkdale--High Park"," 148","Toronto",1,130,0,40,105,2,6,0,284,604
"Parkdale--High Park/Parkdale--High Park"," 149","Toronto",3,118,3,28,73,1,3,0,229,467
"Parkdale--High Park/Parkdale--High Park"," 150A","Toronto",1,79,0,20,123,1,18,1,243,446
"Parkdale--High Park/Parkdale--High Park"," 150B","Mobile poll/Bureau itinérant",Merged with No. 416/Fusionné avec le nº 416,,,,,,,,,126
"Parkdale--High Park/Parkdale--High Park"," 151","Toronto",0,68,0,18,130,0,14,2,232,398
"Parkdale--High Park/Parkdale--High Park"," 152","Toronto",0,107,1,26,161,2,9,0,306,525
"Parkdale--High Park/Parkdale--High Park"," 153","Toronto",0,93,0,57,178,0,14,2,344,646
"Parkdale--High Park/Parkdale--High Park"," 154","Toronto",0,44,2,11,96,0,6,1,160,279
"Parkdale--High Park/Parkdale--High Park"," 155","Toronto",1,90,0,21,106,2,5,1,226,459
"Parkdale--High Park/Parkdale--High Park"," 156","Toronto",3,67,1,34,67,5,9,5,191,323
"Parkdale--High Park/Parkdale--High Park"," 157","Toronto",2,65,1,35,83,1,8,0,195,441
"Parkdale--High Park/Parkdale--High Park"," 158","Toronto",1,159,2,45,146,1,11,2,367,865
"Parkdale--High Park/Parkdale--High Park"," 159","Toronto",0,63,0,13,52,2,4,0,134,309
"Parkdale--High Park/Parkdale--High Park"," 160","Toronto",1,66,1,26,49,3,2,0,148,337
"Parkdale--High Park/Parkdale--High Park"," 161","Toronto",0,103,3,50,177,1,27,0,361,621
"Parkdale--High Park/Parkdale--High Park"," 400","Toronto",0,79,0,39,84,0,9,1,212,292
"Parkdale--High Park/Parkdale--High Park"," 401","Toronto",1,117,0,50,82,3,11,1,265,366
"Parkdale--High Park/Parkdale--High Park"," 402","Toronto",0,64,3,50,55,0,4,0,176,232
"Parkdale--High Park/Parkdale--High Park"," 403","Toronto",0,81,0,28,88,4,16,1,218,312
"Parkdale--High Park/Parkdale--High Park"," 404","Toronto",2,131,5,35,108,4,3,2,290,475
"Parkdale--High Park/Parkdale--High Park"," 405","Toronto",0,111,1,49,73,3,24,0,261,371
"Parkdale--High Park/Parkdale--High Park"," 406","Toronto",1,83,1,63,52,2,7,0,209,260
"Parkdale--High Park/Parkdale--High Park"," 407","Toronto",0,109,0,63,80,1,8,3,264,349
"Parkdale--High Park/Parkdale--High Park"," 408","Toronto",1,104,0,61,85,1,20,0,272,406
"Parkdale--High Park/Parkdale--High Park"," 409","Toronto",0,98,1,43,109,0,13,0,264,329
"Parkdale--High Park/Parkdale--High Park"," 410","Toronto",0,66,2,26,50,3,14,0,161,278
"Parkdale--High Park/Parkdale--High Park"," 411","Toronto",5,106,1,34,92,3,14,2,257,442
"Parkdale--High Park/Parkdale--High Park"," 412","Toronto",2,129,1,51,76,5,15,3,282,408
"Parkdale--High Park/Parkdale--High Park"," 413","Toronto",0,103,8,22,70,1,6,0,210,289
"Parkdale--High Park/Parkdale--High Park"," 414","Toronto",0,83,0,25,52,2,2,2,166,251
"Parkdale--High Park/Parkdale--High Park"," 415","Toronto",2,127,3,16,112,4,9,6,279,395
"Parkdale--High Park/Parkdale--High Park"," 416","Mobile poll/Bureau itinérant",2,67,2,31,23,0,5,3,133,200
"Parkdale--High Park/Parkdale--High Park"," 500","Mobile poll/Bureau itinérant",1,51,0,15,16,0,3,1,87,202
"Parkdale--High Park/Parkdale--High Park"," 501","Mobile poll/Bureau itinérant",3,31,3,11,23,4,6,0,81,256
"Parkdale--High Park/Parkdale--High Park"," 600","Toronto",0,274,1,190,253,3,38,3,762,
"Parkdale--High Park/Parkdale--High Park"," 601","Toronto",1,257,1,202,211,3,27,2,704,
"Parkdale--High Park/Parkdale--High Park"," 602","Toronto",2,246,0,130,260,2,31,1,672,
"Parkdale--High Park/Parkdale--High Park"," 603","Toronto",0,183,0,104,222,3,36,0,548,
"Parkdale--High Park/Parkdale--High Park"," 604","Toronto",0,139,0,56,169,3,23,1,391,
"Parkdale--High Park/Parkdale--High Park"," 605","Toronto",0,177,0,107,256,2,37,3,582,
"Parkdale--High Park/Parkdale--High Park"," 606","Toronto",0,229,0,64,356,6,44,3,702,
"Parkdale--High Park/Parkdale--High Park"," 607","Toronto",1,220,0,91,182,4,13,3,514,
"Parkdale--High Park/Parkdale--High Park",,Group 1/Groupe 1,0,54,0,18,34,2,1,0,109,187
"Parkdale--High Park/Parkdale--High Park",,Group 2/Groupe 2,0,342,1,149,350,2,54,9,907,
