Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Bracewell,Carol Lee Chapman,Bev Collins,Dick Harris,Christopher S. M. Kempling,Don Roberts,Alfred Julian Trudeau,Simon Yu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cariboo--Prince George/Cariboo--Prince George"," 33","Quesnel",11,1,2,102,4,0,69,55,1,245,465
"Cariboo--Prince George/Cariboo--Prince George"," 34","Quesnel",8,0,4,79,1,0,47,57,0,196,337
"Cariboo--Prince George/Cariboo--Prince George"," 35","Quesnel",5,0,3,127,1,1,81,62,0,280,458
"Cariboo--Prince George/Cariboo--Prince George"," 36","Quesnel",3,0,1,111,9,1,83,47,0,255,487
"Cariboo--Prince George/Cariboo--Prince George"," 37","Quesnel",10,0,0,137,4,0,77,50,0,278,539
"Cariboo--Prince George/Cariboo--Prince George"," 38","Quesnel",7,0,1,154,5,0,67,70,0,304,505
"Cariboo--Prince George/Cariboo--Prince George"," 39","Quesnel",1,0,0,81,1,1,32,32,1,149,226
"Cariboo--Prince George/Cariboo--Prince George"," 40","Quesnel",4,0,2,122,1,0,74,49,1,253,393
"Cariboo--Prince George/Cariboo--Prince George"," 41","Quesnel",0,0,0,75,5,0,35,34,0,149,286
"Cariboo--Prince George/Cariboo--Prince George"," 42","Barlow",Merged with No. 43/Fusionné avec le nº 43,,,,,,,,,,199
"Cariboo--Prince George/Cariboo--Prince George"," 43","Barlow",8,1,1,116,1,0,81,53,0,261,261
"Cariboo--Prince George/Cariboo--Prince George"," 44","Quesnel",3,1,0,116,11,2,69,52,0,254,464
"Cariboo--Prince George/Cariboo--Prince George"," 45","Quesnel",3,1,3,81,4,0,40,37,0,169,375
"Cariboo--Prince George/Cariboo--Prince George"," 46","Quesnel",9,0,2,74,3,0,32,41,2,163,344
"Cariboo--Prince George/Cariboo--Prince George"," 47","Quesnel",3,0,0,49,1,0,24,31,0,108,250
"Cariboo--Prince George/Cariboo--Prince George"," 48","Quesnel",7,2,2,54,6,0,38,27,0,136,406
"Cariboo--Prince George/Cariboo--Prince George"," 49","Quesnel",4,1,4,81,3,1,59,35,1,189,448
"Cariboo--Prince George/Cariboo--Prince George"," 50","Quesnel",3,4,0,64,3,1,48,29,7,159,345
"Cariboo--Prince George/Cariboo--Prince George"," 51","Quesnel",11,1,1,95,2,0,76,40,2,228,467
"Cariboo--Prince George/Cariboo--Prince George"," 52","Quesnel",3,0,5,69,0,0,62,50,0,189,370
"Cariboo--Prince George/Cariboo--Prince George"," 53","Quesnel",3,0,0,34,0,1,31,21,0,90,232
"Cariboo--Prince George/Cariboo--Prince George"," 54","Quesnel",4,2,4,68,3,0,53,46,1,181,372
"Cariboo--Prince George/Cariboo--Prince George"," 55","Quesnel",3,0,1,74,4,0,40,30,2,154,310
"Cariboo--Prince George/Cariboo--Prince George"," 56","Quesnel",9,0,1,74,2,0,57,40,1,184,349
"Cariboo--Prince George/Cariboo--Prince George"," 57","Quesnel",6,0,3,90,7,1,61,56,0,224,347
"Cariboo--Prince George/Cariboo--Prince George"," 58","Quesnel",6,1,0,111,8,0,38,64,0,228,390
"Cariboo--Prince George/Cariboo--Prince George"," 59","Dog Creek",9,0,1,152,6,0,16,17,0,201,316
"Cariboo--Prince George/Cariboo--Prince George"," 60","Vanderhoof",2,2,0,94,4,0,15,27,0,144,294
"Cariboo--Prince George/Cariboo--Prince George"," 61","Six Mile Meadow 6",Void/Supprimé,,,,,,,,,,
"Cariboo--Prince George/Cariboo--Prince George"," 62","Chilco",6,0,0,107,3,0,17,24,0,157,277
"Cariboo--Prince George/Cariboo--Prince George"," 63","Vanderhoof",6,1,1,160,6,0,35,47,2,258,427
"Cariboo--Prince George/Cariboo--Prince George"," 64","Vanderhoof",12,0,2,70,7,0,34,29,0,154,292
"Cariboo--Prince George/Cariboo--Prince George"," 65","Vanderhoof",5,1,1,149,5,0,15,31,0,207,329
"Cariboo--Prince George/Cariboo--Prince George"," 66","Vanderhoof",4,1,3,120,9,0,22,46,1,206,341
"Cariboo--Prince George/Cariboo--Prince George"," 67","Vanderhoof",14,0,3,142,7,1,53,51,0,271,523
"Cariboo--Prince George/Cariboo--Prince George"," 68","Vanderhoof",12,1,2,152,2,0,31,39,0,239,588
"Cariboo--Prince George/Cariboo--Prince George"," 69","Vanderhoof",10,0,0,112,2,1,40,48,2,215,372
"Cariboo--Prince George/Cariboo--Prince George"," 70","Vanderhoof",7,0,0,97,9,0,12,15,0,140,200
"Cariboo--Prince George/Cariboo--Prince George"," 71","Nulki",7,0,3,55,3,0,23,30,1,122,292
"Cariboo--Prince George/Cariboo--Prince George"," 72","Weneez",6,1,0,78,1,0,9,13,0,108,187
"Cariboo--Prince George/Cariboo--Prince George"," 73","Mapes",4,0,0,85,6,0,11,14,0,120,228
"Cariboo--Prince George/Cariboo--Prince George"," 74","Finmoore",9,0,0,84,2,1,34,44,0,174,282
"Cariboo--Prince George/Cariboo--Prince George"," 75","Telachick",1,0,0,34,0,0,20,19,0,74,154
"Cariboo--Prince George/Cariboo--Prince George"," 76","Nechako",3,0,1,58,0,0,5,21,0,88,143
"Cariboo--Prince George/Cariboo--Prince George"," 77","Nechako",19,0,1,77,0,0,50,47,0,194,298
"Cariboo--Prince George/Cariboo--Prince George"," 78","Prince George",7,0,6,100,0,0,25,37,1,176,283
"Cariboo--Prince George/Cariboo--Prince George"," 79","Prince George",14,0,0,137,1,1,61,89,0,303,555
"Cariboo--Prince George/Cariboo--Prince George"," 80","Prince George",6,0,3,101,2,1,42,47,0,202,344
"Cariboo--Prince George/Cariboo--Prince George"," 81","Prince George",7,0,0,43,2,0,20,16,0,88,189
"Cariboo--Prince George/Cariboo--Prince George"," 82","Prince George",6,1,1,114,1,0,31,48,0,202,405
"Cariboo--Prince George/Cariboo--Prince George"," 83","Prince George",9,0,1,135,4,1,63,76,3,292,583
"Cariboo--Prince George/Cariboo--Prince George"," 84","Prince George",10,1,4,115,2,0,34,64,1,231,426
"Cariboo--Prince George/Cariboo--Prince George"," 85","Prince George",13,0,0,130,0,0,40,65,0,248,509
"Cariboo--Prince George/Cariboo--Prince George"," 86","Prince George",4,0,1,112,0,0,41,79,1,238,448
"Cariboo--Prince George/Cariboo--Prince George"," 87","Prince George",9,0,0,60,0,0,34,39,0,142,255
"Cariboo--Prince George/Cariboo--Prince George"," 88","Prince George",21,0,1,89,0,0,40,79,1,231,362
"Cariboo--Prince George/Cariboo--Prince George"," 89","Prince George",6,0,2,46,0,0,30,30,1,115,245
"Cariboo--Prince George/Cariboo--Prince George"," 90","Prince George",13,0,3,45,0,0,47,44,0,152,257
"Cariboo--Prince George/Cariboo--Prince George"," 91","Prince George",9,0,0,71,3,1,21,49,0,154,267
"Cariboo--Prince George/Cariboo--Prince George"," 92","Prince George",6,1,0,106,1,0,33,82,2,231,384
"Cariboo--Prince George/Cariboo--Prince George"," 93","Prince George",7,0,1,59,1,0,20,44,0,132,293
"Cariboo--Prince George/Cariboo--Prince George"," 94","Prince George",8,0,3,71,1,0,18,47,0,148,259
"Cariboo--Prince George/Cariboo--Prince George"," 95","Prince George",21,0,2,80,3,1,51,57,0,215,379
"Cariboo--Prince George/Cariboo--Prince George"," 96","Prince George",6,0,0,84,1,0,47,68,0,206,368
"Cariboo--Prince George/Cariboo--Prince George"," 97","Prince George",17,1,3,98,1,0,57,60,0,237,433
"Cariboo--Prince George/Cariboo--Prince George"," 98","Prince George",10,0,2,94,2,2,44,74,0,228,376
"Cariboo--Prince George/Cariboo--Prince George"," 99","Prince George",4,0,0,70,0,0,60,51,0,185,354
"Cariboo--Prince George/Cariboo--Prince George"," 100","Prince George",18,0,2,119,3,0,56,63,0,261,450
"Cariboo--Prince George/Cariboo--Prince George"," 101","Prince George",11,0,1,108,2,0,69,67,0,258,399
"Cariboo--Prince George/Cariboo--Prince George"," 102","Prince George",9,0,2,75,0,0,38,62,0,186,332
"Cariboo--Prince George/Cariboo--Prince George"," 103","Nechako",26,1,0,146,0,1,55,69,2,300,498
"Cariboo--Prince George/Cariboo--Prince George"," 104","Mud River",9,0,2,104,1,0,28,48,0,192,302
"Cariboo--Prince George/Cariboo--Prince George"," 105","Mud River",7,0,1,55,4,0,8,34,0,109,203
"Cariboo--Prince George/Cariboo--Prince George"," 106","Beaverley",11,1,3,118,0,0,61,67,0,261,511
"Cariboo--Prince George/Cariboo--Prince George"," 107","Baldy Hughes",3,1,0,35,0,0,17,21,0,77,173
"Cariboo--Prince George/Cariboo--Prince George"," 108","Hixon",Void/Supprimé,,,,,,,,,,
"Cariboo--Prince George/Cariboo--Prince George"," 109","Buckhorn",Void/Supprimé,,,,,,,,,,
"Cariboo--Prince George/Cariboo--Prince George"," 110","Prince George",11,0,1,116,2,0,56,91,1,278,525
"Cariboo--Prince George/Cariboo--Prince George"," 111","Prince George",8,0,0,93,3,0,42,84,0,230,444
"Cariboo--Prince George/Cariboo--Prince George"," 112","Prince George",12,0,0,72,1,0,31,47,1,164,282
"Cariboo--Prince George/Cariboo--Prince George"," 113","Prince George",7,0,1,97,4,0,38,83,0,230,407
"Cariboo--Prince George/Cariboo--Prince George"," 114","Prince George",10,0,0,55,0,0,40,25,0,130,249
"Cariboo--Prince George/Cariboo--Prince George"," 115","Prince George",14,0,0,60,0,0,38,54,0,166,316
"Cariboo--Prince George/Cariboo--Prince George"," 116","Prince George",6,0,1,73,0,0,42,51,1,174,338
"Cariboo--Prince George/Cariboo--Prince George"," 117","Prince George",5,0,1,67,2,1,46,43,2,167,308
"Cariboo--Prince George/Cariboo--Prince George"," 118","Prince George",4,0,1,66,1,0,44,39,1,156,320
"Cariboo--Prince George/Cariboo--Prince George"," 119","Prince George",11,0,0,65,0,3,40,44,0,163,315
"Cariboo--Prince George/Cariboo--Prince George"," 120","Prince George",3,0,1,29,0,0,58,47,1,139,295
"Cariboo--Prince George/Cariboo--Prince George"," 121","Prince George",9,0,1,46,0,0,59,36,0,151,334
"Cariboo--Prince George/Cariboo--Prince George"," 122","Prince George",5,0,0,76,0,0,44,40,0,165,259
"Cariboo--Prince George/Cariboo--Prince George"," 123","Prince George",8,0,2,93,2,1,66,63,0,235,390
"Cariboo--Prince George/Cariboo--Prince George"," 124","Prince George",12,0,0,41,0,0,37,25,1,116,259
"Cariboo--Prince George/Cariboo--Prince George"," 125","Prince George",9,0,0,40,1,2,37,15,0,104,282
"Cariboo--Prince George/Cariboo--Prince George"," 126","Prince George",16,0,2,85,3,0,66,49,1,222,552
"Cariboo--Prince George/Cariboo--Prince George"," 127","Prince George",17,2,1,90,0,0,52,111,1,274,472
"Cariboo--Prince George/Cariboo--Prince George"," 128","Prince George",4,1,1,105,0,1,55,78,1,246,461
"Cariboo--Prince George/Cariboo--Prince George"," 129","Prince George",11,1,1,80,1,0,66,55,0,215,367
"Cariboo--Prince George/Cariboo--Prince George"," 130","Prince George",7,0,0,83,5,3,56,50,0,204,409
"Cariboo--Prince George/Cariboo--Prince George"," 131","Prince George",21,0,0,67,0,1,47,75,0,211,355
"Cariboo--Prince George/Cariboo--Prince George"," 132","Prince George",13,0,1,74,2,0,58,71,1,220,372
"Cariboo--Prince George/Cariboo--Prince George"," 133","Prince George",11,1,3,30,0,1,38,23,1,108,287
"Cariboo--Prince George/Cariboo--Prince George"," 134A","Prince George",9,0,3,74,1,0,65,50,0,202,414
"Cariboo--Prince George/Cariboo--Prince George"," 134B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,,46
"Cariboo--Prince George/Cariboo--Prince George"," 135","Prince George",9,4,2,47,2,0,38,31,1,134,317
"Cariboo--Prince George/Cariboo--Prince George"," 136","Prince George",11,1,0,85,2,2,59,73,1,234,390
"Cariboo--Prince George/Cariboo--Prince George"," 137","Prince George",7,2,0,69,2,0,32,38,0,150,288
"Cariboo--Prince George/Cariboo--Prince George"," 138","Prince George",9,0,0,81,3,2,66,78,0,239,441
"Cariboo--Prince George/Cariboo--Prince George"," 139","Prince George",3,0,0,64,5,1,31,50,1,155,303
"Cariboo--Prince George/Cariboo--Prince George"," 140","Prince George",12,0,0,37,2,0,47,41,1,140,284
"Cariboo--Prince George/Cariboo--Prince George"," 141","Prince George",9,0,0,28,2,1,25,25,1,91,210
"Cariboo--Prince George/Cariboo--Prince George"," 142","Prince George",15,1,1,120,4,0,71,71,0,283,575
"Cariboo--Prince George/Cariboo--Prince George"," 143","Prince George",11,1,0,102,0,0,57,70,0,241,438
"Cariboo--Prince George/Cariboo--Prince George"," 144","Prince George",11,1,1,110,5,0,52,84,1,265,503
"Cariboo--Prince George/Cariboo--Prince George"," 145","Prince George",3,0,1,49,2,1,27,26,0,109,228
"Cariboo--Prince George/Cariboo--Prince George"," 146","Prince George",8,0,0,56,0,0,48,43,0,155,311
"Cariboo--Prince George/Cariboo--Prince George"," 147","Prince George",9,0,3,52,1,0,44,45,0,154,334
"Cariboo--Prince George/Cariboo--Prince George"," 148","Prince George",10,2,1,40,0,2,47,31,0,133,322
"Cariboo--Prince George/Cariboo--Prince George"," 149","Prince George",11,2,1,74,2,0,66,55,0,211,443
"Cariboo--Prince George/Cariboo--Prince George"," 150","Prince George",8,1,0,30,2,0,25,21,1,88,230
"Cariboo--Prince George/Cariboo--Prince George"," 151","Prince George",17,1,8,51,0,0,55,63,1,196,358
"Cariboo--Prince George/Cariboo--Prince George"," 152","Prince George",28,0,0,59,3,0,44,67,1,202,354
"Cariboo--Prince George/Cariboo--Prince George"," 153","Prince George",6,2,3,48,0,2,39,24,1,125,274
"Cariboo--Prince George/Cariboo--Prince George"," 154","Prince George",12,1,4,86,1,0,61,45,0,210,463
"Cariboo--Prince George/Cariboo--Prince George"," 155","Prince George",7,0,2,35,0,0,32,32,0,108,334
"Cariboo--Prince George/Cariboo--Prince George"," 156","Prince George",9,1,1,25,0,0,23,7,0,66,129
"Cariboo--Prince George/Cariboo--Prince George"," 157","Prince George",13,0,0,70,1,0,55,41,0,180,434
"Cariboo--Prince George/Cariboo--Prince George"," 158","Prince George",8,0,1,84,1,2,54,34,0,184,354
"Cariboo--Prince George/Cariboo--Prince George"," 159","Prince George",4,0,2,47,3,0,51,38,0,145,327
"Cariboo--Prince George/Cariboo--Prince George"," 160","Prince George",8,1,2,74,1,0,44,39,0,169,403
"Cariboo--Prince George/Cariboo--Prince George"," 161","Prince George",12,0,1,64,0,0,38,41,0,156,355
"Cariboo--Prince George/Cariboo--Prince George"," 162","Prince George",16,1,0,89,0,0,60,36,0,202,373
"Cariboo--Prince George/Cariboo--Prince George"," 163","Prince George",6,1,3,81,1,0,43,49,0,184,380
"Cariboo--Prince George/Cariboo--Prince George"," 164","Prince George",7,0,0,87,4,0,56,53,0,207,423
"Cariboo--Prince George/Cariboo--Prince George"," 165","Prince George",17,0,2,82,1,0,69,85,2,258,400
"Cariboo--Prince George/Cariboo--Prince George"," 166","Prince George",8,1,0,57,1,0,31,49,0,147,287
"Cariboo--Prince George/Cariboo--Prince George"," 167","Prince George",3,0,0,56,2,1,31,44,1,138,302
"Cariboo--Prince George/Cariboo--Prince George"," 168","Prince George",6,0,1,73,2,0,50,51,0,183,351
"Cariboo--Prince George/Cariboo--Prince George"," 169","Prince George",14,0,2,69,1,3,46,50,0,185,448
"Cariboo--Prince George/Cariboo--Prince George"," 170","Prince George",15,0,1,94,0,0,40,49,0,199,349
"Cariboo--Prince George/Cariboo--Prince George"," 171","Prince George",11,0,0,60,1,0,32,49,0,153,253
"Cariboo--Prince George/Cariboo--Prince George"," 172","Prince George",13,0,3,140,6,0,47,81,0,290,492
"Cariboo--Prince George/Cariboo--Prince George"," 173","Riske Creek",5,4,1,24,0,0,15,11,0,60,158
"Cariboo--Prince George/Cariboo--Prince George"," 174","Williams Lake",17,0,1,47,0,0,14,14,0,93,213
"Cariboo--Prince George/Cariboo--Prince George"," 175","McLeese Lake",22,0,2,103,3,0,39,33,0,202,312
"Cariboo--Prince George/Cariboo--Prince George"," 176","Big Lake Ranch",12,0,1,98,2,1,46,37,1,198,333
"Cariboo--Prince George/Cariboo--Prince George"," 177","Likely",13,0,0,65,0,0,36,40,1,155,282
"Cariboo--Prince George/Cariboo--Prince George"," 178","Horsefly",17,0,0,118,1,0,41,51,0,228,352
"Cariboo--Prince George/Cariboo--Prince George"," 179","Horsefly",15,1,0,39,0,0,17,20,1,93,125
"Cariboo--Prince George/Cariboo--Prince George"," 180","Miocene",25,0,0,99,1,1,41,28,0,195,299
"Cariboo--Prince George/Cariboo--Prince George"," 181","Soda Creek",11,0,2,46,0,0,46,50,0,155,321
"Cariboo--Prince George/Cariboo--Prince George"," 182","Williams Lake",29,1,1,111,7,0,48,42,0,239,448
"Cariboo--Prince George/Cariboo--Prince George"," 183","Williams Lake",19,1,1,88,0,0,41,33,0,183,384
"Cariboo--Prince George/Cariboo--Prince George"," 184","Pine Valley",9,0,1,43,1,0,18,23,0,95,160
"Cariboo--Prince George/Cariboo--Prince George"," 185","Dugan Lake",5,0,1,77,2,0,18,20,0,123,185
"Cariboo--Prince George/Cariboo--Prince George"," 186","Williams Lake",5,1,1,30,0,0,24,16,0,77,262
"Cariboo--Prince George/Cariboo--Prince George"," 187","Williams Lake",22,0,0,70,0,1,65,29,2,189,493
"Cariboo--Prince George/Cariboo--Prince George"," 188","Williams Lake",12,0,1,78,1,0,34,42,0,168,288
"Cariboo--Prince George/Cariboo--Prince George"," 189","Williams Lake",5,0,0,87,6,0,51,47,1,197,342
"Cariboo--Prince George/Cariboo--Prince George"," 190A","Williams Lake",17,0,0,115,1,1,35,34,0,203,402
"Cariboo--Prince George/Cariboo--Prince George"," 190B","Williams Lake",12,0,1,108,2,0,40,44,0,207,414
"Cariboo--Prince George/Cariboo--Prince George"," 191","Williams Lake",13,1,0,54,0,0,37,53,1,159,314
"Cariboo--Prince George/Cariboo--Prince George"," 192","Williams Lake",3,0,1,61,0,0,33,31,0,129,274
"Cariboo--Prince George/Cariboo--Prince George"," 193A","Williams Lake",2,2,0,89,2,0,94,54,1,244,508
"Cariboo--Prince George/Cariboo--Prince George"," 193B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,,,66
"Cariboo--Prince George/Cariboo--Prince George"," 194","Williams Lake",14,0,3,76,2,1,60,40,0,196,375
"Cariboo--Prince George/Cariboo--Prince George"," 195","Williams Lake",9,0,0,75,0,0,42,48,0,174,333
"Cariboo--Prince George/Cariboo--Prince George"," 196","Williams Lake",9,0,0,76,2,1,37,38,1,164,334
"Cariboo--Prince George/Cariboo--Prince George"," 197","Williams Lake",17,0,0,82,1,0,55,39,0,194,467
"Cariboo--Prince George/Cariboo--Prince George"," 198","Williams Lake",22,0,0,93,0,1,38,39,0,193,327
"Cariboo--Prince George/Cariboo--Prince George"," 199","Williams Lake",11,0,0,69,0,0,57,40,0,177,358
"Cariboo--Prince George/Cariboo--Prince George"," 200","Williams Lake",14,1,1,71,1,0,52,59,1,200,408
"Cariboo--Prince George/Cariboo--Prince George"," 201","Williams Lake",5,0,0,56,3,0,37,53,0,154,313
"Cariboo--Prince George/Cariboo--Prince George"," 202","Williams Lake",12,1,0,50,0,0,22,34,3,122,306
"Cariboo--Prince George/Cariboo--Prince George"," 203","Williams Lake",4,1,0,41,0,1,25,12,0,84,210
"Cariboo--Prince George/Cariboo--Prince George"," 204","Williams Lake",10,1,0,31,0,3,31,39,0,115,268
"Cariboo--Prince George/Cariboo--Prince George"," 205","Williams Lake",22,0,0,75,3,0,47,33,1,181,383
"Cariboo--Prince George/Cariboo--Prince George"," 206","Williams Lake",14,0,0,97,1,0,48,54,0,214,410
"Cariboo--Prince George/Cariboo--Prince George"," 207","Williams Lake",22,0,0,58,0,1,31,51,0,163,363
"Cariboo--Prince George/Cariboo--Prince George"," 208","Williams Lake",14,1,0,102,1,0,51,51,3,223,434
"Cariboo--Prince George/Cariboo--Prince George"," 209","South Williams Lake",Void/Supprimé,,,,,,,,,,
"Cariboo--Prince George/Cariboo--Prince George"," 210A","Williams Lake",6,0,1,84,2,0,21,34,0,148,281
"Cariboo--Prince George/Cariboo--Prince George"," 210B","Williams Lake",7,0,3,71,1,0,33,15,0,130,284
"Cariboo--Prince George/Cariboo--Prince George"," 211","Williams Lake",16,0,0,81,1,0,39,28,0,165,388
"Cariboo--Prince George/Cariboo--Prince George"," 212","Williams Lake",14,0,1,89,1,0,41,35,0,181,317
"Cariboo--Prince George/Cariboo--Prince George"," 213","Chimney Creek 5",26,0,0,130,2,0,46,37,0,241,330
"Cariboo--Prince George/Cariboo--Prince George"," 214","Springhouse",12,0,0,88,1,0,49,37,0,187,333
"Cariboo--Prince George/Cariboo--Prince George"," 215","Springhouse",Void/Supprimé,,,,,,,,,,
"Cariboo--Prince George/Cariboo--Prince George"," 216","Alkali Lake",8,1,4,20,2,0,33,87,0,155,263
"Cariboo--Prince George/Cariboo--Prince George"," 217","Dog Creek",3,0,0,7,0,3,14,33,0,60,94
"Cariboo--Prince George/Cariboo--Prince George"," 218","Williams Lake",12,1,0,66,1,0,22,30,0,132,206
"Cariboo--Prince George/Cariboo--Prince George"," 219","150 Mile House",9,3,1,80,1,0,41,51,1,187,311
"Cariboo--Prince George/Cariboo--Prince George"," 220","150 Mile House",10,0,1,161,3,0,76,64,0,315,465
"Cariboo--Prince George/Cariboo--Prince George"," 221A","Dugan Lake",21,0,0,72,2,0,35,34,0,164,296
"Cariboo--Prince George/Cariboo--Prince George"," 221B","Dugan Lake",14,1,1,70,4,1,41,36,1,169,290
"Cariboo--Prince George/Cariboo--Prince George"," 500","Mobile poll/Bureau itinérant",3,0,1,14,1,2,8,5,1,35,53
"Cariboo--Prince George/Cariboo--Prince George"," 501","Mobile poll/Bureau itinérant",4,4,1,22,1,1,10,12,4,59,39
"Cariboo--Prince George/Cariboo--Prince George"," 502","Mobile poll/Bureau itinérant",1,1,2,12,1,0,13,8,0,38,90
"Cariboo--Prince George/Cariboo--Prince George"," 503","Mobile poll/Bureau itinérant",2,1,1,20,0,0,17,17,1,59,11
"Cariboo--Prince George/Cariboo--Prince George"," 600","Hagensborg",1,0,0,21,2,0,13,4,0,41,
"Cariboo--Prince George/Cariboo--Prince George"," 601","Chilcotin",4,0,0,37,0,1,15,8,0,65,
"Cariboo--Prince George/Cariboo--Prince George"," 602","Quesnel",5,0,1,196,7,0,78,66,0,353,
"Cariboo--Prince George/Cariboo--Prince George"," 603","Quesnel",7,2,1,182,12,0,104,99,2,409,
"Cariboo--Prince George/Cariboo--Prince George"," 604","Vanderhoof",16,0,0,170,3,0,24,38,1,252,
"Cariboo--Prince George/Cariboo--Prince George"," 605","Prince George",17,2,1,388,6,1,94,161,1,671,
"Cariboo--Prince George/Cariboo--Prince George"," 606","Prince George",36,0,11,450,6,2,214,249,0,968,
"Cariboo--Prince George/Cariboo--Prince George"," 607","Williams Lake",18,0,3,302,6,1,116,117,1,564,
"Cariboo--Prince George/Cariboo--Prince George"," 608","Williams Lake",31,0,1,246,2,1,97,91,1,470,
"Cariboo--Prince George/Cariboo--Prince George",,Group 1/Groupe 1,11,1,1,37,0,0,15,35,2,102,180
"Cariboo--Prince George/Cariboo--Prince George",,Group 2/Groupe 2,55,1,9,439,10,5,187,239,12,957,
