Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stanley Haroun,Peter Johnston,Mike Melymick,John Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--St. Albert/Edmonton--St. Albert"," 143","Edmonton",65,4,29,129,0,227,416
"Edmonton--St. Albert/Edmonton--St. Albert"," 144","Edmonton",67,0,25,97,0,189,333
"Edmonton--St. Albert/Edmonton--St. Albert"," 145","Edmonton",54,10,39,187,0,290,576
"Edmonton--St. Albert/Edmonton--St. Albert"," 146","Edmonton",44,18,36,136,1,235,433
"Edmonton--St. Albert/Edmonton--St. Albert"," 147","Edmonton",56,15,49,180,0,300,522
"Edmonton--St. Albert/Edmonton--St. Albert"," 148","Edmonton",62,9,49,142,1,263,434
"Edmonton--St. Albert/Edmonton--St. Albert"," 149","Edmonton",37,12,22,100,0,171,298
"Edmonton--St. Albert/Edmonton--St. Albert"," 150","Edmonton",40,7,42,112,0,201,377
"Edmonton--St. Albert/Edmonton--St. Albert"," 151","Edmonton",48,10,42,104,2,206,390
"Edmonton--St. Albert/Edmonton--St. Albert"," 152","Edmonton",86,6,29,127,1,249,456
"Edmonton--St. Albert/Edmonton--St. Albert"," 153","Edmonton",24,13,24,95,1,157,349
"Edmonton--St. Albert/Edmonton--St. Albert"," 154","Edmonton",52,11,18,75,2,158,309
"Edmonton--St. Albert/Edmonton--St. Albert"," 155","Edmonton",62,6,18,66,0,152,298
"Edmonton--St. Albert/Edmonton--St. Albert"," 156","Edmonton",47,18,33,113,1,212,375
"Edmonton--St. Albert/Edmonton--St. Albert"," 157","Edmonton",29,12,22,41,1,105,256
"Edmonton--St. Albert/Edmonton--St. Albert"," 158","Edmonton",63,9,22,66,1,161,410
"Edmonton--St. Albert/Edmonton--St. Albert"," 159","Edmonton",96,20,49,153,0,318,616
"Edmonton--St. Albert/Edmonton--St. Albert"," 160","Edmonton",72,9,40,104,0,225,482
"Edmonton--St. Albert/Edmonton--St. Albert"," 161","Edmonton",103,12,27,107,0,249,495
"Edmonton--St. Albert/Edmonton--St. Albert"," 162A","Edmonton",55,5,19,58,1,138,261
"Edmonton--St. Albert/Edmonton--St. Albert"," 162B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,98
"Edmonton--St. Albert/Edmonton--St. Albert"," 162C","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,63
"Edmonton--St. Albert/Edmonton--St. Albert"," 163","Edmonton",43,17,39,77,0,176,291
"Edmonton--St. Albert/Edmonton--St. Albert"," 164","Edmonton",85,9,42,213,2,351,770
"Edmonton--St. Albert/Edmonton--St. Albert"," 165","Edmonton",65,11,28,115,0,219,457
"Edmonton--St. Albert/Edmonton--St. Albert"," 166","Edmonton",51,7,23,68,0,149,397
"Edmonton--St. Albert/Edmonton--St. Albert"," 167","Edmonton",72,21,40,136,0,269,598
"Edmonton--St. Albert/Edmonton--St. Albert"," 168","Edmonton",83,3,21,83,1,191,355
"Edmonton--St. Albert/Edmonton--St. Albert"," 169","Edmonton",68,4,24,120,1,217,387
"Edmonton--St. Albert/Edmonton--St. Albert"," 170","Edmonton",42,17,49,98,1,207,500
"Edmonton--St. Albert/Edmonton--St. Albert"," 171","Edmonton",67,4,32,96,1,200,436
"Edmonton--St. Albert/Edmonton--St. Albert"," 172","Edmonton",56,13,53,161,1,284,600
"Edmonton--St. Albert/Edmonton--St. Albert"," 173","Edmonton",57,12,30,92,1,192,383
"Edmonton--St. Albert/Edmonton--St. Albert"," 174","Edmonton",66,6,24,92,0,188,371
"Edmonton--St. Albert/Edmonton--St. Albert"," 175A","Edmonton",40,14,41,143,1,239,547
"Edmonton--St. Albert/Edmonton--St. Albert"," 175B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,79
"Edmonton--St. Albert/Edmonton--St. Albert"," 176","Edmonton",57,18,32,127,0,234,476
"Edmonton--St. Albert/Edmonton--St. Albert"," 177","Edmonton",49,6,17,63,0,135,322
"Edmonton--St. Albert/Edmonton--St. Albert"," 178","Edmonton",50,9,32,113,2,206,377
"Edmonton--St. Albert/Edmonton--St. Albert"," 179","Edmonton",73,16,35,119,0,243,511
"Edmonton--St. Albert/Edmonton--St. Albert"," 180","Edmonton",56,16,23,94,0,189,377
"Edmonton--St. Albert/Edmonton--St. Albert"," 181","Edmonton",61,12,20,83,0,176,399
"Edmonton--St. Albert/Edmonton--St. Albert"," 182","Edmonton",54,9,21,102,0,186,349
"Edmonton--St. Albert/Edmonton--St. Albert"," 183","Edmonton",36,10,27,91,0,164,448
"Edmonton--St. Albert/Edmonton--St. Albert"," 184","Edmonton",Merged with No. 193/Fusionné avec le nº 193,,,,,,170
"Edmonton--St. Albert/Edmonton--St. Albert"," 185","Edmonton",58,16,59,157,1,291,479
"Edmonton--St. Albert/Edmonton--St. Albert"," 186","Edmonton",43,9,25,126,0,203,368
"Edmonton--St. Albert/Edmonton--St. Albert"," 187","Edmonton",41,9,21,136,0,207,330
"Edmonton--St. Albert/Edmonton--St. Albert"," 188","Edmonton",60,15,33,118,0,226,372
"Edmonton--St. Albert/Edmonton--St. Albert"," 189","Edmonton",44,9,31,111,0,195,323
"Edmonton--St. Albert/Edmonton--St. Albert"," 190","Edmonton",40,8,21,81,1,151,269
"Edmonton--St. Albert/Edmonton--St. Albert"," 191A","Edmonton",26,4,15,65,0,110,287
"Edmonton--St. Albert/Edmonton--St. Albert"," 191B","Mobile poll/Bureau itinérant",Merged with No. 502C/Fusionné avec le nº 502C,,,,,,32
"Edmonton--St. Albert/Edmonton--St. Albert"," 192","Edmonton",94,15,56,275,1,441,590
"Edmonton--St. Albert/Edmonton--St. Albert"," 193","Edmonton",27,17,41,126,0,211,211
"Edmonton--St. Albert/Edmonton--St. Albert"," 194","Edmonton",54,22,38,135,1,250,448
"Edmonton--St. Albert/Edmonton--St. Albert"," 195","Edmonton",51,16,30,100,1,198,396
"Edmonton--St. Albert/Edmonton--St. Albert"," 196","Edmonton",Merged with No. 197/Fusionné avec le nº 197,,,,,,211
"Edmonton--St. Albert/Edmonton--St. Albert"," 197","Edmonton",47,12,45,152,0,256,270
"Edmonton--St. Albert/Edmonton--St. Albert"," 198","Edmonton",36,17,36,71,0,160,402
"Edmonton--St. Albert/Edmonton--St. Albert"," 199","Edmonton",33,14,33,95,0,175,413
"Edmonton--St. Albert/Edmonton--St. Albert"," 200","Edmonton",56,16,34,129,1,236,222
"Edmonton--St. Albert/Edmonton--St. Albert"," 201","Edmonton",Merged with No. 200/Fusionné avec le nº 200,,,,,,216
"Edmonton--St. Albert/Edmonton--St. Albert"," 202","Edmonton",45,14,52,101,0,212,448
"Edmonton--St. Albert/Edmonton--St. Albert"," 203","Edmonton",31,22,48,73,0,174,404
"Edmonton--St. Albert/Edmonton--St. Albert"," 204","Edmonton",31,22,37,93,0,183,405
"Edmonton--St. Albert/Edmonton--St. Albert"," 205","Edmonton",43,15,43,108,0,209,413
"Edmonton--St. Albert/Edmonton--St. Albert"," 206","Edmonton",72,9,29,116,2,228,453
"Edmonton--St. Albert/Edmonton--St. Albert"," 207","Edmonton",37,14,48,118,0,217,364
"Edmonton--St. Albert/Edmonton--St. Albert"," 208","Edmonton",27,12,44,104,2,189,402
"Edmonton--St. Albert/Edmonton--St. Albert"," 209","Edmonton",21,7,27,75,0,130,394
"Edmonton--St. Albert/Edmonton--St. Albert"," 210","Edmonton",39,11,43,110,1,204,356
"Edmonton--St. Albert/Edmonton--St. Albert"," 211","Edmonton",41,15,52,68,1,177,452
"Edmonton--St. Albert/Edmonton--St. Albert"," 400","Edmonton",Void/Supprimé,,,,,,
"Edmonton--St. Albert/Edmonton--St. Albert"," 401","Mobile poll/Bureau itinérant",31,6,15,56,2,110,59
"Edmonton--St. Albert/Edmonton--St. Albert"," 500","Mobile poll/Bureau itinérant",36,2,11,58,1,108,136
"Edmonton--St. Albert/Edmonton--St. Albert"," 501A","Mobile poll/Bureau itinérant",Merged with No. 502C/Fusionné avec le nº 502C,,,,,,106
"Edmonton--St. Albert/Edmonton--St. Albert"," 501B","Mobile poll/Bureau itinérant",30,12,14,47,6,109,104
"Edmonton--St. Albert/Edmonton--St. Albert"," 502A","Mobile poll/Bureau itinérant",45,5,21,74,2,147,21
"Edmonton--St. Albert/Edmonton--St. Albert"," 502B","Mobile poll/Bureau itinérant",Merged with No. 502C/Fusionné avec le nº 502C,,,,,,55
"Edmonton--St. Albert/Edmonton--St. Albert"," 502C","Mobile poll/Bureau itinérant",54,14,31,108,2,209,123
"Edmonton--St. Albert/Edmonton--St. Albert"," 600","St. Albert",149,37,91,773,0,1050,
"Edmonton--St. Albert/Edmonton--St. Albert"," 601","St. Albert",137,32,74,627,0,870,
"Edmonton--St. Albert/Edmonton--St. Albert"," 602","St. Albert",112,23,41,417,3,596,
"Edmonton--St. Albert/Edmonton--St. Albert"," 603","St. Albert",64,19,43,336,1,463,
"Edmonton--St. Albert/Edmonton--St. Albert"," 604","Edmonton",31,10,19,143,0,203,
"Edmonton--St. Albert/Edmonton--St. Albert"," 605","Edmonton",308,52,157,680,1,1198,
"Edmonton--St. Albert/Edmonton--St. Albert"," 606","Edmonton",225,25,106,608,1,965,
"Edmonton--St. Albert/Edmonton--St. Albert"," 607","Edmonton",86,10,42,257,1,396,
"Edmonton--St. Albert/Edmonton--St. Albert"," 608","Edmonton",76,16,57,184,2,335,
"Edmonton--St. Albert/Edmonton--St. Albert",,Group 1/Groupe 1,47,19,13,141,9,229,566
"Edmonton--St. Albert/Edmonton--St. Albert",,Group 2/Groupe 2,268,74,148,1013,9,1512,
