Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Albert,Simon Bernier,Maude Genet,Monique Guay,Yannick Guénette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rivière-du-Nord/Rivière-du-Nord"," 41","Sainte-Sophie",64,20,15,206,30,7,342,588
"Rivière-du-Nord/Rivière-du-Nord"," 42","Sainte-Sophie",42,20,9,189,18,6,284,513
"Rivière-du-Nord/Rivière-du-Nord"," 43","Sainte-Sophie",55,13,9,150,25,3,255,527
"Rivière-du-Nord/Rivière-du-Nord"," 44","Sainte-Sophie",49,9,5,139,18,6,226,467
"Rivière-du-Nord/Rivière-du-Nord"," 45","Lafontaine",45,19,8,90,14,5,181,374
"Rivière-du-Nord/Rivière-du-Nord"," 46","Lafontaine",122,29,3,215,28,2,399,689
"Rivière-du-Nord/Rivière-du-Nord"," 47","Lafontaine",41,16,3,125,21,3,209,360
"Rivière-du-Nord/Rivière-du-Nord"," 48","Lafontaine",44,20,7,150,19,3,243,420
"Rivière-du-Nord/Rivière-du-Nord"," 49","Lafontaine",61,17,8,213,8,6,313,575
"Rivière-du-Nord/Rivière-du-Nord"," 50","Lafontaine",32,12,2,103,9,5,163,326
"Rivière-du-Nord/Rivière-du-Nord"," 51","Lafontaine",43,13,8,177,10,1,252,540
"Rivière-du-Nord/Rivière-du-Nord"," 52","Lafontaine",81,28,6,227,14,6,362,748
"Rivière-du-Nord/Rivière-du-Nord"," 53","Lafontaine",45,24,16,131,27,1,244,448
"Rivière-du-Nord/Rivière-du-Nord"," 54","Lafontaine",79,20,3,188,16,10,316,578
"Rivière-du-Nord/Rivière-du-Nord"," 55","Lafontaine",34,20,4,115,7,1,181,415
"Rivière-du-Nord/Rivière-du-Nord"," 56","Lafontaine",42,12,6,116,22,0,198,389
"Rivière-du-Nord/Rivière-du-Nord"," 57","Lafontaine",28,7,2,83,13,0,133,391
"Rivière-du-Nord/Rivière-du-Nord"," 58","Lafontaine",64,15,9,133,42,6,269,646
"Rivière-du-Nord/Rivière-du-Nord"," 59","Lafontaine",34,21,9,78,18,0,160,360
"Rivière-du-Nord/Rivière-du-Nord"," 60","Lafontaine",56,19,11,175,30,10,301,557
"Rivière-du-Nord/Rivière-du-Nord"," 61","Lafontaine",54,9,6,105,10,4,188,372
"Rivière-du-Nord/Rivière-du-Nord"," 62","Lafontaine",56,9,8,147,23,2,245,458
"Rivière-du-Nord/Rivière-du-Nord"," 63","Saint-Jérôme",12,13,3,56,17,4,105,239
"Rivière-du-Nord/Rivière-du-Nord"," 64","Saint-Jérôme",32,12,1,76,10,1,132,334
"Rivière-du-Nord/Rivière-du-Nord"," 65","Saint-Jérôme",31,9,3,64,21,7,135,312
"Rivière-du-Nord/Rivière-du-Nord"," 66","Saint-Jérôme",19,9,6,88,18,1,141,304
"Rivière-du-Nord/Rivière-du-Nord"," 67","Saint-Jérôme",68,15,3,142,48,15,291,834
"Rivière-du-Nord/Rivière-du-Nord"," 68","Saint-Jérôme",44,16,8,112,14,7,201,482
"Rivière-du-Nord/Rivière-du-Nord"," 69","Saint-Jérôme",28,15,4,75,10,0,132,288
"Rivière-du-Nord/Rivière-du-Nord"," 70","Saint-Jérôme",45,11,8,121,8,1,194,411
"Rivière-du-Nord/Rivière-du-Nord"," 71","Saint-Jérôme",112,26,10,244,37,5,434,753
"Rivière-du-Nord/Rivière-du-Nord"," 72","Saint-Antoine",46,10,6,126,22,2,212,404
"Rivière-du-Nord/Rivière-du-Nord"," 73","Saint-Antoine",100,32,16,251,23,3,425,720
"Rivière-du-Nord/Rivière-du-Nord"," 74","Saint-Antoine",43,14,11,118,10,0,196,498
"Rivière-du-Nord/Rivière-du-Nord"," 75","Saint-Antoine",59,16,5,154,16,6,256,551
"Rivière-du-Nord/Rivière-du-Nord"," 76","Saint-Antoine",43,15,4,112,13,3,190,332
"Rivière-du-Nord/Rivière-du-Nord"," 77","Saint-Antoine",70,23,14,239,26,10,382,666
"Rivière-du-Nord/Rivière-du-Nord"," 78","Saint-Antoine",47,15,7,151,6,6,232,357
"Rivière-du-Nord/Rivière-du-Nord"," 79","Saint-Antoine",52,14,9,179,13,7,274,480
"Rivière-du-Nord/Rivière-du-Nord"," 80","Saint-Antoine",38,13,3,128,7,3,192,319
"Rivière-du-Nord/Rivière-du-Nord"," 81","Saint-Jérôme",21,9,7,93,18,0,148,315
"Rivière-du-Nord/Rivière-du-Nord"," 82","Saint-Jérôme",53,18,5,111,22,4,213,447
"Rivière-du-Nord/Rivière-du-Nord"," 83","Saint-Jérôme",16,9,5,96,17,1,144,335
"Rivière-du-Nord/Rivière-du-Nord"," 84","Saint-Jérôme",30,14,7,131,13,4,199,425
"Rivière-du-Nord/Rivière-du-Nord"," 85","Saint-Jérôme",24,15,6,76,15,3,139,325
"Rivière-du-Nord/Rivière-du-Nord"," 86","Saint-Jérôme",78,20,13,147,25,5,288,466
"Rivière-du-Nord/Rivière-du-Nord"," 87","Saint-Jérôme",27,5,4,94,20,0,150,294
"Rivière-du-Nord/Rivière-du-Nord"," 88","Saint-Jérôme",31,7,6,97,18,3,162,384
"Rivière-du-Nord/Rivière-du-Nord"," 89","Saint-Jérôme",13,9,5,80,14,3,124,401
"Rivière-du-Nord/Rivière-du-Nord"," 90","Saint-Jérôme",8,2,4,47,8,1,70,274
"Rivière-du-Nord/Rivière-du-Nord"," 91","Saint-Jérôme",14,4,12,59,12,1,102,368
"Rivière-du-Nord/Rivière-du-Nord"," 92","Saint-Jérôme",17,8,3,68,9,1,106,330
"Rivière-du-Nord/Rivière-du-Nord"," 93","Saint-Jérôme",25,15,8,93,15,2,158,344
"Rivière-du-Nord/Rivière-du-Nord"," 94","Saint-Jérôme",16,7,3,78,23,5,132,273
"Rivière-du-Nord/Rivière-du-Nord"," 95","Saint-Jérôme",35,7,6,69,14,1,132,290
"Rivière-du-Nord/Rivière-du-Nord"," 96","Saint-Jérôme",49,24,17,128,31,3,252,449
"Rivière-du-Nord/Rivière-du-Nord"," 97","Saint-Jérôme",29,15,9,94,25,4,176,350
"Rivière-du-Nord/Rivière-du-Nord"," 98","Saint-Jérôme",39,14,17,82,26,1,179,318
"Rivière-du-Nord/Rivière-du-Nord"," 99","Saint-Antoine",46,13,16,130,18,3,226,422
"Rivière-du-Nord/Rivière-du-Nord"," 100","Saint-Antoine",51,24,9,119,11,6,220,350
"Rivière-du-Nord/Rivière-du-Nord"," 101","Saint-Antoine",32,9,11,99,12,0,163,237
"Rivière-du-Nord/Rivière-du-Nord"," 102","Saint-Jérôme",27,14,9,99,18,6,173,320
"Rivière-du-Nord/Rivière-du-Nord"," 103","Saint-Antoine",64,24,8,172,25,6,299,531
"Rivière-du-Nord/Rivière-du-Nord"," 104","Saint-Antoine",67,17,10,195,10,3,302,447
"Rivière-du-Nord/Rivière-du-Nord"," 105","Saint-Antoine",30,11,5,118,18,4,186,389
"Rivière-du-Nord/Rivière-du-Nord"," 106","Saint-Antoine",30,13,8,86,11,2,150,315
"Rivière-du-Nord/Rivière-du-Nord"," 107","Saint-Antoine",16,14,5,69,17,0,121,262
"Rivière-du-Nord/Rivière-du-Nord"," 108","Saint-Jérôme",15,11,7,82,9,2,126,241
"Rivière-du-Nord/Rivière-du-Nord"," 109A","Saint-Jérôme",118,14,4,141,73,10,360,493
"Rivière-du-Nord/Rivière-du-Nord"," 109B","Saint-Jérôme",96,21,6,132,78,8,341,466
"Rivière-du-Nord/Rivière-du-Nord"," 110","Saint-Jérôme",43,20,9,118,17,2,209,460
"Rivière-du-Nord/Rivière-du-Nord"," 111","Saint-Jérôme",45,19,7,145,16,8,240,401
"Rivière-du-Nord/Rivière-du-Nord"," 112A","Saint-Jérôme",26,17,9,131,19,1,203,393
"Rivière-du-Nord/Rivière-du-Nord"," 112B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,72
"Rivière-du-Nord/Rivière-du-Nord"," 113","Saint-Jérôme",47,7,9,116,25,3,207,427
"Rivière-du-Nord/Rivière-du-Nord"," 114","Saint-Antoine",39,12,4,101,8,2,166,347
"Rivière-du-Nord/Rivière-du-Nord"," 115","Saint-Antoine",24,9,5,57,6,1,102,250
"Rivière-du-Nord/Rivière-du-Nord"," 116","Saint-Antoine",42,14,5,115,8,15,199,478
"Rivière-du-Nord/Rivière-du-Nord"," 117","Saint-Antoine",55,18,12,156,24,5,270,469
"Rivière-du-Nord/Rivière-du-Nord"," 118","Saint-Jérôme",22,14,4,103,18,3,164,354
"Rivière-du-Nord/Rivière-du-Nord"," 119","Saint-Jérôme",45,11,2,124,27,2,211,508
"Rivière-du-Nord/Rivière-du-Nord"," 120","Saint-Jérôme",34,11,12,107,23,1,188,469
"Rivière-du-Nord/Rivière-du-Nord"," 121","Saint-Jérôme",30,5,5,91,16,4,151,389
"Rivière-du-Nord/Rivière-du-Nord"," 122","Saint-Jérôme",37,12,5,86,17,0,157,406
"Rivière-du-Nord/Rivière-du-Nord"," 123","Saint-Jérôme",16,9,6,68,8,4,111,261
"Rivière-du-Nord/Rivière-du-Nord"," 124","Saint-Jérôme",36,8,9,128,26,2,209,424
"Rivière-du-Nord/Rivière-du-Nord"," 125","Saint-Jérôme",28,13,9,73,19,6,148,321
"Rivière-du-Nord/Rivière-du-Nord"," 126","Saint-Jérôme",25,16,6,110,12,0,169,346
"Rivière-du-Nord/Rivière-du-Nord"," 127","Saint-Jérôme",25,11,16,110,16,2,180,448
"Rivière-du-Nord/Rivière-du-Nord"," 128","Saint-Jérôme",36,6,7,72,9,4,134,321
"Rivière-du-Nord/Rivière-du-Nord"," 129","Saint-Jérôme",48,20,10,123,29,7,237,378
"Rivière-du-Nord/Rivière-du-Nord"," 130","Saint-Jérôme",47,11,6,89,16,2,171,328
"Rivière-du-Nord/Rivière-du-Nord"," 131","Saint-Jérôme",51,20,10,131,29,7,248,442
"Rivière-du-Nord/Rivière-du-Nord"," 132","Saint-Jérôme",48,15,6,119,18,1,207,440
"Rivière-du-Nord/Rivière-du-Nord"," 133","Saint-Jérôme",34,9,2,78,15,1,139,376
"Rivière-du-Nord/Rivière-du-Nord"," 134","Bellefeuille",48,29,14,195,17,9,312,615
"Rivière-du-Nord/Rivière-du-Nord"," 135","Bellefeuille",48,16,9,153,14,6,246,450
"Rivière-du-Nord/Rivière-du-Nord"," 136","Bellefeuille",70,20,13,186,9,7,305,509
"Rivière-du-Nord/Rivière-du-Nord"," 137","Saint-Jérôme",64,19,12,187,32,5,319,585
"Rivière-du-Nord/Rivière-du-Nord"," 138","Bellefeuille",26,15,5,119,20,3,188,501
"Rivière-du-Nord/Rivière-du-Nord"," 139","Bellefeuille",61,21,13,269,13,1,378,665
"Rivière-du-Nord/Rivière-du-Nord"," 140","Bellefeuille",57,20,18,164,17,6,282,450
"Rivière-du-Nord/Rivière-du-Nord"," 141","Saint-Jérôme",83,10,9,128,40,1,271,530
"Rivière-du-Nord/Rivière-du-Nord"," 142","Bellefeuille",57,16,4,113,15,3,208,433
"Rivière-du-Nord/Rivière-du-Nord"," 143","Bellefeuille",65,30,5,148,16,6,270,569
"Rivière-du-Nord/Rivière-du-Nord"," 144","Bellefeuille",48,21,20,121,15,2,227,381
"Rivière-du-Nord/Rivière-du-Nord"," 145","Bellefeuille",51,15,12,127,8,6,219,377
"Rivière-du-Nord/Rivière-du-Nord"," 146","Bellefeuille",43,27,11,121,13,4,219,411
"Rivière-du-Nord/Rivière-du-Nord"," 147A","Bellefeuille",48,18,8,118,20,3,215,445
"Rivière-du-Nord/Rivière-du-Nord"," 147B","Bellefeuille",70,23,4,152,23,1,273,480
"Rivière-du-Nord/Rivière-du-Nord"," 148","Bellefeuille",74,23,5,212,19,1,334,658
"Rivière-du-Nord/Rivière-du-Nord"," 149","Bellefeuille",72,26,10,164,20,11,303,719
"Rivière-du-Nord/Rivière-du-Nord"," 150","Bellefeuille",44,18,8,143,6,6,225,385
"Rivière-du-Nord/Rivière-du-Nord"," 151","Bellefeuille",52,13,2,202,18,1,288,448
"Rivière-du-Nord/Rivière-du-Nord"," 152","Bellefeuille",43,17,6,156,12,7,241,395
"Rivière-du-Nord/Rivière-du-Nord"," 153","Bellefeuille",81,24,13,194,15,10,337,615
"Rivière-du-Nord/Rivière-du-Nord"," 154","Bellefeuille",46,16,12,156,27,7,264,490
"Rivière-du-Nord/Rivière-du-Nord"," 155","Bellefeuille",37,15,8,111,5,2,178,328
"Rivière-du-Nord/Rivière-du-Nord"," 156","Bellefeuille",68,16,11,160,10,8,273,448
"Rivière-du-Nord/Rivière-du-Nord"," 157","Bellefeuille",53,14,6,142,10,5,230,512
"Rivière-du-Nord/Rivière-du-Nord"," 158","Bellefeuille",65,18,11,175,25,3,297,530
"Rivière-du-Nord/Rivière-du-Nord"," 159","Saint-Colomban",48,23,14,142,23,3,253,563
"Rivière-du-Nord/Rivière-du-Nord"," 160","Saint-Colomban",64,29,13,222,29,6,363,673
"Rivière-du-Nord/Rivière-du-Nord"," 161","Saint-Colomban",53,24,16,178,12,0,283,518
"Rivière-du-Nord/Rivière-du-Nord"," 162","Saint-Colomban",74,37,11,269,16,6,413,783
"Rivière-du-Nord/Rivière-du-Nord"," 163","Saint-Colomban",40,31,11,133,13,0,228,467
"Rivière-du-Nord/Rivière-du-Nord"," 164","Saint-Colomban",22,13,10,140,14,0,199,411
"Rivière-du-Nord/Rivière-du-Nord"," 165","Saint-Colomban",34,7,5,99,1,2,148,326
"Rivière-du-Nord/Rivière-du-Nord"," 166","Saint-Colomban",34,13,12,131,15,2,207,363
"Rivière-du-Nord/Rivière-du-Nord"," 167","Saint-Colomban",25,15,3,103,6,8,160,289
"Rivière-du-Nord/Rivière-du-Nord"," 168","Saint-Colomban",51,22,9,148,9,2,241,448
"Rivière-du-Nord/Rivière-du-Nord"," 169","Saint-Colomban",22,22,9,80,6,10,149,277
"Rivière-du-Nord/Rivière-du-Nord"," 170","Saint-Colomban",75,18,8,142,13,3,259,567
"Rivière-du-Nord/Rivière-du-Nord"," 171","Saint-Colomban",21,10,7,63,10,5,116,272
"Rivière-du-Nord/Rivière-du-Nord"," 172","Saint-Colomban",50,16,7,159,18,3,253,498
"Rivière-du-Nord/Rivière-du-Nord"," 173","Saint-Colomban",81,23,16,240,34,0,394,681
"Rivière-du-Nord/Rivière-du-Nord"," 500","Mobile poll/Bureau itinérant",27,7,4,35,22,3,98,262
"Rivière-du-Nord/Rivière-du-Nord"," 501","Mobile poll/Bureau itinérant",29,7,5,33,23,6,103,152
"Rivière-du-Nord/Rivière-du-Nord"," 600","Saint-Hippolyte",101,30,23,299,81,4,538,
"Rivière-du-Nord/Rivière-du-Nord"," 601","Prévost",115,36,15,321,64,4,555,
"Rivière-du-Nord/Rivière-du-Nord"," 602","Sainte-Sophie",92,35,11,311,50,13,512,
"Rivière-du-Nord/Rivière-du-Nord"," 603","Saint-Jérôme",110,23,2,201,47,7,390,
"Rivière-du-Nord/Rivière-du-Nord"," 604","Saint-Jérôme",179,36,14,297,105,13,644,
"Rivière-du-Nord/Rivière-du-Nord"," 605","Saint-Jérôme",85,18,7,134,64,6,314,
"Rivière-du-Nord/Rivière-du-Nord"," 606","Saint-Jérôme",165,33,4,212,87,8,509,
"Rivière-du-Nord/Rivière-du-Nord"," 607","Saint-Jérôme",148,21,10,244,90,5,518,
"Rivière-du-Nord/Rivière-du-Nord"," 608","Saint-Jérôme",172,48,14,336,83,3,656,
"Rivière-du-Nord/Rivière-du-Nord"," 609","Saint-Colomban",132,33,20,273,60,1,519,
"Rivière-du-Nord/Rivière-du-Nord",,Group 1/Groupe 1,11,5,2,41,7,4,70,119
"Rivière-du-Nord/Rivière-du-Nord",,Group 2/Groupe 2,299,87,44,1118,376,34,1958,
