Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Anders,Tim Cayzer,Teale Phelps Bondaroff,Jennifer Pollock,Danielle Roberts,André Vachon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary West/Calgary-Ouest"," 13A","Calgary",166,2,23,45,26,0,0,262,393
"Calgary West/Calgary-Ouest"," 13B","Calgary",177,0,16,40,27,1,0,261,433
"Calgary West/Calgary-Ouest"," 14A","Calgary",142,1,10,53,17,0,0,223,331
"Calgary West/Calgary-Ouest"," 14B","Calgary",130,0,10,43,12,0,0,195,313
"Calgary West/Calgary-Ouest"," 14C","Calgary",95,1,10,51,14,0,1,172,297
"Calgary West/Calgary-Ouest"," 15A","Calgary",90,0,7,48,20,0,1,166,238
"Calgary West/Calgary-Ouest"," 15B","Calgary",111,1,13,28,16,1,0,170,251
"Calgary West/Calgary-Ouest"," 16A","Calgary",112,2,7,36,16,0,0,173,279
"Calgary West/Calgary-Ouest"," 16B","Calgary",109,1,11,36,12,1,0,170,287
"Calgary West/Calgary-Ouest"," 17A","Calgary",108,1,12,34,18,0,1,174,286
"Calgary West/Calgary-Ouest"," 17B","Calgary",77,0,10,35,18,1,1,142,246
"Calgary West/Calgary-Ouest"," 18","Calgary",134,2,13,41,21,3,0,214,317
"Calgary West/Calgary-Ouest"," 19A","Calgary",78,1,13,39,12,0,0,143,221
"Calgary West/Calgary-Ouest"," 19B","Calgary",96,0,18,49,10,1,1,175,277
"Calgary West/Calgary-Ouest"," 20","Calgary",158,1,21,77,31,0,2,290,430
"Calgary West/Calgary-Ouest"," 21","Calgary",154,2,20,65,35,1,0,277,446
"Calgary West/Calgary-Ouest"," 22","Calgary",108,0,8,36,20,0,0,172,253
"Calgary West/Calgary-Ouest"," 23","Calgary",150,3,20,64,27,2,0,266,381
"Calgary West/Calgary-Ouest"," 24","Calgary",108,0,14,43,11,1,2,179,288
"Calgary West/Calgary-Ouest"," 25","Calgary",153,2,26,77,38,0,0,296,454
"Calgary West/Calgary-Ouest"," 26A","Calgary",101,0,14,30,20,0,0,165,252
"Calgary West/Calgary-Ouest"," 26B","Calgary",85,0,13,25,21,0,0,144,251
"Calgary West/Calgary-Ouest"," 27","Calgary",126,3,27,46,37,1,0,240,407
"Calgary West/Calgary-Ouest"," 28","Calgary",148,2,25,66,40,0,0,281,455
"Calgary West/Calgary-Ouest"," 29","Calgary",145,3,15,40,31,0,0,234,337
"Calgary West/Calgary-Ouest"," 30","Calgary",167,0,31,40,26,0,1,265,367
"Calgary West/Calgary-Ouest"," 31","Calgary",150,3,25,53,27,2,1,261,393
"Calgary West/Calgary-Ouest"," 32","Calgary",93,1,13,34,10,1,0,152,339
"Calgary West/Calgary-Ouest"," 33A","Calgary",104,0,13,31,14,0,0,162,250
"Calgary West/Calgary-Ouest"," 33B","Calgary",75,0,14,27,21,0,0,137,226
"Calgary West/Calgary-Ouest"," 34","Calgary",140,0,27,82,30,0,0,279,437
"Calgary West/Calgary-Ouest"," 35","Calgary",145,2,30,59,38,1,1,276,424
"Calgary West/Calgary-Ouest"," 36","Calgary",146,2,18,42,20,0,1,229,359
"Calgary West/Calgary-Ouest"," 37","Calgary",175,2,21,58,38,1,1,296,434
"Calgary West/Calgary-Ouest"," 38","Calgary",127,2,31,48,38,0,1,247,356
"Calgary West/Calgary-Ouest"," 39A","Calgary",176,1,13,51,20,0,0,261,418
"Calgary West/Calgary-Ouest"," 39B","Calgary",165,0,17,42,24,1,0,249,409
"Calgary West/Calgary-Ouest"," 40A","Calgary",108,2,5,29,11,0,0,155,269
"Calgary West/Calgary-Ouest"," 40B","Calgary",115,0,5,24,9,2,1,156,244
"Calgary West/Calgary-Ouest"," 41","Calgary",156,0,24,45,13,0,3,241,337
"Calgary West/Calgary-Ouest"," 42","Calgary",116,0,9,28,17,0,2,172,299
"Calgary West/Calgary-Ouest"," 43A","Calgary",120,0,13,23,11,0,0,167,278
"Calgary West/Calgary-Ouest"," 43B","Calgary",137,0,9,55,8,0,0,209,318
"Calgary West/Calgary-Ouest"," 44A","Calgary",162,0,14,65,22,0,0,263,418
"Calgary West/Calgary-Ouest"," 44B","Calgary",135,1,19,47,15,1,0,218,345
"Calgary West/Calgary-Ouest"," 44C","Calgary",163,2,20,62,22,1,1,271,414
"Calgary West/Calgary-Ouest"," 45","Calgary",Merged with No. 46B/Fusionné avec le nº 46B,,,,,,,,8
"Calgary West/Calgary-Ouest"," 46A","Calgary",190,5,19,33,15,0,0,262,396
"Calgary West/Calgary-Ouest"," 46B","Calgary",143,2,23,33,23,0,2,226,312
"Calgary West/Calgary-Ouest"," 47","Calgary",115,1,10,41,15,0,0,182,313
"Calgary West/Calgary-Ouest"," 48","Calgary",123,0,23,37,32,0,0,215,385
"Calgary West/Calgary-Ouest"," 49","Calgary",104,0,22,41,27,1,0,195,343
"Calgary West/Calgary-Ouest"," 50","Calgary",117,3,30,45,36,0,1,232,398
"Calgary West/Calgary-Ouest"," 51","Calgary",89,0,19,36,12,0,0,156,302
"Calgary West/Calgary-Ouest"," 52","Calgary",112,3,21,26,34,0,0,196,360
"Calgary West/Calgary-Ouest"," 53","Calgary",90,1,23,24,19,1,0,158,355
"Calgary West/Calgary-Ouest"," 54","Calgary",105,2,22,22,17,1,0,169,314
"Calgary West/Calgary-Ouest"," 55","Calgary",100,0,8,18,19,0,0,145,243
"Calgary West/Calgary-Ouest"," 56","Calgary",134,2,19,29,38,0,0,222,388
"Calgary West/Calgary-Ouest"," 57","Calgary",143,1,16,26,19,0,0,205,353
"Calgary West/Calgary-Ouest"," 58","Calgary",133,2,25,26,14,1,0,201,335
"Calgary West/Calgary-Ouest"," 59","Calgary",56,0,12,19,14,1,0,102,224
"Calgary West/Calgary-Ouest"," 60","Calgary",115,0,19,27,19,0,0,180,330
"Calgary West/Calgary-Ouest"," 61","Calgary",115,2,28,41,21,1,0,208,443
"Calgary West/Calgary-Ouest"," 62","Calgary",149,0,20,32,25,0,2,228,452
"Calgary West/Calgary-Ouest"," 63A","Calgary",76,1,16,33,16,0,1,143,266
"Calgary West/Calgary-Ouest"," 63B","Calgary",70,1,26,25,18,0,0,140,251
"Calgary West/Calgary-Ouest"," 64","Calgary",61,1,24,32,22,0,0,140,275
"Calgary West/Calgary-Ouest"," 65","Calgary",138,1,27,59,30,0,1,256,361
"Calgary West/Calgary-Ouest"," 66","Calgary",149,2,30,66,30,0,1,278,431
"Calgary West/Calgary-Ouest"," 67","Calgary",108,2,20,68,31,1,2,232,402
"Calgary West/Calgary-Ouest"," 68","Calgary",113,0,25,54,26,0,0,218,370
"Calgary West/Calgary-Ouest"," 69","Calgary",151,2,23,60,38,0,2,276,422
"Calgary West/Calgary-Ouest"," 70","Calgary",174,3,22,55,51,0,0,305,436
"Calgary West/Calgary-Ouest"," 71","Calgary",146,0,14,66,21,0,0,247,387
"Calgary West/Calgary-Ouest"," 72","Calgary",137,0,8,47,27,0,0,219,363
"Calgary West/Calgary-Ouest"," 73","Calgary",157,1,10,67,29,0,2,266,386
"Calgary West/Calgary-Ouest"," 74A","Calgary",77,0,11,38,14,0,0,140,240
"Calgary West/Calgary-Ouest"," 74B","Calgary",109,0,10,33,15,1,0,168,264
"Calgary West/Calgary-Ouest"," 75","Calgary",124,0,16,63,25,1,1,230,347
"Calgary West/Calgary-Ouest"," 76","Calgary",142,1,26,78,25,0,1,273,383
"Calgary West/Calgary-Ouest"," 77","Calgary",137,1,18,36,26,1,0,219,330
"Calgary West/Calgary-Ouest"," 78","Calgary",130,0,26,73,23,0,0,252,396
"Calgary West/Calgary-Ouest"," 79","Calgary",87,0,24,51,21,0,1,184,300
"Calgary West/Calgary-Ouest"," 80","Calgary",165,0,17,79,34,2,3,300,440
"Calgary West/Calgary-Ouest"," 81","Calgary",146,1,18,75,32,4,0,276,410
"Calgary West/Calgary-Ouest"," 82","Calgary",158,0,28,67,22,0,1,276,422
"Calgary West/Calgary-Ouest"," 83","Calgary",133,0,21,43,29,1,1,228,327
"Calgary West/Calgary-Ouest"," 84A","Calgary",87,1,27,67,11,0,1,194,354
"Calgary West/Calgary-Ouest"," 84B","Calgary",110,0,26,53,22,0,1,212,328
"Calgary West/Calgary-Ouest"," 85","Calgary",96,1,10,54,21,1,0,183,234
"Calgary West/Calgary-Ouest"," 86","Calgary",Void/Supprimé,,,,,,,,
"Calgary West/Calgary-Ouest"," 87","Calgary",110,1,45,69,48,1,1,275,456
"Calgary West/Calgary-Ouest"," 88","Calgary",111,1,21,59,28,0,1,221,351
"Calgary West/Calgary-Ouest"," 89","Calgary",125,0,18,72,23,0,1,239,342
"Calgary West/Calgary-Ouest"," 90","Calgary",105,1,17,44,22,1,0,190,283
"Calgary West/Calgary-Ouest"," 91","Calgary",107,0,14,63,20,0,3,207,298
"Calgary West/Calgary-Ouest"," 92A","Calgary",82,0,15,39,25,0,0,161,236
"Calgary West/Calgary-Ouest"," 92B","Calgary",67,0,20,45,16,1,0,149,243
"Calgary West/Calgary-Ouest"," 93A","Calgary",77,2,17,37,15,0,0,148,246
"Calgary West/Calgary-Ouest"," 93B","Calgary",74,1,22,50,16,1,0,164,297
"Calgary West/Calgary-Ouest"," 94","Calgary",105,0,12,53,32,1,0,203,298
"Calgary West/Calgary-Ouest"," 95","Calgary",125,2,37,58,29,1,1,253,445
"Calgary West/Calgary-Ouest"," 96A","Calgary",50,0,16,29,7,0,0,102,221
"Calgary West/Calgary-Ouest"," 96B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,,68
"Calgary West/Calgary-Ouest"," 97","Calgary",104,2,31,26,31,0,0,194,382
"Calgary West/Calgary-Ouest"," 98","Calgary",105,1,27,41,27,2,1,204,367
"Calgary West/Calgary-Ouest"," 99","Calgary",103,1,42,49,33,0,1,229,364
"Calgary West/Calgary-Ouest"," 100A","Calgary",76,2,18,20,20,0,0,136,239
"Calgary West/Calgary-Ouest"," 100B","Calgary",88,1,27,28,19,1,0,164,275
"Calgary West/Calgary-Ouest"," 101","Calgary",118,0,21,47,15,0,1,202,323
"Calgary West/Calgary-Ouest"," 102","Calgary",60,0,40,59,32,1,0,192,377
"Calgary West/Calgary-Ouest"," 103","Calgary",126,2,60,94,50,4,0,336,343
"Calgary West/Calgary-Ouest"," 104","Calgary",140,2,29,87,30,0,3,291,358
"Calgary West/Calgary-Ouest"," 105","Calgary",97,1,27,74,18,0,0,217,326
"Calgary West/Calgary-Ouest"," 106","Calgary",18,0,13,22,7,0,0,60,120
"Calgary West/Calgary-Ouest"," 107","Calgary",61,0,24,31,25,0,1,142,192
"Calgary West/Calgary-Ouest"," 108","Calgary",75,2,49,92,36,1,1,256,472
"Calgary West/Calgary-Ouest"," 109","Calgary",Void/Supprimé,,,,,,,,
"Calgary West/Calgary-Ouest"," 110","Calgary",73,0,28,36,15,0,1,153,255
"Calgary West/Calgary-Ouest"," 111","Calgary",135,1,19,57,40,0,0,252,373
"Calgary West/Calgary-Ouest"," 112","Calgary",42,0,12,31,21,0,1,107,172
"Calgary West/Calgary-Ouest"," 113","Calgary",81,0,23,55,23,0,1,183,304
"Calgary West/Calgary-Ouest"," 114","Calgary",100,0,25,61,28,0,0,214,326
"Calgary West/Calgary-Ouest"," 115","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,,,168
"Calgary West/Calgary-Ouest"," 116","Calgary",Merged with No. 117/Fusionné avec le nº 117,,,,,,,,43
"Calgary West/Calgary-Ouest"," 117","Calgary",62,1,31,44,35,1,1,175,278
"Calgary West/Calgary-Ouest"," 118","Calgary",111,0,38,62,31,0,1,243,373
"Calgary West/Calgary-Ouest"," 119","Calgary",71,1,46,65,39,0,1,223,367
"Calgary West/Calgary-Ouest"," 120","Calgary",81,0,24,49,37,0,1,192,355
"Calgary West/Calgary-Ouest"," 121","Calgary",107,2,47,57,48,0,0,261,399
"Calgary West/Calgary-Ouest"," 122","Calgary",98,0,26,41,45,2,0,212,333
"Calgary West/Calgary-Ouest"," 123","Calgary",88,0,31,54,41,0,1,215,385
"Calgary West/Calgary-Ouest"," 124","Calgary",113,0,36,43,47,0,0,239,419
"Calgary West/Calgary-Ouest"," 125","Calgary",79,2,29,58,36,0,0,204,415
"Calgary West/Calgary-Ouest"," 126A","Calgary",75,0,11,31,10,0,0,127,233
"Calgary West/Calgary-Ouest"," 126B","Calgary",77,0,14,36,18,0,0,145,258
"Calgary West/Calgary-Ouest"," 127A","Calgary",157,2,32,76,30,2,0,299,450
"Calgary West/Calgary-Ouest"," 127B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,,,59
"Calgary West/Calgary-Ouest"," 128","Calgary",101,1,23,38,14,0,1,178,281
"Calgary West/Calgary-Ouest"," 129","Calgary",96,2,14,40,28,1,0,181,365
"Calgary West/Calgary-Ouest"," 130A","Calgary",35,0,15,9,1,0,0,60,130
"Calgary West/Calgary-Ouest"," 130B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,,,224
"Calgary West/Calgary-Ouest"," 131","Calgary",73,0,15,40,24,0,1,153,399
"Calgary West/Calgary-Ouest"," 132","Calgary",78,0,8,36,11,0,0,133,219
"Calgary West/Calgary-Ouest"," 133","Calgary",134,1,28,41,24,0,0,228,392
"Calgary West/Calgary-Ouest"," 134","Calgary",123,2,33,30,24,0,0,212,338
"Calgary West/Calgary-Ouest"," 135","Calgary",117,1,34,41,21,2,0,216,359
"Calgary West/Calgary-Ouest"," 136A","Calgary",53,2,14,17,5,2,1,94,161
"Calgary West/Calgary-Ouest"," 136B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,74
"Calgary West/Calgary-Ouest"," 137","Calgary",131,1,34,58,33,0,0,257,419
"Calgary West/Calgary-Ouest"," 138","Calgary",111,3,8,27,6,0,0,155,268
"Calgary West/Calgary-Ouest"," 139","Calgary",116,0,12,43,21,0,0,192,404
"Calgary West/Calgary-Ouest"," 140","Calgary",72,3,13,41,21,1,0,151,284
"Calgary West/Calgary-Ouest"," 141A","Calgary",76,1,11,34,13,1,2,138,259
"Calgary West/Calgary-Ouest"," 141B","Calgary",89,0,4,48,9,1,1,152,273
"Calgary West/Calgary-Ouest"," 142A","Calgary",112,0,9,34,15,0,0,170,330
"Calgary West/Calgary-Ouest"," 142B","Calgary",122,1,11,35,20,0,1,190,329
"Calgary West/Calgary-Ouest"," 143","Calgary",139,1,20,74,15,0,0,249,441
"Calgary West/Calgary-Ouest"," 144A","Calgary",70,1,9,27,9,0,1,117,241
"Calgary West/Calgary-Ouest"," 144B","Calgary",80,0,9,23,14,0,0,126,262
"Calgary West/Calgary-Ouest"," 145","Calgary",77,1,13,39,17,0,1,148,259
"Calgary West/Calgary-Ouest"," 146","Calgary",131,0,20,56,27,0,0,234,407
"Calgary West/Calgary-Ouest"," 147","Calgary",85,1,5,37,28,0,0,156,249
"Calgary West/Calgary-Ouest"," 148","Calgary",91,0,13,33,15,0,2,154,284
"Calgary West/Calgary-Ouest"," 149","Calgary",157,0,22,56,28,1,2,266,467
"Calgary West/Calgary-Ouest"," 150","Calgary",82,0,9,40,19,0,0,150,302
"Calgary West/Calgary-Ouest"," 151","Calgary",116,0,13,59,30,0,2,220,324
"Calgary West/Calgary-Ouest"," 151-1","Calgary",60,0,9,23,12,0,0,104,200
"Calgary West/Calgary-Ouest"," 152","Calgary",136,1,27,61,50,0,1,276,402
"Calgary West/Calgary-Ouest"," 153","Calgary",154,1,24,62,38,0,1,280,385
"Calgary West/Calgary-Ouest"," 154","Calgary",107,1,19,42,23,3,0,195,294
"Calgary West/Calgary-Ouest"," 155","Calgary",119,2,35,48,32,0,0,236,332
"Calgary West/Calgary-Ouest"," 156A","Calgary",162,2,22,56,29,2,0,273,457
"Calgary West/Calgary-Ouest"," 156B","Calgary",94,0,14,33,9,0,0,150,286
"Calgary West/Calgary-Ouest"," 156C","Calgary",100,0,11,54,15,0,0,180,286
"Calgary West/Calgary-Ouest"," 156D","Calgary",102,1,21,44,24,1,0,193,318
"Calgary West/Calgary-Ouest"," 156E","Calgary",148,1,9,53,30,1,0,242,414
"Calgary West/Calgary-Ouest"," 156F","Calgary",131,2,21,63,29,1,4,251,444
"Calgary West/Calgary-Ouest"," 156G","Calgary",156,1,18,60,23,0,0,258,402
"Calgary West/Calgary-Ouest"," 156H","Calgary",132,0,21,49,16,0,0,218,351
"Calgary West/Calgary-Ouest"," 156I","Calgary",91,0,10,39,12,1,0,153,235
"Calgary West/Calgary-Ouest"," 156J","Calgary",142,0,18,52,24,0,1,237,389
"Calgary West/Calgary-Ouest"," 156K","Calgary",88,1,12,34,17,0,1,153,249
"Calgary West/Calgary-Ouest"," 156L","Calgary",81,0,9,46,24,0,0,160,281
"Calgary West/Calgary-Ouest"," 157A","Calgary",131,2,16,41,19,0,1,210,335
"Calgary West/Calgary-Ouest"," 157B","Calgary",137,1,10,45,13,0,0,206,317
"Calgary West/Calgary-Ouest"," 158A","Calgary",149,0,13,58,21,0,0,241,373
"Calgary West/Calgary-Ouest"," 158B","Calgary",129,0,20,36,22,0,0,207,368
"Calgary West/Calgary-Ouest"," 158C","Calgary",151,0,15,53,22,0,2,243,422
"Calgary West/Calgary-Ouest"," 159A","Calgary",139,0,12,45,17,0,0,213,382
"Calgary West/Calgary-Ouest"," 159B","Calgary",134,0,5,45,15,0,1,200,370
"Calgary West/Calgary-Ouest"," 159C","Calgary",137,0,7,54,15,0,0,213,379
"Calgary West/Calgary-Ouest"," 160A","Calgary",122,0,10,49,14,1,0,196,339
"Calgary West/Calgary-Ouest"," 160B","Calgary",142,4,11,55,29,3,1,245,406
"Calgary West/Calgary-Ouest"," 160C","Calgary",133,0,10,48,16,2,0,209,389
"Calgary West/Calgary-Ouest"," 160D","Calgary",168,2,6,35,17,0,2,230,418
"Calgary West/Calgary-Ouest"," 160E","Calgary",71,1,3,26,11,0,0,112,212
"Calgary West/Calgary-Ouest"," 161A","Calgary",102,0,6,47,21,0,0,176,314
"Calgary West/Calgary-Ouest"," 161B","Calgary",127,0,5,36,13,0,0,181,296
"Calgary West/Calgary-Ouest"," 161C","Calgary",127,0,12,50,16,0,0,205,326
"Calgary West/Calgary-Ouest"," 162A","Calgary",124,2,16,42,13,0,0,197,359
"Calgary West/Calgary-Ouest"," 162B","Calgary",100,1,24,39,27,0,0,191,317
"Calgary West/Calgary-Ouest"," 162C","Calgary",151,0,9,39,30,1,0,230,369
"Calgary West/Calgary-Ouest"," 163A","Calgary",148,0,17,41,29,1,0,236,353
"Calgary West/Calgary-Ouest"," 163B","Calgary",149,1,13,36,19,0,0,218,381
"Calgary West/Calgary-Ouest"," 163C","Calgary",163,0,11,39,21,0,0,234,418
"Calgary West/Calgary-Ouest"," 164A","Calgary",181,0,9,39,9,0,0,238,370
"Calgary West/Calgary-Ouest"," 164B","Calgary",173,0,8,39,19,0,0,239,371
"Calgary West/Calgary-Ouest"," 165A","Calgary",123,1,11,47,18,1,2,203,306
"Calgary West/Calgary-Ouest"," 165B","Calgary",129,4,12,60,22,0,0,227,360
"Calgary West/Calgary-Ouest"," 166","Calgary",180,2,23,66,30,1,0,302,446
"Calgary West/Calgary-Ouest"," 167","Calgary",80,0,28,55,14,1,0,178,284
"Calgary West/Calgary-Ouest"," 168","Calgary",128,1,18,67,31,0,1,246,429
"Calgary West/Calgary-Ouest"," 169","Calgary",113,0,6,54,23,0,0,196,318
"Calgary West/Calgary-Ouest"," 170","Calgary",128,0,16,66,38,0,3,251,375
"Calgary West/Calgary-Ouest"," 171","Calgary",154,2,14,71,30,0,0,271,423
"Calgary West/Calgary-Ouest"," 172A","Calgary",71,1,20,47,7,0,0,146,249
"Calgary West/Calgary-Ouest"," 172B","Calgary",72,1,11,37,23,0,1,145,236
"Calgary West/Calgary-Ouest"," 173","Calgary",160,0,18,59,30,1,1,269,413
"Calgary West/Calgary-Ouest"," 174A","Calgary",100,1,5,33,21,0,2,162,272
"Calgary West/Calgary-Ouest"," 174B","Calgary",88,0,11,37,14,1,0,151,242
"Calgary West/Calgary-Ouest"," 175A","Calgary",106,0,10,38,12,0,2,168,275
"Calgary West/Calgary-Ouest"," 175B","Calgary",74,2,5,30,7,0,0,118,228
"Calgary West/Calgary-Ouest"," 176","Calgary",97,0,19,36,18,0,2,172,296
"Calgary West/Calgary-Ouest"," 177","Calgary",62,0,8,30,11,0,0,111,233
"Calgary West/Calgary-Ouest"," 178A","Calgary",72,0,11,37,10,1,0,131,282
"Calgary West/Calgary-Ouest"," 178B","Calgary",98,0,9,43,16,0,0,166,323
"Calgary West/Calgary-Ouest"," 179A","Calgary",71,3,3,37,6,0,1,121,254
"Calgary West/Calgary-Ouest"," 179B","Calgary",86,0,15,28,14,0,0,143,255
"Calgary West/Calgary-Ouest"," 180A","Calgary",90,0,5,41,16,1,0,153,314
"Calgary West/Calgary-Ouest"," 180B","Calgary",94,0,7,40,9,0,1,151,320
"Calgary West/Calgary-Ouest"," 181","Calgary",100,0,14,40,10,0,0,164,316
"Calgary West/Calgary-Ouest"," 182","Calgary",178,3,18,45,15,0,0,259,433
"Calgary West/Calgary-Ouest"," 183A","Calgary",157,1,16,71,24,0,1,270,417
"Calgary West/Calgary-Ouest"," 183B","Calgary",169,0,17,62,28,1,0,277,446
"Calgary West/Calgary-Ouest"," 184","Calgary",179,0,7,46,20,3,0,255,408
"Calgary West/Calgary-Ouest"," 185","Calgary",179,1,15,38,18,1,1,253,423
"Calgary West/Calgary-Ouest"," 186","Calgary",86,0,2,19,19,0,0,126,209
"Calgary West/Calgary-Ouest"," 187A","Calgary",75,0,7,43,18,0,0,143,278
"Calgary West/Calgary-Ouest"," 187B","Calgary",86,1,7,28,7,0,0,129,262
"Calgary West/Calgary-Ouest"," 188","Calgary",103,3,17,55,16,0,0,194,397
"Calgary West/Calgary-Ouest"," 189","Calgary",127,2,4,60,19,1,0,213,426
"Calgary West/Calgary-Ouest"," 190","Calgary",119,1,6,26,9,2,0,163,265
"Calgary West/Calgary-Ouest"," 191","Calgary",86,0,10,28,19,1,0,144,245
"Calgary West/Calgary-Ouest"," 192","Calgary",133,0,10,34,21,0,1,199,366
"Calgary West/Calgary-Ouest"," 193","Calgary",137,0,9,38,19,0,2,205,347
"Calgary West/Calgary-Ouest"," 194","Calgary",174,1,16,62,29,2,1,285,424
"Calgary West/Calgary-Ouest"," 195","Calgary",191,2,15,58,26,0,0,292,457
"Calgary West/Calgary-Ouest"," 196","Calgary",147,0,21,54,26,0,2,250,395
"Calgary West/Calgary-Ouest"," 197","Calgary",87,2,9,39,20,0,0,157,245
"Calgary West/Calgary-Ouest"," 198","Calgary",164,0,23,40,30,0,0,257,470
"Calgary West/Calgary-Ouest"," 199","Calgary",168,1,14,29,16,0,1,229,409
"Calgary West/Calgary-Ouest"," 400","Calgary",79,0,23,42,10,0,1,155,175
"Calgary West/Calgary-Ouest"," 500","Mobile poll/Bureau itinérant",107,3,14,49,9,0,0,182,213
"Calgary West/Calgary-Ouest"," 501","Mobile poll/Bureau itinérant",117,2,13,43,5,2,3,185,191
"Calgary West/Calgary-Ouest"," 502","Mobile poll/Bureau itinérant",77,1,10,21,4,0,1,114,91
"Calgary West/Calgary-Ouest"," 503A","Mobile poll/Bureau itinérant",190,2,28,70,12,2,1,305,110
"Calgary West/Calgary-Ouest"," 503B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,28
"Calgary West/Calgary-Ouest"," 504","Mobile poll/Bureau itinérant",76,1,8,21,4,0,2,112,208
"Calgary West/Calgary-Ouest"," 505","Mobile poll/Bureau itinérant",107,4,4,32,3,1,4,155,110
"Calgary West/Calgary-Ouest"," 600","Calgary",594,5,34,138,55,1,4,831,
"Calgary West/Calgary-Ouest"," 601","Calgary",614,3,61,161,58,0,3,900,
"Calgary West/Calgary-Ouest"," 602","Calgary",434,2,51,103,43,1,0,634,
"Calgary West/Calgary-Ouest"," 603","Calgary",272,2,36,115,31,0,2,458,
"Calgary West/Calgary-Ouest"," 604","Calgary",243,0,35,118,49,0,4,449,
"Calgary West/Calgary-Ouest"," 605","Calgary",224,0,32,121,66,1,1,445,
"Calgary West/Calgary-Ouest"," 606","Calgary",152,1,23,64,29,1,0,270,
"Calgary West/Calgary-Ouest"," 607","Calgary",679,4,55,237,88,1,0,1064,
"Calgary West/Calgary-Ouest"," 608","Calgary",421,0,19,96,46,1,3,586,
"Calgary West/Calgary-Ouest"," 609","Calgary",523,2,40,172,47,1,0,785,
"Calgary West/Calgary-Ouest"," 610","Calgary",449,3,31,136,33,0,3,655,
"Calgary West/Calgary-Ouest",,Group 1/Groupe 1,63,1,12,50,11,0,4,141,230
"Calgary West/Calgary-Ouest",,Group 2/Groupe 2,1004,2,75,316,106,4,22,1529,
