Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Barnes,John Carmichael,Soumen Deb,John Godfrey,Daphne So,David Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Don Valley West/Don Valley-Ouest"," 19","North York",1,101,0,143,6,11,0,262,474
"Don Valley West/Don Valley-Ouest"," 20","North York",2,81,0,143,7,19,1,253,452
"Don Valley West/Don Valley-Ouest"," 21","North York",0,77,2,110,9,7,1,206,418
"Don Valley West/Don Valley-Ouest"," 22","North York",1,89,0,122,8,0,2,222,433
"Don Valley West/Don Valley-Ouest"," 23","North York",0,65,0,69,5,5,0,144,173
"Don Valley West/Don Valley-Ouest"," 24","North York",0,155,0,131,13,5,2,306,489
"Don Valley West/Don Valley-Ouest"," 25","North York",0,90,2,113,10,4,1,220,415
"Don Valley West/Don Valley-Ouest"," 26","North York",0,110,1,135,5,6,0,257,457
"Don Valley West/Don Valley-Ouest"," 27","North York",0,59,0,99,4,11,0,173,380
"Don Valley West/Don Valley-Ouest"," 28","North York",1,48,1,103,7,24,1,185,410
"Don Valley West/Don Valley-Ouest"," 29","North York",0,116,1,171,11,22,0,321,497
"Don Valley West/Don Valley-Ouest"," 30","North York",0,69,1,89,5,11,0,175,264
"Don Valley West/Don Valley-Ouest"," 31","North York",0,105,1,179,15,25,0,325,535
"Don Valley West/Don Valley-Ouest"," 32","North York",2,92,1,126,7,7,1,236,395
"Don Valley West/Don Valley-Ouest"," 33","North York",0,98,1,94,1,4,0,198,388
"Don Valley West/Don Valley-Ouest"," 34","North York",0,106,0,86,5,3,3,203,416
"Don Valley West/Don Valley-Ouest"," 35","North York",1,103,1,101,8,3,0,217,451
"Don Valley West/Don Valley-Ouest"," 36","North York",0,98,0,76,4,4,2,184,320
"Don Valley West/Don Valley-Ouest"," 37","North York",1,115,1,107,8,7,0,239,431
"Don Valley West/Don Valley-Ouest"," 38","North York",0,108,0,101,8,6,1,224,357
"Don Valley West/Don Valley-Ouest"," 39","North York",0,99,0,46,3,3,0,151,265
"Don Valley West/Don Valley-Ouest"," 40","North York",6,102,1,98,16,8,1,232,462
"Don Valley West/Don Valley-Ouest"," 41","North York",0,118,1,108,5,5,2,239,543
"Don Valley West/Don Valley-Ouest"," 42","North York",0,91,1,104,0,6,1,203,349
"Don Valley West/Don Valley-Ouest"," 43","North York",0,79,1,111,8,4,0,203,320
"Don Valley West/Don Valley-Ouest"," 44","North York",0,85,2,147,4,1,2,241,420
"Don Valley West/Don Valley-Ouest"," 45","North York",0,131,1,131,6,7,0,276,446
"Don Valley West/Don Valley-Ouest"," 46","North York",0,81,1,133,7,13,1,236,431
"Don Valley West/Don Valley-Ouest"," 47","Toronto",2,111,0,149,12,15,0,289,427
"Don Valley West/Don Valley-Ouest"," 48","Toronto",0,111,0,138,13,7,0,269,394
"Don Valley West/Don Valley-Ouest"," 49","Toronto",0,92,0,156,15,25,0,288,435
"Don Valley West/Don Valley-Ouest"," 50","Toronto",1,95,0,131,10,22,1,260,401
"Don Valley West/Don Valley-Ouest"," 51","Toronto",0,108,2,151,13,20,0,294,424
"Don Valley West/Don Valley-Ouest"," 52","Toronto",1,74,2,121,13,39,0,250,393
"Don Valley West/Don Valley-Ouest"," 53","Toronto",2,80,2,155,12,37,2,290,496
"Don Valley West/Don Valley-Ouest"," 54","Toronto",0,89,0,151,9,33,0,282,417
"Don Valley West/Don Valley-Ouest"," 55","Toronto",0,72,1,120,9,8,0,210,299
"Don Valley West/Don Valley-Ouest"," 56","Toronto",1,92,0,111,14,11,0,229,409
"Don Valley West/Don Valley-Ouest"," 57","Toronto",0,101,0,118,6,15,1,241,391
"Don Valley West/Don Valley-Ouest"," 58","Toronto",0,117,0,64,6,5,0,192,340
"Don Valley West/Don Valley-Ouest"," 59","North York",0,141,0,66,2,2,0,211,367
"Don Valley West/Don Valley-Ouest"," 60","North York",0,184,1,122,12,29,0,348,448
"Don Valley West/Don Valley-Ouest"," 61","North York",0,41,0,24,4,3,0,72,299
"Don Valley West/Don Valley-Ouest"," 62","North York",0,109,0,86,6,7,0,208,375
"Don Valley West/Don Valley-Ouest"," 63","North York",0,102,0,81,8,5,0,196,363
"Don Valley West/Don Valley-Ouest"," 64","Toronto",0,148,0,118,3,12,0,281,431
"Don Valley West/Don Valley-Ouest"," 65","Toronto",0,94,0,75,9,14,1,193,344
"Don Valley West/Don Valley-Ouest"," 66","Toronto",0,87,1,119,25,11,0,243,347
"Don Valley West/Don Valley-Ouest"," 67","Toronto",1,86,3,156,14,37,0,297,517
"Don Valley West/Don Valley-Ouest"," 68","Toronto",0,92,0,135,12,15,1,255,423
"Don Valley West/Don Valley-Ouest"," 69","Toronto",1,78,0,128,18,30,1,256,404
"Don Valley West/Don Valley-Ouest"," 70","Toronto",1,65,1,153,18,36,2,276,472
"Don Valley West/Don Valley-Ouest"," 71","Toronto",0,23,1,82,5,25,0,136,243
"Don Valley West/Don Valley-Ouest"," 72A","Toronto",0,36,0,92,8,32,2,170,316
"Don Valley West/Don Valley-Ouest"," 72B","Toronto",0,44,0,103,22,29,0,198,334
"Don Valley West/Don Valley-Ouest"," 73","Toronto",Merged with No. 74B/Fusionné avec le nº 74B,,,,,,,,74
"Don Valley West/Don Valley-Ouest"," 74A","Toronto",1,60,0,166,22,62,0,311,553
"Don Valley West/Don Valley-Ouest"," 74B","Toronto",0,42,0,116,21,37,0,216,259
"Don Valley West/Don Valley-Ouest"," 75","Toronto",Void/Supprimé,,,,,,,,
"Don Valley West/Don Valley-Ouest"," 76","Toronto",0,89,4,175,15,72,1,356,521
"Don Valley West/Don Valley-Ouest"," 77","Toronto",1,40,0,96,9,18,0,164,245
"Don Valley West/Don Valley-Ouest"," 78","North York",0,91,1,164,7,25,1,289,439
"Don Valley West/Don Valley-Ouest"," 79","Toronto",0,59,1,144,8,30,0,242,402
"Don Valley West/Don Valley-Ouest"," 80","Toronto",1,42,0,103,16,31,1,194,309
"Don Valley West/Don Valley-Ouest"," 81","Toronto",0,39,0,72,12,22,3,148,263
"Don Valley West/Don Valley-Ouest"," 82","Toronto",1,66,4,198,29,91,1,390,507
"Don Valley West/Don Valley-Ouest"," 83","Toronto",2,58,2,102,12,38,0,214,423
"Don Valley West/Don Valley-Ouest"," 84","Toronto",1,48,2,141,17,32,4,245,448
"Don Valley West/Don Valley-Ouest"," 85","North York",0,84,0,83,10,5,0,182,385
"Don Valley West/Don Valley-Ouest"," 86","North York",1,77,0,145,5,23,0,251,453
"Don Valley West/Don Valley-Ouest"," 87","North York",0,83,0,97,12,36,0,228,373
"Don Valley West/Don Valley-Ouest"," 88","North York",0,106,0,142,17,15,0,280,375
"Don Valley West/Don Valley-Ouest"," 89","North York",0,63,0,127,9,10,0,209,312
"Don Valley West/Don Valley-Ouest"," 90","North York",0,114,0,146,1,22,0,283,486
"Don Valley West/Don Valley-Ouest"," 91A","North York",0,57,3,105,5,21,0,191,382
"Don Valley West/Don Valley-Ouest"," 91B","North York",0,85,0,101,1,11,0,198,356
"Don Valley West/Don Valley-Ouest"," 92","North York",0,48,2,105,5,15,1,176,295
"Don Valley West/Don Valley-Ouest"," 93","North York",1,60,0,98,4,16,1,180,313
"Don Valley West/Don Valley-Ouest"," 94","North York",1,101,0,107,5,6,1,221,471
"Don Valley West/Don Valley-Ouest"," 95A","North York",0,63,1,123,10,19,0,216,366
"Don Valley West/Don Valley-Ouest"," 95B","Mobile poll/Bureau itinérant",Merged with No. 96B/Fusionné avec le nº 96B,,,,,,,,103
"Don Valley West/Don Valley-Ouest"," 96A","North York",0,102,0,200,13,27,0,342,551
"Don Valley West/Don Valley-Ouest"," 96B","Mobile poll/Bureau itinérant",3,45,4,60,4,16,0,132,144
"Don Valley West/Don Valley-Ouest"," 97","North York",2,52,0,74,7,18,1,154,289
"Don Valley West/Don Valley-Ouest"," 98A","North York",1,49,0,109,7,19,1,186,338
"Don Valley West/Don Valley-Ouest"," 98B","North York",0,84,1,115,4,20,0,224,341
"Don Valley West/Don Valley-Ouest"," 98C","North York",0,14,0,46,4,9,0,73,116
"Don Valley West/Don Valley-Ouest"," 99","East York",1,86,0,104,13,15,0,219,357
"Don Valley West/Don Valley-Ouest"," 100","East York",0,137,0,135,14,18,0,304,458
"Don Valley West/Don Valley-Ouest"," 101","East York",0,99,0,89,11,21,0,220,320
"Don Valley West/Don Valley-Ouest"," 102","East York",0,103,1,126,9,22,2,263,413
"Don Valley West/Don Valley-Ouest"," 103","East York",0,88,1,132,11,30,0,262,417
"Don Valley West/Don Valley-Ouest"," 104","East York",0,97,1,150,21,35,0,304,430
"Don Valley West/Don Valley-Ouest"," 105","East York",0,108,0,152,15,17,0,292,430
"Don Valley West/Don Valley-Ouest"," 106","East York",1,85,0,144,14,29,0,273,498
"Don Valley West/Don Valley-Ouest"," 107","East York",0,77,2,120,14,33,0,246,410
"Don Valley West/Don Valley-Ouest"," 108","East York",0,55,1,93,12,24,0,185,379
"Don Valley West/Don Valley-Ouest"," 109","East York",1,75,0,120,14,22,0,232,346
"Don Valley West/Don Valley-Ouest"," 110","East York",1,115,0,148,14,11,0,289,406
"Don Valley West/Don Valley-Ouest"," 111","East York",0,85,0,109,9,15,0,218,355
"Don Valley West/Don Valley-Ouest"," 112","East York",0,92,1,116,16,21,0,246,348
"Don Valley West/Don Valley-Ouest"," 113","East York",1,59,0,92,5,7,0,164,216
"Don Valley West/Don Valley-Ouest"," 114","East York",0,58,0,97,5,15,0,175,223
"Don Valley West/Don Valley-Ouest"," 115","East York",0,86,2,119,9,16,0,232,335
"Don Valley West/Don Valley-Ouest"," 116","East York",0,76,1,161,4,23,0,265,415
"Don Valley West/Don Valley-Ouest"," 117","East York",0,77,0,137,9,20,0,243,428
"Don Valley West/Don Valley-Ouest"," 118","East York",1,102,0,141,17,35,0,296,449
"Don Valley West/Don Valley-Ouest"," 119","East York",0,98,0,136,7,11,0,252,399
"Don Valley West/Don Valley-Ouest"," 120","East York",1,74,0,122,11,20,0,228,385
"Don Valley West/Don Valley-Ouest"," 121","East York",0,88,0,126,6,28,3,251,413
"Don Valley West/Don Valley-Ouest"," 122","East York",0,78,0,104,8,24,0,214,347
"Don Valley West/Don Valley-Ouest"," 123A","East York",0,109,0,127,16,26,1,279,407
"Don Valley West/Don Valley-Ouest"," 123B","Mobile poll/Bureau itinérant",Merged with No. 96B/Fusionné avec le nº 96B,,,,,,,,67
"Don Valley West/Don Valley-Ouest"," 124","East York",0,78,0,119,13,30,1,241,387
"Don Valley West/Don Valley-Ouest"," 125","East York",0,62,0,83,7,25,0,177,331
"Don Valley West/Don Valley-Ouest"," 126","East York",1,22,0,50,0,8,0,81,152
"Don Valley West/Don Valley-Ouest"," 127A","East York",0,46,4,147,7,56,0,260,430
"Don Valley West/Don Valley-Ouest"," 127B","East York",1,32,1,81,4,12,0,131,362
"Don Valley West/Don Valley-Ouest"," 128","East York",0,31,1,66,3,17,2,120,332
"Don Valley West/Don Valley-Ouest"," 129A","East York",1,43,2,113,11,24,0,194,321
"Don Valley West/Don Valley-Ouest"," 129B","East York",0,57,3,112,9,30,0,211,353
"Don Valley West/Don Valley-Ouest"," 130","East York",0,17,1,73,2,8,0,101,157
"Don Valley West/Don Valley-Ouest"," 131","East York",0,59,0,194,6,42,0,301,592
"Don Valley West/Don Valley-Ouest"," 132","East York",2,51,3,143,9,58,0,266,483
"Don Valley West/Don Valley-Ouest"," 133","East York",1,64,4,184,5,40,2,300,447
"Don Valley West/Don Valley-Ouest"," 134","East York",0,51,1,105,13,50,0,220,442
"Don Valley West/Don Valley-Ouest"," 135","East York",0,45,1,142,10,25,1,224,378
"Don Valley West/Don Valley-Ouest"," 136","East York",1,75,0,131,3,32,0,242,383
"Don Valley West/Don Valley-Ouest"," 137","East York",0,117,3,146,18,25,0,309,467
"Don Valley West/Don Valley-Ouest"," 138","East York",0,105,1,109,15,23,1,254,382
"Don Valley West/Don Valley-Ouest"," 139","North York",Merged with No. 140A/Fusionné avec le nº 140A,,,,,,,,8
"Don Valley West/Don Valley-Ouest"," 140A","North York",0,40,0,75,3,19,2,139,176
"Don Valley West/Don Valley-Ouest"," 140B","North York",2,112,2,110,6,31,4,267,370
"Don Valley West/Don Valley-Ouest"," 141","North York",3,95,0,188,12,45,0,343,590
"Don Valley West/Don Valley-Ouest"," 142","North York",0,116,0,193,9,16,1,335,490
"Don Valley West/Don Valley-Ouest"," 143","North York",3,65,2,174,12,45,3,304,455
"Don Valley West/Don Valley-Ouest"," 144","North York",1,97,1,111,5,14,1,230,317
"Don Valley West/Don Valley-Ouest"," 145","North York",1,93,1,237,8,33,2,375,619
"Don Valley West/Don Valley-Ouest"," 146","North York",Void/Supprimé,,,,,,,,
"Don Valley West/Don Valley-Ouest"," 147","North York",1,22,2,115,1,39,0,180,425
"Don Valley West/Don Valley-Ouest"," 148","North York",5,51,1,137,5,18,9,226,377
"Don Valley West/Don Valley-Ouest"," 149A","North York",5,61,3,158,7,60,1,295,575
"Don Valley West/Don Valley-Ouest"," 149B","North York",0,54,4,158,5,30,2,253,469
"Don Valley West/Don Valley-Ouest"," 150","North York",1,16,3,88,0,27,0,135,329
"Don Valley West/Don Valley-Ouest"," 151","North York",1,30,0,87,2,33,1,154,347
"Don Valley West/Don Valley-Ouest"," 152","North York",3,69,3,209,10,45,5,344,607
"Don Valley West/Don Valley-Ouest"," 153","North York",4,85,5,240,6,47,4,391,597
"Don Valley West/Don Valley-Ouest"," 154","North York",1,22,2,193,2,47,0,267,540
"Don Valley West/Don Valley-Ouest"," 155","North York",1,36,2,112,3,26,0,180,346
"Don Valley West/Don Valley-Ouest"," 156","North York",0,26,1,72,3,38,0,140,346
"Don Valley West/Don Valley-Ouest"," 157","North York",1,61,3,188,6,38,1,298,567
"Don Valley West/Don Valley-Ouest"," 158","North York",1,40,3,111,5,28,0,188,427
"Don Valley West/Don Valley-Ouest"," 159","North York",5,29,5,228,3,48,1,319,587
"Don Valley West/Don Valley-Ouest"," 160","North York",0,18,1,163,1,14,0,197,351
"Don Valley West/Don Valley-Ouest"," 161","North York",2,34,2,134,7,35,0,214,434
"Don Valley West/Don Valley-Ouest"," 162A","North York",1,63,4,197,14,29,3,311,521
"Don Valley West/Don Valley-Ouest"," 162B","North York",2,67,4,224,6,47,1,351,584
"Don Valley West/Don Valley-Ouest"," 163","North York",2,36,3,243,15,40,1,340,567
"Don Valley West/Don Valley-Ouest"," 164","North York",Merged with No. 407/Fusionné avec le nº 407,,,,,,,,92
"Don Valley West/Don Valley-Ouest"," 400","North York",0,73,3,92,4,25,7,204,406
"Don Valley West/Don Valley-Ouest"," 401","North York",1,94,0,213,8,26,0,342,551
"Don Valley West/Don Valley-Ouest"," 402","North York",1,70,2,107,3,17,1,201,262
"Don Valley West/Don Valley-Ouest"," 403","North York",0,81,1,135,7,42,1,267,474
"Don Valley West/Don Valley-Ouest"," 404","North York",3,71,2,125,7,31,3,242,403
"Don Valley West/Don Valley-Ouest"," 405","North York",1,42,0,97,7,27,0,174,287
"Don Valley West/Don Valley-Ouest"," 406","North York",1,29,1,115,1,20,1,168,296
"Don Valley West/Don Valley-Ouest"," 407","North York",3,30,3,132,7,33,1,209,282
"Don Valley West/Don Valley-Ouest"," 408","North York",2,36,1,120,2,32,5,198,402
"Don Valley West/Don Valley-Ouest"," 409","North York",4,34,4,83,0,24,1,150,298
"Don Valley West/Don Valley-Ouest"," 410","North York",2,24,0,121,1,34,3,185,391
"Don Valley West/Don Valley-Ouest"," 411","North York",0,22,4,166,0,24,2,218,418
"Don Valley West/Don Valley-Ouest"," 412","East York",1,45,5,125,10,32,2,220,340
"Don Valley West/Don Valley-Ouest"," 413","East York",1,72,1,96,3,32,1,206,316
"Don Valley West/Don Valley-Ouest"," 414","East York",2,11,3,195,0,17,3,231,457
"Don Valley West/Don Valley-Ouest"," 415","East York",0,17,2,214,1,13,0,247,460
"Don Valley West/Don Valley-Ouest"," 416","East York",0,19,4,147,2,17,0,189,386
"Don Valley West/Don Valley-Ouest"," 417","East York",2,18,0,205,2,23,0,250,514
"Don Valley West/Don Valley-Ouest"," 418","East York",0,35,2,173,3,31,2,246,506
"Don Valley West/Don Valley-Ouest"," 419","East York",2,16,1,83,2,15,0,119,279
"Don Valley West/Don Valley-Ouest"," 420","East York",1,17,0,115,1,10,0,144,281
"Don Valley West/Don Valley-Ouest"," 421","East York",0,37,0,179,4,25,1,246,524
"Don Valley West/Don Valley-Ouest"," 422","East York",0,44,2,133,1,23,0,203,412
"Don Valley West/Don Valley-Ouest"," 423","East York",3,27,5,143,3,27,6,214,305
"Don Valley West/Don Valley-Ouest"," 424","East York",2,48,0,100,4,14,1,169,302
"Don Valley West/Don Valley-Ouest"," 600","North York",0,478,2,427,36,34,3,980,
"Don Valley West/Don Valley-Ouest"," 601","North York",0,442,1,346,21,25,2,837,
"Don Valley West/Don Valley-Ouest"," 602","Toronto",0,510,0,450,25,35,0,1020,
"Don Valley West/Don Valley-Ouest"," 603","Toronto",1,226,1,303,21,57,1,610,
"Don Valley West/Don Valley-Ouest"," 604","Toronto",0,244,0,317,26,33,0,620,
"Don Valley West/Don Valley-Ouest"," 605","East York",1,492,1,563,43,64,3,1167,
"Don Valley West/Don Valley-Ouest"," 606","East York",2,150,3,359,17,75,1,607,
"Don Valley West/Don Valley-Ouest"," 607","North York",0,93,0,189,8,29,4,323,
"Don Valley West/Don Valley-Ouest"," 608","North York",5,57,1,223,10,51,4,351,
"Don Valley West/Don Valley-Ouest",,Group 1/Groupe 1,0,21,0,65,5,5,4,100,165
"Don Valley West/Don Valley-Ouest",,Group 2/Groupe 2,2,790,3,815,54,123,13,1800,
