Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sean Maw,Shannon Nelles,Judy Stewart,Myron Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Wild Rose/Wild Rose"," 139","Cochrane",58,18,30,237,0,343,623
"Wild Rose/Wild Rose"," 140","Cochrane",27,8,26,147,0,208,505
"Wild Rose/Wild Rose"," 141","Cochrane",22,17,8,141,0,188,338
"Wild Rose/Wild Rose"," 142","Cochrane",48,25,25,116,0,214,409
"Wild Rose/Wild Rose"," 143","Cochrane",38,10,13,223,0,284,545
"Wild Rose/Wild Rose"," 144","Cochrane",37,11,34,278,2,362,597
"Wild Rose/Wild Rose"," 145","Cochrane",17,7,30,212,0,266,478
"Wild Rose/Wild Rose"," 146","Cochrane",34,7,13,179,0,233,381
"Wild Rose/Wild Rose"," 147","Cochrane",38,9,22,154,0,223,406
"Wild Rose/Wild Rose"," 148","Canmore",Merged with No. 161A/Fusionné avec le nº 161A,,,,,,20
"Wild Rose/Wild Rose"," 149","Canmore",43,24,33,70,0,170,343
"Wild Rose/Wild Rose"," 150","Canmore",47,26,36,70,0,179,322
"Wild Rose/Wild Rose"," 151","Canmore",60,20,28,73,3,184,470
"Wild Rose/Wild Rose"," 152","Canmore",46,37,34,73,0,190,420
"Wild Rose/Wild Rose"," 153","Canmore",44,19,22,40,1,126,246
"Wild Rose/Wild Rose"," 154","Canmore",42,22,23,54,0,141,265
"Wild Rose/Wild Rose"," 155","Canmore",78,35,52,95,0,260,489
"Wild Rose/Wild Rose"," 156","Canmore",77,35,53,131,0,296,540
"Wild Rose/Wild Rose"," 157","Canmore",65,30,47,68,2,212,424
"Wild Rose/Wild Rose"," 158","Canmore",28,20,11,33,0,92,233
"Wild Rose/Wild Rose"," 159","Canmore",66,25,28,65,0,184,398
"Wild Rose/Wild Rose"," 160","Canmore",22,16,15,85,1,139,352
"Wild Rose/Wild Rose"," 161A","Canmore",58,56,47,109,0,270,232
"Wild Rose/Wild Rose"," 161B","Canmore",57,27,35,59,0,178,328
"Wild Rose/Wild Rose"," 162A","Canmore",47,17,36,93,1,194,429
"Wild Rose/Wild Rose"," 162B","Canmore",48,20,34,120,1,223,376
"Wild Rose/Wild Rose"," 163","Canmore",92,36,49,123,3,303,585
"Wild Rose/Wild Rose"," 164","Canmore",71,30,29,118,1,249,463
"Wild Rose/Wild Rose"," 165","Canmore",60,28,28,101,1,218,424
"Wild Rose/Wild Rose"," 166","Canmore",86,48,45,111,3,293,521
"Wild Rose/Wild Rose"," 167","Canmore",15,23,18,49,0,105,262
"Wild Rose/Wild Rose"," 168","Canmore",Merged with No. 161A/Fusionné avec le nº 161A,,,,,,221
"Wild Rose/Wild Rose"," 169","Canmore",42,34,33,80,0,189,442
"Wild Rose/Wild Rose"," 170","Exshaw",47,24,25,149,0,245,413
"Wild Rose/Wild Rose"," 171","Ghost Lake",29,6,9,101,0,145,151
"Wild Rose/Wild Rose"," 172","Morley",14,13,326,13,0,366,808
"Wild Rose/Wild Rose"," 173","Seebe",Merged with No. 161B/Fusionné avec le nº 161B,,,,,,25
"Wild Rose/Wild Rose"," 174","Morley",11,11,393,15,3,433,678
"Wild Rose/Wild Rose"," 175","Banff",25,24,43,49,1,142,269
"Wild Rose/Wild Rose"," 176","Banff",Merged with No. 177/Fusionné avec le nº 177,,,,,,140
"Wild Rose/Wild Rose"," 177","Banff",43,44,40,67,0,194,177
"Wild Rose/Wild Rose"," 178","Banff",39,37,41,58,1,176,328
"Wild Rose/Wild Rose"," 179","Banff",Merged with No. 185/Fusionné avec le nº 185,,,,,,174
"Wild Rose/Wild Rose"," 180","Banff",25,11,20,40,1,97,211
"Wild Rose/Wild Rose"," 181","Banff",77,49,65,97,0,288,690
"Wild Rose/Wild Rose"," 182","Banff",62,41,38,70,0,211,364
"Wild Rose/Wild Rose"," 183","Banff",37,42,37,53,2,171,290
"Wild Rose/Wild Rose"," 184","Banff",52,21,40,54,0,167,346
"Wild Rose/Wild Rose"," 185","Banff",50,39,36,47,1,173,200
"Wild Rose/Wild Rose"," 186","Banff",35,31,36,80,0,182,434
"Wild Rose/Wild Rose"," 187A","Anthracite",22,12,12,26,0,72,302
"Wild Rose/Wild Rose"," 187B","Anthracite",14,14,24,17,0,69,277
"Wild Rose/Wild Rose"," 400","Banff",22,22,40,26,1,111,173
"Wild Rose/Wild Rose"," 401","Banff",Merged with No. 400/Fusionné avec le nº 400,,,,,,61
"Wild Rose/Wild Rose"," 500","Mobile poll/Bureau itinérant",0,1,1,43,1,46,65
"Wild Rose/Wild Rose"," 501","Mobile poll/Bureau itinérant",1,5,9,113,3,131,238
"Wild Rose/Wild Rose"," 502","Mobile poll/Bureau itinérant",3,2,2,34,1,42,60
"Wild Rose/Wild Rose"," 503","Mobile poll/Bureau itinérant",2,2,4,32,1,41,137
"Wild Rose/Wild Rose"," 600","Nordegg",3,4,2,23,0,32,
"Wild Rose/Wild Rose"," 601","Caroline",6,7,8,157,0,178,
"Wild Rose/Wild Rose"," 602","Sundre",23,11,13,344,1,392,
"Wild Rose/Wild Rose"," 603","Cremona--Didsbury",20,10,17,261,0,308,
"Wild Rose/Wild Rose"," 604","Olds",31,29,44,665,1,770,
"Wild Rose/Wild Rose"," 605","Airdrie--Crossfield",50,66,78,845,1,1040,
"Wild Rose/Wild Rose"," 606","Airdrie",24,24,19,463,0,530,
"Wild Rose/Wild Rose"," 607","Cochrane",143,57,104,968,2,1274,
"Wild Rose/Wild Rose"," 608","Canmore",170,87,134,395,4,790,
"Wild Rose/Wild Rose"," 609","Banff",85,58,111,222,3,479,
"Wild Rose/Wild Rose",,Group 1/Groupe 1,5,4,22,41,3,75,157
"Wild Rose/Wild Rose",,Group 2/Groupe 2,134,94,188,1213,18,1647,
