Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Chan,Richard Mathias,Darrel Robert Reid,Neil Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Richmond/Richmond"," 141B","Richmond",Merged with No. 140/Fusionné avec le nº 140,,,,,,92
"Richmond/Richmond"," 142","Richmond",128,15,76,59,1,279,509
"Richmond/Richmond"," 143","Richmond",119,16,148,36,1,320,559
"Richmond/Richmond"," 144","Richmond",132,17,125,53,0,327,436
"Richmond/Richmond"," 145","Richmond",110,14,82,53,1,260,455
"Richmond/Richmond"," 146","Richmond",165,17,98,40,1,321,560
"Richmond/Richmond"," 147A","Richmond",122,10,124,41,1,298,531
"Richmond/Richmond"," 147B","Richmond",Merged with No. 144/Fusionné avec le nº 144,,,,,,106
"Richmond/Richmond"," 148","Richmond",127,4,74,38,1,244,434
"Richmond/Richmond"," 149","Richmond",139,18,118,32,0,307,541
"Richmond/Richmond"," 150","Richmond",130,11,115,35,2,293,530
"Richmond/Richmond"," 151","Richmond",104,9,87,28,0,228,453
"Richmond/Richmond"," 152","Richmond",147,12,96,53,0,308,542
"Richmond/Richmond"," 153","Richmond",86,12,88,30,0,216,431
"Richmond/Richmond"," 154","Richmond",100,12,89,34,0,235,475
"Richmond/Richmond"," 155","Richmond",87,12,96,22,1,218,373
"Richmond/Richmond"," 156","Richmond",125,13,93,36,0,267,481
"Richmond/Richmond"," 157","Richmond",89,5,91,19,1,205,374
"Richmond/Richmond"," 158","Richmond",110,11,80,36,0,237,380
"Richmond/Richmond"," 159","Richmond",86,12,82,13,0,193,358
"Richmond/Richmond"," 160","Richmond",68,10,58,34,1,171,305
"Richmond/Richmond"," 500","Mobile poll/Bureau itinérant",73,9,57,29,1,169,290
"Richmond/Richmond"," 501A","Mobile poll/Bureau itinérant",31,5,22,11,2,71,118
"Richmond/Richmond"," 501B","Mobile poll/Bureau itinérant",34,5,34,17,3,93,151
"Richmond/Richmond"," 600","Richmond",166,9,273,38,1,487,
"Richmond/Richmond"," 601","Richmond",194,14,252,51,0,511,
"Richmond/Richmond"," 602","Richmond",245,24,342,59,2,672,
"Richmond/Richmond"," 603","Richmond",194,25,227,70,0,516,
"Richmond/Richmond"," 604","Richmond",180,24,277,28,1,510,
"Richmond/Richmond"," 605","Richmond",246,13,370,46,7,682,
"Richmond/Richmond"," 606","Richmond",182,10,202,37,0,431,
"Richmond/Richmond",,Group 1/Groupe 1,23,4,24,6,5,62,101
"Richmond/Richmond",,Group 2/Groupe 2,357,37,417,87,13,911,
