Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvan Côté,Sarah Desjardins,Rodrigue Drapeau,Kim Leclerc,Stéphane Ricard,Jean-Yves Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 13B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,14
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 14","Mont-Joli",2,4,31,20,6,53,3,119,285
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 15","Mont-Joli",2,3,47,12,12,76,5,157,303
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 16","Mont-Joli",2,2,32,4,5,37,3,85,300
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 17","Mont-Joli",1,5,33,20,5,61,2,127,318
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 18","Mont-Joli",3,2,24,12,5,45,0,91,251
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 19","Mont-Joli",1,2,53,20,5,70,1,152,352
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 20","Mont-Joli",2,2,49,15,14,69,0,151,328
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 21","Mont-Joli",2,4,60,22,7,79,5,179,380
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 22","Mont-Joli",1,7,67,22,11,122,2,232,492
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 23","Sainte-Flavie",3,14,61,32,20,113,3,246,412
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 24","Sainte-Flavie",0,2,67,20,15,87,2,193,345
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 25","Grand-Métis",2,4,28,8,3,41,4,90,181
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 26","Price",5,4,47,21,9,85,0,171,390
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 27A","Price",1,2,25,16,5,57,2,108,202
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 27B","Mobile poll/Bureau itinérant",Merged with No. 505A/Fusionné avec le nº 505A,,,,,,,,23
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 28","Price",0,4,49,21,8,76,3,161,300
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 29","Price",2,5,37,14,5,59,0,122,269
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 30","Price",2,2,27,16,3,66,2,118,245
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 31","Saint-Joseph-de-Lepage",5,8,74,27,12,125,3,254,437
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 32","Saint-Octave-de-Métis",2,6,58,24,17,120,3,230,396
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 33","Métis-sur-Mer",0,7,34,24,17,38,1,121,224
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 34","Les Boules",1,6,55,31,17,77,5,192,305
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 35","Padoue",3,5,30,17,5,53,1,114,214
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 36","Baie-des-Sables",5,3,38,22,11,68,3,150,252
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 37","Baie-des-Sables",3,5,54,18,14,84,1,179,269
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 38","Saint-Ulric",5,10,84,27,12,105,3,246,438
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 39","Saint-Ulric",5,2,58,17,8,60,1,151,276
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 40","Saint-Ulric",3,4,38,15,8,56,1,125,226
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 41","Saint-Ulric",4,7,59,14,13,52,1,150,340
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 42","Saint-Léandre",2,9,37,22,9,103,0,182,323
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 43","Sainte-Paule",34,3,35,17,3,46,2,140,210
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 44","Matane",7,14,91,36,27,107,1,283,512
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 45A","Matane",8,6,64,29,16,101,0,224,411
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 45B","Mobile poll/Bureau itinérant",Merged with No. 48B/Fusionné avec le nº 48B,,,,,,,,9
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 46","Matane",7,7,45,28,11,73,2,173,369
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 47","Matane",4,8,79,27,14,99,4,235,447
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 48A","Matane",4,5,23,13,7,57,3,112,306
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 48B","Mobile poll/Bureau itinérant",3,3,15,52,2,17,0,92,50
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 49","Matane",7,4,26,29,9,82,3,160,363
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 50","Matane",4,1,54,26,11,93,2,191,361
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 51","Matane",8,7,72,20,12,106,1,226,416
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 52","Matane",8,3,60,21,14,70,1,177,309
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 53","Matane",10,6,61,34,12,103,3,229,419
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 54","Matane",7,5,48,28,18,61,1,168,343
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 55","Matane",1,2,40,28,3,76,0,150,399
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 56","Matane",6,1,34,12,12,51,1,117,263
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 57A","Matane",2,4,20,9,6,32,1,74,189
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 57B","Mobile poll/Bureau itinérant",Merged with No. 48B/Fusionné avec le nº 48B,,,,,,,,35
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 57C","Mobile poll/Bureau itinérant",Merged with No. 48B/Fusionné avec le nº 48B,,,,,,,,18
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 58","Matane",16,18,88,42,11,93,2,270,452
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 59","Matane",4,9,53,15,8,71,0,160,321
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 60","Matane",7,8,42,14,16,77,0,164,331
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 61","Matane",7,2,73,21,19,70,2,194,386
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 62","Matane",7,1,50,22,13,70,3,166,337
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 63","Matane",7,6,61,35,15,79,3,206,362
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 64","Matane",9,4,34,7,9,60,2,125,285
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 65","Matane",8,4,62,19,7,76,1,177,381
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 66","Matane",5,7,73,21,19,153,5,283,548
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 67","Matane",9,3,65,30,6,88,1,202,338
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 68","Matane",8,1,35,12,8,40,2,106,176
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 69","Matane",8,3,50,25,5,76,4,171,308
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 70","Matane",0,7,9,10,12,17,0,55,92
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 71","Matane",5,4,75,14,10,68,3,179,334
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 72","Petit-Matane",6,4,58,17,16,84,5,190,353
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 73","Petit-Matane",0,6,44,24,9,86,1,170,304
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 74","Matane",8,5,83,32,18,131,0,277,497
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 75","Saint-Luc-de-Matane",2,8,41,11,18,83,3,166,283
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 76","Saint-Luc-de-Matane",8,4,75,12,23,91,1,214,380
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 77","Petit-Matane",13,7,79,22,15,106,0,242,469
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 78","Sainte-Félicité",9,3,63,16,15,98,0,204,345
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 79","Sainte-Félicité",2,5,60,39,8,90,5,209,323
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 80","Sainte-Félicité",3,3,49,20,6,58,3,142,278
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 81","Saint-Jean-de-Cherbourg",2,0,13,3,5,53,0,76,161
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 82","Saint-Adelme",6,12,48,36,18,96,5,221,389
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 83","Saint-René-de-Matane",0,5,36,9,13,59,2,124,197
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 84","Saint-René-de-Matane",4,9,83,20,29,111,1,257,457
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 85","Saint-René-de-Matane",1,0,24,11,21,49,2,108,175
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 86","Grosses-Roches",7,3,60,17,11,80,5,183,351
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 87","Les Méchins",2,1,39,13,6,81,1,143,328
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 88","Les Méchins",2,6,33,34,11,69,1,156,304
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 89","Les Méchins",2,4,38,23,7,89,2,165,340
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 90","Baie-des-Capucins",0,1,24,21,6,49,0,101,191
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 91","Cap-Chat",3,2,47,20,1,51,1,125,319
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 92","Cap-Chat",4,6,33,22,8,50,2,125,293
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 93","Cap-Chat",2,0,31,18,4,56,2,113,319
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 94","Cap-Chat",3,2,4,9,11,53,4,86,277
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 95","Cap-Chat",3,6,54,22,12,44,5,146,305
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 96","Cap-Chat",7,7,65,32,7,119,0,237,538
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 97","Sainte-Anne-des-Monts",3,7,44,22,13,61,1,151,398
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 98","Sainte-Anne-des-Monts",4,4,64,18,14,74,1,179,376
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 99","Sainte-Anne-des-Monts",2,2,56,21,9,60,3,153,450
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 100","Sainte-Anne-des-Monts",1,6,36,20,4,60,1,128,350
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 101","Sainte-Anne-des-Monts",0,8,56,30,8,78,1,181,460
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 102","Sainte-Anne-des-Monts",5,3,48,19,7,73,0,155,451
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 103","Sainte-Anne-des-Monts",4,5,90,21,13,120,1,254,600
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 104","Sainte-Anne-des-Monts",3,1,36,16,8,46,2,112,266
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 105","Sainte-Anne-des-Monts",1,5,43,22,5,64,3,143,336
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 106","Sainte-Anne-des-Monts",2,5,34,19,9,57,1,127,331
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 107","Sainte-Anne-des-Monts",3,7,49,13,6,62,4,144,334
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 108","Cap-Seize",3,1,13,26,7,34,0,84,138
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 109","Tourelle",2,1,56,25,3,62,1,150,418
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 110","Tourelle",0,0,51,33,4,51,0,139,308
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 111","Tourelle",1,7,57,36,9,89,1,200,484
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 112","Cap-au-Renard",0,8,15,5,11,50,1,90,203
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 113","Marsoui",1,3,33,24,13,66,3,143,287
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 114","Rivière-à-Claude",4,4,26,37,1,30,0,102,138
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 115","Mont-Saint-Pierre",2,2,17,39,4,72,0,136,194
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 116","Saint-Maxime-du-Mont-Louis",5,6,53,28,7,86,1,186,433
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 117","Saint-Maxime-du-Mont-Louis",2,3,23,24,8,63,1,124,227
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 118","Madeleine-Centre",3,4,64,37,7,61,1,177,334
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 119","Gros-Morne",3,7,20,48,3,83,0,164,342
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 120","Lac-au-Saumon",2,4,36,2,16,36,0,96,145
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 121","Lac-au-Saumon",6,4,46,12,5,82,0,155,289
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 122","Lac-au-Saumon",2,2,55,12,8,51,1,131,231
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 123","Lac-au-Saumon",8,2,70,13,15,97,1,206,355
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 124","Saint-Alexandre-des-Lacs",2,4,52,16,10,64,1,149,230
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 125","Causapscal",4,2,39,12,10,69,2,138,274
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 126","Sainte-Marguerite-Marie",2,2,26,12,4,58,1,105,188
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 127","Causapscal",3,3,35,10,22,63,5,141,305
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 128","Causapscal",7,1,52,13,11,66,2,152,316
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 129","Causapscal",1,4,39,12,10,70,2,138,317
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 130","Causapscal",2,7,31,16,17,55,1,129,299
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 131","Causapscal",9,3,36,10,17,67,5,147,295
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 132","Causapscal",2,5,33,4,9,32,2,87,159
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 133","Albertville",3,0,48,16,16,57,2,142,252
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 134","Sainte-Florence",0,2,17,13,3,40,1,76,172
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 135","Sainte-Florence",1,0,24,10,10,61,2,108,231
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 136","Saint-Moïse",3,6,15,32,6,73,4,139,218
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 137","Saint-Moïse",2,4,29,29,7,78,0,149,269
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 138","Saint-Noël",1,4,79,22,4,89,1,200,362
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 139","Saint-Damase",6,12,75,26,8,64,6,197,322
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 140","Sayabec",6,3,49,14,7,80,0,159,342
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 141","Sayabec",4,3,65,15,4,73,0,164,377
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 142","Sayabec",12,1,55,15,6,82,2,173,438
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 143","Sayabec",9,5,55,18,9,57,1,154,335
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 144","Saint-Cléophas",1,1,47,14,2,73,0,138,265
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 145","Sainte-Irène",1,8,26,13,10,68,0,126,237
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 146","Val-Brillant",5,6,66,23,5,81,2,188,347
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 147","Val-Brillant",1,5,43,8,3,56,1,117,189
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 148","Val-Brillant",3,2,36,1,4,58,2,106,226
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 149","Saint-Vianney",6,7,85,22,15,124,5,264,371
"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 150","Saint-Tharcisius",7,3,55,23,19,98,5,210,360
