Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Joe Comuzzi,Bruce Hyer,Dawn Kannegiesser,Bev Sarafin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 41","McIntyre Bay 54",1,39,49,11,76,0,176,336
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 42","Pass Lake",3,61,69,9,36,0,178,293
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 43","Thunder Bay",0,45,73,17,60,1,196,341
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 44","Thunder Bay",4,57,80,13,69,1,224,439
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 45","Thunder Bay",1,60,64,12,89,1,227,426
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 46A","Thunder Bay",1,56,33,4,54,2,150,262
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 46B","Thunder Bay",0,55,55,5,37,0,152,257
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 47","Thunder Bay",1,61,54,15,49,1,181,357
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 48","Thunder Bay",1,77,56,16,71,1,222,424
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 49","Thunder Bay",3,62,61,18,33,0,177,380
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 50A","Thunder Bay",0,49,60,4,30,0,143,283
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 50B","Thunder Bay",0,52,57,5,63,1,178,291
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 51","Thunder Bay",0,49,50,6,44,5,154,296
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 52","Thunder Bay",5,57,47,11,38,2,160,336
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 53","Thunder Bay",1,55,50,6,28,1,141,336
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 54","Thunder Bay",4,36,71,5,13,0,129,286
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 55","Thunder Bay",4,70,84,3,44,1,206,430
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 56","Thunder Bay",3,39,55,5,39,1,142,318
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 57","Thunder Bay",1,75,73,8,41,1,199,461
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 58","Thunder Bay",5,79,79,15,51,1,230,412
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 59","Thunder Bay",1,93,84,14,44,0,236,443
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 60","Thunder Bay",3,110,70,13,65,4,265,421
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 61A","Thunder Bay",2,54,46,5,52,1,160,299
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 61B","Thunder Bay",0,70,61,6,30,3,170,292
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 62A","Thunder Bay",1,69,39,10,38,0,157,254
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 62B","Thunder Bay",0,59,48,11,47,0,165,244
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 63","Thunder Bay",5,92,67,8,28,1,201,373
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 64","Thunder Bay",3,111,82,10,44,5,255,419
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 65","Thunder Bay",0,72,78,4,36,3,193,366
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 66A","Thunder Bay",0,29,31,6,19,1,86,228
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 66B","Thunder Bay",0,24,54,6,17,1,102,242
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 67","Thunder Bay",1,102,55,1,45,3,207,343
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 68","Thunder Bay",4,86,73,11,31,0,205,379
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 69","Thunder Bay",4,75,87,13,44,0,223,362
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 70","Thunder Bay",2,81,61,10,39,1,194,331
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 71","Thunder Bay",0,87,49,7,24,0,167,258
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 72","Thunder Bay",2,94,63,10,38,0,207,333
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 73","Thunder Bay",2,94,60,12,23,0,191,304
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 74","Thunder Bay",1,60,70,16,45,0,192,341
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 75","Thunder Bay",3,40,81,9,25,0,158,310
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 76","Thunder Bay",2,67,81,13,65,1,229,426
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 77","Thunder Bay",4,73,95,10,56,1,239,389
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 78","Thunder Bay",1,64,84,14,30,1,194,411
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 79","Thunder Bay",2,67,91,8,36,2,206,349
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 80","Thunder Bay",1,70,70,3,27,0,171,365
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 81","Thunder Bay",1,59,63,11,25,2,161,309
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 82","Thunder Bay",4,68,97,18,37,0,224,404
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 83","Thunder Bay",1,50,59,14,19,0,143,256
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 84","Thunder Bay",2,51,52,7,29,0,141,284
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 85A","Thunder Bay",0,45,55,6,32,1,139,256
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 85B","Thunder Bay",1,53,55,6,19,0,134,236
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 86","Thunder Bay",1,77,95,10,43,1,227,407
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 87","Thunder Bay",3,70,111,13,44,2,243,387
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 88","Thunder Bay",1,76,71,5,26,0,179,367
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 89","Thunder Bay",3,69,62,10,49,0,193,361
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 90","Thunder Bay",1,64,49,16,29,0,159,298
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 91A","Thunder Bay",0,49,46,8,15,1,119,259
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 91B","Thunder Bay",0,45,35,4,26,2,112,243
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 92","Thunder Bay",2,56,65,11,43,0,177,321
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 93","Thunder Bay",0,106,81,17,41,3,248,402
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 94","Thunder Bay",3,66,82,14,55,1,221,350
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 95","Thunder Bay",0,85,79,22,58,2,246,397
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 96","Thunder Bay",1,57,76,20,46,4,204,366
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 97","Thunder Bay",1,77,77,25,26,0,206,369
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 98","Thunder Bay",2,63,92,25,33,3,218,403
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 99","Thunder Bay",1,104,99,18,38,1,261,420
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 100","Thunder Bay",3,55,55,10,18,0,141,308
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 101","Thunder Bay",1,45,68,11,25,1,151,367
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 102","Thunder Bay",1,65,68,15,29,0,178,335
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 103","Thunder Bay",4,60,74,22,28,2,190,401
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 104A","Thunder Bay",1,52,59,10,22,0,144,230
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 104B","Thunder Bay",0,54,64,15,29,1,163,253
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 105","Thunder Bay",1,77,83,9,55,1,226,321
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 106A","Thunder Bay",2,54,64,9,16,1,146,253
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 106B","Thunder Bay",1,61,56,11,22,2,153,242
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 107","Thunder Bay",4,37,71,7,24,2,145,277
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 108","Thunder Bay",3,62,80,7,27,0,179,329
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 109","Thunder Bay",1,43,81,19,37,2,183,362
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 110","Thunder Bay",3,80,61,15,31,1,191,340
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 111","Thunder Bay",2,45,79,11,18,1,156,304
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 112","Thunder Bay",0,48,79,19,33,2,181,345
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 113","Thunder Bay",1,59,30,3,13,1,107,214
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 114","Thunder Bay",1,38,44,7,12,0,102,256
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 115","Thunder Bay",2,56,85,13,37,1,194,317
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 116","Thunder Bay",2,104,38,16,89,1,250,456
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 117","Thunder Bay",4,75,48,2,41,2,172,291
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 118","Thunder Bay",1,81,61,16,34,1,194,356
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 119A","Thunder Bay",0,53,42,5,50,2,152,237
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 119B","Thunder Bay",1,71,40,4,36,0,152,239
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 120","Thunder Bay",1,85,60,12,84,1,243,428
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 121","Thunder Bay",1,62,71,18,36,0,188,379
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 122","Thunder Bay",3,60,63,12,32,0,170,315
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 123","Thunder Bay",0,62,74,21,28,1,186,305
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 124","Thunder Bay",1,58,47,7,15,2,130,232
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 125","Thunder Bay",1,42,66,16,23,0,148,285
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 126","Thunder Bay",0,38,72,11,35,2,158,242
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 127","Thunder Bay",3,76,67,14,40,0,200,422
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 128","Thunder Bay",1,43,24,4,24,0,96,193
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 129","Thunder Bay",2,40,52,9,22,0,125,264
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 130A","Thunder Bay",2,68,36,5,39,2,152,237
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 130B","Mobile poll/Bureau itinérant",1,49,30,5,22,3,110,84
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 131","Thunder Bay",0,71,69,18,38,1,197,355
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 132","Thunder Bay",0,43,48,4,14,1,110,152
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 133","Thunder Bay",1,43,88,14,34,1,181,366
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 134","Thunder Bay",2,52,65,8,29,1,157,349
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 135","Thunder Bay",3,61,62,9,19,1,155,381
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 136","Thunder Bay",5,91,63,10,14,1,184,311
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 137A","Thunder Bay",3,75,48,12,50,2,190,315
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 137B","Thunder Bay",1,62,59,8,57,1,188,314
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 138A","Thunder Bay",0,44,36,7,44,1,132,275
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 138B","Thunder Bay",1,53,51,4,29,0,138,263
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 139","Thunder Bay",1,79,45,3,38,1,167,309
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 140A","Thunder Bay",1,37,39,10,31,0,118,243
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 140B","Thunder Bay",2,54,39,9,35,0,139,239
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 141","Thunder Bay",1,61,56,4,38,1,161,301
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 142","Thunder Bay",1,53,37,17,38,0,146,252
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 143","Thunder Bay",0,41,39,10,36,2,128,186
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 144","Thunder Bay",1,61,58,7,31,1,159,372
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 145","Thunder Bay",1,58,48,12,40,2,161,312
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 146","Thunder Bay",1,49,90,10,33,4,187,399
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 147","Thunder Bay",3,83,102,15,49,0,252,460
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 148","Thunder Bay",5,62,63,16,35,1,182,334
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 149","Thunder Bay",5,62,84,22,46,0,219,364
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 150A","Thunder Bay",0,51,24,16,16,0,107,171
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 150B","Thunder Bay",0,60,31,7,34,0,132,194
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 151","Thunder Bay",3,52,64,17,34,0,170,339
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 152A","Thunder Bay",1,106,56,5,41,1,210,294
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 152B","Thunder Bay",0,42,63,3,15,0,123,262
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 152C","Mobile poll/Bureau itinérant",Merged with No. 130B/Fusionné avec le nº 130B,,,,,,,65
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 153","Thunder Bay",3,78,85,7,41,1,215,420
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 154","Thunder Bay",3,79,53,24,33,1,193,321
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 155","Thunder Bay",0,83,75,20,37,0,215,326
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 156","Thunder Bay",1,108,78,22,51,2,262,422
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 157","Thunder Bay",1,41,63,22,21,1,149,280
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 158","Thunder Bay",5,52,59,14,25,2,157,289
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 159","Thunder Bay",2,67,58,24,41,0,192,337
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 160","Thunder Bay",2,76,90,13,60,0,241,387
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 161","Thunder Bay",5,62,86,19,20,0,192,383
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 162","Thunder Bay",1,55,68,15,21,2,162,304
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 163A","Rossport",3,8,27,1,1,0,40,51
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 163B","Rossport",5,24,28,6,9,0,72,118
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 164","Schreiber",7,43,50,1,24,0,125,262
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 165","Schreiber",3,39,33,1,33,2,111,227
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 166","Schreiber",7,39,43,4,30,2,125,274
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 167","Schreiber",2,39,41,2,29,1,114,233
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 168","Terrace Bay",6,50,92,5,57,3,213,341
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 169","Terrace Bay",9,63,86,9,58,0,225,370
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 170","Terrace Bay",4,31,41,6,24,0,106,214
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 171","Terrace Bay",5,53,94,6,42,2,202,367
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 172","Heron Bay",1,7,0,1,0,0,9,30
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 172-1","Jackfish",0,0,3,0,5,0,8,11
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 173","Pic River",4,96,33,1,3,0,137,245
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 174","Marathon",9,63,54,9,41,0,176,352
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 175","Marathon",4,59,51,5,31,0,150,306
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 176","Marathon",7,65,51,9,32,2,166,313
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 177","Marathon",2,66,60,9,48,1,186,320
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 178","Marathon",0,50,55,7,23,0,135,277
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 179A","Marathon",0,49,41,4,24,0,118,215
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 179B","Marathon",1,41,41,3,48,0,134,220
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 180","Marathon",5,82,83,12,50,0,232,414
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 181","Marathon",7,52,48,6,66,0,179,377
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 400","Thunder Bay",8,131,189,42,68,1,439,492
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 401","Thunder Bay",0,39,11,2,10,0,62,110
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 402","Thunder Bay",2,17,7,1,5,1,33,83
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 500","Mobile poll/Bureau itinérant",2,38,10,1,2,0,53,104
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 501","Mobile poll/Bureau itinérant",0,26,20,6,13,2,67,113
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 600","Armstrong",1,20,10,2,11,0,44,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 601","Nipigon",2,55,60,2,38,0,157,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 602","Beardmore",0,26,10,4,13,0,53,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 603","Nakina",1,23,11,0,10,0,45,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 604","Geraldton",0,79,40,9,48,0,176,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 605","Longlac",2,55,34,4,20,0,115,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 606","Thunder Bay",0,39,40,16,54,1,150,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 607","Thunder Bay",0,63,54,3,38,0,158,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 608","Thunder Bay",2,56,64,9,60,0,191,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 609","Thunder Bay",8,165,166,21,140,2,502,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 610","Thunder Bay",2,179,171,26,146,1,525,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 611","Thunder Bay",0,110,106,15,73,3,307,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 612","Thunder Bay",3,206,130,25,157,0,521,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 613","Red Rock",2,18,17,4,10,0,51,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 614","Thunder Bay",0,205,186,30,100,1,522,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 615","Schreiber",3,65,36,11,50,0,165,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 616","Terrace Bay",5,27,43,5,38,1,119,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 617","Marathon",6,107,71,7,54,0,245,
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord",,Group 1/Groupe 1,9,40,20,13,34,11,127,220
"Thunder Bay--Superior North/Thunder Bay--Superior-Nord",,Group 2/Groupe 2,8,443,321,60,301,15,1148,
