Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René Berthiaume,Jo-Ann Fennessey,Bonnie Jean-Louis,Pierre Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 14","Cumberland",126,44,15,165,2,352,510
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 15","Cumberland",118,32,9,164,1,324,525
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 16","Cumberland",110,72,18,204,4,408,578
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 17","Cumberland",57,44,15,133,2,251,409
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 18","Cumberland",72,44,12,129,2,259,360
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 19","Clarence-Rockland",100,35,12,79,1,227,421
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 20","Clarence-Rockland",95,43,29,174,3,344,560
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 21","Clarence-Rockland",71,22,6,44,2,145,227
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 22","Clarence-Rockland",98,30,10,58,2,198,358
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 23","Clarence-Rockland",124,58,16,149,0,347,651
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 24","Clarence-Rockland",142,56,16,113,4,331,512
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 25","Clarence-Rockland",118,64,19,124,4,329,606
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 26","Clarence-Rockland",137,33,13,127,1,311,497
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 27","Clarence-Rockland",160,67,19,112,5,363,593
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 28","Clarence-Rockland",123,45,23,167,3,361,559
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 29","Clarence-Rockland",134,38,20,118,1,311,447
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 30A","Clarence-Rockland",78,26,7,68,4,183,287
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 30B","Clarence-Rockland",90,36,13,109,1,249,378
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 31","Clarence-Rockland",147,43,7,78,4,279,400
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 32","Clarence-Rockland",117,41,9,120,2,289,468
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 33","Clarence-Rockland",79,20,12,90,3,204,291
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 34","Clarence-Rockland",84,27,15,56,2,184,282
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 35","Clarence-Rockland",116,35,12,120,3,286,415
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 36","Clarence-Rockland",98,35,18,118,3,272,442
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 37","Clarence-Rockland",100,39,10,88,2,239,493
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 38","Clarence-Rockland",70,29,4,72,2,177,352
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 39A","Clarence-Rockland",80,24,9,66,1,180,310
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 39B","Clarence-Rockland",76,28,8,66,1,179,356
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 40","Clarence-Rockland",68,32,10,65,2,177,300
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 41","Clarence-Rockland",129,64,12,107,1,313,544
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 42","Clarence-Rockland",128,49,16,89,2,284,495
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 43A","Clarence-Rockland",80,18,5,52,0,155,286
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 43B","Clarence-Rockland",69,21,7,50,1,148,288
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 44","Clarence-Rockland",82,24,4,39,3,152,326
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 45","Clarence-Rockland",83,30,8,71,5,197,410
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 46","Clarence-Rockland",133,59,11,130,3,336,568
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 47","Clarence-Rockland",67,24,4,51,2,148,364
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 48","Clarence-Rockland",128,33,8,110,0,279,476
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 48-1","Clarence-Rockland",80,19,4,52,0,155,307
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 48-2","Clarence-Rockland",126,41,16,61,3,247,447
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 49","Clarence-Rockland",68,39,19,83,0,209,371
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 50","Wendover",162,70,11,134,1,378,573
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 51","Wendover",146,43,14,91,4,298,459
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 52","Treadwell",145,59,15,96,1,316,594
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 53","Gratton Corners",89,31,15,83,2,220,380
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 53-1","Gratton Corners",138,27,19,53,0,237,374
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 54A","Lefaivre",100,29,22,87,3,241,386
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 54B","Mobile poll/Bureau itinérant",Merged with No. 141B/Fusionné avec le nº 141B,,,,,,27
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 55A","Alfred Station",71,22,18,65,5,181,334
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 55B","Alfred Station",63,27,6,76,2,174,341
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 56","Alfred",124,37,15,48,2,226,362
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 57","Alfred",192,40,18,92,8,350,458
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 58","Plantagenet Station",80,39,11,82,1,213,374
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 59","Plantagenet",120,30,5,49,4,208,354
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 60","Plantagenet",97,17,11,68,4,197,358
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 61","Centrefield",73,40,17,98,2,230,403
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 62A","Curran",91,22,9,98,1,221,355
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 62B","Curran",82,19,12,81,0,194,347
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 63","L'Ange-Gardien",156,66,13,97,1,333,576
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 64","L'Orignal",123,53,11,52,3,242,401
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 65","L'Orignal",102,22,11,57,6,198,326
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 66","L'Orignal",97,50,11,61,4,223,333
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 67","L'Orignal",161,44,22,122,3,352,561
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 68","Cassburn",103,44,12,127,0,286,433
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 69","McAlpine",56,18,7,65,1,147,237
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 70","St-Bernardin",65,23,14,77,3,182,267
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 71","St-Amour",85,18,10,95,2,210,301
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 72","Aberdeen",76,26,15,183,3,303,473
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 73","Vankleek Hill",108,33,13,140,1,295,539
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 74","Vankleek Hill",68,12,6,92,0,178,301
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 75","Vankleek Hill",66,23,10,81,0,180,315
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 76","Vankleek Hill",71,34,19,72,3,199,335
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 77A","Green Lane",50,21,12,54,1,138,272
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 77B","Green Lane",73,33,12,47,2,167,332
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 78","Vankleek Hill Station",66,29,13,137,1,246,392
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 79","Pleasant Corners",116,62,9,127,1,315,455
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 80","West Hawkesbury",111,25,15,85,4,240,364
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 81","Stardale",83,27,26,108,3,247,458
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 82","Chute-à-Blondeau",172,40,16,109,4,341,514
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 83","La Renouche",80,21,14,84,3,202,374
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 84","Saint-Eugène",97,45,15,109,2,268,457
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 85","Chevrier",86,29,14,106,2,237,339
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 86","Ste-Anne-de-Prescott",87,27,10,94,0,218,330
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 87","West Hawkesbury",63,16,4,51,1,135,209
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 88A","Hawkesbury",75,15,17,54,0,161,336
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 88B","Hawkesbury",135,32,11,50,0,228,452
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 89","Hawkesbury",85,16,6,42,1,150,322
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 90","Hawkesbury",95,25,11,49,2,182,475
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 91","Hawkesbury",93,42,11,52,0,198,339
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 92","Hawkesbury",89,17,11,39,1,157,408
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 93","Hawkesbury",42,15,6,30,0,93,321
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 94","Hawkesbury",92,24,8,35,0,159,331
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 95","Hawkesbury",55,10,3,42,2,112,292
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 96","Hawkesbury",102,10,4,47,3,166,403
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 97","Hawkesbury",125,29,4,61,3,222,427
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 98","Hawkesbury",89,18,9,89,2,207,376
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 99","Hawkesbury",126,42,16,67,3,254,446
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 100","Hawkesbury",98,26,11,62,2,199,361
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 101","Hawkesbury",70,7,3,23,0,103,325
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 102","Hawkesbury",74,10,5,43,3,135,317
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 103","Hawkesbury",88,22,1,29,1,141,342
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 104","Hawkesbury",78,14,10,41,1,144,335
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 105","Hawkesbury",73,24,3,48,2,150,330
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 106","Hawkesbury",113,17,4,45,1,180,357
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 107","Hawkesbury",102,18,7,22,4,153,329
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 108","Hawkesbury",135,27,8,83,3,256,487
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 109","North Russell",68,49,21,197,4,339,512
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 110","Russell",60,23,11,172,0,266,386
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 111A","Russell",60,31,10,115,0,216,307
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 111B","Russell",49,28,12,126,0,215,316
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 112","Russell",97,44,13,197,1,352,522
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 113","Russell",97,44,17,165,1,324,471
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 114","Russell",100,30,11,174,1,316,469
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 115","Russell",50,19,11,107,0,187,259
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 116","Russell",96,62,12,180,0,350,493
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 117","North Russell",173,33,18,147,1,372,541
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 118","Limoges",109,45,15,149,6,324,486
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 119A","Forget",106,25,8,118,3,260,389
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 119B","Forget",93,20,5,71,1,190,322
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120A","Embrun",117,25,10,115,0,267,387
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120B","Embrun",113,28,7,87,1,236,365
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120C","Embrun",129,31,7,112,1,280,440
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 121","Embrun",144,37,3,125,1,310,465
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 122","Embrun",163,47,12,111,3,336,510
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 123","Embrun",141,37,6,128,2,314,537
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 124","Embrun",90,29,7,52,0,178,316
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 125","Embrun",122,26,14,96,1,259,484
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 126","Embrun",76,41,8,85,2,212,332
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 127","Felton",95,53,13,185,2,348,542
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 128","Limoges",95,45,17,127,3,287,409
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 129","Limoges",120,61,13,130,0,324,513
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 130A","Limoges",71,31,9,81,0,192,304
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 130B","Limoges",82,23,8,90,1,204,323
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 131","Cambridge",60,31,3,38,2,134,218
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 132","Cambridge",68,49,16,109,0,242,404
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 133","Benoit",62,34,10,65,3,174,336
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 134","Longtinville",142,60,16,127,4,349,555
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 135","St-Albert",192,59,18,101,6,376,523
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 136","Mayerville",83,30,2,81,2,198,348
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 137","Cambridge",127,44,15,80,4,270,354
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 138","Riceville",57,40,17,119,3,236,362
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 139","Ste-Rose-de-Prescott",91,31,8,124,0,254,417
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 140","Fournier",111,39,15,156,4,325,479
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 141A","St. Isidore",82,18,10,99,1,210,296
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 141B","Mobile poll/Bureau itinérant",17,3,1,8,4,33,38
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 142","St. Isidore",77,16,5,68,1,167,236
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 143","Casselman",153,49,15,124,5,346,525
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 144A","Casselman",103,25,13,57,1,199,330
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 144B","Casselman",104,25,8,55,5,197,385
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 145","Casselman",104,27,7,58,1,197,329
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 146A","Casselman",72,25,8,50,0,155,273
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 146B","Casselman",114,33,14,80,3,244,376
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 147","Casselman",200,51,16,138,5,410,568
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 148","St. Elmo",29,20,8,135,0,192,236
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 149","Dunvegan",63,32,11,111,0,217,378
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 150","Pine Grove",33,16,10,89,0,148,230
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 151","Breadalbane",61,22,10,122,0,215,321
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 152","Glen Sandfield",59,23,10,126,0,218,306
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 153","Lochiel",44,16,4,85,0,149,223
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 154","Glen Robertson",74,35,16,124,2,251,357
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 154-1","Glen Robertson",48,15,10,98,0,171,255
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 155","McCormick",129,50,12,110,1,302,492
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 156","Alexandria",112,22,5,93,0,232,410
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 157","Alexandria",91,23,4,73,3,194,329
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 158","Alexandria",64,35,7,58,0,164,309
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 159A","Alexandria",29,11,10,43,3,96,243
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 159B","Alexandria",55,32,11,80,1,179,381
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 160","Alexandria",46,14,5,62,1,128,275
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 161","Alexandria",91,28,9,121,0,249,498
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 162","Greenfield",79,41,13,118,0,251,422
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 163","Dominionville",51,29,8,111,1,200,308
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 164","Maxville",35,27,10,124,0,196,417
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 165","Maxville",56,17,5,144,0,222,327
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 166","Apple Hill",146,58,14,164,2,384,579
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 167A","Kenyon",55,27,9,71,1,163,274
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 167B","Kenyon",75,30,10,90,0,205,356
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 500","Mobile poll/Bureau itinérant",97,2,2,35,6,142,151
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 501","Mobile poll/Bureau itinérant",39,2,3,8,0,52,154
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 502","Mobile poll/Bureau itinérant",39,4,4,26,2,75,142
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 503","Mobile poll/Bureau itinérant",63,5,4,13,6,91,168
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 504","Mobile poll/Bureau itinérant",42,2,2,15,4,65,89
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 505","Mobile poll/Bureau itinérant",70,5,2,26,4,107,134
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 506","Mobile poll/Bureau itinérant",57,2,0,25,5,89,174
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 507","Mobile poll/Bureau itinérant",20,1,0,13,4,38,75
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 508","Mobile poll/Bureau itinérant",52,5,1,20,2,80,135
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 509","Mobile poll/Bureau itinérant",24,7,1,38,3,73,153
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 510","Mobile poll/Bureau itinérant",66,6,0,28,3,103,149
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 511","Mobile poll/Bureau itinérant",65,5,7,21,5,103,164
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 512","Mobile poll/Bureau itinérant",39,10,4,24,3,80,160
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 600","Cumberland",212,54,37,487,2,792,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 601","Clarence",180,56,21,253,2,512,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 602","Rockland",302,64,14,299,3,682,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 603","Plantagenet",225,42,25,211,5,508,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 604","Vankleek Hill",141,37,17,318,4,517,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 605","Saint-Eugène",77,20,16,116,0,229,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 606","Hawkesbury",469,79,25,290,10,873,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 607","Embrun",265,63,31,487,1,847,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 608","Casselman",264,60,24,298,5,651,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 609","North Glengarry",314,56,12,374,2,758,
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell",,Group 1/Groupe 1,53,10,8,71,3,145,339
"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell",,Group 2/Groupe 2,1280,134,77,854,45,2390,
