Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jovan Boseovski,Rochelle Carnegie,Jim Peterson,Sharolyn Vettese,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Willowdale/Willowdale"," 37","North York",96,22,146,14,3,281,491
"Willowdale/Willowdale"," 38","North York",74,26,108,4,0,212,398
"Willowdale/Willowdale"," 39","North York",74,37,136,17,2,266,505
"Willowdale/Willowdale"," 40","North York",65,42,145,5,0,257,453
"Willowdale/Willowdale"," 41","North York",76,46,147,6,0,275,494
"Willowdale/Willowdale"," 42","North York",59,37,140,10,3,249,469
"Willowdale/Willowdale"," 43","North York",92,32,143,10,1,278,490
"Willowdale/Willowdale"," 44","North York",100,28,160,8,0,296,472
"Willowdale/Willowdale"," 45","North York",103,45,159,11,1,319,510
"Willowdale/Willowdale"," 46","North York",75,34,231,7,1,348,587
"Willowdale/Willowdale"," 47","North York",53,41,94,6,2,196,402
"Willowdale/Willowdale"," 48","North York",63,25,100,14,0,202,314
"Willowdale/Willowdale"," 49","North York",70,32,142,13,1,258,473
"Willowdale/Willowdale"," 50","North York",54,27,121,5,1,208,373
"Willowdale/Willowdale"," 51","North York",72,26,143,8,0,249,504
"Willowdale/Willowdale"," 52","North York",61,26,133,14,0,234,440
"Willowdale/Willowdale"," 53","North York",60,43,181,11,1,296,511
"Willowdale/Willowdale"," 54","North York",42,12,103,5,0,162,279
"Willowdale/Willowdale"," 55","North York",60,21,120,9,0,210,364
"Willowdale/Willowdale"," 56","North York",68,27,143,15,0,253,440
"Willowdale/Willowdale"," 57","North York",68,30,106,6,0,210,380
"Willowdale/Willowdale"," 58","North York",32,9,99,8,4,152,334
"Willowdale/Willowdale"," 59","North York",96,22,187,15,0,320,545
"Willowdale/Willowdale"," 60","North York",59,31,170,7,0,267,488
"Willowdale/Willowdale"," 61","North York",41,19,94,7,0,161,279
"Willowdale/Willowdale"," 62","North York",46,27,151,5,0,229,451
"Willowdale/Willowdale"," 63","North York",54,25,105,10,1,195,341
"Willowdale/Willowdale"," 64","North York",62,25,105,5,0,197,347
"Willowdale/Willowdale"," 65","North York",62,52,186,11,0,311,565
"Willowdale/Willowdale"," 66","North York",67,56,158,10,3,294,430
"Willowdale/Willowdale"," 67A","North York",31,15,144,3,5,198,307
"Willowdale/Willowdale"," 67B","North York",Merged with No. 54/Fusionné avec le nº 54,,,,,,100
"Willowdale/Willowdale"," 67C","North York",62,7,106,2,0,177,368
"Willowdale/Willowdale"," 68","North York",50,40,159,2,0,251,491
"Willowdale/Willowdale"," 69","North York",70,24,116,10,0,220,397
"Willowdale/Willowdale"," 70","North York",79,18,173,15,0,285,473
"Willowdale/Willowdale"," 71","North York",91,26,130,5,0,252,466
"Willowdale/Willowdale"," 72","North York",95,13,140,16,1,265,424
"Willowdale/Willowdale"," 73","North York",54,13,140,16,0,223,388
"Willowdale/Willowdale"," 74","North York",79,13,146,5,0,243,472
"Willowdale/Willowdale"," 75","North York",91,22,113,23,0,249,432
"Willowdale/Willowdale"," 76","North York",84,25,135,14,1,259,431
"Willowdale/Willowdale"," 77","North York",63,33,139,5,1,241,433
"Willowdale/Willowdale"," 78","North York",32,45,87,11,2,177,368
"Willowdale/Willowdale"," 79A","North York",44,21,116,8,0,189,503
"Willowdale/Willowdale"," 79B","North York",49,27,122,3,3,204,620
"Willowdale/Willowdale"," 80","North York",77,46,134,18,1,276,500
"Willowdale/Willowdale"," 81","North York",58,29,71,7,1,166,419
"Willowdale/Willowdale"," 82","North York",34,23,101,5,1,164,325
"Willowdale/Willowdale"," 83A","North York",38,16,73,2,2,131,258
"Willowdale/Willowdale"," 83B","North York",10,2,45,2,1,60,124
"Willowdale/Willowdale"," 84","North York",83,19,182,8,1,293,588
"Willowdale/Willowdale"," 85","North York",55,17,120,7,0,199,476
"Willowdale/Willowdale"," 86A","North York",56,19,122,3,0,200,397
"Willowdale/Willowdale"," 86B","North York",60,27,141,7,0,235,503
"Willowdale/Willowdale"," 86C","North York",65,26,152,11,2,256,493
"Willowdale/Willowdale"," 87A","North York",54,39,102,5,1,201,398
"Willowdale/Willowdale"," 87B","North York",Merged with No. 418/Fusionné avec le nº 418,,,,,,227
"Willowdale/Willowdale"," 87C","North York",49,41,168,12,0,270,632
"Willowdale/Willowdale"," 87D","North York",51,9,85,4,0,149,311
"Willowdale/Willowdale"," 88","North York",77,36,162,21,0,296,529
"Willowdale/Willowdale"," 89","North York",44,42,135,4,0,225,431
"Willowdale/Willowdale"," 90","North York",65,18,84,6,3,176,377
"Willowdale/Willowdale"," 91","North York",59,11,80,6,0,156,293
"Willowdale/Willowdale"," 92","North York",41,19,118,6,1,185,392
"Willowdale/Willowdale"," 93A","North York",50,26,116,3,0,195,398
"Willowdale/Willowdale"," 93B","North York",52,27,134,12,0,225,473
"Willowdale/Willowdale"," 94A","North York",27,16,101,2,0,146,337
"Willowdale/Willowdale"," 94B","North York",68,46,140,17,0,271,303
"Willowdale/Willowdale"," 95","North York",52,27,112,7,0,198,342
"Willowdale/Willowdale"," 96","North York",66,36,157,16,3,278,518
"Willowdale/Willowdale"," 97","North York",65,19,130,13,0,227,388
"Willowdale/Willowdale"," 98","North York",86,19,146,9,1,261,556
"Willowdale/Willowdale"," 99","North York",61,31,114,8,2,216,428
"Willowdale/Willowdale"," 100","North York",57,38,146,17,0,258,410
"Willowdale/Willowdale"," 101","North York",91,38,147,4,1,281,515
"Willowdale/Willowdale"," 102","North York",90,37,159,6,1,293,531
"Willowdale/Willowdale"," 103","North York",Merged with No. 104/Fusionné avec le nº 104,,,,,,169
"Willowdale/Willowdale"," 104","North York",68,42,179,21,0,310,405
"Willowdale/Willowdale"," 105","North York",77,41,129,11,2,260,420
"Willowdale/Willowdale"," 106","North York",70,36,111,9,0,226,369
"Willowdale/Willowdale"," 107","North York",42,19,73,4,0,138,262
"Willowdale/Willowdale"," 108","North York",69,33,141,8,0,251,409
"Willowdale/Willowdale"," 109","North York",84,29,117,9,0,239,383
"Willowdale/Willowdale"," 110","North York",88,22,145,19,2,276,458
"Willowdale/Willowdale"," 111","North York",46,40,114,12,0,212,227
"Willowdale/Willowdale"," 112","North York",57,22,138,7,0,224,419
"Willowdale/Willowdale"," 113A","North York",45,16,127,5,3,196,394
"Willowdale/Willowdale"," 113B","North York",68,16,123,2,7,216,282
"Willowdale/Willowdale"," 114","North York",Merged with No. 111/Fusionné avec le nº 111,,,,,,221
"Willowdale/Willowdale"," 115","North York",94,62,194,12,0,362,611
"Willowdale/Willowdale"," 116","North York",98,25,143,21,0,287,500
"Willowdale/Willowdale"," 117","North York",67,23,146,13,0,249,356
"Willowdale/Willowdale"," 118","North York",64,38,165,8,0,275,418
"Willowdale/Willowdale"," 119","North York",64,44,129,11,0,248,413
"Willowdale/Willowdale"," 120","North York",68,25,161,11,1,266,380
"Willowdale/Willowdale"," 121","North York",103,53,151,17,0,324,380
"Willowdale/Willowdale"," 122","North York",Merged with No. 121/Fusionné avec le nº 121,,,,,,152
"Willowdale/Willowdale"," 123A","North York",72,19,143,10,0,244,421
"Willowdale/Willowdale"," 123B","North York",14,13,27,0,2,56,91
"Willowdale/Willowdale"," 124","North York",84,33,136,20,1,274,282
"Willowdale/Willowdale"," 125","North York",Merged with No. 124/Fusionné avec le nº 124,,,,,,163
"Willowdale/Willowdale"," 126A","North York",75,14,102,5,0,196,327
"Willowdale/Willowdale"," 126B","North York",41,31,85,5,1,163,245
"Willowdale/Willowdale"," 126C","North York",88,57,174,19,0,338,557
"Willowdale/Willowdale"," 126D","North York",41,23,115,5,6,190,286
"Willowdale/Willowdale"," 126E","North York",65,24,117,9,0,215,333
"Willowdale/Willowdale"," 127","North York",71,34,143,11,1,260,504
"Willowdale/Willowdale"," 128","North York",81,18,109,6,1,215,421
"Willowdale/Willowdale"," 129","North York",95,29,129,25,1,279,510
"Willowdale/Willowdale"," 130A","North York",44,38,113,12,1,208,388
"Willowdale/Willowdale"," 130B","North York",55,29,110,14,0,208,388
"Willowdale/Willowdale"," 131","North York",Merged with No. 132/Fusionné avec le nº 132,,,,,,58
"Willowdale/Willowdale"," 132","North York",71,35,125,21,1,253,398
"Willowdale/Willowdale"," 133","North York",67,49,94,16,2,228,492
"Willowdale/Willowdale"," 134","North York",Void/Supprimé,,,,,,
"Willowdale/Willowdale"," 135","North York",123,40,158,19,1,341,505
"Willowdale/Willowdale"," 136","North York",84,25,147,13,0,269,457
"Willowdale/Willowdale"," 137","North York",86,27,134,18,1,266,374
"Willowdale/Willowdale"," 138","North York",79,24,132,17,0,252,442
"Willowdale/Willowdale"," 139","North York",97,38,121,19,1,276,441
"Willowdale/Willowdale"," 140","North York",85,46,128,20,0,279,440
"Willowdale/Willowdale"," 141A","North York",84,56,213,21,1,375,671
"Willowdale/Willowdale"," 141B","North York",66,31,124,12,0,233,373
"Willowdale/Willowdale"," 141C","North York",65,43,163,17,2,290,480
"Willowdale/Willowdale"," 141D","North York",62,26,99,10,0,197,304
"Willowdale/Willowdale"," 141E","North York",86,20,102,4,0,212,375
"Willowdale/Willowdale"," 142","North York",Merged with No. 143/Fusionné avec le nº 143,,,,,,154
"Willowdale/Willowdale"," 143","North York",83,39,141,27,2,292,357
"Willowdale/Willowdale"," 144A","North York",54,21,126,11,0,212,501
"Willowdale/Willowdale"," 144B","North York",44,17,101,6,0,168,442
"Willowdale/Willowdale"," 145A","North York",56,15,89,7,0,167,437
"Willowdale/Willowdale"," 145B","North York",43,12,92,5,0,152,373
"Willowdale/Willowdale"," 146","North York",Merged with No. 94B/Fusionné avec le nº 94B,,,,,,204
"Willowdale/Willowdale"," 147A","North York",83,32,150,12,0,277,459
"Willowdale/Willowdale"," 147B","North York",78,38,129,7,0,252,468
"Willowdale/Willowdale"," 148","North York",87,50,149,13,3,302,564
"Willowdale/Willowdale"," 149","North York",73,31,137,5,0,246,477
"Willowdale/Willowdale"," 150","North York",101,28,178,7,1,315,605
"Willowdale/Willowdale"," 151","North York",72,19,141,9,0,241,388
"Willowdale/Willowdale"," 152","North York",Void/Supprimé,,,,,,
"Willowdale/Willowdale"," 153","North York",61,39,99,18,0,217,456
"Willowdale/Willowdale"," 154","North York",107,24,149,9,0,289,540
"Willowdale/Willowdale"," 155","North York",78,27,125,9,0,239,530
"Willowdale/Willowdale"," 156","North York",70,48,141,12,0,271,492
"Willowdale/Willowdale"," 157","North York",52,28,138,17,0,235,428
"Willowdale/Willowdale"," 158","North York",69,27,88,7,1,192,396
"Willowdale/Willowdale"," 159A","North York",107,49,171,12,2,341,688
"Willowdale/Willowdale"," 159B","North York",28,19,67,2,1,117,129
"Willowdale/Willowdale"," 160","North York",71,27,105,13,1,217,417
"Willowdale/Willowdale"," 161","North York",73,16,109,13,3,214,339
"Willowdale/Willowdale"," 162","North York",53,26,94,8,0,181,334
"Willowdale/Willowdale"," 163","North York",85,42,138,13,0,278,514
"Willowdale/Willowdale"," 164","North York",41,8,73,7,0,129,266
"Willowdale/Willowdale"," 165","North York",85,15,147,3,0,250,449
"Willowdale/Willowdale"," 166","North York",44,17,90,20,1,172,329
"Willowdale/Willowdale"," 400","North York",39,20,215,1,3,278,387
"Willowdale/Willowdale"," 401","North York",80,12,137,6,1,236,354
"Willowdale/Willowdale"," 402","North York",48,14,87,8,0,157,234
"Willowdale/Willowdale"," 403","North York",50,15,148,6,3,222,347
"Willowdale/Willowdale"," 404","North York",60,1,112,0,1,174,318
"Willowdale/Willowdale"," 405","North York",49,4,83,3,0,139,292
"Willowdale/Willowdale"," 406","North York",59,27,153,3,0,242,435
"Willowdale/Willowdale"," 407","North York",5,7,43,6,0,61,80
"Willowdale/Willowdale"," 408","North York",14,18,38,1,2,73,160
"Willowdale/Willowdale"," 409","North York",60,56,117,17,1,251,354
"Willowdale/Willowdale"," 410","North York",45,13,116,3,2,179,258
"Willowdale/Willowdale"," 411","North York",19,11,47,2,0,79,381
"Willowdale/Willowdale"," 412","North York",47,32,158,10,1,248,493
"Willowdale/Willowdale"," 413","North York",45,17,95,8,2,167,295
"Willowdale/Willowdale"," 414","North York",49,24,71,13,1,158,330
"Willowdale/Willowdale"," 415","North York",74,40,156,14,2,286,524
"Willowdale/Willowdale"," 416","North York",15,11,46,8,0,80,185
"Willowdale/Willowdale"," 417","North York",44,27,80,8,0,159,258
"Willowdale/Willowdale"," 418","North York",65,18,123,6,1,213,223
"Willowdale/Willowdale"," 419","North York",40,15,97,9,2,163,379
"Willowdale/Willowdale"," 420","North York",48,29,107,6,0,190,369
"Willowdale/Willowdale"," 421","North York",43,19,93,14,0,169,336
"Willowdale/Willowdale"," 422","North York",40,20,82,5,0,147,262
"Willowdale/Willowdale"," 423","North York",49,16,74,6,0,145,288
"Willowdale/Willowdale"," 424","North York",33,16,100,5,2,156,307
"Willowdale/Willowdale"," 425","North York",53,34,138,11,1,237,399
"Willowdale/Willowdale"," 426","North York",51,17,132,12,1,213,367
"Willowdale/Willowdale"," 427","North York",74,31,151,20,0,276,391
"Willowdale/Willowdale"," 428","North York",39,8,73,6,0,126,243
"Willowdale/Willowdale"," 429","North York",61,19,87,3,0,170,388
"Willowdale/Willowdale"," 430","North York",64,34,159,7,0,264,386
"Willowdale/Willowdale"," 431","North York",Void/Supprimé,,,,,,
"Willowdale/Willowdale"," 432","North York",71,24,134,6,3,238,332
"Willowdale/Willowdale"," 433","North York",24,37,81,7,0,149,242
"Willowdale/Willowdale"," 434","North York",38,31,117,10,1,197,411
"Willowdale/Willowdale"," 435","North York",49,39,116,7,2,213,325
"Willowdale/Willowdale"," 436","North York",43,30,87,11,2,173,259
"Willowdale/Willowdale"," 437","North York",33,12,54,3,0,102,273
"Willowdale/Willowdale"," 600","Toronto",240,48,305,28,2,623,
"Willowdale/Willowdale"," 601","Toronto",127,26,259,11,1,424,
"Willowdale/Willowdale"," 602","Toronto",188,61,334,16,4,603,
"Willowdale/Willowdale"," 603","Toronto",322,52,394,21,2,791,
"Willowdale/Willowdale"," 604","Toronto",336,73,480,33,1,923,
"Willowdale/Willowdale"," 605","Toronto",272,82,440,38,1,833,
"Willowdale/Willowdale"," 606","Toronto",302,67,421,35,1,826,
"Willowdale/Willowdale"," 607","Toronto",382,83,540,28,1,1034,
"Willowdale/Willowdale",,Group 1/Groupe 1,29,14,57,7,1,108,165
"Willowdale/Willowdale",,Group 2/Groupe 2,328,96,548,38,17,1027,
