Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Casey,N. Bruce Farrell,Gary Richard,Margaret Sagar,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 33","Amherst",118,8,30,39,9,0,204,401
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 34","Amherst",118,2,26,50,1,1,198,441
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 35A","Amherst",83,2,23,28,1,0,137,272
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 35B","Amherst",88,1,23,17,0,0,129,259
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 36","Amherst Shore",105,3,28,34,1,0,171,262
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 37","Tidnish",167,5,55,45,4,0,276,443
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 38","Amherst Head",119,2,29,31,1,1,183,292
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 39","Mount Pleasant",120,4,35,33,6,1,199,312
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 40","Oxford Junction",137,2,44,28,8,0,219,350
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 41","Oxford",116,5,30,25,3,1,180,315
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 42","Oxford",81,2,23,27,1,1,135,217
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 43","Oxford",107,1,39,27,3,1,178,355
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 44","Oxford",90,0,23,10,2,0,125,214
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 45","River Philip",84,2,61,42,19,3,211,334
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 46","Rodney",100,2,40,31,9,3,185,281
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 47","Collingwood Corner",67,1,37,24,6,0,135,216
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 48","Millvale",44,2,34,19,4,1,104,148
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 49","Springhill",110,2,25,33,16,4,190,368
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 50","Springhill",122,6,43,39,14,1,225,367
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 51A","Springhill",63,3,24,26,6,1,123,256
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 51B","Springhill",50,2,20,29,3,1,105,236
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 52","Springhill",85,5,38,21,12,1,162,291
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 53","Springhill",94,6,25,46,8,0,179,282
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 54","Springhill",83,5,37,35,4,3,167,290
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 55","Springhill",94,0,44,41,16,2,197,368
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 56","Springhill",102,1,36,29,6,0,174,327
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 57","Springhill",83,3,24,49,9,0,168,288
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 58","Linden",106,3,34,36,3,1,183,314
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 59","West Pugwash",93,7,34,27,2,0,163,314
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 60","Victoria",29,3,11,17,2,0,62,128
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 61","Pugwash Junction",61,5,31,15,3,2,117,339
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 62","South Pugwash",67,3,26,27,0,1,124,217
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 63","Pugwash",63,6,19,25,0,0,113,260
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 64","Pugwash",53,0,21,14,0,0,88,237
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 65","Pugwash",68,8,28,23,0,1,128,260
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 66","Wallace Bridge",133,10,38,53,1,3,238,448
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 67","Malagash",108,4,34,39,2,0,187,350
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 68","Wallace",85,0,29,35,0,0,149,265
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 69","Wentworth",130,6,73,43,6,0,258,404
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 70","Westchester",118,1,14,34,4,1,172,239
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 71","Bayhead",89,6,38,63,0,0,196,383
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 72","Tatamagouche",60,4,33,19,1,0,117,317
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 73","Tatamagouche",42,3,35,13,0,0,93,194
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 74","Brûlé",98,5,43,38,2,1,187,333
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 75","Waughs River",77,2,35,15,1,2,132,270
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 76","Balfron",90,6,34,44,1,1,176,390
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 77","West New Annan",66,6,21,17,1,1,112,198
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 78","East New Annan",21,0,12,12,0,0,45,112
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 79","North Earltown",96,10,54,43,0,0,203,322
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 80","West Advocate",154,14,62,33,2,1,266,426
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 81","Port Greville",76,2,34,30,0,0,142,201
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 82","Halfway River",52,1,9,4,0,0,66,117
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 83","Diligent River",58,7,27,24,2,0,118,180
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 84","Parrsboro",118,7,45,50,7,2,229,451
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 85","Parrsboro",95,4,36,33,2,2,172,314
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 86","Parrsboro",51,2,21,21,2,0,97,161
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 87","Parrsboro",98,1,47,34,2,2,184,336
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 88","Moose River",105,4,34,40,2,0,185,301
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 89","Southampton",124,4,50,23,3,0,204,310
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 90","Five Islands",75,3,50,28,2,1,159,315
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 91","Economy",63,5,64,43,1,0,176,302
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 92","Bass River",99,3,79,63,2,2,248,436
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 93","Portapique",68,3,38,26,0,0,135,214
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 94","Londonderry",38,4,34,27,0,0,103,200
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 95","Londonderry",50,2,36,50,2,0,140,255
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 96","Debert",89,2,36,44,2,0,173,294
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 97","Glenholme",97,5,67,64,2,1,236,391
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 98","Great Village",68,3,32,39,1,1,144,233
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 99","Glenholme",95,8,50,39,1,1,194,331
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 100A","Lower Debert",64,7,34,40,4,0,149,271
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 100B","Lower Debert",74,5,42,24,1,0,146,283
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 101","Masstown",73,6,29,25,3,0,136,227
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 102","Lower Onslow",75,6,64,23,0,1,169,256
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 103","Belmont",105,2,38,42,1,1,189,412
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 104A","Glenholme",49,2,32,33,2,1,119,268
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 104B","Glenholme",40,1,28,29,0,0,98,224
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 105","Glenholme",96,2,55,61,6,1,221,482
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 106A","Upper North River",52,1,31,36,1,0,121,209
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 106B","Upper North River",82,2,39,38,2,1,164,287
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 107","North River",52,3,23,32,0,0,110,211
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 108A","North River",57,3,43,23,1,0,127,246
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 108B","North River",43,1,32,34,2,1,113,250
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 109","Belmont",34,2,19,11,1,0,67,131
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 110","Central Onslow",111,8,72,37,1,3,232,397
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 111","Upper Onslow",52,4,37,32,0,1,126,262
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 112","Upper Onslow",73,3,42,33,1,0,152,219
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 113","Brookside",63,3,45,51,1,0,163,310
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 114","Brookside",58,1,31,8,0,0,98,156
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 115","Valley Cross Roads",106,2,77,48,1,0,234,341
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 116","Valley",128,7,74,51,0,0,260,408
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 117","Valley",126,1,56,69,1,0,253,368
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 118","Valley",106,2,58,56,0,0,222,429
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 119","Valley",60,1,21,18,2,0,102,223
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 120","East Mountain",120,1,59,65,3,1,249,486
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 121","Kemptown",50,3,19,30,1,0,103,175
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 122","Clifton",110,10,55,42,5,1,223,368
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 123","Lower Truro",139,8,73,73,2,0,295,468
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 124","Truro Heights",122,6,42,48,0,0,218,470
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 125","Truro Heights",58,1,21,31,0,0,111,254
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 126","Truro Heights",69,8,44,42,2,0,165,341
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 127A","Hilden",88,2,32,34,2,0,158,260
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 127B","Hilden",94,2,33,28,1,0,158,271
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 128","Hilden",108,2,42,48,2,2,204,378
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 129","Greenfield",57,1,30,30,1,1,120,216
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 130A","Truro",105,6,49,51,1,1,213,316
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 130B","Truro",Merged with No. 131/Fusionné avec le nº 131,,,,,,,120
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 131","Harmony",135,3,65,75,1,2,281,329
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 132","Harmony",115,5,79,51,1,3,254,420
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 133","Greenfield",75,4,37,33,0,0,149,276
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 134","Truro",120,6,63,53,1,0,243,470
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 135","Truro",64,3,49,28,2,0,146,296
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 136","Truro",86,1,30,41,0,1,159,377
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 137","Truro",37,4,31,44,0,0,116,275
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 138","Truro",63,4,35,44,1,0,147,387
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 139","Truro",55,14,42,46,0,0,157,313
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 140","Truro",60,3,27,27,1,1,119,269
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 141A","Truro",52,1,26,18,1,0,98,262
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 141B","Truro",39,3,27,17,0,0,86,234
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 142","Truro",61,7,40,47,0,1,156,355
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 143","Truro",15,3,11,8,0,0,37,97
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 144A","Truro",39,1,25,26,1,0,92,254
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 144B","Truro",50,1,20,38,3,0,112,274
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 145","Truro",48,8,39,42,3,1,141,333
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 146","Truro",65,8,57,52,1,1,184,372
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 147","Truro",74,8,37,42,2,0,163,434
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 148","Truro",76,2,45,56,2,2,183,431
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 149","Truro",86,4,59,37,1,0,187,348
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 150","Truro",84,8,28,42,1,3,166,369
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 151","Truro",118,9,47,60,1,0,235,421
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 152","Truro",55,6,31,26,1,1,120,225
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 153","Truro",119,8,50,65,2,0,244,468
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 154","Truro",65,8,47,49,0,0,169,357
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 155","Truro",85,4,60,49,0,1,199,375
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 156","Truro",82,7,56,41,1,1,188,373
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 157","Truro",51,1,35,21,1,0,109,196
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 158","Truro",98,4,40,53,0,1,196,343
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 159","Truro",52,1,40,30,1,0,124,308
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 160","Truro",84,0,43,45,0,0,172,342
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 161","Millbrook",32,4,84,45,4,0,169,494
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 162A","Bible Hill",61,6,35,26,0,0,128,267
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 162B","Bible Hill",76,0,42,27,2,1,148,292
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 163A","Bible Hill",65,4,24,37,0,1,131,333
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 163B","Bible Hill",73,2,32,33,2,0,142,355
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 164","Bible Hill",96,10,54,56,0,1,217,437
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 165","Bible Hill",55,4,33,32,0,2,126,277
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 166","Bible Hill",113,5,58,47,0,2,225,415
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 167A","Bible Hill",81,2,48,32,0,0,163,339
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 167B","Bible Hill",86,2,45,40,1,2,176,338
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 168","Bible Hill",90,4,47,53,1,0,195,326
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 169","Bible Hill",161,4,78,44,0,0,287,464
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 170","Bible Hill",124,6,90,42,0,0,262,466
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 171","Bible Hill",131,5,76,51,1,0,264,484
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 172A","Salmon River",74,10,32,40,4,0,160,278
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 172B","Salmon River",62,3,31,32,3,1,132,230
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 173","Salmon River",128,6,57,48,3,0,242,419
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 174","Salmon River",81,2,35,54,0,1,173,357
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 175","Salmon River",115,7,45,57,1,1,226,446
"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 176","Eastville",59,6,37,22,0,0,124,205
