Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvain Castonguay,Hélène Héroux,Gérard Labelle,Angelo M. Marino,François Pilon,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Honoré-Mercier/Honoré-Mercier"," 32","Montréal",6,0,9,46,5,141,2,209,366
"Honoré-Mercier/Honoré-Mercier"," 33","Montréal",8,0,88,39,13,103,5,256,513
"Honoré-Mercier/Honoré-Mercier"," 34A","Montréal",11,1,65,41,9,111,3,241,376
"Honoré-Mercier/Honoré-Mercier"," 34B","Montréal",2,0,36,39,10,111,2,200,358
"Honoré-Mercier/Honoré-Mercier"," 35","Montréal",8,2,61,45,19,130,1,266,408
"Honoré-Mercier/Honoré-Mercier"," 36","Montréal",5,0,33,21,7,75,2,143,220
"Honoré-Mercier/Honoré-Mercier"," 37","Montréal",4,0,39,32,6,45,0,126,225
"Honoré-Mercier/Honoré-Mercier"," 38","Montréal",3,2,24,25,7,135,4,200,338
"Honoré-Mercier/Honoré-Mercier"," 39","Montréal",8,0,44,31,14,95,3,195,326
"Honoré-Mercier/Honoré-Mercier"," 40","Montréal",15,0,98,32,9,86,0,240,528
"Honoré-Mercier/Honoré-Mercier"," 41","Montréal",1,0,12,32,6,131,2,184,325
"Honoré-Mercier/Honoré-Mercier"," 42","Montréal",2,0,3,53,5,118,0,181,299
"Honoré-Mercier/Honoré-Mercier"," 43","Montréal",2,1,24,36,12,103,2,180,425
"Honoré-Mercier/Honoré-Mercier"," 44","Montréal",2,1,7,33,9,126,2,180,280
"Honoré-Mercier/Honoré-Mercier"," 45","Montréal",6,0,12,49,5,181,2,255,394
"Honoré-Mercier/Honoré-Mercier"," 46","Montréal",6,0,52,50,17,190,5,320,507
"Honoré-Mercier/Honoré-Mercier"," 47","Montréal",7,2,39,57,17,151,1,274,488
"Honoré-Mercier/Honoré-Mercier"," 48","Montréal",8,1,76,39,19,75,1,219,420
"Honoré-Mercier/Honoré-Mercier"," 49","Montréal",7,0,33,41,7,133,5,226,421
"Honoré-Mercier/Honoré-Mercier"," 50","Montréal",2,1,8,32,3,110,2,158,231
"Honoré-Mercier/Honoré-Mercier"," 51","Montréal",2,0,20,23,3,146,5,199,286
"Honoré-Mercier/Honoré-Mercier"," 52","Montréal",2,0,16,38,4,94,2,156,215
"Honoré-Mercier/Honoré-Mercier"," 53","Montréal",3,0,70,29,15,69,2,188,307
"Honoré-Mercier/Honoré-Mercier"," 54","Montréal",3,0,51,30,11,69,1,165,279
"Honoré-Mercier/Honoré-Mercier"," 55","Montréal",5,1,37,39,4,149,3,238,488
"Honoré-Mercier/Honoré-Mercier"," 56","Montréal",2,1,6,20,10,134,2,175,329
"Honoré-Mercier/Honoré-Mercier"," 57","Montréal",3,2,27,42,9,178,1,262,419
"Honoré-Mercier/Honoré-Mercier"," 58","Montréal",4,0,2,36,6,113,1,162,232
"Honoré-Mercier/Honoré-Mercier"," 59","Montréal",2,1,23,44,15,160,2,247,393
"Honoré-Mercier/Honoré-Mercier"," 60","Montréal",1,1,23,39,7,122,5,198,396
"Honoré-Mercier/Honoré-Mercier"," 61","Montréal",6,2,8,43,18,203,5,285,485
"Honoré-Mercier/Honoré-Mercier"," 62","Montréal",5,0,22,44,7,141,4,223,416
"Honoré-Mercier/Honoré-Mercier"," 63","Montréal",4,0,19,57,16,163,0,259,444
"Honoré-Mercier/Honoré-Mercier"," 64","Montréal",9,1,35,56,13,123,3,240,481
"Honoré-Mercier/Honoré-Mercier"," 65","Montréal",7,3,62,38,8,162,1,281,471
"Honoré-Mercier/Honoré-Mercier"," 66","Montréal",8,2,18,22,8,168,6,232,383
"Honoré-Mercier/Honoré-Mercier"," 67","Montréal",3,1,19,43,11,152,4,233,399
"Honoré-Mercier/Honoré-Mercier"," 68","Montréal",4,1,37,36,9,117,7,211,452
"Honoré-Mercier/Honoré-Mercier"," 69","Montréal",5,1,51,24,12,72,6,171,329
"Honoré-Mercier/Honoré-Mercier"," 70","Montréal",4,3,42,21,19,181,3,273,560
"Honoré-Mercier/Honoré-Mercier"," 71","Montréal",5,0,37,50,10,160,2,264,465
"Honoré-Mercier/Honoré-Mercier"," 72","Montréal",6,0,9,48,9,145,4,221,311
"Honoré-Mercier/Honoré-Mercier"," 73","Montréal",5,1,28,42,7,93,3,179,361
"Honoré-Mercier/Honoré-Mercier"," 74","Montréal",7,0,47,29,8,179,2,272,441
"Honoré-Mercier/Honoré-Mercier"," 75","Montréal",7,0,59,40,28,151,5,290,487
"Honoré-Mercier/Honoré-Mercier"," 76","Montréal",4,0,71,60,17,93,2,247,451
"Honoré-Mercier/Honoré-Mercier"," 77","Montréal",4,0,22,54,11,186,0,277,437
"Honoré-Mercier/Honoré-Mercier"," 78","Montréal",3,1,44,56,14,128,3,249,452
"Honoré-Mercier/Honoré-Mercier"," 79","Montréal",3,1,39,65,13,183,1,305,479
"Honoré-Mercier/Honoré-Mercier"," 80","Anjou",10,2,167,46,21,45,1,292,472
"Honoré-Mercier/Honoré-Mercier"," 81","Anjou",4,2,93,37,26,64,1,227,398
"Honoré-Mercier/Honoré-Mercier"," 82","Anjou",7,0,102,59,20,75,3,266,399
"Honoré-Mercier/Honoré-Mercier"," 83","Anjou",5,0,77,43,12,92,4,233,387
"Honoré-Mercier/Honoré-Mercier"," 84","Anjou",16,1,98,47,16,88,6,272,485
"Honoré-Mercier/Honoré-Mercier"," 85","Anjou",10,2,92,49,20,71,5,249,437
"Honoré-Mercier/Honoré-Mercier"," 86","Anjou",6,3,89,37,17,89,4,245,409
"Honoré-Mercier/Honoré-Mercier"," 87","Anjou",7,0,88,27,16,64,7,209,357
"Honoré-Mercier/Honoré-Mercier"," 88","Anjou",4,1,64,26,11,28,1,135,233
"Honoré-Mercier/Honoré-Mercier"," 89","Anjou",6,1,46,25,8,29,2,117,251
"Honoré-Mercier/Honoré-Mercier"," 90","Anjou",9,0,68,27,11,76,2,193,339
"Honoré-Mercier/Honoré-Mercier"," 91","Anjou",4,0,41,23,13,41,1,123,216
"Honoré-Mercier/Honoré-Mercier"," 92","Anjou",3,0,48,17,14,52,1,135,245
"Honoré-Mercier/Honoré-Mercier"," 93","Anjou",8,1,58,41,13,45,0,166,284
"Honoré-Mercier/Honoré-Mercier"," 94A","Anjou",10,0,82,61,24,62,5,244,391
"Honoré-Mercier/Honoré-Mercier"," 94B","Anjou",11,0,90,46,13,69,2,231,362
"Honoré-Mercier/Honoré-Mercier"," 95","Anjou",0,1,43,25,7,30,2,108,227
"Honoré-Mercier/Honoré-Mercier"," 96","Anjou",6,0,59,21,8,46,1,141,253
"Honoré-Mercier/Honoré-Mercier"," 97","Anjou",5,0,70,63,11,55,0,204,385
"Honoré-Mercier/Honoré-Mercier"," 98","Anjou",9,1,75,43,23,67,2,220,417
"Honoré-Mercier/Honoré-Mercier"," 99","Anjou",6,2,68,46,15,49,2,188,370
"Honoré-Mercier/Honoré-Mercier"," 100","Anjou",3,0,87,49,12,53,4,208,394
"Honoré-Mercier/Honoré-Mercier"," 101","Anjou",3,1,75,29,16,39,4,167,363
"Honoré-Mercier/Honoré-Mercier"," 102","Anjou",9,2,62,21,12,65,2,173,385
"Honoré-Mercier/Honoré-Mercier"," 103","Anjou",5,3,58,49,13,90,2,220,434
"Honoré-Mercier/Honoré-Mercier"," 104","Anjou",7,0,84,34,18,32,1,176,235
"Honoré-Mercier/Honoré-Mercier"," 105","Anjou",10,0,159,34,24,49,2,278,438
"Honoré-Mercier/Honoré-Mercier"," 106","Anjou",8,0,115,38,18,38,0,217,342
"Honoré-Mercier/Honoré-Mercier"," 107","Anjou",3,1,94,27,7,75,2,209,439
"Honoré-Mercier/Honoré-Mercier"," 108","Anjou",3,1,147,24,14,63,6,258,463
"Honoré-Mercier/Honoré-Mercier"," 109","Anjou",3,0,94,31,21,73,2,224,417
"Honoré-Mercier/Honoré-Mercier"," 110","Montréal",8,1,185,40,21,47,4,306,458
"Honoré-Mercier/Honoré-Mercier"," 111","Montréal",17,0,194,36,23,57,2,329,449
"Honoré-Mercier/Honoré-Mercier"," 112","Montréal",8,0,117,15,18,41,2,201,319
"Honoré-Mercier/Honoré-Mercier"," 113","Montréal",6,1,95,21,12,24,4,163,340
"Honoré-Mercier/Honoré-Mercier"," 114","Montréal",3,0,123,30,14,51,8,229,478
"Honoré-Mercier/Honoré-Mercier"," 115","Montréal",5,1,146,18,9,31,3,213,380
"Honoré-Mercier/Honoré-Mercier"," 116","Montréal",13,1,113,34,14,46,5,226,376
"Honoré-Mercier/Honoré-Mercier"," 117","Montréal",13,1,143,33,27,56,4,277,443
"Honoré-Mercier/Honoré-Mercier"," 118","Anjou",9,1,65,29,13,57,1,175,336
"Honoré-Mercier/Honoré-Mercier"," 119","Anjou",9,0,116,31,13,48,6,223,392
"Honoré-Mercier/Honoré-Mercier"," 120","Anjou",6,0,114,28,20,46,5,219,408
"Honoré-Mercier/Honoré-Mercier"," 121","Anjou",6,1,105,14,15,29,5,175,333
"Honoré-Mercier/Honoré-Mercier"," 122","Anjou",6,0,108,41,18,59,5,237,391
"Honoré-Mercier/Honoré-Mercier"," 123","Anjou",3,0,142,36,19,50,3,253,461
"Honoré-Mercier/Honoré-Mercier"," 124","Anjou",6,0,104,11,14,28,1,164,344
"Honoré-Mercier/Honoré-Mercier"," 125","Anjou",5,1,75,27,18,41,5,172,322
"Honoré-Mercier/Honoré-Mercier"," 126","Anjou",4,1,93,33,12,57,2,202,334
"Honoré-Mercier/Honoré-Mercier"," 127","Anjou",16,0,107,37,15,53,4,232,388
"Honoré-Mercier/Honoré-Mercier"," 128","Anjou",9,0,140,46,12,54,2,263,391
"Honoré-Mercier/Honoré-Mercier"," 129","Anjou",6,1,135,42,27,68,5,284,448
"Honoré-Mercier/Honoré-Mercier"," 130","Anjou",7,0,104,42,12,50,0,215,400
"Honoré-Mercier/Honoré-Mercier"," 131","Anjou",9,0,90,31,25,77,2,234,385
"Honoré-Mercier/Honoré-Mercier"," 132","Anjou",8,0,103,32,29,69,2,243,399
"Honoré-Mercier/Honoré-Mercier"," 133","Anjou",9,3,130,57,24,86,6,315,464
"Honoré-Mercier/Honoré-Mercier"," 134","Anjou",7,1,82,31,14,93,0,228,437
"Honoré-Mercier/Honoré-Mercier"," 135","Anjou",7,0,96,30,21,69,2,225,349
"Honoré-Mercier/Honoré-Mercier"," 136","Anjou",8,3,52,33,15,60,1,172,311
"Honoré-Mercier/Honoré-Mercier"," 137","Anjou",20,0,131,55,25,81,1,313,473
"Honoré-Mercier/Honoré-Mercier"," 138","Anjou",5,2,68,22,11,56,4,168,386
"Honoré-Mercier/Honoré-Mercier"," 139","Anjou",12,1,82,36,19,54,1,205,326
"Honoré-Mercier/Honoré-Mercier"," 140","Anjou",9,2,84,34,20,38,2,189,359
"Honoré-Mercier/Honoré-Mercier"," 141","Anjou",8,1,71,19,9,50,3,161,410
"Honoré-Mercier/Honoré-Mercier"," 142","Anjou",4,2,111,40,10,66,0,233,388
"Honoré-Mercier/Honoré-Mercier"," 143","Anjou",9,1,74,16,22,46,3,171,344
"Honoré-Mercier/Honoré-Mercier"," 144","Anjou",8,1,93,41,18,85,3,249,415
"Honoré-Mercier/Honoré-Mercier"," 145","Anjou",6,1,73,33,13,85,10,221,386
"Honoré-Mercier/Honoré-Mercier"," 146","Anjou",5,2,62,45,16,86,1,217,373
"Honoré-Mercier/Honoré-Mercier"," 147","Anjou",7,0,69,46,16,98,0,236,356
"Honoré-Mercier/Honoré-Mercier"," 148","Anjou",13,2,93,38,20,65,1,232,370
"Honoré-Mercier/Honoré-Mercier"," 149","Montréal",8,0,129,27,21,37,3,225,356
"Honoré-Mercier/Honoré-Mercier"," 150","Montréal",8,2,96,29,10,54,2,201,374
"Honoré-Mercier/Honoré-Mercier"," 151A","Montréal",5,0,51,14,3,33,6,112,292
"Honoré-Mercier/Honoré-Mercier"," 151B","Mobile poll/Bureau itinérant",Merged with No. 198B/Fusionné avec le nº 198B,,,,,,,,67
"Honoré-Mercier/Honoré-Mercier"," 152","Montréal",10,1,163,32,19,42,2,269,409
"Honoré-Mercier/Honoré-Mercier"," 153","Montréal",17,1,134,38,23,51,6,270,422
"Honoré-Mercier/Honoré-Mercier"," 154","Anjou",7,0,95,22,15,31,4,174,310
"Honoré-Mercier/Honoré-Mercier"," 155","Anjou",8,1,132,28,28,44,3,244,351
"Honoré-Mercier/Honoré-Mercier"," 156","Anjou",14,0,89,27,11,58,0,199,341
"Honoré-Mercier/Honoré-Mercier"," 157","Anjou",11,1,98,25,29,43,3,210,378
"Honoré-Mercier/Honoré-Mercier"," 158","Montréal",16,1,153,33,22,41,3,269,449
"Honoré-Mercier/Honoré-Mercier"," 159A","Montréal",8,1,72,16,16,40,4,157,290
"Honoré-Mercier/Honoré-Mercier"," 159B","Mobile poll/Bureau itinérant",Merged with No. 160B/Fusionné avec le nº 160B,,,,,,,,116
"Honoré-Mercier/Honoré-Mercier"," 160A","Montréal",11,0,101,30,10,27,0,179,330
"Honoré-Mercier/Honoré-Mercier"," 160B","Mobile poll/Bureau itinérant",5,3,29,14,7,35,2,95,137
"Honoré-Mercier/Honoré-Mercier"," 161","Montréal",6,0,69,40,14,39,1,169,291
"Honoré-Mercier/Honoré-Mercier"," 162","Montréal",15,1,185,56,22,54,4,337,556
"Honoré-Mercier/Honoré-Mercier"," 163","Montréal",8,1,106,41,9,30,0,195,324
"Honoré-Mercier/Honoré-Mercier"," 164","Anjou",7,0,121,55,16,81,3,283,545
"Honoré-Mercier/Honoré-Mercier"," 165","Anjou",3,1,68,39,7,48,3,169,314
"Honoré-Mercier/Honoré-Mercier"," 166","Anjou",3,0,82,37,13,31,2,168,340
"Honoré-Mercier/Honoré-Mercier"," 167","Anjou",8,0,97,38,10,70,5,228,408
"Honoré-Mercier/Honoré-Mercier"," 168A","Montréal",5,1,62,31,16,23,2,140,335
"Honoré-Mercier/Honoré-Mercier"," 168B","Montréal",3,2,49,29,9,27,1,120,296
"Honoré-Mercier/Honoré-Mercier"," 169","Montréal",9,0,88,38,12,51,2,200,419
"Honoré-Mercier/Honoré-Mercier"," 170","Anjou",4,1,99,43,11,51,2,211,375
"Honoré-Mercier/Honoré-Mercier"," 171","Anjou",5,0,95,45,16,75,3,239,402
"Honoré-Mercier/Honoré-Mercier"," 172","Anjou",6,1,63,39,13,59,2,183,311
"Honoré-Mercier/Honoré-Mercier"," 173","Anjou",7,1,111,28,17,81,13,258,518
"Honoré-Mercier/Honoré-Mercier"," 174","Anjou",5,1,69,35,14,65,4,193,326
"Honoré-Mercier/Honoré-Mercier"," 175","Anjou",0,0,68,61,6,59,1,195,390
"Honoré-Mercier/Honoré-Mercier"," 176","Anjou",3,0,33,25,4,22,0,87,207
"Honoré-Mercier/Honoré-Mercier"," 177A","Anjou",3,1,49,40,9,54,3,159,382
"Honoré-Mercier/Honoré-Mercier"," 177B","Anjou",5,1,62,49,6,58,1,182,370
"Honoré-Mercier/Honoré-Mercier"," 178A","Anjou",11,0,109,64,21,70,3,278,531
"Honoré-Mercier/Honoré-Mercier"," 178B","Anjou",3,1,87,61,7,90,4,253,516
"Honoré-Mercier/Honoré-Mercier"," 179","Anjou",9,1,82,50,7,53,1,203,381
"Honoré-Mercier/Honoré-Mercier"," 180","Anjou",13,0,98,50,28,49,2,240,404
"Honoré-Mercier/Honoré-Mercier"," 181","Anjou",7,1,108,41,27,77,4,265,402
"Honoré-Mercier/Honoré-Mercier"," 182","Montréal",9,2,113,30,21,34,1,210,464
"Honoré-Mercier/Honoré-Mercier"," 183","Montréal",0,0,58,48,13,98,1,218,398
"Honoré-Mercier/Honoré-Mercier"," 184","Montréal",9,2,46,39,15,64,0,175,354
"Honoré-Mercier/Honoré-Mercier"," 185","Montréal",11,0,62,37,10,65,1,186,372
"Honoré-Mercier/Honoré-Mercier"," 186","Montréal",0,0,41,21,8,72,1,143,280
"Honoré-Mercier/Honoré-Mercier"," 187","Montréal",7,0,30,45,6,97,0,185,347
"Honoré-Mercier/Honoré-Mercier"," 188","Montréal",6,0,35,30,6,142,3,222,391
"Honoré-Mercier/Honoré-Mercier"," 189","Montréal",4,2,91,26,9,77,6,215,410
"Honoré-Mercier/Honoré-Mercier"," 190","Montréal",5,0,11,11,3,54,0,84,129
"Honoré-Mercier/Honoré-Mercier"," 191","Montréal",13,1,144,44,25,62,4,293,520
"Honoré-Mercier/Honoré-Mercier"," 192","Montréal",9,0,121,40,26,48,2,246,417
"Honoré-Mercier/Honoré-Mercier"," 193","Montréal",11,1,115,55,15,71,3,271,411
"Honoré-Mercier/Honoré-Mercier"," 194","Montréal",8,0,113,35,15,58,1,230,360
"Honoré-Mercier/Honoré-Mercier"," 195","Montréal",10,0,102,20,13,55,6,206,341
"Honoré-Mercier/Honoré-Mercier"," 196","Montréal",10,0,91,57,27,51,4,240,362
"Honoré-Mercier/Honoré-Mercier"," 197","Montréal",11,4,82,33,19,56,2,207,351
"Honoré-Mercier/Honoré-Mercier"," 198A","Montréal",10,0,146,53,19,71,7,306,445
"Honoré-Mercier/Honoré-Mercier"," 198B","Mobile poll/Bureau itinérant",3,3,9,8,2,33,0,58,71
"Honoré-Mercier/Honoré-Mercier"," 199","Montréal",11,2,128,41,31,52,1,266,422
"Honoré-Mercier/Honoré-Mercier"," 200","Montréal",12,0,111,18,31,37,0,209,319
"Honoré-Mercier/Honoré-Mercier"," 400","Montréal",6,3,22,8,7,19,4,69,153
"Honoré-Mercier/Honoré-Mercier"," 600","Montréal",6,3,131,75,20,192,2,429,
"Honoré-Mercier/Honoré-Mercier"," 601","Montréal",8,4,86,123,28,352,12,613,
"Honoré-Mercier/Honoré-Mercier"," 602","Montréal",6,4,91,114,9,283,6,513,
"Honoré-Mercier/Honoré-Mercier"," 603","Montréal",15,9,350,110,29,131,4,648,
"Honoré-Mercier/Honoré-Mercier"," 604","Montréal",34,3,340,168,51,323,11,930,
"Honoré-Mercier/Honoré-Mercier"," 605","Montréal",16,2,227,170,29,365,6,815,
"Honoré-Mercier/Honoré-Mercier"," 606","Montréal",18,1,320,258,52,282,14,945,
"Honoré-Mercier/Honoré-Mercier"," 607","Montréal",9,0,154,73,22,142,4,404,
"Honoré-Mercier/Honoré-Mercier",,Group 1/Groupe 1,6,0,28,15,2,28,6,85,149
"Honoré-Mercier/Honoré-Mercier",,Group 2/Groupe 2,10,0,383,98,26,560,23,1100,
