Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eugene Conway,Shannon Hillier,Fabian Manning,Bill Morrow,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Avalon/Avalon"," 48","Green's Harbour",8,3,65,48,0,124,196
"Avalon/Avalon"," 49","Hopeall",9,3,46,38,0,96,181
"Avalon/Avalon"," 50","New Harbour",27,6,86,80,6,205,390
"Avalon/Avalon"," 51","New Harbour",26,2,63,71,2,164,291
"Avalon/Avalon"," 52","Old Shop",17,2,51,44,2,116,201
"Avalon/Avalon"," 53","Dildo",4,1,25,49,3,82,139
"Avalon/Avalon"," 54A","Dildo",26,3,47,83,5,164,296
"Avalon/Avalon"," 54B","Dildo",14,3,64,98,0,179,269
"Avalon/Avalon"," 55","South Dildo",10,1,36,43,2,92,163
"Avalon/Avalon"," 56A","Blaketown",6,2,44,41,0,93,175
"Avalon/Avalon"," 56B","Blaketown",22,0,69,50,2,143,248
"Avalon/Avalon"," 57","Whitbourne",10,0,48,40,6,104,183
"Avalon/Avalon"," 58","Whitbourne",16,0,73,66,3,158,334
"Avalon/Avalon"," 59","Whitbourne",21,1,63,73,0,158,249
"Avalon/Avalon"," 60","Markland",14,1,48,61,0,124,191
"Avalon/Avalon"," 61","Salmon Cove--Perry's Cove",19,2,81,96,0,198,355
"Avalon/Avalon"," 62","Victoria",3,1,55,83,3,145,266
"Avalon/Avalon"," 63A","Victoria",15,0,31,40,1,87,177
"Avalon/Avalon"," 63B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,31
"Avalon/Avalon"," 64A","Victoria",6,1,62,54,0,123,203
"Avalon/Avalon"," 64B","Victoria",7,2,65,71,0,145,242
"Avalon/Avalon"," 65","Freshwater",12,0,36,59,1,108,152
"Avalon/Avalon"," 66A","Victoria",10,0,37,63,0,110,224
"Avalon/Avalon"," 66B","Victoria",12,3,43,71,1,130,247
"Avalon/Avalon"," 67","Carbonear",23,1,102,94,2,222,401
"Avalon/Avalon"," 68","Carbonear",12,2,58,70,2,144,334
"Avalon/Avalon"," 69","Carbonear",11,4,62,89,0,166,371
"Avalon/Avalon"," 70","Carbonear",22,1,85,93,0,201,383
"Avalon/Avalon"," 71","Carbonear",14,1,71,85,1,172,316
"Avalon/Avalon"," 72","Carbonear",14,1,65,64,0,144,281
"Avalon/Avalon"," 73A","Carbonear",7,0,43,58,0,108,235
"Avalon/Avalon"," 73B","Carbonear",2,0,57,44,4,107,230
"Avalon/Avalon"," 74A","Carbonear",4,0,66,71,2,143,263
"Avalon/Avalon"," 74B","Carbonear",19,4,65,63,4,155,301
"Avalon/Avalon"," 75","Carbonear",16,1,72,56,3,148,311
"Avalon/Avalon"," 76","Carbonear",7,0,57,114,5,183,369
"Avalon/Avalon"," 77","Harbour Grace",10,2,71,97,10,190,396
"Avalon/Avalon"," 78","Harbour Grace",4,1,25,32,3,65,171
"Avalon/Avalon"," 79","Harbour Grace--Bristol's Hope",15,3,140,104,1,263,399
"Avalon/Avalon"," 80","Harbour Grace",7,0,46,54,0,107,230
"Avalon/Avalon"," 81","Harbour Grace",7,1,63,68,1,140,262
"Avalon/Avalon"," 82","Harbour Grace",11,0,45,43,1,100,220
"Avalon/Avalon"," 83A","Harbour Grace",7,2,39,30,0,78,235
"Avalon/Avalon"," 83B","Harbour Grace",11,0,23,55,0,89,188
"Avalon/Avalon"," 84","Harbour Grace South",5,0,46,104,0,155,233
"Avalon/Avalon"," 85","Bryant's Cove",4,0,42,106,4,156,235
"Avalon/Avalon"," 86","Riverhead--Harbour Grace",1,1,42,36,0,80,198
"Avalon/Avalon"," 87","Riverhead--Harbour Grace",4,0,53,48,4,109,282
"Avalon/Avalon"," 88","Tilton",13,1,79,111,1,205,375
"Avalon/Avalon"," 89","Spaniard's Bay",13,0,66,73,0,152,266
"Avalon/Avalon"," 90","Spaniard's Bay",6,0,79,64,2,151,313
"Avalon/Avalon"," 91","Spaniard's Bay",8,2,49,48,0,107,198
"Avalon/Avalon"," 92A","Spaniard's Bay",7,0,71,69,2,149,314
"Avalon/Avalon"," 92B","Spaniard's Bay",12,1,58,72,0,143,293
"Avalon/Avalon"," 93","Spaniard's Bay",12,2,69,66,0,149,278
"Avalon/Avalon"," 94A","Upper Island Cove",15,0,55,85,1,156,303
"Avalon/Avalon"," 94B","Upper Island Cove",14,1,63,83,0,161,317
"Avalon/Avalon"," 95","Bishop's Cove",5,0,55,68,1,129,178
"Avalon/Avalon"," 96","Upper Island Cove",8,0,52,78,1,139,258
"Avalon/Avalon"," 97","Upper Island Cove",2,0,22,14,0,38,74
"Avalon/Avalon"," 98","Upper Island Cove",7,1,49,59,1,117,239
"Avalon/Avalon"," 99","Upper Island Cove",6,0,43,84,0,133,261
"Avalon/Avalon"," 100","Bay Roberts",20,0,43,89,0,152,261
"Avalon/Avalon"," 101","Blow Me Down--Port de Grave",13,7,95,79,3,197,312
"Avalon/Avalon"," 102","Port de Grave",4,0,46,45,1,96,125
"Avalon/Avalon"," 103","Cupids",12,0,64,52,3,131,198
"Avalon/Avalon"," 104A","Brigus",6,1,44,46,0,97,206
"Avalon/Avalon"," 104B","Brigus",7,2,30,70,0,109,195
"Avalon/Avalon"," 105","Bay Roberts",7,1,68,104,4,184,299
"Avalon/Avalon"," 106","Bay Roberts",11,0,48,63,0,122,230
"Avalon/Avalon"," 107A","Bay Roberts",11,3,65,91,0,170,310
"Avalon/Avalon"," 107B","Bay Roberts",10,0,95,62,0,167,330
"Avalon/Avalon"," 108","Bay Roberts",16,0,67,122,1,206,395
"Avalon/Avalon"," 109","Bay Roberts",9,2,67,104,0,182,246
"Avalon/Avalon"," 110","Bay Roberts",4,1,57,119,0,181,279
"Avalon/Avalon"," 111A","Bay Roberts",9,1,36,73,0,119,232
"Avalon/Avalon"," 111B","Bay Roberts",11,1,28,94,0,134,240
"Avalon/Avalon"," 112","Bay Roberts",21,1,100,133,1,256,420
"Avalon/Avalon"," 113","Bay Roberts",15,5,56,78,1,155,284
"Avalon/Avalon"," 114","Bay Roberts",13,0,22,26,0,61,122
"Avalon/Avalon"," 115","Bareneed--The Dock--Black Duck",11,1,97,91,5,205,311
"Avalon/Avalon"," 116A","South River",14,2,73,40,0,129,272
"Avalon/Avalon"," 116B","South River",12,3,53,61,2,131,273
"Avalon/Avalon"," 117","Cupids",13,1,93,76,8,191,316
"Avalon/Avalon"," 118","Georgetown",8,0,85,68,0,161,319
"Avalon/Avalon"," 119","Brigus",2,0,18,21,1,42,97
"Avalon/Avalon"," 120A","Butlerville",4,0,21,108,0,133,269
"Avalon/Avalon"," 120B","Butlerville",5,0,31,116,1,153,266
"Avalon/Avalon"," 121","North River",3,1,27,50,2,83,128
"Avalon/Avalon"," 122A","North River--Otterbury--Birch Hill",12,1,45,59,2,119,191
"Avalon/Avalon"," 122B","North River--Otterbury--Birch Hill",8,0,40,57,2,107,205
"Avalon/Avalon"," 123A","Clarke's Beach",13,3,103,64,0,183,341
"Avalon/Avalon"," 123B","Clarke's Beach",23,4,76,80,5,188,361
"Avalon/Avalon"," 124A","Clarke's Beach",11,1,66,53,1,132,239
"Avalon/Avalon"," 124B","Clarke's Beach",8,1,59,47,4,119,247
"Avalon/Avalon"," 125A","Mackinsons",13,1,58,47,1,120,247
"Avalon/Avalon"," 125B","Mackinsons",12,1,34,37,1,85,186
"Avalon/Avalon"," 126","Marysvale",8,2,48,26,0,84,150
"Avalon/Avalon"," 127","Colliers",28,1,91,29,1,150,242
"Avalon/Avalon"," 128A","Marysvale",6,0,76,47,3,132,227
"Avalon/Avalon"," 128B","Marysvale",16,2,100,53,3,174,305
"Avalon/Avalon"," 129","Colliers",34,2,109,58,0,203,354
"Avalon/Avalon"," 130A","Conception Harbour",30,4,106,33,0,173,272
"Avalon/Avalon"," 130B","Conception Harbour",29,0,97,33,6,165,308
"Avalon/Avalon"," 131A","Avondale",24,0,92,32,7,155,272
"Avalon/Avalon"," 131B","Avondale",52,1,56,27,4,140,257
"Avalon/Avalon"," 132","Harbour Main--Chapel's Cove--Lakeview",29,1,118,32,3,183,285
"Avalon/Avalon"," 133","Avondale",10,0,64,18,1,93,156
"Avalon/Avalon"," 134A","Harbour Main--Chapel's Cove--Lakeview",24,1,100,27,8,160,259
"Avalon/Avalon"," 134B","Harbour Main--Chapel's Cove--Lakeview",21,2,71,37,2,133,212
"Avalon/Avalon"," 135A","Holyrood",29,2,107,48,6,192,331
"Avalon/Avalon"," 135B","Mobile poll/Bureau itinérant",Merged with No. 137B/Fusionné avec le nº 137B,,,,,,4
"Avalon/Avalon"," 135C","Mobile poll/Bureau itinérant",Merged with No. 147D/Fusionné avec le nº 147D,,,,,,5
"Avalon/Avalon"," 135D","Mobile poll/Bureau itinérant",Merged with No. 147D/Fusionné avec le nº 147D,,,,,,13
"Avalon/Avalon"," 136A","Holyrood",21,1,89,34,2,147,281
"Avalon/Avalon"," 136B","Holyrood",38,2,139,61,0,240,364
"Avalon/Avalon"," 136C","Mobile poll/Bureau itinérant",Merged with No. 137B/Fusionné avec le nº 137B,,,,,,3
"Avalon/Avalon"," 137A","Holyrood",23,1,115,52,3,194,375
"Avalon/Avalon"," 137B","Mobile poll/Bureau itinérant",6,0,22,28,1,57,20
"Avalon/Avalon"," 138A","Holyrood",13,1,85,40,4,143,225
"Avalon/Avalon"," 138B","Mobile poll/Bureau itinérant",Merged with No. 137B/Fusionné avec le nº 137B,,,,,,14
"Avalon/Avalon"," 138C","Mobile poll/Bureau itinérant",Merged with No. 137B/Fusionné avec le nº 137B,,,,,,6
"Avalon/Avalon"," 139A","Conception Bay South",20,2,70,31,1,124,219
"Avalon/Avalon"," 139B","Conception Bay South",17,2,73,34,1,127,234
"Avalon/Avalon"," 140A","Conception Bay South",19,2,122,39,1,183,375
"Avalon/Avalon"," 140B","Mobile poll/Bureau itinérant",Merged with No. 147D/Fusionné avec le nº 147D,,,,,,18
"Avalon/Avalon"," 141A","Conception Bay South",22,0,77,41,4,144,317
"Avalon/Avalon"," 141B","Conception Bay South",14,1,74,22,6,117,285
"Avalon/Avalon"," 142","Conception Bay South",9,0,28,12,0,49,108
"Avalon/Avalon"," 143","Conception Bay South",16,2,58,57,0,133,305
"Avalon/Avalon"," 144","Conception Bay South",26,0,89,53,3,171,408
"Avalon/Avalon"," 145","Conception Bay South",17,2,81,56,0,156,328
"Avalon/Avalon"," 146A","Conception Bay South",16,2,31,27,3,79,202
"Avalon/Avalon"," 146B","Conception Bay South",13,2,64,28,0,107,231
"Avalon/Avalon"," 147A","Conception Bay South",28,2,76,31,0,137,294
"Avalon/Avalon"," 147B","Conception Bay South",24,1,94,49,0,168,303
"Avalon/Avalon"," 147C","Conception Bay South",25,2,60,39,0,126,318
"Avalon/Avalon"," 147D","Mobile poll/Bureau itinérant",13,6,35,26,8,88,19
"Avalon/Avalon"," 147E","Mobile poll/Bureau itinérant",Merged with No. 147D/Fusionné avec le nº 147D,,,,,,14
"Avalon/Avalon"," 148","Conception Bay South",11,0,47,22,0,80,169
"Avalon/Avalon"," 149A","Conception Bay South",25,1,120,61,0,207,382
"Avalon/Avalon"," 149B","Mobile poll/Bureau itinérant",Merged with No. 137B/Fusionné avec le nº 137B,,,,,,18
"Avalon/Avalon"," 150A","Conception Bay South",21,2,90,53,0,166,336
"Avalon/Avalon"," 150B","Conception Bay South",35,0,100,33,3,171,352
"Avalon/Avalon"," 150C","Mobile poll/Bureau itinérant",Merged with No. 147D/Fusionné avec le nº 147D,,,,,,16
"Avalon/Avalon"," 150D","Mobile poll/Bureau itinérant",Merged with No. 147D/Fusionné avec le nº 147D,,,,,,16
"Avalon/Avalon"," 151A","Conception Bay South",33,2,74,39,1,149,263
"Avalon/Avalon"," 151B","Conception Bay South",18,2,67,36,1,124,241
"Avalon/Avalon"," 152A","Conception Bay South",22,3,76,48,0,149,319
"Avalon/Avalon"," 152B","Conception Bay South",27,1,91,41,0,160,341
"Avalon/Avalon"," 152C","Mobile poll/Bureau itinérant",Merged with No. 147D/Fusionné avec le nº 147D,,,,,,19
"Avalon/Avalon"," 153A","Conception Bay South",25,2,85,48,1,161,341
"Avalon/Avalon"," 153B","Mobile poll/Bureau itinérant",Merged with No. 137B/Fusionné avec le nº 137B,,,,,,11
"Avalon/Avalon"," 153C","Mobile poll/Bureau itinérant",9,1,5,19,3,37,24
"Avalon/Avalon"," 153D","Mobile poll/Bureau itinérant",Merged with No. 153C/Fusionné avec le nº 153C,,,,,,10
"Avalon/Avalon"," 153E","Mobile poll/Bureau itinérant",Merged with No. 153C/Fusionné avec le nº 153C,,,,,,10
"Avalon/Avalon"," 154A","Conception Bay South",25,0,76,33,0,134,255
"Avalon/Avalon"," 154B","Conception Bay South",19,1,83,31,0,134,271
"Avalon/Avalon"," 155A","Conception Bay South",24,1,70,62,1,158,298
"Avalon/Avalon"," 155B","Mobile poll/Bureau itinérant",Merged with No. 153C/Fusionné avec le nº 153C,,,,,,8
"Avalon/Avalon"," 156","Conception Bay South",22,1,110,54,4,191,384
"Avalon/Avalon"," 157A","Conception Bay South",15,2,66,28,1,112,213
"Avalon/Avalon"," 157B","Conception Bay South",10,0,59,31,0,100,211
"Avalon/Avalon"," 158","Conception Bay South",29,2,98,50,1,180,399
"Avalon/Avalon"," 159","Witless Bay",6,0,66,30,1,103,178
"Avalon/Avalon"," 160A","Bay Bulls",15,2,98,49,0,164,278
"Avalon/Avalon"," 160B","Bay Bulls",24,1,127,45,5,202,331
"Avalon/Avalon"," 160C","Mobile poll/Bureau itinérant",Merged with No. 163B/Fusionné avec le nº 163B,,,,,,18
"Avalon/Avalon"," 160D","Mobile poll/Bureau itinérant",Merged with No. 163B/Fusionné avec le nº 163B,,,,,,5
"Avalon/Avalon"," 161","Bay Bulls",24,0,92,39,0,155,266
"Avalon/Avalon"," 162A","Witless Bay",17,0,121,38,5,181,272
"Avalon/Avalon"," 162B","Witless Bay",13,1,103,28,2,147,256
"Avalon/Avalon"," 163A","Witless Bay",1,1,43,14,0,59,115
"Avalon/Avalon"," 163B","Mobile poll/Bureau itinérant",4,1,23,13,2,43,21
"Avalon/Avalon"," 164","Mobile",16,0,53,18,4,91,135
"Avalon/Avalon"," 165","Tors Cove",17,1,153,45,3,219,292
"Avalon/Avalon"," 166","Bauline East",19,3,124,28,0,174,244
"Avalon/Avalon"," 167","Ship Harbour",2,1,57,22,7,89,122
"Avalon/Avalon"," 168","Dunville",2,0,59,43,5,109,171
"Avalon/Avalon"," 169","Fox Harbour",5,0,90,37,4,136,235
"Avalon/Avalon"," 170A","Dunville",13,1,114,82,3,213,365
"Avalon/Avalon"," 170B","Mobile poll/Bureau itinérant",Merged with No. 178C/Fusionné avec le nº 178C,,,,,,11
"Avalon/Avalon"," 171A","Freshwater",7,2,75,34,0,118,189
"Avalon/Avalon"," 171B","Freshwater",4,0,73,41,2,120,215
"Avalon/Avalon"," 172","Freshwater",5,1,46,37,5,94,174
"Avalon/Avalon"," 173","Jerseyside",6,0,59,39,2,106,182
"Avalon/Avalon"," 174","Jerseyside",7,1,82,44,9,143,228
"Avalon/Avalon"," 175","Dunville",4,0,38,50,3,95,145
"Avalon/Avalon"," 176A","Dunville",7,0,61,37,4,109,204
"Avalon/Avalon"," 176B","Dunville",10,0,48,39,2,99,186
"Avalon/Avalon"," 177","Point Verde",5,1,77,32,1,116,164
"Avalon/Avalon"," 178A","Placentia",3,1,35,12,1,52,210
"Avalon/Avalon"," 178B","Placentia",8,1,85,35,0,129,237
"Avalon/Avalon"," 178C","Mobile poll/Bureau itinérant",4,0,18,32,7,61,70
"Avalon/Avalon"," 179","Placentia",10,0,88,40,2,140,222
"Avalon/Avalon"," 180","Placentia",6,0,79,25,1,111,188
"Avalon/Avalon"," 181","Southeast Placentia",11,1,199,67,1,279,388
"Avalon/Avalon"," 182","Colinet",10,1,102,28,0,141,199
"Avalon/Avalon"," 183","Brigus Junction",14,0,30,20,3,67,92
"Avalon/Avalon"," 184","St. Catherine's",8,1,31,4,0,44,141
"Avalon/Avalon"," 185A","Riverhead",7,1,110,39,0,157,305
"Avalon/Avalon"," 185B","Mobile poll/Bureau itinérant",Merged with No. 191B/Fusionné avec le nº 191B,,,,,,11
"Avalon/Avalon"," 186A","Mount Carmel",13,2,161,52,0,228,338
"Avalon/Avalon"," 186B","Mobile poll/Bureau itinérant",Merged with No. 191B/Fusionné avec le nº 191B,,,,,,3
"Avalon/Avalon"," 187","St. Joseph's",5,2,116,41,0,164,269
"Avalon/Avalon"," 188","North Harbour",2,0,42,23,0,67,92
"Avalon/Avalon"," 189","Admirals Beach",5,0,84,11,0,100,144
"Avalon/Avalon"," 190","Gaskiers",7,0,124,17,7,155,187
"Avalon/Avalon"," 191A","St. Marys",3,0,195,53,5,256,330
"Avalon/Avalon"," 191B","Mobile poll/Bureau itinérant",1,0,13,6,5,25,18
"Avalon/Avalon"," 192A","Cape Broyle",9,1,88,37,0,135,228
"Avalon/Avalon"," 192B","Cape Broyle",9,0,61,31,2,103,183
"Avalon/Avalon"," 193","Cape Broyle",24,0,77,30,6,137,226
"Avalon/Avalon"," 194","Calvert",29,0,91,30,8,158,253
"Avalon/Avalon"," 195","Ferryland",15,1,90,52,0,158,337
"Avalon/Avalon"," 196","Ferryland",4,0,42,36,0,82,115
"Avalon/Avalon"," 197","Aquaforte",4,1,35,12,0,52,86
"Avalon/Avalon"," 198A","Fermeuse--Port Kirwan",11,2,111,53,11,188,350
"Avalon/Avalon"," 198B","Mobile poll/Bureau itinérant",Merged with No. 163B/Fusionné avec le nº 163B,,,,,,17
"Avalon/Avalon"," 199","Renews",9,0,115,26,5,155,237
"Avalon/Avalon"," 200","Cappahayden",2,0,18,15,0,35,57
"Avalon/Avalon"," 201","Patrick's Cove",7,0,31,15,4,57,105
"Avalon/Avalon"," 202","Branch",8,0,139,28,5,180,262
"Avalon/Avalon"," 203","St. Brides",8,0,176,36,17,237,387
"Avalon/Avalon"," 204","Point Lance",3,0,69,6,0,78,96
"Avalon/Avalon"," 205","St. Vincent's-St. Stephen's-Peter's River",2,2,152,49,14,219,338
"Avalon/Avalon"," 206","St. Shotts",5,0,47,16,0,68,103
"Avalon/Avalon"," 207A","Trepassey",1,0,41,6,4,52,65
"Avalon/Avalon"," 207B","Mobile poll/Bureau itinérant",Merged with No. 191B/Fusionné avec le nº 191B,,,,,,1
"Avalon/Avalon"," 208","Trepassey",Merged with No. 207A/Fusionné avec le nº 207A,,,,,,63
"Avalon/Avalon"," 209A","Trepassey",7,1,92,31,6,137,278
"Avalon/Avalon"," 209B","Trepassey",9,2,83,36,4,134,305
"Avalon/Avalon"," 210","Portugal Cove South",6,1,75,18,3,103,181
"Avalon/Avalon"," 500","Mobile poll/Bureau itinérant",3,1,10,29,7,50,85
"Avalon/Avalon"," 501","Mobile poll/Bureau itinérant",2,1,16,50,5,74,190
"Avalon/Avalon"," 502","Mobile poll/Bureau itinérant",3,2,6,15,6,32,36
"Avalon/Avalon"," 503","Mobile poll/Bureau itinérant",3,0,21,50,0,74,126
"Avalon/Avalon"," 600","Old Perlican",3,0,37,19,0,59,
"Avalon/Avalon"," 601","Arnold's Cove",0,1,20,25,0,46,
"Avalon/Avalon"," 602","Dildo",7,2,38,29,2,78,
"Avalon/Avalon"," 603","Carbonear",14,3,164,133,10,324,
"Avalon/Avalon"," 604","Harbour Grace",3,0,81,93,0,177,
"Avalon/Avalon"," 605","Spaniard's Bay",5,1,78,62,2,148,
"Avalon/Avalon"," 606","Clarke's Beach",21,1,95,113,0,230,
"Avalon/Avalon"," 607","Avondale",17,1,103,34,2,157,
"Avalon/Avalon"," 608","Upper Gullies",24,0,193,51,0,268,
"Avalon/Avalon"," 609","Witless Bay",4,0,38,16,1,59,
"Avalon/Avalon"," 610","Placentia",6,0,129,46,9,190,
"Avalon/Avalon"," 611","St. Joseph's",1,0,35,10,0,46,
"Avalon/Avalon"," 612","Ferryland",2,0,31,16,0,49,
"Avalon/Avalon"," 613","St. Bride's",2,0,101,3,2,108,
"Avalon/Avalon"," 614","Trepassey",0,0,35,12,0,47,
"Avalon/Avalon",,Group 1/Groupe 1,9,5,89,66,2,171,532
"Avalon/Avalon",,Group 2/Groupe 2,38,3,306,245,18,610,
