Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Josée Carbonneau,Charles Lavergne,Marc Lemay,Christine Moore,Patrick Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 45","Sainte-Germaine-Boulé",52,27,105,20,9,1,214,346
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 46","Sainte-Germaine-Boulé",61,30,116,16,6,9,238,334
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 47","Poularies",21,18,41,9,6,3,98,199
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 48","Poularies",50,26,81,15,8,3,183,355
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 49","Laferté",28,21,107,11,5,2,174,405
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 50","Rapide-Danseur",19,9,68,19,5,4,124,196
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 51","Destor",41,14,84,15,2,0,156,276
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 52","Duparquet",42,45,85,18,7,1,198,352
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 53","Duparquet",22,17,37,2,1,5,84,184
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 54","D'Alembert",37,17,133,13,2,0,202,378
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 55","D'Alembert",32,14,76,8,2,4,136,291
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 56","Saint-Joseph-de-Cléricy",38,14,112,13,6,0,183,348
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 57","Saint-Norbert-de-Mont-Brun",60,42,83,10,3,1,199,360
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 58","Guyenne",17,7,34,3,1,0,62,118
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 59","Berry",12,3,30,5,2,1,53,119
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 60","Saint-Nazaire-de-Berry",27,20,85,4,4,1,141,273
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 61","Saint-Dominique-du-Rosaire",35,23,86,12,4,4,164,335
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 62","Saint-Félix-de-Dalquier",37,4,110,15,4,4,174,329
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 63","Saint-Félix-de-Dalquier",39,21,114,11,0,0,185,369
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 64","Launay",35,13,59,4,2,1,114,185
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 65","Villemontel",39,19,122,6,1,5,192,364
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 66","La Ferme",69,30,144,19,2,10,274,458
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 67A","Manneville",42,13,103,9,2,4,173,269
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 67B","Manneville",28,3,122,15,7,1,176,269
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 68A","Preissac",38,18,93,14,8,0,171,276
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 68B","Preissac",27,13,79,10,3,2,134,270
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 69A","Saint-Mathieu",34,11,99,8,3,3,158,263
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 69B","Saint-Mathieu",32,11,94,18,3,4,162,270
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 70","Saint-Marc-de-Figuery",41,17,151,24,10,6,249,446
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 71","La Motte",46,15,91,11,5,3,171,284
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 72","Landrienne",51,10,188,17,7,2,275,482
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 73","Landrienne",21,8,88,16,7,0,140,224
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 74A","La Corne",23,11,89,12,5,2,142,243
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 74B","La Corne",36,10,84,10,11,0,151,249
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 75A","Amos",36,10,82,16,2,2,148,365
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 75B","Amos",34,11,80,13,10,6,154,341
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 76","Amos",35,11,96,6,7,1,156,320
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 77","Pikogan",7,65,18,6,5,0,101,266
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 78","Amos",46,21,120,9,1,1,198,427
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 79A","Amos",29,8,69,3,1,1,111,248
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 79B","Amos",41,7,84,7,3,1,143,295
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 80","Amos",49,12,114,14,7,1,197,457
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 81","Amos",48,13,111,23,6,7,208,398
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 82","Amos",37,12,80,14,6,0,149,243
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 83","Amos",49,14,132,13,4,2,214,398
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 84","Amos",47,30,74,16,6,1,174,359
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 85","Amos",34,7,101,25,4,5,176,310
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 86","Amos",31,12,87,9,4,0,143,295
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 87","Amos",32,8,120,10,7,1,178,347
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 88","Amos",39,11,119,12,5,3,189,384
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 89","Amos",33,20,91,4,0,0,148,340
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 90","Amos",33,8,78,10,2,1,132,286
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 91","Amos",34,19,58,8,2,1,122,284
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 92","Amos",35,10,66,8,2,1,122,299
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 93","Amos",34,26,69,8,3,1,141,391
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 94","Amos",38,20,107,20,5,3,193,395
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 95","Amos",29,13,57,9,2,2,112,283
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 96","Amos",49,22,86,4,1,2,164,329
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 97","Amos",42,23,104,16,6,5,196,391
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 98","Amos",34,18,62,7,9,0,130,330
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 99","Amos",52,17,147,25,3,1,245,492
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 100","Amos",48,14,103,6,6,2,179,336
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 101","Amos",51,21,112,7,6,4,201,429
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 102","Rochebaucourt",10,2,47,0,4,0,63,135
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 103","La Morandière",28,18,63,6,3,3,121,204
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 104","Rochebaucourt",Void/Supprimé,,,,,,,
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 105","Champneuf",19,5,41,1,1,1,68,104
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 106","Barville",50,17,115,12,1,3,198,343
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 107","Barraute",69,35,87,8,4,5,208,387
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 108","Barraute",66,23,94,13,4,2,202,351
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 109","Barraute",53,14,130,11,8,5,221,431
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 110","Arntfield",49,32,123,20,7,2,233,382
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 111","Évain",46,15,137,30,7,1,236,403
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 112","Évain",42,11,144,17,6,2,222,361
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 113","Évain",45,16,112,18,11,1,203,369
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 114","Évain",43,14,128,31,2,3,221,435
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 115","Évain",50,19,157,17,2,4,249,385
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 116","Évain",33,15,89,12,10,3,162,300
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 117","Évain",39,16,100,10,4,3,172,306
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 118A","Montbeillard",42,24,88,14,3,3,174,312
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 118B","Montbeillard",30,12,89,17,4,3,155,298
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 119","Rouyn-Noranda (Beaudry)",36,15,125,18,3,3,200,334
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 120","Rouyn-Noranda (Beaudry)",48,24,207,18,12,7,316,524
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 121","Rouyn-Noranda (Cloutier)",39,16,83,8,5,4,155,226
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 122","Rouyn-Noranda (Rollet)",51,21,72,26,7,0,177,288
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 123","Rémigny",49,26,54,12,4,1,146,273
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 124","Rouyn-Noranda (Lac-Dufault)",35,8,99,15,3,3,163,365
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 125","Rouyn-Noranda (Lac-Dufault)",43,22,129,17,11,1,223,438
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 126","Rouyn-Noranda",45,17,101,17,4,0,184,380
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 127","Rouyn-Noranda",26,12,103,19,4,1,165,358
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 128","Rouyn-Noranda",33,12,101,18,1,8,173,324
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 129","Rouyn-Noranda",42,32,142,18,5,2,241,425
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 130","Rouyn-Noranda",31,19,99,20,7,2,178,342
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 131","Rouyn-Noranda",35,41,121,35,7,0,239,370
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 132","Rouyn-Noranda",36,24,99,26,9,1,195,313
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 133","Rouyn-Noranda",53,24,109,32,12,5,235,429
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 134","Rouyn-Noranda",45,35,113,34,16,6,249,438
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 135","Rouyn-Noranda",31,29,102,18,4,5,189,328
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 136","Rouyn-Noranda",37,35,88,4,6,1,171,320
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 137","Rouyn-Noranda",27,32,75,19,4,3,160,319
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 138","Rouyn-Noranda",26,26,87,13,2,1,155,346
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 139","Rouyn-Noranda",28,34,102,19,8,8,199,352
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 140","Rouyn-Noranda",29,38,52,12,4,2,137,315
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 141","Rouyn-Noranda",31,15,90,9,9,1,155,385
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 142","Rouyn-Noranda",22,23,110,31,13,2,201,394
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 143","Rouyn-Noranda",36,48,114,24,11,0,233,402
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 144","Rouyn-Noranda",40,27,81,19,6,1,174,329
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 145","Rouyn-Noranda",48,49,98,9,4,0,208,381
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 146","Rouyn-Noranda",40,41,46,7,5,2,141,357
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 147","Rouyn-Noranda",23,11,52,4,3,0,93,299
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 148","Rouyn-Noranda",20,16,90,19,0,0,145,349
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 149","Rouyn-Noranda",47,26,97,12,1,4,187,368
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 150","Rouyn-Noranda",37,21,83,12,7,1,161,379
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 151","Rouyn-Noranda",33,24,92,17,10,3,179,358
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 152","Rouyn-Noranda",40,28,93,19,8,2,190,369
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 153","Rouyn-Noranda",22,12,65,4,6,3,112,331
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 154","Rouyn-Noranda",28,18,90,14,4,1,155,377
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 155","Rouyn-Noranda",42,23,74,17,2,2,160,372
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 156","Rouyn-Noranda",45,21,112,16,10,5,209,383
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 157","Rouyn-Noranda",60,30,124,17,12,3,246,484
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 158","Rouyn-Noranda",29,13,83,13,7,0,145,334
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 159","Rouyn-Noranda",36,27,73,10,5,3,154,341
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 160","Rouyn-Noranda",41,15,91,18,3,1,169,350
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 161A","Rouyn-Noranda",39,23,109,17,6,3,197,367
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 161B","Mobile poll/Bureau itinérant",Merged with No. 39B/Fusionné avec le nº 39B,,,,,,,60
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 162","Rouyn-Noranda (Granada)",49,19,156,19,8,2,253,517
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 163","Rouyn-Noranda",47,32,102,21,9,7,218,341
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 164","Rouyn-Noranda (Granada)",33,4,111,12,3,3,166,299
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 165","Rouyn-Noranda (Granada)",40,10,88,9,5,2,154,260
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 166","Rouyn-Noranda (Granada)",Merged with No. 165/Fusionné avec le nº 165,,,,,,,67
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 167A","Rouyn-Noranda (Granada)",28,12,117,12,6,3,178,335
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 167B","Rouyn-Noranda (Granada)",40,18,111,13,4,2,188,340
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 168","Rouyn-Noranda (Granada)",57,18,147,25,10,4,261,497
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 169","Rouyn-Noranda",57,73,113,25,8,3,279,477
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 170","Rouyn-Noranda",34,16,91,15,7,1,164,341
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 171","Rouyn-Noranda",41,28,136,16,16,3,240,388
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 172","Rouyn-Noranda",20,16,73,14,4,3,130,324
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 173","Rouyn-Noranda",32,19,82,10,8,1,152,326
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 174","Rouyn-Noranda",49,19,110,10,8,3,199,336
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 175","Rouyn-Noranda",36,15,111,14,9,5,190,350
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 176","Rouyn-Noranda",49,24,91,10,8,5,187,368
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 177","Rouyn-Noranda",20,12,68,14,4,0,118,286
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 178","Rouyn-Noranda",55,30,141,24,6,1,257,480
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 179","Rouyn-Noranda",24,13,76,14,4,4,135,286
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 180","Rouyn-Noranda",39,26,92,31,3,1,192,350
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 181","Rouyn-Noranda",37,23,122,26,10,0,218,438
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 182","Rouyn-Noranda",35,26,108,28,6,4,207,418
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 183A","McWatters",38,8,84,14,3,1,148,264
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 183B","McWatters",27,9,81,12,4,2,135,274
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 184","McWatters",54,14,121,9,5,2,205,419
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 185","McWatters",47,14,148,31,5,2,247,440
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 186","Cadillac",52,24,61,14,6,0,157,295
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 187","Cadillac",47,22,69,6,2,1,147,269
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 188","Bellecombe",23,13,79,11,3,3,132,232
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 189","Bellecombe",46,16,101,20,8,0,191,342
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 190","Nédelec",53,39,61,21,0,0,174,320
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 191","Guérin",42,12,35,10,2,1,102,212
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 192","Notre-Dame-du-Nord",56,42,79,23,8,3,211,421
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 193","Notre-Dame-du-Nord",19,73,15,34,4,1,146,347
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 194","Notre-Dame-du-Nord",41,26,52,19,4,2,144,294
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 195","Notre-Dame-du-Nord",39,17,56,8,1,2,123,254
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 196","Saint-Eugène-de-Guigues",63,28,111,13,8,4,227,355
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 197","Angliers",38,36,59,23,3,3,162,251
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 198","Moffet",27,15,44,9,2,0,97,191
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 199","Laforce",22,10,31,7,1,1,72,139
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 200","Winneway",4,19,2,9,8,0,42,115
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 201","Laverlochère",16,9,82,10,4,0,121,189
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 202","Laverlochère",38,20,118,22,7,2,207,346
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 203","Fugèreville",48,16,76,5,2,2,149,260
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 204","Latulipe",41,14,57,12,2,4,130,240
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 205","Belleterre",31,19,57,9,1,0,117,253
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 206","Saint-Bruno-de-Guigues",57,31,130,8,5,2,233,355
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 207","Saint-Bruno-de-Guigues",69,36,133,28,6,0,272,451
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 208","Duhamel-Ouest",36,17,83,6,1,3,146,264
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 209","Duhamel-Ouest",60,24,99,25,8,6,222,380
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 210","Lorrainville",33,9,102,16,4,3,167,277
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 211","Lorrainville",40,18,102,16,9,1,186,314
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 212","Lorrainville",51,25,137,25,6,3,247,446
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 213","Ville-Marie",26,9,77,14,3,2,131,241
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 214A","Ville-Marie",30,12,76,9,4,4,135,266
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 214B","Ville-Marie",26,11,76,7,1,2,123,258
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 215","Ville-Marie",46,17,78,20,6,2,169,310
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 216","Ville-Marie",21,15,67,17,4,1,125,263
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 217","Ville-Marie",55,8,77,11,4,2,157,325
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 218","Ville-Marie",59,9,91,10,2,1,172,347
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 219","Saint-Placide-de-Béarn",30,23,59,12,7,5,136,257
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 220","Saint-Placide-de-Béarn",32,33,96,25,5,2,193,378
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 221","Saint-Édouard-de-Fabre",87,28,124,33,1,2,275,509
"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 222","Témiscaming",69,41,94,20,3,2,229,488
