Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sunny Athwal,Nancy Clegg,Harjit Daudharia,Sukh Dhaliwal,Phil Eidsvik,Rob Girn,Mike Saifie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Newton--North Delta/Newton--Delta-Nord"," 42","Delta",5,116,3,78,106,0,0,1,309,452
"Newton--North Delta/Newton--Delta-Nord"," 43","Delta",4,101,0,75,107,3,0,1,291,469
"Newton--North Delta/Newton--Delta-Nord"," 44","Delta",4,140,1,73,99,0,1,1,319,496
"Newton--North Delta/Newton--Delta-Nord"," 45","Delta",3,77,1,77,62,1,2,0,223,372
"Newton--North Delta/Newton--Delta-Nord"," 46","Delta",2,96,0,89,71,2,1,0,261,489
"Newton--North Delta/Newton--Delta-Nord"," 47","Delta",13,87,1,52,97,1,2,0,253,415
"Newton--North Delta/Newton--Delta-Nord"," 48","Delta",5,72,0,47,88,1,0,1,214,304
"Newton--North Delta/Newton--Delta-Nord"," 49","Delta",4,53,2,49,120,1,0,0,229,350
"Newton--North Delta/Newton--Delta-Nord"," 50","Delta",10,83,1,57,106,1,0,1,259,400
"Newton--North Delta/Newton--Delta-Nord"," 51","Delta",2,76,2,59,79,3,1,0,222,329
"Newton--North Delta/Newton--Delta-Nord"," 52","Delta",10,71,0,49,62,3,3,0,198,361
"Newton--North Delta/Newton--Delta-Nord"," 53","Delta",12,122,2,92,84,0,0,1,313,518
"Newton--North Delta/Newton--Delta-Nord"," 54","Delta",5,83,1,88,102,2,1,3,285,510
"Newton--North Delta/Newton--Delta-Nord"," 55","Delta",4,66,0,74,34,1,0,0,179,416
"Newton--North Delta/Newton--Delta-Nord"," 56","Delta",4,85,1,67,54,0,0,1,212,393
"Newton--North Delta/Newton--Delta-Nord"," 57","Delta",2,59,0,89,63,1,0,1,215,404
"Newton--North Delta/Newton--Delta-Nord"," 58","Delta",6,70,3,83,36,1,1,1,201,327
"Newton--North Delta/Newton--Delta-Nord"," 59","Delta",6,65,1,57,60,7,0,1,197,364
"Newton--North Delta/Newton--Delta-Nord"," 60","Delta",2,88,0,81,80,1,0,0,252,393
"Newton--North Delta/Newton--Delta-Nord"," 61","Delta",3,67,0,49,51,1,2,2,175,302
"Newton--North Delta/Newton--Delta-Nord"," 62","Delta",5,89,3,76,69,3,0,1,246,456
"Newton--North Delta/Newton--Delta-Nord"," 63","Delta",5,80,0,81,101,3,1,0,271,435
"Newton--North Delta/Newton--Delta-Nord"," 64","Delta",4,70,0,49,72,1,0,0,196,284
"Newton--North Delta/Newton--Delta-Nord"," 65","Delta",5,83,0,60,76,1,3,1,229,404
"Newton--North Delta/Newton--Delta-Nord"," 66","Delta",1,69,0,52,44,1,0,0,167,333
"Newton--North Delta/Newton--Delta-Nord"," 67A","Delta",6,40,0,36,27,0,1,0,110,254
"Newton--North Delta/Newton--Delta-Nord"," 67B","Delta",0,32,0,33,32,0,0,2,99,242
"Newton--North Delta/Newton--Delta-Nord"," 68","Delta",4,69,2,53,70,0,1,3,202,463
"Newton--North Delta/Newton--Delta-Nord"," 69","Delta",6,46,2,68,94,0,0,0,216,421
"Newton--North Delta/Newton--Delta-Nord"," 70","Delta",7,52,0,62,111,0,2,1,235,379
"Newton--North Delta/Newton--Delta-Nord"," 71","Delta",3,48,1,75,127,2,0,1,257,436
"Newton--North Delta/Newton--Delta-Nord"," 72","Delta",11,50,0,68,145,1,4,0,279,416
"Newton--North Delta/Newton--Delta-Nord"," 73","Delta",7,52,0,65,77,1,0,0,202,305
"Newton--North Delta/Newton--Delta-Nord"," 74","Delta",10,73,2,51,97,3,1,0,237,343
"Newton--North Delta/Newton--Delta-Nord"," 75","Delta",3,68,0,66,91,2,1,1,232,320
"Newton--North Delta/Newton--Delta-Nord"," 76","Delta",4,50,1,67,105,1,0,0,228,334
"Newton--North Delta/Newton--Delta-Nord"," 77","Delta",11,40,0,84,112,1,1,0,249,435
"Newton--North Delta/Newton--Delta-Nord"," 78","Delta",6,44,0,67,113,1,0,0,231,398
"Newton--North Delta/Newton--Delta-Nord"," 79","Delta",2,56,0,79,68,3,0,0,208,355
"Newton--North Delta/Newton--Delta-Nord"," 80","Delta",5,76,1,71,88,4,1,0,246,386
"Newton--North Delta/Newton--Delta-Nord"," 81","Delta",2,63,0,88,124,1,0,1,279,434
"Newton--North Delta/Newton--Delta-Nord"," 82","Delta",4,44,0,58,103,2,0,0,211,341
"Newton--North Delta/Newton--Delta-Nord"," 83","Delta",9,48,1,94,129,1,0,0,282,496
"Newton--North Delta/Newton--Delta-Nord"," 84","Delta",7,72,0,80,130,0,1,0,290,411
"Newton--North Delta/Newton--Delta-Nord"," 85","Delta",9,63,0,59,70,2,0,1,204,304
"Newton--North Delta/Newton--Delta-Nord"," 86","Surrey",2,99,0,84,43,0,1,0,229,454
"Newton--North Delta/Newton--Delta-Nord"," 87A","Surrey",2,50,0,55,49,0,0,2,158,298
"Newton--North Delta/Newton--Delta-Nord"," 87B","Surrey",1,69,0,42,39,0,0,0,151,292
"Newton--North Delta/Newton--Delta-Nord"," 88A","Surrey",5,68,0,53,50,2,0,1,179,327
"Newton--North Delta/Newton--Delta-Nord"," 88B","Surrey",1,54,0,38,60,3,1,1,158,338
"Newton--North Delta/Newton--Delta-Nord"," 89","Surrey",7,48,1,50,76,4,2,0,188,318
"Newton--North Delta/Newton--Delta-Nord"," 90A","Surrey",1,50,0,70,12,0,0,2,135,292
"Newton--North Delta/Newton--Delta-Nord"," 90B","Surrey",0,58,0,67,19,0,0,0,144,293
"Newton--North Delta/Newton--Delta-Nord"," 91","Surrey",1,38,0,55,21,0,0,1,116,253
"Newton--North Delta/Newton--Delta-Nord"," 92A","Surrey",9,59,0,42,48,1,1,0,160,335
"Newton--North Delta/Newton--Delta-Nord"," 92B","Surrey",3,71,0,43,61,1,0,0,179,331
"Newton--North Delta/Newton--Delta-Nord"," 93","Surrey",3,32,0,29,36,1,1,0,102,182
"Newton--North Delta/Newton--Delta-Nord"," 94","Surrey",2,51,0,69,24,1,1,0,148,370
"Newton--North Delta/Newton--Delta-Nord"," 95","Surrey",2,50,0,61,13,0,0,1,127,221
"Newton--North Delta/Newton--Delta-Nord"," 96A","Surrey",2,48,0,65,32,0,0,1,148,265
"Newton--North Delta/Newton--Delta-Nord"," 96B","Surrey",2,52,0,62,25,1,0,1,143,283
"Newton--North Delta/Newton--Delta-Nord"," 97","Surrey",4,64,1,50,54,1,0,0,174,372
"Newton--North Delta/Newton--Delta-Nord"," 98","Surrey",0,36,1,66,20,1,0,0,124,272
"Newton--North Delta/Newton--Delta-Nord"," 99A","Surrey",5,56,1,67,5,0,0,2,136,291
"Newton--North Delta/Newton--Delta-Nord"," 99B","Surrey",1,45,0,79,8,1,0,2,136,291
"Newton--North Delta/Newton--Delta-Nord"," 100","Surrey",4,91,2,102,60,2,1,2,264,502
"Newton--North Delta/Newton--Delta-Nord"," 101","Surrey",2,66,2,88,62,1,1,0,222,467
"Newton--North Delta/Newton--Delta-Nord"," 102","Surrey",1,56,2,108,38,0,1,1,207,447
"Newton--North Delta/Newton--Delta-Nord"," 103","Surrey",2,87,0,124,11,0,0,0,224,515
"Newton--North Delta/Newton--Delta-Nord"," 104A","Surrey",0,39,1,68,36,0,0,0,144,335
"Newton--North Delta/Newton--Delta-Nord"," 104B","Surrey",4,52,0,67,39,1,0,0,163,344
"Newton--North Delta/Newton--Delta-Nord"," 105","Surrey",5,57,0,114,17,2,0,4,199,380
"Newton--North Delta/Newton--Delta-Nord"," 106","Surrey",1,50,1,49,17,3,0,1,122,301
"Newton--North Delta/Newton--Delta-Nord"," 107","Surrey",0,47,0,116,16,0,0,0,179,480
"Newton--North Delta/Newton--Delta-Nord"," 108","Surrey",3,87,0,88,24,2,0,5,209,510
"Newton--North Delta/Newton--Delta-Nord"," 109A","Surrey",2,58,1,51,36,1,2,3,154,295
"Newton--North Delta/Newton--Delta-Nord"," 109B","Surrey",6,50,1,59,54,1,0,0,171,288
"Newton--North Delta/Newton--Delta-Nord"," 110","Surrey",1,88,0,89,114,1,3,0,296,523
"Newton--North Delta/Newton--Delta-Nord"," 111","Surrey",8,95,1,68,96,1,1,2,272,487
"Newton--North Delta/Newton--Delta-Nord"," 112","Surrey",6,85,0,133,21,2,0,1,248,465
"Newton--North Delta/Newton--Delta-Nord"," 113","Surrey",3,83,0,133,19,1,1,4,244,524
"Newton--North Delta/Newton--Delta-Nord"," 114","Surrey",3,65,1,150,21,1,0,0,241,508
"Newton--North Delta/Newton--Delta-Nord"," 115A","Surrey",0,31,1,104,13,2,0,1,152,341
"Newton--North Delta/Newton--Delta-Nord"," 115B","Surrey",0,59,0,93,14,3,0,0,169,378
"Newton--North Delta/Newton--Delta-Nord"," 115C","Surrey",2,43,2,74,5,0,0,0,126,339
"Newton--North Delta/Newton--Delta-Nord"," 116A","Surrey",1,69,0,39,39,0,0,0,148,275
"Newton--North Delta/Newton--Delta-Nord"," 116B","Surrey",4,54,1,46,38,0,0,1,144,261
"Newton--North Delta/Newton--Delta-Nord"," 117","Surrey",2,66,2,93,33,1,2,1,200,445
"Newton--North Delta/Newton--Delta-Nord"," 118","Surrey",1,45,1,72,33,2,0,1,155,329
"Newton--North Delta/Newton--Delta-Nord"," 119","Surrey",3,53,0,42,68,6,0,1,173,289
"Newton--North Delta/Newton--Delta-Nord"," 120","Surrey",11,74,0,41,63,2,0,2,193,349
"Newton--North Delta/Newton--Delta-Nord"," 121","Surrey",5,41,0,27,43,0,1,2,119,241
"Newton--North Delta/Newton--Delta-Nord"," 122A","Surrey",9,54,0,37,38,2,0,1,141,293
"Newton--North Delta/Newton--Delta-Nord"," 122B","Surrey",5,49,0,24,27,3,0,1,109,287
"Newton--North Delta/Newton--Delta-Nord"," 123","Surrey",3,68,0,71,55,2,2,1,202,516
"Newton--North Delta/Newton--Delta-Nord"," 124","Surrey",3,73,2,71,66,1,1,1,218,471
"Newton--North Delta/Newton--Delta-Nord"," 125","Surrey",2,71,0,111,37,1,0,2,224,531
"Newton--North Delta/Newton--Delta-Nord"," 126A","Surrey",3,78,1,123,15,3,1,1,225,529
"Newton--North Delta/Newton--Delta-Nord"," 126B","Surrey",3,69,1,120,20,1,1,0,215,518
"Newton--North Delta/Newton--Delta-Nord"," 127","Surrey",1,73,0,128,20,0,0,3,225,497
"Newton--North Delta/Newton--Delta-Nord"," 128A","Surrey",2,68,0,80,43,0,0,0,193,368
"Newton--North Delta/Newton--Delta-Nord"," 128B","Surrey",5,56,0,84,57,2,0,0,204,402
"Newton--North Delta/Newton--Delta-Nord"," 129","Surrey",4,80,0,112,69,1,0,2,268,464
"Newton--North Delta/Newton--Delta-Nord"," 130A","Surrey",6,48,2,30,82,2,0,0,170,271
"Newton--North Delta/Newton--Delta-Nord"," 130B","Surrey",1,43,0,39,94,0,0,2,179,282
"Newton--North Delta/Newton--Delta-Nord"," 131","Surrey",4,22,0,51,96,3,0,0,176,278
"Newton--North Delta/Newton--Delta-Nord"," 132","Surrey",0,21,0,38,56,0,0,0,115,170
"Newton--North Delta/Newton--Delta-Nord"," 133","Surrey",10,80,0,86,150,1,0,0,327,477
"Newton--North Delta/Newton--Delta-Nord"," 134","Surrey",2,46,0,84,67,0,0,2,201,376
"Newton--North Delta/Newton--Delta-Nord"," 135","Surrey",1,47,1,112,114,2,0,2,279,484
"Newton--North Delta/Newton--Delta-Nord"," 136A","Surrey",2,49,0,78,25,1,1,0,156,306
"Newton--North Delta/Newton--Delta-Nord"," 136B","Surrey",0,60,0,76,30,2,0,1,169,325
"Newton--North Delta/Newton--Delta-Nord"," 137","Surrey",9,53,0,59,40,4,1,1,167,342
"Newton--North Delta/Newton--Delta-Nord"," 138","Surrey",2,97,0,97,29,2,1,1,229,462
"Newton--North Delta/Newton--Delta-Nord"," 139","Surrey",2,83,0,87,59,1,0,1,233,420
"Newton--North Delta/Newton--Delta-Nord"," 140","Surrey",2,72,1,66,59,1,0,3,204,429
"Newton--North Delta/Newton--Delta-Nord"," 141","Surrey",1,49,0,52,68,2,1,0,173,329
"Newton--North Delta/Newton--Delta-Nord"," 142","Surrey",5,74,0,46,71,3,1,0,200,424
"Newton--North Delta/Newton--Delta-Nord"," 143","Surrey",3,73,0,50,65,2,1,3,197,454
"Newton--North Delta/Newton--Delta-Nord"," 144","Surrey",6,71,0,43,48,1,3,2,174,360
"Newton--North Delta/Newton--Delta-Nord"," 145","Surrey",5,82,0,56,60,5,0,1,209,438
"Newton--North Delta/Newton--Delta-Nord"," 146A","Surrey",6,49,0,78,102,2,1,1,239,361
"Newton--North Delta/Newton--Delta-Nord"," 146B","Surrey",4,63,2,78,76,2,0,0,225,348
"Newton--North Delta/Newton--Delta-Nord"," 147","Surrey",2,55,1,104,116,1,0,1,280,458
"Newton--North Delta/Newton--Delta-Nord"," 148","Surrey",7,37,0,45,54,0,1,0,144,214
"Newton--North Delta/Newton--Delta-Nord"," 149","Surrey",2,12,1,38,58,0,1,0,112,209
"Newton--North Delta/Newton--Delta-Nord"," 150","Surrey",0,50,0,69,30,1,0,0,150,289
"Newton--North Delta/Newton--Delta-Nord"," 151","Surrey",3,91,1,102,50,4,0,2,253,409
"Newton--North Delta/Newton--Delta-Nord"," 152","Surrey",1,67,0,72,49,2,0,1,192,291
"Newton--North Delta/Newton--Delta-Nord"," 153","Surrey",6,95,0,57,81,4,0,1,244,371
"Newton--North Delta/Newton--Delta-Nord"," 154","Surrey",3,98,1,111,81,0,1,2,297,489
"Newton--North Delta/Newton--Delta-Nord"," 155A","Surrey",0,58,0,80,31,1,0,0,170,288
"Newton--North Delta/Newton--Delta-Nord"," 155B","Surrey",2,43,0,43,54,2,2,0,146,260
"Newton--North Delta/Newton--Delta-Nord"," 156","Surrey",2,76,0,89,92,1,1,0,261,411
"Newton--North Delta/Newton--Delta-Nord"," 157","Surrey",5,30,0,54,53,1,0,0,143,317
"Newton--North Delta/Newton--Delta-Nord"," 158A","Surrey",4,48,0,65,28,1,0,0,146,332
"Newton--North Delta/Newton--Delta-Nord"," 158B","Surrey",0,46,2,78,34,3,0,1,164,316
"Newton--North Delta/Newton--Delta-Nord"," 159","Surrey",6,62,0,86,110,1,0,1,266,435
"Newton--North Delta/Newton--Delta-Nord"," 160","Surrey",4,58,0,74,93,6,1,2,238,375
"Newton--North Delta/Newton--Delta-Nord"," 161","Surrey",5,43,0,73,108,1,3,0,233,341
"Newton--North Delta/Newton--Delta-Nord"," 162A","Surrey",7,58,0,53,73,0,1,0,192,314
"Newton--North Delta/Newton--Delta-Nord"," 162B","Surrey",3,35,0,63,73,2,0,1,177,297
"Newton--North Delta/Newton--Delta-Nord"," 500","Mobile poll/Bureau itinérant",1,10,0,16,9,3,1,3,43,81
"Newton--North Delta/Newton--Delta-Nord"," 600","Surrey",12,183,1,119,181,3,0,0,499,
"Newton--North Delta/Newton--Delta-Nord"," 601","Surrey",6,226,3,175,210,7,0,2,629,
"Newton--North Delta/Newton--Delta-Nord"," 602","Surrey",4,197,2,185,205,2,0,2,597,
"Newton--North Delta/Newton--Delta-Nord"," 603","Surrey",10,122,0,126,208,2,0,1,469,
"Newton--North Delta/Newton--Delta-Nord"," 604","Surrey",9,137,4,250,81,1,1,5,488,
"Newton--North Delta/Newton--Delta-Nord"," 605","Surrey",12,149,2,313,90,1,0,1,568,
"Newton--North Delta/Newton--Delta-Nord"," 606","Surrey",8,189,2,355,193,14,0,2,763,
"Newton--North Delta/Newton--Delta-Nord"," 607","Surrey",3,77,3,151,119,6,0,1,360,
"Newton--North Delta/Newton--Delta-Nord",,Group 1/Groupe 1,7,10,1,29,20,0,0,8,75,123
"Newton--North Delta/Newton--Delta-Nord",,Group 2/Groupe 2,6,140,0,590,165,4,1,6,912,
