Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bellemare,Josyanne Forest,Adam Jastrzebski,Claude Jr Lafortune,Benoît Sauvageau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Repentigny/Repentigny"," 51B","Le Gardeur",26,19,9,51,219,4,328,472
"Repentigny/Repentigny"," 51C","Le Gardeur",31,16,9,65,266,4,391,560
"Repentigny/Repentigny"," 52","Le Gardeur",30,25,14,57,223,4,353,546
"Repentigny/Repentigny"," 53","Le Gardeur",23,12,11,41,215,1,303,407
"Repentigny/Repentigny"," 54","Le Gardeur",22,11,3,46,190,4,276,383
"Repentigny/Repentigny"," 55","Le Gardeur",29,23,10,58,242,5,367,565
"Repentigny/Repentigny"," 56","Le Gardeur",22,24,2,23,142,2,215,298
"Repentigny/Repentigny"," 57","Le Gardeur",23,18,8,49,225,6,329,535
"Repentigny/Repentigny"," 58","Le Gardeur",18,17,10,30,145,4,224,328
"Repentigny/Repentigny"," 59","Le Gardeur",30,17,6,47,140,20,260,386
"Repentigny/Repentigny"," 60","Le Gardeur",34,19,9,35,150,4,251,391
"Repentigny/Repentigny"," 61","Le Gardeur",38,16,17,46,189,8,314,511
"Repentigny/Repentigny"," 62","Le Gardeur",7,13,4,41,131,2,198,394
"Repentigny/Repentigny"," 63","Le Gardeur",17,10,21,33,142,7,230,510
"Repentigny/Repentigny"," 64","Le Gardeur",19,17,11,33,167,4,251,407
"Repentigny/Repentigny"," 65","Le Gardeur",12,11,5,35,124,1,188,336
"Repentigny/Repentigny"," 66","Le Gardeur",12,22,7,33,116,6,196,375
"Repentigny/Repentigny"," 67","Le Gardeur",6,12,3,43,138,8,210,432
"Repentigny/Repentigny"," 68","Le Gardeur",16,10,7,35,142,7,217,335
"Repentigny/Repentigny"," 69","Le Gardeur",18,6,6,31,99,3,163,332
"Repentigny/Repentigny"," 70","Le Gardeur",13,20,9,25,157,6,230,356
"Repentigny/Repentigny"," 71","Le Gardeur",7,4,4,29,180,4,228,384
"Repentigny/Repentigny"," 72","Le Gardeur",29,23,7,34,170,4,267,458
"Repentigny/Repentigny"," 73","Le Gardeur",18,16,10,43,144,10,241,398
"Repentigny/Repentigny"," 74","Le Gardeur",22,19,5,44,143,4,237,388
"Repentigny/Repentigny"," 75","Le Gardeur",7,15,13,32,177,4,248,363
"Repentigny/Repentigny"," 76","Le Gardeur",24,8,3,47,165,7,254,365
"Repentigny/Repentigny"," 77","Le Gardeur",27,17,23,27,206,6,306,418
"Repentigny/Repentigny"," 78","Le Gardeur",24,20,10,51,206,7,318,477
"Repentigny/Repentigny"," 79","Repentigny",39,31,10,84,253,4,421,660
"Repentigny/Repentigny"," 80","Repentigny",31,37,19,92,198,1,378,594
"Repentigny/Repentigny"," 81","Repentigny",27,27,10,81,239,11,395,616
"Repentigny/Repentigny"," 82","Repentigny",28,25,11,22,149,4,239,403
"Repentigny/Repentigny"," 83","Repentigny",29,15,12,48,205,3,312,457
"Repentigny/Repentigny"," 84","Repentigny",30,20,3,33,151,4,241,348
"Repentigny/Repentigny"," 85","Repentigny",27,17,8,51,211,8,322,480
"Repentigny/Repentigny"," 86","Repentigny",16,28,5,57,176,2,284,408
"Repentigny/Repentigny"," 87","Repentigny",30,8,9,52,188,2,289,454
"Repentigny/Repentigny"," 88A","Repentigny",14,16,3,67,186,9,295,490
"Repentigny/Repentigny"," 88B","Repentigny",26,10,4,45,188,3,276,493
"Repentigny/Repentigny"," 89","Repentigny",18,18,1,51,143,3,234,422
"Repentigny/Repentigny"," 90","Repentigny",28,22,9,50,220,5,334,555
"Repentigny/Repentigny"," 91","Repentigny",31,20,14,101,270,5,441,676
"Repentigny/Repentigny"," 92","Repentigny",26,31,14,87,233,5,396,603
"Repentigny/Repentigny"," 93","Repentigny",10,18,8,64,192,2,294,474
"Repentigny/Repentigny"," 94","Repentigny",17,23,8,46,176,3,273,431
"Repentigny/Repentigny"," 95","Repentigny",25,17,10,40,208,2,302,472
"Repentigny/Repentigny"," 96","Repentigny",26,15,12,71,227,3,354,521
"Repentigny/Repentigny"," 97","Repentigny",27,18,10,47,220,7,329,504
"Repentigny/Repentigny"," 98","Repentigny",22,16,21,43,188,1,291,446
"Repentigny/Repentigny"," 99","Repentigny",24,24,3,41,169,4,265,367
"Repentigny/Repentigny"," 100","Repentigny",22,18,14,41,148,1,244,379
"Repentigny/Repentigny"," 101","Repentigny",42,14,4,37,182,0,279,421
"Repentigny/Repentigny"," 102","Repentigny",30,30,10,30,159,2,261,340
"Repentigny/Repentigny"," 103","Repentigny",21,21,6,41,130,5,224,432
"Repentigny/Repentigny"," 104","Repentigny",20,18,6,48,180,7,279,419
"Repentigny/Repentigny"," 105","Repentigny",18,21,7,30,189,6,271,388
"Repentigny/Repentigny"," 106","Repentigny",23,27,7,32,137,1,227,407
"Repentigny/Repentigny"," 107","Repentigny",16,12,5,43,142,1,219,407
"Repentigny/Repentigny"," 108","Repentigny",13,18,12,32,166,1,242,473
"Repentigny/Repentigny"," 109","Repentigny",21,10,11,47,204,3,296,449
"Repentigny/Repentigny"," 110","Repentigny",27,22,11,52,202,2,316,488
"Repentigny/Repentigny"," 111","Repentigny",21,27,8,60,165,5,286,451
"Repentigny/Repentigny"," 112","Repentigny",15,28,6,36,161,5,251,369
"Repentigny/Repentigny"," 113A","Repentigny",28,21,12,49,187,6,303,443
"Repentigny/Repentigny"," 113B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,49
"Repentigny/Repentigny"," 113C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,9
"Repentigny/Repentigny"," 114","Repentigny",25,25,13,64,191,5,323,456
"Repentigny/Repentigny"," 115","Repentigny",28,25,12,55,160,2,282,374
"Repentigny/Repentigny"," 116","Repentigny",32,16,11,61,163,1,284,418
"Repentigny/Repentigny"," 117","Repentigny",37,20,14,71,187,2,331,545
"Repentigny/Repentigny"," 118","Repentigny",25,32,6,52,165,4,284,445
"Repentigny/Repentigny"," 119","Repentigny",29,23,8,36,188,6,290,415
"Repentigny/Repentigny"," 120","Repentigny",21,41,11,62,175,2,312,538
"Repentigny/Repentigny"," 121","Repentigny",11,16,9,39,124,4,203,289
"Repentigny/Repentigny"," 122","Repentigny",18,13,2,38,144,6,221,493
"Repentigny/Repentigny"," 123","Repentigny",12,27,8,34,128,3,212,388
"Repentigny/Repentigny"," 124","Repentigny",4,27,5,28,134,2,200,425
"Repentigny/Repentigny"," 125","Repentigny",17,23,10,29,128,4,211,395
"Repentigny/Repentigny"," 126","Repentigny",13,21,3,29,127,2,195,412
"Repentigny/Repentigny"," 127","Repentigny",16,25,5,31,156,7,240,479
"Repentigny/Repentigny"," 128","Repentigny",17,19,2,31,122,5,196,398
"Repentigny/Repentigny"," 129","Repentigny",38,18,12,39,167,8,282,357
"Repentigny/Repentigny"," 130","Repentigny",14,36,10,44,135,5,244,415
"Repentigny/Repentigny"," 131","Repentigny",33,26,9,66,168,5,307,445
"Repentigny/Repentigny"," 132","Repentigny",22,17,10,49,176,4,278,451
"Repentigny/Repentigny"," 133","Repentigny",13,39,7,79,149,4,291,491
"Repentigny/Repentigny"," 134","Repentigny",17,36,10,71,131,10,275,513
"Repentigny/Repentigny"," 135","Repentigny",17,27,5,32,100,8,189,320
"Repentigny/Repentigny"," 136A","Repentigny",15,11,2,38,101,4,171,342
"Repentigny/Repentigny"," 136B","Repentigny",6,55,4,32,60,1,158,362
"Repentigny/Repentigny"," 137","Repentigny",12,18,2,54,131,0,217,311
"Repentigny/Repentigny"," 138","Repentigny",28,17,9,42,157,6,259,368
"Repentigny/Repentigny"," 139","Repentigny",19,13,8,53,164,4,261,457
"Repentigny/Repentigny"," 140","Repentigny",15,10,6,25,117,9,182,389
"Repentigny/Repentigny"," 141","Repentigny",25,13,7,39,114,5,203,376
"Repentigny/Repentigny"," 142","Repentigny",20,12,4,41,150,4,231,370
"Repentigny/Repentigny"," 143","Repentigny",15,18,9,28,108,2,180,340
"Repentigny/Repentigny"," 144","Repentigny",15,21,11,45,145,1,238,361
"Repentigny/Repentigny"," 145","Repentigny",27,46,7,47,147,6,280,542
"Repentigny/Repentigny"," 146","Repentigny",12,18,4,40,98,2,174,446
"Repentigny/Repentigny"," 147","Repentigny",20,33,6,88,132,1,280,567
"Repentigny/Repentigny"," 148","Repentigny",10,15,4,35,88,3,155,249
"Repentigny/Repentigny"," 149","Repentigny",15,14,9,48,84,4,174,302
"Repentigny/Repentigny"," 150","Repentigny",9,26,5,41,103,2,186,323
"Repentigny/Repentigny"," 151","Repentigny",21,18,8,60,131,0,238,366
"Repentigny/Repentigny"," 152","Repentigny",24,28,11,59,163,3,288,435
"Repentigny/Repentigny"," 153","Repentigny",26,21,11,46,190,1,295,424
"Repentigny/Repentigny"," 154","Repentigny",26,24,6,33,169,4,262,412
"Repentigny/Repentigny"," 155","Repentigny",26,21,19,55,164,0,285,438
"Repentigny/Repentigny"," 156","Repentigny",25,26,7,50,124,3,235,369
"Repentigny/Repentigny"," 157","Repentigny",15,25,6,50,164,5,265,427
"Repentigny/Repentigny"," 158","Repentigny",21,26,13,61,169,3,293,446
"Repentigny/Repentigny"," 159","Repentigny",27,20,5,50,161,1,264,417
"Repentigny/Repentigny"," 160","Repentigny",35,23,6,30,141,5,240,364
"Repentigny/Repentigny"," 161","Repentigny",16,19,8,46,161,4,254,391
"Repentigny/Repentigny"," 162","Repentigny",11,16,15,45,164,3,254,370
"Repentigny/Repentigny"," 163","Repentigny",20,14,6,50,120,3,213,344
"Repentigny/Repentigny"," 164","Repentigny",18,15,8,58,130,1,230,331
"Repentigny/Repentigny"," 165","Repentigny",19,15,8,30,123,3,198,300
"Repentigny/Repentigny"," 166","Repentigny",16,42,4,49,102,0,213,357
"Repentigny/Repentigny"," 167","Repentigny",13,33,5,39,112,2,204,332
"Repentigny/Repentigny"," 168","Repentigny",17,27,9,35,137,5,230,400
"Repentigny/Repentigny"," 169","Repentigny",16,16,3,32,119,0,186,369
"Repentigny/Repentigny"," 170","Repentigny",17,24,11,62,128,2,244,411
"Repentigny/Repentigny"," 171","Repentigny",12,33,2,72,80,3,202,428
"Repentigny/Repentigny"," 172","Repentigny",19,26,10,33,135,2,225,399
"Repentigny/Repentigny"," 173","Repentigny",19,21,6,41,166,2,255,362
"Repentigny/Repentigny"," 174","Repentigny",26,19,10,27,163,1,246,341
"Repentigny/Repentigny"," 175","Repentigny",14,29,13,46,102,0,204,311
"Repentigny/Repentigny"," 176","Repentigny",17,22,8,40,131,6,224,335
"Repentigny/Repentigny"," 177","Repentigny",26,29,6,45,129,2,237,382
"Repentigny/Repentigny"," 178","Repentigny",23,19,9,40,134,3,228,363
"Repentigny/Repentigny"," 179","Repentigny",19,19,10,34,159,0,241,405
"Repentigny/Repentigny"," 180","Repentigny",19,21,7,29,107,2,185,408
"Repentigny/Repentigny"," 181","Charlemagne",18,26,6,49,130,4,233,490
"Repentigny/Repentigny"," 182","Charlemagne",16,25,4,23,162,4,234,395
"Repentigny/Repentigny"," 183","Charlemagne",13,13,1,32,128,5,192,300
"Repentigny/Repentigny"," 184","Charlemagne",18,16,20,25,142,5,226,381
"Repentigny/Repentigny"," 185","Charlemagne",12,13,6,16,150,3,200,333
"Repentigny/Repentigny"," 186","Charlemagne",29,17,15,49,212,9,331,485
"Repentigny/Repentigny"," 187","Charlemagne",19,9,7,28,188,3,254,412
"Repentigny/Repentigny"," 188","Charlemagne",15,8,3,21,118,2,167,336
"Repentigny/Repentigny"," 189","Charlemagne",15,11,8,19,121,3,177,322
"Repentigny/Repentigny"," 190","Charlemagne",9,13,3,36,115,5,181,305
"Repentigny/Repentigny"," 191","Charlemagne",16,14,10,31,140,5,216,376
"Repentigny/Repentigny"," 192","Charlemagne",12,21,6,39,151,2,231,445
"Repentigny/Repentigny"," 500","Mobile poll/Bureau itinérant",18,20,4,28,52,4,126,236
"Repentigny/Repentigny"," 501","Mobile poll/Bureau itinérant",5,17,1,8,29,4,64,35
"Repentigny/Repentigny"," 600","L'Assomption",12,8,1,38,107,1,167,
"Repentigny/Repentigny"," 601","L'Épiphanie",12,19,2,62,195,3,293,
"Repentigny/Repentigny"," 602","L'Assomption",48,91,13,168,368,6,694,
"Repentigny/Repentigny"," 603","Saint-Sulpice",5,11,2,35,48,1,102,
"Repentigny/Repentigny"," 604","Repentigny",33,68,12,86,260,17,476,
"Repentigny/Repentigny"," 605","Repentigny",14,29,4,55,174,0,276,
"Repentigny/Repentigny"," 606","Repentigny",39,65,18,159,358,12,651,
"Repentigny/Repentigny"," 607","Repentigny",27,105,17,171,335,9,664,
"Repentigny/Repentigny"," 608","Repentigny",32,88,13,158,331,11,633,
"Repentigny/Repentigny"," 609","Charlemagne",17,34,8,58,216,7,340,
"Repentigny/Repentigny"," 610","Repentigny",36,120,16,153,320,12,657,
"Repentigny/Repentigny",,Group 1/Groupe 1,7,15,4,19,20,2,67,144
"Repentigny/Repentigny",,Group 2/Groupe 2,52,280,19,149,685,13,1198,
