Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Boucher,Denis Coderre,Liberato Martelli,Apraham Niziblian,Geneviève Royer,Stefano Saykaly,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bourassa/Bourassa"," 42","Montréal-Nord",1,65,31,55,1,13,7,173,401
"Bourassa/Bourassa"," 43","Montréal-Nord",7,91,23,73,1,16,4,215,384
"Bourassa/Bourassa"," 44","Montréal-Nord",10,95,41,58,0,11,0,215,400
"Bourassa/Bourassa"," 45","Montréal-Nord",7,102,44,39,0,5,2,199,327
"Bourassa/Bourassa"," 46A","Montréal-Nord",6,106,30,40,0,3,4,189,377
"Bourassa/Bourassa"," 46B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,22
"Bourassa/Bourassa"," 47","Montréal-Nord",7,100,35,65,0,10,1,218,422
"Bourassa/Bourassa"," 48","Montréal-Nord",4,77,24,64,0,9,9,187,414
"Bourassa/Bourassa"," 49","Montréal-Nord",4,75,24,57,0,8,5,173,429
"Bourassa/Bourassa"," 50","Montréal-Nord",3,62,20,45,1,14,2,147,407
"Bourassa/Bourassa"," 51","Montréal-Nord",7,147,31,30,0,9,3,227,349
"Bourassa/Bourassa"," 52","Montréal-Nord",11,107,36,56,0,20,4,234,380
"Bourassa/Bourassa"," 53","Montréal-Nord",4,118,36,43,1,8,3,213,376
"Bourassa/Bourassa"," 54","Montréal-Nord",7,64,26,48,1,6,3,155,354
"Bourassa/Bourassa"," 55","Montréal-Nord",5,93,31,48,0,10,4,191,361
"Bourassa/Bourassa"," 56","Montréal-Nord",6,117,23,53,1,16,4,220,380
"Bourassa/Bourassa"," 57","Montréal-Nord",2,84,15,67,1,8,5,182,438
"Bourassa/Bourassa"," 58","Montréal-Nord",12,96,24,53,1,9,4,199,433
"Bourassa/Bourassa"," 59","Montréal-Nord",4,114,25,38,0,18,2,201,334
"Bourassa/Bourassa"," 60","Montréal-Nord",9,130,47,67,1,11,2,267,432
"Bourassa/Bourassa"," 61","Montréal-Nord",8,117,45,52,1,14,9,246,410
"Bourassa/Bourassa"," 62","Montréal-Nord",5,125,37,43,1,20,3,234,410
"Bourassa/Bourassa"," 63","Montréal-Nord",12,51,22,81,0,9,0,175,480
"Bourassa/Bourassa"," 64","Montréal-Nord",11,152,34,64,1,12,5,279,478
"Bourassa/Bourassa"," 65","Montréal-Nord",2,110,35,36,0,10,1,194,355
"Bourassa/Bourassa"," 66","Montréal-Nord",5,116,37,47,0,10,6,221,426
"Bourassa/Bourassa"," 67","Montréal-Nord",8,119,42,61,1,7,7,245,346
"Bourassa/Bourassa"," 68","Montréal-Nord",11,114,33,68,0,21,2,249,360
"Bourassa/Bourassa"," 69","Montréal-Nord",5,113,42,80,0,16,7,263,458
"Bourassa/Bourassa"," 70","Montréal-Nord",10,103,42,90,2,19,1,267,444
"Bourassa/Bourassa"," 71","Montréal-Nord",9,74,33,135,2,15,4,272,456
"Bourassa/Bourassa"," 72","Montréal-Nord",10,81,40,117,1,18,3,270,477
"Bourassa/Bourassa"," 73","Montréal-Nord",13,83,27,117,2,16,6,264,408
"Bourassa/Bourassa"," 74","Montréal-Nord",5,70,28,87,1,12,2,205,393
"Bourassa/Bourassa"," 75","Montréal-Nord",6,76,24,90,1,7,3,207,360
"Bourassa/Bourassa"," 76","Montréal-Nord",12,77,41,86,0,17,3,236,396
"Bourassa/Bourassa"," 77","Montréal-Nord",13,53,30,101,0,16,3,216,345
"Bourassa/Bourassa"," 78","Montréal-Nord",11,66,25,84,1,8,6,201,446
"Bourassa/Bourassa"," 79","Montréal-Nord",4,37,13,67,1,6,5,133,330
"Bourassa/Bourassa"," 80","Montréal-Nord",15,49,25,62,0,10,2,163,280
"Bourassa/Bourassa"," 81","Montréal-Nord",5,57,34,86,1,14,2,199,465
"Bourassa/Bourassa"," 82","Montréal-Nord",7,48,33,83,1,7,5,184,337
"Bourassa/Bourassa"," 83","Montréal-Nord",13,55,24,95,2,17,7,213,414
"Bourassa/Bourassa"," 84","Montréal-Nord",4,80,30,51,0,15,2,182,389
"Bourassa/Bourassa"," 85","Montréal-Nord",4,39,21,58,0,5,6,133,402
"Bourassa/Bourassa"," 86","Montréal-Nord",3,96,23,32,0,7,0,161,375
"Bourassa/Bourassa"," 87","Montréal-Nord",0,60,21,38,0,6,2,127,378
"Bourassa/Bourassa"," 88","Montréal-Nord",14,111,36,45,1,12,2,221,398
"Bourassa/Bourassa"," 89","Montréal-Nord",5,63,29,56,0,7,3,163,353
"Bourassa/Bourassa"," 90","Montréal-Nord",7,73,22,55,3,21,0,181,305
"Bourassa/Bourassa"," 91","Montréal-Nord",9,77,34,37,0,17,2,176,357
"Bourassa/Bourassa"," 92","Montréal-Nord",15,115,27,90,0,6,5,258,502
"Bourassa/Bourassa"," 93","Montréal-Nord",3,70,15,89,0,11,4,192,406
"Bourassa/Bourassa"," 94","Montréal-Nord",11,75,32,57,0,10,5,190,352
"Bourassa/Bourassa"," 95","Montréal-Nord",8,63,29,74,0,5,2,181,324
"Bourassa/Bourassa"," 96","Montréal-Nord",2,72,26,44,1,7,2,154,370
"Bourassa/Bourassa"," 97","Montréal-Nord",6,61,31,84,2,13,2,199,395
"Bourassa/Bourassa"," 98","Montréal-Nord",7,109,34,111,0,17,1,279,442
"Bourassa/Bourassa"," 99","Montréal-Nord",2,71,49,73,1,10,3,209,477
"Bourassa/Bourassa"," 100","Montréal-Nord",5,93,34,62,2,10,7,213,483
"Bourassa/Bourassa"," 101","Montréal-Nord",5,67,30,74,0,17,5,198,422
"Bourassa/Bourassa"," 102","Montréal-Nord",16,126,38,98,1,21,8,308,613
"Bourassa/Bourassa"," 103","Montréal-Nord",4,89,22,75,2,10,7,209,463
"Bourassa/Bourassa"," 104","Montréal-Nord",3,129,38,39,0,10,2,221,409
"Bourassa/Bourassa"," 105","Montréal-Nord",3,82,39,68,0,7,1,200,400
"Bourassa/Bourassa"," 106","Montréal-Nord",6,82,30,61,2,8,2,191,423
"Bourassa/Bourassa"," 107","Montréal-Nord",6,83,36,87,0,13,11,236,506
"Bourassa/Bourassa"," 108","Montréal-Nord",8,75,29,46,0,6,4,168,300
"Bourassa/Bourassa"," 109","Montréal-Nord",3,81,21,68,1,8,2,184,342
"Bourassa/Bourassa"," 110","Montréal-Nord",9,103,40,87,2,11,5,257,472
"Bourassa/Bourassa"," 111","Montréal-Nord",2,107,25,65,1,9,0,209,371
"Bourassa/Bourassa"," 112","Montréal-Nord",9,87,25,77,3,5,7,213,375
"Bourassa/Bourassa"," 113","Montréal-Nord",6,68,29,71,2,12,0,188,311
"Bourassa/Bourassa"," 114","Montréal-Nord",8,105,40,61,1,7,5,227,385
"Bourassa/Bourassa"," 115","Montréal-Nord",7,81,39,64,0,13,2,206,423
"Bourassa/Bourassa"," 116","Montréal-Nord",1,96,36,62,3,8,5,211,374
"Bourassa/Bourassa"," 117","Montréal-Nord",9,118,45,76,0,18,2,268,455
"Bourassa/Bourassa"," 118","Montréal-Nord",8,55,26,79,1,8,5,182,351
"Bourassa/Bourassa"," 119","Montréal-Nord",4,97,15,66,0,6,8,196,409
"Bourassa/Bourassa"," 120","Montréal-Nord",6,79,20,35,1,5,2,148,286
"Bourassa/Bourassa"," 121","Montréal-Nord",6,85,27,55,0,7,4,184,324
"Bourassa/Bourassa"," 122","Montréal-Nord",4,94,33,71,5,5,9,221,460
"Bourassa/Bourassa"," 123","Montréal-Nord",6,63,19,43,1,12,5,149,362
"Bourassa/Bourassa"," 124","Montréal-Nord",9,88,51,69,1,14,1,233,428
"Bourassa/Bourassa"," 125","Montréal-Nord",6,70,21,96,1,6,5,205,450
"Bourassa/Bourassa"," 126","Montréal-Nord",7,79,37,80,1,10,7,221,409
"Bourassa/Bourassa"," 127","Montréal-Nord",4,79,35,106,1,22,3,250,471
"Bourassa/Bourassa"," 128","Montréal-Nord",7,114,31,79,0,12,5,248,474
"Bourassa/Bourassa"," 129","Montréal-Nord",4,116,41,85,1,15,1,263,426
"Bourassa/Bourassa"," 130","Montréal-Nord",13,60,45,107,1,21,5,252,416
"Bourassa/Bourassa"," 131","Montréal-Nord",5,73,20,97,0,11,4,210,374
"Bourassa/Bourassa"," 132","Montréal-Nord",13,70,48,75,0,9,6,221,431
"Bourassa/Bourassa"," 133","Montréal-Nord",9,88,36,89,0,13,3,238,460
"Bourassa/Bourassa"," 134","Montréal-Nord",9,80,26,81,1,16,6,219,372
"Bourassa/Bourassa"," 135","Montréal-Nord",4,81,31,85,0,13,6,220,416
"Bourassa/Bourassa"," 136","Montréal-Nord",5,39,27,44,2,7,2,126,223
"Bourassa/Bourassa"," 137","Montréal-Nord",8,86,58,76,2,8,3,241,571
"Bourassa/Bourassa"," 138","Montréal-Nord",1,62,28,36,1,13,2,143,182
"Bourassa/Bourassa"," 139","Montréal-Nord",15,68,31,80,2,10,3,209,434
"Bourassa/Bourassa"," 140","Montréal-Nord",12,146,68,104,1,19,13,363,534
"Bourassa/Bourassa"," 141","Montréal-Nord",11,71,37,78,1,11,2,211,427
"Bourassa/Bourassa"," 142","Montréal-Nord",3,45,19,78,2,8,1,156,330
"Bourassa/Bourassa"," 143","Montréal-Nord",10,76,27,43,1,6,3,166,490
"Bourassa/Bourassa"," 144","Montréal-Nord",8,90,28,75,3,7,1,212,406
"Bourassa/Bourassa"," 145","Montréal-Nord",8,62,33,62,0,8,5,178,347
"Bourassa/Bourassa"," 146","Montréal-Nord",9,86,33,79,1,16,6,230,436
"Bourassa/Bourassa"," 147","Montréal-Nord",10,99,29,83,1,14,2,238,438
"Bourassa/Bourassa"," 148","Montréal-Nord",8,117,30,45,0,14,7,221,371
"Bourassa/Bourassa"," 149","Montréal-Nord",10,93,39,59,1,15,0,217,419
"Bourassa/Bourassa"," 150","Montréal-Nord",7,138,34,68,0,12,3,262,452
"Bourassa/Bourassa"," 151","Montréal-Nord",5,119,25,74,3,12,0,238,445
"Bourassa/Bourassa"," 152","Montréal-Nord",6,91,38,67,0,21,2,225,363
"Bourassa/Bourassa"," 153","Montréal-Nord",3,134,41,45,0,16,2,241,452
"Bourassa/Bourassa"," 154","Montréal-Nord",8,150,41,72,0,15,5,291,568
"Bourassa/Bourassa"," 155","Montréal-Nord",3,124,31,47,0,8,2,215,377
"Bourassa/Bourassa"," 156","Montréal-Nord",4,85,14,43,0,11,2,159,329
"Bourassa/Bourassa"," 157","Montréal-Nord",4,104,29,62,1,21,3,224,444
"Bourassa/Bourassa"," 158","Montréal-Nord",10,61,27,81,0,13,4,196,372
"Bourassa/Bourassa"," 159","Montréal-Nord",8,59,43,87,1,18,3,219,344
"Bourassa/Bourassa"," 160","Montréal-Nord",5,60,32,51,0,18,2,168,378
"Bourassa/Bourassa"," 161","Montréal",23,74,48,189,0,20,4,358,536
"Bourassa/Bourassa"," 162","Montréal",11,83,43,102,1,13,3,256,422
"Bourassa/Bourassa"," 163","Montréal",7,58,21,90,0,18,5,199,323
"Bourassa/Bourassa"," 164","Montréal",3,88,29,41,1,2,2,166,256
"Bourassa/Bourassa"," 165","Montréal",5,120,31,37,1,11,1,206,292
"Bourassa/Bourassa"," 166","Montréal",11,133,22,41,3,16,4,230,328
"Bourassa/Bourassa"," 167","Montréal",4,74,24,57,1,11,2,173,345
"Bourassa/Bourassa"," 168","Montréal",16,52,42,102,1,16,4,233,349
"Bourassa/Bourassa"," 169","Montréal",14,54,25,76,0,12,2,183,350
"Bourassa/Bourassa"," 170","Montréal",16,54,29,139,1,18,1,258,437
"Bourassa/Bourassa"," 171","Montréal",16,46,32,67,0,13,2,176,314
"Bourassa/Bourassa"," 172","Montréal",5,31,12,30,1,12,2,93,190
"Bourassa/Bourassa"," 173","Montréal",6,86,33,34,0,14,2,175,273
"Bourassa/Bourassa"," 400","Montréal",5,33,18,27,2,5,3,93,603
"Bourassa/Bourassa"," 401","Montréal",1,28,13,27,0,3,4,76,469
"Bourassa/Bourassa"," 402","Montréal",10,144,97,71,2,10,3,337,429
"Bourassa/Bourassa"," 403","Montréal",6,124,60,48,0,7,2,247,328
"Bourassa/Bourassa"," 404","Montréal-Nord",7,120,45,44,2,13,14,245,313
"Bourassa/Bourassa"," 405","Montréal-Nord",3,70,25,31,2,2,2,135,295
"Bourassa/Bourassa"," 500","Mobile poll/Bureau itinérant",3,60,32,40,0,4,11,150,225
"Bourassa/Bourassa"," 501","Mobile poll/Bureau itinérant",6,71,12,22,2,4,2,119,127
"Bourassa/Bourassa"," 600","Montréal",18,316,158,154,5,12,17,680,
"Bourassa/Bourassa"," 601","Montréal",10,201,101,91,1,13,9,426,
"Bourassa/Bourassa"," 602","Montréal",6,83,37,63,2,5,3,199,
"Bourassa/Bourassa"," 603","Montréal",5,135,43,64,0,8,4,259,
"Bourassa/Bourassa"," 604","Montréal",9,175,88,157,2,17,8,456,
"Bourassa/Bourassa"," 605","Montréal",7,163,57,116,3,16,10,372,
"Bourassa/Bourassa"," 606","Montréal",9,160,47,130,2,13,5,366,
"Bourassa/Bourassa"," 607","Montréal",12,159,81,133,0,16,7,408,
"Bourassa/Bourassa"," 608","Montréal",8,149,47,104,0,10,6,324,
"Bourassa/Bourassa"," 609","Montréal",14,124,81,95,0,13,6,333,
"Bourassa/Bourassa",,Group 1/Groupe 1,3,39,11,29,2,6,6,96,165
"Bourassa/Bourassa",,Group 2/Groupe 2,13,739,98,538,2,37,24,1451,
