Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Allt,Brent Barr,Brenda Chamberlain,Manuel Couto,Peter Ellis,Scott Gilbert,Mike Nagy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Guelph/Guelph"," 53","Guelph",97,44,52,0,5,2,28,1,229,322
"Guelph/Guelph"," 54","Guelph",87,46,105,0,5,0,37,0,280,482
"Guelph/Guelph"," 55","Guelph",77,55,64,0,2,0,33,0,231,352
"Guelph/Guelph"," 56","Guelph",42,57,69,0,3,0,9,0,180,380
"Guelph/Guelph"," 57","Guelph",90,60,101,1,1,0,29,0,282,426
"Guelph/Guelph"," 58","Guelph",112,57,88,0,0,0,38,1,296,430
"Guelph/Guelph"," 59","Guelph",44,59,120,0,3,1,32,1,260,373
"Guelph/Guelph"," 60","Guelph",70,81,109,0,1,0,19,0,280,437
"Guelph/Guelph"," 61","Guelph",Merged with No. 62/Fusionné avec le nº 62,,,,,,,,,227
"Guelph/Guelph"," 62","Guelph",62,37,58,3,2,0,10,0,172,228
"Guelph/Guelph"," 63","Guelph",31,28,31,0,0,0,9,0,99,224
"Guelph/Guelph"," 64","Guelph",63,57,95,0,3,0,20,1,239,309
"Guelph/Guelph"," 65","Guelph",Merged with No. 64/Fusionné avec le nº 64,,,,,,,,,189
"Guelph/Guelph"," 66","Guelph",26,22,40,0,0,1,9,0,98,312
"Guelph/Guelph"," 67","Guelph",39,50,99,0,1,0,13,0,202,286
"Guelph/Guelph"," 68","Guelph",35,65,81,0,2,0,14,1,198,317
"Guelph/Guelph"," 69","Guelph",50,48,77,0,1,2,18,0,196,426
"Guelph/Guelph"," 70","Guelph",32,32,41,0,1,1,6,0,113,282
"Guelph/Guelph"," 71","Guelph",55,62,81,0,6,0,19,1,224,387
"Guelph/Guelph"," 72","Guelph",57,80,112,0,3,0,12,1,265,450
"Guelph/Guelph"," 73","Guelph",66,99,119,1,1,0,27,0,313,466
"Guelph/Guelph"," 74","Guelph",60,73,97,0,3,1,16,0,250,425
"Guelph/Guelph"," 75A","Guelph",38,49,52,0,2,1,9,0,151,287
"Guelph/Guelph"," 75B","Guelph",48,36,55,0,0,0,14,1,154,308
"Guelph/Guelph"," 76","Guelph",61,62,83,0,1,0,10,1,218,481
"Guelph/Guelph"," 77","Guelph",28,40,53,0,0,0,14,0,135,209
"Guelph/Guelph"," 78","Guelph",53,49,41,1,6,0,13,0,163,339
"Guelph/Guelph"," 79","Guelph",Void/Supprimé,,,,,,,,,
"Guelph/Guelph"," 80","Guelph",49,80,79,0,6,0,16,0,230,369
"Guelph/Guelph"," 81","Guelph",44,77,76,0,0,0,15,0,212,379
"Guelph/Guelph"," 82","Guelph",30,60,95,0,1,0,15,0,201,298
"Guelph/Guelph"," 83","Guelph",26,44,66,0,0,2,9,1,148,236
"Guelph/Guelph"," 84A","Guelph",33,54,83,0,1,0,27,1,199,326
"Guelph/Guelph"," 84B","Guelph",57,49,70,0,3,0,11,0,190,348
"Guelph/Guelph"," 85","Guelph",39,42,66,0,0,1,8,0,156,263
"Guelph/Guelph"," 86","Guelph",45,103,142,1,6,1,11,0,309,538
"Guelph/Guelph"," 87","Guelph",35,51,85,1,1,0,8,0,181,278
"Guelph/Guelph"," 88A","Guelph",54,99,101,0,4,0,16,1,275,482
"Guelph/Guelph"," 88B","Guelph",40,68,92,2,1,3,11,6,223,438
"Guelph/Guelph"," 89","Guelph",62,26,57,1,0,0,24,0,170,262
"Guelph/Guelph"," 90","Guelph",64,18,63,0,3,3,34,0,185,280
"Guelph/Guelph"," 91","Guelph",64,31,59,0,1,0,20,0,175,354
"Guelph/Guelph"," 92","Guelph",89,56,113,0,5,3,22,1,289,431
"Guelph/Guelph"," 93","Guelph",71,42,97,1,1,0,34,0,246,340
"Guelph/Guelph"," 94","Guelph",72,45,54,0,2,0,15,1,189,308
"Guelph/Guelph"," 95A","Guelph",37,45,90,1,2,1,12,2,190,297
"Guelph/Guelph"," 95B","Guelph",41,58,83,0,1,1,21,1,206,300
"Guelph/Guelph"," 96","Guelph",88,80,91,0,0,1,15,1,276,469
"Guelph/Guelph"," 97A","Guelph",36,61,59,0,4,0,13,2,175,377
"Guelph/Guelph"," 97B","Guelph",26,53,35,0,1,0,12,0,127,368
"Guelph/Guelph"," 97C","Guelph",41,62,60,1,3,0,7,3,177,397
"Guelph/Guelph"," 98","Guelph",28,72,82,1,4,0,11,2,200,349
"Guelph/Guelph"," 99","Guelph",42,83,107,0,4,0,14,0,250,497
"Guelph/Guelph"," 100A","Guelph",41,71,112,1,2,1,13,0,241,355
"Guelph/Guelph"," 100B","Guelph",35,67,88,1,1,2,15,0,209,390
"Guelph/Guelph"," 101","Guelph",59,89,117,0,3,0,17,1,286,456
"Guelph/Guelph"," 102","Guelph",64,106,89,0,3,0,19,0,281,427
"Guelph/Guelph"," 103","Guelph",59,123,127,0,1,0,20,3,333,492
"Guelph/Guelph"," 104","Guelph",37,142,155,0,0,1,19,0,354,497
"Guelph/Guelph"," 105","Guelph",39,101,148,0,1,0,30,2,321,458
"Guelph/Guelph"," 106","Guelph",52,99,122,0,3,0,23,2,301,543
"Guelph/Guelph"," 107","Guelph",45,65,60,0,4,1,14,1,190,304
"Guelph/Guelph"," 108","Guelph",74,64,119,0,3,0,12,1,273,521
"Guelph/Guelph"," 109","Guelph",79,31,63,1,0,0,26,0,200,343
"Guelph/Guelph"," 110","Guelph",75,38,73,1,4,2,26,0,219,365
"Guelph/Guelph"," 111","Guelph",123,28,71,0,0,1,48,0,271,245
"Guelph/Guelph"," 112","Guelph",63,31,41,0,0,2,50,1,188,313
"Guelph/Guelph"," 113","Guelph",109,39,66,0,4,0,57,2,277,394
"Guelph/Guelph"," 114","Guelph",83,27,67,1,0,0,36,1,215,302
"Guelph/Guelph"," 115","Guelph",Merged with No. 111/Fusionné avec le nº 111,,,,,,,,,236
"Guelph/Guelph"," 116","Guelph",95,52,106,0,0,4,43,0,300,412
"Guelph/Guelph"," 117","Guelph",75,37,81,0,0,1,28,0,222,311
"Guelph/Guelph"," 118","Guelph",113,38,85,0,2,0,34,0,272,404
"Guelph/Guelph"," 119A","Guelph",66,25,62,0,1,1,32,0,187,294
"Guelph/Guelph"," 119B","Guelph",71,30,45,0,4,0,41,1,192,333
"Guelph/Guelph"," 120","Guelph",76,25,47,0,0,0,26,0,174,253
"Guelph/Guelph"," 121","Guelph",57,40,57,0,2,2,33,0,191,279
"Guelph/Guelph"," 122","Guelph",84,45,65,2,3,1,42,0,242,333
"Guelph/Guelph"," 123","Guelph",77,59,100,1,2,0,37,1,277,415
"Guelph/Guelph"," 124","Guelph",46,62,101,1,4,3,19,0,236,367
"Guelph/Guelph"," 125","Guelph",45,49,96,0,1,0,22,1,214,379
"Guelph/Guelph"," 126","Guelph",36,76,72,0,1,1,14,0,200,352
"Guelph/Guelph"," 127","Guelph",30,36,42,1,0,0,7,0,116,363
"Guelph/Guelph"," 128","Guelph",Void/Supprimé,,,,,,,,,
"Guelph/Guelph"," 129","Guelph",61,69,98,0,3,1,26,1,259,407
"Guelph/Guelph"," 130","Guelph",50,21,53,0,0,0,21,0,145,241
"Guelph/Guelph"," 131","Guelph",59,83,92,0,0,0,32,0,266,373
"Guelph/Guelph"," 132","Guelph",76,34,67,1,2,4,37,0,221,356
"Guelph/Guelph"," 133","Guelph",81,62,121,0,0,1,43,0,308,458
"Guelph/Guelph"," 134","Guelph",60,60,91,1,0,1,31,1,245,352
"Guelph/Guelph"," 135","Guelph",122,52,83,1,1,0,29,0,288,259
"Guelph/Guelph"," 136","Guelph",69,46,60,0,4,0,25,1,205,332
"Guelph/Guelph"," 137","Guelph",45,37,94,1,1,1,38,1,218,344
"Guelph/Guelph"," 138","Guelph",69,41,72,2,1,1,29,1,216,372
"Guelph/Guelph"," 139","Guelph",54,26,39,0,2,1,14,0,136,243
"Guelph/Guelph"," 140","Guelph",95,48,76,0,3,1,49,1,273,409
"Guelph/Guelph"," 141","Guelph",Merged with No. 135/Fusionné avec le nº 135,,,,,,,,,246
"Guelph/Guelph"," 142A","Guelph",73,30,46,0,4,1,32,2,188,303
"Guelph/Guelph"," 142B","Guelph",84,21,63,0,2,1,34,2,207,338
"Guelph/Guelph"," 143","Guelph",Void/Supprimé,,,,,,,,,
"Guelph/Guelph"," 144A","Guelph",70,56,84,0,0,0,40,0,250,642
"Guelph/Guelph"," 144B","Guelph",364,164,378,1,1,1,193,0,1102,1122
"Guelph/Guelph"," 145","Guelph",111,45,102,0,4,1,39,0,302,444
"Guelph/Guelph"," 146","Guelph",92,46,112,0,4,0,36,0,290,380
"Guelph/Guelph"," 147","Guelph",84,47,123,1,0,0,41,1,297,397
"Guelph/Guelph"," 148","Guelph",98,46,123,0,1,0,40,3,311,320
"Guelph/Guelph"," 149A","Guelph",74,44,99,0,1,2,38,1,259,282
"Guelph/Guelph"," 149B","Guelph",71,46,101,0,1,1,16,1,237,311
"Guelph/Guelph"," 150","Guelph",50,79,78,0,0,0,27,0,234,381
"Guelph/Guelph"," 151","Guelph",41,51,86,0,1,0,21,0,200,303
"Guelph/Guelph"," 152","Guelph",66,51,87,0,5,0,12,0,221,325
"Guelph/Guelph"," 153","Guelph",67,64,95,0,0,1,27,0,254,382
"Guelph/Guelph"," 154","Guelph",42,84,82,0,13,0,22,1,244,364
"Guelph/Guelph"," 155","Guelph",57,45,82,0,0,0,15,0,199,332
"Guelph/Guelph"," 156","Guelph",56,42,81,0,1,0,26,1,207,283
"Guelph/Guelph"," 157","Guelph",67,61,76,1,4,0,37,3,249,442
"Guelph/Guelph"," 158","Guelph",104,83,143,0,1,0,47,2,380,320
"Guelph/Guelph"," 159","Guelph",85,67,100,0,4,1,39,0,296,486
"Guelph/Guelph"," 160","Guelph",Merged with No. 158/Fusionné avec le nº 158,,,,,,,,,270
"Guelph/Guelph"," 161","Guelph",56,100,122,0,1,1,14,0,294,427
"Guelph/Guelph"," 162","Guelph",78,52,99,0,6,2,20,2,259,426
"Guelph/Guelph"," 163","Guelph",49,70,108,0,1,0,20,0,248,363
"Guelph/Guelph"," 164","Guelph",63,56,93,0,2,1,16,1,232,398
"Guelph/Guelph"," 165","Guelph",59,62,72,0,0,0,33,1,227,379
"Guelph/Guelph"," 166","Guelph",40,66,133,0,6,0,21,1,267,434
"Guelph/Guelph"," 167","Guelph",78,111,175,0,4,1,25,1,395,553
"Guelph/Guelph"," 168","Guelph",Merged with No. 174/Fusionné avec le nº 174,,,,,,,,,208
"Guelph/Guelph"," 169","Guelph",53,80,121,0,2,0,18,1,275,396
"Guelph/Guelph"," 170","Guelph",48,79,122,0,2,0,30,0,281,416
"Guelph/Guelph"," 171","Guelph",56,89,102,0,1,0,28,1,277,433
"Guelph/Guelph"," 172A","Guelph",34,48,78,0,1,0,25,0,186,334
"Guelph/Guelph"," 172B","Guelph",48,59,86,0,0,0,16,0,209,357
"Guelph/Guelph"," 173","Guelph",88,77,120,0,1,2,37,0,325,468
"Guelph/Guelph"," 174","Guelph",95,55,114,1,1,1,42,2,311,316
"Guelph/Guelph"," 175","Guelph",80,63,149,0,3,0,24,1,320,561
"Guelph/Guelph"," 176","Guelph",73,57,113,0,0,0,24,0,267,374
"Guelph/Guelph"," 177","Guelph",45,70,88,0,0,0,12,0,215,318
"Guelph/Guelph"," 178","Guelph",43,73,95,0,2,1,32,0,246,369
"Guelph/Guelph"," 179","Guelph",62,97,129,0,4,0,20,0,312,475
"Guelph/Guelph"," 180","Guelph",51,81,101,0,1,0,16,1,251,341
"Guelph/Guelph"," 181","Guelph",45,52,72,0,1,0,18,0,188,291
"Guelph/Guelph"," 182A","Guelph",20,69,92,0,2,0,12,0,195,306
"Guelph/Guelph"," 182B","Guelph",25,52,65,0,0,0,8,1,151,294
"Guelph/Guelph"," 183","Guelph",31,55,113,0,3,0,19,0,221,376
"Guelph/Guelph"," 184","Guelph",27,67,96,0,2,1,13,0,206,336
"Guelph/Guelph"," 185","Guelph",23,60,80,0,2,0,12,0,177,270
"Guelph/Guelph"," 186","Guelph",43,109,96,1,3,0,11,3,266,431
"Guelph/Guelph"," 187","Guelph",32,137,128,1,2,0,9,0,309,434
"Guelph/Guelph"," 188","Guelph",26,124,142,0,0,0,10,0,302,458
"Guelph/Guelph"," 189","Guelph",51,83,143,0,3,0,23,1,304,470
"Guelph/Guelph"," 190","Guelph",42,76,140,0,2,0,28,1,289,434
"Guelph/Guelph"," 191","Guelph",49,97,110,0,2,0,28,1,287,437
"Guelph/Guelph"," 192","Guelph",46,84,133,0,2,1,21,0,287,480
"Guelph/Guelph"," 193","Guelph",26,99,141,0,2,0,16,0,284,509
"Guelph/Guelph"," 194","Guelph",31,116,154,0,1,1,26,2,331,544
"Guelph/Guelph"," 195A","Guelph",19,79,82,0,0,0,9,0,189,301
"Guelph/Guelph"," 195B","Guelph",23,104,68,0,2,0,3,0,200,324
"Guelph/Guelph"," 195-1","Guelph",16,80,81,0,0,0,8,0,185,331
"Guelph/Guelph"," 195-2","Guelph",43,86,89,0,2,0,18,1,239,429
"Guelph/Guelph"," 196","Guelph",56,81,123,0,3,0,26,0,289,515
"Guelph/Guelph"," 197A","Guelph",49,60,122,0,0,1,27,2,261,410
"Guelph/Guelph"," 197B","Guelph",49,79,99,0,3,0,22,3,255,416
"Guelph/Guelph"," 198A","Guelph",35,113,115,0,0,0,11,1,275,439
"Guelph/Guelph"," 198B","Guelph",47,99,134,0,0,0,15,0,295,446
"Guelph/Guelph"," 198C","Guelph",55,119,95,0,1,0,24,1,295,457
"Guelph/Guelph"," 198-1A","Guelph",39,94,82,0,2,1,13,1,232,406
"Guelph/Guelph"," 198-1B","Guelph",34,93,84,0,1,0,20,0,232,389
"Guelph/Guelph"," 199A","Guelph",36,104,136,0,0,0,22,3,301,481
"Guelph/Guelph"," 199B","Guelph",42,97,117,0,2,0,10,2,270,433
"Guelph/Guelph"," 199C","Guelph",62,81,96,0,1,0,16,1,257,440
"Guelph/Guelph"," 200A","Guelph",36,72,98,0,5,0,11,1,223,421
"Guelph/Guelph"," 200B","Guelph",38,81,108,0,0,1,16,1,245,393
"Guelph/Guelph"," 201A","Guelph",20,120,95,0,0,0,11,1,247,420
"Guelph/Guelph"," 201B","Guelph",27,97,110,0,1,0,6,3,244,422
"Guelph/Guelph"," 500","Mobile poll/Bureau itinérant",17,30,55,0,4,0,3,5,114,164
"Guelph/Guelph"," 501A","Mobile poll/Bureau itinérant",16,54,93,2,5,1,5,10,186,280
"Guelph/Guelph"," 501B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,7
"Guelph/Guelph"," 502","Mobile poll/Bureau itinérant",14,19,42,0,2,1,3,0,81,148
"Guelph/Guelph"," 600","Guelph",69,282,222,0,7,0,24,0,604,
"Guelph/Guelph"," 601","Guelph",118,309,282,0,4,0,51,0,764,
"Guelph/Guelph"," 602","Guelph",111,208,195,0,6,0,56,2,578,
"Guelph/Guelph"," 603","Guelph",39,196,124,0,4,0,20,1,384,
"Guelph/Guelph"," 604","Guelph",63,225,178,0,3,0,28,0,497,
"Guelph/Guelph"," 605","Guelph",96,120,124,0,3,0,29,1,373,
"Guelph/Guelph"," 606","Guelph",56,87,88,0,3,0,36,2,272,
"Guelph/Guelph"," 607","Guelph",83,227,199,0,4,0,25,0,538,
"Guelph/Guelph"," 608","Guelph",37,185,144,0,4,0,16,0,386,
"Guelph/Guelph"," 609","Guelph",120,597,487,0,6,1,52,0,1263,
"Guelph/Guelph"," 610","Guelph",14,153,147,0,0,0,17,0,331,
"Guelph/Guelph",,Group 1/Groupe 1,19,46,42,0,0,0,15,4,126,246
"Guelph/Guelph",,Group 2/Groupe 2,319,763,1007,1,11,4,170,19,2294,
