Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Brown,Peter Bursztyn,Aileen Carroll,Erich Jacoby-Hawkins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Barrie/Barrie"," 30","Barrie",64,45,63,21,0,193,406
"Barrie/Barrie"," 31","Barrie",59,47,61,14,2,183,356
"Barrie/Barrie"," 32","Barrie",65,37,80,19,0,201,361
"Barrie/Barrie"," 33","Barrie",96,33,119,22,1,271,441
"Barrie/Barrie"," 34","Barrie",36,13,77,29,2,157,303
"Barrie/Barrie"," 35","Barrie",96,31,84,20,2,233,448
"Barrie/Barrie"," 36","Barrie",80,24,79,12,1,196,401
"Barrie/Barrie"," 37","Barrie",86,42,91,21,0,240,460
"Barrie/Barrie"," 38","Barrie",68,31,59,25,1,184,388
"Barrie/Barrie"," 39","Barrie",100,27,94,25,0,246,450
"Barrie/Barrie"," 40","Barrie",32,23,43,4,0,102,310
"Barrie/Barrie"," 41","Barrie",37,33,61,9,0,140,269
"Barrie/Barrie"," 42","Barrie",57,18,72,13,1,161,303
"Barrie/Barrie"," 43","Barrie",45,14,55,6,0,120,217
"Barrie/Barrie"," 44","Barrie",41,23,51,7,0,122,313
"Barrie/Barrie"," 45","Barrie",33,22,37,18,0,110,269
"Barrie/Barrie"," 46A","Barrie",38,21,53,15,2,129,349
"Barrie/Barrie"," 46B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,125
"Barrie/Barrie"," 47","Barrie",33,32,72,11,2,150,287
"Barrie/Barrie"," 48","Barrie",36,24,33,15,0,108,277
"Barrie/Barrie"," 49","Barrie",47,31,62,18,0,158,364
"Barrie/Barrie"," 50","Barrie",25,16,34,11,0,86,256
"Barrie/Barrie"," 51","Barrie",49,15,49,9,0,122,235
"Barrie/Barrie"," 52","Barrie",30,22,47,15,0,114,300
"Barrie/Barrie"," 53","Barrie",30,16,44,21,0,111,335
"Barrie/Barrie"," 54","Barrie",Void/Supprimé,,,,,,
"Barrie/Barrie"," 55","Barrie",11,13,24,7,0,55,115
"Barrie/Barrie"," 56","Barrie",26,17,21,12,0,76,216
"Barrie/Barrie"," 57","Barrie",Merged with No. 58/Fusionné avec le nº 58,,,,,,207
"Barrie/Barrie"," 58","Barrie",97,20,130,15,0,262,212
"Barrie/Barrie"," 59","Barrie",97,22,108,11,0,238,433
"Barrie/Barrie"," 60A","Barrie",76,27,90,14,1,208,371
"Barrie/Barrie"," 60B","Barrie",86,42,82,17,1,228,410
"Barrie/Barrie"," 61","Barrie",123,37,68,23,0,251,514
"Barrie/Barrie"," 62A","Barrie",83,28,73,13,0,197,348
"Barrie/Barrie"," 62B","Barrie",90,15,59,12,0,176,339
"Barrie/Barrie"," 63","Barrie",117,31,90,14,0,252,442
"Barrie/Barrie"," 64","Barrie",82,19,80,17,0,198,390
"Barrie/Barrie"," 65","Barrie",92,27,65,11,1,196,367
"Barrie/Barrie"," 66","Barrie",110,16,106,13,0,245,463
"Barrie/Barrie"," 67","Barrie",86,34,89,13,0,222,410
"Barrie/Barrie"," 68","Barrie",65,26,53,14,0,158,341
"Barrie/Barrie"," 69","Barrie",71,13,59,12,0,155,304
"Barrie/Barrie"," 70","Barrie",32,19,51,28,0,130,311
"Barrie/Barrie"," 71","Barrie",95,47,50,12,1,205,474
"Barrie/Barrie"," 72","Barrie",69,20,70,8,0,167,336
"Barrie/Barrie"," 73","Barrie",43,26,57,18,0,144,284
"Barrie/Barrie"," 74","Barrie",88,28,87,21,1,225,361
"Barrie/Barrie"," 75","Barrie",79,24,67,18,1,189,381
"Barrie/Barrie"," 76","Barrie",78,34,87,29,1,229,415
"Barrie/Barrie"," 77","Barrie",46,25,58,23,0,152,303
"Barrie/Barrie"," 78","Barrie",49,21,65,25,1,161,285
"Barrie/Barrie"," 79","Barrie",40,24,70,10,1,145,378
"Barrie/Barrie"," 80","Barrie",58,20,57,7,0,142,280
"Barrie/Barrie"," 81","Barrie",57,21,59,12,1,150,289
"Barrie/Barrie"," 82","Barrie",58,38,58,26,1,181,395
"Barrie/Barrie"," 83","Barrie",31,29,72,10,2,144,331
"Barrie/Barrie"," 84","Barrie",55,17,65,28,1,166,373
"Barrie/Barrie"," 85","Barrie",51,31,84,19,1,186,356
"Barrie/Barrie"," 86","Barrie",102,23,113,9,0,247,348
"Barrie/Barrie"," 87","Barrie",38,29,52,10,0,129,272
"Barrie/Barrie"," 88","Barrie",55,7,94,11,1,168,373
"Barrie/Barrie"," 89","Barrie",104,23,106,5,0,238,431
"Barrie/Barrie"," 90A","Barrie",72,19,77,16,0,184,359
"Barrie/Barrie"," 90B","Barrie",83,14,78,14,0,189,370
"Barrie/Barrie"," 91","Barrie",94,29,86,12,0,221,448
"Barrie/Barrie"," 92","Barrie",66,24,83,16,0,189,412
"Barrie/Barrie"," 93A","Barrie",72,35,73,18,1,199,344
"Barrie/Barrie"," 93B","Barrie",59,23,87,14,1,184,339
"Barrie/Barrie"," 94","Barrie",67,46,92,19,0,224,490
"Barrie/Barrie"," 95","Barrie",67,35,62,19,1,184,354
"Barrie/Barrie"," 96","Barrie",70,24,85,14,1,194,354
"Barrie/Barrie"," 97","Barrie",88,35,89,19,0,231,465
"Barrie/Barrie"," 98","Barrie",42,14,66,10,0,132,265
"Barrie/Barrie"," 99","Barrie",73,19,74,13,0,179,353
"Barrie/Barrie"," 100A","Barrie",51,21,59,12,0,143,308
"Barrie/Barrie"," 100B","Barrie",77,23,57,9,0,166,310
"Barrie/Barrie"," 101","Barrie",85,21,87,19,2,214,401
"Barrie/Barrie"," 102","Barrie",82,15,125,29,2,253,455
"Barrie/Barrie"," 103","Barrie",69,28,85,24,1,207,357
"Barrie/Barrie"," 104","Barrie",72,24,74,12,3,185,324
"Barrie/Barrie"," 105","Barrie",41,48,54,24,0,167,305
"Barrie/Barrie"," 106","Barrie",78,29,84,11,1,203,327
"Barrie/Barrie"," 107","Barrie",85,27,91,7,1,211,353
"Barrie/Barrie"," 108","Barrie",76,36,84,13,0,209,419
"Barrie/Barrie"," 109","Barrie",97,47,92,21,0,257,463
"Barrie/Barrie"," 110","Barrie",79,23,88,10,0,200,405
"Barrie/Barrie"," 111","Barrie",80,25,113,30,1,249,459
"Barrie/Barrie"," 112","Barrie",76,26,89,19,1,211,367
"Barrie/Barrie"," 113","Barrie",75,22,104,25,1,227,369
"Barrie/Barrie"," 114","Barrie",84,22,91,18,3,218,371
"Barrie/Barrie"," 115","Barrie",66,25,83,25,1,200,409
"Barrie/Barrie"," 116","Barrie",52,37,126,28,0,243,400
"Barrie/Barrie"," 117","Barrie",71,20,100,19,0,210,390
"Barrie/Barrie"," 118","Barrie",75,31,110,27,3,246,431
"Barrie/Barrie"," 119","Barrie",33,18,63,9,2,125,240
"Barrie/Barrie"," 120","Barrie",74,22,95,11,0,202,368
"Barrie/Barrie"," 121","Barrie",58,23,74,8,2,165,299
"Barrie/Barrie"," 122","Barrie",81,23,87,7,1,199,320
"Barrie/Barrie"," 123","Barrie",62,27,116,19,0,224,402
"Barrie/Barrie"," 124","Barrie",51,26,64,15,0,156,385
"Barrie/Barrie"," 125","Barrie",41,19,45,11,0,116,316
"Barrie/Barrie"," 126","Barrie",85,39,72,31,0,227,441
"Barrie/Barrie"," 127","Barrie",64,45,78,28,0,215,407
"Barrie/Barrie"," 128A","Barrie",72,13,58,5,1,149,169
"Barrie/Barrie"," 128B","Mobile poll/Bureau itinérant",Merged with No. 503B/Fusionné avec le nº 503B,,,,,,131
"Barrie/Barrie"," 129","Barrie",72,38,97,26,0,233,499
"Barrie/Barrie"," 130","Barrie",81,20,128,20,2,251,416
"Barrie/Barrie"," 131","Barrie",85,27,78,14,0,204,375
"Barrie/Barrie"," 132","Barrie",68,12,92,6,1,179,366
"Barrie/Barrie"," 133","Barrie",55,22,83,14,0,174,344
"Barrie/Barrie"," 134","Barrie",64,21,88,16,2,191,389
"Barrie/Barrie"," 135","Barrie",58,16,80,11,0,165,346
"Barrie/Barrie"," 136","Barrie",94,25,84,10,0,213,404
"Barrie/Barrie"," 137","Barrie",61,12,66,13,0,152,262
"Barrie/Barrie"," 138","Barrie",112,27,114,15,1,269,455
"Barrie/Barrie"," 139","Barrie",80,14,85,19,0,198,397
"Barrie/Barrie"," 140","Barrie",39,24,47,8,3,121,317
"Barrie/Barrie"," 141","Barrie",76,25,103,14,0,218,390
"Barrie/Barrie"," 142","Barrie",112,36,98,17,0,263,415
"Barrie/Barrie"," 143","Barrie",108,25,97,10,1,241,397
"Barrie/Barrie"," 144","Barrie",106,43,80,16,0,245,407
"Barrie/Barrie"," 145","Barrie",91,35,89,18,2,235,401
"Barrie/Barrie"," 146","Barrie",90,38,120,14,0,262,429
"Barrie/Barrie"," 147","Barrie",107,37,69,11,1,225,417
"Barrie/Barrie"," 148","Barrie",107,24,78,15,2,226,425
"Barrie/Barrie"," 149","Barrie",96,23,118,16,0,253,411
"Barrie/Barrie"," 150A","Barrie",84,16,62,7,0,169,306
"Barrie/Barrie"," 150B","Barrie",95,23,45,12,0,175,318
"Barrie/Barrie"," 150C","Barrie",89,15,46,4,1,155,302
"Barrie/Barrie"," 151A","Barrie",86,17,67,5,1,176,326
"Barrie/Barrie"," 151B","Barrie",91,18,72,3,0,184,333
"Barrie/Barrie"," 152","Barrie",126,11,104,20,0,261,462
"Barrie/Barrie"," 153","Barrie",82,35,75,24,0,216,451
"Barrie/Barrie"," 154","Barrie",102,18,77,12,1,210,404
"Barrie/Barrie"," 155","Barrie",131,15,96,19,1,262,459
"Barrie/Barrie"," 156","Barrie",89,16,90,18,3,216,415
"Barrie/Barrie"," 157","Barrie",59,28,67,19,2,175,400
"Barrie/Barrie"," 158","Barrie",76,37,64,19,0,196,426
"Barrie/Barrie"," 159","Barrie",119,21,100,12,2,254,445
"Barrie/Barrie"," 160","Barrie",109,35,73,14,0,231,421
"Barrie/Barrie"," 161","Barrie",103,34,89,12,0,238,400
"Barrie/Barrie"," 162","Barrie",76,24,67,10,0,177,310
"Barrie/Barrie"," 163","Barrie",107,28,58,8,1,202,364
"Barrie/Barrie"," 164","Barrie",59,13,38,18,0,128,268
"Barrie/Barrie"," 165","Barrie",97,38,83,15,2,235,411
"Barrie/Barrie"," 166","Barrie",52,32,61,11,0,156,325
"Barrie/Barrie"," 167","Barrie",77,31,80,13,1,202,395
"Barrie/Barrie"," 168","Barrie",92,19,57,10,1,179,338
"Barrie/Barrie"," 169","Barrie",106,43,80,12,0,241,394
"Barrie/Barrie"," 170","Barrie",55,46,51,16,0,168,366
"Barrie/Barrie"," 171","Barrie",103,37,60,6,0,206,412
"Barrie/Barrie"," 172","Barrie",93,23,74,24,1,215,382
"Barrie/Barrie"," 173","Barrie",80,33,51,9,0,173,359
"Barrie/Barrie"," 174","Barrie",76,42,53,11,0,182,370
"Barrie/Barrie"," 175","Barrie",103,16,72,10,2,203,403
"Barrie/Barrie"," 176","Barrie",76,29,35,8,0,148,296
"Barrie/Barrie"," 177","Barrie",93,22,74,14,1,204,353
"Barrie/Barrie"," 178","Barrie",71,35,72,12,0,190,333
"Barrie/Barrie"," 179","Barrie",90,22,83,9,0,204,346
"Barrie/Barrie"," 180","Barrie",63,19,58,5,1,146,418
"Barrie/Barrie"," 181","Barrie",58,18,60,17,0,153,312
"Barrie/Barrie"," 182A","Barrie",103,23,48,12,0,186,368
"Barrie/Barrie"," 182B","Barrie",90,14,65,9,0,178,380
"Barrie/Barrie"," 183A","Barrie",68,22,73,12,0,175,313
"Barrie/Barrie"," 183B","Barrie",63,23,63,8,0,157,279
"Barrie/Barrie"," 183C","Barrie",60,35,39,17,0,151,296
"Barrie/Barrie"," 184","Barrie",64,31,64,5,0,164,321
"Barrie/Barrie"," 185","Barrie",68,38,51,17,1,175,335
"Barrie/Barrie"," 186","Barrie",75,24,68,17,1,185,307
"Barrie/Barrie"," 187","Barrie",96,41,71,16,0,224,461
"Barrie/Barrie"," 188","Barrie",106,25,79,25,0,235,420
"Barrie/Barrie"," 189","Barrie",71,33,65,20,0,189,362
"Barrie/Barrie"," 190","Barrie",72,16,92,11,0,191,369
"Barrie/Barrie"," 191","Barrie",207,12,112,8,3,342,494
"Barrie/Barrie"," 192","Barrie",70,33,87,15,0,205,359
"Barrie/Barrie"," 193","Barrie",45,25,56,12,0,138,331
"Barrie/Barrie"," 194","Barrie",84,24,86,9,1,204,329
"Barrie/Barrie"," 195","Barrie",152,21,100,11,1,285,525
"Barrie/Barrie"," 196","Barrie",77,11,65,12,0,165,284
"Barrie/Barrie"," 197","Barrie",116,22,98,12,0,248,374
"Barrie/Barrie"," 198","Barrie",70,25,74,16,0,185,365
"Barrie/Barrie"," 199","Barrie",117,30,113,13,1,274,408
"Barrie/Barrie"," 200","Barrie",141,25,95,7,0,268,412
"Barrie/Barrie"," 201","Barrie",116,17,120,19,0,272,443
"Barrie/Barrie"," 202","Barrie",90,19,94,25,3,231,375
"Barrie/Barrie"," 203","Barrie",115,30,73,13,1,232,403
"Barrie/Barrie"," 204","Barrie",81,27,59,10,0,177,286
"Barrie/Barrie"," 205","Barrie",77,24,77,9,0,187,317
"Barrie/Barrie"," 206A","Barrie",68,21,44,14,0,147,242
"Barrie/Barrie"," 206B","Barrie",70,12,73,12,2,169,273
"Barrie/Barrie"," 207","Barrie",112,28,73,8,0,221,411
"Barrie/Barrie"," 208A","Barrie",58,15,69,12,0,154,258
"Barrie/Barrie"," 208B","Barrie",53,15,69,5,0,142,282
"Barrie/Barrie"," 209A","Barrie",82,24,75,9,0,190,333
"Barrie/Barrie"," 209B","Barrie",85,17,73,7,1,183,351
"Barrie/Barrie"," 209C","Barrie",108,37,61,14,0,220,374
"Barrie/Barrie"," 209D","Barrie",102,21,80,9,0,212,385
"Barrie/Barrie"," 209E","Barrie",97,29,77,11,1,215,371
"Barrie/Barrie"," 209F","Barrie",63,20,84,5,2,174,335
"Barrie/Barrie"," 210","Barrie",75,25,72,9,0,181,272
"Barrie/Barrie"," 211","Barrie",59,30,70,19,1,179,281
"Barrie/Barrie"," 212A","Barrie",91,20,83,10,2,206,400
"Barrie/Barrie"," 212B","Barrie",92,14,79,9,0,194,379
"Barrie/Barrie"," 213A","Barrie",106,20,98,12,0,236,388
"Barrie/Barrie"," 213B","Barrie",113,30,74,13,2,232,384
"Barrie/Barrie"," 213C","Barrie",99,26,88,11,1,225,397
"Barrie/Barrie"," 213D","Barrie",84,21,56,9,2,172,272
"Barrie/Barrie"," 400","Barrie",56,8,56,4,0,124,187
"Barrie/Barrie"," 500A","Mobile poll/Bureau itinérant",59,16,57,3,2,137,253
"Barrie/Barrie"," 500B","Mobile poll/Bureau itinérant",28,6,26,4,0,64,24
"Barrie/Barrie"," 501A","Mobile poll/Bureau itinérant",40,5,48,3,5,101,147
"Barrie/Barrie"," 501B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,33
"Barrie/Barrie"," 502A","Mobile poll/Bureau itinérant",29,11,27,2,0,69,94
"Barrie/Barrie"," 502B","Mobile poll/Bureau itinérant",31,6,21,1,0,59,104
"Barrie/Barrie"," 503A","Mobile poll/Bureau itinérant",11,2,13,2,2,30,144
"Barrie/Barrie"," 503B","Mobile poll/Bureau itinérant",34,7,21,2,0,64,59
"Barrie/Barrie"," 504A","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,42
"Barrie/Barrie"," 504B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,20
"Barrie/Barrie"," 600","Barrie",384,59,263,33,2,741,
"Barrie/Barrie"," 601","Barrie",447,69,404,52,2,974,
"Barrie/Barrie"," 602","Barrie",191,43,188,35,3,460,
"Barrie/Barrie"," 603","Barrie",592,68,389,51,4,1104,
"Barrie/Barrie"," 604","Barrie",485,70,426,49,4,1034,
"Barrie/Barrie"," 605","Barrie",353,65,402,57,6,883,
"Barrie/Barrie"," 606","Barrie",518,101,390,52,4,1065,
"Barrie/Barrie"," 607","Barrie",562,72,273,39,2,948,
"Barrie/Barrie"," 608","Barrie",395,67,200,20,1,683,
"Barrie/Barrie"," 609","Barrie",586,104,408,50,5,1153,
"Barrie/Barrie",,Group 1/Groupe 1,72,11,46,2,3,134,297
"Barrie/Barrie",,Group 2/Groupe 2,813,128,682,84,2,1709,
