Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Askew,Marc Boyer,Betty Krawczyk,Stephen Owen,Stephen Rogers,Ben West,Donovan Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver Quadra/Vancouver Quadra"," 38","Vancouver",97,2,3,95,52,20,0,1,270,372
"Vancouver Quadra/Vancouver Quadra"," 39","Vancouver",36,0,1,112,52,15,0,0,216,394
"Vancouver Quadra/Vancouver Quadra"," 40","Vancouver",54,0,2,102,58,24,0,1,241,396
"Vancouver Quadra/Vancouver Quadra"," 41","Vancouver",24,0,4,108,48,12,0,0,196,331
"Vancouver Quadra/Vancouver Quadra"," 42","Vancouver",79,0,2,168,49,30,0,0,328,560
"Vancouver Quadra/Vancouver Quadra"," 43","Vancouver",79,0,4,145,38,19,0,2,287,460
"Vancouver Quadra/Vancouver Quadra"," 44","Vancouver",55,2,0,143,51,25,0,0,276,470
"Vancouver Quadra/Vancouver Quadra"," 45","Vancouver",63,0,3,124,52,14,0,0,256,451
"Vancouver Quadra/Vancouver Quadra"," 46","Vancouver",59,1,0,94,38,21,0,2,215,347
"Vancouver Quadra/Vancouver Quadra"," 47","Vancouver",99,1,2,92,58,19,0,1,272,404
"Vancouver Quadra/Vancouver Quadra"," 48","Vancouver",55,0,1,113,46,7,0,0,222,344
"Vancouver Quadra/Vancouver Quadra"," 49","Vancouver",46,1,1,119,31,12,0,0,210,333
"Vancouver Quadra/Vancouver Quadra"," 50","Vancouver",62,0,1,120,31,11,1,0,226,349
"Vancouver Quadra/Vancouver Quadra"," 51","Vancouver",54,1,0,131,40,14,1,0,241,384
"Vancouver Quadra/Vancouver Quadra"," 52","Vancouver",54,1,1,92,44,22,0,0,214,347
"Vancouver Quadra/Vancouver Quadra"," 53","Vancouver",52,0,2,107,34,25,1,0,221,365
"Vancouver Quadra/Vancouver Quadra"," 54","Vancouver",62,1,0,130,37,22,0,0,252,412
"Vancouver Quadra/Vancouver Quadra"," 55","Vancouver",87,0,4,171,57,23,1,0,343,566
"Vancouver Quadra/Vancouver Quadra"," 56","Vancouver",71,1,3,90,33,20,1,0,219,376
"Vancouver Quadra/Vancouver Quadra"," 57","Vancouver",91,2,3,157,70,32,0,0,355,569
"Vancouver Quadra/Vancouver Quadra"," 58","Vancouver",39,0,2,106,49,12,1,0,209,332
"Vancouver Quadra/Vancouver Quadra"," 59","Vancouver",34,1,1,113,50,15,0,0,214,342
"Vancouver Quadra/Vancouver Quadra"," 60","Vancouver",37,1,1,119,72,13,0,1,244,443
"Vancouver Quadra/Vancouver Quadra"," 61","Vancouver",38,1,1,107,45,12,0,1,205,380
"Vancouver Quadra/Vancouver Quadra"," 62","Vancouver",41,0,1,112,36,19,0,0,209,418
"Vancouver Quadra/Vancouver Quadra"," 63","Vancouver",38,2,0,96,29,10,0,0,175,348
"Vancouver Quadra/Vancouver Quadra"," 64","Vancouver",73,0,1,157,49,20,0,0,300,480
"Vancouver Quadra/Vancouver Quadra"," 65","Vancouver",81,1,2,151,39,32,0,1,307,512
"Vancouver Quadra/Vancouver Quadra"," 66","Vancouver",45,2,2,134,41,10,0,0,234,411
"Vancouver Quadra/Vancouver Quadra"," 67","Vancouver",68,1,0,99,37,15,0,0,220,376
"Vancouver Quadra/Vancouver Quadra"," 68","Vancouver",57,1,0,100,53,10,0,0,221,353
"Vancouver Quadra/Vancouver Quadra"," 69","Vancouver",51,0,4,132,55,17,0,1,260,435
"Vancouver Quadra/Vancouver Quadra"," 70","Vancouver",51,1,0,129,37,15,0,1,234,393
"Vancouver Quadra/Vancouver Quadra"," 71","Vancouver",62,0,2,94,24,17,0,1,200,349
"Vancouver Quadra/Vancouver Quadra"," 72","Vancouver",57,0,0,120,32,17,0,0,226,382
"Vancouver Quadra/Vancouver Quadra"," 73","Vancouver",68,2,0,98,35,20,0,0,223,378
"Vancouver Quadra/Vancouver Quadra"," 74","Vancouver",72,0,0,102,26,25,0,0,225,356
"Vancouver Quadra/Vancouver Quadra"," 75","Vancouver",67,2,2,105,31,18,0,1,226,359
"Vancouver Quadra/Vancouver Quadra"," 76","Vancouver",64,1,1,97,35,14,0,2,214,374
"Vancouver Quadra/Vancouver Quadra"," 77","Vancouver",61,2,2,82,22,9,0,2,180,299
"Vancouver Quadra/Vancouver Quadra"," 78","Vancouver",77,0,3,127,32,16,0,0,255,434
"Vancouver Quadra/Vancouver Quadra"," 79","Vancouver",76,3,5,139,33,20,0,0,276,415
"Vancouver Quadra/Vancouver Quadra"," 80","Vancouver",67,1,1,132,37,26,0,0,264,424
"Vancouver Quadra/Vancouver Quadra"," 81","Vancouver",98,1,4,132,39,23,0,2,299,498
"Vancouver Quadra/Vancouver Quadra"," 82","Vancouver",87,0,0,117,47,10,1,0,262,432
"Vancouver Quadra/Vancouver Quadra"," 83","Vancouver",78,1,0,96,56,20,0,1,252,422
"Vancouver Quadra/Vancouver Quadra"," 84","Vancouver",81,1,1,152,50,14,0,1,300,501
"Vancouver Quadra/Vancouver Quadra"," 85","Vancouver",74,1,2,135,54,27,0,0,293,479
"Vancouver Quadra/Vancouver Quadra"," 86","Vancouver",56,0,2,94,45,11,0,0,208,353
"Vancouver Quadra/Vancouver Quadra"," 87A","Vancouver",35,0,1,116,71,8,0,2,233,371
"Vancouver Quadra/Vancouver Quadra"," 87B","Vancouver",44,0,1,115,55,4,0,0,219,344
"Vancouver Quadra/Vancouver Quadra"," 88A","Vancouver",35,0,1,125,41,7,0,0,209,339
"Vancouver Quadra/Vancouver Quadra"," 88B","Vancouver",27,2,0,103,41,8,0,0,181,304
"Vancouver Quadra/Vancouver Quadra"," 89","Vancouver",43,0,1,133,55,17,0,2,251,417
"Vancouver Quadra/Vancouver Quadra"," 90","Vancouver",79,1,2,143,63,28,0,0,316,479
"Vancouver Quadra/Vancouver Quadra"," 91","Vancouver",67,0,0,124,78,19,0,1,289,443
"Vancouver Quadra/Vancouver Quadra"," 92","Vancouver",78,0,4,131,55,15,1,0,284,458
"Vancouver Quadra/Vancouver Quadra"," 93","Vancouver",76,1,1,157,74,19,2,1,331,526
"Vancouver Quadra/Vancouver Quadra"," 94","Vancouver",59,1,1,155,56,20,0,0,292,455
"Vancouver Quadra/Vancouver Quadra"," 95","Vancouver",42,0,1,130,64,13,0,0,250,390
"Vancouver Quadra/Vancouver Quadra"," 96","Vancouver",48,1,0,159,88,15,2,5,318,526
"Vancouver Quadra/Vancouver Quadra"," 97","Vancouver",61,0,2,160,67,24,0,0,314,450
"Vancouver Quadra/Vancouver Quadra"," 98","Vancouver",69,1,0,151,71,17,0,0,309,466
"Vancouver Quadra/Vancouver Quadra"," 99","Vancouver",47,2,1,165,72,14,0,0,301,442
"Vancouver Quadra/Vancouver Quadra"," 100","Vancouver",52,1,2,108,43,20,0,0,226,374
"Vancouver Quadra/Vancouver Quadra"," 101","Vancouver",25,0,0,53,34,5,0,0,117,223
"Vancouver Quadra/Vancouver Quadra"," 102","Vancouver",35,0,2,83,35,10,0,0,165,280
"Vancouver Quadra/Vancouver Quadra"," 103","Vancouver",59,1,1,142,55,14,0,0,272,456
"Vancouver Quadra/Vancouver Quadra"," 104","Vancouver",50,1,0,152,68,10,0,0,281,445
"Vancouver Quadra/Vancouver Quadra"," 105","Vancouver",54,0,3,146,67,20,0,1,291,432
"Vancouver Quadra/Vancouver Quadra"," 106","Vancouver",40,1,1,140,79,14,0,0,275,413
"Vancouver Quadra/Vancouver Quadra"," 107","Vancouver",29,0,0,114,94,7,0,0,244,447
"Vancouver Quadra/Vancouver Quadra"," 108","Vancouver",38,3,1,131,77,19,0,0,269,454
"Vancouver Quadra/Vancouver Quadra"," 109","Vancouver",39,1,0,132,67,25,0,0,264,437
"Vancouver Quadra/Vancouver Quadra"," 110","Vancouver",42,1,1,138,105,12,0,0,299,473
"Vancouver Quadra/Vancouver Quadra"," 111","Vancouver",25,1,2,119,47,8,0,0,202,378
"Vancouver Quadra/Vancouver Quadra"," 112","Vancouver",40,0,4,165,92,15,0,0,316,509
"Vancouver Quadra/Vancouver Quadra"," 113","Vancouver",42,0,0,138,78,10,0,1,269,448
"Vancouver Quadra/Vancouver Quadra"," 114","Vancouver",34,0,0,131,101,13,0,1,280,448
"Vancouver Quadra/Vancouver Quadra"," 115","Vancouver",18,0,0,133,124,8,0,0,283,442
"Vancouver Quadra/Vancouver Quadra"," 116","Vancouver",27,0,1,139,83,15,0,0,265,426
"Vancouver Quadra/Vancouver Quadra"," 117","Vancouver",11,0,1,130,75,8,0,0,225,378
"Vancouver Quadra/Vancouver Quadra"," 118","Vancouver",20,2,0,124,112,15,0,0,273,421
"Vancouver Quadra/Vancouver Quadra"," 119","Vancouver",32,0,2,139,84,13,0,0,270,430
"Vancouver Quadra/Vancouver Quadra"," 120","Vancouver",27,0,0,116,62,10,0,2,217,367
"Vancouver Quadra/Vancouver Quadra"," 121","Vancouver",39,1,0,130,118,17,0,1,306,482
"Vancouver Quadra/Vancouver Quadra"," 122","Vancouver",31,2,1,168,65,10,1,0,278,489
"Vancouver Quadra/Vancouver Quadra"," 123","Vancouver",33,3,1,144,67,5,0,3,256,478
"Vancouver Quadra/Vancouver Quadra"," 124","Vancouver",14,1,0,119,72,2,0,1,209,427
"Vancouver Quadra/Vancouver Quadra"," 125","Vancouver",17,4,5,114,100,3,0,1,244,439
"Vancouver Quadra/Vancouver Quadra"," 126","Vancouver",25,2,0,123,75,6,0,0,231,371
"Vancouver Quadra/Vancouver Quadra"," 127","Vancouver",34,1,2,139,75,6,0,2,259,459
"Vancouver Quadra/Vancouver Quadra"," 128","Vancouver",30,2,0,130,80,2,0,0,244,482
"Vancouver Quadra/Vancouver Quadra"," 129","Vancouver",31,2,2,121,93,9,0,1,259,437
"Vancouver Quadra/Vancouver Quadra"," 130","Vancouver",40,1,2,144,89,9,0,1,286,450
"Vancouver Quadra/Vancouver Quadra"," 131","Vancouver",14,1,1,130,70,3,0,1,220,410
"Vancouver Quadra/Vancouver Quadra"," 132","Vancouver",22,1,0,133,106,14,0,0,276,433
"Vancouver Quadra/Vancouver Quadra"," 133","Vancouver",23,1,1,131,97,10,1,0,264,453
"Vancouver Quadra/Vancouver Quadra"," 134","Vancouver",40,1,2,141,85,9,0,0,278,440
"Vancouver Quadra/Vancouver Quadra"," 135","Vancouver",25,0,2,143,116,9,0,0,295,507
"Vancouver Quadra/Vancouver Quadra"," 136","Vancouver",24,0,0,113,78,4,1,0,220,383
"Vancouver Quadra/Vancouver Quadra"," 137","Vancouver",21,0,0,143,110,8,0,1,283,497
"Vancouver Quadra/Vancouver Quadra"," 138","Vancouver",32,0,2,154,96,19,0,0,303,513
"Vancouver Quadra/Vancouver Quadra"," 139","Vancouver",28,0,0,136,72,11,0,0,247,440
"Vancouver Quadra/Vancouver Quadra"," 140","Vancouver",38,0,1,138,70,13,0,0,260,459
"Vancouver Quadra/Vancouver Quadra"," 141","Vancouver",32,1,2,125,119,6,0,1,286,455
"Vancouver Quadra/Vancouver Quadra"," 142","Vancouver",23,0,1,118,82,7,0,1,232,465
"Vancouver Quadra/Vancouver Quadra"," 143","Vancouver",21,2,0,91,57,9,0,1,181,310
"Vancouver Quadra/Vancouver Quadra"," 144","Vancouver",10,1,0,88,90,6,0,1,196,361
"Vancouver Quadra/Vancouver Quadra"," 145","Vancouver",14,0,1,74,70,11,0,1,171,365
"Vancouver Quadra/Vancouver Quadra"," 146","Vancouver",70,1,2,137,38,15,1,0,264,479
"Vancouver Quadra/Vancouver Quadra"," 147","Vancouver",12,0,0,108,89,8,0,0,217,387
"Vancouver Quadra/Vancouver Quadra"," 148","Vancouver",14,0,1,56,43,4,0,0,118,246
"Vancouver Quadra/Vancouver Quadra"," 149","Vancouver",28,1,2,162,94,5,1,0,293,534
"Vancouver Quadra/Vancouver Quadra"," 150","Vancouver",15,1,2,113,85,7,0,0,223,374
"Vancouver Quadra/Vancouver Quadra"," 151","Vancouver",8,0,1,120,105,6,0,0,240,381
"Vancouver Quadra/Vancouver Quadra"," 152","Vancouver",11,1,0,121,92,8,0,1,234,425
"Vancouver Quadra/Vancouver Quadra"," 153A","Vancouver",8,1,0,72,46,5,0,0,132,270
"Vancouver Quadra/Vancouver Quadra"," 153B","Vancouver",10,0,1,66,36,4,0,0,117,263
"Vancouver Quadra/Vancouver Quadra"," 154","Vancouver",10,0,2,122,94,6,0,0,234,409
"Vancouver Quadra/Vancouver Quadra"," 155","Vancouver",16,0,0,101,101,5,0,1,224,460
"Vancouver Quadra/Vancouver Quadra"," 156","Vancouver",19,0,0,78,66,10,0,0,173,319
"Vancouver Quadra/Vancouver Quadra"," 157","Vancouver",13,1,1,64,38,9,1,1,128,282
"Vancouver Quadra/Vancouver Quadra"," 158","Vancouver",23,0,1,104,61,6,0,0,195,330
"Vancouver Quadra/Vancouver Quadra"," 159","Vancouver",35,1,0,118,89,12,0,0,255,468
"Vancouver Quadra/Vancouver Quadra"," 160","Vancouver",24,0,1,84,60,4,0,0,173,296
"Vancouver Quadra/Vancouver Quadra"," 161","Vancouver",35,1,1,79,59,9,0,0,184,415
"Vancouver Quadra/Vancouver Quadra"," 162","Vancouver",6,0,0,148,79,14,0,0,247,434
"Vancouver Quadra/Vancouver Quadra"," 163","Vancouver",10,2,1,91,98,5,0,1,208,397
"Vancouver Quadra/Vancouver Quadra"," 164","Vancouver",7,0,1,113,101,5,0,1,228,428
"Vancouver Quadra/Vancouver Quadra"," 165","Vancouver",19,0,1,133,87,6,0,0,246,467
"Vancouver Quadra/Vancouver Quadra"," 166","Vancouver",7,0,1,76,47,4,0,1,136,272
"Vancouver Quadra/Vancouver Quadra"," 167","Vancouver",10,0,0,60,55,4,1,1,131,319
"Vancouver Quadra/Vancouver Quadra"," 168","Musqueam 2",22,0,1,41,68,6,0,1,139,289
"Vancouver Quadra/Vancouver Quadra"," 169","Musqueam 2",29,0,1,128,96,6,0,0,260,415
"Vancouver Quadra/Vancouver Quadra"," 170","Musqueam 2",42,0,3,86,8,1,1,0,141,307
"Vancouver Quadra/Vancouver Quadra"," 171","Vancouver",21,0,0,121,72,7,0,0,221,413
"Vancouver Quadra/Vancouver Quadra"," 172","Vancouver",19,0,1,119,125,16,0,0,280,404
"Vancouver Quadra/Vancouver Quadra"," 173","Vancouver",21,0,2,152,128,11,0,2,316,511
"Vancouver Quadra/Vancouver Quadra"," 174","Vancouver",13,2,0,88,76,12,0,0,191,317
"Vancouver Quadra/Vancouver Quadra"," 175","Vancouver",21,0,1,117,94,11,0,0,244,391
"Vancouver Quadra/Vancouver Quadra"," 176","Vancouver",21,2,1,137,94,16,0,0,271,462
"Vancouver Quadra/Vancouver Quadra"," 177","Vancouver",8,0,3,133,138,10,0,0,292,503
"Vancouver Quadra/Vancouver Quadra"," 178","Vancouver",31,0,1,132,93,13,0,0,270,461
"Vancouver Quadra/Vancouver Quadra"," 179","Vancouver",26,0,0,111,83,11,1,1,233,487
"Vancouver Quadra/Vancouver Quadra"," 180","Vancouver",29,1,1,101,74,8,0,0,214,360
"Vancouver Quadra/Vancouver Quadra"," 181","Vancouver",46,1,0,91,68,16,1,0,223,406
"Vancouver Quadra/Vancouver Quadra"," 182","Vancouver",27,1,1,121,69,8,0,0,227,411
"Vancouver Quadra/Vancouver Quadra"," 183","Vancouver",39,1,1,94,61,12,0,0,208,366
"Vancouver Quadra/Vancouver Quadra"," 184","Vancouver",27,0,0,144,65,18,0,2,256,481
"Vancouver Quadra/Vancouver Quadra"," 185","Vancouver",7,0,0,76,87,15,0,0,185,325
"Vancouver Quadra/Vancouver Quadra"," 186","Vancouver",9,0,0,92,120,9,0,0,230,441
"Vancouver Quadra/Vancouver Quadra"," 187","Vancouver",11,0,2,133,115,10,0,0,271,475
"Vancouver Quadra/Vancouver Quadra"," 188","Vancouver",25,0,0,148,103,18,0,0,294,512
"Vancouver Quadra/Vancouver Quadra"," 189","Vancouver",21,0,0,129,80,5,0,0,235,389
"Vancouver Quadra/Vancouver Quadra"," 190","Vancouver",7,0,1,92,69,3,0,0,172,288
"Vancouver Quadra/Vancouver Quadra"," 191","Vancouver",30,2,1,155,90,11,0,0,289,486
"Vancouver Quadra/Vancouver Quadra"," 192","Vancouver",23,2,0,126,96,7,0,0,254,452
"Vancouver Quadra/Vancouver Quadra"," 193","Vancouver",14,0,1,113,75,5,0,0,208,390
"Vancouver Quadra/Vancouver Quadra"," 194","Vancouver",33,1,1,121,71,10,0,0,237,455
"Vancouver Quadra/Vancouver Quadra"," 195","Vancouver",12,0,0,109,93,5,0,0,219,475
"Vancouver Quadra/Vancouver Quadra"," 196A","Vancouver",6,1,0,71,50,3,0,0,131,247
"Vancouver Quadra/Vancouver Quadra"," 196B","Vancouver",8,1,1,89,71,2,0,0,172,320
"Vancouver Quadra/Vancouver Quadra"," 197","Vancouver",15,0,0,79,71,8,1,0,174,386
"Vancouver Quadra/Vancouver Quadra"," 198","Vancouver",13,1,1,96,62,2,0,0,175,380
"Vancouver Quadra/Vancouver Quadra"," 199","Vancouver",14,2,0,142,104,3,1,0,266,458
"Vancouver Quadra/Vancouver Quadra"," 200","Vancouver",26,0,1,140,105,14,1,0,287,531
"Vancouver Quadra/Vancouver Quadra"," 201A","Vancouver",18,2,0,72,36,7,0,0,135,263
"Vancouver Quadra/Vancouver Quadra"," 201B","Vancouver",28,0,0,101,56,3,0,0,188,321
"Vancouver Quadra/Vancouver Quadra"," 202","Vancouver",64,0,1,84,45,9,0,3,206,423
"Vancouver Quadra/Vancouver Quadra"," 203","Vancouver",42,0,1,77,49,12,0,0,181,357
"Vancouver Quadra/Vancouver Quadra"," 400","University Endowment Lands",51,0,0,75,26,23,0,1,176,176
"Vancouver Quadra/Vancouver Quadra"," 401","University Endowment Lands",52,0,0,55,27,14,0,0,148,155
"Vancouver Quadra/Vancouver Quadra"," 402","University Endowment Lands",39,0,1,38,23,11,1,0,113,156
"Vancouver Quadra/Vancouver Quadra"," 403","University Endowment Lands",37,0,0,57,23,19,0,0,136,136
"Vancouver Quadra/Vancouver Quadra"," 404","University Endowment Lands",25,1,0,38,21,15,0,0,100,117
"Vancouver Quadra/Vancouver Quadra"," 405","University Endowment Lands",31,2,1,53,16,13,0,1,117,125
"Vancouver Quadra/Vancouver Quadra"," 406","University Endowment Lands",33,1,1,41,16,12,1,0,105,106
"Vancouver Quadra/Vancouver Quadra"," 407","University Endowment Lands",56,0,0,87,38,20,0,2,203,204
"Vancouver Quadra/Vancouver Quadra"," 408","University Endowment Lands",49,1,0,61,28,29,0,0,168,182
"Vancouver Quadra/Vancouver Quadra"," 500","Mobile poll/Bureau itinérant",11,1,0,24,19,0,1,1,57,140
"Vancouver Quadra/Vancouver Quadra"," 501","Mobile poll/Bureau itinérant",16,0,0,18,18,1,1,1,55,74
"Vancouver Quadra/Vancouver Quadra"," 502","Mobile poll/Bureau itinérant",7,1,2,44,34,1,0,3,92,143
"Vancouver Quadra/Vancouver Quadra"," 503","Mobile poll/Bureau itinérant",22,2,0,85,50,2,0,5,166,259
"Vancouver Quadra/Vancouver Quadra"," 504","Mobile poll/Bureau itinérant",33,1,3,60,8,1,1,5,112,166
"Vancouver Quadra/Vancouver Quadra"," 600","Greater Vancouver",45,0,0,195,158,11,0,1,410,
"Vancouver Quadra/Vancouver Quadra"," 601","Vancouver",101,1,1,346,308,25,0,3,785,
"Vancouver Quadra/Vancouver Quadra"," 602","Vancouver",142,0,0,312,162,35,0,0,651,
"Vancouver Quadra/Vancouver Quadra"," 603","Vancouver",161,3,6,404,224,44,0,0,842,
"Vancouver Quadra/Vancouver Quadra"," 604","Vancouver",82,4,5,419,342,29,0,3,884,
"Vancouver Quadra/Vancouver Quadra"," 605","Vancouver",48,0,3,416,292,18,1,2,780,
"Vancouver Quadra/Vancouver Quadra"," 606","Vancouver",23,1,2,335,413,13,0,4,791,
"Vancouver Quadra/Vancouver Quadra"," 607","Vancouver",60,3,6,431,419,34,0,1,954,
"Vancouver Quadra/Vancouver Quadra",,Group 1/Groupe 1,39,2,0,95,49,9,2,3,199,310
"Vancouver Quadra/Vancouver Quadra",,Group 2/Groupe 2,138,0,4,560,402,54,0,5,1163,
