Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Atkins,Brad Bird,Murray Downing,Lisa Gallagher,Bob Senff,Merv Tweed,Mike Volek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brandon--Souris/Brandon--Souris"," 41","North Brandon",0,10,40,0,29,126,5,0,210,336
"Brandon--Souris/Brandon--Souris"," 42","Chater",5,11,26,1,55,113,5,0,216,341
"Brandon--Souris/Brandon--Souris"," 43","Chater",3,8,63,0,70,133,4,0,281,469
"Brandon--Souris/Brandon--Souris"," 44","Roseland",0,5,28,1,34,140,11,0,219,343
"Brandon--Souris/Brandon--Souris"," 45","Brandon Hills",2,8,34,0,34,110,3,0,191,337
"Brandon--Souris/Brandon--Souris"," 46","Chater",Void/Supprimé,,,,,,,,,
"Brandon--Souris/Brandon--Souris"," 47","Brandon",0,2,28,0,35,107,9,1,182,319
"Brandon--Souris/Brandon--Souris"," 48","Brandon",3,11,66,2,86,191,2,1,362,788
"Brandon--Souris/Brandon--Souris"," 49A","Brandon",0,6,30,0,31,77,3,0,147,266
"Brandon--Souris/Brandon--Souris"," 49B","Brandon",2,2,38,0,26,73,3,1,145,284
"Brandon--Souris/Brandon--Souris"," 50","Brandon",2,7,35,1,57,73,2,0,177,347
"Brandon--Souris/Brandon--Souris"," 51A","Brandon",1,11,31,1,46,84,2,1,177,322
"Brandon--Souris/Brandon--Souris"," 51B","Brandon",1,6,38,0,49,80,7,1,182,321
"Brandon--Souris/Brandon--Souris"," 52","Brandon",0,7,38,0,44,83,5,0,177,332
"Brandon--Souris/Brandon--Souris"," 53","Brandon",0,4,23,0,24,36,3,0,90,171
"Brandon--Souris/Brandon--Souris"," 54","Brandon",0,9,39,1,61,50,5,1,166,348
"Brandon--Souris/Brandon--Souris"," 55","Brandon",0,3,31,1,66,46,3,3,153,422
"Brandon--Souris/Brandon--Souris"," 56","Brandon",1,9,39,2,34,110,7,2,204,381
"Brandon--Souris/Brandon--Souris"," 57","Brandon",2,6,35,0,46,81,3,1,174,287
"Brandon--Souris/Brandon--Souris"," 58","Brandon",1,10,61,0,45,134,2,0,253,437
"Brandon--Souris/Brandon--Souris"," 59","Brandon",3,10,42,0,56,72,5,0,188,348
"Brandon--Souris/Brandon--Souris"," 60","Brandon",0,15,35,0,43,68,3,0,164,335
"Brandon--Souris/Brandon--Souris"," 61","Brandon",1,11,34,0,37,87,2,4,176,300
"Brandon--Souris/Brandon--Souris"," 62","Brandon",0,7,47,1,51,92,5,0,203,403
"Brandon--Souris/Brandon--Souris"," 63","Brandon",3,12,63,0,61,112,3,1,255,403
"Brandon--Souris/Brandon--Souris"," 64","Brandon",2,17,46,1,36,103,5,3,213,361
"Brandon--Souris/Brandon--Souris"," 65","Brandon",4,17,43,1,47,89,9,0,210,367
"Brandon--Souris/Brandon--Souris"," 66","Brandon",0,9,49,2,76,100,4,1,241,458
"Brandon--Souris/Brandon--Souris"," 67","Brandon",0,37,53,2,85,95,3,0,275,421
"Brandon--Souris/Brandon--Souris"," 68","Brandon",0,10,44,1,50,127,2,2,236,509
"Brandon--Souris/Brandon--Souris"," 69","Brandon",3,5,41,0,31,132,9,0,221,339
"Brandon--Souris/Brandon--Souris"," 70","Brandon",0,16,54,0,44,132,11,0,257,414
"Brandon--Souris/Brandon--Souris"," 71","Brandon",0,11,43,0,40,106,3,0,203,319
"Brandon--Souris/Brandon--Souris"," 72","Brandon",4,12,47,1,48,95,8,1,216,374
"Brandon--Souris/Brandon--Souris"," 73","Brandon",2,2,13,0,43,51,0,0,111,205
"Brandon--Souris/Brandon--Souris"," 74","Brandon",0,11,29,0,32,83,5,1,161,324
"Brandon--Souris/Brandon--Souris"," 75","Brandon",0,6,47,1,56,68,4,0,182,352
"Brandon--Souris/Brandon--Souris"," 76","Brandon",2,4,39,0,51,71,11,0,178,310
"Brandon--Souris/Brandon--Souris"," 77","Brandon",2,5,36,2,45,63,3,2,158,322
"Brandon--Souris/Brandon--Souris"," 78","Brandon",0,7,36,0,39,89,6,0,177,379
"Brandon--Souris/Brandon--Souris"," 79","Brandon",0,4,54,0,40,102,5,0,205,340
"Brandon--Souris/Brandon--Souris"," 80","Brandon",0,10,31,0,54,110,7,0,212,363
"Brandon--Souris/Brandon--Souris"," 81","Brandon",0,10,54,0,56,104,2,1,227,369
"Brandon--Souris/Brandon--Souris"," 82","Brandon",0,9,44,0,53,73,5,0,184,351
"Brandon--Souris/Brandon--Souris"," 83","Brandon",3,14,53,1,44,125,3,3,246,362
"Brandon--Souris/Brandon--Souris"," 84","Brandon",0,8,41,2,80,96,0,0,227,446
"Brandon--Souris/Brandon--Souris"," 85","Brandon",0,10,66,0,54,116,4,2,252,426
"Brandon--Souris/Brandon--Souris"," 86","Brandon",1,9,26,0,77,108,8,0,229,429
"Brandon--Souris/Brandon--Souris"," 87","Brandon",2,6,34,2,30,68,1,0,143,291
"Brandon--Souris/Brandon--Souris"," 88","Brandon",0,10,36,2,41,52,5,2,148,329
"Brandon--Souris/Brandon--Souris"," 89A","Brandon",0,9,32,0,22,80,4,1,148,252
"Brandon--Souris/Brandon--Souris"," 89B","Brandon",1,2,33,0,36,76,5,0,153,266
"Brandon--Souris/Brandon--Souris"," 90","Brandon",0,8,54,0,62,125,3,1,253,423
"Brandon--Souris/Brandon--Souris"," 91","Brandon",0,9,23,1,56,56,3,1,149,309
"Brandon--Souris/Brandon--Souris"," 92","Brandon",0,9,35,1,66,42,0,0,153,321
"Brandon--Souris/Brandon--Souris"," 93A","Brandon",3,13,29,0,55,35,4,1,140,303
"Brandon--Souris/Brandon--Souris"," 93B","Mobile poll/Bureau itinérant",1,2,9,0,8,6,0,0,26,54
"Brandon--Souris/Brandon--Souris"," 94","Brandon",5,10,25,2,46,54,6,0,148,353
"Brandon--Souris/Brandon--Souris"," 95","Brandon",4,6,27,0,43,57,2,1,140,326
"Brandon--Souris/Brandon--Souris"," 96","Brandon",1,2,37,0,73,74,4,1,192,410
"Brandon--Souris/Brandon--Souris"," 97","Brandon",4,10,38,1,59,95,2,0,209,431
"Brandon--Souris/Brandon--Souris"," 98","Brandon",1,13,44,1,56,84,4,0,203,393
"Brandon--Souris/Brandon--Souris"," 99","Brandon",3,10,36,1,61,92,6,0,209,390
"Brandon--Souris/Brandon--Souris"," 100","Brandon",1,3,32,1,55,89,3,1,185,323
"Brandon--Souris/Brandon--Souris"," 101","Brandon",3,1,37,0,52,94,4,0,191,351
"Brandon--Souris/Brandon--Souris"," 102","Brandon",1,11,50,2,74,104,4,1,247,404
"Brandon--Souris/Brandon--Souris"," 103","Brandon",2,13,42,1,58,90,9,0,215,361
"Brandon--Souris/Brandon--Souris"," 104A","Brandon",4,4,24,0,25,85,3,1,146,275
"Brandon--Souris/Brandon--Souris"," 104B","Brandon",2,4,21,0,23,91,3,0,144,268
"Brandon--Souris/Brandon--Souris"," 105A","Brandon",0,4,25,0,42,49,3,0,123,231
"Brandon--Souris/Brandon--Souris"," 105B","Brandon",0,4,29,0,33,65,0,1,132,260
"Brandon--Souris/Brandon--Souris"," 106","Brandon",0,6,56,0,70,111,3,0,246,407
"Brandon--Souris/Brandon--Souris"," 107","Brandon",1,3,32,2,58,74,6,0,176,429
"Brandon--Souris/Brandon--Souris"," 108A","Brandon",0,13,29,1,49,70,2,0,164,323
"Brandon--Souris/Brandon--Souris"," 108B","Brandon",2,9,32,0,41,57,3,0,144,291
"Brandon--Souris/Brandon--Souris"," 109","Brandon",1,9,32,0,67,72,4,0,185,388
"Brandon--Souris/Brandon--Souris"," 110","Brandon",3,11,49,4,74,66,2,2,211,452
"Brandon--Souris/Brandon--Souris"," 111","Brandon",1,17,40,0,63,41,2,1,165,359
"Brandon--Souris/Brandon--Souris"," 112","Brandon",4,10,59,0,51,41,0,0,165,296
"Brandon--Souris/Brandon--Souris"," 113","Brandon",6,12,31,2,60,52,2,1,166,396
"Brandon--Souris/Brandon--Souris"," 114","Brandon",0,10,18,1,65,55,5,1,155,374
"Brandon--Souris/Brandon--Souris"," 115","Brandon",1,8,33,1,70,78,3,1,195,378
"Brandon--Souris/Brandon--Souris"," 116","Brandon",1,4,36,0,70,62,0,0,173,294
"Brandon--Souris/Brandon--Souris"," 117","Brandon",0,4,31,0,49,47,1,0,132,330
"Brandon--Souris/Brandon--Souris"," 118","Brandon",1,16,40,0,64,84,8,0,213,365
"Brandon--Souris/Brandon--Souris"," 119","Brandon",2,16,29,0,40,33,0,1,121,362
"Brandon--Souris/Brandon--Souris"," 120","Brandon",2,14,27,3,48,51,4,0,149,385
"Brandon--Souris/Brandon--Souris"," 121","Brandon",1,9,29,2,46,64,3,1,155,317
"Brandon--Souris/Brandon--Souris"," 122","Brandon",2,7,62,1,58,148,2,0,280,415
"Brandon--Souris/Brandon--Souris"," 123","Brandon",2,5,36,1,57,73,4,2,180,437
"Brandon--Souris/Brandon--Souris"," 124","Brandon",1,11,38,1,59,108,3,0,221,389
"Brandon--Souris/Brandon--Souris"," 125","Brandon",1,6,24,0,61,61,2,0,155,380
"Brandon--Souris/Brandon--Souris"," 126","Deleau",1,11,24,1,23,150,9,3,222,357
"Brandon--Souris/Brandon--Souris"," 127","Souris",1,5,17,0,30,93,3,1,150,260
"Brandon--Souris/Brandon--Souris"," 128","Souris",2,10,42,2,52,150,5,1,264,417
"Brandon--Souris/Brandon--Souris"," 129","Souris",0,6,25,2,32,88,4,0,157,246
"Brandon--Souris/Brandon--Souris"," 130","Souris",3,10,40,2,35,125,1,0,216,332
"Brandon--Souris/Brandon--Souris"," 131","Carroll",1,7,14,0,35,89,3,0,149,330
"Brandon--Souris/Brandon--Souris"," 132","Nesbitt",2,8,30,0,55,130,5,0,230,410
"Brandon--Souris/Brandon--Souris"," 133","Treesbank",3,9,11,1,19,95,6,1,145,263
"Brandon--Souris/Brandon--Souris"," 134","Wawanesa",1,14,30,1,40,164,5,4,259,422
"Brandon--Souris/Brandon--Souris"," 135","Stockton",2,12,36,0,28,147,8,1,234,415
"Brandon--Souris/Brandon--Souris"," 136","Glenboro",2,7,35,1,34,200,1,1,281,468
"Brandon--Souris/Brandon--Souris"," 137","Stockton",1,14,13,0,20,108,1,3,160,260
"Brandon--Souris/Brandon--Souris"," 138","Ninette",9,17,36,0,30,175,3,5,275,405
"Brandon--Souris/Brandon--Souris"," 139","Belmont",0,6,27,1,15,64,1,0,114,227
"Brandon--Souris/Brandon--Souris"," 140","Belmont",1,4,23,0,15,74,2,2,121,194
"Brandon--Souris/Brandon--Souris"," 141","Baldur",Void/Supprimé,,,,,,,,,
"Brandon--Souris/Brandon--Souris"," 142","Baldur",1,6,27,1,11,106,3,0,155,261
"Brandon--Souris/Brandon--Souris"," 143","Baldur",0,3,32,0,16,115,0,0,166,252
"Brandon--Souris/Brandon--Souris"," 144","Broomhill",0,9,22,0,12,120,4,1,168,252
"Brandon--Souris/Brandon--Souris"," 145","Grande-Clairière",0,14,23,0,18,91,4,0,150,272
"Brandon--Souris/Brandon--Souris"," 146","Argue",0,6,6,0,14,61,1,0,88,121
"Brandon--Souris/Brandon--Souris"," 147","Hartney",2,1,22,2,30,152,1,1,211,330
"Brandon--Souris/Brandon--Souris"," 148","Pierson",0,6,28,1,19,156,0,1,211,346
"Brandon--Souris/Brandon--Souris"," 149","Coulter",0,5,10,1,3,76,3,0,98,247
"Brandon--Souris/Brandon--Souris"," 150","Elva",0,2,9,0,11,73,0,0,95,200
"Brandon--Souris/Brandon--Souris"," 151","Melita",2,14,30,1,29,122,1,1,200,346
"Brandon--Souris/Brandon--Souris"," 152","Melita",0,3,22,0,14,75,0,0,114,205
"Brandon--Souris/Brandon--Souris"," 153","Melita",0,2,19,3,26,87,2,0,139,245
"Brandon--Souris/Brandon--Souris"," 154","Medora",0,5,12,0,14,116,2,0,149,235
"Brandon--Souris/Brandon--Souris"," 155","Waskada",0,14,20,2,9,97,3,0,145,223
"Brandon--Souris/Brandon--Souris"," 156","Elgin",3,3,22,0,13,107,0,1,149,244
"Brandon--Souris/Brandon--Souris"," 157","Minto",1,15,18,0,10,98,3,0,145,239
"Brandon--Souris/Brandon--Souris"," 158","Deloraine",4,7,7,0,10,79,8,2,117,174
"Brandon--Souris/Brandon--Souris"," 159","Deloraine",8,15,19,0,34,187,8,1,272,385
"Brandon--Souris/Brandon--Souris"," 160","Deloraine",3,18,24,0,23,201,5,1,275,361
"Brandon--Souris/Brandon--Souris"," 161","Goodlands",6,25,12,0,12,111,8,0,174,317
"Brandon--Souris/Brandon--Souris"," 162","Whitewater",6,17,18,0,14,151,0,0,206,282
"Brandon--Souris/Brandon--Souris"," 163","Boissevain",0,19,35,0,38,143,1,0,236,355
"Brandon--Souris/Brandon--Souris"," 164","Boissevain",0,15,32,0,35,135,1,1,219,332
"Brandon--Souris/Brandon--Souris"," 165","Boissevain",1,31,43,0,32,134,1,3,245,426
"Brandon--Souris/Brandon--Souris"," 166","Boissevain",1,18,13,0,10,94,0,2,138,204
"Brandon--Souris/Brandon--Souris"," 167A","Ninga",2,4,11,0,5,138,0,0,160,325
"Brandon--Souris/Brandon--Souris"," 167B","Ninga",5,3,16,0,7,138,0,0,169,316
"Brandon--Souris/Brandon--Souris"," 168","Killarney",4,12,35,1,31,182,0,0,265,476
"Brandon--Souris/Brandon--Souris"," 169","Killarney",5,6,16,0,16,179,0,0,222,311
"Brandon--Souris/Brandon--Souris"," 170A","Killarney",0,5,21,1,20,112,1,1,161,265
"Brandon--Souris/Brandon--Souris"," 170B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,,22
"Brandon--Souris/Brandon--Souris"," 171","Killarney",4,5,20,1,12,180,1,0,223,354
"Brandon--Souris/Brandon--Souris"," 172","Killarney",2,8,16,0,23,110,0,0,159,264
"Brandon--Souris/Brandon--Souris"," 173","Holmfield",3,5,2,0,5,98,0,0,113,168
"Brandon--Souris/Brandon--Souris"," 174","Glenora",1,5,9,0,11,61,0,0,87,130
"Brandon--Souris/Brandon--Souris"," 175","Cartwright",0,11,11,0,13,126,0,0,161,354
"Brandon--Souris/Brandon--Souris"," 176","Cartwright",0,6,9,0,17,90,1,0,123,236
"Brandon--Souris/Brandon--Souris"," 177","Mather",0,6,24,0,12,97,2,0,141,244
"Brandon--Souris/Brandon--Souris"," 500","Mobile poll/Bureau itinérant",2,0,21,1,12,27,1,2,66,92
"Brandon--Souris/Brandon--Souris"," 501","Mobile poll/Bureau itinérant",2,3,24,0,14,30,2,0,75,146
"Brandon--Souris/Brandon--Souris"," 502","Mobile poll/Bureau itinérant",0,0,13,3,2,22,1,2,43,73
"Brandon--Souris/Brandon--Souris"," 503","Mobile poll/Bureau itinérant",0,0,10,1,2,25,1,0,39,67
"Brandon--Souris/Brandon--Souris"," 504","Mobile poll/Bureau itinérant",1,2,36,1,14,40,3,3,100,261
"Brandon--Souris/Brandon--Souris"," 505","Mobile poll/Bureau itinérant",0,3,8,0,2,18,0,3,34,63
"Brandon--Souris/Brandon--Souris"," 506","Mobile poll/Bureau itinérant",0,8,15,1,5,41,0,1,71,127
"Brandon--Souris/Brandon--Souris"," 600","Virden",1,10,44,1,25,112,0,0,193,
"Brandon--Souris/Brandon--Souris"," 601","Oak Lake 59",0,2,19,0,13,4,0,1,39,
"Brandon--Souris/Brandon--Souris"," 602","Sioux Valley 58",0,0,11,0,3,5,1,0,20,
"Brandon--Souris/Brandon--Souris"," 603","Brandon--Rivers",0,1,9,0,8,28,0,0,46,
"Brandon--Souris/Brandon--Souris"," 604","Carberry",0,2,21,1,18,57,0,0,99,
"Brandon--Souris/Brandon--Souris"," 605","Brandon--Alexander",5,16,92,0,58,246,6,3,426,
"Brandon--Souris/Brandon--Souris"," 606","Brandon",0,3,54,0,47,160,5,2,271,
"Brandon--Souris/Brandon--Souris"," 607","Brandon",0,10,42,1,58,131,4,3,249,
"Brandon--Souris/Brandon--Souris"," 608","Brandon",0,7,31,1,43,62,1,1,146,
"Brandon--Souris/Brandon--Souris"," 609","Brandon--Wawanesa",1,5,13,0,9,39,3,0,70,
"Brandon--Souris/Brandon--Souris"," 610","Souris",5,2,11,0,24,55,0,0,97,
"Brandon--Souris/Brandon--Souris"," 611","Glenboro",0,3,7,0,11,59,0,1,81,
"Brandon--Souris/Brandon--Souris"," 612","Melita",1,3,18,0,10,113,2,0,147,
"Brandon--Souris/Brandon--Souris"," 613","Boissevain",1,14,18,0,19,77,3,0,132,
"Brandon--Souris/Brandon--Souris"," 614","Killarney",0,8,18,0,9,110,1,0,146,
"Brandon--Souris/Brandon--Souris",,Group 1/Groupe 1,0,7,30,0,6,76,3,4,126,313
"Brandon--Souris/Brandon--Souris",,Group 2/Groupe 2,4,41,206,1,156,649,13,4,1074,
