Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cynthia Cameron,Norman Dundas,Axel Kuhn,France Tremblay,John Vanderheyden,Borys Wrzesnewskyj,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Etobicoke Centre/Etobicoke-Centre"," 137","Etobicoke",5,0,109,0,12,141,0,267,401
"Etobicoke Centre/Etobicoke-Centre"," 138","Etobicoke",8,1,148,0,4,98,0,259,363
"Etobicoke Centre/Etobicoke-Centre"," 139","Etobicoke",3,0,116,0,3,96,1,219,375
"Etobicoke Centre/Etobicoke-Centre"," 140","Etobicoke",15,2,131,0,8,86,0,242,361
"Etobicoke Centre/Etobicoke-Centre"," 141","Etobicoke",8,0,109,2,12,119,0,250,414
"Etobicoke Centre/Etobicoke-Centre"," 142","Etobicoke",12,0,140,0,11,152,0,315,444
"Etobicoke Centre/Etobicoke-Centre"," 143","Etobicoke",21,1,109,0,9,103,2,245,371
"Etobicoke Centre/Etobicoke-Centre"," 144","Etobicoke",12,1,116,0,10,131,0,270,441
"Etobicoke Centre/Etobicoke-Centre"," 145","Etobicoke",11,1,84,1,9,117,0,223,402
"Etobicoke Centre/Etobicoke-Centre"," 146","Etobicoke",6,2,103,0,10,66,0,187,325
"Etobicoke Centre/Etobicoke-Centre"," 147","Etobicoke",6,4,92,0,3,77,0,182,337
"Etobicoke Centre/Etobicoke-Centre"," 148","Etobicoke",14,0,108,0,13,118,0,253,456
"Etobicoke Centre/Etobicoke-Centre"," 149","Etobicoke",14,0,84,0,8,113,0,219,362
"Etobicoke Centre/Etobicoke-Centre"," 150","Etobicoke",16,3,50,1,8,65,0,143,276
"Etobicoke Centre/Etobicoke-Centre"," 151","Etobicoke",19,1,98,1,10,133,0,262,405
"Etobicoke Centre/Etobicoke-Centre"," 152","Etobicoke",11,1,112,1,3,102,0,230,351
"Etobicoke Centre/Etobicoke-Centre"," 153","Etobicoke",48,2,68,2,11,92,0,223,431
"Etobicoke Centre/Etobicoke-Centre"," 154","Etobicoke",26,1,52,1,17,121,0,218,367
"Etobicoke Centre/Etobicoke-Centre"," 155","Etobicoke",5,0,77,0,6,83,1,172,277
"Etobicoke Centre/Etobicoke-Centre"," 156","Etobicoke",13,1,128,0,10,73,0,225,397
"Etobicoke Centre/Etobicoke-Centre"," 157","Etobicoke",22,1,87,0,7,81,0,198,310
"Etobicoke Centre/Etobicoke-Centre"," 158","Etobicoke",24,0,41,1,5,41,1,113,176
"Etobicoke Centre/Etobicoke-Centre"," 159","Etobicoke",38,2,93,3,13,137,0,286,400
"Etobicoke Centre/Etobicoke-Centre"," 160","Etobicoke",13,0,92,0,15,106,1,227,413
"Etobicoke Centre/Etobicoke-Centre"," 161","Etobicoke",5,0,80,0,6,99,1,191,297
"Etobicoke Centre/Etobicoke-Centre"," 162","Etobicoke",21,1,97,1,12,119,0,251,410
"Etobicoke Centre/Etobicoke-Centre"," 163","Etobicoke",16,1,74,0,11,119,0,221,383
"Etobicoke Centre/Etobicoke-Centre"," 164","Etobicoke",12,1,77,0,11,109,0,210,330
"Etobicoke Centre/Etobicoke-Centre"," 165","Etobicoke",33,1,61,0,17,120,2,234,411
"Etobicoke Centre/Etobicoke-Centre"," 166","Etobicoke",28,1,78,2,7,123,0,239,417
"Etobicoke Centre/Etobicoke-Centre"," 167","Etobicoke",35,0,73,0,5,110,1,224,324
"Etobicoke Centre/Etobicoke-Centre"," 168","Etobicoke",39,2,97,0,10,135,1,284,442
"Etobicoke Centre/Etobicoke-Centre"," 169A","Etobicoke",30,1,41,0,10,89,2,173,282
"Etobicoke Centre/Etobicoke-Centre"," 169B","Mobile poll/Bureau itinérant",28,3,37,0,2,94,9,173,185
"Etobicoke Centre/Etobicoke-Centre"," 170","Etobicoke",22,1,22,1,3,71,1,121,283
"Etobicoke Centre/Etobicoke-Centre"," 171","Etobicoke",38,0,35,1,10,95,1,180,547
"Etobicoke Centre/Etobicoke-Centre"," 172","Etobicoke",29,2,43,0,8,68,3,153,229
"Etobicoke Centre/Etobicoke-Centre"," 173","Etobicoke",27,0,44,0,3,77,2,153,196
"Etobicoke Centre/Etobicoke-Centre"," 174","Etobicoke",39,2,111,0,10,156,0,318,455
"Etobicoke Centre/Etobicoke-Centre"," 175","Etobicoke",29,1,87,0,3,116,4,240,322
"Etobicoke Centre/Etobicoke-Centre"," 176","Etobicoke",18,0,53,0,3,105,4,183,295
"Etobicoke Centre/Etobicoke-Centre"," 177","Etobicoke",6,1,97,0,7,150,4,265,367
"Etobicoke Centre/Etobicoke-Centre"," 178","Etobicoke",25,3,74,0,3,96,0,201,305
"Etobicoke Centre/Etobicoke-Centre"," 179","Etobicoke",30,2,71,1,13,133,1,251,358
"Etobicoke Centre/Etobicoke-Centre"," 180","Etobicoke",10,2,73,0,13,130,1,229,300
"Etobicoke Centre/Etobicoke-Centre"," 181","Etobicoke",12,1,67,0,13,122,1,216,327
"Etobicoke Centre/Etobicoke-Centre"," 182","Etobicoke",22,3,98,0,14,129,1,267,402
"Etobicoke Centre/Etobicoke-Centre"," 183","Etobicoke",28,2,88,0,12,118,0,248,368
"Etobicoke Centre/Etobicoke-Centre"," 184","Etobicoke",2,1,90,0,6,97,0,196,298
"Etobicoke Centre/Etobicoke-Centre"," 185","Etobicoke",10,2,113,1,8,106,1,241,367
"Etobicoke Centre/Etobicoke-Centre"," 186","Etobicoke",22,2,58,0,6,94,0,182,292
"Etobicoke Centre/Etobicoke-Centre"," 187A","Etobicoke",26,0,88,2,5,137,1,259,400
"Etobicoke Centre/Etobicoke-Centre"," 187B","Etobicoke",10,2,18,2,3,39,1,75,146
"Etobicoke Centre/Etobicoke-Centre"," 188","Etobicoke",12,1,117,0,8,142,0,280,397
"Etobicoke Centre/Etobicoke-Centre"," 189","Etobicoke",10,2,109,0,3,87,0,211,297
"Etobicoke Centre/Etobicoke-Centre"," 190","Etobicoke",6,2,70,0,5,103,0,186,256
"Etobicoke Centre/Etobicoke-Centre"," 191","Etobicoke",19,1,79,1,5,141,0,246,350
"Etobicoke Centre/Etobicoke-Centre"," 192","Etobicoke",24,0,90,0,7,99,0,220,380
"Etobicoke Centre/Etobicoke-Centre"," 193","Etobicoke",20,1,74,0,5,74,1,175,261
"Etobicoke Centre/Etobicoke-Centre"," 194","Etobicoke",36,3,63,0,10,111,1,224,470
"Etobicoke Centre/Etobicoke-Centre"," 400","Etobicoke",49,1,61,0,7,188,1,307,425
"Etobicoke Centre/Etobicoke-Centre"," 401","Etobicoke",20,4,85,2,10,160,0,281,367
"Etobicoke Centre/Etobicoke-Centre"," 402","Etobicoke",35,5,60,2,5,80,0,187,275
"Etobicoke Centre/Etobicoke-Centre"," 403","Etobicoke",34,3,48,1,7,98,1,192,311
"Etobicoke Centre/Etobicoke-Centre"," 404","Etobicoke",8,0,15,1,0,62,2,88,178
"Etobicoke Centre/Etobicoke-Centre"," 405","Etobicoke",17,2,62,0,3,84,2,170,201
"Etobicoke Centre/Etobicoke-Centre"," 406","Etobicoke",45,0,75,0,14,126,0,260,328
"Etobicoke Centre/Etobicoke-Centre"," 407","Etobicoke",33,1,55,0,15,122,0,226,304
"Etobicoke Centre/Etobicoke-Centre"," 408","Etobicoke",47,1,79,0,8,112,1,248,349
"Etobicoke Centre/Etobicoke-Centre"," 409","Etobicoke",19,2,25,0,2,125,1,174,247
"Etobicoke Centre/Etobicoke-Centre"," 410","Etobicoke",31,0,44,0,6,137,0,218,344
"Etobicoke Centre/Etobicoke-Centre"," 411","Etobicoke",24,5,62,0,12,142,2,247,365
"Etobicoke Centre/Etobicoke-Centre"," 412","Etobicoke",43,2,59,0,9,160,0,273,429
"Etobicoke Centre/Etobicoke-Centre"," 413","Etobicoke",38,3,66,1,7,175,0,290,464
"Etobicoke Centre/Etobicoke-Centre"," 414","Etobicoke",53,6,64,1,15,148,2,289,411
"Etobicoke Centre/Etobicoke-Centre"," 415","Mobile poll/Bureau itinérant",Merged with No. 169B/Fusionné avec le nº 169B,,,,,,,,159
"Etobicoke Centre/Etobicoke-Centre"," 416","Etobicoke",47,6,75,3,9,200,0,340,464
"Etobicoke Centre/Etobicoke-Centre"," 417","Etobicoke",53,3,73,3,8,164,0,304,400
"Etobicoke Centre/Etobicoke-Centre"," 418","Etobicoke",31,8,61,1,16,108,3,228,304
"Etobicoke Centre/Etobicoke-Centre"," 419","Etobicoke",17,3,89,1,24,106,1,241,327
"Etobicoke Centre/Etobicoke-Centre"," 420","Etobicoke",30,0,37,1,7,116,1,192,302
"Etobicoke Centre/Etobicoke-Centre"," 421","Etobicoke",24,2,63,0,15,146,1,251,325
"Etobicoke Centre/Etobicoke-Centre"," 422","Etobicoke",14,3,43,0,3,56,1,120,186
"Etobicoke Centre/Etobicoke-Centre"," 423","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,,157
"Etobicoke Centre/Etobicoke-Centre"," 500A","Mobile poll/Bureau itinérant",13,4,47,1,5,106,0,176,114
"Etobicoke Centre/Etobicoke-Centre"," 500B","Mobile poll/Bureau itinérant",11,7,26,1,3,62,1,111,92
"Etobicoke Centre/Etobicoke-Centre"," 600","Etobicoke",39,2,143,3,14,256,0,457,
"Etobicoke Centre/Etobicoke-Centre"," 601","Etobicoke",26,1,129,0,17,180,4,357,
"Etobicoke Centre/Etobicoke-Centre"," 602","Etobicoke",38,2,295,0,18,413,2,768,
"Etobicoke Centre/Etobicoke-Centre"," 603","Etobicoke",39,2,199,0,11,302,1,554,
"Etobicoke Centre/Etobicoke-Centre"," 604","Etobicoke",77,7,356,1,31,467,4,943,
"Etobicoke Centre/Etobicoke-Centre"," 605","Etobicoke",29,0,179,0,26,191,1,426,
"Etobicoke Centre/Etobicoke-Centre"," 606","Etobicoke",20,2,211,0,15,196,0,444,
"Etobicoke Centre/Etobicoke-Centre"," 607","Etobicoke",14,5,233,1,9,210,1,473,
"Etobicoke Centre/Etobicoke-Centre"," 608","Etobicoke",46,3,394,1,27,396,1,868,
"Etobicoke Centre/Etobicoke-Centre"," 609","Etobicoke",48,7,300,2,29,356,0,742,
"Etobicoke Centre/Etobicoke-Centre",,Group 1/Groupe 1,10,2,33,0,2,40,5,92,159
"Etobicoke Centre/Etobicoke-Centre",,Group 2/Groupe 2,104,10,445,1,32,633,15,1240,
