Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Abramowitz,Lloyd Helferty,Susan Kadis,Anthony Reale,Simon Strelchik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Thornhill/Thornhill"," 64","Vaughan",9,5,134,60,28,4,240,417
"Thornhill/Thornhill"," 65","Vaughan",10,4,146,74,18,0,252,444
"Thornhill/Thornhill"," 66","Vaughan",7,4,131,75,21,0,238,464
"Thornhill/Thornhill"," 67","Vaughan",9,8,105,79,11,0,212,384
"Thornhill/Thornhill"," 68","Vaughan",21,11,148,102,16,3,301,536
"Thornhill/Thornhill"," 69","Vaughan",5,4,136,98,13,1,257,460
"Thornhill/Thornhill"," 70","Vaughan",4,4,141,82,23,0,254,431
"Thornhill/Thornhill"," 71","Vaughan",7,11,128,88,43,3,280,551
"Thornhill/Thornhill"," 72","Vaughan",7,8,154,140,43,1,353,497
"Thornhill/Thornhill"," 73","Vaughan",6,5,157,45,14,0,227,433
"Thornhill/Thornhill"," 74","Vaughan",8,2,106,70,20,4,210,433
"Thornhill/Thornhill"," 75","Vaughan",5,4,92,56,17,0,174,416
"Thornhill/Thornhill"," 76","Vaughan",5,3,53,46,13,3,123,276
"Thornhill/Thornhill"," 77","Vaughan",2,16,67,46,8,0,139,305
"Thornhill/Thornhill"," 78","Vaughan",9,4,105,155,7,3,283,518
"Thornhill/Thornhill"," 79","Vaughan",7,6,96,160,18,0,287,538
"Thornhill/Thornhill"," 80A","Vaughan",2,4,65,106,5,1,183,362
"Thornhill/Thornhill"," 80B","Vaughan",2,3,45,79,1,1,131,264
"Thornhill/Thornhill"," 81","Vaughan",1,4,77,56,7,0,145,257
"Thornhill/Thornhill"," 82","Vaughan",5,6,124,66,15,0,216,378
"Thornhill/Thornhill"," 83","Vaughan",8,7,120,120,9,1,265,464
"Thornhill/Thornhill"," 84","Vaughan",8,6,189,75,6,0,284,504
"Thornhill/Thornhill"," 85A","Vaughan",0,7,87,77,13,0,184,407
"Thornhill/Thornhill"," 85B","Vaughan",2,3,66,36,24,0,131,323
"Thornhill/Thornhill"," 86","Vaughan",4,4,81,49,5,1,144,340
"Thornhill/Thornhill"," 87","Vaughan",5,2,141,80,13,0,241,486
"Thornhill/Thornhill"," 88","Vaughan",5,5,147,92,19,0,268,447
"Thornhill/Thornhill"," 89","Vaughan",2,4,72,59,7,0,144,266
"Thornhill/Thornhill"," 90","Vaughan",3,6,118,56,17,1,201,322
"Thornhill/Thornhill"," 91","Vaughan",3,1,145,67,16,4,236,419
"Thornhill/Thornhill"," 92A","Vaughan",5,3,58,88,9,0,163,357
"Thornhill/Thornhill"," 92B","Vaughan",2,6,47,98,19,1,173,306
"Thornhill/Thornhill"," 93","Vaughan",0,16,107,116,11,0,250,445
"Thornhill/Thornhill"," 94","Vaughan",5,4,44,148,8,1,210,352
"Thornhill/Thornhill"," 95","Vaughan",3,8,85,164,15,0,275,439
"Thornhill/Thornhill"," 96","Vaughan",6,10,94,126,25,2,263,545
"Thornhill/Thornhill"," 97","Vaughan",0,1,37,25,5,1,69,153
"Thornhill/Thornhill"," 98A","Vaughan",12,4,120,58,6,2,202,304
"Thornhill/Thornhill"," 98B","Vaughan",4,4,116,59,11,1,195,319
"Thornhill/Thornhill"," 99A","Vaughan",2,8,91,55,22,4,182,337
"Thornhill/Thornhill"," 99B","Vaughan",1,0,31,28,10,0,70,128
"Thornhill/Thornhill"," 99C","Vaughan",2,3,59,38,14,0,116,196
"Thornhill/Thornhill"," 99D","Vaughan",1,4,77,46,16,0,144,212
"Thornhill/Thornhill"," 100","Vaughan",Merged with No. 99D/Fusionné avec le nº 99D,,,,,,,115
"Thornhill/Thornhill"," 101","Vaughan",1,3,81,22,10,0,117,205
"Thornhill/Thornhill"," 102","Vaughan",4,2,151,56,16,1,230,432
"Thornhill/Thornhill"," 103","Vaughan",1,6,91,58,18,1,175,317
"Thornhill/Thornhill"," 104","Vaughan",1,4,82,45,12,3,147,277
"Thornhill/Thornhill"," 105","Markham",0,6,62,41,6,0,115,265
"Thornhill/Thornhill"," 106","Markham",2,13,92,72,15,1,195,328
"Thornhill/Thornhill"," 107","Markham",2,12,145,67,26,0,252,402
"Thornhill/Thornhill"," 108","Markham",2,10,140,104,18,1,275,438
"Thornhill/Thornhill"," 109","Markham",3,7,92,76,16,2,196,272
"Thornhill/Thornhill"," 110","Markham",2,21,118,67,37,0,245,461
"Thornhill/Thornhill"," 111","Markham",3,13,59,44,16,0,135,347
"Thornhill/Thornhill"," 112","Markham",2,4,121,91,16,2,236,306
"Thornhill/Thornhill"," 113","Markham",7,19,97,61,19,1,204,380
"Thornhill/Thornhill"," 114","Markham",2,8,120,70,8,1,209,350
"Thornhill/Thornhill"," 115","Markham",3,18,102,73,23,0,219,378
"Thornhill/Thornhill"," 116","Markham",0,17,138,77,16,0,248,428
"Thornhill/Thornhill"," 117","Markham",1,9,107,84,8,1,210,327
"Thornhill/Thornhill"," 118","Markham",4,18,153,101,19,0,295,508
"Thornhill/Thornhill"," 119","Markham",2,7,104,63,26,1,203,410
"Thornhill/Thornhill"," 120","Markham",4,12,66,54,29,0,165,390
"Thornhill/Thornhill"," 121A","Markham",0,2,22,17,2,0,43,82
"Thornhill/Thornhill"," 121B","Mobile poll/Bureau itinérant",0,9,16,13,11,1,50,40
"Thornhill/Thornhill"," 122","Markham",2,12,88,85,6,0,193,383
"Thornhill/Thornhill"," 123","Markham",6,10,135,79,19,2,251,434
"Thornhill/Thornhill"," 124A","Markham",1,3,58,33,11,0,106,260
"Thornhill/Thornhill"," 124B","Markham",3,8,64,44,9,0,128,368
"Thornhill/Thornhill"," 125A","Markham",2,1,49,33,9,1,95,306
"Thornhill/Thornhill"," 125B","Markham",4,7,53,34,7,1,106,303
"Thornhill/Thornhill"," 126A","Markham",5,5,112,46,4,0,172,439
"Thornhill/Thornhill"," 126B","Markham",6,4,81,19,14,1,125,380
"Thornhill/Thornhill"," 126C","Markham",0,6,94,42,17,0,159,419
"Thornhill/Thornhill"," 127","Markham",3,3,170,74,23,0,273,508
"Thornhill/Thornhill"," 128","Markham",8,9,170,76,21,2,286,532
"Thornhill/Thornhill"," 129","Markham",4,12,162,98,21,0,297,558
"Thornhill/Thornhill"," 130","Markham",3,6,143,75,14,0,241,459
"Thornhill/Thornhill"," 131","Markham",2,4,139,66,17,0,228,440
"Thornhill/Thornhill"," 132A","Markham",4,3,92,67,15,1,182,334
"Thornhill/Thornhill"," 132B","Markham",5,4,62,53,2,0,126,249
"Thornhill/Thornhill"," 133","Markham",8,15,171,99,10,0,303,580
"Thornhill/Thornhill"," 134","Markham",1,11,156,84,17,1,270,467
"Thornhill/Thornhill"," 135","Markham",6,10,148,58,24,0,246,418
"Thornhill/Thornhill"," 136","Markham",2,7,75,48,9,0,141,238
"Thornhill/Thornhill"," 137","Markham",3,15,123,59,20,1,221,397
"Thornhill/Thornhill"," 138","Markham",8,22,154,72,19,2,277,505
"Thornhill/Thornhill"," 139","Markham",3,13,167,96,28,1,308,539
"Thornhill/Thornhill"," 140A","Markham",2,10,72,32,13,1,130,259
"Thornhill/Thornhill"," 140B","Markham",2,3,37,14,7,0,63,89
"Thornhill/Thornhill"," 141","Markham",3,11,152,74,13,1,254,433
"Thornhill/Thornhill"," 142","Markham",7,16,171,89,23,2,308,500
"Thornhill/Thornhill"," 143A","Markham",3,8,84,46,7,0,148,287
"Thornhill/Thornhill"," 143B","Markham",3,6,135,52,9,0,205,387
"Thornhill/Thornhill"," 144","Markham",0,6,113,51,9,1,180,294
"Thornhill/Thornhill"," 145","Markham",0,3,150,60,15,1,229,449
"Thornhill/Thornhill"," 146","Markham",1,7,62,42,7,0,119,194
"Thornhill/Thornhill"," 147","Markham",2,8,110,92,34,1,247,519
"Thornhill/Thornhill"," 148","Markham",0,12,88,75,8,0,183,346
"Thornhill/Thornhill"," 149","Markham",4,5,105,53,16,4,187,364
"Thornhill/Thornhill"," 150","Markham",2,13,110,64,12,0,201,373
"Thornhill/Thornhill"," 151","Markham",2,10,104,45,8,0,169,306
"Thornhill/Thornhill"," 152","Markham",1,3,105,73,44,2,228,456
"Thornhill/Thornhill"," 153","Markham",0,5,68,23,26,0,122,245
"Thornhill/Thornhill"," 154","Markham",0,3,70,16,11,1,101,204
"Thornhill/Thornhill"," 155","Markham",2,14,141,71,33,3,264,477
"Thornhill/Thornhill"," 156","Markham",1,10,52,41,27,2,133,291
"Thornhill/Thornhill"," 157","Markham",4,19,101,44,27,0,195,382
"Thornhill/Thornhill"," 158","Markham",2,11,77,66,17,0,173,350
"Thornhill/Thornhill"," 159","Markham",2,13,114,65,24,0,218,403
"Thornhill/Thornhill"," 160","Markham",0,19,97,69,16,0,201,325
"Thornhill/Thornhill"," 161","Markham",4,15,125,75,17,0,236,367
"Thornhill/Thornhill"," 162","Markham",5,14,115,73,19,0,226,462
"Thornhill/Thornhill"," 163","Markham",2,6,120,54,49,1,232,423
"Thornhill/Thornhill"," 164","Markham",2,13,83,39,36,0,173,282
"Thornhill/Thornhill"," 165","Markham",1,21,108,44,33,1,208,352
"Thornhill/Thornhill"," 166","Markham",1,6,96,50,14,0,167,355
"Thornhill/Thornhill"," 167","Markham",7,11,115,75,17,0,225,391
"Thornhill/Thornhill"," 168","Markham",4,5,131,127,9,0,276,538
"Thornhill/Thornhill"," 169","Markham",7,3,114,111,15,0,250,434
"Thornhill/Thornhill"," 170","Markham",2,11,158,96,16,0,283,454
"Thornhill/Thornhill"," 171","Markham",2,4,89,44,15,1,155,286
"Thornhill/Thornhill"," 172","Markham",4,14,119,78,9,2,226,359
"Thornhill/Thornhill"," 173","Markham",1,14,83,59,24,3,184,326
"Thornhill/Thornhill"," 174","Markham",2,3,80,69,11,0,165,346
"Thornhill/Thornhill"," 175","Markham",6,7,145,63,35,0,256,495
"Thornhill/Thornhill"," 176","Markham",7,14,184,77,43,0,325,540
"Thornhill/Thornhill"," 177","Markham",2,17,146,120,7,0,292,454
"Thornhill/Thornhill"," 178","Markham",5,7,107,75,20,1,215,359
"Thornhill/Thornhill"," 179","Markham",0,13,137,72,34,0,256,383
"Thornhill/Thornhill"," 180","Markham",5,11,166,91,32,5,310,571
"Thornhill/Thornhill"," 181","Markham",5,6,128,74,18,0,231,389
"Thornhill/Thornhill"," 182","Markham",3,10,146,96,40,0,295,462
"Thornhill/Thornhill"," 183","Markham",7,6,121,62,26,0,222,442
"Thornhill/Thornhill"," 400","Markham",5,7,167,67,20,0,266,602
"Thornhill/Thornhill"," 401","Markham",2,6,132,74,16,3,233,471
"Thornhill/Thornhill"," 402","Markham",2,8,166,72,34,1,283,596
"Thornhill/Thornhill"," 403","Vaughan",5,9,93,63,8,0,178,286
"Thornhill/Thornhill"," 404","Vaughan",Void/Supprimé,,,,,,,
"Thornhill/Thornhill"," 405","Vaughan",2,1,101,61,20,1,186,293
"Thornhill/Thornhill"," 406","Vaughan",5,4,121,84,16,2,232,368
"Thornhill/Thornhill"," 407","Vaughan",5,3,67,66,11,2,154,263
"Thornhill/Thornhill"," 408","Vaughan",7,1,100,68,10,0,186,285
"Thornhill/Thornhill"," 409","Vaughan",15,1,83,65,21,1,186,264
"Thornhill/Thornhill"," 410","Vaughan",15,2,55,47,2,3,124,176
"Thornhill/Thornhill"," 411","Vaughan",2,5,91,50,17,0,165,296
"Thornhill/Thornhill"," 412","Vaughan",9,1,76,56,6,2,150,344
"Thornhill/Thornhill"," 600","Vaughan",14,14,282,223,29,3,565,
"Thornhill/Thornhill"," 601","Vaughan",17,18,344,283,20,2,684,
"Thornhill/Thornhill"," 602","Vaughan",10,22,408,184,59,2,685,
"Thornhill/Thornhill"," 603","Vaughan",24,16,413,198,31,4,686,
"Thornhill/Thornhill"," 604","Vaughan",20,18,527,404,52,3,1024,
"Thornhill/Thornhill"," 605","Markham",11,43,424,336,55,1,870,
"Thornhill/Thornhill"," 606","Markham",22,32,686,396,70,0,1206,
"Thornhill/Thornhill"," 607","Markham",9,19,188,199,38,1,454,
"Thornhill/Thornhill"," 608","Markham",13,28,375,298,45,2,761,
"Thornhill/Thornhill",,Group 1/Groupe 1,2,3,38,15,7,0,65,118
"Thornhill/Thornhill",,Group 2/Groupe 2,13,34,605,360,62,12,1086,
