Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Mann,Wayne Marston,Jo Pavlov,Frank Rukavina,Tony Valeri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 27","Hamilton ",1,107,8,43,46,0,205,408
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 28","Hamilton ",1,68,2,38,34,0,143,285
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 29","Hamilton ",1,97,6,19,33,0,156,318
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 30","Hamilton ",0,126,13,36,50,0,225,357
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 31","Hamilton ",1,104,1,40,45,0,191,378
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 32","Hamilton ",1,103,10,35,47,1,197,383
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 33","Hamilton ",1,101,3,31,38,0,174,330
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 34","Hamilton ",5,120,5,44,59,2,235,416
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 35","Hamilton ",0,102,11,35,39,0,187,336
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 36","Hamilton ",2,111,8,47,49,0,217,359
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 37","Hamilton ",1,104,10,38,44,0,197,350
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 38","Hamilton ",1,100,6,36,26,2,171,305
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 39","Hamilton ",0,94,6,26,46,2,174,302
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 40","Hamilton ",1,109,4,37,65,1,217,379
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 41","Hamilton ",2,125,3,38,62,0,230,383
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 42","Hamilton ",0,123,5,40,32,1,201,374
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 43","Hamilton ",2,68,2,21,33,1,127,449
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 44","Hamilton ",1,115,6,39,49,0,210,433
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 45","Hamilton ",1,141,3,20,51,1,217,415
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 46","Hamilton ",3,125,12,43,38,0,221,458
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 47","Hamilton ",1,133,5,39,46,1,225,444
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 48","Hamilton ",1,73,4,40,40,0,158,340
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 49","Hamilton ",0,109,3,38,48,0,198,398
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 50","Hamilton ",0,103,7,44,42,0,196,393
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 51","Hamilton ",1,151,12,30,42,0,236,431
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 52","Hamilton ",0,97,10,37,42,0,186,279
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 53","Hamilton ",1,109,7,40,68,1,226,343
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 54","Hamilton ",1,87,8,47,49,0,192,340
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 55","Hamilton ",2,124,14,43,65,0,248,373
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 56","Hamilton ",0,113,7,61,56,2,239,392
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 57","Hamilton ",2,102,11,55,59,1,230,334
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 58","Hamilton ",1,115,8,56,46,0,226,344
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 59","Hamilton ",1,140,11,69,61,1,283,407
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 60","Hamilton ",1,118,9,47,35,2,212,359
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 61","Hamilton ",0,81,4,25,40,0,150,304
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 62","Hamilton ",0,101,6,24,32,0,163,353
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 63","Hamilton ",0,80,4,41,39,2,166,354
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 64","Hamilton ",1,122,13,45,57,0,238,399
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 65","Hamilton ",1,112,5,48,50,2,218,380
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 66","Hamilton ",0,119,8,52,51,3,233,389
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 67","Hamilton ",2,114,5,57,35,1,214,376
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 68","Hamilton ",0,99,9,47,55,1,211,446
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 69","Hamilton ",2,88,1,44,42,1,178,280
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 70","Hamilton ",5,88,5,37,51,2,188,404
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 71","Hamilton ",2,108,5,31,56,1,203,355
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 72","Hamilton ",2,93,4,40,42,0,181,356
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 73","Hamilton ",3,99,8,56,62,1,229,405
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 74","Hamilton ",0,124,12,61,70,2,269,419
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 75","Hamilton ",2,102,11,38,83,0,236,397
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 76","Hamilton ",2,119,5,77,61,1,265,435
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 77","Hamilton ",0,74,4,61,56,0,195,377
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 78","Hamilton ",1,115,10,76,65,0,267,413
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 79","Hamilton ",1,131,5,45,84,2,268,422
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 80","Hamilton ",0,91,6,45,46,0,188,298
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 81","Hamilton ",1,105,10,53,64,0,233,363
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 82","Hamilton ",2,111,8,54,70,1,246,349
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 83","Hamilton ",0,105,13,55,71,0,244,343
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 84","Hamilton ",0,47,3,40,74,0,164,365
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 85","Hamilton ",2,91,7,83,101,1,285,517
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 86","Hamilton ",2,24,7,58,93,3,187,343
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 87","Hamilton ",1,56,3,42,48,0,150,360
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 88","Hamilton ",4,75,4,48,69,2,202,462
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 89","Hamilton ",0,63,3,41,56,0,163,348
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 90","Hamilton ",2,78,9,37,70,0,196,382
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 91","Hamilton ",2,65,1,30,36,0,134,384
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 92","Hamilton ",1,43,4,61,117,0,226,343
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 93","Hamilton ",0,90,9,66,119,0,284,484
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 94","Hamilton ",3,74,11,66,73,1,228,382
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 95","Hamilton ",1,68,2,73,111,5,260,465
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 96","Hamilton ",1,42,5,46,44,0,138,317
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 97","Hamilton ",2,68,3,64,84,0,221,327
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 98","Hamilton ",0,66,5,53,87,0,211,376
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 99","Hamilton ",1,58,6,59,84,0,208,370
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 100","Hamilton ",1,55,10,58,66,1,191,321
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 101","Hamilton ",2,60,6,61,99,1,229,356
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 102","Hamilton ",2,103,10,57,86,3,261,424
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 103","Hamilton ",2,95,5,57,93,1,253,449
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 104","Hamilton ",0,81,5,22,40,0,148,268
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 105","Hamilton ",0,59,4,48,47,1,159,324
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 106","Hamilton ",2,88,5,50,91,1,237,454
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 107","Hamilton ",0,21,4,16,45,0,86,138
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 108","Stoney Creek",1,98,7,104,151,0,361,614
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 109","Hamilton ",0,53,10,78,130,2,273,395
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 110","Hamilton ",1,59,1,41,129,1,232,355
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 111","Hamilton ",0,61,6,44,96,2,209,340
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 112","Hamilton ",3,55,0,36,106,4,204,357
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 113","Hamilton ",2,56,0,40,31,0,129,338
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 114","Hamilton ",1,64,3,40,78,3,189,379
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 115","Hamilton ",1,71,7,38,46,1,164,308
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 116","Hamilton ",3,100,11,51,73,2,240,611
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 117","Hamilton ",1,36,3,74,216,2,332,455
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 118","Hamilton ",6,80,8,108,238,11,451,742
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 119","Hamilton ",0,15,1,22,62,1,101,158
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 120","Hamilton ",1,76,6,44,59,0,186,461
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 121","Hamilton ",2,66,2,19,47,1,137,409
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 122","Hamilton ",4,74,5,44,101,6,234,439
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 123","Hamilton ",1,59,3,43,92,1,199,386
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 124","Hamilton ",0,62,6,24,111,0,203,325
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 125","Hamilton ",3,45,2,32,93,2,177,299
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 126","Hamilton ",1,88,4,47,91,1,232,549
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 127","Hamilton ",1,56,0,25,71,1,154,330
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 128","Hamilton ",1,35,4,15,72,0,127,374
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 129","Hamilton ",7,52,9,16,62,4,150,349
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 130","Hamilton ",3,94,8,45,57,1,208,343
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 131","Hamilton ",2,81,2,45,66,0,196,321
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 132","Hamilton ",2,49,3,26,47,0,127,349
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 133","Hamilton ",0,44,5,23,34,0,106,303
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 134","Hamilton ",3,92,9,45,52,1,202,526
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 135","Hamilton ",1,92,10,69,105,2,279,469
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 136","Hamilton ",1,106,7,63,68,1,246,434
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 137","Hamilton ",2,100,7,83,116,2,310,437
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 138","Hamilton ",0,43,2,54,123,2,224,281
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 139","Hamilton ",0,78,6,54,135,2,275,422
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 140","Stoney Creek",3,68,3,31,59,3,167,454
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 141","Stoney Creek",0,41,11,50,60,0,162,346
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 142","Stoney Creek",0,53,15,71,87,0,226,342
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 143","Stoney Creek",0,62,15,75,79,0,231,338
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 144","Stoney Creek",0,47,3,42,53,0,145,250
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 145","Stoney Creek",1,42,7,51,59,0,160,410
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 146","Stoney Creek",1,59,4,45,45,2,156,313
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 147","Stoney Creek",1,74,2,60,61,0,198,358
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 148","Stoney Creek",0,95,7,92,116,4,314,494
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 149","Stoney Creek",1,70,10,65,72,1,219,461
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 150","Stoney Creek",0,53,1,24,35,0,113,261
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 151","Stoney Creek",0,80,10,91,61,5,247,425
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 152","Stoney Creek",0,58,5,34,65,0,162,305
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 153","Stoney Creek",0,85,0,41,51,0,177,335
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 154","Stoney Creek",0,78,4,62,53,1,198,308
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 155","Stoney Creek",3,51,2,44,63,0,163,301
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 156","Stoney Creek",1,49,8,67,158,0,283,400
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 157","Stoney Creek",0,59,3,53,104,3,222,335
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 158","Stoney Creek",1,79,3,72,110,1,266,385
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 159","Stoney Creek",2,62,5,60,62,1,192,368
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 160","Stoney Creek",1,60,6,71,51,2,191,424
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 161","Stoney Creek",0,61,9,62,65,2,199,341
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 162","Stoney Creek",1,62,3,56,57,1,180,321
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 163","Stoney Creek",0,64,7,59,83,2,215,376
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 164","Stoney Creek",0,68,7,88,58,1,222,386
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 165","Stoney Creek",0,18,1,30,24,0,73,111
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 166","Stoney Creek",1,81,13,136,143,2,376,537
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 167A","Stoney Creek",0,67,5,68,79,3,222,413
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 167B","Stoney Creek",1,63,7,50,61,0,182,375
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 168","Stoney Creek",2,85,8,75,117,0,287,425
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 169","Stoney Creek",1,83,6,53,71,1,215,369
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 170","Stoney Creek",2,46,11,48,75,0,182,302
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 171","Stoney Creek",4,84,5,39,103,0,235,355
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 172","Stoney Creek",0,82,10,72,154,3,321,464
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 173","Stoney Creek",2,71,4,44,166,4,291,432
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 174","Stoney Creek",1,32,7,42,98,2,182,279
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 175","Stoney Creek",0,47,3,53,132,2,237,378
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 176A","Stoney Creek",3,59,4,72,145,3,286,391
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 176B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,55
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 177","Stoney Creek",0,66,7,53,80,1,207,321
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 178","Stoney Creek",2,58,5,58,134,1,258,436
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 179","Stoney Creek",5,92,5,52,88,0,242,437
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 180","Stoney Creek",1,93,3,84,102,2,285,536
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 181","Stoney Creek",1,96,10,108,167,1,383,609
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 182","Stoney Creek",4,135,6,111,177,0,433,709
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 183","Stoney Creek",2,38,6,64,115,0,225,363
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 184","Stoney Creek",1,46,8,51,75,0,181,377
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 185","Stoney Creek",0,84,5,116,214,1,420,595
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 186","Stoney Creek",1,40,1,41,95,1,179,239
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 187","Stoney Creek",0,99,13,72,129,1,314,558
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 188","Stoney Creek",0,79,6,47,71,1,204,363
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 189","Stoney Creek",1,86,5,94,107,2,295,448
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 190","Stoney Creek",2,56,7,48,163,0,276,397
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 191","Stoney Creek",1,56,13,75,120,0,265,388
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 192","Stoney Creek",1,48,5,48,111,1,214,330
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 193","Stoney Creek",0,53,13,53,122,1,242,410
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 194","Stoney Creek",0,55,10,120,141,1,327,458
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 195","Stoney Creek",0,62,16,75,165,1,319,455
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 196","Stoney Creek",1,94,16,97,116,2,326,450
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 197","Stoney Creek",3,51,6,50,71,0,181,319
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 198","Stoney Creek",3,61,2,81,152,1,300,433
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 199","Stoney Creek",2,64,11,96,169,6,348,532
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 200","Stoney Creek",1,43,11,85,149,3,292,468
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 201","Stoney Creek",1,71,11,60,107,0,250,518
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 202","Stoney Creek",3,48,1,49,60,0,161,325
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 203","Stoney Creek",2,44,6,109,124,0,285,536
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 204","Stoney Creek",0,43,10,107,90,2,252,470
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 205","Stoney Creek",2,21,7,38,36,2,106,207
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 206","Stoney Creek",1,55,11,105,107,1,280,515
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 207","Stoney Creek",0,53,7,89,145,1,295,487
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 208A","Stoney Creek",3,82,18,124,134,0,361,629
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 208B","Stoney Creek",2,78,12,127,134,2,355,611
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 209","Stoney Creek",3,23,3,21,47,0,97,167
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 210","Stoney Creek",2,51,4,59,101,0,217,330
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 211","Stoney Creek",1,82,5,85,81,3,257,420
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 212A","Stoney Creek",0,56,8,114,114,3,295,438
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 212B","Stoney Creek",2,48,6,92,98,0,246,375
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 400","Hamilton ",1,102,5,34,39,0,181,436
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 401","Hamilton ",0,94,4,35,64,1,198,302
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 402","Hamilton ",5,97,5,37,86,6,236,362
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 403","Hamilton ",2,124,8,45,73,0,252,398
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 404","Hamilton ",7,65,3,22,40,0,137,350
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 405","Stoney Creek",1,70,5,57,71,1,205,279
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 500","Mobile poll/Bureau itinérant",1,24,3,33,51,2,114,242
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 501","Mobile poll/Bureau itinérant",2,15,1,22,40,1,81,199
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 600","Hamilton ",3,161,11,82,71,2,330,
"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 601","Hamilton ",2,117,6,50,51,1,227,
