Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Capobianco,Cathy Holliday,Michael Ignatieff,Liam McHugh-Russell,Janice Murray,Philip Ridge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 24","Etobicoke",65,0,102,13,0,7,0,187,315
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 25","Etobicoke",110,0,119,14,0,20,0,263,410
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 26","Etobicoke",150,0,155,22,0,13,0,340,718
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 27","Etobicoke",43,2,72,27,0,8,0,152,408
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 28","Etobicoke",107,0,120,37,0,13,3,280,400
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 29","Etobicoke",148,0,235,100,2,18,3,506,860
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 30","Etobicoke",22,0,201,23,0,1,2,249,491
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 31","Etobicoke",65,0,121,33,0,14,1,234,341
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 32","Etobicoke",108,1,155,46,0,23,1,334,589
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 33","Etobicoke",173,1,212,76,1,20,1,484,945
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 34","Etobicoke",110,0,148,25,1,15,1,300,524
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 35","Etobicoke",98,0,100,22,0,12,0,232,372
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 36","Etobicoke",117,0,83,11,0,12,0,223,339
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 37","Etobicoke",77,0,109,17,0,9,0,212,321
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 38","Etobicoke",117,0,95,7,0,5,0,224,349
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 39","Etobicoke",104,0,102,9,0,10,0,225,359
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 40","Etobicoke",171,1,172,37,0,25,2,408,705
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 41","Etobicoke",93,0,95,14,0,17,0,219,316
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 42","Etobicoke",118,0,103,22,0,12,0,255,391
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 43","Etobicoke",106,0,108,13,0,12,0,239,372
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 44","Etobicoke",86,0,167,32,0,12,0,297,455
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 45","Etobicoke",104,0,136,25,0,13,0,278,433
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 46","Etobicoke",66,1,110,41,0,15,1,234,375
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 47","Etobicoke",89,0,115,34,0,9,0,247,394
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 48","Etobicoke",108,0,120,20,0,16,0,264,396
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 49","Etobicoke",119,0,111,24,0,10,0,264,409
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 50","Etobicoke",86,0,113,17,1,15,2,234,339
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 51","Etobicoke",92,0,107,30,0,7,0,236,333
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 52","Etobicoke",102,2,112,33,0,12,0,261,349
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 53","Etobicoke",80,1,87,36,0,6,0,210,296
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 54","Etobicoke",116,2,147,35,0,17,1,318,519
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 55","Etobicoke",86,1,116,33,0,15,0,251,361
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 56","Etobicoke",101,0,126,35,0,15,0,277,403
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 57","Etobicoke",102,1,104,22,0,16,1,246,359
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 58","Etobicoke",67,1,89,26,0,23,0,206,269
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 59","Etobicoke",97,1,107,37,0,15,1,258,350
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 60","Etobicoke",94,0,91,33,0,14,0,232,344
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 61","Etobicoke",97,0,84,26,1,15,1,224,308
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 62","Etobicoke",95,0,97,31,0,12,0,235,353
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 63","Etobicoke",117,1,101,41,0,9,2,271,402
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 64","Etobicoke",90,1,115,32,0,6,1,245,382
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 65","Etobicoke",75,0,95,41,0,10,2,223,357
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 66","Etobicoke",62,0,64,21,0,15,1,163,299
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 67","Etobicoke",56,0,96,41,0,19,1,213,340
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 68","Etobicoke",90,1,105,57,0,12,4,269,425
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 69","Etobicoke",98,0,133,41,1,11,1,285,428
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 70","Etobicoke",75,0,127,40,2,12,0,256,382
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 71","Etobicoke",80,0,75,18,0,4,3,180,286
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 72","Etobicoke",56,0,59,18,1,3,0,137,253
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 73","Etobicoke",85,3,124,32,0,7,2,253,434
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 74","Etobicoke",88,2,74,40,0,7,2,213,325
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 75","Etobicoke",66,1,66,37,0,13,3,186,395
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 76","Etobicoke",71,2,56,37,2,10,3,181,352
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 77","Etobicoke",67,2,66,43,2,13,0,193,405
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 78","Etobicoke",70,2,44,50,0,9,0,175,343
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 79","Etobicoke",51,2,47,39,2,17,0,158,334
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 80","Etobicoke",61,0,94,40,0,11,0,206,346
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 81","Etobicoke",96,1,100,44,0,15,2,258,439
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 82","Etobicoke",47,1,72,37,0,7,4,168,333
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 83","Etobicoke",66,1,59,42,0,15,2,185,364
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 84","Etobicoke",117,0,125,46,1,12,5,306,503
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 85","Etobicoke",85,0,90,30,2,9,1,217,364
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 86","Etobicoke",93,0,80,23,0,13,1,210,336
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 87","Etobicoke",73,1,106,44,0,7,1,232,415
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 88","Etobicoke",46,2,69,21,1,12,1,152,239
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 89","Etobicoke",44,0,59,22,0,11,0,136,237
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 90","Etobicoke",62,0,107,39,0,7,0,215,345
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 91","Etobicoke",71,4,79,51,1,12,3,221,398
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 92","Etobicoke",39,1,64,37,1,6,0,148,239
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 93","Etobicoke",131,2,171,44,1,7,5,361,582
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 94","Etobicoke",115,3,170,61,0,24,0,373,651
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 95","Etobicoke",47,0,84,49,1,10,1,192,370
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 96","Etobicoke",63,5,90,73,1,5,2,239,349
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 97","Etobicoke",93,2,100,53,1,16,2,267,449
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 98","Etobicoke",53,1,67,26,1,15,1,164,306
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 99","Etobicoke",56,0,96,28,0,7,0,187,311
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 100","Etobicoke",54,1,98,33,1,12,7,206,368
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 101","Etobicoke",60,1,74,38,0,9,2,184,339
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 102","Etobicoke",53,1,126,50,1,15,1,247,352
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 103","Etobicoke",70,0,57,39,0,7,3,176,277
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 104","Etobicoke",51,0,45,33,1,6,1,137,299
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 105","Etobicoke",82,0,117,44,1,18,3,265,447
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 106","Etobicoke",77,0,95,45,1,15,0,233,345
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 107","Etobicoke",67,2,108,41,0,10,2,230,368
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 108","Etobicoke",80,0,96,43,1,9,1,230,382
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 109","Etobicoke",103,1,95,50,0,12,1,262,393
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 110","Etobicoke",66,1,83,42,1,8,1,202,345
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 111","Etobicoke",83,1,126,38,1,12,2,263,417
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 112","Etobicoke",83,0,95,31,0,2,0,211,358
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 113","Etobicoke",111,3,119,39,0,14,0,286,462
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 114","Etobicoke",71,2,116,49,0,10,0,248,396
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 115","Etobicoke",80,0,105,42,0,17,1,245,406
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 116","Etobicoke",99,1,103,49,2,14,0,268,389
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 117","Etobicoke",95,2,108,53,0,13,2,273,382
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 118","Etobicoke",90,0,135,50,0,11,0,286,446
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 119","Etobicoke",103,2,131,57,0,15,1,309,448
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 120","Etobicoke",68,2,101,33,3,12,0,219,351
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 121","Etobicoke",66,2,87,39,0,16,0,210,336
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 122","Etobicoke",94,2,82,32,0,10,2,222,396
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 123","Etobicoke",39,0,105,41,0,10,0,195,329
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 124","Etobicoke",57,0,70,36,0,9,0,172,287
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 125","Etobicoke",69,0,92,50,0,23,3,237,440
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 126","Etobicoke",80,1,127,56,2,19,1,286,479
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 127","Etobicoke",99,1,90,53,0,22,2,267,481
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 128","Etobicoke",50,3,67,33,1,10,2,166,341
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 129","Etobicoke",62,0,85,35,0,13,2,197,376
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 130","Etobicoke",49,0,90,36,0,22,1,198,342
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 131","Etobicoke",70,1,101,51,2,10,2,237,415
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 132","Etobicoke",76,0,92,38,0,25,1,232,409
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 133","Etobicoke",99,1,73,42,0,13,1,229,420
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 134","Etobicoke",58,0,68,38,0,26,3,193,325
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 135","Etobicoke",57,1,64,24,1,16,0,163,258
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 136","Etobicoke",45,0,54,55,0,9,0,163,354
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 137","Etobicoke",63,0,99,47,2,31,0,242,386
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 138","Etobicoke",78,1,101,69,0,26,2,277,467
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 139","Etobicoke",66,1,78,30,2,13,0,190,336
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 140","Etobicoke",98,0,101,48,2,13,0,262,401
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 141","Etobicoke",60,0,85,44,0,16,1,206,351
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 142","Etobicoke",32,0,102,80,0,22,0,236,407
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 143","Etobicoke",70,0,84,44,0,4,0,202,346
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 144","Etobicoke",54,2,73,14,0,8,1,152,280
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 145","Etobicoke",43,1,76,62,0,10,0,192,401
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 146","Etobicoke",69,1,115,66,1,23,1,276,468
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 147","Etobicoke",120,0,88,63,1,12,1,285,484
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 148","Etobicoke",70,0,82,41,0,18,3,214,334
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 149","Etobicoke",64,0,105,35,0,10,0,214,329
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 150","Etobicoke",57,1,82,34,0,10,0,184,274
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 151","Etobicoke",50,0,79,44,0,10,1,184,338
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 152","Etobicoke",54,0,95,54,0,22,0,225,372
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 153","Etobicoke",75,1,89,58,0,10,2,235,416
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 154","Etobicoke",61,4,175,60,1,13,2,316,615
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 155","Etobicoke",37,0,105,82,1,13,0,238,523
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 156","Etobicoke",55,0,95,48,0,5,0,203,405
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 157","Etobicoke",44,0,52,43,0,7,0,146,275
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 158","Etobicoke",51,1,99,73,6,17,1,248,413
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 159","Etobicoke",54,2,74,54,0,23,2,209,350
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 160","Etobicoke",58,1,140,48,0,20,2,269,408
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 161","Etobicoke",69,0,94,63,1,16,1,244,398
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 162","Etobicoke",90,1,127,56,2,25,2,303,443
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 163","Etobicoke",74,0,123,61,2,28,0,288,440
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 164","Etobicoke",80,0,86,68,0,23,4,261,411
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 165","Etobicoke",58,1,99,49,0,20,0,227,363
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 166","Etobicoke",130,1,167,35,0,16,1,350,587
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 167A","Etobicoke",170,0,207,38,1,20,0,436,708
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 167B","Etobicoke",Merged with No. 417/Fusionné avec le nº 417,,,,,,,,34
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 167C","Etobicoke",Merged with No. 416/Fusionné avec le nº 416,,,,,,,,60
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 168","Etobicoke",33,0,33,12,0,4,0,82,186
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 169","Etobicoke",47,0,96,24,0,8,2,177,398
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 170","Etobicoke",63,0,93,20,0,4,0,180,361
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 171","Etobicoke",51,0,64,10,0,6,0,131,326
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 172","Etobicoke",76,1,88,18,0,4,0,187,362
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 173","Etobicoke",65,0,91,21,0,3,0,180,324
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 174","Etobicoke",70,1,85,43,0,12,0,211,404
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 175","Etobicoke",67,4,102,50,1,10,0,234,396
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 176","Etobicoke",82,3,98,47,0,11,2,243,406
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 177","Etobicoke",100,3,123,61,2,3,4,296,425
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 178","Etobicoke",78,0,112,68,1,23,1,283,457
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 179","Etobicoke",63,0,109,64,1,12,1,250,470
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 180","Etobicoke",30,1,34,22,0,2,0,89,179
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 181","Etobicoke",56,0,61,39,0,10,0,166,426
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 182","Etobicoke",30,1,59,56,0,5,2,153,283
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 183","Etobicoke",45,0,70,34,1,13,3,166,356
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 184","Etobicoke",67,0,122,55,2,13,2,261,475
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 185","Etobicoke",74,1,80,46,3,14,4,222,377
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 186","Etobicoke",59,0,88,49,0,16,1,213,317
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 187","Etobicoke",42,3,58,52,0,15,1,171,365
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 188","Etobicoke",86,2,95,57,1,22,0,263,469
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 189","Etobicoke",65,1,94,31,0,10,0,201,342
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 400","Etobicoke",77,0,80,3,0,2,0,162,229
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 401","Etobicoke",100,0,122,19,0,14,2,257,351
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 402","Etobicoke",38,4,34,20,1,8,0,105,228
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 403","Etobicoke",49,1,51,35,0,18,0,154,330
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 404","Etobicoke",31,0,56,17,0,7,1,112,248
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 405","Etobicoke",32,1,72,30,1,7,0,143,279
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 406","Etobicoke",24,0,47,22,0,4,0,97,226
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 407","Etobicoke",42,0,82,21,0,4,1,150,330
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 408","Etobicoke",74,5,127,36,7,3,3,255,388
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 409","Etobicoke",43,0,80,35,0,6,1,165,408
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 410","Etobicoke",80,1,109,41,0,10,0,241,422
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 411","Etobicoke",169,1,206,27,0,14,0,417,644
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 412","Etobicoke",149,0,222,23,0,18,0,412,658
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 413","Etobicoke",13,1,18,6,0,2,1,41,113
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 414","Etobicoke",46,0,95,20,1,14,0,176,291
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 415","Etobicoke",56,0,85,13,0,6,0,160,306
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 416","Etobicoke",26,0,72,19,0,9,1,127,229
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 417","Etobicoke",11,0,39,12,0,5,0,67,137
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 418","Etobicoke",48,1,78,33,0,6,0,166,341
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 500","Mobile poll/Bureau itinérant",52,0,35,4,0,4,1,96,194
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 501","Mobile poll/Bureau itinérant",21,3,22,12,1,1,0,60,171
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 502","Mobile poll/Bureau itinérant",17,3,20,8,0,0,0,48,196
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 600","Etobicoke",374,3,378,93,0,27,2,877,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 601","Etobicoke",428,0,390,67,1,27,1,914,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 602","Etobicoke",532,2,439,86,1,41,4,1105,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 603","Etobicoke",300,2,288,65,0,24,4,683,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 604","Etobicoke",307,4,280,86,1,29,8,715,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 605","Etobicoke",345,4,274,112,0,32,3,770,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 606","Etobicoke",200,5,252,94,0,44,2,597,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 607","Etobicoke",249,2,304,100,0,28,1,684,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 608","Etobicoke",338,2,420,74,3,33,3,873,
"Etobicoke--Lakeshore/Etobicoke--Lakeshore",,Group 1/Groupe 1,14,0,28,9,0,7,11,69,125
"Etobicoke--Lakeshore/Etobicoke--Lakeshore",,Group 2/Groupe 2,382,1,434,120,1,36,10,984,
