Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cummins,William Jonsson,Jean-Philippe Laflamme,Patricia Whittaker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Delta--Richmond East/Delta--Richmond-Est"," 82","Richmond",100,35,18,134,0,287,421
"Delta--Richmond East/Delta--Richmond-Est"," 83","Richmond",163,33,25,131,2,354,571
"Delta--Richmond East/Delta--Richmond-Est"," 84","Richmond",116,42,15,108,1,282,452
"Delta--Richmond East/Delta--Richmond-Est"," 85","Richmond",180,44,23,153,2,402,634
"Delta--Richmond East/Delta--Richmond-Est"," 86","Richmond",74,49,17,80,2,222,353
"Delta--Richmond East/Delta--Richmond-Est"," 87","Richmond",49,20,6,43,1,119,176
"Delta--Richmond East/Delta--Richmond-Est"," 88","Richmond",129,61,24,135,0,349,607
"Delta--Richmond East/Delta--Richmond-Est"," 89","Richmond",175,54,26,152,0,407,665
"Delta--Richmond East/Delta--Richmond-Est"," 90","Delta",Merged with No. 26B/Fusionné avec le nº 26B,,,,,,16
"Delta--Richmond East/Delta--Richmond-Est"," 91","Delta",184,39,18,79,0,320,488
"Delta--Richmond East/Delta--Richmond-Est"," 92","Delta",224,45,14,91,2,376,585
"Delta--Richmond East/Delta--Richmond-Est"," 93","Delta",166,21,17,102,0,306,462
"Delta--Richmond East/Delta--Richmond-Est"," 94","Delta",144,33,14,48,0,239,344
"Delta--Richmond East/Delta--Richmond-Est"," 95","Delta",190,56,12,72,1,331,481
"Delta--Richmond East/Delta--Richmond-Est"," 96","Delta",99,25,19,70,0,213,414
"Delta--Richmond East/Delta--Richmond-Est"," 97","Delta",182,32,16,64,1,295,462
"Delta--Richmond East/Delta--Richmond-Est"," 98","Delta",168,27,19,74,0,288,444
"Delta--Richmond East/Delta--Richmond-Est"," 99","Delta",92,38,8,59,0,197,349
"Delta--Richmond East/Delta--Richmond-Est"," 100","Delta",108,33,22,72,1,236,342
"Delta--Richmond East/Delta--Richmond-Est"," 101","Delta",173,51,20,59,2,305,439
"Delta--Richmond East/Delta--Richmond-Est"," 102","Delta",103,50,13,56,0,222,436
"Delta--Richmond East/Delta--Richmond-Est"," 103","Delta",140,53,19,73,0,285,438
"Delta--Richmond East/Delta--Richmond-Est"," 104","Delta",115,45,13,71,0,244,455
"Delta--Richmond East/Delta--Richmond-Est"," 105","Delta",72,33,4,35,0,144,323
"Delta--Richmond East/Delta--Richmond-Est"," 106","Delta",93,33,12,32,0,170,272
"Delta--Richmond East/Delta--Richmond-Est"," 107","Delta",127,30,17,40,0,214,333
"Delta--Richmond East/Delta--Richmond-Est"," 108","Delta",119,45,14,64,0,242,369
"Delta--Richmond East/Delta--Richmond-Est"," 109","Delta",85,43,15,50,0,193,317
"Delta--Richmond East/Delta--Richmond-Est"," 110","Delta",110,65,14,48,0,237,375
"Delta--Richmond East/Delta--Richmond-Est"," 111","Delta",77,35,5,38,3,158,314
"Delta--Richmond East/Delta--Richmond-Est"," 112A","Delta",102,36,11,62,0,211,326
"Delta--Richmond East/Delta--Richmond-Est"," 112B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,19
"Delta--Richmond East/Delta--Richmond-Est"," 113","Delta",101,54,19,51,0,225,333
"Delta--Richmond East/Delta--Richmond-Est"," 114","Delta",117,34,16,74,1,242,335
"Delta--Richmond East/Delta--Richmond-Est"," 115","Delta",85,16,10,40,0,151,301
"Delta--Richmond East/Delta--Richmond-Est"," 116","Delta",135,18,5,52,1,211,372
"Delta--Richmond East/Delta--Richmond-Est"," 117","Delta",96,48,12,47,2,205,395
"Delta--Richmond East/Delta--Richmond-Est"," 118","Delta",25,5,5,15,1,51,118
"Delta--Richmond East/Delta--Richmond-Est"," 119","Delta",215,69,24,104,0,412,646
"Delta--Richmond East/Delta--Richmond-Est"," 120","Delta",165,51,9,63,2,290,473
"Delta--Richmond East/Delta--Richmond-Est"," 121","Delta",156,58,12,96,0,322,479
"Delta--Richmond East/Delta--Richmond-Est"," 122","Delta",113,36,12,56,1,218,375
"Delta--Richmond East/Delta--Richmond-Est"," 123","Delta",106,41,14,51,0,212,361
"Delta--Richmond East/Delta--Richmond-Est"," 124","Delta",131,53,5,76,1,266,413
"Delta--Richmond East/Delta--Richmond-Est"," 125","Delta",101,46,6,45,0,198,337
"Delta--Richmond East/Delta--Richmond-Est"," 126","Delta",231,48,10,75,1,365,566
"Delta--Richmond East/Delta--Richmond-Est"," 127","Delta",119,43,8,55,0,225,350
"Delta--Richmond East/Delta--Richmond-Est"," 128","Delta",138,33,9,49,0,229,331
"Delta--Richmond East/Delta--Richmond-Est"," 129","Delta",167,42,12,60,0,281,434
"Delta--Richmond East/Delta--Richmond-Est"," 130","Delta",187,27,11,96,1,322,486
"Delta--Richmond East/Delta--Richmond-Est"," 131","Delta",146,51,6,74,0,277,487
"Delta--Richmond East/Delta--Richmond-Est"," 132","Delta",160,25,11,81,0,277,428
"Delta--Richmond East/Delta--Richmond-Est"," 133","Delta",101,22,5,36,3,167,368
"Delta--Richmond East/Delta--Richmond-Est"," 134","Delta",37,34,8,39,0,118,284
"Delta--Richmond East/Delta--Richmond-Est"," 135","Delta",233,36,15,87,0,371,598
"Delta--Richmond East/Delta--Richmond-Est"," 136","Delta",106,21,5,41,0,173,297
"Delta--Richmond East/Delta--Richmond-Est"," 137","Delta",120,40,20,57,0,237,432
"Delta--Richmond East/Delta--Richmond-Est"," 138","Delta",113,40,13,50,0,216,296
"Delta--Richmond East/Delta--Richmond-Est"," 139","Delta",134,31,30,79,2,276,401
"Delta--Richmond East/Delta--Richmond-Est"," 140","Delta",183,48,19,73,1,324,476
"Delta--Richmond East/Delta--Richmond-Est"," 141","Delta",159,29,14,60,0,262,395
"Delta--Richmond East/Delta--Richmond-Est"," 142","Delta",87,23,10,48,0,168,263
"Delta--Richmond East/Delta--Richmond-Est"," 143","Delta",92,46,10,52,0,200,349
"Delta--Richmond East/Delta--Richmond-Est"," 144","Delta",152,43,12,66,1,274,505
"Delta--Richmond East/Delta--Richmond-Est"," 145","Delta",150,36,9,75,0,270,477
"Delta--Richmond East/Delta--Richmond-Est"," 146","Delta",145,35,28,63,1,272,386
"Delta--Richmond East/Delta--Richmond-Est"," 147","Delta",152,38,26,95,1,312,464
"Delta--Richmond East/Delta--Richmond-Est"," 148","Delta",185,15,16,71,0,287,466
"Delta--Richmond East/Delta--Richmond-Est"," 149","Delta",121,22,8,59,0,210,343
"Delta--Richmond East/Delta--Richmond-Est"," 150","Delta",168,36,15,85,2,306,444
"Delta--Richmond East/Delta--Richmond-Est"," 151","Delta",144,22,21,60,0,247,389
"Delta--Richmond East/Delta--Richmond-Est"," 152","Delta",145,35,20,76,0,276,425
"Delta--Richmond East/Delta--Richmond-Est"," 153","Delta",86,30,11,45,1,173,336
"Delta--Richmond East/Delta--Richmond-Est"," 154","Delta",137,42,7,81,0,267,394
"Delta--Richmond East/Delta--Richmond-Est"," 155","Delta",166,24,22,77,1,290,443
"Delta--Richmond East/Delta--Richmond-Est"," 156","Delta",98,35,10,46,0,189,281
"Delta--Richmond East/Delta--Richmond-Est"," 157","Delta",160,38,10,63,0,271,452
"Delta--Richmond East/Delta--Richmond-Est"," 158","Delta",138,35,8,54,1,236,367
"Delta--Richmond East/Delta--Richmond-Est"," 159","Delta",190,30,15,76,0,311,468
"Delta--Richmond East/Delta--Richmond-Est"," 160","Delta",147,26,22,56,0,251,370
"Delta--Richmond East/Delta--Richmond-Est"," 161","Delta",137,25,20,66,0,248,397
"Delta--Richmond East/Delta--Richmond-Est"," 162","Delta",155,24,12,57,0,248,400
"Delta--Richmond East/Delta--Richmond-Est"," 163","Delta",101,31,16,61,0,209,362
"Delta--Richmond East/Delta--Richmond-Est"," 164","Delta",160,23,16,65,0,264,408
"Delta--Richmond East/Delta--Richmond-Est"," 165","Delta",151,30,15,97,1,294,438
"Delta--Richmond East/Delta--Richmond-Est"," 166","Delta",154,35,25,54,0,268,423
"Delta--Richmond East/Delta--Richmond-Est"," 167","Delta",153,23,14,57,0,247,389
"Delta--Richmond East/Delta--Richmond-Est"," 168","Delta",161,31,25,61,1,279,424
"Delta--Richmond East/Delta--Richmond-Est"," 169","Delta",183,25,10,90,0,308,467
"Delta--Richmond East/Delta--Richmond-Est"," 170","Delta",189,16,11,67,1,284,451
"Delta--Richmond East/Delta--Richmond-Est"," 171","Delta",111,17,6,41,0,175,313
"Delta--Richmond East/Delta--Richmond-Est"," 172","Delta",146,44,21,79,0,290,408
"Delta--Richmond East/Delta--Richmond-Est"," 173","Delta",180,23,13,72,0,288,431
"Delta--Richmond East/Delta--Richmond-Est"," 174","Delta",122,23,19,58,0,222,350
"Delta--Richmond East/Delta--Richmond-Est"," 500","Mobile poll/Bureau itinérant",26,6,0,16,3,51,106
"Delta--Richmond East/Delta--Richmond-Est"," 501","Mobile poll/Bureau itinérant",123,11,4,51,5,194,285
"Delta--Richmond East/Delta--Richmond-Est"," 502","Mobile poll/Bureau itinérant",33,22,1,19,2,77,126
"Delta--Richmond East/Delta--Richmond-Est"," 503","Mobile poll/Bureau itinérant",24,11,1,12,0,48,80
"Delta--Richmond East/Delta--Richmond-Est"," 600","Richmond",255,41,10,178,3,487,
"Delta--Richmond East/Delta--Richmond-Est"," 601","Richmond--Delta",53,16,4,30,1,104,
"Delta--Richmond East/Delta--Richmond-Est"," 602","Richmond",160,35,14,117,0,326,
"Delta--Richmond East/Delta--Richmond-Est"," 603","Richmond",153,32,12,90,1,288,
"Delta--Richmond East/Delta--Richmond-Est"," 604","Richmond",145,57,16,95,0,313,
"Delta--Richmond East/Delta--Richmond-Est"," 605","Richmond",155,27,9,100,1,292,
"Delta--Richmond East/Delta--Richmond-Est"," 606","Delta",332,76,22,134,1,565,
"Delta--Richmond East/Delta--Richmond-Est"," 607","Delta",295,47,9,81,1,433,
"Delta--Richmond East/Delta--Richmond-Est"," 608","Delta",374,66,24,125,0,589,
"Delta--Richmond East/Delta--Richmond-Est"," 609","Delta",413,34,22,137,0,606,
"Delta--Richmond East/Delta--Richmond-Est",,Group 1/Groupe 1,34,9,7,17,3,70,118
"Delta--Richmond East/Delta--Richmond-Est",,Group 2/Groupe 2,394,75,25,172,13,679,
