Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Cauchon,Robert Gauthier,Michel Guimond,Yves Jourdain,Yves Laberge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 13","Sainte-Anne-de-Portneuf",8,9,83,0,33,1,134,261
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 14","Sainte-Anne-de-Portneuf",2,5,75,3,27,2,114,254
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 15A","Longue-Rive",13,7,107,3,21,0,151,290
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 15B","Longue-Rive",2,12,148,2,26,1,191,301
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 16","Longue-Rive",Merged with No. 15B/Fusionné avec le nº 15B,,,,,,,64
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 17","Longue-Rive",3,4,58,0,10,1,76,189
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 18","Longue-Rive",6,3,80,4,14,1,108,234
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 19","Les Escoumins",11,20,111,3,38,1,184,325
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 20A","Les Escoumins",10,8,76,0,36,1,131,295
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 20B","Mobile poll/Bureau itinérant",Merged with No. 25B/Fusionné avec le nº 25B,,,,,,,20
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 21","Les Escoumins",12,15,85,3,30,1,146,335
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 22","Les Escoumins",5,3,94,0,31,1,134,315
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 23","Les Escoumins",13,8,15,5,16,1,58,150
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 24","Les Escoumins",11,7,124,3,57,1,203,409
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 25A","Les Bergeronnes",6,8,97,9,31,1,152,269
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 25B","Mobile poll/Bureau itinérant",0,11,12,0,4,0,27,25
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 26","Les Bergeronnes",5,17,104,8,42,0,176,268
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 27","Sacré-Coeur",9,19,96,5,67,1,197,364
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 28","Sacré-Coeur",8,24,70,3,36,3,144,295
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 29","Tadoussac",10,10,78,10,33,1,142,245
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 30","Tadoussac",22,15,140,16,46,4,243,430
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 31","Sacré-Coeur",8,16,108,10,69,5,216,411
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 32","Sacré-Coeur",10,20,125,8,46,1,210,427
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 33","Baie-Sainte-Catherine",3,15,84,13,17,2,134,205
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 34","Sagard",5,7,46,2,32,0,92,140
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 35","Baie-des-Rochers",6,2,56,3,20,0,87,225
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 36","Saint-Siméon",3,20,73,7,40,6,149,298
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 37","Saint-Siméon",7,26,55,2,23,2,115,242
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 38A","Port-au-Persil",6,25,88,6,40,2,167,344
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 38B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,16
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 39","Saint-Fidèle",9,14,48,4,29,0,104,198
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 40","Saint-Fidèle",19,24,133,7,73,3,259,485
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 41","Saint-Aimé-des-Lacs",11,18,135,7,61,3,235,461
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 42","Clermont",6,15,125,2,37,0,185,361
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 43","Clermont",6,11,85,3,27,3,135,280
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 44A","Clermont",5,12,116,6,34,1,174,310
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 44B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,12
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 45","Clermont",9,20,105,4,67,6,211,350
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 46","Clermont",9,25,80,3,45,2,164,343
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 47A","Clermont",18,19,92,6,61,3,199,376
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 47B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,47
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 48","Clermont",17,20,158,1,64,4,264,475
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 49","Saint-Aimé-des-Lacs",6,11,106,3,44,0,170,315
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 50","Sainte-Agnès",10,20,153,5,80,2,270,508
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 51A","Notre-Dame-des-Monts",8,16,127,11,23,2,187,328
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 51B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,9
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 52","Notre-Dame-des-Monts",12,25,105,3,22,2,169,338
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 53","Saint-Hilarion",11,26,115,8,58,4,222,368
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 54","Notre-Dame-des-Monts",4,21,58,0,45,2,130,239
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 55","Saint-Hilarion",7,20,77,1,41,3,149,286
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 56","Rivière-Malbaie",4,5,54,4,23,1,91,238
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 57","Cap-à-l'Aigle",12,17,136,3,53,2,223,424
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 58","Cap-à-l'Aigle",14,18,65,8,34,2,141,252
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 59","Rivière-Malbaie",22,20,139,11,54,5,251,460
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 60","Rivière-Malbaie",11,32,161,4,75,3,286,505
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 61","Rivière-Malbaie",10,14,94,8,53,2,181,348
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 62","La Malbaie-Pointe-au-Pic",19,16,102,8,64,2,211,376
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 63","La Malbaie-Pointe-au-Pic",8,28,113,11,42,2,204,453
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 64A","La Malbaie-Pointe-au-Pic",12,23,81,7,28,7,158,378
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 64B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,10
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 65","Rivière-Malbaie",7,15,44,4,20,1,91,229
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 66","Rivière-Malbaie",15,30,85,6,60,2,198,345
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 67","La Malbaie-Pointe-au-Pic",8,16,66,6,24,1,121,227
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 68","La Malbaie-Pointe-au-Pic",6,7,49,2,27,1,92,216
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 69","La Malbaie-Pointe-au-Pic",18,33,151,6,80,4,292,543
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 70","La Malbaie-Pointe-au-Pic",1,14,78,3,24,3,123,322
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 71","La Malbaie-Pointe-au-Pic",11,22,106,3,36,2,180,337
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 72","La Malbaie-Pointe-au-Pic",16,9,78,6,46,0,155,262
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 73","La Malbaie-Pointe-au-Pic",14,16,78,6,31,1,146,253
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 74","Saint-Irénée",9,8,56,1,53,1,128,204
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 75","Saint-Irénée",15,35,104,11,68,1,234,391
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 76","Les Éboulements",6,20,71,9,53,3,162,245
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 77","Les Éboulements",18,32,116,11,76,6,259,375
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 78","Les Éboulements",16,36,114,4,69,0,239,398
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 79","Saint-Bernard-sur-Mer",3,9,30,2,28,0,72,148
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 80","Pointe-des-Roches",6,53,120,5,89,1,274,528
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 81","Cap-à-la-Branche",6,44,86,5,64,1,206,401
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 82","Saint-Urbain",10,40,108,4,47,1,210,355
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 83","Saint-Urbain",6,20,91,5,71,2,195,289
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 84A","Saint-Urbain",13,24,156,11,62,2,268,466
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 84B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,8
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 85","Baie-Saint-Paul",5,10,60,5,29,1,110,249
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 86","Baie-Saint-Paul",7,13,73,10,35,0,138,248
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 87","Baie-Saint-Paul",22,20,100,11,85,1,239,428
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 88","Baie-Saint-Paul",10,27,117,14,45,1,214,394
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 89","Baie-Saint-Paul",10,14,67,5,36,1,133,298
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 90","Baie-Saint-Paul",7,14,55,11,46,3,136,363
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 91","Baie-Saint-Paul",18,7,142,7,61,2,237,458
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 92","Baie-Saint-Paul",11,10,77,4,42,4,148,297
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 93","Baie-Saint-Paul",3,20,71,8,38,4,144,281
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 94","Baie-Saint-Paul",9,17,72,2,41,4,145,352
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 95","Baie-Saint-Paul",12,17,133,6,84,3,255,531
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 96","Baie-Saint-Paul",15,27,124,11,84,5,266,509
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 97A","Baie-Saint-Paul",5,14,73,6,46,0,144,343
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 97B","Baie-Saint-Paul",6,11,71,5,39,0,132,308
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 98","Baie-Saint-Paul",7,38,99,8,55,2,209,399
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 99","Baie-Saint-Paul",19,11,108,5,53,2,198,398
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 100","Petite-Rivière-Saint-François",8,34,63,2,37,0,144,277
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 101","Petite-Rivière-Saint-François",14,37,75,9,54,1,190,320
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 102","Stoneham-et-Tewkesbury",Void/Supprimé,,,,,,,
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 103A","Sainte-Anne-de-Beaupré",5,21,94,5,58,0,183,336
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 103B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,25
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 104","Sainte-Anne-de-Beaupré",5,15,48,2,41,0,111,242
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 105","Sainte-Anne-de-Beaupré",7,13,67,1,52,1,141,321
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 106","Sainte-Anne-de-Beaupré",12,14,91,1,58,5,181,351
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 107","Sainte-Anne-de-Beaupré",3,3,31,5,26,3,71,151
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 108","Sainte-Anne-de-Beaupré",5,22,76,3,64,4,174,421
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 109","Sainte-Anne-de-Beaupré",8,10,118,4,80,2,222,469
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 110","Château-Richer",8,25,82,9,64,1,189,374
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 111","Château-Richer",19,14,105,11,67,1,217,362
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 112","Château-Richer",21,10,102,10,85,3,231,425
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 113","Château-Richer",6,7,53,5,44,2,117,214
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 114","Château-Richer",14,13,83,7,68,2,187,361
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 115","Château-Richer",18,14,116,6,64,3,221,406
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 116","Château-Richer",12,17,131,20,94,4,278,477
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 117","Château-Richer",9,8,46,8,58,1,130,309
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 118","Saint-Tite-des-Caps",6,11,75,5,41,0,138,285
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 119","Saint-Tite-des-Caps",5,7,85,5,50,0,152,268
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 120","Saint-Tite-des-Caps",10,15,120,5,98,3,251,418
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 121","Saint-Ferréol-les-Neiges",14,20,132,9,95,5,275,539
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 122","Saint-Tite-des-Caps",3,5,63,4,54,0,129,213
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 123","Saint-Ferréol-les-Neiges",22,15,125,13,104,3,282,531
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 124","Saint-Ferréol-les-Neiges",27,25,100,23,102,0,277,574
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 125","Saint-Ferréol-les-Neiges",23,20,116,33,137,2,331,600
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 126","Saint-Joachim",11,11,104,4,63,1,194,336
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 127","Saint-Joachim",11,14,178,5,98,5,311,485
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 128","Saint-Joachim",4,13,131,4,65,3,220,360
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 129","Beaupré",10,9,116,8,86,1,230,463
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 130","Beaupré",11,17,87,6,51,1,173,282
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 131","Beaupré",6,20,82,6,52,0,166,367
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 132","Beaupré",16,17,152,5,70,1,261,413
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 133A","Beaupré",13,10,72,9,64,1,169,319
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 133B","Beaupré",12,8,76,10,72,2,180,317
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 134","Beaupré",10,11,69,8,36,0,134,230
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 135","Saint-François",20,16,128,5,100,1,270,461
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 136","Saint-Jean",22,18,85,12,74,1,212,337
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 137","Sainte-Famille",16,7,90,10,108,2,233,353
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 138","Sainte-Famille",17,11,76,10,107,3,224,347
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 139","Saint-Jean",17,23,98,10,94,0,242,359
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 140","St. Laurent",33,32,147,19,172,2,405,599
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 141","St. Laurent",22,10,70,10,74,0,186,299
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 142","Saint-Pierre",13,15,104,8,106,5,251,396
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 143","Saint-Pierre",16,7,96,9,110,1,239,383
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 144","Saint-Pierre",14,5,72,10,78,0,179,301
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 145","Saint-Pierre",12,15,121,11,116,2,277,407
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 146","St. Laurent",15,14,83,6,133,1,252,393
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 147","Sainte-Pétronille",19,3,90,13,46,0,171,248
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 148","Sainte-Pétronille",22,19,175,21,171,3,411,599
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 149","L'Ange-Gardien",6,4,61,5,70,1,147,296
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 150","L'Ange-Gardien",32,26,160,17,162,28,425,677
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 151","L'Ange-Gardien",20,16,93,11,113,6,259,413
"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 152","L'Ange-Gardien",21,19,153,18,112,4,327,489
