Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Georges-Alexandre Bastien,Jean-Paul Bédard,Serge Bellemare,May Chiu,Russ Johnson,Jean-Philippe Lebleu,Paul Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"LaSalle--Émard/LaSalle--Émard"," 34","LaSalle",24,2,5,37,20,0,156,0,244,438
"LaSalle--Émard/LaSalle--Émard"," 35","LaSalle",25,1,2,30,9,1,143,4,215,379
"LaSalle--Émard/LaSalle--Émard"," 36","LaSalle",30,1,6,43,16,0,141,1,238,468
"LaSalle--Émard/LaSalle--Émard"," 37","LaSalle",11,1,4,32,16,1,153,5,223,444
"LaSalle--Émard/LaSalle--Émard"," 38","LaSalle",22,1,4,31,10,0,95,3,166,391
"LaSalle--Émard/LaSalle--Émard"," 39","LaSalle",34,2,9,29,12,1,157,1,245,430
"LaSalle--Émard/LaSalle--Émard"," 40","LaSalle",34,1,6,25,10,0,159,4,239,414
"LaSalle--Émard/LaSalle--Émard"," 41","LaSalle",23,0,8,26,11,5,87,1,161,335
"LaSalle--Émard/LaSalle--Émard"," 42","LaSalle",27,0,8,15,8,1,172,0,231,367
"LaSalle--Émard/LaSalle--Émard"," 43","LaSalle",29,2,3,40,11,0,138,1,224,424
"LaSalle--Émard/LaSalle--Émard"," 44","LaSalle",36,0,5,43,8,0,140,5,237,305
"LaSalle--Émard/LaSalle--Émard"," 45","LaSalle",37,0,7,39,7,1,140,0,231,441
"LaSalle--Émard/LaSalle--Émard"," 46","LaSalle",31,0,9,50,12,0,133,1,236,448
"LaSalle--Émard/LaSalle--Émard"," 47","LaSalle",28,2,3,29,15,1,173,0,251,415
"LaSalle--Émard/LaSalle--Émard"," 48","LaSalle",Merged with No. 44/Fusionné avec le nº 44,,,,,,,,,264
"LaSalle--Émard/LaSalle--Émard"," 49","LaSalle",11,1,4,15,5,1,108,3,148,385
"LaSalle--Émard/LaSalle--Émard"," 50","Montréal",28,0,11,92,13,0,152,0,296,520
"LaSalle--Émard/LaSalle--Émard"," 51","Montréal",26,0,2,107,11,1,54,6,207,364
"LaSalle--Émard/LaSalle--Émard"," 52","Montréal",36,0,10,94,18,2,85,5,250,422
"LaSalle--Émard/LaSalle--Émard"," 53","Montréal",14,0,5,109,11,2,43,3,187,317
"LaSalle--Émard/LaSalle--Émard"," 54","Montréal",19,1,12,95,23,3,80,4,237,396
"LaSalle--Émard/LaSalle--Émard"," 55","Montréal",14,2,8,92,11,4,89,0,220,469
"LaSalle--Émard/LaSalle--Émard"," 56","Montréal",19,3,9,106,14,0,42,0,193,380
"LaSalle--Émard/LaSalle--Émard"," 57","Montréal",31,1,12,139,21,4,83,5,296,430
"LaSalle--Émard/LaSalle--Émard"," 58","Montréal",30,1,9,108,21,2,68,4,243,457
"LaSalle--Émard/LaSalle--Émard"," 59","Montréal",17,0,10,86,15,2,68,2,200,352
"LaSalle--Émard/LaSalle--Émard"," 60","Montréal",28,0,12,153,20,2,97,8,320,505
"LaSalle--Émard/LaSalle--Émard"," 61","Montréal",20,2,5,91,10,1,77,0,206,336
"LaSalle--Émard/LaSalle--Émard"," 62","Montréal",14,3,2,86,19,0,92,3,219,388
"LaSalle--Émard/LaSalle--Émard"," 63","Montréal",31,0,8,81,17,0,78,1,216,384
"LaSalle--Émard/LaSalle--Émard"," 64","Montréal",13,1,5,75,17,1,71,1,184,361
"LaSalle--Émard/LaSalle--Émard"," 65","Montréal",20,0,8,58,10,0,74,2,172,347
"LaSalle--Émard/LaSalle--Émard"," 66","Montréal",36,0,7,115,14,2,73,8,255,409
"LaSalle--Émard/LaSalle--Émard"," 67","Montréal",22,2,10,132,16,2,73,6,263,446
"LaSalle--Émard/LaSalle--Émard"," 68","Montréal",18,0,8,75,12,3,65,2,183,314
"LaSalle--Émard/LaSalle--Émard"," 69","Montréal",30,0,8,78,8,2,54,4,184,307
"LaSalle--Émard/LaSalle--Émard"," 70","Montréal",18,2,8,80,9,2,47,6,172,364
"LaSalle--Émard/LaSalle--Émard"," 71","Montréal",20,1,6,61,24,0,75,3,190,401
"LaSalle--Émard/LaSalle--Émard"," 72","Montréal",20,1,4,60,12,0,54,1,152,333
"LaSalle--Émard/LaSalle--Émard"," 73","Montréal",18,1,9,64,9,0,75,3,179,338
"LaSalle--Émard/LaSalle--Émard"," 74","Montréal",15,1,5,67,12,1,77,1,179,355
"LaSalle--Émard/LaSalle--Émard"," 75","Montréal",20,0,7,83,17,2,102,3,234,456
"LaSalle--Émard/LaSalle--Émard"," 76","LaSalle",21,0,5,41,12,2,181,1,263,490
"LaSalle--Émard/LaSalle--Émard"," 77","LaSalle",30,1,10,26,10,1,134,2,214,383
"LaSalle--Émard/LaSalle--Émard"," 78","LaSalle",21,2,4,33,8,2,140,2,212,433
"LaSalle--Émard/LaSalle--Émard"," 79","LaSalle",26,1,2,39,14,4,166,1,253,497
"LaSalle--Émard/LaSalle--Émard"," 80","LaSalle",29,1,15,62,21,0,116,3,247,415
"LaSalle--Émard/LaSalle--Émard"," 81","LaSalle",20,0,10,63,7,3,74,0,177,320
"LaSalle--Émard/LaSalle--Émard"," 82","LaSalle",21,1,7,73,8,2,100,4,216,359
"LaSalle--Émard/LaSalle--Émard"," 83","LaSalle",27,0,4,56,14,3,127,2,233,437
"LaSalle--Émard/LaSalle--Émard"," 84","LaSalle",23,1,2,42,9,2,156,4,239,435
"LaSalle--Émard/LaSalle--Émard"," 85","LaSalle",38,0,5,24,9,3,155,2,236,369
"LaSalle--Émard/LaSalle--Émard"," 86","LaSalle",19,2,6,19,12,1,127,0,186,355
"LaSalle--Émard/LaSalle--Émard"," 87","LaSalle",22,0,6,25,11,1,125,2,192,412
"LaSalle--Émard/LaSalle--Émard"," 88","LaSalle",30,1,5,42,17,1,132,1,229,434
"LaSalle--Émard/LaSalle--Émard"," 89","LaSalle",21,2,4,37,8,1,153,3,229,406
"LaSalle--Émard/LaSalle--Émard"," 90","LaSalle",24,0,4,35,9,1,149,6,228,422
"LaSalle--Émard/LaSalle--Émard"," 91","LaSalle",39,0,5,38,9,5,171,0,267,411
"LaSalle--Émard/LaSalle--Émard"," 92","LaSalle",56,0,13,81,20,4,153,5,332,546
"LaSalle--Émard/LaSalle--Émard"," 93","LaSalle",53,1,7,70,10,1,118,2,262,426
"LaSalle--Émard/LaSalle--Émard"," 94","LaSalle",23,0,4,24,8,0,159,1,219,351
"LaSalle--Émard/LaSalle--Émard"," 95","LaSalle",26,0,6,36,12,0,240,1,321,566
"LaSalle--Émard/LaSalle--Émard"," 96","LaSalle",23,2,7,23,20,0,122,1,198,405
"LaSalle--Émard/LaSalle--Émard"," 97","LaSalle",22,0,3,35,12,1,55,0,128,338
"LaSalle--Émard/LaSalle--Émard"," 98","LaSalle",23,1,8,65,21,1,77,5,201,440
"LaSalle--Émard/LaSalle--Émard"," 99","LaSalle",36,1,17,118,19,3,152,0,346,543
"LaSalle--Émard/LaSalle--Émard"," 100","LaSalle",34,0,7,27,8,0,58,2,136,324
"LaSalle--Émard/LaSalle--Émard"," 101","LaSalle",20,1,6,30,12,1,95,0,165,325
"LaSalle--Émard/LaSalle--Émard"," 102","LaSalle",42,0,8,27,11,2,91,0,181,359
"LaSalle--Émard/LaSalle--Émard"," 103","LaSalle",37,1,7,72,17,1,96,2,233,480
"LaSalle--Émard/LaSalle--Émard"," 104","LaSalle",31,1,4,64,9,1,79,6,195,419
"LaSalle--Émard/LaSalle--Émard"," 105","LaSalle",34,0,5,123,21,3,97,5,288,461
"LaSalle--Émard/LaSalle--Émard"," 106","LaSalle",26,1,8,114,10,4,88,6,257,435
"LaSalle--Émard/LaSalle--Émard"," 107","LaSalle",34,1,7,72,9,1,88,0,212,438
"LaSalle--Émard/LaSalle--Émard"," 108","LaSalle",13,1,4,40,13,0,94,2,167,331
"LaSalle--Émard/LaSalle--Émard"," 109","LaSalle",31,0,4,30,10,1,108,5,189,383
"LaSalle--Émard/LaSalle--Émard"," 110","LaSalle",29,1,7,53,6,2,166,5,269,442
"LaSalle--Émard/LaSalle--Émard"," 111","LaSalle",30,2,4,84,9,1,87,2,219,403
"LaSalle--Émard/LaSalle--Émard"," 112","LaSalle",25,0,7,27,12,1,164,2,238,439
"LaSalle--Émard/LaSalle--Émard"," 113","LaSalle",26,0,8,32,4,2,129,2,203,422
"LaSalle--Émard/LaSalle--Émard"," 114","LaSalle",25,0,4,26,4,0,109,2,170,375
"LaSalle--Émard/LaSalle--Émard"," 115","LaSalle",25,0,5,27,7,2,93,2,161,339
"LaSalle--Émard/LaSalle--Émard"," 116","LaSalle",33,0,4,38,6,0,165,2,248,434
"LaSalle--Émard/LaSalle--Émard"," 117","LaSalle",24,1,4,24,15,0,131,2,201,383
"LaSalle--Émard/LaSalle--Émard"," 118","LaSalle",35,0,13,74,17,0,71,5,215,419
"LaSalle--Émard/LaSalle--Émard"," 119","LaSalle",37,1,11,65,14,1,104,2,235,383
"LaSalle--Émard/LaSalle--Émard"," 120","LaSalle",23,0,15,65,15,0,68,1,187,330
"LaSalle--Émard/LaSalle--Émard"," 121","LaSalle",43,0,4,89,16,1,88,0,241,405
"LaSalle--Émard/LaSalle--Émard"," 122","LaSalle",20,0,16,91,18,1,59,3,208,373
"LaSalle--Émard/LaSalle--Émard"," 123","LaSalle",22,0,3,27,19,0,78,1,150,380
"LaSalle--Émard/LaSalle--Émard"," 124","LaSalle",36,0,9,121,19,4,71,0,260,400
"LaSalle--Émard/LaSalle--Émard"," 125","LaSalle",31,0,18,137,18,1,73,2,280,438
"LaSalle--Émard/LaSalle--Émard"," 126","LaSalle",37,1,11,99,16,1,88,3,256,431
"LaSalle--Émard/LaSalle--Émard"," 127","LaSalle",31,0,7,57,15,2,90,0,202,503
"LaSalle--Émard/LaSalle--Émard"," 128","LaSalle",20,2,6,40,9,0,136,2,215,539
"LaSalle--Émard/LaSalle--Émard"," 129","LaSalle",28,0,4,24,7,2,112,1,178,327
"LaSalle--Émard/LaSalle--Émard"," 130","LaSalle",39,0,4,29,5,3,132,4,216,371
"LaSalle--Émard/LaSalle--Émard"," 131","LaSalle",31,1,7,32,10,0,135,1,217,372
"LaSalle--Émard/LaSalle--Émard"," 132","LaSalle",35,0,5,40,11,2,127,1,221,363
"LaSalle--Émard/LaSalle--Émard"," 133","LaSalle",14,0,1,20,6,2,95,0,138,263
"LaSalle--Émard/LaSalle--Émard"," 134","LaSalle",28,0,9,41,8,1,102,2,191,366
"LaSalle--Émard/LaSalle--Émard"," 135","LaSalle",31,1,8,59,13,0,101,2,215,390
"LaSalle--Émard/LaSalle--Émard"," 136","LaSalle",32,2,5,57,14,1,110,3,224,423
"LaSalle--Émard/LaSalle--Émard"," 137","LaSalle",32,1,10,36,14,1,128,5,227,431
"LaSalle--Émard/LaSalle--Émard"," 138","LaSalle",25,0,2,58,12,0,101,6,204,348
"LaSalle--Émard/LaSalle--Émard"," 139","LaSalle",20,0,5,40,15,0,126,2,208,397
"LaSalle--Émard/LaSalle--Émard"," 140","LaSalle",34,0,6,68,15,2,96,5,226,375
"LaSalle--Émard/LaSalle--Émard"," 141","LaSalle",32,1,15,67,13,0,115,1,244,448
"LaSalle--Émard/LaSalle--Émard"," 142","LaSalle",35,0,6,62,18,1,116,1,239,363
"LaSalle--Émard/LaSalle--Émard"," 143","LaSalle",18,0,9,42,8,1,74,3,155,390
"LaSalle--Émard/LaSalle--Émard"," 144","LaSalle",25,0,6,59,13,1,106,1,211,395
"LaSalle--Émard/LaSalle--Émard"," 145","LaSalle",35,0,4,60,24,2,97,1,223,412
"LaSalle--Émard/LaSalle--Émard"," 146","LaSalle",29,1,6,58,13,1,81,0,189,344
"LaSalle--Émard/LaSalle--Émard"," 147","LaSalle",28,2,9,78,14,1,111,2,245,377
"LaSalle--Émard/LaSalle--Émard"," 148","LaSalle",Merged with No. 152/Fusionné avec le nº 152,,,,,,,,,261
"LaSalle--Émard/LaSalle--Émard"," 149","LaSalle",44,1,6,91,15,4,79,2,242,414
"LaSalle--Émard/LaSalle--Émard"," 150","LaSalle",22,0,18,96,29,2,85,2,254,454
"LaSalle--Émard/LaSalle--Émard"," 151","LaSalle",26,1,5,76,13,2,76,1,200,348
"LaSalle--Émard/LaSalle--Émard"," 152","LaSalle",32,1,25,132,15,2,108,5,320,260
"LaSalle--Émard/LaSalle--Émard"," 153","LaSalle",52,0,10,76,7,1,86,3,235,424
"LaSalle--Émard/LaSalle--Émard"," 154","LaSalle",32,0,9,109,20,1,84,1,256,400
"LaSalle--Émard/LaSalle--Émard"," 155","LaSalle",31,1,13,128,19,3,69,7,271,419
"LaSalle--Émard/LaSalle--Émard"," 156","LaSalle",19,1,6,86,18,1,59,4,194,364
"LaSalle--Émard/LaSalle--Émard"," 157","LaSalle",30,0,12,105,18,0,45,2,212,386
"LaSalle--Émard/LaSalle--Émard"," 158","LaSalle",17,1,11,78,10,2,93,2,214,412
"LaSalle--Émard/LaSalle--Émard"," 159","LaSalle",20,0,16,88,15,2,77,2,220,352
"LaSalle--Émard/LaSalle--Émard"," 160","LaSalle",33,0,9,89,12,0,65,0,208,361
"LaSalle--Émard/LaSalle--Émard"," 161","LaSalle",22,0,8,42,17,1,106,1,197,433
"LaSalle--Émard/LaSalle--Émard"," 162","LaSalle",26,0,7,67,16,0,96,1,213,387
"LaSalle--Émard/LaSalle--Émard"," 163","LaSalle",Merged with No. 174/Fusionné avec le nº 174,,,,,,,,,166
"LaSalle--Émard/LaSalle--Émard"," 164","LaSalle",53,2,6,37,23,2,144,3,270,582
"LaSalle--Émard/LaSalle--Émard"," 165","LaSalle",24,3,8,51,17,1,104,2,210,359
"LaSalle--Émard/LaSalle--Émard"," 166","LaSalle",37,2,7,42,16,4,99,3,210,380
"LaSalle--Émard/LaSalle--Émard"," 167","LaSalle",26,0,4,41,16,0,117,2,206,409
"LaSalle--Émard/LaSalle--Émard"," 168","LaSalle",33,2,5,32,25,0,162,3,262,420
"LaSalle--Émard/LaSalle--Émard"," 169","LaSalle",30,0,7,97,17,2,57,1,211,370
"LaSalle--Émard/LaSalle--Émard"," 170","LaSalle",41,2,7,104,12,0,79,3,248,448
"LaSalle--Émard/LaSalle--Émard"," 171","LaSalle",17,1,4,56,14,3,120,1,216,320
"LaSalle--Émard/LaSalle--Émard"," 172","LaSalle",32,0,13,56,15,2,107,4,229,380
"LaSalle--Émard/LaSalle--Émard"," 173","LaSalle",35,0,9,65,11,1,208,5,334,628
"LaSalle--Émard/LaSalle--Émard"," 174","LaSalle",49,0,6,33,13,1,148,6,256,308
"LaSalle--Émard/LaSalle--Émard"," 175","LaSalle",30,0,6,47,18,3,106,4,214,377
"LaSalle--Émard/LaSalle--Émard"," 176","LaSalle",30,0,5,34,8,2,101,0,180,327
"LaSalle--Émard/LaSalle--Émard"," 177","LaSalle",31,1,8,35,13,3,141,6,238,390
"LaSalle--Émard/LaSalle--Émard"," 178","LaSalle",32,0,6,36,7,0,152,1,234,425
"LaSalle--Émard/LaSalle--Émard"," 179","LaSalle",44,0,8,52,13,4,208,4,333,511
"LaSalle--Émard/LaSalle--Émard"," 180","LaSalle",36,0,5,44,10,2,130,2,229,385
"LaSalle--Émard/LaSalle--Émard"," 181","LaSalle",20,1,11,48,12,2,148,2,244,410
"LaSalle--Émard/LaSalle--Émard"," 182","LaSalle",25,0,3,51,9,2,52,4,146,275
"LaSalle--Émard/LaSalle--Émard"," 183","LaSalle",35,1,9,132,24,0,67,0,268,422
"LaSalle--Émard/LaSalle--Émard"," 184","LaSalle",23,1,5,57,11,1,83,5,186,369
"LaSalle--Émard/LaSalle--Émard"," 185","LaSalle",25,1,5,69,17,3,108,2,230,423
"LaSalle--Émard/LaSalle--Émard"," 186","LaSalle",24,0,3,80,16,1,86,8,218,369
"LaSalle--Émard/LaSalle--Émard"," 187","LaSalle",40,2,10,92,13,0,100,3,260,476
"LaSalle--Émard/LaSalle--Émard"," 188","LaSalle",31,0,14,57,14,1,99,4,220,390
"LaSalle--Émard/LaSalle--Émard"," 189","LaSalle",24,0,9,71,13,0,91,6,214,349
"LaSalle--Émard/LaSalle--Émard"," 190","LaSalle",37,1,14,50,16,1,116,4,239,438
"LaSalle--Émard/LaSalle--Émard"," 191","LaSalle",43,3,6,51,19,1,189,5,317,487
"LaSalle--Émard/LaSalle--Émard"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
"LaSalle--Émard/LaSalle--Émard"," 600","Montréal",70,1,7,161,21,2,221,18,501,
"LaSalle--Émard/LaSalle--Émard"," 601","Montréal",78,3,15,101,30,4,304,2,537,
"LaSalle--Émard/LaSalle--Émard"," 602","Montréal",104,0,14,205,28,1,294,6,652,
"LaSalle--Émard/LaSalle--Émard"," 603","Montréal",90,1,17,100,24,0,325,5,562,
"LaSalle--Émard/LaSalle--Émard"," 604","Montréal",86,0,12,118,20,1,198,3,438,
"LaSalle--Émard/LaSalle--Émard"," 605","Montréal",56,1,6,62,11,2,236,4,378,
"LaSalle--Émard/LaSalle--Émard"," 606","Montréal",94,2,12,124,43,6,370,7,658,
"LaSalle--Émard/LaSalle--Émard"," 607","Montréal",81,2,13,103,33,1,249,5,487,
"LaSalle--Émard/LaSalle--Émard",,Group 1/Groupe 1,22,0,1,20,1,1,51,2,98,172
"LaSalle--Émard/LaSalle--Émard",,Group 2/Groupe 2,132,2,24,300,53,3,1103,19,1636,
