Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Di Paola,Wess Dowsett,Tim Rudkins,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Richmond Hill/Richmond Hill"," 144A","Richmond Hill",76,25,5,165,0,271,494
"Richmond Hill/Richmond Hill"," 144B","Richmond Hill",120,38,10,155,3,326,628
"Richmond Hill/Richmond Hill"," 144-1","Richmond Hill",98,29,4,207,0,338,582
"Richmond Hill/Richmond Hill"," 145","Richmond Hill",98,39,12,171,0,320,555
"Richmond Hill/Richmond Hill"," 146","Richmond Hill",94,38,12,136,0,280,551
"Richmond Hill/Richmond Hill"," 147","Richmond Hill",123,35,13,180,0,351,616
"Richmond Hill/Richmond Hill"," 148","Richmond Hill",62,25,4,112,2,205,415
"Richmond Hill/Richmond Hill"," 149","Richmond Hill",65,20,7,104,2,198,424
"Richmond Hill/Richmond Hill"," 150","Richmond Hill",66,14,4,175,0,259,490
"Richmond Hill/Richmond Hill"," 151","Richmond Hill",37,10,2,70,1,120,275
"Richmond Hill/Richmond Hill"," 152","Richmond Hill",71,24,4,179,3,281,555
"Richmond Hill/Richmond Hill"," 153","Richmond Hill",48,11,3,96,1,159,312
"Richmond Hill/Richmond Hill"," 154","Richmond Hill",94,31,11,159,0,295,662
"Richmond Hill/Richmond Hill"," 155","Richmond Hill",66,19,9,155,0,249,581
"Richmond Hill/Richmond Hill"," 156","Richmond Hill",73,15,4,138,1,231,457
"Richmond Hill/Richmond Hill"," 157","Richmond Hill",71,20,5,164,0,260,645
"Richmond Hill/Richmond Hill"," 158","Richmond Hill",27,8,4,79,0,118,245
"Richmond Hill/Richmond Hill"," 159A","Richmond Hill",50,10,2,84,1,147,296
"Richmond Hill/Richmond Hill"," 159B","Richmond Hill",57,13,6,153,0,229,428
"Richmond Hill/Richmond Hill"," 160","Richmond Hill",56,9,6,106,0,177,367
"Richmond Hill/Richmond Hill"," 161","Richmond Hill",49,19,8,127,0,203,402
"Richmond Hill/Richmond Hill"," 162","Richmond Hill",27,9,1,56,1,94,234
"Richmond Hill/Richmond Hill"," 163","Richmond Hill",57,17,6,113,0,193,474
"Richmond Hill/Richmond Hill"," 164","Richmond Hill",48,20,3,132,0,203,428
"Richmond Hill/Richmond Hill"," 165","Richmond Hill",61,21,10,152,0,244,530
"Richmond Hill/Richmond Hill"," 166A","Richmond Hill",49,19,3,107,0,178,461
"Richmond Hill/Richmond Hill"," 166B","Richmond Hill",45,18,10,111,0,184,457
"Richmond Hill/Richmond Hill"," 166C","Richmond Hill",50,13,5,107,1,176,466
"Richmond Hill/Richmond Hill"," 400","Richmond Hill",71,19,11,82,0,183,365
"Richmond Hill/Richmond Hill"," 401","Richmond Hill",42,18,7,95,0,162,254
"Richmond Hill/Richmond Hill"," 402","Richmond Hill",51,29,11,94,3,188,294
"Richmond Hill/Richmond Hill"," 403","Richmond Hill",63,22,4,111,4,204,310
"Richmond Hill/Richmond Hill"," 404","Richmond Hill",71,24,8,98,0,201,297
"Richmond Hill/Richmond Hill"," 405","Richmond Hill",21,14,4,73,1,113,219
"Richmond Hill/Richmond Hill"," 406","Richmond Hill",18,28,5,57,0,108,170
"Richmond Hill/Richmond Hill"," 407","Richmond Hill",43,17,7,88,0,155,283
"Richmond Hill/Richmond Hill"," 500A","Mobile poll/Bureau itinérant",25,10,3,38,2,78,206
"Richmond Hill/Richmond Hill"," 500B","Mobile poll/Bureau itinérant",19,9,1,39,1,69,43
"Richmond Hill/Richmond Hill"," 600","Richmond Hill",258,35,28,338,2,661,
"Richmond Hill/Richmond Hill"," 601","Richmond Hill",219,51,36,291,0,597,
"Richmond Hill/Richmond Hill"," 602","Richmond Hill",178,55,29,226,1,489,
"Richmond Hill/Richmond Hill"," 603","Richmond Hill",272,66,33,426,0,797,
"Richmond Hill/Richmond Hill"," 604","Richmond Hill",240,105,35,370,2,752,
"Richmond Hill/Richmond Hill"," 605","Richmond Hill",213,41,14,430,4,702,
"Richmond Hill/Richmond Hill"," 606","Richmond Hill",284,39,18,391,0,732,
"Richmond Hill/Richmond Hill"," 607","Richmond Hill",224,32,17,403,0,676,
"Richmond Hill/Richmond Hill"," 608","Richmond Hill",267,52,10,381,2,712,
"Richmond Hill/Richmond Hill",,Group 1/Groupe 1,10,9,1,24,4,48,93
"Richmond Hill/Richmond Hill",,Group 2/Groupe 2,302,106,52,572,11,1043,
