Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mel H. Buffalo,Ian Hopfe,Brian Jean,Roland Lefort,John Malcolm,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 20","Conklin",25,4,23,4,6,0,62,166
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21A","Fort McMurray",21,6,77,21,1,1,127,328
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21B","Fort McMurray",18,7,124,35,2,0,186,447
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21C","Fort McMurray",31,6,95,26,2,1,161,402
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 22A","Fort McMurray",13,7,87,23,1,0,131,442
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 22B","Fort McMurray",20,7,114,42,5,0,188,528
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 22C","Fort McMurray",22,6,92,40,2,0,162,494
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 23A","Fort McMurray",23,9,128,27,1,0,188,431
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 23B","Fort McMurray",12,5,99,27,0,0,143,356
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 24","Fort McMurray",21,2,113,30,1,0,167,585
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 25","Fort McMurray",22,10,207,45,2,0,286,608
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 26","Fort McMurray",30,7,155,32,3,1,228,437
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 27","Fort McMurray",6,0,124,28,1,0,159,331
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 28","Fort McMurray",12,2,87,15,1,1,118,234
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 29","Fort McMurray",27,14,168,46,0,1,256,488
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 30A","Fort McMurray",14,9,104,19,1,0,147,325
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 30B","Fort McMurray",15,8,118,26,1,0,168,393
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 30C","Fort McMurray",16,8,99,17,0,2,142,332
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 31","Fort McMurray",8,5,77,16,0,0,106,227
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 32","Fort McMurray",15,14,165,46,0,1,241,563
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 33","Fort McMurray",22,6,122,33,1,1,185,351
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 34","Fort McMurray",23,9,168,65,6,0,271,538
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 35","Fort McMurray",19,9,143,51,2,0,224,432
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 36","Fort McMurray",22,8,89,35,2,0,156,353
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 37","Fort McMurray",31,18,227,51,0,2,329,732
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 38","Fort McMurray",18,4,92,33,0,0,147,387
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 39","Fort McMurray",22,9,125,38,5,0,199,477
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 40","Fort McMurray",31,8,142,35,3,0,219,454
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 41","Fort McMurray",22,10,137,37,2,0,208,407
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 42","Fort McMurray",20,9,90,71,1,1,192,428
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 43","Fort McMurray",20,9,113,49,1,0,192,445
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 44","Fort McMurray",27,6,46,26,2,0,107,408
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 45","Fort McMurray",26,11,162,55,2,1,257,486
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 46","Fort McMurray",7,4,62,13,1,0,87,299
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 47","Fort McMurray",16,8,111,34,2,1,172,395
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 48","Fort McMurray",23,8,89,40,3,0,163,344
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 49","Fort McMurray",18,4,58,34,2,0,116,392
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 50","Fort McMurray",19,11,72,42,0,0,144,360
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 51","Fort McMurray",17,2,66,28,1,0,114,413
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 52","Fort McMurray",35,14,135,49,0,2,235,445
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 53","Fort McMurray",14,8,138,50,4,1,215,462
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 54","Fort McMurray",21,11,115,42,3,1,193,434
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 55","Fort McMurray",17,13,146,47,2,1,226,454
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 56","Fort McMurray",0,0,6,2,0,0,8,166
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 57","Fort McMurray",9,7,26,15,1,0,58,371
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 58","Fort McMurray",25,7,119,46,2,1,200,682
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 59","Fort McMurray",6,0,15,9,1,0,31,187
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 60","Fort McMurray",12,6,78,28,1,0,125,413
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 61","Fort McMurray",18,0,42,20,2,0,82,348
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 62","Fort McMurray",13,1,35,11,0,2,62,341
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 63","Fort McMurray",26,6,64,32,3,0,131,402
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 64","Fort McMurray",18,4,26,16,1,0,65,432
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 65","Fort McMurray",18,3,43,19,0,1,84,285
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 66","Fort McMurray",14,10,103,37,1,1,166,473
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 67","Fort McMurray",23,9,53,26,3,1,115,369
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 68A","Fort McMurray",21,6,37,22,3,0,89,377
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 68B","Fort McMurray",14,0,33,14,4,0,65,313
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 69","Fort McMurray",17,7,105,37,0,0,166,400
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 70","Fort McMurray",20,9,105,35,4,1,174,415
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 71","Fort McMurray",25,10,103,60,1,0,199,513
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 72A","Fort McMurray",24,10,116,37,1,0,188,437
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 72B","Fort McMurray",15,9,97,24,2,1,148,388
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 73","Fort McMurray",10,8,68,17,0,0,103,466
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 74","Fort McMurray",20,2,41,18,5,1,87,434
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 75","Fort McMurray",22,12,84,36,1,1,156,435
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 76","Fort McMurray",22,7,102,28,3,0,162,401
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 77","Fort McMurray",14,6,157,32,1,1,211,435
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 78","Fort McMurray",14,8,87,22,0,1,132,290
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 79","Fort McMurray",12,4,97,30,1,1,145,366
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 80","Fort McMurray",15,13,109,35,3,1,176,521
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 81","Fort McMurray",30,9,109,33,4,0,185,480
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 82","Fort McMurray",20,5,99,19,2,0,145,511
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 83","Fort McMurray",19,5,105,26,4,2,161,595
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 84","Fort McMurray",17,10,85,30,0,1,143,511
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 85","Fort McMurray",22,7,114,47,1,1,192,645
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 86","Fort McMurray",28,12,160,29,1,0,230,607
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 87","Prairie Echo ",6,10,107,11,0,1,135,231
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 88","Peavine",76,6,32,17,1,0,132,370
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 89","Gift Lake ",42,0,42,9,3,0,96,405
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 90","Grouard ",45,2,68,18,2,0,135,305
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 91","Triangle",7,13,258,26,4,0,308,368
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 92","High Prairie",28,13,122,29,0,0,192,374
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 93","High Prairie",34,8,114,14,0,0,170,385
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 94A","High Prairie",8,7,84,17,0,0,116,246
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 94B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,35
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 95","High Prairie",16,6,121,17,2,1,163,345
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 96","High Prairie",19,9,92,13,0,1,134,287
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 97","High Prairie",20,11,96,21,1,1,150,458
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 98","High Prairie",1,11,172,12,1,0,197,339
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 99","Enilda",18,9,154,31,3,2,217,387
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 100","Sucker Creek",75,6,27,18,4,0,130,329
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 101","Big Lakes",Merged with No. 91/Fusionné avec le nº 91,,,,,,,187
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 102","Big Lakes",0,10,41,9,0,0,60,90
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 103","East Prairie",31,3,13,18,3,0,68,216
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 104","Joussard",38,17,58,26,1,1,141,277
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 105","Drift Pile River 150 ",169,7,10,6,1,1,194,379
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 106","Faust",36,12,76,16,1,1,142,224
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 107","Kinuso",16,4,49,5,1,0,75,116
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 108","Kinuso",Merged with No. 107/Fusionné avec le nº 107,,,,,,,74
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 109","Kinuso",52,7,76,9,2,1,147,262
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 110","Kinuso",4,1,97,9,0,0,111,275
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 111","Widewater",22,21,243,30,1,0,317,573
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 112","Slave Lake",20,7,45,10,3,0,85,295
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 113A","Slave Lake",5,9,98,14,1,1,128,264
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 113B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,19
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 114","Slave Lake",17,5,103,23,1,2,151,418
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 115","Slave Lake",13,1,118,19,2,2,155,304
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 116","Slave Lake",11,8,78,13,0,0,110,287
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 117","Slave Lake",21,6,97,22,3,0,149,408
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 118","Slave Lake",11,7,82,26,1,1,128,295
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 119","Slave Lake",15,12,171,23,0,0,221,524
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 120","Slave Lake",20,4,94,6,1,0,125,250
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 121","Slave Lake",16,7,95,22,0,0,140,402
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 122","Slave Lake",32,9,213,28,2,1,285,608
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 123","Slave Lake",13,7,145,23,3,0,191,393
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 124","Slave Lake",17,6,122,8,1,1,155,304
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 125","Moose Portage",Merged with No. 126/Fusionné avec le nº 126,,,,,,,131
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 126","Smith",27,9,254,19,1,2,312,351
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 127","Flatbush",15,9,183,15,4,1,227,384
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 128","Grosmont",25,10,224,41,1,0,301,507
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 129","Athabasca",17,17,247,31,0,0,312,541
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 130","Athabasca",20,21,223,38,1,2,305,508
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 131","Amber Valley",10,7,155,27,2,0,201,330
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 132","Grassland",18,17,248,26,1,0,310,522
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 133","Athabasca",11,13,179,20,0,0,223,435
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 134","Athabasca",8,11,103,18,1,0,141,303
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 135","Athabasca",9,10,106,18,1,0,144,396
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 136","Athabasca",15,13,116,28,0,0,172,322
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 137","Athabasca",29,40,167,37,2,0,275,530
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 138","Athabasca",41,25,235,55,2,0,358,750
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 139","Athabasca",12,10,170,15,1,0,208,398
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 140","Colinton",8,8,139,17,0,0,172,331
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 141","Colinton",13,11,129,21,1,0,175,311
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 142","Boyle",21,15,279,39,0,0,354,594
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 143A","Boyle",11,4,103,18,2,0,138,298
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 143B","Boyle",13,9,100,15,0,0,137,273
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 144A","Boyle",12,3,96,11,1,1,124,207
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 144B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,36
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 145","Perryvale",18,12,156,22,0,0,208,362
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 146","Ellscott",14,5,147,24,1,0,191,349
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 147","Rochester",16,22,146,30,1,0,215,349
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 148","Breynat",11,2,118,17,1,2,151,265
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 149","Plamondon",28,10,235,43,0,0,316,567
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 150","Owl River",42,3,64,8,3,0,120,258
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 151","Plamondon",Void/Supprimé,,,,,,,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 152","Plamondon",Void/Supprimé,,,,,,,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 153","Plamondon",Void/Supprimé,,,,,,,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 154","Plamondon",8,2,97,16,1,1,125,265
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 155","Lac La Biche Mission",17,9,155,25,0,1,207,374
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 156","Lac La Biche Mission",13,14,109,15,2,0,153,277
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 157","Lac La Biche",42,7,81,20,1,0,151,434
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 158","Lac La Biche",41,10,60,24,0,2,137,367
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 159","Lac La Biche",27,11,84,21,4,1,148,280
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 160","Lac La Biche",37,8,34,18,2,0,99,250
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 161","Lac La Biche",36,14,170,41,1,0,262,589
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 162","Lac La Biche",Merged with No. 163/Fusionné avec le nº 163,,,,,,,193
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 163","Barnegat",34,15,184,27,2,2,264,296
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 164","Lac La Biche",44,10,158,29,2,0,243,448
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 165","Hylo",22,6,139,23,0,0,190,332
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 166","Beaver Lake 131",23,6,82,8,0,0,119,307
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 400","Fort McMurray",Void/Supprimé,,,,,,,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 500","Mobile poll/Bureau itinérant",16,5,29,9,7,0,66,116
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 501","Mobile poll/Bureau itinérant",10,3,26,4,3,2,48,58
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 502","Mobile poll/Bureau itinérant",13,3,17,4,1,1,39,50
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 503","Mobile poll/Bureau itinérant",12,4,38,4,6,0,64,82
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 504","Mobile poll/Bureau itinérant",20,5,36,4,4,2,71,68
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 600","Wabasca-Desmarais",20,10,19,2,2,2,55,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 601","Fort Chipewyan",10,12,130,30,1,1,184,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 602","Fort McMurray",19,15,191,39,1,0,265,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 603","Fort McMurray",30,17,210,42,0,0,299,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 604","Fort McMurray",38,14,139,44,0,0,235,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 605","Fort McMurray",22,11,145,38,2,1,219,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 606","Big Lakes",36,1,168,14,1,0,220,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 607","Lesser Slave River 124",28,8,264,24,4,0,328,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 608","Athabasca County No. 12",50,32,542,58,5,0,687,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 609","Lakeland County",33,10,222,34,1,0,300,
"Fort McMurray--Athabasca/Fort McMurray--Athabasca",,Group 1/Groupe 1,46,7,24,7,3,2,89,133
"Fort McMurray--Athabasca/Fort McMurray--Athabasca",,Group 2/Groupe 2,59,25,442,85,6,7,624,
