Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Chiasson,Michel Gauthier,Sébastien Girard,Ghislain Lavoie,François Privé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 74","Dolbeau-Mistassini",10,110,6,106,14,1,247,466
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 75","Dolbeau-Mistassini",7,125,10,98,14,2,256,513
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 76","Dolbeau-Mistassini",13,114,11,133,11,1,283,540
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 77","La Doré",13,56,5,100,3,1,178,289
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 78","La Doré",6,74,4,77,7,3,171,264
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 79","La Doré",9,108,20,95,12,3,247,345
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 80","La Doré",4,91,10,66,8,0,179,277
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 81","Saint-Félicien",10,68,14,60,10,1,163,305
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 82","Saint-Félicien",12,75,20,67,21,5,200,340
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 83","Saint-Félicien",7,77,16,102,9,2,213,363
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 84","Saint-Félicien",6,134,24,94,21,3,282,483
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 85","Saint-Félicien",22,140,15,111,20,2,310,530
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 86","Saint-Félicien",12,59,9,65,11,0,156,256
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 87","Saint-Félicien",41,104,14,91,21,4,275,561
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 88","Saint-Félicien",12,38,11,44,9,0,114,226
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 89","Saint-Félicien",12,67,22,93,15,2,211,414
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 90","Saint-Félicien",13,61,11,68,7,3,163,270
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 91","Saint-Félicien",19,106,12,110,16,3,266,491
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 92","Saint-Félicien",9,55,18,89,4,0,175,334
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 93","Saint-Félicien",14,72,12,56,12,1,167,321
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 94","Saint-Félicien",18,63,11,59,11,1,163,297
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 95","Saint-Félicien",15,89,12,81,17,2,216,391
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 96","Saint-Félicien",10,107,19,118,6,0,260,444
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 97","Saint-Félicien",6,59,16,76,12,0,169,343
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 98","Saint-Félicien",11,66,17,90,10,1,195,366
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 99","Saint-Félicien",10,113,16,101,19,3,262,449
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 100","Saint-Prime",15,75,5,69,15,1,180,307
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 101","Saint-Prime",18,149,26,123,21,0,337,555
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 102","Saint-Prime",7,67,5,45,9,2,135,239
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 103","Saint-Prime",18,143,17,83,21,2,284,469
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 104","Saint-Prime",12,133,26,100,19,2,292,470
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 105","Sainte-Hedwidge",9,137,10,84,7,6,253,417
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 106","Roberval",6,101,10,74,13,3,207,406
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 107","Mashteuiatsh",40,40,14,45,10,2,151,758
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 108","Mashteuiatsh",22,39,9,32,16,4,122,596
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 109","Roberval",7,84,9,49,14,0,163,283
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 110","Roberval",8,82,12,44,10,1,157,327
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 111","Roberval",19,106,6,53,11,0,195,363
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 112","Roberval",6,43,4,41,4,1,99,217
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 113","Roberval",6,91,4,74,9,1,185,385
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 114","Roberval",11,117,19,107,22,2,278,469
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 115","Roberval",15,81,12,79,12,2,201,406
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 116","Roberval",16,91,9,80,13,2,211,364
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 117","Roberval",10,65,9,31,4,0,119,294
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 118","Roberval",8,60,10,42,9,1,130,328
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 119","Roberval",28,67,7,47,16,4,169,365
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 120","Roberval",11,59,16,65,33,1,185,325
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 121","Roberval",8,73,7,47,7,4,146,289
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 122","Roberval",10,96,10,84,21,4,225,414
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 123","Roberval",18,86,9,90,12,3,218,384
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 124","Roberval",10,95,22,80,24,4,235,440
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 125","Roberval",18,126,11,104,24,4,287,579
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 126","Roberval",12,73,11,92,20,2,210,421
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 127","Roberval",6,100,11,83,18,2,220,402
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 128","Roberval",5,84,22,72,19,3,205,405
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 129","Roberval",12,94,12,60,17,0,195,435
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 130","Sainte-Hedwidge",8,47,7,43,2,0,107,180
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 131A","Chambord",27,131,12,66,14,1,251,373
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 131B","Chambord",18,128,11,64,17,1,239,375
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 132","Chambord",11,33,2,16,3,0,65,107
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 133","Chambord",15,98,22,64,10,1,210,337
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 134","Chambord",4,70,4,30,6,1,115,193
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 135","Saint-François-de-Sales",16,148,20,116,12,2,314,533
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 136","Saint-André",21,103,7,68,24,2,225,413
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 137","Saint-François-de-Sales",Void/Supprimé,,,,,,,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 138","Lac-Bouchette",20,96,7,84,5,2,214,407
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 139","Lac-Bouchette",18,64,2,59,10,2,155,290
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 140","Lac-Bouchette",9,100,1,60,5,9,184,309
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 141","Saint-Gédéon",15,115,6,66,12,3,217,332
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 142","Saint-Gédéon",13,144,19,128,33,4,341,536
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 143","Saint-Gédéon",16,143,14,103,15,2,293,425
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 144","Saint-Bruno",9,116,5,88,10,3,231,385
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 145","Saint-Bruno",12,154,15,138,18,5,342,510
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 146","Saint-Bruno",8,76,9,74,16,4,187,285
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 147","Hébertville-Station",4,81,11,62,6,1,165,281
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 148","Hébertville-Station",9,87,10,92,9,4,211,308
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 149","Saint-Bruno",8,123,15,90,21,5,262,405
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 150","Saint-Bruno",7,53,5,64,3,2,134,212
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 151","Hébertville-Station",13,112,11,73,15,8,232,379
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 152","Saint-Gédéon",3,81,5,43,17,4,153,282
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 153","Métabetchouan",10,114,8,77,9,3,221,384
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 154","Métabetchouan",9,64,6,38,9,3,129,267
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 155","Métabetchouan",8,87,6,70,8,0,179,276
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 156","Métabetchouan",18,92,6,67,17,0,200,336
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 157","Métabetchouan",18,144,5,116,17,6,306,500
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 158","Métabetchouan",19,68,6,53,5,1,152,260
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 159","Desbiens",6,99,1,62,10,0,178,263
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 160","Desbiens",10,105,5,55,6,1,182,261
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 161","Desbiens",10,133,9,70,18,1,241,344
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 162","Métabetchouan",7,96,6,57,11,2,179,296
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 163","Lac-à-la-Croix",11,90,7,108,11,2,229,361
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 164","Hébertville",10,108,5,72,21,3,219,345
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 165","Hébertville",10,89,4,61,9,4,177,286
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 166","Hébertville",13,60,6,54,6,4,143,233
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 167","Hébertville",10,124,14,145,15,0,308,497
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 168","Lac-à-la-Croix",10,110,10,102,17,2,251,451
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 169","Hébertville",18,146,15,137,27,0,343,498
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 500","Mobile poll/Bureau itinérant",6,18,4,9,0,1,38,45
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 501","Mobile poll/Bureau itinérant",15,18,2,13,1,1,50,59
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 502","Mobile poll/Bureau itinérant",20,38,8,16,2,2,86,180
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 503","Mobile poll/Bureau itinérant",17,23,4,20,1,2,67,109
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 504","Mobile poll/Bureau itinérant",19,20,3,32,1,1,76,115
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 505","Mobile poll/Bureau itinérant",28,25,7,27,4,4,95,191
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 506","Mobile poll/Bureau itinérant",41,39,3,29,1,5,118,155
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 507A","Mobile poll/Bureau itinérant",21,40,2,36,1,3,103,146
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 507B","Mobile poll/Bureau itinérant",33,42,0,24,3,0,102,202
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 600","Normandin",31,118,7,73,11,2,242,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 601","Dolbeau-Mistassini",83,238,5,161,16,2,505,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 602","Dolbeau-Mistassini",41,157,6,95,5,3,307,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 603","Saint-Augustin",12,26,0,19,4,0,61,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 604","Ascension-de-Notre-Seigneur",13,78,6,61,10,3,171,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 605","Saint-Nazaire",25,61,1,25,1,3,116,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 606","Saint-Bruno",17,72,1,33,6,0,129,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 607","Hébertville",17,37,4,29,2,1,90,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 608","Métabetchouan",32,112,2,84,5,0,235,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 609","Chambord",23,58,3,23,1,1,109,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 610","Roberval",28,124,2,67,11,2,234,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 611","Roberval",55,233,20,121,30,4,463,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 612","Saint-Prime",13,49,3,25,4,3,97,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 613","Saint-Félicien",44,96,8,69,11,5,233,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 614","Saint-Félicien",61,163,21,162,15,2,424,
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean",,Group 1/Groupe 1,12,30,9,52,9,3,115,275
"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean",,Group 2/Groupe 2,101,226,14,76,26,3,446,
