Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gerry Byrne,Martin Hanzalek,Cyril Jr. Pelley,Holly Pike,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 129","Corner Brook",124,1,43,26,1,195,387
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 130","Corner Brook",84,3,35,21,2,145,380
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 131","Corner Brook",93,3,39,33,0,168,370
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 132","Corner Brook",89,3,39,32,1,164,323
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 133","Corner Brook",121,2,78,60,3,264,497
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 134","Corner Brook",125,0,53,41,1,220,381
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 135","Corner Brook",116,3,48,59,1,227,394
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 136","Corner Brook",109,4,53,55,0,221,357
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 137","Corner Brook",122,2,53,60,0,237,383
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 138","Corner Brook",138,1,58,49,0,246,421
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 139","Corner Brook",124,1,76,39,1,241,446
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 140","Corner Brook",90,1,58,41,4,194,340
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 141","Corner Brook",79,1,44,27,1,152,280
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 142","Corner Brook",83,5,31,45,4,168,266
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 143","Corner Brook",61,2,39,22,0,124,324
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 144A","Corner Brook",79,1,35,35,3,153,438
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 144B","Mobile poll/Bureau itinérant",40,0,8,2,2,52,99
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 145","Corner Brook",73,1,23,27,0,124,231
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 146","Corner Brook",143,4,51,62,3,263,536
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 147","Corner Brook",59,2,24,26,0,111,248
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 148","Corner Brook",78,0,37,35,0,150,317
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 149","Corner Brook",69,1,33,20,2,125,326
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 150A","Corner Brook",99,2,42,43,5,191,391
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 150B","Mobile poll/Bureau itinérant",Merged with No. 144B/Fusionné avec le nº 144B,,,,,,23
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 151","Corner Brook",126,0,88,62,0,276,472
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 152","Corner Brook",144,1,61,54,1,261,497
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 153","Lark Harbour",75,2,41,22,0,140,213
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 154","Lark Harbour",103,3,54,16,0,176,268
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 155","York Harbour",90,1,67,38,0,196,284
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 156","Frenchman's Cove",74,4,41,15,0,134,207
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 157","John's Beach",70,1,16,25,1,113,184
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 158","Benoit's Cove",53,1,44,31,1,130,259
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 159","Benoit's Cove",134,6,41,31,3,215,367
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 160","Benoit's Cove",35,1,21,4,0,61,117
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 161","Halfway Point",69,1,36,22,2,130,206
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 162","Mount Moriah",34,1,7,5,0,47,101
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 163","Mount Moriah",152,1,31,25,0,209,467
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 164","Corner Brook",71,0,44,19,1,135,279
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 165","Corner Brook",112,1,50,58,0,221,445
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 166","Corner Brook",78,1,53,43,1,176,358
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 167","Corner Brook",72,0,46,38,0,156,344
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 168","Corner Brook",110,1,55,21,0,187,365
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 169","Corner Brook",97,2,54,42,0,195,366
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 170","Corner Brook",139,1,51,50,1,242,413
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 171","Corner Brook",51,6,41,39,1,138,289
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 172","Corner Brook",67,1,26,28,6,128,300
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 173","Corner Brook",114,2,52,29,0,197,364
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 174","Corner Brook",105,3,56,25,3,192,416
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 175A","Corner Brook",120,3,43,24,0,190,357
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 175B","Mobile poll/Bureau itinérant",Merged with No. 120B/Fusionné avec le nº 120B,,,,,,25
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 176","Corner Brook",84,1,43,38,1,167,356
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 177","Corner Brook",91,3,49,44,1,188,345
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 178","Corner Brook",111,0,39,37,0,187,342
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 179","Corner Brook",79,0,45,40,1,165,330
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 180","Corner Brook",76,1,36,35,4,152,339
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 181","Corner Brook",94,0,48,35,4,181,372
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 182","Corner Brook",61,2,16,16,0,95,406
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 183","Pasadena",89,5,62,29,1,186,316
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 184","Pasadena",125,1,68,71,0,265,413
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 185","Pasadena",55,8,46,27,0,136,226
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 186","Pasadena",111,1,80,57,0,249,473
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 187","Pasadena",126,1,66,38,1,232,430
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 188","Pasadena",113,1,69,55,0,238,454
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 189","Pasadena",88,3,41,46,3,181,351
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 500","Mobile poll/Bureau itinérant",31,2,18,2,0,53,69
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 501","Mobile poll/Bureau itinérant",37,2,3,4,1,47,81
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 600","St. Anthony",26,0,10,3,0,39,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 601","Plum Point",5,0,4,0,0,9,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 602","Roddickton",5,0,2,0,0,7,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 603","Port au Choix",18,0,16,0,0,34,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 604","Deer Lake",81,0,56,16,1,154,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 605","Baie Verte",32,0,10,4,0,46,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 606","La Scie",12,0,9,1,0,22,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 607","Springdale",23,0,60,8,1,92,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 608","Triton",9,0,20,3,0,32,
"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 609","Corner Brook",133,3,65,35,0,236,
