Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Carey,Parmjeet Gill,Garreth McDonald,Darrell Rankin,Eric Truijen,Judy Wasylycia-Leis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg North/Winnipeg-Nord"," 37","Winnipeg",3,34,30,1,1,123,1,193,385
"Winnipeg North/Winnipeg-Nord"," 38","Winnipeg",2,27,21,4,0,82,0,136,366
"Winnipeg North/Winnipeg-Nord"," 39","Winnipeg",0,28,19,3,0,112,0,162,321
"Winnipeg North/Winnipeg-Nord"," 40","Winnipeg",5,24,34,0,0,112,1,176,334
"Winnipeg North/Winnipeg-Nord"," 41","Winnipeg",6,24,59,2,1,118,1,211,432
"Winnipeg North/Winnipeg-Nord"," 42","Winnipeg",4,22,29,0,0,115,0,170,334
"Winnipeg North/Winnipeg-Nord"," 43","Winnipeg",4,77,30,0,4,150,0,265,522
"Winnipeg North/Winnipeg-Nord"," 44","Winnipeg",5,73,36,0,2,157,1,274,468
"Winnipeg North/Winnipeg-Nord"," 45","Winnipeg",13,65,52,0,1,132,0,263,480
"Winnipeg North/Winnipeg-Nord"," 46","Winnipeg",4,45,45,2,1,118,1,216,351
"Winnipeg North/Winnipeg-Nord"," 47A","Winnipeg",0,22,7,0,1,46,0,76,168
"Winnipeg North/Winnipeg-Nord"," 47B","Winnipeg",4,10,12,0,4,34,0,64,186
"Winnipeg North/Winnipeg-Nord"," 48","Winnipeg",5,74,32,1,2,124,0,238,446
"Winnipeg North/Winnipeg-Nord"," 49","Winnipeg",5,39,32,1,2,119,1,199,437
"Winnipeg North/Winnipeg-Nord"," 50","Winnipeg",1,54,33,0,2,124,2,216,412
"Winnipeg North/Winnipeg-Nord"," 51","Winnipeg",14,61,26,1,1,127,0,230,490
"Winnipeg North/Winnipeg-Nord"," 52","Winnipeg",1,31,22,0,0,84,1,139,390
"Winnipeg North/Winnipeg-Nord"," 53","Winnipeg",4,48,60,0,0,140,0,252,457
"Winnipeg North/Winnipeg-Nord"," 54","Winnipeg",3,59,43,0,2,115,0,222,445
"Winnipeg North/Winnipeg-Nord"," 55","Winnipeg",6,48,42,0,1,103,1,201,405
"Winnipeg North/Winnipeg-Nord"," 56","Winnipeg",1,44,34,0,0,130,2,211,433
"Winnipeg North/Winnipeg-Nord"," 57","Winnipeg",3,39,34,1,1,90,0,168,353
"Winnipeg North/Winnipeg-Nord"," 58","Winnipeg",4,40,43,0,2,97,0,186,441
"Winnipeg North/Winnipeg-Nord"," 59","Winnipeg",6,39,43,2,0,83,1,174,390
"Winnipeg North/Winnipeg-Nord"," 60","Winnipeg",5,31,21,2,3,85,0,147,435
"Winnipeg North/Winnipeg-Nord"," 61","Winnipeg",5,45,39,0,0,120,0,209,446
"Winnipeg North/Winnipeg-Nord"," 62","Winnipeg",11,67,46,0,1,166,3,294,510
"Winnipeg North/Winnipeg-Nord"," 63","Winnipeg",7,59,43,2,0,135,2,248,434
"Winnipeg North/Winnipeg-Nord"," 64","Winnipeg",9,68,43,2,0,117,0,239,480
"Winnipeg North/Winnipeg-Nord"," 65","Winnipeg",3,39,27,1,2,91,1,164,377
"Winnipeg North/Winnipeg-Nord"," 66","Winnipeg",0,26,28,1,0,107,1,163,399
"Winnipeg North/Winnipeg-Nord"," 67","Winnipeg",3,68,47,0,1,132,0,251,447
"Winnipeg North/Winnipeg-Nord"," 68","Winnipeg",2,24,17,0,0,77,2,122,282
"Winnipeg North/Winnipeg-Nord"," 69","Winnipeg",3,29,37,0,0,60,3,132,321
"Winnipeg North/Winnipeg-Nord"," 70","Winnipeg",4,47,40,0,1,102,2,196,369
"Winnipeg North/Winnipeg-Nord"," 71","Winnipeg",9,51,26,2,1,81,1,171,302
"Winnipeg North/Winnipeg-Nord"," 72","Winnipeg",3,65,45,2,1,105,0,221,395
"Winnipeg North/Winnipeg-Nord"," 73","Winnipeg",8,79,85,2,0,152,1,327,571
"Winnipeg North/Winnipeg-Nord"," 74","Winnipeg",2,46,41,0,1,119,0,209,453
"Winnipeg North/Winnipeg-Nord"," 75","Winnipeg",4,41,53,1,0,100,0,199,451
"Winnipeg North/Winnipeg-Nord"," 76","Winnipeg",4,30,27,0,0,93,1,155,379
"Winnipeg North/Winnipeg-Nord"," 77","Winnipeg",7,17,41,2,2,80,0,149,332
"Winnipeg North/Winnipeg-Nord"," 78","Winnipeg",7,18,24,3,0,79,1,132,303
"Winnipeg North/Winnipeg-Nord"," 79","Winnipeg",8,27,50,0,4,106,0,195,385
"Winnipeg North/Winnipeg-Nord"," 80","Winnipeg",8,29,34,0,3,113,0,187,445
"Winnipeg North/Winnipeg-Nord"," 81","Winnipeg",1,21,23,2,0,68,1,116,291
"Winnipeg North/Winnipeg-Nord"," 82","Winnipeg",5,23,34,2,2,91,0,157,410
"Winnipeg North/Winnipeg-Nord"," 83","Winnipeg",6,17,25,0,5,87,0,140,381
"Winnipeg North/Winnipeg-Nord"," 84","Winnipeg",13,30,27,1,5,129,1,206,455
"Winnipeg North/Winnipeg-Nord"," 85","Winnipeg",4,25,21,1,1,82,1,135,307
"Winnipeg North/Winnipeg-Nord"," 86","Winnipeg",6,25,25,0,0,98,1,155,401
"Winnipeg North/Winnipeg-Nord"," 87","Winnipeg",11,25,47,0,2,95,0,180,277
"Winnipeg North/Winnipeg-Nord"," 88","Winnipeg",18,22,55,3,2,122,1,223,409
"Winnipeg North/Winnipeg-Nord"," 89","Winnipeg",6,20,27,4,4,63,0,124,275
"Winnipeg North/Winnipeg-Nord"," 90","Winnipeg",17,25,46,0,0,109,0,197,378
"Winnipeg North/Winnipeg-Nord"," 91","Winnipeg",15,18,37,1,4,149,2,226,365
"Winnipeg North/Winnipeg-Nord"," 92","Winnipeg",2,23,47,1,4,87,1,165,352
"Winnipeg North/Winnipeg-Nord"," 93","Winnipeg",11,23,34,1,5,88,1,163,340
"Winnipeg North/Winnipeg-Nord"," 94","Winnipeg",4,29,45,1,0,124,0,203,411
"Winnipeg North/Winnipeg-Nord"," 95","Winnipeg",6,29,24,0,1,86,0,146,371
"Winnipeg North/Winnipeg-Nord"," 96","Winnipeg",3,18,29,1,1,84,2,138,365
"Winnipeg North/Winnipeg-Nord"," 97","Winnipeg",1,16,26,1,1,76,1,122,426
"Winnipeg North/Winnipeg-Nord"," 98","Winnipeg",1,22,24,1,1,94,1,144,342
"Winnipeg North/Winnipeg-Nord"," 99","Winnipeg",7,20,26,1,0,75,0,129,417
"Winnipeg North/Winnipeg-Nord"," 100","Winnipeg",2,35,31,0,0,79,0,147,398
"Winnipeg North/Winnipeg-Nord"," 101","Winnipeg",5,35,31,0,1,90,0,162,355
"Winnipeg North/Winnipeg-Nord"," 102","Winnipeg",6,26,19,0,2,101,0,154,404
"Winnipeg North/Winnipeg-Nord"," 103","Winnipeg",19,32,31,0,3,149,0,234,457
"Winnipeg North/Winnipeg-Nord"," 104","Winnipeg",10,22,23,1,1,94,0,151,379
"Winnipeg North/Winnipeg-Nord"," 105","Winnipeg",3,30,19,0,3,82,0,137,307
"Winnipeg North/Winnipeg-Nord"," 106","Winnipeg",0,31,27,0,0,112,0,170,423
"Winnipeg North/Winnipeg-Nord"," 107","Winnipeg",2,32,43,0,0,127,0,204,517
"Winnipeg North/Winnipeg-Nord"," 108","Winnipeg",4,21,15,0,0,75,0,115,311
"Winnipeg North/Winnipeg-Nord"," 109","Winnipeg",6,29,18,0,1,101,1,156,450
"Winnipeg North/Winnipeg-Nord"," 110","Winnipeg",10,32,25,1,1,116,0,185,435
"Winnipeg North/Winnipeg-Nord"," 111","Winnipeg",2,18,8,2,1,78,2,111,321
"Winnipeg North/Winnipeg-Nord"," 112","Winnipeg",6,38,32,0,4,84,2,166,483
"Winnipeg North/Winnipeg-Nord"," 113","Winnipeg",0,33,6,0,4,56,1,100,333
"Winnipeg North/Winnipeg-Nord"," 114","Winnipeg",16,45,18,2,5,114,0,200,428
"Winnipeg North/Winnipeg-Nord"," 115","Winnipeg",2,33,27,2,4,75,0,143,420
"Winnipeg North/Winnipeg-Nord"," 116","Winnipeg",2,18,14,1,0,56,1,92,331
"Winnipeg North/Winnipeg-Nord"," 117","Winnipeg",5,14,18,0,0,112,0,149,412
"Winnipeg North/Winnipeg-Nord"," 118","Winnipeg",0,26,24,0,3,66,2,121,419
"Winnipeg North/Winnipeg-Nord"," 119","Winnipeg",1,22,2,2,2,52,0,81,315
"Winnipeg North/Winnipeg-Nord"," 120","Winnipeg",2,22,14,0,0,62,0,100,338
"Winnipeg North/Winnipeg-Nord"," 121","Winnipeg",2,25,12,1,0,40,0,80,220
"Winnipeg North/Winnipeg-Nord"," 122","Winnipeg",6,18,27,2,14,100,0,167,423
"Winnipeg North/Winnipeg-Nord"," 123","Winnipeg",9,26,27,0,1,61,1,125,305
"Winnipeg North/Winnipeg-Nord"," 124","Winnipeg",2,16,21,1,1,54,1,96,357
"Winnipeg North/Winnipeg-Nord"," 125","Winnipeg",4,14,11,0,1,76,3,109,334
"Winnipeg North/Winnipeg-Nord"," 126","Winnipeg",5,22,32,0,0,69,4,132,350
"Winnipeg North/Winnipeg-Nord"," 127A","Winnipeg",5,14,17,0,0,59,0,95,296
"Winnipeg North/Winnipeg-Nord"," 127B","Mobile poll/Bureau itinérant",Merged with No. 131B/Fusionné avec le nº 131B,,,,,,,,143
"Winnipeg North/Winnipeg-Nord"," 128","Winnipeg",1,19,10,0,0,54,1,85,298
"Winnipeg North/Winnipeg-Nord"," 129","Winnipeg",3,24,7,2,4,51,0,91,332
"Winnipeg North/Winnipeg-Nord"," 130A","Winnipeg",2,25,21,3,0,42,0,93,369
"Winnipeg North/Winnipeg-Nord"," 130B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,6
"Winnipeg North/Winnipeg-Nord"," 131A","Winnipeg",1,21,5,0,0,38,0,65,330
"Winnipeg North/Winnipeg-Nord"," 131B","Mobile poll/Bureau itinérant",5,36,32,5,0,77,1,156,163
"Winnipeg North/Winnipeg-Nord"," 132","Winnipeg",3,35,36,4,2,111,1,192,466
"Winnipeg North/Winnipeg-Nord"," 133","Winnipeg",11,16,18,2,4,67,1,119,338
"Winnipeg North/Winnipeg-Nord"," 134","Winnipeg",5,20,8,0,2,70,2,107,256
"Winnipeg North/Winnipeg-Nord"," 500","Mobile poll/Bureau itinérant",7,19,14,3,2,83,3,131,212
"Winnipeg North/Winnipeg-Nord"," 501","Mobile poll/Bureau itinérant",2,26,20,3,1,102,1,155,170
"Winnipeg North/Winnipeg-Nord"," 502","Mobile poll/Bureau itinérant",6,21,15,0,2,71,1,116,216
"Winnipeg North/Winnipeg-Nord"," 503","Mobile poll/Bureau itinérant",0,11,3,0,0,25,0,39,63
"Winnipeg North/Winnipeg-Nord"," 504","Mobile poll/Bureau itinérant",0,8,4,0,0,25,0,37,70
"Winnipeg North/Winnipeg-Nord"," 600","Winnipeg",2,207,103,0,8,299,0,619,
"Winnipeg North/Winnipeg-Nord"," 601","Winnipeg",5,41,51,1,0,200,0,298,
"Winnipeg North/Winnipeg-Nord"," 602","Winnipeg",4,128,79,2,2,193,2,410,
"Winnipeg North/Winnipeg-Nord"," 603","Winnipeg",6,115,52,0,0,125,1,299,
"Winnipeg North/Winnipeg-Nord"," 604","Winnipeg",13,45,58,1,1,262,1,381,
"Winnipeg North/Winnipeg-Nord"," 605","Winnipeg",6,21,29,4,2,84,1,147,
"Winnipeg North/Winnipeg-Nord"," 606","Winnipeg",5,50,36,1,2,69,1,164,
"Winnipeg North/Winnipeg-Nord",,Group 1/Groupe 1,11,101,26,1,1,39,20,199,265
"Winnipeg North/Winnipeg-Nord",,Group 2/Groupe 2,26,103,91,0,3,311,5,539,
