Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Fleming,Paul Francis,Richard MacDonald,Peter Stoffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 17","Middle Sackville",75,66,4,79,1,225,386
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 18","Middle Sackville",39,37,3,67,3,149,280
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 19","Middle Sackville",39,33,4,90,0,166,409
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 20","Middle Sackville",74,63,5,118,1,261,483
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 21","Halifax",56,45,4,70,0,175,340
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 22A","Halifax",57,49,4,89,1,200,329
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 22B","Halifax",53,39,0,63,0,155,292
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 23A","Halifax",40,38,3,79,0,160,265
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 23B","Halifax",50,48,4,77,0,179,286
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 24","Halifax",62,65,7,118,1,253,424
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 25","Halifax",40,45,5,86,0,176,300
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 26A","Halifax",47,30,0,80,0,157,276
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 26B","Halifax",44,29,5,81,0,159,253
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 27A","Halifax",39,30,2,71,0,142,268
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 27B","Halifax",44,42,6,86,0,178,295
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 28","Halifax",32,30,3,112,0,177,444
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 29","Halifax",43,32,2,62,0,139,253
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 30","Halifax",41,17,3,72,0,133,246
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 31","Halifax",55,33,3,94,0,185,280
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 32","Halifax",30,35,1,109,0,175,349
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 33","Halifax",47,39,1,121,0,208,405
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 34","Halifax",22,27,3,100,0,152,335
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 35","Halifax",25,23,1,93,0,142,315
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 36","Halifax",60,55,8,133,0,256,414
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 37","Halifax",33,43,5,104,0,185,405
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 38","Halifax",34,48,1,90,3,176,374
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 39A","Halifax",38,61,2,102,0,203,362
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 39B","Halifax",52,49,1,113,0,215,371
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 40","Halifax",35,37,4,134,0,210,369
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 41","Halifax",42,49,0,134,0,225,391
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 42","Halifax",23,41,4,113,0,181,328
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 43","Halifax",50,40,3,108,0,201,350
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 44","Halifax",34,65,3,96,0,198,342
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 45","Halifax",32,37,4,102,0,175,259
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 46","Halifax",23,40,4,74,1,142,318
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 47","Halifax",23,38,2,108,0,171,284
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 48","Halifax",41,38,5,141,0,225,388
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 49","Halifax",48,36,4,125,0,213,385
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 50","Halifax",28,38,5,128,1,200,336
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 51","Halifax",33,43,3,111,1,191,348
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 52","Halifax",30,35,7,104,0,176,279
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 53","Halifax",33,22,1,81,0,137,257
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 54","Halifax",44,28,3,148,0,223,406
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 55","Halifax",43,37,6,111,0,197,318
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 56","Halifax",30,33,5,89,0,157,338
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 57","Halifax",34,35,2,93,0,164,307
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 58","Halifax",33,27,4,109,0,173,319
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 59","Halifax",29,35,2,93,0,159,291
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 60","Halifax",41,33,1,91,0,166,280
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 61","Halifax",39,50,4,105,0,198,360
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 62","Halifax",37,25,3,75,0,140,382
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 63","Halifax",39,35,4,108,0,186,356
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 64","Halifax",32,29,1,88,0,150,308
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 65","Halifax",7,23,1,25,0,56,217
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 66","Halifax",13,26,4,53,0,96,308
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 67","Halifax",19,17,0,94,1,131,357
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 68","Halifax",23,34,4,110,0,171,374
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 69","Halifax",32,29,3,85,0,149,225
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 70","Halifax",58,84,3,101,1,247,415
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 71","Halifax",35,28,2,102,0,167,332
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 72","Halifax",53,48,5,150,2,258,439
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 73","Halifax",32,37,6,102,1,178,306
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 74","Halifax",59,56,4,130,0,249,355
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 75","Halifax",52,38,5,129,1,225,369
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 76","Halifax",38,47,4,152,1,242,417
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 77","Halifax",50,38,6,151,0,245,416
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 78","Halifax",53,33,2,98,2,188,279
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 79A","Halifax",55,35,1,94,0,185,369
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 79B","Halifax",38,52,3,94,0,187,346
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 80","Halifax",37,62,1,84,0,184,305
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 81","Halifax",40,33,5,111,0,189,340
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 82","Grand Lake Station",69,37,7,126,1,240,395
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 83","Grand Lake Station",83,82,8,130,1,304,485
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 84","Fletchers Lake",55,31,4,88,2,180,334
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 85","Fletchers Lake",52,37,3,108,0,200,344
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 86","Wellington",53,45,6,104,1,209,369
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 87A","Wellington",42,22,2,79,0,145,241
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 87B","Wellington",24,24,2,74,0,124,210
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 88A","Fall River",50,37,6,106,2,201,324
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 88B","Fall River",62,68,4,72,0,206,345
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 89","Fletchers Lake",69,50,8,76,1,204,375
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 90","Fall River",59,70,3,115,0,247,372
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 91","Fall River",23,30,4,97,0,154,276
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 92","Fall River",48,45,4,79,0,176,267
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 93","Fall River",65,67,5,144,3,284,428
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 94","Fall River",23,32,1,76,0,132,219
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 95","Fall River",38,30,6,103,0,177,271
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 96","Windsor Junction",48,36,6,126,0,216,360
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 97","Windsor Junction",14,17,2,67,0,100,180
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 98","Windsor Junction",38,46,2,106,0,192,393
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 99","Windsor Junction",73,68,2,121,0,264,420
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 100","Fall River",50,47,4,147,0,248,386
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 101A","Fall River",25,38,3,89,0,155,287
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 101B","Fall River",31,46,4,123,0,204,317
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 102","Waverley",56,50,5,98,0,209,353
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 103","Lakeview",41,62,12,160,0,275,413
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 104","Waverley",46,28,5,72,0,151,246
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 105","Waverley",63,71,13,129,0,276,484
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 106","Waverley",37,33,1,69,0,140,247
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 107","Goffs",41,23,6,17,2,89,237
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 108","Halifax",50,43,6,47,1,147,280
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 109A","Halifax",60,51,5,78,0,194,356
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 109B","Halifax",87,70,6,80,1,244,388
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 110","Cherry Brook--Lake Major",30,13,4,42,0,89,209
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 111","New Road",61,55,5,56,0,177,475
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 112","Montague Mines",47,31,2,85,0,165,278
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 113","Loon Lake",77,44,6,82,2,211,332
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 114","Humber Park",51,39,1,95,0,186,307
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 115","Lake Major",39,31,1,50,0,121,289
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 116","Lake Major",26,55,4,85,0,170,309
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 117A","Lake Major",38,21,5,54,0,118,251
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 117B","Lake Major",Merged with No. 111/Fusionné avec le nº 111,,,,,,25
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 118A","Lake Major",29,19,4,58,0,110,285
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 118B","Lake Major",54,25,4,46,0,129,285
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 119A","Lake Echo",31,32,10,59,3,135,246
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 119B","Lake Echo",37,34,3,74,0,148,254
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 120","Lake Echo",51,40,3,103,0,197,372
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 121","Lake Echo",43,46,9,102,2,202,384
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 122","Halifax",20,46,8,30,0,104,226
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 123A","Halifax",17,26,0,25,1,69,291
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 123B","Halifax",19,23,4,20,0,66,292
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 124","Halifax",39,27,8,125,1,200,329
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 125","Halifax",28,28,2,90,1,149,312
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 126A","Halifax",35,26,0,69,0,130,253
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 126B","Halifax",20,18,3,91,0,132,247
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 127","Halifax",55,29,3,114,0,201,383
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 128","Halifax",13,26,3,83,0,125,222
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 129","Halifax",44,26,4,114,0,188,358
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 130","Halifax",22,26,1,88,1,138,319
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 131","Halifax",36,25,2,111,1,175,356
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 132","Halifax",33,23,4,109,0,169,297
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 133","Halifax",31,15,9,94,1,150,278
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 134","Halifax",27,20,5,83,0,135,275
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 135A","Halifax",30,30,4,93,0,157,304
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 135B","Halifax",24,27,2,96,1,150,335
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 136","Halifax",37,33,1,93,0,164,298
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 136-1A","Mobile poll/Bureau itinérant",33,18,6,26,4,87,159
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 136-1B","Mobile poll/Bureau itinérant",Merged with No. 136-1A/Fusionné avec le nº 136-1A,,,,,,22
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 137A","Halifax",44,36,7,83,0,170,332
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 137B","Halifax",39,31,6,114,1,191,361
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 137-1","Halifax",50,22,4,68,0,144,333
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 138","Halifax",58,57,6,155,0,276,480
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 139A","Halifax",23,23,2,98,1,147,245
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 139B","Halifax",29,15,7,81,0,132,277
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 140","Halifax",35,20,12,118,0,185,311
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 141","Halifax",27,31,1,123,0,182,307
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 141-1","Halifax",40,39,2,120,2,203,327
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 142","Little Salmon River",71,58,3,134,2,268,405
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 143","Little Salmon River",36,29,3,51,1,120,206
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 144","Cole Harbour",53,57,9,70,0,189,294
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 145A","Upper Lawrencetown",49,33,3,65,0,150,289
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 145B","Upper Lawrencetown",33,34,3,61,2,133,296
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 146","Upper Lawrencetown",69,33,4,115,1,222,368
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 147","Lawrencetown",62,51,1,126,2,242,376
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 148","Upper Lawrencetown",40,39,7,95,0,181,310
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 149","Minesville",51,32,3,79,0,165,257
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 150","Lake Echo",55,39,3,87,1,185,280
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 151","West Lawrencetown--Minesville",40,41,9,106,1,197,408
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 152","Conrad's Beach",46,49,7,103,0,205,344
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 153","Conrad's Beach",47,44,7,110,1,209,356
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 154","Lawrencetown Beach",64,46,2,121,1,234,455
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 155","Lake Echo",43,21,9,122,0,195,423
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 156","Lake Echo",31,15,3,92,0,141,303
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 157","Lake Echo",49,45,1,143,0,238,398
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 158A","Porters Lake",31,30,5,53,0,119,266
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 158B","Porters Lake",45,32,6,56,1,140,270
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 159A","Porters Lake",37,37,1,95,1,171,287
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 159B","Porters Lake",41,26,3,67,0,137,242
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 160","Porters Lake",62,65,3,154,1,285,490
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 161","Head of Chezzetcook",46,44,5,125,1,221,361
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 162","Porters Lake",60,61,2,161,1,285,493
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 163A","West Chezzetcook",41,23,3,93,0,160,295
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 163B","West Chezzetcook",27,43,5,66,0,141,275
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 164A","Porters Lake--West Chezzetcook",28,32,4,90,0,154,297
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 164B","Porters Lake--West Chezzetcook",33,39,1,86,1,160,274
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 165","Gaetz Brook",35,29,2,90,0,156,245
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 166","Gaetz Brook",31,18,1,105,1,156,266
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 167","East Chezzetcook",70,47,7,118,0,242,361
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 168","Porters Lake",63,53,4,123,0,243,454
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 169","Grand Desert",43,22,4,128,0,197,306
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 170","Seaforth",54,38,5,164,0,261,401
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 171","Lower East Chezzetcook",29,39,9,105,2,184,276
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 172A","Meaghers Grant",32,37,4,75,0,148,214
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 172B","Meaghers Grant",Merged with No. 176/Fusionné avec le nº 176,,,,,,90
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 173A","West Petpeswick",67,48,2,150,0,267,427
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 173B","Mobile poll/Bureau itinérant",Merged with No. 400/Fusionné avec le nº 400,,,,,,28
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 174","Musquodoboit Harbour",44,55,7,183,1,290,533
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 175","Head of Jeddore",52,49,4,96,2,203,349
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 176","Head of Jeddore",60,60,8,124,1,253,316
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 177","East Petpeswick",38,35,3,109,1,186,333
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 178","West Jeddore",18,38,2,76,0,134,242
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 400","Mobile poll/Bureau itinérant",18,9,4,11,0,42,60
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 600","Beaverbank--Sackville",42,60,2,109,0,213,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 601","Upper-Middle Sackville",38,32,2,87,0,159,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 602","Upper-Middle Sackville",114,173,10,243,1,541,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 603","Lower Sackville",97,104,9,248,2,460,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 604","Lower Sackville",109,131,13,289,1,543,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 605","Wellington--Waverly",182,223,18,389,1,813,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 606","Preston",86,95,6,106,3,296,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 607","Eastern Passage",131,115,16,350,3,615,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 608","Lawrencetown",68,63,7,101,0,239,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 609","Porters Lake",77,124,6,197,0,404,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 610","Musquodoboit Harbour",49,42,2,102,1,196,
"Sackville--Eastern Shore/Sackville--Eastern Shore"," 611","Lake Echo",39,55,6,92,1,193,
"Sackville--Eastern Shore/Sackville--Eastern Shore",,Group 1/Groupe 1,78,117,13,89,6,303,1167
"Sackville--Eastern Shore/Sackville--Eastern Shore",,Group 2/Groupe 2,160,186,9,329,13,697,
