Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Dalton,Scott Henry Janzen,Peter Julian,Mary Pynenburg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Burnaby--New Westminster/Burnaby--New Westminster"," 105","Burnaby",36,5,76,39,2,158,341
"Burnaby--New Westminster/Burnaby--New Westminster"," 106","Burnaby",40,2,93,40,0,175,337
"Burnaby--New Westminster/Burnaby--New Westminster"," 107A","Burnaby",48,7,71,52,0,178,319
"Burnaby--New Westminster/Burnaby--New Westminster"," 107B","Burnaby",44,5,62,62,1,174,318
"Burnaby--New Westminster/Burnaby--New Westminster"," 108","Burnaby",52,10,94,67,0,223,454
"Burnaby--New Westminster/Burnaby--New Westminster"," 109","Burnaby",47,11,94,53,1,206,437
"Burnaby--New Westminster/Burnaby--New Westminster"," 110","Burnaby",71,9,127,75,2,284,505
"Burnaby--New Westminster/Burnaby--New Westminster"," 111A","Burnaby",20,3,33,30,1,87,147
"Burnaby--New Westminster/Burnaby--New Westminster"," 111B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,94
"Burnaby--New Westminster/Burnaby--New Westminster"," 112","Burnaby",49,3,85,48,0,185,355
"Burnaby--New Westminster/Burnaby--New Westminster"," 113","Burnaby",53,11,111,46,2,223,462
"Burnaby--New Westminster/Burnaby--New Westminster"," 114","Burnaby",54,1,121,68,1,245,448
"Burnaby--New Westminster/Burnaby--New Westminster"," 115","Burnaby",45,7,118,65,1,236,456
"Burnaby--New Westminster/Burnaby--New Westminster"," 116","Burnaby",52,11,94,58,2,217,397
"Burnaby--New Westminster/Burnaby--New Westminster"," 117","New Westminster",63,19,159,91,1,333,459
"Burnaby--New Westminster/Burnaby--New Westminster"," 118","New Westminster",89,11,124,62,0,286,512
"Burnaby--New Westminster/Burnaby--New Westminster"," 119A","New Westminster",34,5,107,64,2,212,359
"Burnaby--New Westminster/Burnaby--New Westminster"," 119B","New Westminster",46,7,75,42,0,170,331
"Burnaby--New Westminster/Burnaby--New Westminster"," 120A","New Westminster",55,3,66,63,3,190,322
"Burnaby--New Westminster/Burnaby--New Westminster"," 120B","New Westminster",21,4,86,51,1,163,291
"Burnaby--New Westminster/Burnaby--New Westminster"," 121A","New Westminster",43,8,57,72,0,180,286
"Burnaby--New Westminster/Burnaby--New Westminster"," 121B","New Westminster",37,4,73,75,1,190,312
"Burnaby--New Westminster/Burnaby--New Westminster"," 122","New Westminster",59,15,149,103,3,329,537
"Burnaby--New Westminster/Burnaby--New Westminster"," 123","New Westminster",71,11,130,58,1,271,462
"Burnaby--New Westminster/Burnaby--New Westminster"," 124","New Westminster",47,11,141,47,1,247,403
"Burnaby--New Westminster/Burnaby--New Westminster"," 125A","New Westminster",34,5,71,49,0,159,284
"Burnaby--New Westminster/Burnaby--New Westminster"," 125B","New Westminster",68,7,71,40,0,186,308
"Burnaby--New Westminster/Burnaby--New Westminster"," 126","New Westminster",81,10,131,57,2,281,397
"Burnaby--New Westminster/Burnaby--New Westminster"," 127","New Westminster",78,9,177,79,1,344,459
"Burnaby--New Westminster/Burnaby--New Westminster"," 128","New Westminster",79,10,155,66,1,311,481
"Burnaby--New Westminster/Burnaby--New Westminster"," 129","New Westminster",66,16,126,59,1,268,436
"Burnaby--New Westminster/Burnaby--New Westminster"," 130","New Westminster",60,11,88,59,1,219,385
"Burnaby--New Westminster/Burnaby--New Westminster"," 131","New Westminster",49,6,93,45,1,194,356
"Burnaby--New Westminster/Burnaby--New Westminster"," 132","New Westminster",57,13,163,64,0,297,473
"Burnaby--New Westminster/Burnaby--New Westminster"," 133","New Westminster",51,15,118,62,0,246,399
"Burnaby--New Westminster/Burnaby--New Westminster"," 134","New Westminster",37,7,81,36,1,162,337
"Burnaby--New Westminster/Burnaby--New Westminster"," 135","New Westminster",35,7,66,46,1,155,316
"Burnaby--New Westminster/Burnaby--New Westminster"," 136","New Westminster",42,14,101,60,1,218,390
"Burnaby--New Westminster/Burnaby--New Westminster"," 137","New Westminster",18,7,60,27,1,113,236
"Burnaby--New Westminster/Burnaby--New Westminster"," 138","New Westminster",97,11,114,111,1,334,487
"Burnaby--New Westminster/Burnaby--New Westminster"," 139","New Westminster",55,4,65,71,0,195,296
"Burnaby--New Westminster/Burnaby--New Westminster"," 140","New Westminster",52,6,74,73,1,206,386
"Burnaby--New Westminster/Burnaby--New Westminster"," 141","New Westminster",90,7,69,62,0,228,354
"Burnaby--New Westminster/Burnaby--New Westminster"," 142","New Westminster",83,5,59,50,1,198,328
"Burnaby--New Westminster/Burnaby--New Westminster"," 143","New Westminster",48,4,72,59,0,183,328
"Burnaby--New Westminster/Burnaby--New Westminster"," 144A","New Westminster",22,9,70,36,0,137,302
"Burnaby--New Westminster/Burnaby--New Westminster"," 144B","New Westminster",25,1,60,41,1,128,296
"Burnaby--New Westminster/Burnaby--New Westminster"," 145","New Westminster",44,9,105,56,0,214,407
"Burnaby--New Westminster/Burnaby--New Westminster"," 146","New Westminster",28,10,72,43,0,153,297
"Burnaby--New Westminster/Burnaby--New Westminster"," 147","New Westminster",32,8,102,36,0,178,347
"Burnaby--New Westminster/Burnaby--New Westminster"," 148","New Westminster",28,14,77,33,0,152,306
"Burnaby--New Westminster/Burnaby--New Westminster"," 149","New Westminster",66,15,146,75,0,302,566
"Burnaby--New Westminster/Burnaby--New Westminster"," 150","New Westminster",37,12,79,47,1,176,388
"Burnaby--New Westminster/Burnaby--New Westminster"," 151","New Westminster",64,12,116,85,0,277,514
"Burnaby--New Westminster/Burnaby--New Westminster"," 152","New Westminster",94,13,80,89,0,276,432
"Burnaby--New Westminster/Burnaby--New Westminster"," 153","New Westminster",44,7,69,39,0,159,336
"Burnaby--New Westminster/Burnaby--New Westminster"," 154","New Westminster",61,20,119,67,0,267,487
"Burnaby--New Westminster/Burnaby--New Westminster"," 155","New Westminster",62,13,96,40,0,211,415
"Burnaby--New Westminster/Burnaby--New Westminster"," 156","New Westminster",27,5,80,24,0,136,266
"Burnaby--New Westminster/Burnaby--New Westminster"," 157","New Westminster",24,8,73,35,0,140,243
"Burnaby--New Westminster/Burnaby--New Westminster"," 158","New Westminster",33,4,59,64,0,160,272
"Burnaby--New Westminster/Burnaby--New Westminster"," 159","New Westminster",50,11,101,77,0,239,539
"Burnaby--New Westminster/Burnaby--New Westminster"," 160","New Westminster",Void/Supprimé,,,,,,
"Burnaby--New Westminster/Burnaby--New Westminster"," 161","Burnaby",81,15,126,92,0,314,505
"Burnaby--New Westminster/Burnaby--New Westminster"," 162","Burnaby",18,7,55,39,0,119,241
"Burnaby--New Westminster/Burnaby--New Westminster"," 163","Burnaby",72,8,58,80,0,218,358
"Burnaby--New Westminster/Burnaby--New Westminster"," 164","Burnaby",81,11,79,106,0,277,479
"Burnaby--New Westminster/Burnaby--New Westminster"," 165","Burnaby",58,13,106,91,0,268,426
"Burnaby--New Westminster/Burnaby--New Westminster"," 166","Burnaby",86,6,83,99,0,274,472
"Burnaby--New Westminster/Burnaby--New Westminster"," 167","Burnaby",79,16,111,72,0,278,433
"Burnaby--New Westminster/Burnaby--New Westminster"," 168","Burnaby",106,10,128,76,4,324,552
"Burnaby--New Westminster/Burnaby--New Westminster"," 169","Burnaby",60,13,138,59,1,271,449
"Burnaby--New Westminster/Burnaby--New Westminster"," 170","Burnaby",59,16,153,58,1,287,459
"Burnaby--New Westminster/Burnaby--New Westminster"," 171","Burnaby",85,8,137,71,1,302,474
"Burnaby--New Westminster/Burnaby--New Westminster"," 172","Burnaby",71,7,109,57,2,246,462
"Burnaby--New Westminster/Burnaby--New Westminster"," 173","Burnaby",120,14,99,93,0,326,493
"Burnaby--New Westminster/Burnaby--New Westminster"," 174","Burnaby",84,13,120,75,0,292,426
"Burnaby--New Westminster/Burnaby--New Westminster"," 175","Burnaby",70,3,61,80,0,214,354
"Burnaby--New Westminster/Burnaby--New Westminster"," 176","Burnaby",106,13,80,70,0,269,434
"Burnaby--New Westminster/Burnaby--New Westminster"," 177A","Burnaby",63,5,59,61,0,188,339
"Burnaby--New Westminster/Burnaby--New Westminster"," 177B","Burnaby",79,2,51,64,0,196,370
"Burnaby--New Westminster/Burnaby--New Westminster"," 178A","Burnaby",60,4,42,80,2,188,295
"Burnaby--New Westminster/Burnaby--New Westminster"," 178B","Burnaby",55,2,44,60,0,161,301
"Burnaby--New Westminster/Burnaby--New Westminster"," 179","Burnaby",71,9,78,68,0,226,362
"Burnaby--New Westminster/Burnaby--New Westminster"," 180","Burnaby",136,2,57,99,1,295,526
"Burnaby--New Westminster/Burnaby--New Westminster"," 400","Burnaby",32,13,44,30,2,121,270
"Burnaby--New Westminster/Burnaby--New Westminster"," 500","Mobile poll/Bureau itinérant",34,7,38,23,4,106,184
"Burnaby--New Westminster/Burnaby--New Westminster"," 501","Mobile poll/Bureau itinérant",38,5,48,25,3,119,117
"Burnaby--New Westminster/Burnaby--New Westminster"," 600","Burnaby",229,13,278,223,0,743,
"Burnaby--New Westminster/Burnaby--New Westminster"," 601","Burnaby",186,11,163,128,0,488,
"Burnaby--New Westminster/Burnaby--New Westminster"," 602","Burnaby",201,10,203,218,1,633,
"Burnaby--New Westminster/Burnaby--New Westminster"," 603","Burnaby",118,3,143,103,0,367,
"Burnaby--New Westminster/Burnaby--New Westminster"," 604","Burnaby",159,16,138,149,1,463,
"Burnaby--New Westminster/Burnaby--New Westminster"," 605","Burnaby",111,5,128,87,0,331,
"Burnaby--New Westminster/Burnaby--New Westminster"," 606","New Westminster",105,14,218,85,0,422,
"Burnaby--New Westminster/Burnaby--New Westminster"," 607","New Westminster",182,23,253,154,1,613,
"Burnaby--New Westminster/Burnaby--New Westminster",,Group 1/Groupe 1,21,3,19,37,4,84,140
"Burnaby--New Westminster/Burnaby--New Westminster",,Group 2/Groupe 2,139,11,127,150,8,435,
