Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Jean-Yves Laforest,Claude Larocque,Martial Toupin,Lucille Whissell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 63","Hérouxville",8,84,7,70,14,0,183,294
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 64","Proulxville",9,46,15,90,22,3,185,292
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 65","Proulxville",8,97,11,101,22,4,243,413
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 66A","Saint-Jean-des-Piles",10,71,15,77,24,2,199,338
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 66B","Saint-Jean-des-Piles",8,54,25,62,13,4,166,293
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 67","Grand-Mère",13,140,27,105,11,2,298,485
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 68","Grand-Mère",10,104,22,72,15,7,230,393
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 69","Grand-Mère",22,166,44,95,27,7,361,582
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 70","Grand-Mère",16,136,23,106,16,3,300,498
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 71","Saint-Gérard-des-Laurentides",16,90,14,70,18,7,215,350
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 72","Saint-Gérard-des-Laurentides",16,125,15,110,17,5,288,451
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 73","Saint-Gérard-des-Laurentides",11,110,11,89,14,2,237,440
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 74A","Shawinigan",9,104,12,74,11,4,214,316
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 74B","Shawinigan",5,99,20,79,12,3,218,312
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 75","Shawinigan",8,103,23,75,28,6,243,409
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 76","Saint-Gérard-des-Laurentides",13,122,17,79,17,1,249,488
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 77","Shawinigan",9,97,8,73,16,6,209,390
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 78","Shawinigan",8,110,18,81,23,3,243,386
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 79","Saint-Georges",6,134,12,96,22,0,270,507
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 80","Lac-à-la-Tortue",3,122,9,82,26,3,245,529
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 81","Lac-à-la-Tortue",5,96,25,56,7,2,191,412
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 82","Lac-à-la-Tortue",2,65,11,35,16,4,133,281
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 83","Saint-Georges",8,99,29,89,17,4,246,466
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 84","Saint-Georges",5,100,27,83,14,11,240,426
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 85","Saint-Georges",6,86,16,76,21,2,207,338
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 86","Saint-Georges",1,85,10,47,13,5,161,330
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 87","Grand-Mère",7,114,16,60,13,3,213,420
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 88","Saint-Georges",7,70,17,72,14,0,180,416
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 89","Saint-Georges",4,130,22,90,11,6,263,460
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 90","Lac-à-la-Tortue",10,100,22,76,12,3,223,451
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 91","Lac-à-la-Tortue",4,67,8,58,9,3,149,278
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 92","Lac-à-la-Tortue",5,123,17,65,8,4,222,488
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 93","Grand-Mère",4,92,16,35,9,2,158,328
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 94","Grand-Mère",4,60,17,36,11,3,131,281
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 95","Grand-Mère",11,74,14,43,18,5,165,324
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 96","Grand-Mère",3,99,12,67,19,0,200,373
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 97","Grand-Mère",8,96,16,60,13,3,196,427
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 98","Grand-Mère",5,59,21,39,20,5,149,373
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 99","Grand-Mère",7,57,1,36,14,1,116,370
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 100","Grand-Mère",7,79,12,61,22,6,187,483
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 101","Grand-Mère",4,63,10,30,11,2,120,369
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 102","Grand-Mère",7,67,18,59,21,4,176,388
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 103","Grand-Mère",8,80,10,43,13,3,157,350
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 104","Grand-Mère",3,65,16,49,16,6,155,301
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 105","Grand-Mère",6,48,17,51,14,5,141,297
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 106","Grand-Mère",8,95,18,93,21,15,250,432
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 107","Grand-Mère",4,73,10,59,23,1,170,322
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 108","Grand-Mère",11,101,21,68,23,6,230,438
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 109","Grand-Mère",7,104,18,84,14,5,232,403
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 110","Grand-Mère",1,80,16,77,18,6,198,358
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 111","Grand-Mère",4,73,13,53,23,2,168,401
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 112","Grand-Mère",5,73,8,62,23,6,177,381
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 113","Grand-Mère",8,100,11,60,25,6,210,472
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 114","Grand-Mère",3,83,17,69,25,2,199,437
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 115","Grand-Mère",3,65,7,37,25,1,138,314
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 116","Shawinigan",9,133,17,93,20,2,274,438
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 117","Shawinigan",4,117,16,59,17,4,217,472
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 118","Shawinigan",5,105,11,95,18,3,237,447
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 119","Shawinigan",5,111,21,72,15,3,227,357
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 120","Shawinigan",8,82,15,57,12,3,177,331
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 121","Shawinigan",10,91,21,71,40,5,238,519
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 122","Shawinigan",4,67,11,56,23,2,163,307
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 123","Shawinigan",7,109,18,66,14,8,222,379
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 124","Shawinigan",4,70,19,61,10,4,168,352
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 125","Shawinigan",8,72,7,49,16,7,159,353
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 126","Shawinigan",6,103,19,48,21,4,201,373
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 127","Shawinigan",9,113,21,52,29,5,229,402
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 128","Shawinigan",5,58,13,43,24,5,148,351
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 129","Shawinigan",3,46,7,41,23,6,126,296
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 130","Shawinigan",2,80,8,59,20,2,171,437
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 131","Shawinigan",5,49,11,26,6,5,102,297
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 132","Shawinigan",2,61,10,27,16,5,121,300
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 133","Shawinigan",8,62,19,39,17,5,150,392
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 134","Shawinigan",9,79,7,43,23,3,164,418
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 135","Shawinigan",2,60,10,37,23,5,137,355
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 136","Shawinigan",7,51,15,50,17,4,144,399
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 137","Shawinigan",3,69,15,41,20,3,151,393
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 138","Shawinigan",4,54,27,38,11,0,134,229
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 139","Shawinigan",8,57,22,59,37,2,185,425
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 140","Shawinigan",6,50,10,43,10,4,123,356
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 141","Shawinigan",4,68,8,40,26,2,148,337
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 142","Shawinigan",5,61,13,35,14,3,131,269
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 143","Shawinigan",4,63,8,36,24,4,139,394
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 144","Shawinigan",8,82,26,57,14,2,189,340
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 145","Shawinigan",13,68,10,37,18,5,151,354
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 146","Shawinigan",11,89,10,79,21,8,218,470
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 147","Shawinigan",9,84,21,45,35,7,201,415
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 148","Shawinigan",9,70,13,35,7,4,138,318
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 149","Shawinigan",12,77,13,44,15,3,164,330
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 150","Shawinigan-Sud",5,181,56,76,13,4,335,514
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 151","Shawinigan-Sud",13,110,18,62,11,9,223,415
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 152","Shawinigan-Sud",6,97,20,65,10,3,201,393
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 153","Shawinigan-Sud",9,139,28,110,21,11,318,545
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 154","Shawinigan-Sud",5,86,18,75,16,3,203,341
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 155","Shawinigan-Sud",4,95,12,47,19,3,180,332
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 156","Shawinigan-Sud",6,85,25,77,18,4,215,428
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 157","Shawinigan-Sud",4,53,23,63,18,1,162,289
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 158","Shawinigan-Sud",6,54,13,43,16,5,137,287
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 159","Shawinigan-Sud",5,55,8,53,14,2,137,311
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 160","Shawinigan-Sud",4,52,10,54,8,4,132,297
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 161","Shawinigan-Sud",6,37,12,35,14,2,106,224
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 162","Shawinigan-Sud",9,74,11,46,8,2,150,327
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 163","Shawinigan-Sud",3,71,17,59,11,7,168,363
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 164","Shawinigan-Sud",13,64,18,51,24,11,181,394
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 165","Shawinigan-Sud",6,92,34,67,11,1,211,407
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 166","Shawinigan-Sud",6,75,13,62,32,4,192,389
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 167","Shawinigan-Sud",9,87,21,86,14,6,223,389
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 168","Shawinigan-Sud",16,145,37,111,27,6,342,603
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 169","Shawinigan-Sud",10,149,35,102,31,4,331,548
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 170","Shawinigan-Sud",4,104,18,67,16,4,213,344
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 171","Shawinigan-Sud",3,66,9,70,19,4,171,375
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 172","Shawinigan-Sud",10,125,22,64,12,5,238,374
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 173","Shawinigan-Sud",4,65,18,45,17,3,152,255
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 174","Shawinigan-Sud",8,91,33,77,17,1,227,348
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 175","Notre-Dame-du-Mont-Carmel",8,113,20,78,25,8,252,432
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 176","Notre-Dame-du-Mont-Carmel",3,108,26,64,14,4,219,405
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 177","Notre-Dame-du-Mont-Carmel",9,124,28,75,16,9,261,477
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 178","Notre-Dame-du-Mont-Carmel",10,128,19,63,18,13,251,484
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 179","Notre-Dame-du-Mont-Carmel",18,115,17,65,15,4,234,424
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 180","Notre-Dame-du-Mont-Carmel",16,86,11,87,14,3,217,397
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 181","Notre-Dame-du-Mont-Carmel",8,107,15,68,23,6,227,362
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 182","Notre-Dame-du-Mont-Carmel",5,59,8,50,7,2,131,275
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 183","Notre-Dame-du-Mont-Carmel",11,125,11,71,10,3,231,415
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 184","Notre-Dame-du-Mont-Carmel",9,76,14,70,1,1,171,317
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 185","Saint-Maurice",6,123,21,117,17,6,290,449
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 186","Saint-Maurice",15,134,36,156,17,2,360,480
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 187","Saint-Maurice",4,97,19,132,28,3,283,401
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 188","Saint-Maurice",11,120,9,123,18,4,285,461
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 189","Saint-Stanislas",6,54,18,79,17,4,178,279
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 190","Saint-Stanislas",2,42,9,116,23,2,194,303
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 191","Saint-Prosper",9,128,17,121,33,1,309,456
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 192","Sainte-Anne-de-la-Pérade",3,90,21,78,18,4,214,353
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 193","Sainte-Anne-de-la-Pérade",6,68,16,78,22,2,192,360
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 194","Sainte-Anne-de-la-Pérade",3,69,16,75,30,1,194,321
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 195","Sainte-Anne-de-la-Pérade",10,91,13,55,10,3,182,334
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 196","Sainte-Anne-de-la-Pérade",3,70,23,95,22,5,218,390
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 197","Batiscan",12,109,17,92,32,4,266,427
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 198","Sainte-Geneviève-de-Batiscan",11,77,19,114,13,1,235,442
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 199","Saint-Stanislas",6,67,10,81,26,5,195,323
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 200","Saint-Narcisse",14,111,18,104,14,2,263,392
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 201","Saint-Narcisse",5,58,18,85,14,0,180,310
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 202","Saint-Narcisse",5,108,13,104,20,3,253,409
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 203","Saint-Narcisse",3,85,13,95,30,0,226,346
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 204","Sainte-Geneviève-de-Batiscan",12,99,15,105,20,3,254,416
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 205","Batiscan",6,93,16,75,18,2,210,338
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 206","Champlain",15,105,25,78,35,3,261,420
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 207","Champlain",9,109,23,92,24,8,265,385
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 208","Saint-Luc",Merged with No. 209/Fusionné avec le nº 209,,,,,,,206
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 209","Saint-Luc",5,132,23,118,21,2,301,257
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 210","Champlain",12,147,24,100,27,3,313,498
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 400","Shawinigan",7,40,6,63,60,3,179,234
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 500","Mobile poll/Bureau itinérant",7,20,3,15,16,4,65,131
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 501","Mobile poll/Bureau itinérant",1,9,2,8,12,0,32,69
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 502","Mobile poll/Bureau itinérant",2,11,3,3,10,2,31,45
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 600","Obedjiwan",0,2,4,10,13,0,29,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 601","Parent",1,3,0,4,0,0,8,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 602","La Tuque",11,177,23,90,68,9,378,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 603","La Tuque",5,195,25,91,74,7,397,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 604","Sainte-Thècle",6,142,14,118,24,1,305,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 605","Saint-Tite",17,151,17,114,75,9,383,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 606","Saint-Georges-de-Champlain",8,188,30,130,60,6,422,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 607","Grand-Mère",13,227,33,177,99,14,563,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 608","Grand-Mère",10,211,19,132,94,5,471,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 609","Shawinigan",8,188,28,160,53,14,451,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 610","Shawinigan",12,192,44,185,84,8,525,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 611","Notre-Dame-du-Mont-Carmel",7,182,16,113,31,11,360,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 612","Batiscan",8,99,10,70,46,1,234,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 613","Saint-Narcisse",9,84,22,65,47,2,229,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 614","Shawinigan",14,223,22,132,89,18,498,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 615","Shawinigan",8,176,25,156,89,13,467,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 616","Shawinigan",13,149,15,101,76,12,366,
"Saint-Maurice--Champlain/Saint-Maurice--Champlain",,Group 1/Groupe 1,10,44,3,58,22,11,148,334
